[00:00:06.172 --> 00:00:07.074]  That's a hit.
[00:26:09.032 --> 00:26:09.933]  It's real.
[00:26:09.933 --> 00:26:10.955]  I've experienced it.
[00:26:10.955 --> 00:26:11.896]  Others have.
[00:26:11.896 --> 00:26:16.421]  And it came out of India, where the vaccine caused all the other viruses to get killed.
[00:26:17.142 --> 00:26:17.963]  Except the Delta.
[00:26:17.963 --> 00:26:19.584]  And it made it super powerful.
[00:26:19.584 --> 00:26:23.788]  That's why 99% of infections in the world are Delta.
[00:26:23.788 --> 00:26:24.929]  The vaccine did it.
[00:26:24.929 --> 00:26:25.590]  That's admitted.
[00:26:25.590 --> 00:26:26.410]  It's not debated.
[00:26:26.410 --> 00:26:30.074]  So when Fauci gets up on TV and says, oh, the hospitals are full.
[00:26:30.074 --> 00:26:31.415]  We're going to have to lock down again.
[00:26:31.415 --> 00:26:33.537]  We're going to have to decide who gets care.
[00:26:33.537 --> 00:26:39.142]  And then Jimmy Kimmel says, oh, don't give care to anybody who hasn't had the shot.
[00:26:39.142 --> 00:26:43.926]  Mainline science that is settled says if you've already had it, the immunity is 13 times better.
[00:26:45.426 --> 00:26:50.585]  And that if you take a shot for that, whether it's J&J or Pfizer or any of it, it can kill you.
[00:26:51.357 --> 00:26:52.618]  But Kimmel doesn't care.
[00:26:52.618 --> 00:26:54.659]  He's given talking points to the Democratic Party.
[00:26:54.659 --> 00:26:56.240]  And by Schumer, he's admitted it.
[00:26:56.240 --> 00:26:58.021]  So does all those shows.
[00:26:58.021 --> 00:26:59.282]  They hang out together.
[00:26:59.282 --> 00:27:00.723]  Those are talking points.
[00:27:00.723 --> 00:27:03.684]  That doesn't matter if you have an autoimmune problem and your doctor says don't take it.
[00:27:03.684 --> 00:27:04.805]  You don't get healthcare.
[00:27:04.805 --> 00:27:07.967]  And now doctors everywhere are saying this as a talking point.
[00:27:07.967 --> 00:27:15.951]  Violating the Hippocratic Oath, engaging in violations of the Nuremberg Code, where we will not let you leave your house, we won't let you have a job, we won't let you go anywhere, and you
[00:27:16.992 --> 00:27:19.614]  Don't get medical care if you don't take what we will give you.
[00:27:19.614 --> 00:27:24.877]  The Pfizer shot's now down to 39% effectiveness, they say.
[00:27:24.877 --> 00:27:26.458]  And the shot lowers your immune system.
[00:27:26.458 --> 00:27:29.100]  So, it's all a load of crap.
[00:27:29.100 --> 00:27:30.801]  That's why they always had boosters ready.
[00:27:30.801 --> 00:27:32.462]  They knew it was never going to work.
[00:27:32.462 --> 00:27:34.804]  It's a power grab to track and control you.
[00:27:34.804 --> 00:27:36.985]  And I know you know that.
[00:27:36.985 --> 00:27:38.947]  Here's another one of the documents.
[00:27:38.947 --> 00:27:42.209]  Wuhan Institute of Virology, the Chinese Academy of Sciences.
[00:27:44.755 --> 00:27:52.078]  Dr. Peter Daszak, President, and it says, we are working with the Chinese government to create gain of function and viruses that spread from animals to humans.
[00:27:52.078 --> 00:27:55.179]  It's all right here.
[00:27:55.179 --> 00:27:57.240]  900 pages of it.
[00:27:57.240 --> 00:27:59.421]  I mean, smoking gun.
[00:27:59.421 --> 00:28:09.925]  This would be like if a serial killer broke into a live TV station, live on the nightly news, with three people and blew their heads off on television.
[00:28:11.530 --> 00:28:17.280]  And then put their gun down, like the Joker does in the Joker movie, and gets arrested by the police.
[00:28:17.280 --> 00:28:19.103]  Would he be convicted of killing them?
[00:28:19.103 --> 00:28:19.483]  Yes.
[00:28:19.483 --> 00:28:25.353]  I mean, it's all the documents, all the money, all the admissions, lying to Congress.
[00:28:26.761 --> 00:28:32.564]  Open and shut, but the FBI is penetrated and controlled by globalists that want to kill the country, want to bring in bioweapons and hit us.
[00:28:32.564 --> 00:28:38.028]  If you're going to hit your country yourself to take over, you've got to control the military leadership, which they control.
[00:28:38.028 --> 00:28:39.048]  They all say America's bad.
[00:28:39.048 --> 00:28:40.369]  You've got to control the FBI.
[00:28:40.369 --> 00:28:42.090]  The top of the FBI hates America.
[00:28:42.090 --> 00:28:44.211]  You've got to control the courts, and they do.
[00:28:44.211 --> 00:28:47.993]  And so now they're going to just take their time slowly murdering us.
[00:28:47.993 --> 00:28:53.717]  And a lot of the people that serve the system, they're going to die too, but they're order followers, so they won't even save themselves.
[00:28:53.717 --> 00:28:54.157]  Unbelievable.
[00:28:55.526 --> 00:28:56.326]  Hey, everybody.
[00:28:56.326 --> 00:28:59.568]  Confused about staying healthy in a crazy COVID culture?
[00:28:59.568 --> 00:29:00.328]  Me too.
[00:29:00.328 --> 00:29:07.392]  But listen, after all the research, all the conflicting studies, after all the squabbling, there's one thing almost everyone agrees on.
[00:29:07.392 --> 00:29:11.774]  It's that immune system health can literally be the difference between life and death.
[00:29:11.774 --> 00:29:13.675]  You probably already believe that.
[00:29:13.675 --> 00:29:14.695]  I certainly do.
[00:29:14.695 --> 00:29:15.636]  So here's the thing.
[00:29:15.636 --> 00:29:23.960]  I wanted to get past the craziness and find out which plant-based substances actually have studies that demonstrate some efficacy in immune support.
[00:29:24.520 --> 00:29:29.944]  Now, you'll have to sign a waiver, but you can check out what I've discovered at StrongerDefense.com.
[00:29:29.944 --> 00:29:31.305]  No cures or treatments there.
[00:29:31.305 --> 00:29:40.511]  Instead, little known but shocking immune system research and a breakthrough immune support product based on that research called Immune 10X.
[00:29:40.511 --> 00:29:41.391]  And the best part?
[00:29:41.391 --> 00:29:48.096]  You can go to the Stronger Defense website right now and claim your own supply of Immune 10X without paying anything today.
[00:29:48.096 --> 00:29:48.936]  Crazy, right?
[00:29:48.936 --> 00:29:52.939]  Learn more about this unusual limited time offer at StrongerDefense.com.
[00:29:52.939 --> 00:29:54.120]  That's StrongerDefense.com.
[00:29:56.162 --> 00:30:01.026]  I've been fighting as hard as I can for almost 28 years against the globalists.
[00:30:01.026 --> 00:30:03.068]  I wanted to stop their agenda.
[00:30:03.068 --> 00:30:08.513]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[00:30:08.513 --> 00:30:09.634]  But we failed.
[00:30:09.634 --> 00:30:11.275]  Yes, a lot of people are awake.
[00:30:11.275 --> 00:30:13.137]  Yes, we're not getting caught flat-footed.
[00:30:13.137 --> 00:30:14.859]  But they are going ahead.
[00:30:15.199 --> 00:30:19.141]  With their full operational deindustrialization, Great Reset.
[00:30:19.141 --> 00:30:28.066]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[00:30:28.066 --> 00:30:33.590]  So we've got to information warfare the enemy and try to stop their agenda, but we've also got to get personally prepared.
[00:30:33.590 --> 00:30:36.151]  And one of the number one things to do is high quality, storable food.
[00:30:36.151 --> 00:30:40.914]  We've got the best food ready to ship at very affordable prices at infowarestore.com.
[00:30:40.914 --> 00:30:44.436]  So whether it's a month or a six month or a year supply or specialty diets,
[00:30:44.656 --> 00:30:46.457]  It's ready to ship right now.
[00:30:46.457 --> 00:30:51.359]  Lock your orders in before food prices go up and before there are long lines and waits.
[00:30:51.359 --> 00:30:53.680]  Because believe me, serious times are coming.
[00:30:53.680 --> 00:30:56.021]  Get ready at infowarestore.com.
[00:30:56.021 --> 00:30:59.202]  There are a lot of energy drinks and energy pills on the market.
[00:30:59.202 --> 00:31:03.904]  And of course, most of them work because if something doesn't work, people aren't going to reorder it.
[00:31:03.904 --> 00:31:05.404]  But they have side effects.
[00:31:05.404 --> 00:31:06.405]  They have chemicals.
[00:31:06.405 --> 00:31:14.068]  They have dyes in them that hurt your brain and hurt your cells and hurt your body in the process and leave you burnt out and hungover.
[00:31:14.728 --> 00:31:26.715]  InfoWars for years has consulted top developers and top labs to bring you BrainForce+, to bring you TurboForce, and other clean formulas that give you long, sustained, focused energy.
[00:31:26.715 --> 00:31:31.017]  Well now, we are introducing something that is at the next level.
[00:31:31.017 --> 00:31:32.578]  Multiple years in development.
[00:31:33.038 --> 00:31:35.439]  It is Brain Force Ultra.
[00:31:35.439 --> 00:31:43.582]  It is a liquid in a dropper and it is twice as strong as Brain Force Plus just in the natural caffeine department.
[00:31:43.582 --> 00:31:51.945]  Then it's got a bunch of other powerful herbs and compounds that will take your focus and your clarity to the next level with clean energy.
[00:31:51.945 --> 00:31:53.345]  And it funds the InfoWar.
[00:31:53.345 --> 00:31:55.986]  Exclusively available at InfoWarStore.com.
[00:31:56.286 --> 00:32:01.648]  I'm up here working on a Thursday night in mid-April 2021, and I just want to say something.
[00:32:01.648 --> 00:32:06.470]  I am so blessed and honored to work with this incredible crew that has come together over the years.
[00:32:06.470 --> 00:32:11.332]  It is truly an answer to prayer, and I am so blessed and thankful for all of you, the listeners of this show.
[00:32:11.332 --> 00:32:14.233]  I want you to know that I love you and I appreciate you.
[00:32:14.233 --> 00:32:17.575]  Whether you are old, whether you are Hispanic, white, black, it doesn't matter.
[00:32:17.575 --> 00:32:18.795]  You've got red blood.
[00:32:18.795 --> 00:32:25.698]  And if you love freedom and justice, and if you love our innocent children, we are brothers and sisters together, and it has just been
[00:32:26.298 --> 00:32:29.221]  An incredible experience to work with you over the years.
[00:32:29.221 --> 00:32:33.084]  And as crazy as things are, I want to keep working into the future.
[00:32:33.084 --> 00:32:35.986]  But again, that's really up to you and up to God.
[00:32:35.986 --> 00:32:41.611]  So please, I hope God works through you and puts a message in your heart to support us.
[00:32:41.611 --> 00:32:43.512]  Again, that's up to you and your relationship with God.
[00:32:43.512 --> 00:32:47.916]  I just want to thank you all for the years of support you've given us and what you've done.
[00:32:47.916 --> 00:32:52.019]  And just ask you again to pray to God and ask what God's vision is for you.
[00:32:52.019 --> 00:32:55.001]  And hopefully God will touch your heart to continue to support InfoWars.
[00:32:55.001 --> 00:32:55.362]  God bless.
[00:32:59.389 --> 00:33:09.037]  You're listening to the Alex Jones Show.
[00:33:09.037 --> 00:33:15.283]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:33:20.876 --> 00:33:32.406]  I'm being lied about and demonized every day, seven days a week, usually, and let's not exaggerate, 50, 60 publications, programs, TV shows all over the world.
[00:33:32.406 --> 00:33:42.695]  Sometimes there's up to a thousand articles attacking me a day, very, very conservatively, just trying to psychologically inoculate the public that I'm a bad guy, that I'm an evil person.
[00:33:42.695 --> 00:33:44.396]  So I rarely respond to it.
[00:33:45.197 --> 00:33:49.581]  But I'm going to respond to it next segment because it's tied into Joe Rogan, it's tied into CNN.
[00:33:49.581 --> 00:33:54.645]  I talked to Joe, he's really considering suing CNN very seriously right now.
[00:33:54.645 --> 00:33:57.127]  Because they're lying scum, they're lying criminals.
[00:33:57.127 --> 00:33:58.248]  But he's friends with Kimmel.
[00:33:58.248 --> 00:34:01.211]  I know Kimmel behind the scenes is a good guy.
[00:34:01.211 --> 00:34:04.454]  And even used to tell people he likes my show and I know that people are friends with him.
[00:34:05.379 --> 00:34:07.621]  And so Kimmel is given a script to read.
[00:34:07.621 --> 00:34:11.004]  I want to talk directly to Kimmel next segment about finding his soul.
[00:34:11.004 --> 00:34:16.069]  Because he's now talking about denying health care to people that don't take the experimental shot.
[00:34:16.069 --> 00:34:19.793]  Even if a doctor says they have a medical reason not to take it, he says deny them health care.
[00:34:19.793 --> 00:34:22.035]  That's a form of murder.
[00:34:22.035 --> 00:34:25.078]  And he's the one that talks about his son's heart problem and cried on air.
[00:34:26.320 --> 00:34:30.722]  Now, thank God he's got plenty of money, but what about poor people so we need Obamacare?
[00:34:30.722 --> 00:34:34.003]  Hey, it's socialist countries where you wait for health care, Kimmel.
