[00:00.000 --> 00:08.000]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[01:46:46.620 --> 01:46:47.620]  other drugs fail.
[01:46:47.620 --> 01:46:49.740]  Have it on hand for any emergency.
[01:46:49.740 --> 01:46:57.540]  Go to www.supernaturalsilver.com today and use the promo code AlexSays for 20% off and
[01:46:57.540 --> 01:47:09.060]  like us on Facebook.
[01:48:48.260 --> 01:48:52.020]  I just think it's really sad that we can't even go to the grocery store and buy gum for
[01:48:52.020 --> 01:48:55.020]  our children without having to fear that it is going to cause them cancer.
[01:48:55.020 --> 01:49:00.020]  This is so cold-blooded will Oprah Winfrey and on the rest of Bill Gates meet in secret meeting to reduce population
[01:49:00.020 --> 01:49:02.340]  Yes, they do. I mean, it's right there Rockefeller
[01:49:02.900 --> 01:49:07.260]  And it's for them. It's saving the earth. Yeah, that's how they spin it on people
[01:49:07.260 --> 01:49:10.620]  They say we're gonna you're gonna save the earth, but also do populate the earth
[01:49:10.620 --> 01:49:14.020]  They got to add that in so how do I might with our modern technology?
[01:49:14.020 --> 01:49:20.940]  They say people with proper proper medicine and health to be living to 130 140 comfortably, you know, the US population now is dropping
[01:49:20.940 --> 01:49:26.060]  Life expectancy, it's actually dropping all over the place. They're killing us in Western industrialized nation
[01:49:26.060 --> 01:49:29.380]  I mean, they're all going down. Yeah, the people out in the middle of nowhere are a little little pollination
[01:49:29.380 --> 01:49:35.100]  I was living 104 true. They're killing us. I mean, we're sitting here talking about how we're being murdered
[01:49:35.100 --> 01:49:41.500]  I can't believe proposition 37 was defeated. I mean, that just broke my heart. That was the last shred of faith in the system was gone
[01:49:41.500 --> 01:49:46.300]  I had like oh, you know, it was fraud. I mean, I know but it's just I can't look at this Mentos
[01:49:46.300 --> 01:49:52.860]  It's not the only myth you can get now the major store is all tauts and I've learned they've got lobbyist people pushing them to put
[01:49:52.860 --> 01:49:56.540]  That in there. We folks you can't even get mints now that don't have it
[01:49:56.540 --> 01:50:03.660]  I can't you can't icebreaker ice cubes pretty much the entire checkout aisle anything you buy in that is a chemical weapon attack
[01:50:03.660 --> 01:50:07.660]  You have to look at everything. Yeah, basically, of course, you know where aspartame
[01:50:07.660 --> 01:50:10.220]  It's now in all the major candies and gums and mints
[01:50:10.220 --> 01:50:16.460]  Nor comes from I'm not even gonna tell you I've learned if you tell people they seem to really want to really want to
[01:50:16.460 --> 01:50:21.580]  I'm gonna tell you this it comes from a genetically engineered little organism that defecates it
[01:50:21.980 --> 01:50:27.380]  I know you don't believe me. I'm just gonna leave that for you. Look up aspartame manufacturing process and has to do with E. Coli
[01:50:27.380 --> 01:50:32.020]  I mean, you cannot make this up Melissa. We're gonna go to your report briefly. Tell us about this report
[01:50:32.660 --> 01:50:39.380]  In this report, I just decided I saw this gum the project seven save the earth gum and I decided to look into what project seven does
[01:50:39.380 --> 01:50:45.740]  And and also just some of the ingredients in their gum so that I could see what actually comes with saving the earth
[01:50:45.980 --> 01:50:49.140]  Project seven sounds like some like evil masterminds operation
[01:50:50.020 --> 01:50:55.300]  Based on their website. I think they do feel like oh no, but I'm being sarcastic. It just shows how it's all in your face though
[01:50:55.420 --> 01:50:58.940]  It's very trendy looking, you know, they got the earth on there for the earth
[01:50:59.420 --> 01:51:03.580]  It says products for good right on there says project seven products for good
[01:51:03.820 --> 01:51:06.780]  So it's like and that's the new thing get us to give money
[01:51:06.780 --> 01:51:11.660]  Mm-hmm that that then goes I was looking at Lance Armstrong who didn't want the research
[01:51:11.660 --> 01:51:15.420]  I gave him about how they're causing the cancer and he told me to basically go to hell
[01:51:15.420 --> 01:51:20.380]  I noticed or told the person I've had to give him the info and I noticed that whenever I look stuff up about
[01:51:20.820 --> 01:51:25.980]  Aspartame, it's like oh, it's not true. It's like live strong. It's out there telling you everything's good. Go get your chemotherapy
[01:51:26.500 --> 01:51:27.420]  Definitely, yeah
[01:51:27.420 --> 01:51:31.900]  Well, and I mean, it's just the fact that you know, you buy these things and it's almost like it's a guilt thing
[01:51:31.900 --> 01:51:33.780]  Like you should feel bad the earth is hurting
[01:51:33.780 --> 01:51:39.340]  Oh, no, they guilt you now when you're the would you like to give three dollars to the cancer Institute who knows full?
[01:51:39.340 --> 01:51:43.700]  Well, it's all you know engineer right and I'm like no, they're like no problem then we don't care
[01:51:43.700 --> 01:51:45.020]  You know
[01:51:45.020 --> 01:51:51.740]  But so I wasn't even it was like I wasn't even surprised to find them tied to some Bill and Melinda Gates funded places because it's like
[01:51:51.980 --> 01:51:58.740]  Saviors but hurt yourself possibly with some of these harmful chemicals and that thing is loaded with chemicals aspartame
[01:51:58.740 --> 01:52:03.860]  Neotame soy lecithin. It's got all kinds of other preservatives or baton. I mean, it's just filled
[01:52:03.860 --> 01:52:07.740]  It's just basically chemicals and a mint flavoring which is unbelievable
[01:52:07.740 --> 01:52:11.820]  And we're not even certainly them out except for the angle tied to Oprah Winfrey and stuff
[01:52:11.900 --> 01:52:15.420]  Okay, we're gonna go to this report and then we're gonna go right back to Mike Adams
[01:52:15.420 --> 01:52:28.460]  After the report here it is
[01:52:29.340 --> 01:52:32.220]  I'm Melissa Melton reporting for info wars nightly news
[01:52:33.020 --> 01:52:40.700]  Project seven a nonprofit organization has come out with a trendy new gum product that it claims you can save the earth if you buy it and
[01:52:40.700 --> 01:52:45.860]  And while saving the earth might sound like a wonderful thing to do on further inspection
[01:52:45.860 --> 01:52:48.740]  Things are not what they seem with this wonderful new gum
[01:52:48.740 --> 01:52:50.740]  It was found to contain aspartame
[01:52:51.100 --> 01:52:53.980]  Neotame and genetically modified soy lecithin
[01:52:55.060 --> 01:53:00.460]  Aspartame has been linked in studies to causing everything from blindness to liver damage to seizures
[01:53:00.460 --> 01:53:08.660]  It's been linked to different cancers such as lymphoma and it even eats holes in the brains of lab animals that it's tested on and eventually causes death
[01:53:08.660 --> 01:53:13.940]  Neotame is far worse and in long-term studies causes cell death
[01:53:14.660 --> 01:53:21.220]  Genetically modified soy lecithin has been shown to mimic estrogen in the body causing everything from reproductive issues
[01:53:21.700 --> 01:53:30.140]  To cancer to impeding brain development and people who ingest it this gum wasn't the only gum we found to contain harmful chemicals
[01:53:30.140 --> 01:53:37.820]  All right, so we're here at a store where we're going to see if we can find any gum that doesn't contain aspartame
[01:53:38.460 --> 01:53:39.740]  Orbit
[01:53:39.740 --> 01:53:41.740]  There's something on this too
[01:53:41.740 --> 01:53:44.140]  Aspartame, maybe it's oozing aspartame
[01:53:45.180 --> 01:53:47.980]  It's orbit orbits all of this aspartame
[01:53:48.580 --> 01:53:53.620]  Orbit missed like a waterfall. Let's see a waterfall of aspartame actually
[01:53:53.620 --> 01:54:00.340]  So let's try trident trident white freshens breath good for cavities aspartame
[01:54:04.940 --> 01:54:08.900]  Stride stride gum aspartame
[01:54:10.860 --> 01:54:15.300]  Trident layers aspartame
[01:54:17.180 --> 01:54:19.180]  Extra try extra
[01:54:19.180 --> 01:54:25.260]  Aspartame all of these have aspartame. Let's see Wrigley's. Let's try Wrigley's five
[01:54:27.820 --> 01:54:30.540]  Aspartame dintene ice
[01:54:33.140 --> 01:54:34.900]  Aspartame
[01:54:34.900 --> 01:54:39.060]  See is that everything eclipse? Did we try that? Let's see eclipse go
[01:54:40.620 --> 01:54:41.900]  Aspartame
[01:54:41.900 --> 01:54:45.660]  Let's even try. Let's try this sugar bubble tape
[01:54:45.660 --> 01:54:49.180]  This is what the little kids like to get all the time because it rolls out. It's really fun
[01:54:49.740 --> 01:54:53.260]  And it's filled with aspartame right there bubble tape. So
[01:54:54.100 --> 01:55:00.820]  As you can see we tried we looked at every gum here every single gum here and try to find just one that didn't contain aspartame and
[01:55:01.340 --> 01:55:08.980]  We couldn't find it now in addition project 7 has partnered with and given thousands of dollars to Coney 2012 war
[01:55:08.980 --> 01:55:16.860]  Propagandists invisible children now if you'll recall they put out a whole call for military intervention into Uganda to go
[01:55:16.860 --> 01:55:22.620]  After warlord Joseph Coney who hadn't even been seen in the country for years in addition
[01:55:22.620 --> 01:55:28.020]  There's a little bit of an issue with some of the management there at invisible children as we'll see as we go to these clips
[01:55:28.020 --> 01:55:42.180]  That's not your average crazy person going on a naked obscenity filled rant in the middle of the day. It's Jason Russell now in
[01:55:42.380 --> 01:55:49.100]  Analyzing that you'll see Jason Russell co-founder of invisible children going on a drug-induced naked tirade through town
[01:55:49.580 --> 01:55:52.100]  shortly following his Coney 2012 video release
[01:55:52.100 --> 01:55:57.100]  We want to we want a million dollars. Oh, oh
[01:56:03.340 --> 01:56:08.860]  There's it here hundred thousand for Haiti and nine hundred thousand extra for me
[01:56:09.740 --> 01:56:11.740]  And that clip you just saw
[01:56:12.180 --> 01:56:15.340]  Jedediah Jenkins invisible children director of ideology
[01:56:15.340 --> 01:56:21.980]  Drinking vodka and talking about how he just got a one million dollar grant for children's relief after the Haiti earthquake
[01:56:21.980 --> 01:56:26.420]  Of which a hundred thousand dollars would go to the children and nine hundred thousand dollars
[01:56:26.420 --> 01:56:30.420]  He would keep for himself really makes you feel like you want to donate money to these guys
[01:56:30.700 --> 01:56:37.820]  Now in addition project 7 has also partnered and funds to organizations that are co-funded by
[01:56:38.100 --> 01:56:42.540]  known elite eugenicist Bill Gates and his Bill and Melinda Gates Foundation and
[01:56:42.540 --> 01:56:49.540]  And Oprah has recently been seen giving out water from project 7 at some of her events as you might recall
[01:56:49.540 --> 01:56:56.300]  Oprah likes to take part in secret meetings with known eugenicists Ted Turner Warren Buffett and David Rockefeller and Bill Gates
[01:56:56.300 --> 01:57:00.020]  where population control seems to be the constant topic of
[01:57:00.900 --> 01:57:08.740]  discussion the price of admission is a billion dollars and a philanthropic heart and that meets the pricey requirements recently held in a
[01:57:08.740 --> 01:57:16.460]  Secret meeting and private meeting in New York City behind closed doors on this New York campus a secret gathering of some of the world's most
[01:57:16.740 --> 01:57:22.460]  Powerful people Gates Buffett Bloomberg Winfrey. It was like well. It was like
[01:57:23.260 --> 01:57:29.940]  The super friend so there you have it companies like to sell you the trendy idea of saving the earth that you're gonna do something great
[01:57:29.940 --> 01:57:33.480]  It's gonna be really good and in the meantime you're also co-funding
[01:57:33.480 --> 01:57:41.360]  Eugenicist organizations and organizations run by corrupt people and you could potentially be hurting yourself with harmful chemicals
[01:57:41.360 --> 01:58:04.000]  So check those labels guys. I'm Melissa mountain reporting for infowars nightly news
