[00:00.000 --> 00:01.400]  We've got it, Douga.
[01:48:06.800 --> 01:48:09.800]  and it's here to make sure the global crime syndicate can take over
[01:48:09.800 --> 01:48:11.800]  and ship drugs into the streets of our country.
[01:48:11.800 --> 01:48:12.800]  That's the truth.
[01:48:12.800 --> 01:48:14.800]  There, I just translated the Judas Priest for you.
[01:48:14.800 --> 01:48:16.800]  Briefly, before I go to some calls
[01:48:16.800 --> 01:48:17.800]  and then one of the reports,
[01:48:17.800 --> 01:48:19.800]  David Knight will have to air tomorrow
[01:48:19.800 --> 01:48:21.800]  on the police dogs coming in your house
[01:48:21.800 --> 01:48:23.800]  without warrants now at the Supreme Court.
[01:48:23.800 --> 01:48:25.800]  Strategic relocation of the new film I produced
[01:48:25.800 --> 01:48:27.800]  with Joel Scalzen along with his book
[01:48:27.800 --> 01:48:29.800]  is now available at infowarstore.com
[01:48:29.800 --> 01:48:31.800]  and every order gets a free citizen rulebook
[01:48:31.800 --> 01:48:33.800]  full of evil American terrorism stuff
[01:48:33.800 --> 01:48:35.800]  like a declaration of independence.
[01:48:35.800 --> 01:48:37.800]  Learn about the safest areas in the United States
[01:48:37.800 --> 01:48:39.800]  or the world for that matter
[01:48:39.800 --> 01:48:41.800]  at infowarstore.com.
[01:48:41.800 --> 01:48:42.800]  Strategic relocation.
[01:48:42.800 --> 01:48:44.800]  Let's go to Greg in Oklahoma
[01:48:44.800 --> 01:48:45.800]  then Dave in Missouri.
[01:48:45.800 --> 01:48:47.800]  Scott in Colorado and others.
[01:48:47.800 --> 01:48:49.800]  Greg, you're on the air.
[01:48:49.800 --> 01:48:50.800]  Go ahead.
[01:48:50.800 --> 01:48:51.800]  Hi, Alex.
[01:48:51.800 --> 01:48:52.800]  Welcome.
[01:48:52.800 --> 01:48:54.800]  I want to talk briefly about the election,
[01:48:54.800 --> 01:48:56.800]  but first I've always wanted to tell you
[01:48:56.800 --> 01:48:58.800]  that God loves all his children,
[01:48:58.800 --> 01:49:00.800]  just like any father loves all his children,
[01:49:00.800 --> 01:49:02.800]  but he's more proud of a lot of them
[01:49:02.800 --> 01:49:05.800]  than others and he's definitely proud of you.
[01:49:05.800 --> 01:49:07.800]  I try my best, brother.
[01:49:07.800 --> 01:49:08.800]  Thanks for putting up with me.
[01:49:08.800 --> 01:49:09.800]  What's on your mind?
[01:49:09.800 --> 01:49:10.800]  You're a good man.
[01:49:10.800 --> 01:49:13.800]  I gave, we're middle class.
[01:49:13.800 --> 01:49:16.800]  I gave about 3% of our income last year
[01:49:16.800 --> 01:49:18.800]  to Info Wars and Ron Paul,
[01:49:18.800 --> 01:49:20.800]  and when I saw how he was treated
[01:49:20.800 --> 01:49:21.800]  by the Republicans,
[01:49:21.800 --> 01:49:23.800]  I swore I wouldn't support Mitt Romney
[01:49:23.800 --> 01:49:25.800]  or whoever won for the Republicans.
[01:49:25.800 --> 01:49:27.800]  But I've changed my mind
[01:49:27.800 --> 01:49:29.800]  and I want to give you a few quick reasons why.
[01:49:29.800 --> 01:49:33.800]  First, there is no opposition
[01:49:33.800 --> 01:49:35.800]  to the current regime
[01:49:35.800 --> 01:49:37.800]  except from the patriot movement
[01:49:37.800 --> 01:49:39.800]  and the weak-need Republicans.
[01:49:39.800 --> 01:49:41.800]  If Bush had tried to do
[01:49:41.800 --> 01:49:43.800]  about half of what Obama's done,
[01:49:43.800 --> 01:49:45.800]  they would have had the left
[01:49:45.800 --> 01:49:46.800]  up in arms about it.
[01:49:46.800 --> 01:49:48.800]  We need the opposition of the left
[01:49:48.800 --> 01:49:50.800]  and the anti-war.
[01:49:50.800 --> 01:49:51.800]  I agree.
[01:49:51.800 --> 01:49:53.800]  The left used to hate drones
[01:49:53.800 --> 01:49:55.800]  and secret arrest and checkpoints
[01:49:55.800 --> 01:49:56.800]  and wars.
[01:49:56.800 --> 01:49:57.800]  Under Obama, they just say,
[01:49:57.800 --> 01:49:59.800]  look, this guy, you know,
[01:49:59.800 --> 01:50:00.800]  is part African-American.
[01:50:00.800 --> 01:50:01.800]  Let him do whatever he wants.
[01:50:01.800 --> 01:50:02.800]  I mean, it's horrible.
[01:50:02.800 --> 01:50:03.800]  Exactly.
[01:50:03.800 --> 01:50:06.800]  Second, I don't think that preppers
[01:50:06.800 --> 01:50:08.800]  are going to be the victims
[01:50:08.800 --> 01:50:11.800]  of the same opprobrium under Romney.
[01:50:11.800 --> 01:50:12.800]  If for no reason,
[01:50:12.800 --> 01:50:13.800]  then he's a Mormon
[01:50:13.800 --> 01:50:15.800]  and part of his faith is to be prepared.
[01:50:15.800 --> 01:50:16.800]  No, exactly.
[01:50:16.800 --> 01:50:18.800]  Obama has completely shifted away
[01:50:18.800 --> 01:50:19.800]  from the boogeyman al-Qaeda
[01:50:19.800 --> 01:50:21.800]  to saying the number one threat is veterans.
[01:50:21.800 --> 01:50:23.800]  I mean, how do they get away
[01:50:23.800 --> 01:50:24.800]  with saying veterans
[01:50:24.800 --> 01:50:26.800]  are the number one terror threat?
[01:50:26.800 --> 01:50:27.800]  I mean, they shouldn't even be
[01:50:27.800 --> 01:50:29.800]  on the list of terror threats.
[01:50:29.800 --> 01:50:30.800]  It makes no sense either
[01:50:30.800 --> 01:50:32.800]  because what hundreds and hundreds
[01:50:32.800 --> 01:50:34.800]  of thousands of veterans have come back,
[01:50:34.800 --> 01:50:36.800]  there's been no terror results.
[01:50:36.800 --> 01:50:38.800]  The only way a veteran's going to be
[01:50:38.800 --> 01:50:39.800]  a, quote, terrorist
[01:50:39.800 --> 01:50:41.800]  is if you try to take their guns,
[01:50:41.800 --> 01:50:42.800]  they resist,
[01:50:42.800 --> 01:50:44.800]  they're going to be called a terrorist.
[01:50:44.800 --> 01:50:45.800]  That's right.
[01:50:45.800 --> 01:50:47.800]  The third reason, the last one is,
[01:50:47.800 --> 01:50:48.800]  I'm just so upset
[01:50:48.800 --> 01:50:50.800]  about all these threats of writing
[01:50:50.800 --> 01:50:51.800]  and all the subtle threats
[01:50:51.800 --> 01:50:53.800]  and intimidation that comes from that.
[01:50:53.800 --> 01:50:54.800]  Well, they didn't subtle
[01:50:54.800 --> 01:50:57.800]  when you got all these people,
[01:50:57.800 --> 01:51:00.800]  MSNBC, but mainly Slimeball,
[01:51:00.800 --> 01:51:02.800]  but you've got Maher
[01:51:02.800 --> 01:51:04.800]  and you've got the self-propelled stomach,
[01:51:04.800 --> 01:51:05.800]  Michael Moore,
[01:51:05.800 --> 01:51:07.800]  saying, burn down cities,
[01:51:07.800 --> 01:51:08.800]  attack white people.
[01:51:08.800 --> 01:51:10.800]  I mean, let me tell you,
[01:51:10.800 --> 01:51:11.800]  you got First Amendment,
[01:51:11.800 --> 01:51:12.800]  you don't have a right
[01:51:12.800 --> 01:51:13.800]  to call for violence
[01:51:13.800 --> 01:51:14.800]  and I think they both
[01:51:14.800 --> 01:51:15.800]  need to have their butts arrested.
[01:51:15.800 --> 01:51:16.800]  I agree.
[01:51:16.800 --> 01:51:19.800]  I think if Romney is elected
[01:51:19.800 --> 01:51:21.800]  and we see writing and whatnot,
[01:51:21.800 --> 01:51:23.800]  I think we need to know that.
[01:51:23.800 --> 01:51:24.800]  I think we need to know
[01:51:24.800 --> 01:51:25.800]  where are we as a country?
[01:51:25.800 --> 01:51:26.800]  Are we at the place
[01:51:26.800 --> 01:51:28.800]  where somebody that's as heinous
[01:51:28.800 --> 01:51:31.800]  and lawless and authoritarian
[01:51:31.800 --> 01:51:32.800]  as Obama,
[01:51:32.800 --> 01:51:33.800]  if he doesn't get re-elected,
[01:51:33.800 --> 01:51:34.800]  people are going to riot?
[01:51:34.800 --> 01:51:36.800]  We need to know that.
[01:51:36.800 --> 01:51:38.800]  Listen, I'm sick of every time
[01:51:38.800 --> 01:51:40.800]  Nightline, MSNBC,
[01:51:40.800 --> 01:51:42.800]  New York Times is in my office.
[01:51:42.800 --> 01:51:43.800]  They say,
[01:51:43.800 --> 01:51:44.800]  don't you feel bad
[01:51:44.800 --> 01:51:45.800]  you're going to cause violence
[01:51:45.800 --> 01:51:46.800]  when I'm calling
[01:51:46.800 --> 01:51:48.800]  to peacefully restore the Republic
[01:51:48.800 --> 01:51:49.800]  while their people
[01:51:49.800 --> 01:51:50.800]  are the ones that always push it.
[01:51:50.800 --> 01:51:51.800]  That's what I'm saying.
[01:51:51.800 --> 01:51:53.800]  It's not just that they're lying
[01:51:53.800 --> 01:51:54.800]  about me or you.
[01:51:54.800 --> 01:51:56.800]  They're then doing it.
[01:51:56.800 --> 01:51:57.800]  I'm sick of it.
[01:51:57.800 --> 01:52:00.800]  I've had the FBI here over this.
[01:52:00.800 --> 01:52:02.800]  While they're running around doing it,
[01:52:02.800 --> 01:52:03.800]  blaming me.
[01:52:03.800 --> 01:52:04.800]  I appreciate your call.
[01:52:04.800 --> 01:52:05.800]  Great caller.
[01:52:05.800 --> 01:52:06.800]  Great points.
[01:52:06.800 --> 01:52:07.800]  I want to go to a few more,
[01:52:07.800 --> 01:52:08.800]  but here briefly,
[01:52:08.800 --> 01:52:10.800]  before we go to who's up next,
[01:52:10.800 --> 01:52:11.800]  Dave and others,
[01:52:11.800 --> 01:52:13.800]  here is part of the report
[01:52:13.800 --> 01:52:15.800]  with Dave Ortiz,
[01:52:15.800 --> 01:52:16.800]  one of our reporters
[01:52:16.800 --> 01:52:17.800]  and Gary Johnson
[01:52:17.800 --> 01:52:18.800]  on the New World Order.
[01:52:18.800 --> 01:52:21.800]  Here it is.
[01:52:21.800 --> 01:52:23.800]  In force, Nightline knows.
[01:52:23.800 --> 01:52:24.800]  Now,
[01:52:24.800 --> 01:52:26.800]  in your opinion, Governor,
[01:52:26.800 --> 01:52:28.800]  is this world run by a handful
[01:52:28.800 --> 01:52:30.800]  of powerful banks?
[01:52:30.800 --> 01:52:31.800]  In my opinion,
[01:52:31.800 --> 01:52:33.800]  this world is run by
[01:52:33.800 --> 01:52:35.800]  a powerful group of
[01:52:35.800 --> 01:52:36.800]  whether they're bankers,
[01:52:36.800 --> 01:52:38.800]  whether they're media.
[01:52:38.800 --> 01:52:41.800]  They are people that
[01:52:41.800 --> 01:52:43.800]  are in charge of what we hear
[01:52:43.800 --> 01:52:44.800]  and what we think
[01:52:44.800 --> 01:52:45.800]  and what we're able to do
[01:52:45.800 --> 01:52:47.800]  in ways that are
[01:52:47.800 --> 01:52:49.800]  completely undetected
[01:52:49.800 --> 01:52:51.800]  by all of us.
[01:52:51.800 --> 01:52:53.800]  And this is the opportunity
[01:52:53.800 --> 01:52:55.800]  here with this election,
[01:52:55.800 --> 01:52:57.800]  with the next election,
[01:52:57.800 --> 01:52:58.800]  voting for me, I think,
[01:52:58.800 --> 01:53:00.800]  is to really just
[01:53:00.800 --> 01:53:02.800]  give that one the swiftest
[01:53:02.800 --> 01:53:03.800]  boot in the rear end
[01:53:03.800 --> 01:53:05.800]  that you could possibly give.
[01:53:05.800 --> 01:53:06.800]  Now, Governor,
[01:53:06.800 --> 01:53:07.800]  obviously you were
[01:53:07.800 --> 01:53:08.800]  a former governor.
[01:53:08.800 --> 01:53:09.800]  Have you heard
[01:53:09.800 --> 01:53:10.800]  of the Bilderberg Group?
[01:53:10.800 --> 01:53:11.800]  And if so,
[01:53:11.800 --> 01:53:12.800]  what are your thoughts
[01:53:12.800 --> 01:53:13.800]  on this group?
[01:53:13.800 --> 01:53:15.800]  You know, I've heard about it.
[01:53:15.800 --> 01:53:17.800]  I've done some
[01:53:17.800 --> 01:53:19.800]  Wikipedia
[01:53:19.800 --> 01:53:21.800]  is what I've read about it.
[01:53:21.800 --> 01:53:23.800]  And I don't have
[01:53:23.800 --> 01:53:25.800]  an opinion, yay or nay,
[01:53:25.800 --> 01:53:28.800]  as to their significance.
[01:53:28.800 --> 01:53:30.800]  But look,
[01:53:30.800 --> 01:53:32.800]  I was excluded from
[01:53:32.800 --> 01:53:35.800]  debates in the Republican primary.
[01:53:35.800 --> 01:53:37.800]  This was a decision
[01:53:37.800 --> 01:53:39.800]  that occurred in boardrooms.
[01:53:39.800 --> 01:53:40.800]  Who made up,
[01:53:40.800 --> 01:53:41.800]  who made those decisions?
[01:53:41.800 --> 01:53:43.800]  I can't tell you who made them,
[01:53:43.800 --> 01:53:45.800]  but they were made
[01:53:45.800 --> 01:53:47.800]  and they were made in ways
[01:53:47.800 --> 01:53:50.800]  that excluded me unfairly
[01:53:50.800 --> 01:53:52.800]  and nobody was able
[01:53:52.800 --> 01:53:54.800]  to even notice that happening.
[01:53:54.800 --> 01:53:56.800]  I could point to hundreds
[01:53:56.800 --> 01:53:57.800]  of different reasons.
[01:53:57.800 --> 01:53:58.800]  It would only be a guess,
[01:53:58.800 --> 01:54:01.800]  but this is an example
[01:54:01.800 --> 01:54:04.800]  of how our lives get controlled
[01:54:04.800 --> 01:54:06.800]  by individuals that
[01:54:06.800 --> 01:54:08.800]  own the world, if you will.
[01:54:08.800 --> 01:54:09.800]  OK, but you don't know
[01:54:09.800 --> 01:54:10.800]  what goes behind,
[01:54:10.800 --> 01:54:11.800]  you know, behind closed doors,
[01:54:11.800 --> 01:54:13.800]  these Bilderberg meetings.
[01:54:13.800 --> 01:54:15.800]  I don't, and
[01:54:15.800 --> 01:54:17.800]  I know that you all offer
[01:54:17.800 --> 01:54:18.800]  conjecture on that,
[01:54:18.800 --> 01:54:19.800]  but I sure don't.
[01:54:19.800 --> 01:54:20.800]  What were your thoughts
[01:54:20.800 --> 01:54:21.800]  on the presidential debates?
[01:54:21.800 --> 01:54:23.800]  Both candidates had to say.
[01:54:23.800 --> 01:54:25.800]  Not just much to do about nothing.
[01:54:25.800 --> 01:54:27.800]  Yeah, exactly.
[01:54:27.800 --> 01:54:28.800]  I agree with Gary Johnson.
[01:54:28.800 --> 01:54:29.800]  It was like both bragging
[01:54:29.800 --> 01:54:30.800]  how much, you know,
[01:54:30.800 --> 01:54:31.800]  which side will give you more government.
[01:54:31.800 --> 01:54:32.800]  If you want to see
[01:54:32.800 --> 01:54:34.800]  the whole 34-minute interview
[01:54:34.800 --> 01:54:36.800]  with Gary Johnson talks,
[01:54:36.800 --> 01:54:37.800]  New World Order, Bilderberg,
[01:54:37.800 --> 01:54:38.800]  and Bohemian Grove,
[01:54:38.800 --> 01:54:40.800]  it's up at infowars.com right now
[01:54:40.800 --> 01:54:42.800]  or just Google Gary Johnson talks,
[01:54:42.800 --> 01:54:43.800]  New World Order.
[01:54:43.800 --> 01:54:45.800]  Let's cut that off now, though,
[01:54:45.800 --> 01:54:47.800]  because I promise to go to more calls.
[01:54:47.800 --> 01:54:49.800]  Dave in Missouri, real fast, brother.
[01:54:49.800 --> 01:54:50.800]  Go ahead.
[01:54:50.800 --> 01:54:51.800]  Hey, Alex.
[01:54:51.800 --> 01:54:53.800]  Great job, Nolly, that you're doing.
[01:54:53.800 --> 01:54:54.800]  I'm one of those veterans
[01:54:54.800 --> 01:54:55.800]  that's sort of upholding
[01:54:55.800 --> 01:54:56.800]  and defending the Constitution
[01:54:56.800 --> 01:54:58.800]  for enemies, both foreign and domestic.
[01:54:58.800 --> 01:55:00.800]  And I refuse to vote
[01:55:00.800 --> 01:55:01.800]  for any liar who's going to get up there
[01:55:01.800 --> 01:55:03.800]  and say that they do the same
[01:55:03.800 --> 01:55:06.800]  when they support the Patriot Act,
[01:55:06.800 --> 01:55:07.800]  which is a direct violation
[01:55:07.800 --> 01:55:08.800]  of the Fourth Amendment,
[01:55:08.800 --> 01:55:10.800]  in the ADA and...
[01:55:10.800 --> 01:55:12.800]  Both of them support it.
[01:55:12.800 --> 01:55:13.800]  Both of them do.
[01:55:13.800 --> 01:55:16.800]  I flat out refuse to vote for anybody
[01:55:16.800 --> 01:55:17.800]  that's going to get up there and lie
[01:55:17.800 --> 01:55:19.800]  with the very first thing they do as president.
[01:55:19.800 --> 01:55:21.800]  So I'm going to vote for Gary Johnson
[01:55:21.800 --> 01:55:23.800]  and help him try to get that 5%
[01:55:23.800 --> 01:55:25.800]  so that that will open up doors
[01:55:25.800 --> 01:55:27.800]  that will bring down the left-right paradigm.
[01:55:27.800 --> 01:55:29.800]  Well, there's no mistake
[01:55:29.800 --> 01:55:31.800]  that the New World Order agenda
[01:55:31.800 --> 01:55:33.800]  continues to move on no matter what we do.
[01:55:33.800 --> 01:55:35.800]  Both parties are bought off.
[01:55:35.800 --> 01:55:37.800]  It's just the Democrats move us at light speed
[01:55:37.800 --> 01:55:41.800]  and the Republicans, you know,
[01:55:41.800 --> 01:55:43.800]  move us at sub-warp.
[01:55:43.800 --> 01:55:44.800]  It doesn't matter.
[01:55:44.800 --> 01:55:46.800]  We're going the same direction.
[01:55:46.800 --> 01:55:47.800]  Correct.
[01:55:47.800 --> 01:55:48.800]  So what do we do then?
[01:55:48.800 --> 01:55:52.800]  Just continue to expose these people?
[01:55:52.800 --> 01:55:55.800]  Yes, that's the greatest thing.
[01:55:55.800 --> 01:55:57.800]  Maybe Obama being elected,
[01:55:57.800 --> 01:55:58.800]  that would help
[01:55:58.800 --> 01:56:00.800]  because it's going to wake up people quicker.
[01:56:00.800 --> 01:56:03.800]  I posted that on Facebook
[01:56:03.800 --> 01:56:05.800]  that I refuse to vote for a liar
[01:56:05.800 --> 01:56:08.800]  and I had a veteran relative say,
[01:56:08.800 --> 01:56:10.800]  oh, yeah, we need more people to believe like that.
[01:56:10.800 --> 01:56:12.800]  And then within 10, 15 minutes,
[01:56:12.800 --> 01:56:14.800]  he realized, wait a minute, that's Romney.
[01:56:14.800 --> 01:56:15.800]  And he supports Romney
[01:56:15.800 --> 01:56:17.800]  because he's not as bad as Obama.
[01:56:17.800 --> 01:56:20.800]  And that's brain-voiced and we've been brain-voiced.
[01:56:20.800 --> 01:56:22.800]  You know, we have to stand up to him
[01:56:22.800 --> 01:56:23.800]  everywhere we can.
[01:56:23.800 --> 01:56:24.800]  Now, we have been brain-washed.
[01:56:24.800 --> 01:56:25.800]  Look, I said this earlier.
[01:56:25.800 --> 01:56:27.800]  If Obama gets elected,
[01:56:27.800 --> 01:56:30.800]  I go from 140 stations to 300.
[01:56:30.800 --> 01:56:32.800]  I mean, I will enter
[01:56:32.800 --> 01:56:34.800]  the Michael Savage Rush Limbaugh level
[01:56:34.800 --> 01:56:37.800]  in the next year if Obama's elected.
[01:56:37.800 --> 01:56:40.800]  But I still get what you're saying
[01:56:40.800 --> 01:56:42.800]  about how it's lesser of two evils,
[01:56:42.800 --> 01:56:44.800]  but I still don't want Obama to get in
[01:56:44.800 --> 01:56:45.800]  because he told me in a debate
[01:56:45.800 --> 01:56:47.800]  he's going to ban my guns.
[01:56:47.800 --> 01:56:48.800]  I mean, he said it.
[01:56:48.800 --> 01:56:50.800]  He loves abortion.
[01:56:50.800 --> 01:56:52.800]  At least Romney now has to say he's against it.
[01:56:52.800 --> 01:56:54.800]  So I'm like, I've never been conflicted
[01:56:54.800 --> 01:56:56.800]  in 17 years on air.
[01:56:56.800 --> 01:56:59.800]  And I am conflicted because my gut tells me
[01:56:59.800 --> 01:57:01.800]  Obama is going to drop the hammer.
[01:57:01.800 --> 01:57:02.800]  But then like you just said,
[01:57:02.800 --> 01:57:04.800]  maybe that's good.
[01:57:04.800 --> 01:57:06.800]  Let's just get this thing on.
[01:57:06.800 --> 01:57:09.800]  Let's just get it all out in the open all the way.
[01:57:09.800 --> 01:57:11.800]  I think that'll wake up more people
[01:57:11.800 --> 01:57:12.800]  the fastest.
[01:57:12.800 --> 01:57:14.800]  That may be our best hope.
[01:57:14.800 --> 01:57:15.800]  Well, you know what?
[01:57:15.800 --> 01:57:17.800]  We're going to find out in less than 48 hours.
[01:57:17.800 --> 01:57:18.800]  48 hours from now.
[01:57:18.800 --> 01:57:20.800]  They're going to start getting ready to announce
[01:57:20.800 --> 01:57:22.800]  on Tuesday night who the winner is.
[01:57:22.800 --> 01:57:24.800]  And I'm sorry, I apologize to Scott,
[01:57:24.800 --> 01:57:26.800]  DC, Jerry, and Jonathan.
[01:57:26.800 --> 01:57:27.800]  Call me back tomorrow.
[01:57:27.800 --> 01:57:30.800]  Open phones again, 11 a.m. to 2 p.m. central.
[01:57:30.800 --> 01:57:32.800]  If you want to find us out there,
[01:57:32.800 --> 01:57:34.800]  it's infowars.com and prisonplanet.com.
[01:57:34.800 --> 01:57:37.800]  And all I want is a future for my children.
[01:57:37.800 --> 01:57:39.800]  I think you want that no matter what color you are.
[01:57:39.800 --> 01:57:42.800]  The fact that the Democrats are calling for race riots
[01:57:42.800 --> 01:57:44.800]  and not getting in trouble is really scary.
[01:57:44.800 --> 01:57:46.800]  All right, great job with the crew.
[01:57:46.800 --> 01:58:01.800]  We'll see you tomorrow.
[01:58:16.800 --> 01:58:42.800]  We'll see you tomorrow.
[01:58:42.800 --> 01:58:49.800]  We'll see you tomorrow.
[01:59:12.800 --> 01:59:19.800]  We'll see you tomorrow.
[01:59:42.800 --> 01:59:55.800]  We'll see you tomorrow.
