[00:00:02.611 --> 00:00:04.412]  It makes zero sense.
[00:24:36.160 --> 00:24:40.326]  And then on the news, though, it's like safe and effective, highly tested, and totally safe.
[00:24:41.767 --> 00:24:43.608]  I saw it in the Austin Chronicle last week's edition.
[00:24:43.608 --> 00:24:44.928]  It's actually in my office.
[00:24:44.928 --> 00:24:45.588]  My door is open.
[00:24:45.588 --> 00:24:50.230]  Somebody will go grab me the Chronicle off my desk, the local communist paper.
[00:24:50.230 --> 00:24:55.832]  And it shows them handing out to black people a sheet saying COVID vaccine is totally safe and effective.
[00:24:55.832 --> 00:25:02.114]  They come to the door and they go, I brought you a couple cans of baked beans because you're black and I'm a white savior.
[00:25:02.114 --> 00:25:03.614]  Will you please take it?
[00:25:03.614 --> 00:25:05.075]  I love you so much.
[00:25:05.075 --> 00:25:06.355]  I'm so liberal.
[00:25:06.355 --> 00:25:08.916]  And of course, the idiot coming to your door just wants the virtue signal.
[00:25:10.191 --> 00:25:14.232]  But they're part of something big and evil.
[00:25:14.232 --> 00:25:17.193]  So let's go ahead and play part of the 60 Minutes piece.
[00:25:17.193 --> 00:25:18.513]  Here it is, 60 Minutes.
[00:25:18.513 --> 00:25:21.133]  To save you from COVID, the microchip.
[00:25:21.133 --> 00:25:24.414]  Dr. Hepburn showed us a few current projects.
[00:25:24.414 --> 00:25:27.675]  Some sound like they're from an episode of Star Trek.
[00:25:27.675 --> 00:25:36.617]  Consider a ship like the USS Theodore Roosevelt, hobbled last year when 1,271 crew members tested positive for the coronavirus.
[00:25:37.387 --> 00:25:44.527]  What if everyone on board had their health monitored with this subdermal implant now in late stage testing?
[00:25:45.251 --> 00:25:54.996]  It's not some dreaded government microchip to track your every move, but a tissue like gel engineered to continuously test your blood.
[00:25:54.996 --> 00:25:56.457]  It's a sensor.
[00:25:56.457 --> 00:25:58.198]  This tiny green thing in there?
[00:25:58.198 --> 00:26:12.105]  That tiny green thing in there, you put it underneath your skin and what that tells you is that there are chemical reactions going on inside the body and that signal means you're going to have symptoms tomorrow.
[00:26:12.105 --> 00:26:12.305]  Wow.
[00:26:12.865 --> 00:26:15.367]  There's an actual transmitter in that?
[00:26:15.367 --> 00:26:17.089]  Yeah, it's like a check engine light.
[00:26:17.089 --> 00:26:20.432]  Check this sailor out before he infects other people.
[00:26:20.432 --> 00:26:21.513]  That's right.
[00:26:21.513 --> 00:26:27.498]  Sailors would get the signal, then self-administer a blood draw and test themselves on site.
[00:26:27.498 --> 00:26:28.179]  Look at that.
[00:26:28.179 --> 00:26:31.202]  We can have that information in three to five minutes.
[00:26:31.202 --> 00:26:38.028]  As you truncate that time, as you diagnose and treat, what you do is you stop the infection in its tracks.
[00:26:39.409 --> 00:26:43.592]  Alright, let's unpack the fallacies, the lies, the fraud, the deception.
[00:26:43.592 --> 00:26:46.054]  In just that short clip, it gets even worse.
[00:26:46.054 --> 00:26:48.236]  And of course, Bill Gates is directly funding that project.
[00:26:48.236 --> 00:26:49.057]  Oh, but he isn't!
[00:26:49.057 --> 00:26:51.058]  The ADL will say you're a Nazi if you try to stop it.
[00:26:51.058 --> 00:26:53.660]  You don't want to take microchips that track you, you're a Nazi!
[00:26:53.660 --> 00:26:56.703]  The ADL said so!
[00:26:56.703 --> 00:27:03.648]  The word apocalypse means the revealing of what was once hidden.
[00:27:03.648 --> 00:27:08.212]  And now that all the lies are being revealed, what will you do?
[00:27:09.882 --> 00:27:13.668]  We know that millions will do absolutely nothing.
[00:27:13.668 --> 00:27:18.435]  They will do whatever they are told, as if obedience is a virtue.
[00:27:18.435 --> 00:27:22.681]  It is the patriots of the world versus everybody else.
[00:27:24.074 --> 00:27:33.716]  I do solemnly swear that I will support and defend the Constitution of the United States against all enemies, foreign and domestic.
[00:27:33.716 --> 00:27:37.816]  That I will bear true faith and allegiance to the same.
[00:27:37.816 --> 00:27:44.298]  That I take this obligation freely, without any mental reservation or purpose of evasion.
[00:27:44.298 --> 00:27:49.498]  And that I will well and faithfully discharge my duties as best as I can.
[00:27:49.498 --> 00:27:51.279]  So help me God.
[00:27:51.279 --> 00:27:52.359]  Infowars.com
[00:27:52.961 --> 00:27:53.869]  BAM dot video.
[00:27:57.060 --> 00:28:01.381]  All of the experts agree that getting proper sleep is the cornerstone of good health.
[00:28:01.381 --> 00:28:12.003]  It has been proven that a poor sleep schedule is linked with numerous health problems, including weight gain, memory issues, mood changes, poor concentration, and even a weakened immune system.
[00:28:12.003 --> 00:28:18.184]  Introducing RocketRest, the new product from our Dr. Jones Naturals line at InfowarsStore.com.
[00:28:18.184 --> 00:28:26.285]  The new RocketRest formula is loaded with the best natural ingredients to help not only improve your quality of sleep, but help you wake up feeling refreshed.
[00:28:26.725 --> 00:28:36.827]  Many competitors sleep formulas focus only on getting you to sleep, but Rocket Rest was specifically formulated to help you feel rested and ready to take on the next day.
[00:28:36.827 --> 00:28:44.628]  It uses a unique quick-release capsule system to ensure fast delivery of deep sleep support ingredients like melatonin and magnesium.
[00:28:44.628 --> 00:28:49.329]  Rocket Rest helps you fall asleep fast, stay asleep, and wake up feeling rested.
[00:28:49.329 --> 00:28:55.030]  So get the new Rocket Rest formula from Dr. Jones Naturals right now at InfoWareStore.com.
[00:28:57.000 --> 00:29:00.403]  I am a very humble person, but I'm also a bold person.
[00:29:00.403 --> 00:29:10.313]  And so, as bad as things are with the globalists attacking humanity, with all the terrible things that are unfolding, I want you to know that a lot of positive things are happening as well.
[00:29:10.313 --> 00:29:13.696]  I'm a public figure, so I get to see things the general public doesn't get to see.
[00:29:13.696 --> 00:29:21.703]  And let me tell you, whether it's police chiefs, or members of Congress, or even folks in Hollywood, or mainstream media, or industry,
[00:29:22.664 --> 00:29:26.106]  People are really, really awake in the establishment.
[00:29:26.106 --> 00:29:30.748]  They don't want to go along with the globalists, but they're scared, they're looking for leadership.
[00:29:30.748 --> 00:29:32.849]  Well, that's where InfoWars comes in.
[00:29:32.849 --> 00:29:36.671]  You fund us, you support InfoWars4.com, you get great products for you at the same time.
[00:29:37.671 --> 00:29:38.511]  We're good to go.
[00:29:59.208 --> 00:30:04.933]  Snowden and others taught us how mobile phones are constantly spying on us.
[00:30:04.933 --> 00:30:11.778]  Not just tracking and recording our GPS location, but recording audio and video as well.
[00:30:11.778 --> 00:30:13.440]  With or without a battery.
[00:30:14.222 --> 00:30:20.305]  Now, with the Infowars Privacy Pouch, you can go dark wherever you choose.
[00:30:20.305 --> 00:30:21.165]  Excellent.
[00:30:21.165 --> 00:30:26.768]  Now I have my own compact Faraday cage I can take wherever I want.
[00:30:26.768 --> 00:30:29.789]  And you can too, at InfowarsStore.com.
[00:30:31.370 --> 00:30:42.138]  Government agencies, identity thieves, tech giants, and now contact tracers are all tracking your every move through your mobile phone.
[00:30:42.138 --> 00:30:47.061]  Now you can have the power to easily cut them off and go dark.
[00:30:47.061 --> 00:30:52.945]  Support the InfoWar and get your InfoWars privacy pouch today.
[00:30:52.945 --> 00:30:54.907]  InfoWarStore.com
[00:31:00.206 --> 00:31:17.738]  You're listening to the Alex Jones Show.
[00:31:17.738 --> 00:31:20.060]  This is the broadcast the enemy's trying to jam.
[00:31:20.060 --> 00:31:22.041]  This is the broadcast that's pro-human.
[00:31:22.041 --> 00:31:23.022]  It's the Alex Jones Show.
[00:31:23.022 --> 00:31:23.803]  Thank you for joining us.
[00:31:23.803 --> 00:31:28.386]  Now next hour, I'm going to get into the Chauvin show trial.
[00:31:29.418 --> 00:31:42.045]  Taking place in Minneapolis and the giant riots there and the looting of pizza places, foot lockers, liquor stores, you name it.
[00:31:42.045 --> 00:31:47.849]  This has nothing to do with the wrongful death of a man that had more fentanyl in his body than even two people could survive.
[00:31:49.223 --> 00:31:50.483]  It's clear the officer knew him.
[00:31:50.483 --> 00:31:52.304]  It's clear the officer was not trying to kill him.
[00:31:52.304 --> 00:31:53.424]  It looks really bad.
[00:31:53.424 --> 00:31:55.204]  We've already crossed that bridge.
[00:31:55.204 --> 00:32:00.765]  The media is hyping this to cause giant race riots around the country to further destabilize it.
[00:32:00.765 --> 00:32:07.767]  And just the trial itself has caused anti-white riots in Minneapolis and in areas of California.
[00:32:07.767 --> 00:32:14.968]  There's incredible footage on Infowars of whites just being shot at, stabbed, beat up.
[00:32:15.920 --> 00:32:23.085]  And there's so much black-on-white crime now, and the media is 100% selling it like it's good.
[00:32:23.085 --> 00:32:31.631]  Target sells a book talking about the wonders of going after and attacking white people, and they put out all these movies about how whites are inherently evil.
[00:32:31.631 --> 00:32:39.056]  And the evil ADL, the Southern Poverty Law Center, says nothing about any of it.
[00:32:39.056 --> 00:32:41.037]  They are creating total division in this country.
[00:32:42.057 --> 00:32:47.060]  To divide and conquer us, and it's social engineering and it's out of control.
[00:32:47.060 --> 00:32:49.842]  I'm going to cover all that next hour.
[00:32:49.842 --> 00:32:54.325]  But we have to understand that this is being done because they're targeting all of humanity.
[00:32:54.325 --> 00:33:03.691]  They're poisoning us, they're dumbing us down, and that they're going after everyone with these poison vaccines, with these gene therapy manipulation systems, and
[00:33:04.910 --> 00:33:10.456]  That's why they're launching this destabilization over here, while they're really attacking and killing us over there.
[00:33:10.456 --> 00:33:24.451]  But that doesn't mean that if you are a white person in a liberal blue city, that you can walk down a predominant black neighborhood, you will get attacked if you do it four or five times.
[00:33:24.451 --> 00:33:26.614]  You'll get shaken down bare minimum.
[00:33:27.538 --> 00:33:29.059]  I'm a pretty big guy.
[00:33:29.059 --> 00:33:31.300]  I don't look like a pushover.
[00:33:31.300 --> 00:33:33.601]  I cannot go to most areas of East Austin now.
[00:33:33.601 --> 00:33:37.943]  Black people will approach me and demand money and threaten to physically attack.
[00:33:37.943 --> 00:33:39.764]  I have a lot of family and stuff that's happening to them.
[00:33:39.764 --> 00:33:41.585]  I have family that's Asian.
[00:33:41.585 --> 00:33:44.386]  It happens to them.
[00:33:44.386 --> 00:33:45.546]  It's very, very sad.
[00:33:45.546 --> 00:33:46.647]  I'm not manipulated.
[00:33:46.647 --> 00:33:49.188]  I know that most black folks aren't like that.
[00:33:49.188 --> 00:33:51.129]  I understand that the media is pushing it and doing it.
[00:33:51.129 --> 00:33:53.570]  I understand that CNN and people like that are doing it.
[00:33:56.701 --> 00:34:00.342]  It still doesn't mean, though, that you should be naive about what's going to happen.
[00:34:00.342 --> 00:34:08.084]  I mean, I see articles every day about an 11-year-old girl was walking through the predominantly black neighborhood and was shot five times in the back because she's white.
[00:34:08.084 --> 00:34:12.645]  And you see the left going, oh, poor, poor white people.
[00:34:12.645 --> 00:34:16.106]  And white people are just being totally preyed upon.
[00:34:16.106 --> 00:34:16.906]  Same thing in Europe.
[00:34:16.906 --> 00:34:20.987]  The Islamists are preying on folks.
[00:34:20.987 --> 00:34:22.567]  And the Islamists get away with it so much.
[00:34:22.567 --> 00:34:24.648]  You saw the famous deal where the black rappers are in
[00:34:25.771 --> 00:34:26.571]  Was it France?
[00:34:26.571 --> 00:34:30.152]  And they start trying to shake down the black rappers and they beat up the Muslims and then they got arrested.
[00:34:30.152 --> 00:34:31.692]  It's like, no, no, no, no, no.
