[00:00.000 --> 00:10.000]  The globalist's great error is to believe that as they collapse humanity, they end up on top.
[01:50:10.480 --> 01:50:16.240]  bull's eye down to cat two looters in florida lauderdale i love how the police report that
[01:50:16.240 --> 01:50:21.120]  then they say alex jones and rush limbaugh and matt drudger being racist saying there's looters
[01:50:21.120 --> 01:50:26.640]  later they arrest anybody that didn't want i think harvey showed our unity i think this will
[01:50:26.640 --> 01:50:31.200]  show our unity as well i've celebrated our unity how do they counter that because it brings this
[01:50:31.200 --> 01:50:37.760]  together oh alex jones is against is against unity that's that's the big lie ladies and gentlemen
[01:50:37.760 --> 01:50:43.280]  just know this hollywood means nothing in closing i want to hit these reports
[01:50:44.480 --> 01:50:51.840]  trump calls for tax reform speed up in line of hurricane irma talks about how with texas and
[01:50:51.840 --> 01:50:59.600]  florida the second and third most popular states this is really causing a problem and he knows
[01:50:59.600 --> 01:51:05.600]  all the economists tell him you don't cut taxes the average person your recovery is going to stall
[01:51:05.600 --> 01:51:09.360]  that's why i like trump i'm not in league with trump it'd be great to go after him and get him
[01:51:09.360 --> 01:51:15.280]  on my back but i can't because it's the truth he's doing a good job then they bash him and say oh he
[01:51:15.280 --> 01:51:21.120]  sold out to the democrats the republican blue bloods are blocking a republican insurrection
[01:51:21.120 --> 01:51:25.680]  in the freedom caucus then they then the blue bloods try to manipulate the freedom caucus and
[01:51:25.680 --> 01:51:32.080]  say see he's selling you out the democrats no he tried to get your agenda of obamacare repeal
[01:51:32.080 --> 01:51:36.400]  and tax cuts through that's his agenda and then the blue bloods killed it with a democratic
[01:51:36.400 --> 01:51:41.040]  leadership but all the democrats want is power so trump doubles back because they want to shut
[01:51:41.040 --> 01:51:46.800]  down the economy for three months blaming on trump have standard and pours and moody's and barons
[01:51:48.240 --> 01:51:55.360]  lower our rating which has been planned have a new depression say it's the repeat of 1929
[01:51:55.360 --> 01:52:01.360]  with the smooth hallings and all the rest of it and trump's not going that direction so he says okay
[01:52:02.080 --> 01:52:05.760]  i'll i'll get the hurricane relief for texas and we know we're going to eat it for florida
[01:52:05.760 --> 01:52:10.320]  and i'll i'll go ahead and do your deal because he didn't create the big debt he didn't create
[01:52:10.320 --> 01:52:15.680]  the time bomb what kills its tax cuts and then flattening out spending he'd already gotten the
[01:52:15.680 --> 01:52:21.520]  national debt for the first time in 25 years just go down a little bit just with the exuberance just
[01:52:21.520 --> 01:52:26.880]  cutting the regulations just cutting the bureaucracy just promises the tax cuts he already had us back
[01:52:26.880 --> 01:52:31.600]  there and the globalist go no we don't want the prosperity system we want to pick and choose we want
[01:52:31.600 --> 01:52:35.840]  to infanny may fruity mac we don't want small business owners we don't want people owning their
[01:52:35.840 --> 01:52:41.040]  own houses we don't want an upward mobility group we want to go with the third world's feudal surf
[01:52:41.040 --> 01:52:49.120]  model it's not a third world model it's a roman or a british empire a colonial model that african
[01:52:49.120 --> 01:52:53.840]  latin america and much of asia never got out of america got out for just a second right back in the
[01:52:53.840 --> 01:53:01.440]  news and trump is bringing you americana that's why they hate him so bad yeah you see schumer all
[01:53:01.440 --> 01:53:05.840]  happy delightful though and the democrats keep attacking him oh look base turn away from him
[01:53:05.840 --> 01:53:09.760]  you know he was stuck between the republicans and democrats blocking him they were about to
[01:53:09.760 --> 01:53:13.840]  blame him for the economy imploding he wasn't about to do it with the midst of these hurricanes
[01:53:13.840 --> 01:53:21.040]  he wants that wave of exuberance to continue and prosperity to defeat them took the raise of the
[01:53:21.040 --> 01:53:25.760]  sun making plants grow so we'll make it through this hurricane we can't make it through his
[01:53:25.760 --> 01:53:29.760]  lomification we can't make it through sexualization of our children we can't make it through
[01:53:29.760 --> 01:53:36.160]  globalization we have to make it through being strong and focusing bound to no party trump
[01:53:36.160 --> 01:53:41.840]  up ends 150 years of two-party rule even the new york times goes he's for real he means what he's
[01:53:41.840 --> 01:53:47.280]  saying that's why he's so dangerous he's overthrown the system he's horrible he's scary let's get rid
[01:53:47.280 --> 01:53:52.800]  of him they admit he keeps his promises he really believes it oh my god he's horrible what are we gonna
[01:53:52.800 --> 01:54:00.000]  do in the end he goes on when donald j trump set his sights the presidency in the 2000 election
[01:54:00.560 --> 01:54:04.960]  he pushed the nomination of the reform party a home for this enchanted independence the republican
[01:54:04.960 --> 01:54:08.960]  party has just moved too far to the right he explained the democrats too far to the left
[01:54:08.960 --> 01:54:13.760]  in the end he dropped the campaign of the reform party a leftover construct of ross perot two
[01:54:13.760 --> 01:54:18.080]  independent presidential campaigns during the 1990s it was one of the last five times that
[01:54:18.080 --> 01:54:23.520]  trump would switch party affiliations over the ten years i'm the lone ranger he once contended
[01:54:24.880 --> 01:54:29.840]  now in the white house president trump demonstrated this past week that he still imagines himself as
[01:54:29.840 --> 01:54:35.280]  a solitary cowboy as he abandoned republican congressional leaders to forge a short-term
[01:54:35.280 --> 01:54:39.920]  fiscal deal with democrats although elected as a republican last year trump has shown in
[01:54:39.920 --> 01:54:43.680]  the nearly eight months in office that he is in many ways the first independent to hold the
[01:54:43.680 --> 01:54:48.400]  presidency since the advent of the two-party system around the time of civil war that's right
[01:54:48.400 --> 01:54:54.320]  may finally truth for the new york times and just get on board with the american system
[01:54:54.320 --> 01:54:58.880]  and prosperity and letting middle class and poor people have some jobs and futures and then
[01:54:58.880 --> 01:55:03.680]  you elites can still be all powerful up there just you have to piss on us off your balconies
[01:55:03.680 --> 01:55:07.840]  because it makes you feel better and then we're not gonna let north korea have nuclear weapons
[01:55:07.840 --> 01:55:12.240]  and threaten everybody and we're not gonna roll over and move everything to china so goldman sacks
[01:55:12.240 --> 01:55:17.200]  can crap down our backs i mean they brag about mounting america's head on the wall why would
[01:55:17.200 --> 01:55:22.720]  you mount the engine of prosperity to the wall so that people with one inch wee wees would feel
[01:55:22.720 --> 01:55:29.440]  powerful there is no point to do any of this unless you're a satanic pedophile and trump
[01:55:29.440 --> 01:55:33.920]  it's not a devil worshipping potbelly pedophile and that's his great crime speaking of that
[01:55:33.920 --> 01:55:42.800]  here is george cloney his parents corrupt famous hollywood dons gave him his jobs forced fed him
[01:55:42.800 --> 01:55:49.120]  till he was 40 plus years old when he finally got a soap opera hit show on er or whatever it was
[01:55:49.120 --> 01:55:55.600]  cloney says that steven bannon is a butt liquor or would lick his rear end i'm sorry this is a real
[01:55:55.600 --> 01:56:01.920]  quote this is in the daily beast to be successful in hollywood and that bannon's a loser bannon was
[01:56:01.920 --> 01:56:06.560]  successful in the navy he was successful in hollywood he wasn't successful in banking
[01:56:06.560 --> 01:56:12.640]  he then helped trump spearhead a total come-behind victory to turn the republic around to turn the
[01:56:12.640 --> 01:56:19.040]  economy around with three point plus growth and to do everything in the face of this with info wars
[01:56:19.040 --> 01:56:23.760]  the liberty movement drudge and everybody else to give america a real shot at not being set up
[01:56:23.760 --> 01:56:29.360]  and bled dry by globalist vampires to build their world government and use some little boy
[01:56:30.560 --> 01:56:37.440]  who's famous in hollywood that they paid to have him put movies and tv shows for 30 years
[01:56:37.440 --> 01:56:45.280]  before he finally was on one hit tv show when he was already 40 plus years old this loser baby
[01:56:45.280 --> 01:56:51.760]  with his mommy and daddy wiping his butt till he was 40 years old doing everything for him
[01:56:51.760 --> 01:56:57.200]  and all he won't house any muslims he says bring in he pushes all his crap he said trump would never
[01:56:57.200 --> 01:57:03.520]  be president and now he comes out to look at steven bannon a true blue collar guy that came from a
[01:57:03.520 --> 01:57:08.880]  family that was literally at the poverty line but working at the shipping docks so i've looked at
[01:57:08.880 --> 01:57:13.360]  a steven bannon who was a hardcore democrat till he realized it was a lie and then and then you
[01:57:13.360 --> 01:57:17.280]  sit there and piss in his face with your billion dollar family and your hundreds of millions of
[01:57:17.280 --> 01:57:22.480]  dollars and your nothingness sitting there saying he's a loser who wanted you it's like the fox said
[01:57:22.480 --> 01:57:27.120]  i wanted shows with fox in the new york daily news i turned down three shows with fox i built my
[01:57:27.120 --> 01:57:32.160]  own thing i don't need you i don't want you i literally piss in your face you are the losers
[01:57:32.160 --> 01:57:37.120]  you were given everything you are the scum god bless all our listeners and crew drop news coming
[01:57:37.120 --> 01:57:41.840]  up more live feeds info wars dot com forward slash show keep spreading it info wars dot com
[01:57:41.840 --> 01:57:50.080]  we're still live after this break
