[00:00:00.000 --> 00:00:18.080]  InfoWars! Tomorrow's news, today.
[00:23:05.830 --> 00:23:13.830]  who defended the police against the few of the rioters who lost his job got in trouble
[00:23:13.830 --> 00:23:19.030]  or the next gentleman that took photos of people rioting gave it to the feds and they were so
[00:23:19.030 --> 00:23:24.149]  hungry to indict more people they indicted him so now if you see a robbery and call the police
[00:23:24.149 --> 00:23:30.629]  i guess and you got a surveillance camera but you go to jail that is just the frothing behavior of
[00:23:30.629 --> 00:23:35.270]  the justice department doing 60 minutes interview saying oh we know it's sedition we know it's
[00:23:35.270 --> 00:23:39.909]  insurrection we know trump and roger stone and jones ran it all we're gonna get them
[00:23:39.909 --> 00:23:45.909]  and we've ordered the fbi to go out and discover those facts people tell me they go jones are you
[00:23:45.909 --> 00:23:51.830]  nervous no not at all it's like they found a dead girl in wisconsin uh you know and they
[00:23:51.830 --> 00:23:54.949]  jones you're under investigation for killing a dead girl in wisconsin well i'm not worried
[00:23:54.949 --> 00:23:57.669]  about it because i don't know any girl in wisconsin that's just a hypothetical
[00:23:57.790 --> 00:24:05.790]  the only thing i'm guilty of on the 6 is being set up by the deep state globalists
[00:24:05.790 --> 00:24:10.550]  who brag in time magazine how they set and provocateur the whole damn thing up with the
[00:24:10.550 --> 00:24:11.430]  Q operatives
[00:24:11.480 --> 00:24:21.440]  but let's just continue here he talked about how the man just for being there and seeing
[00:24:21.440 --> 00:24:28.640]  it was guilty well it gets worse less than two percent of southerners owned slaves at
[00:24:28.640 --> 00:24:32.720]  the end of the civil war that was about the peak the whole time only rich landowners had
[00:24:32.720 --> 00:24:35.480]  slaves rich farmers
[00:24:35.610 --> 00:24:45.610]  how do you say today then have reparations when a 98% of people don't have any connection
[00:24:45.610 --> 00:24:51.490]  to slavery and then b more than half the country came here and immigrated here after the civil
[00:24:51.490 --> 00:24:57.689]  war in fact it's almost double came in after civil war what came in previously so then
[00:24:57.689 --> 00:24:59.449]  how do you blame those people
[00:24:59.490 --> 00:25:29.490]  how do you blame somebody from ukraine or somebody from georgia or somebody from russia or somebody from italy whose grandparents moved here in 1902 or whatever and then now they're a great great grandkid and they own a business and they need to pay reparations to black people most of which also didn't have answers it was like i mean the idea that look if your dad when you're 10 years old goes and robs a bank and kills people no one blames you everybody
[00:25:29.490 --> 00:25:59.490]  knows you're not to blame if your mother was a heroin dealer and people took heroin and died of overdoses when you were 15 you had no idea you're not in trouble no one even thinks of that the idea that oh you are a trump supporter so you're a terrorist too or oh you're a man and all sex is rape so you've got to apologize for the whole history of how bad men are saying our species is bad saying one half of our race is bad
[00:25:59.490 --> 00:26:12.100]  and and the idea that here it is right here Australia school forces young boys to collectively apologize to female classmates for sexism and rape
[00:26:12.120 --> 00:26:42.120]  infowars.com it's direct links to the Australian universities governments all of it and this is what's taught at universities and people say oh that's a bunch of quacks I mean I mean I remember when I was in college they were teaching all sexist rape and it was always weird ugly feminist girls going around saying it all day that they were just mad that men didn't pay any attention and they were always trying to horn in and like you know pick up your girlfriend or whatever and you know piss when your girlfriend wouldn't go with them at the pool wall
[00:26:42.120 --> 00:27:12.120]  they were just trying to be men it's like hey lady I'm not mad at you you like girls I like girls too it's just that you want to be a man just like the men becoming trans want to be women and all it is is an act of domination and an act of control and it has the full backing of the Tavistock Institute and the globalist CIA and all of it because they're transhumanists they want to break up the human family and play God that's all this is and I'll explain it in a moment but
[00:27:12.120 --> 00:27:42.120]  on its face everyone knows it is a crime to teach young boys ages youngest five six seven eight years old and right up to college that because you're a man you're a boy because you're of your biology you are inherently bad that is insane and criminal but it's done from the universities from the system from the power structure to tell everybody you're not just bad because you're a man you're even worse because you're white but you're it's okay you can be in government if you're trans
[00:27:42.120 --> 00:28:05.199]  who's obsessed with sterilizing boys as young as five that's not a horror book character that's not somebody out of a horror movie that's not a nightmare novel no no that's your loving deputy head of health and human services Australia school forces young boys to collectively apologize to female classmates for sexism and rape
[00:28:05.340 --> 00:28:34.840]  so I mean I guess because Jeffrey Dahmer killed people you need to apologize for that too if you're a human that's criminal and that's what these truth and reconciliation commissions the Soviets would do when they took over a country it's what they did in South Africa it's pure communism it's pure evil and it's getting you to denounce yourself and say you're bad in front of everyone and then comes the physical purging and the physical murder of those that declare themselves bad in front of all these idiots
[00:28:34.850 --> 00:29:01.590]  The Broward College Secondary School in Victoria Australia has come under fire this week after it was revealed that 12 year old male students were forced to stand and apologize to female classmates on behalf of the entire male gender alone for societal sexism and rape you think oh that's isolated oh like the cops and the feds bowing to Black Lives Matter and Antifa and that wasn't enough they said lay on your belly
[00:29:01.630 --> 00:29:29.620]  you see here's another one video oh guys pull this article up I want to show people it's on Infowars.com list of suspects committing anti-asian hate crimes in New York City contains zero white people so the crime statistics show nationwide is the rarest form of crime is white on Asian the most common form of crime is black on black next black on Asian then black on Hispanic then black on white
[00:29:29.630 --> 00:29:59.630]  and then white on white is after that people usually kill who they're close to there it is list of suspects committing anti-asian hate crimes in New York City contains zero zero oh doesn't matter we've shown you footage here a few weeks ago of big rallies against white supremism to quote stop attacks on the Asians the Washington Post had to do a correction updates headline that claimed there was no migrant surge they said quote
[00:29:59.630 --> 00:30:29.630]  no one's there nothing's happening that gas lighting blew up in their face so they had to retract it there's another example Oakland to give 500 a month to minorities but not to whites again putting discrimination into the very code of everything so they can discriminate however else they want it's not because they want to help blacks I guarantee you the strings attached to that are going to be deadly inoculation all of it they said tie inoculation to it
[00:30:29.630 --> 00:30:35.630]  and oh meanwhile George Floyd died with enough fentanyl they said to kill three people
[00:30:35.690 --> 00:30:41.690]  he was dying when the cop held him down when he asked me put on the ground I'm
[00:30:41.690 --> 00:30:49.610]  not defending any of what transpired but now George Floyd called blacks called on
[00:30:49.610 --> 00:30:52.650]  him because he was reportedly you know passing fake bills and threatening
[00:30:52.650 --> 00:30:56.690]  people and going nuts on drugs he's a big guy they all knew him well cop knew
[00:30:56.690 --> 00:30:59.690]  him well worked with him in a nightclub
[00:30:58.060 --> 00:31:03.740]  and they said because somebody at a whole display about him put a paper out
[00:31:03.740 --> 00:31:08.260]  showing his toxicology report they said that whoever did to insult Floyd
[00:31:08.260 --> 00:31:12.460]  deserved to die no CNN said that they were showing that he had enough in his
[00:31:12.460 --> 00:31:15.820]  body to kill three people and that was the cause of death as ruled by the
[00:31:15.820 --> 00:31:18.300]  coroner
[00:31:18.740 --> 00:31:26.300]  absolutely fatal level of fentanyl oh that means he deserved to die no that means he
[00:31:26.300 --> 00:31:31.300]  killed himself the Chinese killed him the Chinese communist all right we're gonna get
[00:31:31.300 --> 00:31:36.300]  Robert Barnes on after I air this special report we'll be talking about all of this
[00:31:36.300 --> 00:31:40.420]  and a lot more but this is very serious well this is now the main operating system of the
[00:31:40.420 --> 00:31:46.260]  Pentagon to purge it and it's extremely dangerous and it's got to be resisted at every level
[00:31:46.260 --> 00:31:50.900]  we have a globalist beachhead a stolen election they know they stole it they have a job to
[00:31:50.900 --> 00:31:54.660]  wreck the economy wreck the borders wreck the dollar and they know the public's gonna
[00:31:54.660 --> 00:31:59.300]  figure out that they're being wrecked their prescription drug prices just tripled all
[00:31:59.300 --> 00:32:07.980]  of it is coming out so what is the rest of the story well watch this report on skull
[00:32:07.980 --> 00:32:08.580]  and bones
[00:32:08.670 --> 00:32:17.470]  And we come back in a few minutes for Barnes is on I will give you the rest of the story
[00:32:17.470 --> 00:32:23.070]  encapsulated in a nutshell of why all this divide and conquer is happening and who's
[00:32:23.070 --> 00:32:28.790]  behind it and who's doing it and what their plan is and is it to really liberate everybody
[00:32:28.790 --> 00:32:33.870]  or is it to do something else and I think you already know what that plan is and how
[00:32:33.870 --> 00:32:40.070]  we can defeat it Robert Barnes also went to Yale he can speak to 322 it all ties together
[00:32:40.070 --> 00:32:44.910]  so you know their game plan you know what they're doing but but who are they and then
[00:32:44.910 --> 00:32:50.990]  what comes after this system is put in place what's what's the end game I was there at
[00:32:50.990 --> 00:32:54.710]  Yale on 322 didn't even think about it till we got back the next day and Robbie pointed
[00:32:54.710 --> 00:32:59.910]  it out here is the report and then Robert Barnes joins us to lay out so much please
[00:32:59.910 --> 00:33:00.510]  stay with us
[00:33:30.910 --> 00:33:42.230]  we're playing a little guessing game right now where am I in the United States well
[00:33:42.230 --> 00:33:46.910]  I'm on the East Coast and I'm in the state of Connecticut in a college town of New Haven
[00:33:46.910 --> 00:33:53.190]  and a very important historical site to any American that wants to understand the true
[00:33:53.190 --> 00:33:59.750]  elites that run this country and much of the world so what we have is a secret society
[00:33:59.750 --> 00:34:09.910]  which over the last hundred and fifty years has accumulated about 2500 members of whom
[00:34:09.910 --> 00:34:20.190]  perhaps 500 are alive today of this 500 perhaps 100 are actively in pursuit of the objectives
[00:34:20.310 --> 00:34:30.990]  of the order it's not another college fraternal society you have been chosen to become members
[00:34:30.990 --> 00:34:40.070]  of America's most secret society for over a hundred years Skull and Bones members included
[00:34:40.070 --> 00:34:47.950]  a president vice presidents Supreme Court justices congressmen and senators captains
