[00:00.000 --> 00:14.000]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from
[38:00.000 --> 38:11.000]  The question is, why are they doing this? Why are they carrying this out? Why is this being allowed? Because there could be good clean vaccines, but they're not.
[38:11.000 --> 38:22.000]  There could be, again, communication systems that aren't as damaging, but they go for the worst. What's going on here is the larger question.
[38:22.000 --> 38:31.000]  Now, his book, I read it a couple of years ago when it came out, but it's more important than ever. Bully of Asia, Why China's Dream is the New Threat to World Order.
[38:31.000 --> 38:40.000]  And I'm not going to go over Mr. Moser's entire background. We're going to get more into China in the next segment, but briefly, since I'm getting into 5G and these invisible dangers,
[38:40.000 --> 38:47.000]  and then China's so big in the news right now, their executives arrest over their form of 5G. They're basically selling at cost.
[38:47.000 --> 38:53.000]  It's already dominated the world, and why this is so dangerous. It all ties together. Stephen M. Moser, thanks for joining us.
[38:53.000 --> 38:55.000]  Oh, good to be here, Alice.
[38:55.000 --> 38:58.000]  Stephen M. Moser, thank you. Go ahead. Sorry.
[38:58.000 --> 39:07.000]  Yeah, I'm a subscriber. I was unhappy when YouTube and Big Tech decided that they were going to censor you.
[39:07.000 --> 39:14.000]  So I responded by subscribing to InfoWars and by encouraging my friends to do so as well. So thank you, my friend.
[39:14.000 --> 39:22.000]  Well, I appreciate you, brother. You know, I noticed when I criticized Apple and Google moving to China this year that that's when the hammer fell.
[39:22.000 --> 39:31.000]  Yeah, and they're in trouble because they're in league with a country that wants to dominate not only its own people, but the world.
[39:31.000 --> 39:42.000]  You know, the Chinese have a system now to monitor 1.4 billion people in their own country, and they'd like to apply that system to everybody in the world,
[39:42.000 --> 39:55.000]  all seven plus billion of us. And that's why they're selling these Huawei phones. That's why they want to set up 5G connections everywhere because it's a great, great data gathering enterprise.
[39:55.000 --> 40:05.000]  It's a great, big vacuum cleaner that vacuums updated about where you were born, what your name is, what your face looks like so they can use face recognition technology.
[40:05.000 --> 40:17.000]  Where your bank accounts are, everything they want to compile into one huge database. And once they have it, of course, they'll be in a position to pressure us in ways that we could only imagine in a horror story now.
[40:17.000 --> 40:23.000]  And you've been speaking about this forever. So people know about your curriculum vitae specifically in the School of Life.
[40:23.000 --> 40:29.000]  And that's when it's recap how you got to China, why you went there, and what you discovered in your awakening.
[40:29.000 --> 40:38.000]  Well, I was the first American allowed to go to China back in 1979, a long time ago. That's when China was first, what we called it, opening up to the West.
[40:38.000 --> 40:48.000]  Of course, that opening to the West was a way of getting stealing, begging, borrowing, stealing Western technology and overtaking us so they could dominate us.
[40:48.000 --> 40:57.000]  But we were hopeful at the time. I wound up in a commune in South China, learned very quickly from the people in the commune that communes don't work,
[40:57.000 --> 41:05.000]  that people produce best when they're in family units with family owned enterprises, providing for themselves and their family and their neighbors,
[41:05.000 --> 41:09.000]  not for the distant government bureaucracy, not for the state.
[41:09.000 --> 41:17.000]  But it was a real wake up call. My friends in the local village took me to a local hill, which was known as Turtle Mountain,
[41:17.000 --> 41:25.000]  where all of the people who were associated with the old regime were taken and shot in the early 50s, simply shot dead without a trial.
[41:25.000 --> 41:38.000]  Then they took me to a mass grave that was filled in 1961 and 1962 with the bodies of 400 people who had died during the great Mao Zedong Chairman Mao Famine of that year.
[41:38.000 --> 41:43.000]  They created great communes. They couldn't feed the people with the produce from the communes.
[41:43.000 --> 41:51.000]  And 400 people died in my commune alone. And of course, throughout China, 45 million people died.
[41:51.000 --> 42:00.000]  But the real wake up call was when I was in the operating room where they were arresting and bringing in to receive forced abortions,
[42:00.000 --> 42:06.000]  women who were illegally pregnant with second children or third children.
[42:06.000 --> 42:12.000]  Illegal, of course, because the Communist Party had declared these babies to be illegal.
[42:12.000 --> 42:19.000]  The mothers of these babies were arrested, brought in, tied down on operating tables and given cesarean section abortions.
[42:19.000 --> 42:21.000]  If you can imagine that, think about that.
[42:21.000 --> 42:27.000]  Think about your wife being arrested for the crime of being pregnant illegally,
[42:27.000 --> 42:32.000]  taken by force by Communist Party officials to a local dirty little clinic.
[42:32.000 --> 42:41.000]  And they're tied down an operating table and given an abortion by Red Army doctors who were brought in from the nearby army base
[42:41.000 --> 42:45.000]  because the local doctors refused to do these operations.
[42:45.000 --> 42:51.000]  They knew these people were their friends and neighbors, and so they had to bring in the Communist Party did.
[42:51.000 --> 42:55.000]  Stephen W. Moser, stay right there. Let's talk about this.
[42:55.000 --> 42:59.000]  This is a powerful story. You're going in depth into it and what happens.
[42:59.000 --> 43:04.000]  We prepare to close out 2018. Just remember, this life is a test.
[43:04.000 --> 43:12.000]  And those of you that have been listening and watching and taking action, the victories of populism and nationalism and Christianity coming back from the dead
[43:12.000 --> 43:17.000]  and recognizing it's being persecuted, that's all because you are the core.
[43:17.000 --> 43:26.000]  Listening to M4 Wars around the world, the eyes and ears of liberty that were immune or at least resistant to the globalist programming.
[43:26.000 --> 43:34.000]  Everybody knows who studies this, that it's Christians, real Christians who tend to be immune to the globalist brainwashing
[43:34.000 --> 43:38.000]  and who tend to see it, and that's why they're trying to eradicate you.
[43:38.000 --> 43:43.000]  But regardless, this fight is intensifying. 2018 has been insane.
[43:43.000 --> 43:50.000]  2019 is going to be the big decision maker, and I am so honored to be here with you right beside me.
[43:50.000 --> 43:54.000]  Not behind us, but right beside us and at the heart of everything, resisting these globalists.
[43:54.000 --> 44:09.000]  So whatever you do, take action and realize we're changing history together and I salute you.
[44:25.000 --> 44:38.000]  Remove 220 plus contaminants from your water. It's compact in size, easy to install and maintain, and keeps fluoride and other dangerous toxins out of your water supply and away from you and your family.
[44:38.000 --> 44:45.000]  With its broad spectrum contaminant reduction, you'll only need this one filter for clean and refreshing water all over your home.
[44:45.000 --> 44:59.000]  Head to infowarstore.com and whether it's your first water filtration purchase or you're looking to replace your current rundown systems, it's time to go big and go home with the Pro Pure Hole House filtration system today.
[45:15.000 --> 45:20.000]  But thanks to SuperMailVitality at infowarstore.com, I still have that energy.
[45:20.000 --> 45:41.000]  There's no way I could have the energy at the end of a long day to fight back against the chemicals in the food and water, to fight back against the modern-day lifestyle with the screen time and the extended hours, to still have the stamina and endurance, energy and drive, to get to the gym, get to the park, and get exercise that you need for your health.
[45:41.000 --> 45:53.000]  To go to infowarstore.com and get SuperMailVitality before it's gone, this is actually our last run of SuperMailVitality, so I want you to experience SuperMailVitality before it's too late.
[45:53.000 --> 46:11.000]  Unleash the SuperMail in you with SuperMailVitality from infowarstore.com.
