[00:00.000 --> 00:29.000]  It's Sunday. July 8th, the year is 2021.
[1:42:40.000 --> 1:42:44.000]  But they're going to find God getting on your knees at 2 a.m. ladies and gentlemen.
[1:42:44.000 --> 1:42:57.000]  I will come back with the final segment ahead of Sunday Live with Troyer. I'm Alex Jones, infowars.com, free world news, freeworldnews.tv.
[1:42:57.000 --> 1:43:04.000]  Iodine is one of the most important drivers of the body for fertility, for cellular function, for libido, for life.
[1:43:04.000 --> 1:43:07.000]  If you don't have iodine, you die in a matter of months.
[1:43:07.000 --> 1:43:11.000]  So if you don't have oxygen, you die in four minutes. If you don't have water, you die in a week or so.
[1:43:11.000 --> 1:43:15.000]  If you don't have food a month or so. But what's in that food? Iodine.
[1:43:15.000 --> 1:43:21.000]  But if your food doesn't have that atomic pure iodine, it can't operate and the food itself is lacking.
[1:43:21.000 --> 1:43:29.000]  That's why most people on earth are deficient in iodine and governments are lowering the allowance you supposedly need to have because they want control.
[1:43:29.000 --> 1:43:32.000]  Ladies and gentlemen, our information is powerful. Our products are just as powerful.
[1:43:32.000 --> 1:43:39.000]  Experience clean iodine today. It's discounted 40% off in the dropper bottle, 60% off in the spray bottle.
[1:43:39.000 --> 1:43:44.000]  You take it to your mouth, pure atomic iodine with free shipping, double patriot points, infowars.com.
[1:43:44.000 --> 1:43:48.000]  Don't wait any longer. Just like our information is powerful, our products are just as powerful.
[1:43:48.000 --> 1:43:52.000]  They don't want you to experience this. Get it today at infowarsstore.com.
[1:43:52.000 --> 1:43:56.000]  Take action. Find out what you're missing. Get the missing link. Get X2.
[1:43:56.000 --> 1:44:06.000]  X2 has been our number one best seller over the years. Deep earth crystal iodine, the good halogen, it is essential for all actions in the body.
[1:44:06.000 --> 1:44:11.000]  You must have it to live. The UN estimates 2 billion plus people have cognitive disabilities because they don't have enough iodine.
[1:44:11.000 --> 1:44:18.000]  We have X2 in two different bottles, the same amount in each bottle, but one has a spray top, one has a dropper top.
[1:44:18.000 --> 1:44:25.000]  60% off on the spray top, 40% off on the dropper top for a limited time because they're both selling out.
[1:44:25.000 --> 1:44:28.000]  I want to thank all of the supporters that have gotten these over the years. They're amazing.
[1:44:28.000 --> 1:44:30.000]  So that's a great deal for you to stock up on it.
[1:44:30.000 --> 1:44:36.000]  But this deal is really for folks that have been on the fence and haven't experienced the good halogen for yourself.
[1:44:36.000 --> 1:44:43.000]  X2, the dropper bottle and the spray bottle, 60% and 40% off for a limited time because it's selling out right now at infowarsstore.com.
[1:44:43.000 --> 1:44:47.000]  But we're going to keep this sale going until it sells out. It'll probably take about two weeks.
[1:44:47.000 --> 1:44:57.000]  Don't procrastinate. Take advantage of this special right now at infowarsstore.com and check out the new products we just got in as well.
[1:44:57.000 --> 1:45:03.000]  Bioremediation is a process used to treat contaminated water, soil and subsurface material.
[1:45:03.000 --> 1:45:10.000]  By accelerating naturally occurring environmental conditions to stimulate growth of microorganisms and degrade targeted pollutants.
[1:45:10.000 --> 1:45:17.000]  For the first time, the BioPros are bringing to the public market a suite of bioremediation products to the everyday consumer.
[1:45:17.000 --> 1:45:24.000]  Their first product they are launching is called BioSepticPro, a product specifically designed to establish a healthy septic system.
[1:45:24.000 --> 1:45:29.000]  BioSepticPro contains live microorganisms, not traditional enzymes like its competitors.
[1:45:29.000 --> 1:45:40.000]  This stuff lives in your septic system. It's really like probiotics for your septic tank and is at least 100 times more effective than similar microbial products due to its revolutionary patented delivery system.
[1:45:40.000 --> 1:45:45.000]  BioSepticPro contains no chemical ingredients and no genetically modified organisms.
[1:45:45.000 --> 1:45:51.000]  Visit thebiopros.com today and protect your septic system. That's thebiopros.com.
[1:45:51.000 --> 1:45:55.000]  This is for anaerobic septic tanks and the job it does is unparalleled.
[1:45:55.000 --> 1:46:00.000]  Thebiopros.com
[1:46:00.000 --> 1:46:03.000]  What are champions made of?
[1:46:03.000 --> 1:46:30.000]  Here's a man who can show you.
[1:46:30.000 --> 1:46:40.000]  Thebiopros.com
[1:46:40.000 --> 1:46:45.000]  What are champions made of?
[1:46:45.000 --> 1:46:50.000]  Thebiopros.com
[1:46:50.000 --> 1:46:55.000]  What are champions made of?
[1:46:55.000 --> 1:47:00.000]  Thebiopros.com
[1:47:00.000 --> 1:47:09.000]  You're listening to the Alex Jones Show.
[1:47:09.000 --> 1:47:25.000]  All right, folks. Final segment here on the Alex Jones Show Sunday edition. I'll be back. Lord willing, 11 a.m. tomorrow before me.
[1:47:25.000 --> 1:47:29.000]  Harrison Smith is a spectacular job, 80 and Central American Journal.
[1:47:29.000 --> 1:47:39.000]  At threeworldnews.tv, infowars.com, and all the great radio and TV stations that are picking us up.
[1:47:39.000 --> 1:47:45.000]  I want to hit this final story before Owen Schroeder takes over with Sunday live for two hours live and takes your phone calls.
[1:47:45.000 --> 1:47:58.000]  Here is the Surgeon General, Vivek, and he says the Rockefeller Foundation is helping come in to coordinate the office of the Surgeon General's operations.
[1:47:58.000 --> 1:48:13.000]  Remember six months ago, they said, oh, or seven months ago now, oh, when the G8 takes control for the new year and that the UK had the chairmanship,
[1:48:13.000 --> 1:48:17.000]  Bill Gates would be in charge of the G8.
[1:48:17.000 --> 1:48:31.000]  It's the same thing here. Oh, the Rockefeller Foundation is now in charge of the Surgeon General's office and the Department of Health and Human Services and all the rest of it.
[1:48:31.000 --> 1:48:38.000]  Just like we're told at every other level that, oh, the Carnegie Endowment is now in charge of the CIA.
[1:48:38.000 --> 1:48:48.000]  What you have is all the foundations are making their in-game move, Carnegie Endowment, Rockefeller Endowment, Ford Foundation, IBM Foundation, the Omelina Gates Foundation.
[1:48:48.000 --> 1:48:55.000]  They're all eugenicists. Go look them up. They all admit this. They're all stepping up for the final move.
[1:48:55.000 --> 1:49:05.000]  They were in the shadows. Now they're making their move and they're in charge of federal agencies and the Democratic Party says we're going to outlaw the Republican Party.
[1:49:05.000 --> 1:49:11.000]  We're going to outlaw protesting lockdowns. We're going to read all your text messages and tell you what you can do.
[1:49:11.000 --> 1:49:15.000]  Ladies and gentlemen, we're here.
[1:49:15.000 --> 1:49:17.000]  The final move.
[1:49:17.000 --> 1:49:21.000]  And they've got all the telecom switches to take us off here.
[1:49:21.000 --> 1:49:24.000]  And they just want to normalize it and see you go along with it.
[1:49:24.000 --> 1:49:32.000]  And then the contact tracers and the force inoculations and taking your bank accounts and the shooting war.
[1:49:32.000 --> 1:49:39.000]  And they're crazy enough to start it, folks, because almost none of these people ever actually been in combat.
[1:49:39.000 --> 1:49:46.000]  But they sure as hell, like Tedris of the U.N., starved it as over a million of its people under Chinese orders.
[1:49:46.000 --> 1:49:54.000]  I mean, these are some psychos who've used the technocracy and the fact that we follow the technocracy as an excuse to rule us.
[1:49:54.000 --> 1:50:01.000]  So here it is. Here's the Surgeon General, Vivek, announces that his department is now under the control of the
[1:50:01.000 --> 1:50:05.000]  Rockefeller Foundation.
[1:50:05.000 --> 1:50:11.000]  And how many times have I told you that the Rockefeller Foundation is the top of the pyramid?
[1:50:11.000 --> 1:50:16.000]  And I'm just pointing out that, I mean, we're not making this stuff up.
[1:50:16.000 --> 1:50:24.000]  U.S. Surgeon General, Rockefeller Foundation announces big initiatives to address urgent threat of vaccine misinformation.
[1:50:24.000 --> 1:50:27.000]  It's not even a vaccine.
[1:50:27.000 --> 1:50:34.000]  Every word was a lie.
[1:50:34.000 --> 1:50:40.000]  And here it is. Scenarios for the future technology and international development.
[1:50:40.000 --> 1:50:49.000]  Rockefeller Foundation operation lockstep from 10 years ago, 11 years ago, May 2010.
[1:50:49.000 --> 1:50:54.000]  I suggest you go read this, baby, for yourself.
[1:50:54.000 --> 1:50:59.000]  The authoritarian world government takes over, forced inoculations, lockdowns.
[1:50:59.000 --> 1:51:02.000]  Take the lockdowns off so people submit, bring them right back.
[1:51:02.000 --> 1:51:04.000]  I mean, people keep saying, how does Jones know?
[1:51:04.000 --> 1:51:08.000]  How does he, he's like Nostradamus. Oh my God, he's a holy man.
[1:51:08.000 --> 1:51:12.000]  I've got like, I can't even tell you. I mean, I'm not trying to, it's ridiculous.
[1:51:12.000 --> 1:51:17.000]  I've got like top organizations like calling up like, we want to talk to you.
[1:51:17.000 --> 1:51:21.000]  You're a prophet. How are you in all this knowledge?
[1:51:21.000 --> 1:51:24.000]  And it's all because I have the enemy battle plan.
[1:51:24.000 --> 1:51:26.000]  I have the blue plan out of their playbook.
[1:51:26.000 --> 1:51:31.000]  It's like actually in Belichick, he would steal the other teams playbook, how he knew what they were going to do next.
[1:51:31.000 --> 1:51:35.000]  Belichick wasn't psychic. He stole the damn playbooks.
[1:51:35.000 --> 1:51:39.000]  He paid people for them.
[1:51:39.000 --> 1:51:42.000]  We've got the playbook right here.
[1:51:42.000 --> 1:51:47.000]  And we sit here and take this crap.
[1:51:47.000 --> 1:51:56.000]  Whoa, crazy. Absolutely crazy.
[1:51:56.000 --> 1:52:02.000]  There was one other thing I was going to play. I don't remember what it was now, but look at some of these headlines, man.
[1:52:02.000 --> 1:52:11.000]  These are all just bombshell and they're linked to like New England medical journal and British medical journal and, you know, chief advisor to the EU.
[1:52:11.000 --> 1:52:19.000]  I mean, you'd think like the whole EU is bad, like their chief advisor was saying, this will cause blood clots and brain damage and infertility.
[1:52:19.000 --> 1:52:24.000]  Don't take it.
[1:52:24.000 --> 1:52:27.000]  And they still block them.
[1:52:27.000 --> 1:52:34.000]  Doctors raise the alarm of a COVID vaccine linked to infertility, an incredible article on infowars.com.
[1:52:34.000 --> 1:52:41.000]  Antibodies created from the vaccine may target protein responsible for successful pregnancy.
[1:52:41.000 --> 1:52:43.000]  Top scientists warn.
[1:52:43.000 --> 1:52:46.000]  And it links to the damn report.
[1:52:46.000 --> 1:52:49.000]  Here's another one. mRNA vaccine inventor.
[1:52:49.000 --> 1:52:55.000]  Iris being assassinated for speaking out against experimental COVID shots. He's been told they're now death-threatening.
[1:52:55.000 --> 1:53:09.000]  Yeah, if killed thousands of microbiologists, they are making their move right now.
[1:53:09.000 --> 1:53:13.000]  So I'm going to explain something to everybody.
[1:53:13.000 --> 1:53:16.000]  Submission is death.
[1:53:16.000 --> 1:53:18.000]  Resistance is life.
[1:53:18.000 --> 1:53:21.000]  Compliance is enslavement and death.
[1:53:21.000 --> 1:53:23.000]  Noncompliance is life.
[1:53:23.000 --> 1:53:30.000]  The social compact, the social agreement is broken.
[1:53:30.000 --> 1:53:32.000]  It's gone.
[1:53:32.000 --> 1:53:35.000]  The criminal corporations have gotten all their people in line.
[1:53:35.000 --> 1:53:37.000]  They've gotten yes men from the top to bottom.
[1:53:37.000 --> 1:53:39.000]  They're making their move.
[1:53:39.000 --> 1:53:40.000]  And a lot of people are scared.
[1:53:40.000 --> 1:53:41.000]  They go, let's just keep our head down.
[1:53:41.000 --> 1:53:44.000]  You don't keep your head down from something like this and live.
[1:53:44.000 --> 1:53:53.000]  I mean, they are already introducing deadly shots that grow protein crystals in your brain, in your lungs, in your heart that's already killed millions of people worldwide.
[1:53:53.000 --> 1:54:01.000]  And the word is within two years, they're going to grow to terminal levels and massive numbers of people.
[1:54:01.000 --> 1:54:06.000]  And if the crystals don't take, they're going to demand a booster shot to make sure they do.
[1:54:06.000 --> 1:54:10.000]  This is so incredible what I'm saying.
[1:54:10.000 --> 1:54:13.000]  But it's true.
[1:54:13.000 --> 1:54:16.000]  I just beg you all to keep us on air.
[1:54:16.000 --> 1:54:22.000]  And I beg you all to pray for justice and peace and a global awakening and to turn back from this report. It's too late.
[1:54:22.000 --> 1:54:26.000]  And I beg you all to remember that without your support, we're not going to be on air.
[1:54:26.000 --> 1:54:30.000]  So in closing, I want to show TV viewers a few cool cartoons.
[1:54:30.000 --> 1:54:31.000]  The Great Men Garrison.
[1:54:31.000 --> 1:54:32.000]  I love so much.
[1:54:32.000 --> 1:54:34.000]  We should get him back in studio sometime.
[1:54:34.000 --> 1:54:36.000]  He said, first they came for Alex Jones.
[1:54:36.000 --> 1:54:38.000]  They did not speak out because I did not like Alex Jones.
[1:54:38.000 --> 1:54:43.000]  Then they came for Make America Great Again Nation because I did not speak out because I was not Make America Great Again.
[1:54:43.000 --> 1:54:45.000]  Then they came for the Legos.
[1:54:45.000 --> 1:54:47.000]  I did not speak out because I don't have a Lego set.
[1:54:47.000 --> 1:54:49.000]  They're resting folks for Lego sets now.
[1:54:49.000 --> 1:54:51.000]  Then they came for me.
[1:54:51.000 --> 1:54:57.000]  And it says it all right there.
[1:54:57.000 --> 1:54:59.000]  I mean, it's all out in the open now.
[1:54:59.000 --> 1:55:06.000]  And this great statement, you cannot comply your way out of tyranny.
[1:55:06.000 --> 1:55:08.000]  All right, we're out of time.
[1:55:08.000 --> 1:55:10.000]  I appreciate Randy Quaid saying all the nice stuff he said.
[1:55:10.000 --> 1:55:14.000]  I appreciate all the nice things that a lot of other folks have been saying.
[1:55:14.000 --> 1:55:16.000]  They're all welcome on the show.
[1:55:16.000 --> 1:55:19.000]  All those crazy people got to stick together.
[1:55:19.000 --> 1:55:26.000]  Speaking of awesome folks, we have Dave Lindell, Mike Lindell.
[1:55:26.000 --> 1:55:30.000]  Mike Lindell joining us tomorrow here on the broadcast.
[1:55:30.000 --> 1:55:36.000]  Mike Lindell of MyPillow.com and he came on a few times with us and said, hey, I want to support you, Alex.
[1:55:36.000 --> 1:55:39.000]  And I want to support our recount effort and what you're doing.
[1:55:39.000 --> 1:55:41.000]  That's really bearing a lot of fruit.
[1:55:41.000 --> 1:55:43.000]  You're doing a great job with risk of his life.
[1:55:43.000 --> 1:55:45.000]  Mike Lindell of MyPillow.com.
[1:55:45.000 --> 1:55:59.000]  And so he created a promo code at MyPillow.com of Alex with the biggest discounts he's given anybody of 60 to 50% off across the board for beds and pillows and sheets and clothes and towels and everything.
[1:55:59.000 --> 1:56:11.000]  MyPillow.com forward slash Alex or MyPillow.com promo code Alex and you will get 60 to 50% off.
[1:56:11.000 --> 1:56:14.000]  And man, he really came through.
[1:56:14.000 --> 1:56:15.000]  You came through.
[1:56:15.000 --> 1:56:25.000]  We've been basically right on the edge of being in the red and this latest plug for Mike Lindell, you guys coming through, got us a lot of funding.
[1:56:25.000 --> 1:56:27.000]  We needed to stay on air.
[1:56:27.000 --> 1:56:29.000]  So that's great. He has great products.
[1:56:29.000 --> 1:56:43.000]  Everybody should check them out at MyPillow.com and then just put in the promo code A-L-E-X Alex and you will get 50 to 60% off depending on what the item is.
[1:56:43.000 --> 1:56:55.000]  The pillows, the bed sheets, the beds, the towels, all of it at MyPillow.com use the promo code Alex MyPillow.com promo code Alex.
[1:56:55.000 --> 1:57:00.000]  And then you're supporting the things Mike Lindell are doing and you're supporting the InfoWare.
[1:57:00.000 --> 1:57:02.000]  It is a true 360 win.
[1:57:02.000 --> 1:57:03.000]  So I want to thank you for that.
[1:57:03.000 --> 1:57:09.000]  And then separately we have the new sales that I forgot to even plug that are at InfoWareStore.com.
[1:57:09.000 --> 1:57:19.000]  It is the last week to get 10% off on storeable foods and we have the new green fiber capsules with all the amino acids for 1995.
[1:57:19.000 --> 1:57:22.000]  Winter sun back in stock, 50% off and that makes the whole show possible.
[1:57:22.000 --> 1:57:23.000]  All right, I'm out of time.
[1:57:23.000 --> 1:57:28.000]  Owen Schreuer is about to come in here and take over with Sunday live.
[1:57:28.000 --> 1:57:38.000]  And then Lord Willing, this crazy maniac that is your host, will be back tomorrow at 11 a.m. Central.
[1:57:38.000 --> 1:57:41.000]  Please, everybody, you know, tune in.
[1:57:41.000 --> 1:57:43.000]  Owen Schreuer is coming in live.
[1:57:43.000 --> 1:57:45.000]  Stay with us.
[1:57:45.000 --> 1:57:56.000]  The ultimate fluoride free charcoal mouthwash is now available at InfoWareStore.com and Dr. Jones Naturals.com
[1:57:56.000 --> 1:58:00.000]  for the lowest price possible to complete your daily mouth cleaning routine.
[1:58:00.000 --> 1:58:08.000]  It is the perfect companion to the new activated charcoal toothpaste all under our new line by Dr. Jones Naturals
[1:58:08.000 --> 1:58:12.000]  that will naturally give your mouth and breath a deep clean.
[1:58:12.000 --> 1:58:22.000]  This mouthwash only uses the best natural ingredients like real peppermint oil, dime oil, xylitol and of course, high quality charcoal.
[1:58:22.000 --> 1:58:33.000]  Not only fluoride free, this mouthwash is completely free of other dangerous ingredients such as SLS, harsh detergents, BPA and so much more.
[1:58:33.000 --> 1:58:38.000]  As soon as you use it, you can tell that this formula is the real deal.
[1:58:38.000 --> 1:58:45.000]  So get your bottle of the new activated charcoal mouthwash right now at InfoWareStore.com.
[1:59:08.000 --> 1:59:14.000]  Right now it's discounted because listeners and viewers are habituated to only buy it when it's on sale.
[1:59:14.000 --> 1:59:16.000]  And so I'm going to catch 22.
[1:59:16.000 --> 1:59:18.000]  When I don't have it on sale, I don't sell it.
[1:59:18.000 --> 1:59:21.000]  But we're selling out of all other products because of supply chain breakdowns.
[1:59:21.000 --> 1:59:23.000]  And so I'm going to catch 22.
[1:59:23.000 --> 1:59:25.000]  I need to sell products at full price, but I can't.
[1:59:25.000 --> 1:59:27.000]  I got to sell them at discount.
[1:59:27.000 --> 1:59:33.000]  And so it's discounted 40% off for the dropper bottle, 60% off for the spray bottle, even though it's about to sell out.
[1:59:33.000 --> 1:59:35.000]  It won't be available for months.
[1:59:35.000 --> 1:59:36.000]  So get it.
[1:59:36.000 --> 1:59:43.000]  X2 is selling out at InfoWareStore.com for 40% and 60% off with double patriot points and free shipping.
[1:59:43.000 --> 1:59:44.000]  Because why?
[1:59:44.000 --> 1:59:45.000]  That's when you buy it.
[1:59:45.000 --> 1:59:47.000]  We need your funds or it'll be off air.
[1:59:47.000 --> 2:00:07.000]  You're listening to the Alex Jones show.
