[00:00.000 --> 00:04.880]  Founder Alex Jones is calling out alleged collusion between Google and Democrats
[29:59.640 --> 30:01.640]  Sold out for seven months
[30:01.640 --> 30:08.520]  The body's ultimate turmeric formula is back in stock turmeric's been known for thousands of years
[30:08.920 --> 30:10.920]  To do amazing things for your joints
[30:11.480 --> 30:17.560]  Stamina your immune system for your libido and look the average type of the shelves is five six seven percent
[30:18.040 --> 30:23.240]  Pure cumanoid we have the strongest brand on earth. There's nobody else decided to do it
[30:23.560 --> 30:27.160]  It's 95 percent cumanoid at info wars store.com
[30:27.160 --> 30:33.720]  Body's ultimate turmeric formula 95 percent cumanoid it is incredible
[30:34.200 --> 30:37.800]  And what's even more incredible is it funds the info war
[30:38.360 --> 30:41.400]  So the only way you fail is not taking action today
[30:42.040 --> 30:47.480]  And ordering body's ultimate turmeric formula at info wars store.com. It is simply amazing
[30:48.040 --> 30:55.240]  Discover the power of your cumanoids at 95 percent at infowarstore.com today with bodies
[30:55.240 --> 30:57.240]  Ultimate turmeric formula
[30:59.640 --> 31:01.640]  We are now living in the void
[31:02.120 --> 31:07.720]  Sliding towards collapse in the strange space between what we've known and what's to come
[31:08.120 --> 31:11.640]  And right now the most important thing to remember is
[31:12.200 --> 31:14.200]  Don't panic stay calm
[31:14.440 --> 31:20.680]  Because now is the time that we must get our bearings and steer the ship onto a safe sound course
[31:20.680 --> 31:27.480]  There is nothing stopping we the people from making our own rules and building our own society
[31:27.800 --> 31:33.080]  All we got to do is survive the crash and right now we still have time to prepare
[31:33.480 --> 31:37.240]  The world fiat currency system is racing towards zero
[31:37.640 --> 31:40.520]  It's time to convert it into hard assets now
[31:41.000 --> 31:48.840]  Including food water and survival gear to keep us strong and at the ready go to preparedtoday.com
[31:48.840 --> 31:50.840]  For the essentials
[31:50.920 --> 31:58.200]  Storeable foods water filtration first aid power and more at preparedtoday.com
[31:59.160 --> 32:04.440]  The globalists are fighting around the clock to destroy the family to destroy heterosexual
[32:05.080 --> 32:08.440]  Relationships to annihilate our marriages and the studies are all clear
[32:09.160 --> 32:15.160]  The number one cause of marital splits is that there is problems in the bedroom
[32:15.160 --> 32:18.920]  And the number one issue men have is erectile dysfunction
[32:19.320 --> 32:25.640]  Ladies and gentlemen the left makes big jokes about this because they don't want people having lasting good love and relationships
[32:25.640 --> 32:30.360]  They want to break up society and we are so excited to have the number one
[32:30.920 --> 32:36.360]  Natural male enhancement pill in the world available as a major sponsor now
[32:36.680 --> 32:43.080]  Go to the ironpatriot.com today the ironpatriot.com and watch the instructional video
[32:43.080 --> 32:48.600]  Look at the science yourself and then get a bottle of insta heart. It's discreet shipping. I've used it
[32:48.760 --> 32:53.400]  It's amazing and it's not just for folks that have problems in the bedroom. This also enhances it
[32:53.480 --> 32:56.600]  So again get yours today at the ironpatriot.com
[32:56.600 --> 33:09.880]  Leading a frontal assault on the lies of the new world order. It's alex jones
[33:09.880 --> 33:21.160]  From the front lines of the information war, it's alex jones
[33:29.240 --> 33:32.360]  We now take you live for the central texas
[33:33.640 --> 33:35.640]  And the heart of their resistance
[33:35.640 --> 33:37.640]  Oh
[33:39.240 --> 33:41.240]  And that's not bragging that's a grim
[33:42.040 --> 33:47.960]  Terrible fact of the responsibility this operation has the gifts god gave us of analysis and discernment
[33:48.680 --> 33:50.680]  We will press the attack against the enemy
[33:51.080 --> 33:53.080]  until our dying breath
[33:54.360 --> 33:56.600]  We ask you to hold us up in your prayers
[33:57.320 --> 34:01.640]  Your word of mouth and your support your Hernandez is joining us at noon
[34:01.640 --> 34:06.280]  Give his take on trump and now the democrats are now blaming him for the poison shots
[34:06.280 --> 34:12.280]  But I want to give the toll-free number out on this issue and this issue alone
[34:12.920 --> 34:15.800]  We don't screen your phone calls in we're not going to control what you say
[34:16.760 --> 34:18.760]  We want a clean phone line
[34:19.400 --> 34:21.400]  And then we want you
[34:21.480 --> 34:23.480]  to talk about that topic
[34:24.040 --> 34:28.840]  We do free-for-alls a lot, but routinely I have your new listener. I want to hear from everybody
[34:28.840 --> 34:34.680]  On the specific issue of who do you blame for the poison shot more?
[34:36.200 --> 34:40.200]  Who do you blame the wuhan the chycoms bill gates peter dazik
[34:41.720 --> 34:47.960]  Fauci who are obama who in 2015 at chapel hill north carolina their own scientist said they're creating
[34:48.920 --> 34:55.080]  superstars bio weapon cross bc's chimeric viruses and obama moved the project to wuhan
[34:55.080 --> 34:58.760]  Trump but as usual obama isn't even in the discussion
[34:59.480 --> 35:01.480]  or the people that control obama
[35:02.120 --> 35:04.840]  And we sit here chasing our tails and now they've set
[35:07.000 --> 35:12.440]  Trump up the populist movement and the crew in seconds found the article on a new scientist
[35:13.160 --> 35:15.160]  from 2015
[35:15.800 --> 35:17.800]  Where they were warning of gain of function
[35:19.480 --> 35:21.240]  Bio weapons
[35:21.240 --> 35:27.000]  And if you try to talk about that you get censored by big tech who's heavily invested in it
[35:27.640 --> 35:29.640]  lab main coronaviruses trigger debate
[35:31.080 --> 35:38.040]  The creation of gain of function chimeric SARS like viruses has scientists discussing the risk of gain of function research
[35:39.880 --> 35:44.120]  And they know hearings are coming when the republicans get in they know they're the ones behind it
[35:44.120 --> 35:51.240]  And instead of trump figuring that out and extricating himself. He sits there
[35:52.680 --> 35:54.680]  Like a giant orange gremlin
[35:56.840 --> 35:58.840]  I mean that nicely I call myself a goblin
[35:59.720 --> 36:01.720]  He sits there
[36:02.040 --> 36:04.680]  And lets himself be sucked into this black hole
[36:04.680 --> 36:13.720]  Imagine if trump comes out and says he was lied to and mislead and calls for Fauci's arrest. He'll be hailed as a hero
[36:14.680 --> 36:20.680]  Hey, I listen to the scientists. I listen to the doctors monoclonials, you know Fauci wasn't for that, but I said do it
[36:20.680 --> 36:24.920]  They work great. I had no idea they'd pull this and he didn't he's not a bio
[36:25.800 --> 36:28.280]  engineering genetic engineering
[36:28.680 --> 36:30.680]  virologist
[36:30.680 --> 36:35.960]  All right, I'm going to give the toll free number out
[36:36.440 --> 36:41.720]  It's 877-789-2539 877-789 alex
[36:42.200 --> 36:44.200]  877-789-2539
[36:45.400 --> 36:48.520]  First-time callers long-time callers you agree you disagree
[36:48.600 --> 36:55.960]  I really want to hear what you have to say the wild card of the people having a voice to millions of viewers and listeners
[36:56.360 --> 36:58.360]  I just love it
[36:58.360 --> 37:01.720]  We're going to take phones throughout the full broadcast today
[37:03.080 --> 37:07.080]  Marjorie Taylor Green told me she'd come on Wednesday. I talked to her Friday
[37:08.360 --> 37:13.240]  But we haven't been able to get her on because she got SWAT team rated last night in a SWAT event
[37:14.040 --> 37:16.280]  We have been swatted. I have been swatted
[37:16.760 --> 37:19.480]  I never really talked about it because I don't want to encourage those that do it
[37:20.040 --> 37:22.040]  But I've been swatted
[37:23.160 --> 37:25.160]  Five times
[37:25.960 --> 37:27.960]  That we know of
[37:27.960 --> 37:31.320]  And the police just had my address in their database and
[37:32.520 --> 37:36.520]  At the first time they just know it's bs. They come knock on the door and they say you got swatted again
[37:38.120 --> 37:40.840]  And they went next level a few months ago. I haven't talked about this yet
[37:42.680 --> 37:44.760]  But they filed just you know what they're up to
[37:45.400 --> 37:47.720]  through a computer system out of washington state
[37:49.160 --> 37:51.480]  Which means it was internally done a fake
[37:52.280 --> 37:54.280]  arrest warrant
[37:54.280 --> 37:57.960]  Out of washington state for years truly for raping children
[37:59.240 --> 38:02.360]  We were contacted by the travis county sheriff's department. My lawyer was
[38:03.000 --> 38:05.800]  And they said they hit a bunch of other texas counties
[38:06.440 --> 38:08.440]  They've never seen that before
[38:08.680 --> 38:14.440]  In their internal system arrest warrant alex jones a judge frost that doesn't exist signed it
[38:15.000 --> 38:17.000]  And there's a criminal investigation going on
[38:17.080 --> 38:22.920]  They're they're pissed because it's not about alex jones. They're like we got people filing fake arrest warrants now
[38:22.920 --> 38:24.920]  How are they doing this?
[38:24.920 --> 38:27.560]  They still haven't figured it out. There's an ongoing investigation
[38:27.960 --> 38:33.720]  But i'll just go ahead and tell you it's not fun. None of us. We're not being investigated. There's an ongoing investigation of whoever did this
[38:35.960 --> 38:37.960]  Multiple child rates
[38:39.240 --> 38:44.120]  And you saw what trended on twitter the last few days and I don't have the money and I don't want to do it
