[00:00.000 --> 00:26.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[37:31.000 --> 37:34.000]  He breaks down what the real threats are here.
[37:34.000 --> 37:37.000]  And you get around these modern feminist women.
[37:37.000 --> 37:42.000]  They are basket cases who all come from wealthy families, pretty much,
[37:42.000 --> 37:49.000]  who are trying to one-up each other on who can be more bizarre, more crazy.
[37:49.000 --> 37:54.000]  And it's all about not having males around.
[37:54.000 --> 38:01.000]  And so it all has an extreme anti-male, anti-family bent, which, by the way,
[38:01.000 --> 38:06.000]  I have stacks of news articles here today from mainstream news documenting everything I've told you so far.
[38:06.000 --> 38:14.000]  Gender-bending chemicals found in plastic linked to breast and prostate cancer found in 86% of teenagers' bodies,
[38:14.000 --> 38:20.000]  daily mail, not just a boy and girl, some T-centifies transgender, no children because of climate change.
[38:20.000 --> 38:24.000]  Some people are considering it, New York Times, see?
[38:24.000 --> 38:27.000]  That's the agenda. They're now admitting exactly what I told you.
[38:27.000 --> 38:32.000]  But here's Paul Watson's special report. We'll go to break up for that and come back.
[38:32.000 --> 38:39.000]  This is a space where we can recognize that we're angry.
[38:39.000 --> 38:48.000]  3, 2, 1...
[38:55.000 --> 38:56.000]  Oh my God.
[38:56.000 --> 39:01.000]  We're going to destroy the Conservative government. We want to bring down the patriarchy.
[39:01.000 --> 39:05.000]  So the first rule of feminist fight club is, talk about feminist fight club.
[39:05.000 --> 39:10.000]  I mean, isn't it awful how all these bigots, stereotypes of feminists as being fat, angry, ugly, misfits?
[39:10.000 --> 39:12.000]  God only knows where they get that idea from.
[39:12.000 --> 39:17.000]  Before the fight, I always think about how angry I am. I think about the man that cat called me on the street.
[39:17.000 --> 39:19.000]  I'm sure you get cat called all the time, love.
[39:19.000 --> 39:24.000]  My name is Phoebe Pate Ferguson and I founded Femtero.
[39:24.000 --> 39:31.000]  We fight each other as a mode of resistance to try and channel our energies and our rage.
[39:31.000 --> 39:35.000]  So you've got a triple barreled name and you go to a prestigious London university.
[39:35.000 --> 39:38.000]  Yeah, you don't sound very oppressed to me.
[39:38.000 --> 39:42.000]  You sound like another privileged and titled inherited wealth snowflake.
[39:42.000 --> 39:45.000]  Let me do a little mansplaining about real feminism.
[39:45.000 --> 39:49.000]  Real feminism is risking arrest and torture for removing your hijab in public.
[39:49.000 --> 39:53.000]  Real feminism is marching in the streets against a theocratic tyranny.
[39:53.000 --> 39:57.000]  Real feminism is strapping on a machine gun to kick some ISIS ass.
[39:57.000 --> 40:02.000]  You rolling around in a basement in your sweaty underpants while screaming incoherently.
[40:02.000 --> 40:03.000]  That's not real feminism.
[40:03.000 --> 40:07.000]  You feel like empowered by the numbers actually.
[40:07.000 --> 40:10.000]  Yeah, it feels like you can go out and smash them.
[40:10.000 --> 40:13.000]  Now like, forgive me for being like Frank.
[40:13.000 --> 40:17.000]  But like, the only thing you should be smashing is the Weight Watchers weekly meal plan.
[40:17.000 --> 40:22.000]  I have experienced moments of a lot of like suppression and repression.
[40:22.000 --> 40:24.000]  Or not moments but like a lifetime of that actually.
[40:24.000 --> 40:27.000]  That they have been oppressed and are very oppressed.
[40:27.000 --> 40:30.000]  Really? A lifetime of oppression? You.
[40:30.000 --> 40:32.000]  Really? You.
[40:32.000 --> 40:37.000]  With your plummy accent and your leisure time spent painting your face while rolling around in a cellar
[40:37.000 --> 40:39.000]  in some upper middle class hipster enclave.
[40:39.000 --> 40:43.000]  Let me do a little mansplaining about real oppression.
[40:43.000 --> 40:48.000]  Real oppression is having your genitals mutilated to fulfill the dictates of a backwards belief system.
[40:48.000 --> 40:55.000]  Real oppression is being subjected to constant death threats for trying to renounce a religion that kills people who try to leave it.
[40:55.000 --> 41:02.000]  And overcoming all this to escape a ghetto in Somalia to become one of the most influential women on the planet.
[41:02.000 --> 41:03.000]  That's real oppression.
[41:03.000 --> 41:06.000]  You being triggered by a Sorgh on a vacad video.
[41:06.000 --> 41:08.000]  That's not real oppression.
[41:08.000 --> 41:12.000]  It's difficult to be like sexy in specific spaces without being sexualized.
[41:12.000 --> 41:19.000]  Preventing it from becoming sexualized may have been made more difficult by the fact that someone's drawn a giant **** on the wall.
[41:19.000 --> 41:21.000]  Accused Theresa May.
[41:21.000 --> 41:23.000]  Accused Theresa May.
[41:23.000 --> 41:25.000]  Now I'm no fan of Theresa May.
[41:25.000 --> 41:29.000]  But if she wants to get re-elected this **** should be going in her campaign now.
[41:29.000 --> 41:30.000]  Accused Theresa May.
[41:30.000 --> 41:36.000]  So you want to fight the patriarchy by removing Britain's first female prime minister in two decades.
[41:36.000 --> 41:43.000]  And replacing her with a man from a party that in its entire history of existence has never had a female leader.
[41:43.000 --> 41:50.000]  A party that organizes political meetings where women are segregated to appease an actual patriarchal belief system.
[41:50.000 --> 41:52.000]  That's how you're going to bring down the patriarchy.
[41:52.000 --> 41:56.000]  Somewhere in there we hear a muddled argument about drawing attention to domestic violence.
[41:56.000 --> 42:03.000]  Even though every study shows that lesbians are statistically far more likely to be violent than heterosexual couples.
[42:03.000 --> 42:06.000]  Not that I'm saying any of them are lesbians.
[42:06.000 --> 42:13.000]  I mean is it any wonder that just 7% of people in the UK identify it as feminists.
[42:13.000 --> 42:19.000]  When even members of vice's hardcore audience is saying it's cringey. Chances are it's cringey.
[42:19.000 --> 42:24.000]  How do you think the vast majority of young women are going to react when they watch this?
[42:24.000 --> 42:30.000]  If you really want to bring down the patriarchy, why aren't you encouraging women to get STEM degrees?
[42:30.000 --> 42:37.000]  If you really want to end the oppression of women, why don't you draw attention to countries in the world where women are actually being oppressed?
[42:37.000 --> 42:41.000]  Theresa May and the Tories aren't stoning women to death for violating Sharia law.
[42:41.000 --> 42:45.000]  Theresa May and the Tories aren't passing laws that legalize marital rape.
[42:45.000 --> 42:51.000]  Theresa May and the Tories aren't instructing police to round up women if their headscarf slips.
[42:51.000 --> 42:53.000]  She broke Islamic dress code.
[42:53.000 --> 42:57.000]  We live in a world where grid girls are being killed.
[42:57.000 --> 43:00.000]  And this is what the...
[43:28.000 --> 43:31.000]  Joint function, immune system and so much more.
[43:31.000 --> 43:38.000]  Now we're not even including a lot of the benefits that this product has been scientifically proven to have.
[43:38.000 --> 43:43.000]  So I just got this brush today, literally the seal's not even being opened on it.
[43:43.000 --> 43:49.000]  It's just $29.95 again, big, big chunky bottle, 120 capsules in this bottle.
[43:49.000 --> 43:59.000]  It is Bodys, the ultimate turmeric and inflammatory support product on the market available right now at InfowarsStore.com. Get it today.
[44:20.000 --> 44:25.000]  Immune wall is incredible and folks, other formulas that aren't even as good are $70-80.
[44:25.000 --> 44:27.000]  It's a great deal at $39.
[44:27.000 --> 44:31.000]  Immune wall, beta-glucans, olive leaf and so much more.
[44:31.000 --> 44:35.000]  It is concentrated, you need to go read what is in here.
