[00:00:04.735 --> 00:00:06.256]  It is Wednesday.
[00:27:37.999 --> 00:27:44.466]  And they admit, we're going to spray the atmosphere with chemtrails to save the Earth, to make it cool off.
[00:27:44.466 --> 00:27:54.576]  Now, we've had the climatologist, we've had the meteorologist on the secret cloud seeding program, now declassified.
[00:27:54.576 --> 00:27:55.497]  Obama's talked about it.
[00:27:56.954 --> 00:27:59.875]  But they're only declassifying a little bit of it to introduce it to the slaves.
[00:27:59.875 --> 00:28:05.676]  Admits they've been spraying since 1992 all over the world.
[00:28:05.676 --> 00:28:07.776]  And it heats the planet up.
[00:28:07.776 --> 00:28:11.256]  The rays go through it and then bounce back up and get trapped.
[00:28:11.256 --> 00:28:14.137]  It is a greenhouse gas-causing particulate.
[00:28:14.137 --> 00:28:15.977]  Why are they terraforming the Earth?
[00:28:15.977 --> 00:28:17.778]  Well, it's a national security state!
[00:28:17.778 --> 00:28:25.359]  You know, why did the United States government detonate over 200 high-powered hydrogen bombs in the upper atmosphere, blowing holes in the ozone layer?
[00:28:26.226 --> 00:28:31.049]  Great documentary narrated by William Shatner called, uh, Trinity.
[00:28:31.049 --> 00:28:37.113]  About that, and it'll show them detonating the nukes in the atmosphere.
[00:28:37.113 --> 00:28:40.875]  Why are they genetically engineering and splicing every major food crop?
[00:28:40.875 --> 00:28:46.459]  Why are they... when they know that it's killing the rats and other rodents that they tested on?
[00:28:46.459 --> 00:28:47.720]  Why are they doing all of this?
[00:28:47.720 --> 00:28:51.522]  Well, we know they're eugenicists, so we know it's to get rid of the population.
[00:28:51.522 --> 00:28:52.783]  We know it's to test things.
[00:28:56.087 --> 00:28:58.127]  This is the only issue.
[00:28:58.127 --> 00:29:06.809]  We can talk about Sotomayor, you know, running around ruling that states have a right to ban the Second Amendment and now a federal court has ruled that.
[00:29:06.809 --> 00:29:14.991]  I've got that Wall Street Journal in my stack today.
[00:29:14.991 --> 00:29:15.852]  It's all happening.
[00:29:15.852 --> 00:29:21.613]  I mean, I could talk all day about how the bankers are robbing us.
[00:29:23.530 --> 00:29:43.958]  But, in the final equation, we have a global elite, who are eugenicists, who believe they want to set up a world government, to forcibly call us, and they're now finishing the final touches on their world government, and the public's running around thinking they're still in la-la land, having no idea this is a giant extermination grid.
[00:29:43.958 --> 00:29:47.159]  Period!
[00:29:47.159 --> 00:29:49.240]  Alright, ladies and gentlemen, we'll be right back.
[00:29:49.240 --> 00:29:49.660]  Stay with me.
[00:29:50.922 --> 00:29:54.855]  We're on the march, the empire's on the run.
[00:29:54.855 --> 00:29:57.543]  Alex Jones and the GCN Radio Network.
[00:30:00.620 --> 00:30:06.462]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[00:30:06.462 --> 00:30:15.045]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[00:30:15.045 --> 00:30:21.808]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:30:22.148 --> 00:30:27.910]  This new technology has proven itself to be a formidable weapon against bio-threats of today and tomorrow.
[00:30:27.910 --> 00:30:34.212]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[00:30:34.212 --> 00:30:40.434]  The new silver solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[00:30:40.854 --> 00:30:45.518]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[00:30:45.518 --> 00:30:48.901]  Check out the patented new silver solution today.
[00:30:48.901 --> 00:30:52.584]  Click on the link and check out the uses for new silver solution.
[00:30:52.584 --> 00:30:57.407]  Order this extra line of defense today by going to SupernaturalSilver.com.
[00:30:57.407 --> 00:31:01.231]  That's SupernaturalSilver.com today.
[00:31:01.231 --> 00:31:06.495]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:31:07.265 --> 00:31:13.129]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:31:13.129 --> 00:31:19.633]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:31:19.633 --> 00:31:21.594]  Well, Obama's already fudging.
[00:31:21.594 --> 00:31:24.056]  He's fudged since day one of this election.
[00:31:24.056 --> 00:31:34.883]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:31:37.248 --> 00:31:38.909]  It's not about left or right.
[00:31:38.909 --> 00:31:40.770]  It's about a one world government.
[00:31:40.770 --> 00:31:47.675]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:31:47.675 --> 00:31:55.940]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:31:55.940 --> 00:31:57.521]  The Obama Deception.
[00:31:57.521 --> 00:31:58.702]  The people strike back.
[00:32:00.367 --> 00:32:05.588]  The word catastrophe is defined as a sudden and widespread disaster.
[00:32:05.588 --> 00:32:09.289]  The only way to be truly ready is to prepare yourself now.
[00:32:09.289 --> 00:32:15.551]  The7store.net is here to make sure you are fully prepared in the event of any catastrophe.
[00:32:15.551 --> 00:32:27.774]  The7store.net carries high-quality storable MREs, storable and freeze-dried foods, survival gear, terror and pandemic kits, water storage, self-reliant items, and more.
[00:32:27.774 --> 00:32:29.695]  All with a low-price guarantee.
[00:32:30.095 --> 00:32:35.458]  We are ready to answer your questions and offer advice on preparedness, food storage, and more.
[00:32:35.458 --> 00:32:43.562]  See why the7store.net is one of the nation's most trusted emergency preparedness companies for home, business, and schools.
[00:32:43.562 --> 00:32:49.765]  Take the first responsible step in preparing for the next inevitable catastrophe by visiting the7store.net.
[00:32:49.765 --> 00:32:50.405]  That's the7store.net.
[00:32:50.405 --> 00:32:50.826]  Or call 1-888-654-3447.
[00:32:50.826 --> 00:32:51.166]  That's 1-888-654-3447.
[00:33:07.708 --> 00:33:13.653]  You go back to the time of Plato and Plato's Republic and he believed there were too many people.
[00:33:13.653 --> 00:33:21.219]  He believed they needed to cull the entire underclass.
[00:33:21.219 --> 00:33:26.343]  And then once you commit to that idea, that's beyond good and evil.
[00:33:26.343 --> 00:33:31.267]  Just go ahead and kill everybody, rob everybody, go ahead and bankrupt everything so you can control the system.
[00:33:32.757 --> 00:33:35.200]  And that's their religion, Social Darwinism.
[00:33:35.200 --> 00:33:38.645]  You had robber barons 150 years ago.
[00:33:38.645 --> 00:33:41.629]  The royalty already believed in the divine right of kings.
[00:33:41.629 --> 00:33:50.260]  They already believed that the ancestors of these individuals had proven that they could use force and had proven they could rule.
[00:33:51.314 --> 00:33:54.655]  And have force of arms, and so that was the system they believed in.
[00:33:54.655 --> 00:34:08.041]  And so the scientists they funded said, yes, social Darwinism, kill everyone, enslave everyone, if you can kill them and enslave them, you're helping the Earth, you're ridding the planet of weak humans.
[00:34:08.041 --> 00:34:12.803]  And we're parasites and there's too many of us, so do whatever you want to people because
[00:34:14.935 --> 00:34:16.795]  It's for the betterment of the earth.
[00:34:16.795 --> 00:34:36.900]  And you'll talk to so-called liberals, and they'll be like, oh yes, the waterboarding's terrible, and the million dead Iraqis is horrible, and no, the police state is horrible, and people being discriminated for jobs is horrible, and it doesn't matter if, you know, 20 white guys get a better test score, fire all of them and hire a black guy.
[00:34:36.900 --> 00:34:38.901]  That's what Sotomayor says.
[00:34:40.046 --> 00:34:42.690]  But then, you go talk to them, they believe in eugenics.
[00:34:42.690 --> 00:34:44.132]  Oh, but there are too many people!
[00:34:44.132 --> 00:34:49.380]  Yes, we've got to have Planned Parenthood in all the minority areas, getting rid of everybody.
[00:34:49.380 --> 00:34:55.670]  Worthless weeds, parasites, as Margaret Sanger called blacks, and other people with color.
[00:34:56.943 --> 00:35:13.469]  And then she gets loved, and Time Magazine calls her one of the top ten women of the 20th century, and all she was was a Rockefeller family front, publicly, carrying it out, and then I talk about it, and so I get made fun of by local talk show hosts.
[00:35:13.469 --> 00:35:15.589]  It's funny!
[00:35:15.589 --> 00:35:19.751]  What it is is sick.
[00:35:19.751 --> 00:35:24.112]  And do I hate those talk show hosts that make fun of me and say none of it's true?
[00:35:24.112 --> 00:35:24.852]  No, I don't hate them.
[00:35:24.852 --> 00:35:26.213]  These are sad people.
[00:35:27.677 --> 00:35:29.398]  These are castrated men.
[00:35:29.398 --> 00:35:37.500]  These are men that think goofing around, screwing around, laughing at reality, not having responsibility, not caring.
[00:35:37.500 --> 00:35:38.181]  It's cool!
[00:35:38.181 --> 00:35:39.721]  It's fun to be idiots!
[00:35:39.721 --> 00:35:42.662]  It's fun to always lick the boots of the establishment.
[00:35:42.662 --> 00:35:47.804]  It's fun to always defend the cops when they're gunning somebody new down in the back around here.
[00:35:47.804 --> 00:35:48.304]  It's fun!
[00:35:57.810 --> 00:36:06.474]  So we have all of this going on.
[00:36:06.474 --> 00:36:24.724]  We have all of this going on and all of this happening and they they have all these different TV programs on the History Channel and Discovery Channel and A Future Without Man and how great the planet would be if we were all dead and we're parasites and we're bad so that as you see people being enslaved and see people being tortured and see people losing their rights
[00:36:26.016 --> 00:36:27.577]  Oh, well, that's a good thing for the Earth!
[00:36:27.577 --> 00:36:34.380]  There's too many people anyways, and you don't care about your neighbor, and when you're being drug off, they don't care about you.
[00:36:34.380 --> 00:36:52.649]  And remember, it was ABC News, right after 9-11 and The Height of the Fear, that ran a five-part series that they announced was real every night, and at the end of the show, they would announce it was a simulation of smallpox killing millions of Americans in dark winter, and martial law, and police state, and troops firing on U.S.
[00:36:52.649 --> 00:36:53.149]  citizens.
[00:36:53.749 --> 00:37:11.857]  I mean, do you not see that for over a decade the military has been training to engage the American people and that cities and towns have become federalized and they've swollen the numbers of paramilitary SWAT teams and auxiliary SWAT teams openly training them to engage the American people?
[00:37:11.857 --> 00:37:20.041]  The military-industrial complex, the Patriot Act, all of it openly being announced that it will be used and is being used against the people?
[00:37:23.612 --> 00:37:25.615]  This is not your grandpa's army.
[00:37:25.615 --> 00:37:31.243]  This is not your grandpa's or your uncle's Marine Corps.
[00:37:31.243 --> 00:37:39.936]  This has been set up and prepared for us, the American people, and the people of the world, and the military's starting to get wise to it, and the police are starting to get wise to it.
[00:37:41.271 --> 00:37:52.998]  And it's very sophisticated how the media puts out all these videos of cops stopping ambulances with pregnant women and cops stopping people with an 80-year-old who later died in the back of the car one mile from a hospital.
[00:37:52.998 --> 00:38:04.485]  The media is playing this and encouraging this and the police are backing up their officers by design to convert them to nothing but mad dogs so the public will then hate them
[00:38:05.245 --> 00:38:12.548]  And the police will then hate the public and nothing but scum will be in the departments, and then they can play us all off against each other.
