[00:00.000 --> 00:10.000]  The globalist great error is to believe that as they collapse humanity they end up on top.
[01:38:47.520 --> 01:38:54.280]  to admit, if Trump can stop war with Russia, I'll support him, he did, he did, okay, Michael
[01:38:54.280 --> 01:38:58.000]  I appreciate your call, I hear what you're saying, Ventura isn't even, it's not even
[01:38:58.000 --> 01:39:04.160]  worth getting into, okay, I hear what you're saying, you know, I want to go to our guest
[01:39:04.160 --> 01:39:07.200]  who's going to pop in briefly, we'll be back with this later during the week, I want to
[01:39:07.200 --> 01:39:13.000]  get him on, Larry Nichols, you know, to talk about his view on all this and this election
[01:39:13.000 --> 01:39:17.280]  and anti-globalism and why the elites are so upset, I got to tell you though, Larry,
[01:39:17.280 --> 01:39:21.240]  you're a smart old green beret guy, put the Clintons in office at first, man, I'm out
[01:39:21.240 --> 01:39:25.280]  in Austin, I've never experienced this and my, you know, my grandma's from here, you
[01:39:25.280 --> 01:39:28.960]  know, we raised Colonel Travis' son and my mom is out of the family, so, you know, I
[01:39:28.960 --> 01:39:33.520]  mean, we've been in this county since the, since it wasn't a, you know, it wasn't a country,
[01:39:33.520 --> 01:39:37.800]  much less a state, the Democrats, man, are in my face on the street, they're pulling
[01:39:37.800 --> 01:39:42.520]  guns on me, they're in my face, they are freaking flipping, what's going on?
[01:39:42.520 --> 01:39:50.240]  Well, you're seeing Alex, you're seeing what they've been wanting fall right in front of
[01:39:50.240 --> 01:39:56.360]  their eyes and they can't take it, remember the elites, remember these liberals, Alex,
[01:39:56.360 --> 01:40:03.000]  they're bullies or they don't use a muscle, they think their intellect is so incredibly
[01:40:03.000 --> 01:40:10.240]  important that they bully us around, but now's the time, Alex, to stop it, stop it, you know,
[01:40:10.240 --> 01:40:14.800]  we won the battle, we won a battle, we did with Trump, Trump went in against telling
[01:40:14.800 --> 01:40:20.080]  what an incredible battle, but we're still in the war, buddy, we're still in the war,
[01:40:20.080 --> 01:40:21.080]  there's one thing.
[01:40:21.080 --> 01:40:24.120]  I know, and I'm trying not to be physical, but let me tell you, these are sacks of weakness,
[01:40:24.120 --> 01:40:26.960]  I mean, these sons and bitches want to fight, good God, they have no idea what they're
[01:40:26.960 --> 01:40:27.960]  about to face.
[01:40:27.960 --> 01:40:33.520]  Well, I assure you this, they do not want to come around me, even in my decrepit state,
[01:40:33.520 --> 01:40:38.560]  I assure you they'll regret it, they'll regret it, don't come in my face, don't get in my
[01:40:38.560 --> 01:40:44.320]  face trying to pull that stuff, but I'll tell you this, what we've got to do, Alex, is we've
[01:40:44.320 --> 01:40:48.520]  got to unify, while we've got momentum, while we've got a president in the White House,
[01:40:48.520 --> 01:40:52.680]  I agree, we've got to get fully behind him, get behind him, and there's one last thing,
[01:40:52.680 --> 01:40:57.200]  we've got one last thing we've got to do, Alex, and that state's right, you want to drain
[01:40:57.200 --> 01:41:02.720]  the swamp, you want to get rid of the Trump, he says everything goes back to state, send
[01:41:02.720 --> 01:41:08.400]  it back to the state, send it back, states need to rule themselves, hey, you want to
[01:41:08.400 --> 01:41:14.800]  have illegals running all over your state, fine, vote them in, if you don't vote them
[01:41:14.800 --> 01:41:18.400]  out, but don't, I wouldn't even be in against the illegals if they weren't
[01:41:18.400 --> 01:41:21.800]  above the law when they drunk drive and stuff, that's what's crazy, the new sheriff of Austin
[01:41:21.800 --> 01:41:25.000]  says they can drunk drive, be above the law, anything.
[01:41:25.000 --> 01:41:29.400]  Isn't that something, isn't that something all we heard during this campaign was all
[01:41:29.400 --> 01:41:34.960]  these rednecks, when Hillary went, not even, when Hillary wins, all these rednecks are
[01:41:34.960 --> 01:41:39.480]  threatening and marching in the street, let me assure you, there wouldn't have been any
[01:41:39.480 --> 01:41:43.520]  marching, it meant a lot of mad people, no doubt, but look.
[01:41:43.520 --> 01:41:48.520]  And what do you make of communist armed marching in Austin?
[01:41:48.520 --> 01:41:49.520]  Of what?
[01:41:49.520 --> 01:41:53.040]  They have armed communists marching in Austin now, threatening people.
[01:41:53.040 --> 01:41:59.880]  Well, they've been communists for a long time, it's time for Americans to stand up for America,
[01:41:59.880 --> 01:42:05.280]  Alex, I'm tired of counting down to communists, I'm tired of counting down to liberals, I'm
[01:42:05.280 --> 01:42:11.600]  tired of counting down to Mexicans, I'm tired of counting down to Muslims, this is a time
[01:42:11.600 --> 01:42:15.280]  for revival, a revival, a revival of America.
[01:42:15.280 --> 01:42:20.680]  No, I hear you, but let's get straight on this, white people killed all their kids and
[01:42:20.680 --> 01:42:24.920]  Mexicans are a lot of great people, a lot of them want to be patriots, I talk to them
[01:42:24.920 --> 01:42:29.120]  and I get the fact that a lot are anti-American from brainwashing, but isn't it time to just
[01:42:29.120 --> 01:42:31.800]  embracing it, everybody to be Americana?
[01:42:31.800 --> 01:42:38.440]  Alex, it is for those that want to come here legally, you know, the key is when you come
[01:42:38.440 --> 01:42:40.440]  here illegal, you're illegal.
[01:42:40.440 --> 01:42:44.520]  No, no, I get that, if I was in Mexico I'd be illegal, I know I understand that, all
[01:42:44.520 --> 01:42:48.560]  I care about is ideology, I want to win this thing long term like Bannon does, I don't
[01:42:48.560 --> 01:42:52.280]  give a damn what color you are, as long as you want free market, private property, second
[01:42:52.280 --> 01:42:55.960]  amendment, families, I'm for you, we'll be right back, stay there, we're going to come
[01:42:55.960 --> 01:42:57.960]  back and take phone calls with Larry Nichols.
[01:42:57.960 --> 01:43:02.320]  More than two years ago, Info Wars first told you about our research into what has been
[01:43:02.320 --> 01:43:06.840]  called the iodine conspiracy, and told you about how scientists have known for decades
[01:43:06.840 --> 01:43:11.760]  that iodine deficiencies can devastate IQ, and how the government, knowingly, started
[01:43:11.760 --> 01:43:16.360]  taking iodine out of the food and adding fluoride, the bad member of the halogen family,
[01:43:16.360 --> 01:43:17.360]  into the water.
[01:43:17.360 --> 01:43:22.240]  They took the good halogen out, and put the deadly halogen in, and when the Fukushima crisis
[01:43:22.240 --> 01:43:26.960]  worsened, as it still is worsening today, I was there telling you how to prepare yourself
[01:43:26.960 --> 01:43:27.960]  and your family.
[01:43:27.960 --> 01:43:33.480]  Now, in 2016, even more information has been revealed concerning the connection between
[01:43:33.480 --> 01:43:39.280]  iodine and the gut, which many experts are now saying could be the biggest revelation
[01:43:39.280 --> 01:43:40.920]  ever concerning iodine.
[01:43:40.920 --> 01:43:42.840]  You can pull these studies up for yourself.
[01:43:42.840 --> 01:43:47.120]  This is the real deal, folks, and the truth is that iodine is essential, in my view, to
[01:43:47.120 --> 01:43:49.080]  any optimum health regimen.
[01:43:49.080 --> 01:43:57.800]  Stock up on Survival Shield X2 today at InfoWarsLife.com, or by calling 888-253-3139.
[01:43:57.800 --> 01:44:10.960]  I've been working all day, I took a couple hours off coaching basketball, I get in here
[01:44:10.960 --> 01:44:15.200]  at 8.30, I was kind of run down, you know, I just didn't feel like I was going to make
[01:44:15.200 --> 01:44:18.720]  it, and I really wanted to do a good job on the interview, I got my bottle of brain force
[01:44:18.720 --> 01:44:22.920]  right there, I popped two of them, and about 20 minutes later, it's like, everything just
[01:44:22.920 --> 01:44:24.360]  kind of clears up.
[01:44:24.360 --> 01:44:29.480]  Got four and a half stars, people really love it, read about it, find out why third-party
[01:44:29.480 --> 01:44:34.160]  nutraceutical sites give it such high praise because it really does have the best organic
[01:44:34.160 --> 01:44:37.080]  based systems that will blow your socks off.
[01:44:37.080 --> 01:44:40.040]  I haven't pulled an all-nighter like that in a while, but I probably could not have done
[01:44:40.040 --> 01:44:41.040]  it without brain force.
[01:44:41.040 --> 01:44:46.040]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more brain
[01:44:46.040 --> 01:44:47.360]  force and came in.
[01:44:47.360 --> 01:44:58.720]  You will find brain force and other game-changing products at infowarslife.com or call 888-253-3139.
[01:44:58.720 --> 01:45:02.880]  Introducing Vitamin Mineral Fusion from infowarslife.com.
[01:45:02.880 --> 01:45:06.880]  We have worked for years with our chemists and scientists to create the most powerful
[01:45:06.880 --> 01:45:10.360]  and affordable, great-tasting multivitamin formula available.
[01:45:10.360 --> 01:45:16.160]  The all-new Vitamin Mineral Fusion drink mix at infowarslife.com is loaded with a full month
[01:45:16.160 --> 01:45:21.840]  supply of essential vitamins, minerals and amino acids that your body absolutely needs.
[01:45:21.840 --> 01:45:26.280]  In the history of infowarslife, we've brought out a lot of amazing products like Survival
[01:45:26.280 --> 01:45:29.680]  Shield X2, SuperMail Vitality and so many others.
[01:45:29.680 --> 01:45:34.560]  But I am most proud of the product we're now launching today, with its unique delivery
[01:45:34.560 --> 01:45:39.360]  system and proprietary manufacturing process designed for maximized effects.
[01:45:39.360 --> 01:45:43.720]  This formula is the platinum standard of multivitamin mineral products.
[01:45:43.720 --> 01:45:49.120]  The ingredients in Vitamin Mineral Fusion are either plant-derived or of the highest
[01:45:49.120 --> 01:45:50.920]  quality lab standard.
[01:45:50.920 --> 01:45:55.600]  That means it's clean, that means it's pure, that's infowarslife.com and Vitamin Mineral
[01:45:55.600 --> 01:45:56.600]  Fusion.
[01:45:56.600 --> 01:45:58.400]  Take action now before we sell out.
[01:45:58.400 --> 01:46:01.840]  A clean, toxic-free body is the foundation of true health.
[01:46:01.840 --> 01:46:07.080]  Deep Cleanse by infowarslife.com, a scientifically formulated blend of nanocoloidal zeolines
[01:46:07.080 --> 01:46:11.240]  and organic ingredients that aid the body in cleansing chemicals and toxic metals, using
[01:46:11.240 --> 01:46:15.800]  on proprietary multi-step extraction technology, Deep Cleanse are most affordable all-in-one
[01:46:15.800 --> 01:46:16.800]  cleanser.
[01:46:16.800 --> 01:46:21.960]  With concentrated organic compounds like cilantro, milk thistle, folvic acid, orange
[01:46:21.960 --> 01:46:25.840]  peel, zeolines and others, Deep Cleanse doesn't hold back.
[01:46:25.840 --> 01:46:30.320]  Instead of buying five, six or even seven different cleansing products, we use decades-old
[01:46:30.320 --> 01:46:34.480]  scientific research to put together the Rolls Royce of all-in-one cleansing.
[01:46:34.480 --> 01:46:38.680]  Look, there's a reason Deep Cleanse is the only product on the market that uses our
[01:46:38.680 --> 01:46:41.840]  proprietary SpyJurex herbal processing technique.
[01:46:41.840 --> 01:46:46.120]  We use only the highest-quality organic herbs backed by serious research and we still bring
[01:46:46.120 --> 01:46:48.080]  it to you at the best price out there.
[01:46:48.080 --> 01:46:53.160]  If you wish to find Deep Cleanse and experience the all-in-one cleansing, visit infowarslife.com.
[01:46:53.160 --> 01:47:17.800]  Or call 888-253-3139.
[01:47:17.800 --> 01:47:43.600]  Clashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[01:47:43.600 --> 01:47:50.760]  A brief on this, I had a stroke in last January, so brief, bear with my speech a little bit.
[01:47:50.760 --> 01:47:56.920]  I was wondering if you can agree with me or not, could it be possible that Trump puts
[01:47:56.920 --> 01:48:05.040]  all the liberal journalists, all the fakers out in the hallway and let all the conservative
[01:48:05.040 --> 01:48:12.560]  journalists like Sean Hannity, Greta Van Susten, Brett Baer from Fox, and journalists like
[01:48:12.560 --> 01:48:22.560]  yourself right up on the front, on the front seats to attend President Trump's meeting?
[01:48:22.560 --> 01:48:26.000]  Well, you're saying bear with you, this is a huge point I could spend a whole three-hour
[01:48:26.000 --> 01:48:27.000]  show on.
[01:48:27.000 --> 01:48:32.080]  I'm not asking for, even though I've been offered, tickets to the inauguration.
[01:48:32.080 --> 01:48:35.600]  I'm going to be out with the crowds where the action's at and we're going to be there.
[01:48:35.600 --> 01:48:39.520]  I'm not asking, hey, can I have my White House press pass for our new bureau, even though
[01:48:39.520 --> 01:48:43.280]  we probably get one, because it's almost like weird to even be associated with it.
[01:48:43.280 --> 01:48:46.120]  I want to be on the outside where we're truly independent.
[01:48:46.120 --> 01:48:50.600]  But the mainstream media is so jealous and so freaked out that that's what they're all
[01:48:50.600 --> 01:48:53.240]  about, is it all being controlled.
[01:48:53.240 --> 01:48:56.240]  And I do like the fact that Trump doesn't tell him where he's going for dinner.
[01:48:56.240 --> 01:49:00.120]  They go, for your security, tell us where you're going, well, that's for his insecurity.
[01:49:00.120 --> 01:49:02.560]  The Secret Service is telling him, don't tell the media, they're the enemy where you're
[01:49:02.560 --> 01:49:03.560]  going.
[01:49:03.560 --> 01:49:08.040]  So I like the fact that he's breaking with convention, not following protocol to tell
[01:49:08.040 --> 01:49:09.880]  the MSM everywhere he's going.
[01:49:09.880 --> 01:49:13.040]  It's important to lower their power.
[01:49:13.040 --> 01:49:17.320]  It's great that he's going to spend half the year at his own mansion or his own tower.
[01:49:17.320 --> 01:49:21.240]  Again, it's about breaking with the establishment system.
[01:49:21.240 --> 01:49:22.480]  Amazing points, Bill.
[01:49:22.480 --> 01:49:23.480]  Thank you so much.
[01:49:23.480 --> 01:49:25.480]  Larry Nichols, comments on that.
[01:49:25.480 --> 01:49:27.400]  You know, I agree 100%.
[01:49:27.400 --> 01:49:32.360]  Look, Donald Trump's in a position that we haven't had a president in for as long as
[01:49:32.360 --> 01:49:35.160]  I can remember and that's been a long time.
[01:49:35.160 --> 01:49:39.360]  And I think Donald Trump knows who his friends are and he certainly knows who his enemies
[01:49:39.360 --> 01:49:40.360]  are.
[01:49:40.360 --> 01:49:43.840]  And I think left alone, Trump's going to deal with it.
[01:49:43.840 --> 01:49:45.640]  He's going to deal with it properly, Alex.
[01:49:45.640 --> 01:49:47.360]  You know, he can't block out the mainstream.
[01:49:47.360 --> 01:49:49.280]  I talked to folks that were dinner with him the other night.
[01:49:49.280 --> 01:49:51.840]  They said he wouldn't stop and eat dinner for an hour.
[01:49:51.840 --> 01:49:56.000]  All he did was shake hands with tears in his eyes and say, I'm going to deliver, I'm going
[01:49:56.000 --> 01:49:57.480]  to cut your taxes.
[01:49:57.480 --> 01:50:00.320]  That wasn't egomaniac.
[01:50:00.320 --> 01:50:03.440]  He wasn't perfect before, but as he said, he's changed.
[01:50:03.440 --> 01:50:07.960]  Going through these trials has made him, you know, from Gandalf the Great to Gandalf the
[01:50:07.960 --> 01:50:08.960]  White.
[01:50:08.960 --> 01:50:13.560]  And Alex, I think it would kill Donald Trump more than anybody I've ever heard of.
[01:50:13.560 --> 01:50:16.880]  It would kill him to break his word, Alex.
[01:50:16.880 --> 01:50:22.640]  I think he is more committed to keeping his word than he was the day he started running.
[01:50:22.640 --> 01:50:24.680]  I think he has seen the American people.
[01:50:24.680 --> 01:50:28.000]  He's been supported by the American people.
[01:50:28.000 --> 01:50:29.000]  And I don't have to say.
[01:50:29.000 --> 01:50:30.000]  He told me privately.
[01:50:30.000 --> 01:50:34.200]  He said, I'm going to call you within a week of being elected president.
[01:50:34.200 --> 01:50:39.240]  It's guaranteed and I appreciate your spirit and I feel that spirit at these rallies.
[01:50:39.240 --> 01:50:42.800]  And all we talked about was, I don't want to tell the media, it was just so wild.
[01:50:42.800 --> 01:50:45.560]  All I can tell you is that guy's for real.
[01:50:45.560 --> 01:50:46.760]  That's why they're crap with their pants.
[01:50:46.760 --> 01:50:47.760]  That's right.
[01:50:47.760 --> 01:50:48.760]  That's right.
[01:50:48.760 --> 01:50:49.760]  That's why they hate him.
[01:50:49.760 --> 01:50:54.640]  So, and I assure you, they're going to attack him viciously, but I promise you, Donald
[01:50:54.640 --> 01:51:00.120]  Trump, from everything I've seen, and we've lived with him now for 16, 18 months, everything
[01:51:00.120 --> 01:51:04.440]  we've seen, he hadn't backbanned and I do not expect him to back down now.
[01:51:04.440 --> 01:51:05.440]  Why would he?
[01:51:05.440 --> 01:51:06.440]  He's president.
[01:51:06.440 --> 01:51:07.440]  Yeah.
[01:51:07.440 --> 01:51:08.440]  What do you make of sessions?
[01:51:08.440 --> 01:51:11.240]  What do you make of sessions being the VP, the Attorney General?
[01:51:11.240 --> 01:51:16.240]  Let me tell you, Jeff Sessions, I've known for 25 years.
[01:51:16.240 --> 01:51:23.360]  He's the one person in Washington, DC, Jeff, I've known that if there is a man, Alex,
[01:51:23.360 --> 01:51:28.560]  that has kept his word to me all these years, a man that's been true to this country all
[01:51:28.560 --> 01:51:30.560]  these years, is Jeff Sessions.
[01:51:30.560 --> 01:51:31.560]  Well, that's what they say.
[01:51:31.560 --> 01:51:32.560]  He's totally fearless.
[01:51:32.560 --> 01:51:33.560]  Totally fearless.
[01:51:33.560 --> 01:51:38.280]  You know, and then the other thing that we've got to look at is think about this, Alex,
[01:51:38.280 --> 01:51:43.080]  when Trump picks his first appointment, and I say his first appointment for the Supreme
[01:51:43.080 --> 01:51:50.320]  Court, that's the first step in setting us free right there because he can end the power
[01:51:50.320 --> 01:51:51.320]  of the party.
[01:51:51.320 --> 01:51:52.320]  No, I know.
[01:51:52.320 --> 01:51:53.320]  I'm trying to kill him.
[01:51:53.320 --> 01:51:54.320]  Let's take another phone call.
[01:51:54.320 --> 01:51:55.320]  Let's talk to Cindy.
[01:51:55.320 --> 01:51:56.800]  Let's talk to folks in Pennsylvania.
[01:51:56.800 --> 01:52:01.440]  Cindy, thanks for holding her on the ear with Larry Nichols.
[01:52:01.440 --> 01:52:02.440]  Go ahead.
[01:52:02.440 --> 01:52:03.440]  Yeah, Larry.
[01:52:03.440 --> 01:52:05.440]  I, Alex, I'm calling in.
[01:52:05.440 --> 01:52:10.600]  I'm really bugged by all this I'm seeing about assassinate Trump, assassinate Trump.
[01:52:10.600 --> 01:52:12.640]  Oh, they got top Democrats all over the news.
[01:52:12.640 --> 01:52:15.880]  Listen, if I called for that of Obama, they would arrest me.
[01:52:15.880 --> 01:52:17.120]  I don't want Obama to die.
[01:52:17.120 --> 01:52:18.560]  Why are they allowed to do that?
[01:52:18.560 --> 01:52:20.120]  That they shouldn't be.
[01:52:20.120 --> 01:52:22.280]  And I'm really, I'm really offended by that.
[01:52:22.280 --> 01:52:26.800]  Why don't we do an old counter-assassinate for it?
[01:52:26.800 --> 01:52:28.760]  Well, Larry, let's just...
[01:52:28.760 --> 01:52:30.560]  No, no, no.
[01:52:30.560 --> 01:52:32.440]  We don't go there, Cindy.
[01:52:32.440 --> 01:52:33.440]  We just don't.
[01:52:33.440 --> 01:52:34.960]  Because Alex is right.
[01:52:34.960 --> 01:52:37.360]  We make statements like that, folks.
[01:52:37.360 --> 01:52:38.360]  Don't doubt it.
[01:52:38.360 --> 01:52:39.360]  We make a statement like that.
[01:52:39.360 --> 01:52:41.360]  We'll be behind bars quick.
[01:52:41.360 --> 01:52:46.000]  Look, the Secret Service is going to, they know what they're up against.
[01:52:46.000 --> 01:52:47.560]  They're going to protect Donald Trump.
[01:52:47.560 --> 01:52:49.960]  I assure you of that.
[01:52:49.960 --> 01:52:57.480]  And another thing, why doesn't Haiti come out and sue the Clinton Foundation for robbing
[01:52:57.480 --> 01:52:58.880]  them of all that money?
[01:52:58.880 --> 01:52:59.880]  No, I agree.
[01:52:59.880 --> 01:53:01.840]  And Trump's ready to push for that.
[01:53:01.840 --> 01:53:02.840]  I appreciate your call.
[01:53:02.840 --> 01:53:03.840]  Cindy, great points.
[01:53:03.840 --> 01:53:04.840]  Let me just say something.
[01:53:04.840 --> 01:53:09.320]  I don't want to give out inside baseball, but in 60 days he loses this.
[01:53:09.320 --> 01:53:10.320]  Trump is really smart.
[01:53:10.320 --> 01:53:11.320]  The Secret Service is great.
[01:53:11.320 --> 01:53:14.080]  They know how to protect somebody when they're under attack.
[01:53:14.080 --> 01:53:19.200]  They don't understand humance and groups down the road and people on top roofs and guys
[01:53:19.200 --> 01:53:21.840]  with, you know, missiles.
[01:53:21.840 --> 01:53:27.400]  And Trump was smart enough to get a super hardcore DOD team of people that nobody else
[01:53:27.400 --> 01:53:28.400]  knows about.
[01:53:28.400 --> 01:53:29.840]  I'm just revealing this now.
[01:53:29.840 --> 01:53:34.480]  He has DOD black ops protecting him right now, and there's already a push to get rid
[01:53:34.480 --> 01:53:36.640]  of his DOD support.
[01:53:36.640 --> 01:53:38.560]  This is a special president, folks.
[01:53:38.560 --> 01:53:42.440]  We need the Secret Service to follow the president's order, not make an issue out of
[01:53:42.440 --> 01:53:43.440]  it.
[01:53:43.440 --> 01:53:46.840]  And we need DOD patriots there on the ground with President Trump.
[01:53:46.840 --> 01:53:51.880]  And Alex, I know the group that he has, and let me assure you, they will take care of
[01:53:51.880 --> 01:53:54.840]  long range hits, trust me.
[01:53:54.840 --> 01:53:57.000]  The Secret Service, you're exactly right.
[01:53:57.000 --> 01:53:58.000]  They'll be wonderful.
[01:53:58.000 --> 01:54:03.520]  We're close range, but the bunch you're talking about, I've known them served with most of
[01:54:03.520 --> 01:54:10.200]  those guys, and I assure you for two miles away, you're only getting their way.
[01:54:10.200 --> 01:54:11.200]  You just don't.
[01:54:11.200 --> 01:54:14.160]  Well, Larry, I'm going to have you back up for 30 minutes this week during the weekday
[01:54:14.160 --> 01:54:15.160]  show.
[01:54:15.160 --> 01:54:16.160]  God bless you.
[01:54:16.160 --> 01:54:17.160]  There goes Larry Nichols.
[01:54:17.160 --> 01:54:19.920]  You can find him at NicholsLive at AOL.com.
[01:54:19.920 --> 01:54:20.920]  That's his PayPal.
[01:54:20.920 --> 01:54:21.920]  He wants to support his work he's doing.
[01:54:21.920 --> 01:54:23.920]  I want to take a few final calls.
[01:54:23.920 --> 01:54:25.320]  Who have I not gone to yet?
[01:54:25.320 --> 01:54:26.320]  Who's up next?
[01:54:26.320 --> 01:54:27.320]  Daniel Lusiana?
[01:54:27.320 --> 01:54:29.040]  Daniel, you're on the air.
[01:54:29.040 --> 01:54:30.040]  Go ahead.
[01:54:30.040 --> 01:54:35.440]  All right, Daniel, you want to go on there?
[01:54:35.440 --> 01:54:36.440]  All right, he's gone.
[01:54:36.440 --> 01:54:39.240]  O'Brien in Maryland, you're on the air.
[01:54:39.240 --> 01:54:40.240]  Go ahead, O'Brien.
[01:54:40.240 --> 01:54:48.520]  Yeah, basically, I'm getting an audio problem.
[01:54:48.520 --> 01:54:50.240]  Speak right on your telephone for me.
[01:54:50.240 --> 01:54:54.080]  Well, basically, you can go straight to hell because basically we're not stopping this
[01:54:54.080 --> 01:54:55.080]  whole Liberty movement.
[01:54:55.080 --> 01:55:01.080]  I mean, for them to tell them, tell Facebook and Twitter that basically they just shut
[01:55:01.080 --> 01:55:05.520]  down this stuff that we can't have anything, it's completely, you know, crazy.
[01:55:05.520 --> 01:55:06.520]  No, I agree with you.
[01:55:06.520 --> 01:55:07.520]  I hear you.
[01:55:07.520 --> 01:55:09.560]  I'm going to jump as your audio is breaking up.
[01:55:09.560 --> 01:55:10.560]  Think about it, folks.
[01:55:10.560 --> 01:55:14.320]  It was in the Wall Street Journal, Associated Press, I read it 45 minutes ago saying shut
[01:55:14.320 --> 01:55:18.320]  Alex Jones down, shut down the media, you know, shut down Drudge Report.
[01:55:18.320 --> 01:55:24.640]  Oh my, I mean, how ridiculous now they have Democratic Party operatives on CNN, Fox News,
[01:55:24.640 --> 01:55:25.640]  everywhere.
[01:55:25.640 --> 01:55:26.640]  I can't even watch all the clips or so many.
[01:55:26.640 --> 01:55:27.920]  I watched like five of them this morning.
[01:55:27.920 --> 01:55:30.840]  I was like, what the hell saying shut me down.
[01:55:30.840 --> 01:55:34.760]  All I'm doing is promoting freedom, lower taxes.
[01:55:34.760 --> 01:55:36.000]  They're that panicked.
[01:55:36.000 --> 01:55:38.840]  They can call from Virginia and Georgia.
[01:55:38.840 --> 01:55:40.480]  Let's go to Chris in Georgia.
[01:55:40.480 --> 01:55:41.480]  Go ahead.
[01:55:41.480 --> 01:55:42.480]  Chris.
[01:55:42.480 --> 01:55:43.480]  Hey, Alex.
[01:55:43.480 --> 01:55:44.480]  How are you?
[01:55:44.480 --> 01:55:45.480]  Good, brother.
[01:55:45.480 --> 01:55:46.480]  Yeah.
[01:55:46.480 --> 01:55:47.480]  I have two questions for you.
[01:55:47.480 --> 01:55:51.840]  Um, in regards to Trump's VP Pence, do you think he is part of being a secret society
[01:55:51.840 --> 01:55:57.240]  sort of, um, New World Order and, um, and about the EU, do you consider the countries
[01:55:57.240 --> 01:56:01.960]  of the EU to be officially countries for the EU just to be one country?
[01:56:01.960 --> 01:56:03.600]  Well, the EU's taking them over.
[01:56:03.600 --> 01:56:05.720]  The countries are all trying to get out of it.
[01:56:05.720 --> 01:56:08.760]  Nationalism, self-determination is happening.
[01:56:08.760 --> 01:56:10.160]  This is part of no secret society.
[01:56:10.160 --> 01:56:11.160]  He's a Christian.
[01:56:11.160 --> 01:56:12.640]  He's part of the Marine Corps.
[01:56:12.640 --> 01:56:14.040]  That's a public society.
[01:56:14.040 --> 01:56:17.360]  Uh, but I guess killing people in an organization is a secret society.
[01:56:17.360 --> 01:56:19.080]  I, I, I'd watch Pence.
[01:56:19.080 --> 01:56:20.600]  My gut tells me he's good.
[01:56:20.600 --> 01:56:21.920]  Trump did the right thing.
[01:56:21.920 --> 01:56:22.920]  He's, nobody's perfect.
[01:56:22.920 --> 01:56:26.760]  But this is a real attempt to actually rebuild America.
[01:56:26.760 --> 01:56:28.640]  The globalists want to collapse it.
[01:56:28.640 --> 01:56:31.800]  Our elite weren't perfect, but some of the elite did want to kill the country.
[01:56:31.800 --> 01:56:34.920]  So what you're seeing is people going, wait, you're not going to kill America.
[01:56:34.920 --> 01:56:35.920]  Stop it.
[01:56:35.920 --> 01:56:37.520]  Uh, the globalists lied about globalism.
[01:56:37.520 --> 01:56:38.840]  They said it was for another reason.
[01:56:38.840 --> 01:56:40.840]  A lot of good people bought into it.
[01:56:40.840 --> 01:56:45.960]  My dad, it was a junior in high school already at UT, he was top of his class and he was,
[01:56:45.960 --> 01:56:48.680]  you know, brought in and told about world government and everything else.
[01:56:48.680 --> 01:56:51.840]  And it was all the top students were brought in.
[01:56:51.840 --> 01:56:53.760]  This is a big secret program.
[01:56:53.760 --> 01:56:57.480]  We're exposing it together now and we're fighting it together now.
[01:56:57.480 --> 01:56:58.800]  So that's what's happening.
[01:56:58.800 --> 01:56:59.800]  Go ahead.
[01:56:59.800 --> 01:57:03.000]  I mean, I agree with you 100%.
[01:57:03.000 --> 01:57:09.160]  I mean, I was just thinking that he could be a part of any, um, absolutely look, nobody's
[01:57:09.160 --> 01:57:12.080]  perfect, but here's the deal.
[01:57:12.080 --> 01:57:13.400]  Trump's not out to get us.
[01:57:13.400 --> 01:57:14.640]  The globalists are panicking.
[01:57:14.640 --> 01:57:15.640]  This is real.
[01:57:15.640 --> 01:57:16.640]  I'm out of time.
[01:57:16.640 --> 01:57:17.640]  Sorry to Scott and others.
[01:57:17.640 --> 01:57:18.640]  Incredible job crew.
[01:57:18.640 --> 01:57:23.040]  Uh, 11 a.m. tomorrow, central info wars.com, Ford's last show.
[01:57:23.040 --> 01:57:27.680]  They're doing everything they can to shut down this broadcast because they know we're
[01:57:27.680 --> 01:57:28.680]  real.
[01:57:28.680 --> 01:57:33.200]  The fire of liberty towards Washington's fire.
[01:57:33.200 --> 01:57:39.720]  We have it and they can't stand it and nothing on earth when you take action can stop it
[01:57:39.720 --> 01:57:41.880]  except the good Lord above and God's with us.
[01:57:41.880 --> 01:57:43.360]  So who can be against us?
[01:57:43.360 --> 01:57:44.360]  Great job with the cruise.
[01:57:44.360 --> 01:57:45.360]  See you tomorrow.
[01:57:45.360 --> 01:57:46.360]  11 a.m. Central info wars.com.
[01:57:46.360 --> 01:57:54.320]  We're selling a product DNA force that is the very best nutraceutical that we can produce
[01:57:54.320 --> 01:57:55.320]  by the group.
[01:57:55.320 --> 01:57:57.640]  You took years for you to develop DNA force for us.
[01:57:57.640 --> 01:58:01.120]  It's been something that I've been working on for a long time, Alex, because I think
[01:58:01.120 --> 01:58:03.320]  it's very, very important.
[01:58:03.320 --> 01:58:09.960]  What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[01:58:09.960 --> 01:58:12.200]  Telomeres are the little cups on the end of our chromosomes.
[01:58:12.200 --> 01:58:14.320]  And when it runs out, you start dying.
