[00:00.000 --> 00:10.000]  Ladies and gentlemen, it's Sunday, October 24th, 2021.
[1:49:33.280 --> 1:49:40.240]  whether you agree with it or not, that the idea of nation states or sovereign nations on planet
[1:49:40.240 --> 1:49:50.560]  Earth is over. Done. They've decided that. The idea of a free independent human is failed. It's
[1:49:50.560 --> 1:49:55.440]  dead. It's done. It's a failed concept because they look at you like a virus. They look at you
[1:49:56.240 --> 1:50:03.440]  like a disease, like a parasite. You must be eliminated. They're not trying to get rid of
[1:50:03.440 --> 1:50:08.880]  carbon emissions. They're not trying to get rid of a virus. They're trying to get rid of you.
[1:50:08.880 --> 1:50:15.600]  And if they can't just mop you up off the face of the Earth, they'll torture you into submission
[1:50:16.480 --> 1:50:21.920]  so that you'll accept a planet where you have no sovereignty, you have no sovereignty over your
[1:50:21.920 --> 1:50:28.480]  body, and you have no private property to own or escape to or leverage in the planet.
[1:50:29.920 --> 1:50:35.520]  That's been decided. That's what everything, that's what, like a funnel, everything leads to
[1:50:35.520 --> 1:50:42.960]  that is the establishment. So when all the COVID stuff first came out a year and a half ago and
[1:50:42.960 --> 1:50:48.640]  we told you all this was coming, that's because it was always part of the plan. It was never 15
[1:50:48.640 --> 1:50:55.840]  days to slow the spread. It was never anything to slow the spread. It was never one vaccine to
[1:50:56.880 --> 1:51:01.760]  reopen the economy. Everything was always a lie. It was always going to be World Government
[1:51:01.760 --> 1:51:06.400]  medical tyranny. It was always going to be forced you to take an experimental vaccine or just as
[1:51:06.400 --> 1:51:12.560]  a precedent to force you to take any medicine the government tells you to take. And we knew all of it
[1:51:12.560 --> 1:51:23.120]  was coming. And so we would just figure the average person might say, okay, 15 days to slow the spread.
[1:51:23.120 --> 1:51:30.160]  That, that makes sense. I'll do 15 days to slow the spread and we'll shut things down and it'll be
[1:51:30.160 --> 1:51:36.400]  better and we'll get things back open and everything will be fine. Just 15 days. But see, we knew that
[1:51:36.400 --> 1:51:41.200]  was a lie and we assumed people would want to know the truth that no, this isn't about 15 days to
[1:51:41.200 --> 1:51:49.040]  slow the spread. This is about in 10 years conquering the planet and ending all ideas of human
[1:51:49.040 --> 1:51:56.080]  sovereignty and human biology and using a global government with medical tyranny as just one of
[1:51:56.080 --> 1:52:03.920]  the prongs of that mission of that agenda. So now here you are and slowly but surely everybody
[1:52:03.920 --> 1:52:12.720]  starts to wake up and realize that was the case. And that, yes, once again, info wars has been
[1:52:12.720 --> 1:52:19.680]  vindicated in ways perhaps never before seen. And that's saying a lot. A lot of things have been
[1:52:19.680 --> 1:52:24.160]  vindicated that we report first around here. It's not about who reports it first. It's about
[1:52:24.160 --> 1:52:28.720]  the frustration is not that we don't get the credit. The frustration is that people don't
[1:52:28.720 --> 1:52:33.760]  realize that this is serious business we're talking about here. That's what's frustrating.
[1:52:35.120 --> 1:52:40.000]  And it doesn't matter that everything we talk about continues to come true. They still want to
[1:52:40.000 --> 1:52:44.720]  play from behind. And that's what it's like. It's like, it's like America wanting to play from behind.
[1:52:44.720 --> 1:52:48.720]  It's like our leaders wanting to play from behind. It's like our media wanting to play from behind.
[1:52:48.720 --> 1:52:55.200]  We don't want to play from behind. We want to play from ahead. It's like, here's their plans.
[1:52:55.200 --> 1:53:00.160]  Let's get ahead of it. Not here's their plans. Let's go along with it and see how it goes.
[1:53:03.440 --> 1:53:10.080]  So that's what all this is. That's what all this news on my desk is. It's all a funnel
[1:53:10.080 --> 1:53:17.200]  to the same thing that has been in the works for decades or even centuries, which is a one
[1:53:17.200 --> 1:53:23.600]  world government in which the citizens of this planet either don't even exist anymore
[1:53:25.120 --> 1:53:31.440]  or are under complete tyranny for whatever reason or excuse the government wants to give
[1:53:31.440 --> 1:53:36.640]  it any given time. So yeah, I can cover all the vaccine news and I will and I can cover the
[1:53:36.640 --> 1:53:40.720]  censorship and I will and I can cover the open borders and the crime and I will and cover
[1:53:40.720 --> 1:53:46.400]  fouchy chopping up puppies for his pleasure and I will and I can cover cover the election news
[1:53:46.400 --> 1:53:51.040]  and the January 6 news and everything that's being revealed there and I will and I'll cover
[1:53:51.040 --> 1:53:56.400]  how Biden is a complete failure and everybody knows it now and how he's sabotaging the economy
[1:53:56.400 --> 1:54:01.040]  and and now he's trying to censor you know the next release of the JFK reports that show the
[1:54:01.040 --> 1:54:05.280]  government probably covered up the assassination maybe even ran the whole thing and and oh now
[1:54:05.280 --> 1:54:09.520]  there's developments again out of China and Russia and I'll cover all that and I'll cover the
[1:54:09.520 --> 1:54:14.720]  political news over here too about how Biden has now had articles of impeachment introduced against
[1:54:14.720 --> 1:54:19.680]  him and how Democrats covered up rape for their for their own political agenda I can cover all of
[1:54:19.680 --> 1:54:25.600]  it and I will cover all of it but it's it it all is the same funnel leading to the same pool
[1:54:26.560 --> 1:54:32.560]  which is total world government tyranny you have no sovereignty you have no individual rights
[1:54:32.560 --> 1:54:40.400]  and then and then once they've accomplished that once they've put humans under bondage and and
[1:54:40.400 --> 1:54:46.960]  underfoot that's when they began the transhumanist agenda so so once you've been fully conquered
[1:54:46.960 --> 1:54:52.640]  then you're phased out once once the earth and humanity has been fully conquered then you've
[1:54:52.640 --> 1:55:01.120]  been phased out that's the olgbtqia plus and and that's the oh yeah there's no such thing as a mom
[1:55:01.120 --> 1:55:07.120]  and a dad and there's no such thing as biology there's no such thing as a penis or a vagina there
[1:55:07.120 --> 1:55:12.160]  there's no such thing as a man or a woman that was all just a construct
[1:55:15.040 --> 1:55:19.440]  so oh not science when it when it's biology but science when it's experimental vaccines
[1:55:19.440 --> 1:55:24.880]  and so again you see all the lies you see all the the misrepresentations you see all the deception
[1:55:24.880 --> 1:55:28.400]  and you just you're just stunned that all this is going on you can't make sense of it again
[1:55:28.400 --> 1:55:37.680]  it's all part of a plan that has been in place for decades and you know it's it's you know it's
[1:55:37.680 --> 1:55:41.600]  almost like they put these little things in movies either to warn you or just because it's funny
[1:55:43.440 --> 1:55:46.160]  but it's like in the movie austin powers where they're talking about you know
[1:55:47.200 --> 1:55:50.960]  conquering the world and he's like don't you know there are no countries anymore it's only
[1:55:50.960 --> 1:55:57.520]  corporations and it's the head of the corporations that have just decided after after they've
[1:55:57.520 --> 1:56:01.680]  the they've polluted the planet they've destroyed the planet and then they just say oh it was the
[1:56:01.680 --> 1:56:08.320]  average human that did it so they must be eradicated you're emitting too much carbon you're killing
[1:56:08.320 --> 1:56:13.520]  the planet you're spreading a virus you're killing people you're killing the planet you're you're
[1:56:13.520 --> 1:56:17.920]  basically just a bioterrorist here on this earth that is a higher life form now that's the whole
[1:56:17.920 --> 1:56:24.400]  Gaia thing so so that's where all this goes and and we just sit here as thinking individuals and
[1:56:24.400 --> 1:56:28.800]  just try why would any man want to do this why would any human being want to do this to fellow
[1:56:28.800 --> 1:56:35.040]  humans maybe it's not maybe maybe it's demonic possession like the bible talks about maybe it's
[1:56:35.040 --> 1:56:40.320]  something else maybe we're all maybe we're just in a simulation and these are just NPCs not actual
[1:56:40.320 --> 1:56:45.840]  people but NPCs that are just being programmed to do this for for whatever reason in this grand
[1:56:45.840 --> 1:56:58.880]  simulation think whatever you want that's what's going on and it's just really upsetting that none
[1:56:58.880 --> 1:57:03.600]  of this has to happen none of it we could still be living in a free country we could still be
[1:57:03.600 --> 1:57:09.440]  having a massively prosperous economy and we've been sabotaged for so long we don't even know
[1:57:09.440 --> 1:57:14.080]  we think we have a good now and we do we have a really good now we could have it so much better
[1:57:14.080 --> 1:57:19.440]  if we didn't have our leaders sell us out to china if we didn't have our leaders
[1:57:20.480 --> 1:57:25.280]  attempting to sabotage and undermine our own country that so we could be brought into a one
[1:57:25.280 --> 1:57:31.120]  world government that they think they'll be put in charge of so i'm gonna actually cover all the
[1:57:31.120 --> 1:57:36.480]  news that this is the end of the alex joneshow but sunday night live kicks off after this i promise
[1:57:36.480 --> 1:57:40.800]  i'm gonna cover all of this news and take phone calls and play the funniest video that you're
[1:57:40.800 --> 1:57:43.760]  gonna see this week and in fact i'll do that right out of the gates when we come back on sunday
[1:57:43.760 --> 1:57:49.840]  night live that does it for the alex joneshow frank in north carolina i am taping this update on
[1:57:49.840 --> 1:57:57.120]  the morning of friday october 22nd 2021 listeners who've already tried and really seen the powerful
[1:57:57.120 --> 1:58:04.000]  effects of rainforest ultra should be excited to know that we've got a limited supply of it in stock
[1:58:04.000 --> 1:58:09.520]  but it'll be sold out at current sales rates by monday morning despite that fact we're still offering
[1:58:09.520 --> 1:58:15.760]  a major discount of 25 off it is an amazing new tropic i went to one of the top labs of the country
[1:58:15.760 --> 1:58:21.920]  and i said i want very powerful quick acting extremely clean new tropic that wears off quick
[1:58:21.920 --> 1:58:26.080]  because i want to be able to take it if i've got to work till 10 at night take it at seven and
[1:58:26.080 --> 1:58:32.240]  for it to wear off by 10 and that's exactly what they did with brain force ultra now we have other
[1:58:32.240 --> 1:58:36.160]  great products like turbo force that last for 10 hours it's a different formula it's over the top
[1:58:36.160 --> 1:58:40.640]  powerful so strong can't even take it by the way it's sold out right now the brain force ultra is
[1:58:40.640 --> 1:58:46.640]  really something special it's 25 off limited supply we'll sell out early next week info or store
[1:58:46.640 --> 1:58:52.960]  dot com info wars life is bringing you a breakthrough in modern medicine introducing pollen block
[1:58:52.960 --> 1:58:58.400]  we have found an extraordinary new natural way to alleviate seasonal distress symptoms
[1:58:58.400 --> 1:59:04.480]  including promoting clear nasal and sinus passageways eye comfort and respiratory function
[1:59:04.480 --> 1:59:11.200]  in the 1960s researchers in france notice that people who ate certain quail eggs experience
[1:59:11.200 --> 1:59:16.720]  less seasonal immune and inflammatory responses they began studying this effect in published
[1:59:16.720 --> 1:59:23.040]  trials and decades later we now have the fruit of this research a fast-acting chewable tablet that
[1:59:23.040 --> 1:59:28.960]  helps alleviate seasonal distress symptoms pollen block is natural and effective it is not an
[1:59:28.960 --> 1:59:34.480]  antihistamine in fact current research has found that it actually acts by blocking the activity of
[1:59:34.480 --> 1:59:40.640]  triptase which is an enzyme that amplifies immune and inflammatory responses in the body go outside
[1:59:40.640 --> 1:59:46.480]  and enjoy the air you breathe head to info wars life dot com and grab a pack of our pollen block
[1:59:46.480 --> 2:00:01.760]  chewable tablets leading a frontal assault on the lies of the new world order it's alex jones
