[00:00.000 --> 00:06.000]  Here is a sneak peek at the new head-to-head TV show I'm doing with Jesse Ventura.
[39:50.000 --> 39:57.000]  Wouldn't go for the war when he had a top rated show back when MSNBC had tens of millions of viewers.
[39:57.000 --> 40:08.000]  So for three years he was gagged from speaking and played out his contract because and of course Donahue had some of the top ratings in cable and they fired him because he wouldn't go along with the war.
[40:08.000 --> 40:17.000]  So that's why I admire Jesse Ventura is because he wouldn't sell out to the establishment and he's a maverick just like in full wars is and that's the spirit of what we try to do here.
[40:17.000 --> 40:24.000]  But overall I don't think you've seen that head to head piece yet. You just heard it Jesse. What do you think of it?
[40:24.000 --> 40:31.000]  I think it worked very well Alex. You know we both made our points. Like you said we came from at it from slightly different angles.
[40:31.000 --> 40:38.000]  But I think we both realize the importance of energy independence and that we have to achieve it.
[40:38.000 --> 40:47.000]  And what I've been pushing people very hard on is the fact that oil is old energy oil is old. We need to start looking new.
[40:47.000 --> 40:57.000]  We need to start looking beyond. I remember when I met with the scientist John Hutchinson and he looked at me at the end of our meeting and he said something to me.
[40:57.000 --> 41:06.000]  He said do you really believe that scientists like me since 1945 haven't discovered anything beyond the jet engine.
[41:06.000 --> 41:13.000]  And I looked down said no John I would think in 50 years of time you have discovered something better than the jet engine.
[41:13.000 --> 41:21.000]  I remember John smiled and said how long do you think it would take to go to New York to L.A. if you didn't have to deal with gravity and just smiled at me.
[41:21.000 --> 41:30.000]  Well and the point I'm making Alex is that we need to start looking to the future. Enough of this oil stuff. Oil is old news.
[41:30.000 --> 41:40.000]  It's energy new. Let's move into the new century with a new outlook on energy and start putting our resources towards finding it.
[41:40.000 --> 41:51.000]  Let's get into energy first because we know that I remember in the 70s a Chevy had a carburetor that would get you 100 miles to the gallon.
[41:51.000 --> 42:05.000]  I know that the SR 71 Blackbird in service in 1951 they still says the fastest airplane in the world when as you said the Germans invented jets the Nazis did in 1943.
[42:05.000 --> 42:16.000]  So for them to sit around and claim that what we're seeing is the latest greatest when the federal government admits that they are trying to block quote disruptive technologies.
[42:16.000 --> 42:24.000]  Well they mean disruptive to the grandsons and granddaughters of the robber barons that pretty much run a monopoly system worldwide.
[42:24.000 --> 42:37.000]  Yeah. Oh yeah. No no and I agree wholeheartedly Alex it's time you know one thing about you know when I did the three years of conspiracy theory you know it kind of labeled me and all that by the mainstream media.
[42:37.000 --> 42:50.000]  But I'll tell you I learned a lot of stuff and talked to a lot of very very interesting people in doing the three seasons of conspiracy theory and you know it really broadened my outlook on a lot of things.
[42:50.000 --> 42:58.000]  Doing it and hearing things from a different point of view and hearing people that were out were not in the mainstream.
[42:58.000 --> 43:04.000]  So it was a great learning experience and we were happy to have you on board for a few of those episodes.
[43:04.000 --> 43:08.000]  You were what did we used to refer to you again from Starsky and Hutch.
[43:08.000 --> 43:10.000]  What was the black character again.
[43:10.000 --> 43:11.000]  Huggy Bear.
[43:11.000 --> 43:12.000]  Huggy Bear. Yeah.
[43:12.000 --> 43:14.000]  Remember we used to call you Huggy Bear.
[43:14.000 --> 43:23.000]  Well I really enjoyed doing the show as well and it didn't matter it got top ratings they actually censored some of the more hardcore episodes that dealt with continuity of government.
[43:23.000 --> 43:35.000]  Now they admit plans for civil unrest and now just in the last three years since that episode aired on the police state they admit the surveillance grid they admit the threat fusion centers are federalization spy centers.
[43:35.000 --> 43:47.000]  They admit that they're training for gun confiscation they admit that they're set up an Internet kill switch a Wall Street Journal from Internet to Obama net with.
[43:47.000 --> 43:49.000]  So do you feel vindicated.
[43:49.000 --> 43:53.000]  A and then B Jesse why do you think so much is coming out now.
[43:53.000 --> 44:00.000]  Alex I kind of wanted I kind of want people to refer to me now as the prophet.
[44:00.000 --> 44:05.000]  Well yeah sure I guess we've all been warning.
[44:05.000 --> 44:10.000]  Yeah I mean I gotta laugh because the very things how about the how about the redacted stuff on 9 11.
[44:10.000 --> 44:16.000]  I remember going through utter hell because I was questioning there had to be more than 9 11.
[44:16.000 --> 44:26.000]  You went to Congress you pointed out the Saudi connection you talked to the experts absolutely that 9 11 episode is incredible and now it's all just out in the open.
[44:26.000 --> 44:36.000]  Yeah now it's in the open and and and everything that we were saying back then is coming to be the truth how about the places when they took me to Kansas.
[44:36.000 --> 44:47.000]  And they took me to these old missile sites where they're building the underground condominiums that hit mainstream a couple months ago that indeed it's happening and it's.
[44:47.000 --> 45:02.000]  This and that you can buy into them I think for 1.3 million you can have a condominium and we covered that in the show years ago so I'm sitting back laughing going you know conspiracy theory really was ahead of its time wasn't it.
[45:02.000 --> 45:07.000]  And that's a problem they have Jesse again Governor Jesse Ventura joins us.
[45:07.000 --> 45:29.000]  Looking at this whole situation we see CNBC MSNBC getting rid of a bunch of their crew MSNBC CNN's ratings are literally collapsed that's it's nonexistent from their great days Fox is slumping as well but not comparatively but mainstream media itself is in decline while alternative new media is exploding.
[45:29.000 --> 45:44.000]  What do you expect the establishments move to be well obviously they're gonna try to censor the Internet and they've got experts in the news today saying this new FCC take over the web to quote protect it will totally screw it up and bring censorship governor.
[45:44.000 --> 45:55.000]  Well and that's what we've got to fight against the way they ought to do it is they should they should move their shows over to the Internet and and let those that want to see them see them.
[45:55.000 --> 46:08.000]  You know ultimately everything comes down to the public's choice I remember when there used to be all the talk on censorship and what kids should see when I was governing what they shouldn't see and I remember always telling people.
[46:08.000 --> 46:14.000]  There's something called the on off switch and there's something called you can change the channel.
[46:14.000 --> 46:36.000]  And ultimately that's what it comes down to his personal responsibility and personal viewership if mainstream media is not delivering what the public wants and needs the public's going to look other places for it and you would think they would adapt so the adaptation has to come from them because as you said Alex we're winning we're
[46:36.000 --> 46:55.000]  gaining and we're winning and so they've got to adapt to it now if there's if they do it the honest way they'll get into our type of media and try to win people over or they'll do it the dishonest way and that is paying off the politicians legislating and bringing the government into it to censor us.
[46:55.000 --> 47:02.000]  So I kind of vote they'll make the move to the second alternative not the first one although they should take the first option first.
[47:02.000 --> 47:19.000]  Undoubtedly I mean it's now here bipartisan Republicans and Democrats working together from Internet to Obama net and we've got the former FCC chief saying he's shocked by Fed's attempts the articles on screen to regulate Internet the order goes far beyond protecting net neutrality.
