[00:00.000 --> 00:06.000]  That's right, Headache Stay Gone must work for you before you pay for it.
[31:37.000 --> 31:42.000]  It's a fact. You can legally eliminate credit card debt, which has been fraudulently created by the banks.
[31:43.000 --> 31:48.000]  Since its creation in 1913, the Federal Reserve has not been held responsible for its own debt.
[31:48.000 --> 31:51.000]  So why should you, the hardworking American, be harassed for yours?
[31:52.000 --> 31:59.000]  There's a double standard when it comes to being responsible for debt, and unlike the Federal Reserve, the people of this country can't print more money when needed.
[32:00.000 --> 32:06.000]  Day of Jubilee has created a successful program designed for people that want to stop harassing calls and threatening letters from bill collectors.
[32:07.000 --> 32:09.000]  We also do credit restoration.
[32:10.000 --> 32:15.000]  Join the thousands of Americans who now breathe a sigh of relief because they have legally eliminated their credit card debt.
[32:15.000 --> 32:19.000]  Instead of living each day in fear, it's time to turn your life around.
[32:20.000 --> 32:28.000]  Call Day of Jubilee. Open 9 a.m. to 5 p.m. Central Standard Time at 920-293-8024.
[32:29.000 --> 32:37.000]  That's 920-293-8024 and ask for Robert. Don't wait any longer to get your life back in order.
[32:38.000 --> 32:40.000]  Hello, friends. Alex Jones here with an important question.
[32:40.000 --> 32:49.000]  What was the last time you used pure soap? I mean real hard-to-find, all-natural pure soap that contains no dyes, perfumes, deodorants, detergents, or other dangerous toxins.
[32:50.000 --> 32:58.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[32:59.000 --> 33:03.000]  Now, for the first time, CowBin Pure Soap is available factory-directing you and your family.
[33:03.000 --> 33:10.000]  That's great news because CowBin Pure Soap is made from all-natural ingredients, is earth-friendly, and completely environmentally safe.
[33:11.000 --> 33:18.000]  So if you want yesterday's values today for good old-fashioned pure soap, call 1-800-340-7091.
[33:19.000 --> 33:27.000]  Save up to 85% off supermarket and retail store prices. Call today for a CowBin Soap catalog at 1-800-340-7091.
[33:27.000 --> 33:36.000]  That's 1-800-340-7091 or on the web at CowBinPureSoap.com. Try pure soap once and I'll guarantee you'll never use anything else.
[33:58.000 --> 34:05.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[34:06.000 --> 34:13.000]  That's great news because CowBin Pure Soap is made from all-natural ingredients, is earth-friendly, and completely environmentally safe.
[34:14.000 --> 34:22.000]  Save up to 85% off supermarket and retail store prices. Call today for a CowBin Pure Soap catalog at 1-800-340-7091.
[34:22.000 --> 34:32.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[34:33.000 --> 34:43.000]  That's great news because CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[34:44.000 --> 34:49.000]  Keep on growing in the free world.
[34:49.000 --> 34:59.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[35:00.000 --> 35:09.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[35:10.000 --> 35:20.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[35:21.000 --> 35:31.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[35:31.000 --> 35:49.000]  Keep on growing in the free world.
[35:50.000 --> 35:55.000]  Keep on growing in the free world.
[36:02.000 --> 36:12.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[36:13.000 --> 36:22.000]  Keep on growing in the free world.
[36:22.000 --> 36:32.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[36:33.000 --> 36:43.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[36:43.000 --> 36:53.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[36:54.000 --> 37:04.000]  Keep on growing in the free world.
[37:05.000 --> 37:15.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[37:16.000 --> 37:26.000]  Keep on growing in the free world.
[37:27.000 --> 37:37.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[37:38.000 --> 37:48.000]  Keep on growing in the free world.
[37:49.000 --> 37:59.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[38:00.000 --> 38:10.000]  Keep on growing in the free world.
[38:11.000 --> 38:21.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[38:22.000 --> 38:32.000]  Keep on growing in the free world.
[38:33.000 --> 38:43.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[38:44.000 --> 38:54.000]  Keep on growing in the free world.
[38:55.000 --> 39:05.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[39:06.000 --> 39:16.000]  Keep on growing in the free world.
[39:17.000 --> 39:27.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[39:28.000 --> 39:38.000]  Keep on growing in the free world.
[39:39.000 --> 39:49.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[39:50.000 --> 40:00.000]  Keep on growing in the free world.
[40:00.000 --> 40:10.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[40:11.000 --> 40:21.000]  Keep on growing in the free world.
[40:22.000 --> 40:32.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[40:33.000 --> 40:43.000]  Keep on growing in the free world.
[40:44.000 --> 40:54.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[40:55.000 --> 41:05.000]  Keep on growing in the free world.
[41:06.000 --> 41:16.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[41:17.000 --> 41:27.000]  Keep on growing in the free world.
[41:28.000 --> 41:38.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[41:39.000 --> 41:49.000]  Keep on growing in the free world.
[41:50.000 --> 42:00.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[42:01.000 --> 42:11.000]  Keep on growing in the free world.
[42:12.000 --> 42:22.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[42:23.000 --> 42:33.000]  Keep on growing in the free world.
[42:34.000 --> 42:44.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[42:45.000 --> 42:55.000]  Keep on growing in the free world.
[42:55.000 --> 43:05.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[43:06.000 --> 43:16.000]  Keep on growing in the free world.
[43:16.000 --> 43:26.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[43:27.000 --> 43:37.000]  Keep on growing in the free world.
[43:38.000 --> 43:48.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[43:49.000 --> 43:59.000]  Keep on growing in the free world.
[44:00.000 --> 44:10.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[44:11.000 --> 44:21.000]  Keep on growing in the free world.
[44:22.000 --> 44:32.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[44:33.000 --> 44:43.000]  Keep on growing in the free world.
[44:44.000 --> 44:54.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[44:55.000 --> 45:05.000]  Keep on growing in the free world.
