[00:00.000 --> 00:02.320]  Visit survivalistseeds.com.
[1:31:34.160 --> 1:31:37.880]  have constantly asked me to give them the date as to when they should be finished
[1:31:37.880 --> 1:31:42.560]  stocking up on food we've been so beaten up by stock market banking housing and
[1:31:42.560 --> 1:31:46.080]  unemployment crashes that were desensitized and frozen and active like
[1:31:46.080 --> 1:31:50.480]  the frog being unknowingly cooked in gradually increasingly hot water will
[1:31:50.480 --> 1:31:55.120]  snap out of it we now have a deadline Joe Biden said it's gonna happen former
[1:31:55.120 --> 1:31:59.640]  secretary of state Colin Powell went on CBS meet the press and pointed to about
[1:31:59.640 --> 1:32:03.480]  January 22nd is the time a major international incident would force the
[1:32:03.480 --> 1:32:07.760]  new president to make unpopular decisions while I take the general
[1:32:07.760 --> 1:32:11.560]  at his word my best advice is to have your food in your possession prior to
[1:32:11.560 --> 1:32:16.440]  the inauguration contact eFoodsDirect.com for your supplies prior to this
[1:32:16.440 --> 1:32:21.280]  deadline for disaster ask yourself is it better to have too much too soon or too
[1:32:21.280 --> 1:32:29.080]  little too late call 800-409-5633 or on the web eFoodsDirect.com
[1:32:29.800 --> 1:32:34.720]  attention this is an extremely urgent self-reliant news bulletin if you have
[1:32:34.720 --> 1:32:38.560]  ever wanted to produce your own cheaper than dirt survival food this is going
[1:32:38.560 --> 1:32:43.640]  to be the most important message you will ever hear here's why this network has
[1:32:43.640 --> 1:32:47.400]  just learned of a new video course that reveals the secret of how to safely
[1:32:47.400 --> 1:32:51.320]  prepare and store all types of survival foods in an event of social unrest and
[1:32:51.320 --> 1:32:54.960]  food shortages here in the US grain shortages and hunger are spreading
[1:32:54.960 --> 1:32:59.400]  across the globe will troops guard the food supplies in the US this fall don't
[1:32:59.400 --> 1:33:03.240]  wait learn the food shortage skills that can keep you and your family alive in a
[1:33:03.240 --> 1:33:10.080]  crisis get the details at food shortage USA.com that's food shortage USA.com or
[1:33:10.080 --> 1:33:17.000]  you can call toll free 877-327-0365 don't wait for empty shelves go to
[1:33:17.000 --> 1:33:20.040]  food shortage USA.com while you still have time
[1:33:20.040 --> 1:33:28.080]  www.foodshortageusa.com or toll free at 877-327-0365
[1:33:28.080 --> 1:33:30.880]  act now
[1:33:32.320 --> 1:33:39.880]  you're listening to GCN the Genesis Communication Radio Network
[1:33:39.880 --> 1:33:51.320]  all right folks we are back live taking your phone calls in response to last
[1:33:51.320 --> 1:34:00.120]  week's election the 44th president Barack Obama yeah let me just say this
[1:34:00.120 --> 1:34:05.640]  what I hate about it is is that I love Bill support America's first you know
[1:34:05.640 --> 1:34:10.480]  president who's got African blood in because they let me wonderful the
[1:34:10.480 --> 1:34:14.200]  problem is I don't support any of these presidents since Kennedy they blew his
[1:34:14.200 --> 1:34:19.680]  head off he didn't play ball and we had bad presidents before that Woodrow
[1:34:19.680 --> 1:34:22.800]  Wilson started speaking out saying look I got conned by some private banks I
[1:34:22.800 --> 1:34:29.000]  didn't know this was a takeover suddenly they poison him he goes into a coma then
[1:34:29.000 --> 1:34:32.200]  he comes out of the coma and writes letters publicly exposing it again
[1:34:32.200 --> 1:34:36.520]  saying he thought he was poisoned I mean that's mainline information folks the
[1:34:36.520 --> 1:34:40.000]  average people though aren't aware even who Woodrow Wilson was he was our
[1:34:40.000 --> 1:34:44.040]  president back in 1913 when we got the private fellow reserve when we got the
[1:34:44.040 --> 1:34:49.040]  income tax and and you can read all the documents of the bankers books they wrote
[1:34:49.040 --> 1:34:56.040]  things they say they're doing it now and it's so painful because it is positive
[1:34:56.040 --> 1:35:00.840]  that people are getting along better that a lot of people I've talked to a lot
[1:35:00.840 --> 1:35:04.440]  of black folks and I know we're saying yeah man I you know I understand that
[1:35:04.440 --> 1:35:08.160]  Barack Obama is you know is owned by the very same people and quote owned by the
[1:35:08.160 --> 1:35:11.560]  man but you know at least it says that a whole bunch of white folks would have
[1:35:11.560 --> 1:35:15.600]  heard black guy and so there is that good news but let me tell you something
[1:35:15.600 --> 1:35:20.520]  here's the bad news when they are done with Barack Obama they're gonna blame
[1:35:20.520 --> 1:35:24.320]  everything on him just like George Bush it's bird cage liner they come in with a
[1:35:24.320 --> 1:35:28.920]  honeymoon they get a bunch done the New World Order bird soils everything and
[1:35:28.920 --> 1:35:33.960]  the bird cage liner gets blamed they pull that out and stick a new one in let
[1:35:33.960 --> 1:35:37.320]  me tell you for folks watching here locally in Austin on television on
[1:35:37.320 --> 1:35:43.200]  channel 10 you see this right here Barack Obama that's just bird cage liner
[1:35:43.200 --> 1:35:47.720]  they're just gonna place him up in there and the bird that's the New World Order
[1:35:47.720 --> 1:35:52.680]  is gonna do his business why don't we talk about the bird the creature that's
[1:35:52.680 --> 1:35:58.560]  doing this going back to our caller in Ohio I don't want to butcher his name
[1:35:58.560 --> 1:36:01.080]  again so I'll just let him state his name when he comes back on you had one
[1:36:01.080 --> 1:36:04.720]  more quote sir and you were talking about growing up the images of the
[1:36:04.720 --> 1:36:09.800]  bling the image of the culture the the the corporations pick out to try to
[1:36:09.800 --> 1:36:14.200]  stereotype black males especially I mean I'm putting words in your mouth that
[1:36:14.200 --> 1:36:17.880]  you were about to get to that versus what reality is and how you didn't listen
[1:36:17.880 --> 1:36:22.800]  to the propaganda and then you were going to continue go ahead exactly Alex
[1:36:22.800 --> 1:36:26.720]  I was really fortunate you know growing up in Newark, New Jersey I grew up in the
[1:36:26.720 --> 1:36:31.760]  east and my teachers that we had all the way through were exceptional and they
[1:36:31.760 --> 1:36:36.880]  really made sure we all were educated even the dumbest guy in my class would
[1:36:36.880 --> 1:36:41.840]  be an A student today and they cared about education and that was really out
[1:36:41.840 --> 1:36:46.480]  of the Eisenhower mode mode Eisenhower was such a key in all the things that
[1:36:46.480 --> 1:36:50.800]  happened for all of us going through the 60s and just even within my family
[1:36:50.800 --> 1:36:54.840]  thought it's been an oddity because I just never understood why other people
[1:36:54.840 --> 1:36:59.040]  in my own family saw things so differently to me because I really did
[1:36:59.040 --> 1:37:02.760]  believe the things that we were taught about being a United States citizen all
[1:37:02.760 --> 1:37:06.240]  the way through and I never thought I'd live to see the day that Russia would be
[1:37:06.240 --> 1:37:10.760]  telling my government not to start a war meaning that the Iraq war and they
[1:37:10.760 --> 1:37:15.520]  were absolutely right you know so I just really asked everyone out there
[1:37:15.520 --> 1:37:19.960]  regardless of what your group is to really understand the history of this
[1:37:19.960 --> 1:37:24.840]  great nation that we have and fully understand things before we speak and
[1:37:24.840 --> 1:37:28.760]  we need to get out there and challenge this government another point I wanted
[1:37:28.760 --> 1:37:32.200]  to make is that I've asked many people black and white if they knew who
[1:37:32.200 --> 1:37:36.520]  Christmas Attics was and most people don't even know I said so you're happy
[1:37:36.520 --> 1:37:40.280]  about having a black president and you don't even know the history of the
[1:37:40.280 --> 1:37:43.000]  of the revolution and who Christmas Attics was I said because you know what
[1:37:43.000 --> 1:37:45.960]  you may be looking at another Christmas Attics looking at me right now why
[1:37:45.960 --> 1:37:50.080]  don't you tell folks who it is Christmas Attics was the first person he was
[1:37:50.080 --> 1:37:55.320]  African who died in the revolutionary yeah and people forget that that there
[1:37:55.320 --> 1:38:00.480]  was a struggle here from day one against international bankers and the one
[1:38:00.480 --> 1:38:04.640]  court I want to leave with real quickly it's from Otto von Bismarck and I got
[1:38:04.640 --> 1:38:08.520]  this out of the creature from Jekyll Island and he this was he was quoted
[1:38:08.520 --> 1:38:11.840]  after Lincoln had been assassinated regarding the impact that this was going
[1:38:11.840 --> 1:38:16.880]  to have on the on the on the world the death of Lincoln was a disaster for
[1:38:16.880 --> 1:38:21.120]  Christendom there was no man in the United States great enough to wear his
[1:38:21.120 --> 1:38:26.240]  boots I fear that foreign bankers with their craftiness and and torturous
[1:38:26.240 --> 1:38:31.200]  tricks will entirely control the exuberant riches of America and use it
[1:38:31.200 --> 1:38:35.680]  and use it systematically to corrupt modern civilization they will not
[1:38:35.680 --> 1:38:41.040]  hesitate to plunge the whole of Christendom into wars and chaos in order
[1:38:41.040 --> 1:38:44.840]  that the earth should become their inheritance you know exactly what has
[1:38:44.840 --> 1:38:49.880]  happened no I mean exactly and back then people even knew who the enemy was and
[1:38:49.880 --> 1:38:53.640]  we couldn't beat them now the public doesn't even know and laughs at bankers
[1:38:53.640 --> 1:38:57.680]  while they're openly setting up world government run by him and we're gonna
[1:38:57.680 --> 1:39:01.000]  have to buy carbon taxes from him I appreciate your call sir it's a lot
[1:39:01.000 --> 1:39:04.520]  Alex peaceful world you bet yeah guys a great speaker he needs a radio show he
[1:39:04.520 --> 1:39:10.080]  does I love that tone of voice in the way he was speaking I just like it look
[1:39:10.080 --> 1:39:16.480]  at this look at this right here this is out of news week and it's it's a
[1:39:16.480 --> 1:39:20.080]  cartoon we'll show a close-up of this trail give this to you for the TV shows
[1:39:20.080 --> 1:39:25.280]  we put it on and it's the it's it says the Constitution Bill writes it's a
[1:39:25.280 --> 1:39:29.000]  piece of paper and Barack Obama is piecing it together with tape and
[1:39:29.000 --> 1:39:37.880]  fixing it after Bush Cheney folks Barack Obama out of the gates is saying
[1:39:37.880 --> 1:39:45.840]  Patriot Act warrantless spying more wars letting the bankers take over I just
[1:39:45.840 --> 1:39:53.080]  can't handle it anymore I mean we've got this translucent green skin George Bush
[1:39:53.080 --> 1:39:58.480]  who just radiates deception and lies notice how they set that up their
[1:39:58.480 --> 1:40:06.400]  masters of eight years of this and they give us this Hollywood just exudes
[1:40:06.400 --> 1:40:10.920]  confidence and smarts and slick good-looking it's over folks we're
[1:40:10.920 --> 1:40:14.720]  screwed it's over because the public is just somehow been trained that old white
[1:40:14.720 --> 1:40:18.800]  guys which really do run things you know are the evil so they look at some old
[1:40:18.800 --> 1:40:21.200]  white guy down the street and think he's the evil and no he's not the evil one
[1:40:21.200 --> 1:40:28.160]  he's watching you know dancing with the stars just like you but now that they've
[1:40:28.160 --> 1:40:32.680]  done this man this guy is gonna carry the ball far the new order's got its
[1:40:32.680 --> 1:40:37.440]  Vince young and he's gonna carry the ball for him ladies and gentlemen it's
[1:40:37.440 --> 1:40:41.480]  your detriment you'll be chairing your destruction all the way to the folks are
[1:40:41.480 --> 1:40:43.880]  gonna wake up though I mean let me tell you they're gonna destroy him in the end
[1:40:43.880 --> 1:40:48.200]  though they got to do that do they give you the new savior remember George Bush
[1:40:48.200 --> 1:40:51.960]  was a savior remember seven and a half years ago he was the savior from Bill
[1:40:51.960 --> 1:40:55.240]  Clinton because Bill Clinton did stuff was unpopular just like George Bush the
[1:40:55.240 --> 1:40:59.040]  stuff was unpopular and what's Obama saying every day in the papers now I'm
[1:40:59.040 --> 1:41:02.480]  gonna do stuff you're not gonna like so he's getting you ready for it I'm gonna
[1:41:02.480 --> 1:41:06.480]  do stuff you're not gonna like I'm not to do what you don't want me to do it
[1:41:06.480 --> 1:41:11.840]  because he works for somebody else than us Chris in Florida you're on the air
[1:41:11.840 --> 1:41:16.720]  welcome to the airwaves who did the infamous Marcus Wolf train at the
[1:41:16.720 --> 1:41:23.020]  Homeland Security between 2002 and 2006 when he became to see Marcus Wolf the
[1:41:23.020 --> 1:41:26.480]  former head of the East German Shikhazi trained a lot of people Homeland
[1:41:26.480 --> 1:41:33.000]  Security including Comrade Chertoff oh I never do that oh wow long this is a
[1:41:33.000 --> 1:41:38.680]  service economy the new make work is drafting the youth into a vast PI
[1:41:38.680 --> 1:41:43.520]  agency centralized in the government and then that's not us let's play Barack
[1:41:43.520 --> 1:41:48.160]  Obama saying it and then you read the fine print youth brigade spying on
[1:41:48.160 --> 1:41:55.160]  Americans we cannot go ahead and roll it we cannot continue to rely only on our
[1:41:55.160 --> 1:41:59.040]  military in order to achieve the national security objectives that we've
[1:41:59.040 --> 1:42:03.760]  said we've got to have a civilian national security force that's just as
[1:42:03.760 --> 1:42:12.120]  powerful just as strong just as well-funded go ahead Chris so I guess
[1:42:12.120 --> 1:42:15.600]  now we're just gonna be doing each other's laundry and putting each other
[1:42:15.600 --> 1:42:18.880]  in jail but not always in that order well here's an example I've given a lot
[1:42:18.880 --> 1:42:22.600]  of money to mills on wheels and then I heard that some of these groups bringing
[1:42:22.600 --> 1:42:26.680]  food to old folks you know quote we're trying to push psychological
[1:42:26.680 --> 1:42:30.880]  evaluations and in prozac and things on them and then I saw News 8 Austin
[1:42:30.880 --> 1:42:34.680]  Friday morning sure enough and the next newscast was teaching kids about
[1:42:34.680 --> 1:42:38.320]  global warming and global taxes and the next piece after that was another
[1:42:38.320 --> 1:42:43.120]  propaganda piece I mean we're just marinated in propaganda you get in and
[1:42:43.120 --> 1:42:47.560]  they take every good thing we do and turn it into some government spy thing
[1:42:47.560 --> 1:42:54.400]  about 20% of the people about 17 to 20% are considered some nambulists who are
[1:42:54.400 --> 1:43:00.800]  very easily suggestible and there is also a recent study that when the brain
[1:43:00.800 --> 1:43:06.800]  has increased amounts of oxytocin released for whatever reason they're
[1:43:06.800 --> 1:43:10.480]  they're made glad or happy they can be cheated over and over again by the same
[1:43:10.480 --> 1:43:14.000]  person and no that's it you ought to write a story and put it on the
[1:43:14.000 --> 1:43:19.720]  prisonplanet.com forum absolutely folks it's all hypnosis it's all tricks it's
[1:43:19.720 --> 1:43:23.400]  all scams if you're aware of it you might have a chance to beat it but if you
[1:43:23.400 --> 1:43:28.680]  deny it exist it's over well they're right back with the final segment stay
[1:43:28.680 --> 1:43:34.280]  with us did you know that it's a documented fact 80% of all Americans
[1:43:34.280 --> 1:43:38.160]  and 85% of people around the world suffer from internal parasites and
[1:43:38.160 --> 1:43:42.080]  parasitic infection you may be one of millions of people suffering from one
[1:43:42.080 --> 1:43:46.040]  of dozens of debilitating chronic diseases from these parasites and your
[1:43:46.040 --> 1:43:49.960]  doctor would never know it in fact clinically detected parasites account
[1:43:49.960 --> 1:43:54.040]  for only 1% of all cases don't continue to suffer from pain due to
[1:43:54.040 --> 1:43:58.080]  misdiagnosis now you can fight internal parasites heavy metal poisoning and
[1:43:58.080 --> 1:44:02.960]  high cholesterol naturally and safely by mixing fossilized phytoplankton powder
[1:44:02.960 --> 1:44:08.000]  also known as FPP with your favorite beverage once a day FPP is used around
[1:44:08.000 --> 1:44:12.080]  the world has numerous uses and is now available to you from fresh water
[1:44:12.080 --> 1:44:16.800]  organics FPP strengthens skin hair and bones lowers cholesterol and is an
[1:44:16.800 --> 1:44:21.400]  excellent source of natural plant-based silica with 14 trace minerals order some
[1:44:21.400 --> 1:44:26.600]  today at freshwaterorganics.com again that's freshwaterorganics.com or call
[1:44:26.600 --> 1:44:32.880]  888-949-3570 have you ever wanted to generate your own supply of electrical
[1:44:32.880 --> 1:44:37.040]  power if so this is going to be the most important message you will ever hear
[1:44:37.040 --> 1:44:40.600]  solar powered generators are now available from solutions from science
[1:44:40.600 --> 1:44:45.200]  one of GCN's oldest and most trusted sponsors these emergency backup systems
[1:44:45.200 --> 1:44:48.880]  provide life-saving electrical power when you need it most unlike gas
[1:44:48.880 --> 1:44:52.920]  generators a solar generator runs quietly emits no fumes and produces
[1:44:52.920 --> 1:44:56.800]  electricity for free it's like having an electric power plant running quietly in
[1:44:56.800 --> 1:45:01.640]  your own home run some pumps shortwave radios computers and even keep food from
[1:45:01.640 --> 1:45:05.760]  spoiling whether it's hurricanes ice storms brownouts or blackouts you'll
[1:45:05.760 --> 1:45:09.400]  never have to suffer through painful power outages again when the power goes
[1:45:09.400 --> 1:45:13.800]  out you'll be ready with a solar power generator from solutions from science go
[1:45:13.800 --> 1:45:20.120]  to my solar backup com and get off the grid today that's my solar backup com
[1:45:20.120 --> 1:45:31.400]  today or call 877-327-0365 877-327-0365 don't wait call today Alex Jones here
[1:45:31.400 --> 1:45:35.240]  with a question what does humidity mean to you most people think of hot and
[1:45:35.240 --> 1:45:39.400]  sticky summer days but many people are beginning to realize that humidity can
[1:45:39.400 --> 1:45:43.160]  be a valuable source of pure drinking water that's why I'd like you to visit
[1:45:43.160 --> 1:45:47.960]  a cola blue dot com a cola blue is a state-of-the-art atmospheric water
[1:45:47.960 --> 1:45:52.840]  generator producing purified drinking water from the humidity in the air using
[1:45:52.840 --> 1:45:58.160]  reverse osmosis and a five-stage carbon and UV light filtration system which
[1:45:58.160 --> 1:46:02.480]  produces great tasting water at an unbeatable price finally drinking water
[1:46:02.480 --> 1:46:07.080]  that you control I use one every day say goodbye to expensive water delivery
[1:46:07.080 --> 1:46:11.480]  services and storing five gallon bottles of water in your home the a cola blue
[1:46:11.480 --> 1:46:15.480]  28 is shipped right to your home ready to make close to seven gallons a day
[1:46:15.480 --> 1:46:20.200]  right out of the box they have a 30-day money back guarantee call a cola blue
[1:46:20.200 --> 1:46:26.920]  right now at 866-585-4044 that's 866-585-4044 or visit a cola blue at
[1:46:26.920 --> 1:46:33.880]  ecolo blue.com today heart disease is on the rise clogged arteries high blood
[1:46:33.880 --> 1:46:38.120]  pressure and high cholesterol levels may not be fully detected by you but the
[1:46:38.120 --> 1:46:42.280]  symptoms are there loss of energy blood sugar spikes and drops or
[1:46:42.280 --> 1:46:46.400]  circulation and irregular heartbeat are just a few of these that can alert you
[1:46:46.400 --> 1:46:50.880]  that something is wrong here how heart and body extract is making a difference
[1:46:50.880 --> 1:46:55.400]  in thousands of people's lives across America my blood pressure has normalized
[1:46:55.400 --> 1:46:59.200]  my diabetes has totally improved everyone is telling me now how much
[1:46:59.200 --> 1:47:02.320]  healthier I look and I'm telling everyone how much healthier I feel I
[1:47:02.320 --> 1:47:06.080]  recommend heart and body extract to everyone anybody over 40 in the North
[1:47:06.080 --> 1:47:10.640]  American continent should be using this product as a preventative to keep their
[1:47:10.640 --> 1:47:17.400]  cardiovascular system healthy order your two-month supply today by calling 866-295-5305
[1:47:17.400 --> 1:47:27.480]  that's 866-295-5305 or order online hbextract.com heart and body extract 866-295-5305
[1:47:27.480 --> 1:47:39.480]  or hbextract.com this is the GCN radio network home to heart-hitting talk radio
[1:47:42.200 --> 1:47:46.440]  you know the media has taught us to be proud of the fact we haven't read books
[1:47:46.440 --> 1:47:54.240]  or that we're not informed that's actually not a good thing folks I hope you
[1:47:54.240 --> 1:47:59.000]  visit info wars.com link through the Stenver post article headline the probe
[1:47:59.000 --> 1:48:03.320]  into police stage D in C protest the police went out and attacked other
[1:48:03.320 --> 1:48:08.080]  police there's a pretext to demonize the protest in the eyes of the media that's
[1:48:08.080 --> 1:48:15.840]  called the false flag right there Obama camp scrubs website for remove references
[1:48:15.840 --> 1:48:20.280]  to mandatory community service but it's still up there that old folks young
[1:48:20.280 --> 1:48:24.920]  people little kids to be little tattletale squads little environmental
[1:48:24.920 --> 1:48:29.720]  landgrabbers little government crooks or state the government just collects it
[1:48:29.720 --> 1:48:34.840]  though and hands it to the bankers and that's why Obama's smiling because he
[1:48:34.840 --> 1:48:39.320]  is he's gonna hurt you real bad for his masters
[1:48:39.320 --> 1:48:50.480]  you got a Ted Bundy smiled at me yeah gonna hurt you real bad suckers I got a
[1:48:50.480 --> 1:48:56.720]  bunch of other news here let me give you some news that I can I can break down
[1:48:56.720 --> 1:49:04.080]  here pretty quick for I go to a bunch of final calls this is the CBC Canadian
[1:49:04.080 --> 1:49:10.320]  broadcasting system the disappearing male we're conducting a vast toxic
[1:49:10.320 --> 1:49:15.000]  logical experiment in which our children and our children's children are the
[1:49:15.000 --> 1:49:19.520]  experimental subjects Dr. Herman needleman the disappearing male is about
[1:49:19.520 --> 1:49:23.360]  one of the most important and least publicized issues facing the human
[1:49:23.360 --> 1:49:28.280]  species the toxic threat to the male reproductive system and it goes into
[1:49:28.280 --> 1:49:34.000]  general deformities low sperm counts sperm abnormalities to particular cancer
[1:49:34.000 --> 1:49:38.800]  and it goes on to admit it is the one plastic of hundreds that was chosen and
[1:49:38.800 --> 1:49:48.440]  standardized about 50 years ago sheds estrogen mimicking hormones now it makes
[1:49:48.440 --> 1:49:54.760]  men feminine or deforms their organs but women it makes hyper feminine and get
[1:49:54.760 --> 1:49:58.200]  breast cancer I've got all the studies right here let me just give you a news
[1:49:58.200 --> 1:50:02.560]  flash don't take mercury shots by the way it's still in there don't drink
[1:50:02.560 --> 1:50:06.560]  fluoridated water and don't use cell phones a lot because it will give you a
[1:50:06.560 --> 1:50:12.440]  brain tumor that's admitted and don't drink out of cheap plastic you can go
[1:50:12.440 --> 1:50:16.840]  research this if you want to learn the different symbols on plastic but he may
[1:50:16.840 --> 1:50:22.040]  not care about yourself but at least care about your children at least do that
[1:50:22.040 --> 1:50:25.080]  and there are a lot of cities get ready to take fluoride I've got another
[1:50:25.080 --> 1:50:28.640]  report here finally all the documents have come out and city officials when
[1:50:28.640 --> 1:50:31.760]  they're finally given the documents can't believe it and remove the fluoride
[1:50:31.760 --> 1:50:38.600]  and the feds come in try to pay them off to put it back in let's go ahead and
[1:50:38.600 --> 1:50:53.240]  talk to Paul in Flugerville Texas you're on the airport I have a question on
[1:50:53.240 --> 1:51:01.240]  the unfairness doctrine and I wish you for now on would refer to it as the
[1:51:01.240 --> 1:51:06.720]  unfairness dog I mean how about the Soviet Free Space Bear that sounds good
[1:51:06.720 --> 1:51:11.600]  you know what what are you going to do when that comes down do you have any
[1:51:11.600 --> 1:51:19.680]  really a plan to fight it or you can you I mean it basically it's the the
[1:51:19.680 --> 1:51:24.160]  stations oh yeah yeah yeah they're going to target AM and FM's but they're
[1:51:24.160 --> 1:51:29.280]  saying under fairness now they're going to shut down internet radio so they'll
[1:51:29.280 --> 1:51:33.400]  try to use examples that look good in the media you know they'll try to set
[1:51:33.400 --> 1:51:36.680]  precedence but these crooks aren't going to get away with it you know they try to
[1:51:36.680 --> 1:51:43.680]  claim with the with the you know so-called campaign finance reform that
[1:51:43.680 --> 1:51:46.880]  doubled the money corporations can give a restricted free speech that I couldn't
[1:51:46.880 --> 1:51:52.880]  interview groups that were say pro land grab anti land grab or a pro gun group
[1:51:52.880 --> 1:51:57.080]  or anti-gun group that I couldn't have my own opinions and people just ignored
[1:51:57.080 --> 1:52:02.320]  that so let these smiley face criminals tell tell us that we don't have free
[1:52:02.320 --> 1:52:06.120]  speech we still have it and I'm not going to go along with it but but but it's not
[1:52:06.120 --> 1:52:11.640]  just there they're coming out with a violent radicalization act where they
[1:52:11.640 --> 1:52:17.440]  openly want to ban 9-11 truth and a lot of other things well but they're not
[1:52:17.440 --> 1:52:22.000]  going to be directly attacking you because you're too tough of a bird no
[1:52:22.000 --> 1:52:25.640]  they'll go out and they'll go after stations stations they'll go after
[1:52:25.640 --> 1:52:30.120]  stations yeah and then the station will kick you off the air that's their plan
[1:52:30.120 --> 1:52:34.720]  isn't it not that is their plan sir I appreciate your call that is land the
[1:52:34.720 --> 1:52:37.960]  free home of the brave I mean you can't have free speech in a can't protest on
[1:52:37.960 --> 1:52:41.440]  the street can't have a radio show I mean America's not about being able to say
[1:52:41.440 --> 1:52:46.520]  what you want I mean that's a conspiracy theory some people said that
[1:52:46.520 --> 1:52:50.600]  once you could say what you wanted in America that was a lie that was al-qaeda
[1:52:50.600 --> 1:52:57.040]  saying that no no some people said that Obama wasn't born from a virgin birth
[1:52:57.040 --> 1:53:01.760]  some people said that he didn't have little wings under his jacket they were
[1:53:01.760 --> 1:53:09.840]  al-qaeda members no Obama is the savior save us Andrew and Arizona you're on
[1:53:09.840 --> 1:53:17.840]  the air hello this is um Andrew um I just wanted to talk about Obama you mean
[1:53:17.840 --> 1:53:25.640]  please don't blaspheme sirs Lord Obama Lord the one the Savior go ahead talk of
[1:53:25.640 --> 1:53:32.320]  his grace yes what of his grace what of the Savior oh I'm just waiting to see
[1:53:32.320 --> 1:53:38.760]  that will Obama be a better president than any other one no George Bush ran
[1:53:38.760 --> 1:53:44.640]  nothing George Bush was a puppet that's what we're saying he doesn't matter but
[1:53:44.640 --> 1:53:51.280]  his policies hymns are for total corporate raping of the population
[1:53:51.280 --> 1:53:58.720]  um don't do you think um Obama will be protected or would be a staff meeting I
[1:53:58.720 --> 1:54:04.720]  think he'll be protected but they're gonna have horrible degenerate distasteful
[1:54:04.720 --> 1:54:09.080]  ugly racist groups attacking and that will fool a lot of folks in the
[1:54:09.080 --> 1:54:14.000]  supporting so there's a lot of tricks they can play with Obama let's talk to
[1:54:14.000 --> 1:54:18.600]  Isaiah in California you're on the air Isaiah hey how are you doing Mr. Trump
[1:54:18.600 --> 1:54:23.800]  Isaiah welcome yeah I had a question and I want to tell you why I'm asking a
[1:54:23.800 --> 1:54:29.440]  question okay all right what is the club of Rome club of Rome is a globalist
[1:54:29.440 --> 1:54:32.760]  think tank consortium calling for the extermination of 80% of the world's
[1:54:32.760 --> 1:54:40.640]  population and a neo feudal planetary system run by a basic international
[1:54:40.640 --> 1:54:44.520]  corporate elite okay well the reason why I'm asking this question is because
[1:54:44.520 --> 1:54:50.800]  there's a there's a man in Japan called Daisaku Ikeda he is the president of
[1:54:50.800 --> 1:54:54.360]  Soka Gakkai International a Buddhist association which claims 12 million
[1:54:54.360 --> 1:55:00.360]  members and in more than and 190 countries and territories and this man is
[1:55:00.360 --> 1:55:06.920]  is an honorary member of club of Rome right no that's who they recruit they
[1:55:06.920 --> 1:55:12.400]  recruit influential people now but this this I've researched about this Buddhist
[1:55:12.400 --> 1:55:16.240]  and they didn't they've done a lot of good things around the world but see I
[1:55:16.240 --> 1:55:21.440]  don't know because you always say it's compartmentalized and also this Buddhist
[1:55:21.440 --> 1:55:29.040]  Association called Soka Gakkai has a own party in the in the Japanese government
[1:55:29.040 --> 1:55:34.840]  and it's called the new Komeito and yeah that was it's the third biggest party
[1:55:34.840 --> 1:55:39.720]  in Japan so what are you Japanese yeah called in before you've heard you're
[1:55:39.720 --> 1:55:42.880]  asking me how to say end game in Japanese all that stuff yeah you speak
[1:55:42.880 --> 1:55:46.600]  really good Japanese I figured we're just be Japanese yeah I can hardly speak
[1:55:46.600 --> 1:55:52.480]  English I'm very fancy that you can speak both probably more than two that's
[1:55:52.480 --> 1:55:56.640]  what they do they have outer and inner rings of the CFR trilateral Commission
[1:55:56.640 --> 1:56:02.840]  Club of Rome and they go and they get an Angelina Jolie to join the CFR so that
[1:56:02.840 --> 1:56:06.840]  that gives them the look of being mainstream but she's never let in on the
[1:56:06.840 --> 1:56:12.320]  inner policy meetings that go on so it's a it's all about of all part of
[1:56:12.320 --> 1:56:18.320]  influence peddling okay well what do you think about this man I second get
[1:56:18.320 --> 1:56:22.160]  he's the president of Soka Gakkai I mean he has a lot of people on his side you
[1:56:22.160 --> 1:56:25.960]  know yeah that's who's part of these globalist groups are powerful people so
[1:56:25.960 --> 1:56:30.200]  he's evil no I don't know who he is I don't know that particular member of
[1:56:30.200 --> 1:56:33.760]  Club of Rome and a lot of times when you hear honorary I've been made an honorary
[1:56:33.760 --> 1:56:37.720]  group of Christian groups and other groups and people make a big issue look
[1:56:37.720 --> 1:56:41.240]  you're an honorary member of this well I didn't even know I was an honorary
[1:56:41.240 --> 1:56:46.880]  member of some little subgroup of something so I mean I don't have
[1:56:46.880 --> 1:56:51.120]  information on that to comment I know the policies of the Club of Rome they
[1:56:51.120 --> 1:56:55.480]  admit that there's no global cooling or heating that's unnatural the carbon
[1:56:55.480 --> 1:57:00.000]  dioxide's a way to make humans the enemy in the state to institutionalize war
[1:57:00.000 --> 1:57:05.240]  against the individual and so that's said in some of their documents we cover
[1:57:05.240 --> 1:57:12.760]  in films like in game hey thank you good to hear from you let's go ahead well my
[1:57:12.760 --> 1:57:20.960]  voice is really going out now so heed you got about 30 seconds go ahead yes
[1:57:20.960 --> 1:57:26.440]  sir hey how you doing I'm gonna tell us I had a question about Alex is there's a
[1:57:26.440 --> 1:57:30.440]  game coming out with Tom Clancy called End War have you seen the commercial
[1:57:30.440 --> 1:57:34.640]  that yeah I have it's all new World Order stuff getting you ready yeah it is
[1:57:34.640 --> 1:57:39.400]  gonna be a $800 barrel oil prices in the Middle East goes about 20 million
