[00:00.000 --> 00:01.500]  We've got it, Tata.
[1:29:57.000 --> 1:30:25.000]  www.innovamerica3.com
[1:30:25.000 --> 1:30:53.000]  www.innovamerica3.com
[1:30:53.000 --> 1:30:57.000]  www.innovamerica3.com
[1:31:23.000 --> 1:31:43.000]  www.innovamerica3.com
[1:31:43.000 --> 1:31:51.000]  www.innovamerica3.com
[1:31:51.000 --> 1:32:01.000]  www.innovamerica3.com
[1:32:01.000 --> 1:32:11.000]  www.innovamerica3.com
[1:32:11.000 --> 1:32:19.000]  www.innovamerica3.com
[1:32:19.000 --> 1:32:29.000]  www.innovamerica3.com
[1:32:29.000 --> 1:32:39.000]  www.innovamerica3.com
[1:32:39.000 --> 1:32:47.000]  www.innovamerica3.com
[1:32:47.000 --> 1:32:57.000]  www.innovamerica3.com
[1:32:57.000 --> 1:33:07.000]  www.innovamerica3.com
[1:33:07.000 --> 1:33:15.000]  www.innovamerica3.com
[1:33:15.000 --> 1:33:25.000]  www.innovamerica3.com
[1:33:25.000 --> 1:33:35.000]  www.innovamerica3.com
[1:33:35.000 --> 1:33:43.000]  www.innovamerica3.com
[1:33:43.000 --> 1:33:53.000]  www.innovamerica3.com
[1:33:53.000 --> 1:34:03.000]  www.innovamerica3.com
[1:34:03.000 --> 1:34:11.000]  www.innovamerica3.com
[1:34:11.000 --> 1:34:21.000]  www.innovamerica3.com
[1:34:21.000 --> 1:34:31.000]  www.innovamerica3.com
[1:34:31.000 --> 1:34:39.000]  www.innovamerica3.com
[1:34:39.000 --> 1:34:49.000]  www.innovamerica3.com
[1:34:49.000 --> 1:34:59.000]  www.innovamerica3.com
[1:34:59.000 --> 1:35:07.000]  www.innovamerica3.com
[1:35:07.000 --> 1:35:17.000]  www.innovamerica3.com
[1:35:17.000 --> 1:35:27.000]  www.innovamerica3.com
[1:35:27.000 --> 1:35:35.000]  www.innovamerica3.com
[1:35:35.000 --> 1:35:45.000]  www.innovamerica3.com
[1:35:45.000 --> 1:35:55.000]  www.innovamerica3.com
[1:35:55.000 --> 1:36:03.000]  www.innovamerica3.com
[1:36:03.000 --> 1:36:13.000]  www.innovamerica3.com
[1:36:13.000 --> 1:36:23.000]  www.innovamerica3.com
[1:36:23.000 --> 1:36:31.000]  www.innovamerica3.com
[1:36:31.000 --> 1:36:41.000]  www.innovamerica3.com
[1:36:41.000 --> 1:36:59.000]  www.innovamerica3.com
[1:36:59.000 --> 1:37:19.000]  www.innovamerica3.com
[1:37:19.000 --> 1:37:27.000]  www.innovamerica3.com
[1:37:27.000 --> 1:37:37.000]  www.innovamerica3.com
[1:37:37.000 --> 1:37:55.000]  www.innovamerica3.com
[1:37:55.000 --> 1:38:05.000]  www.innovamerica3.com
[1:38:05.000 --> 1:38:15.000]  www.innovamerica3.com
[1:38:15.000 --> 1:38:23.000]  www.innovamerica3.com
[1:38:23.000 --> 1:38:33.000]  www.innovamerica3.com
[1:38:33.000 --> 1:38:51.000]  www.innovamerica3.com
[1:38:51.000 --> 1:39:11.000]  www.innovamerica3.com
[1:39:11.000 --> 1:39:19.000]  www.innovamerica3.com
[1:39:19.000 --> 1:39:29.000]  www.innovamerica3.com
[1:39:29.000 --> 1:39:47.000]  www.innovamerica3.com
[1:39:47.000 --> 1:40:07.000]  www.innovamerica3.com
[1:40:07.000 --> 1:40:15.000]  www.innovamerica3.com
[1:40:15.000 --> 1:40:35.000]  www.innovamerica3.com
[1:40:35.000 --> 1:40:43.000]  www.innovamerica3.com
[1:40:43.000 --> 1:41:03.000]  www.innovamerica3.com
[1:41:03.000 --> 1:41:11.000]  www.innovamerica3.com
[1:41:11.000 --> 1:41:21.000]  www.innovamerica3.com
[1:41:21.000 --> 1:41:39.000]  www.innovamerica3.com
[1:41:39.000 --> 1:42:07.000]  www.innovamerica3.com
[1:42:07.000 --> 1:42:35.000]  www.innovamerica3.com
[1:42:35.000 --> 1:42:55.000]  www.innovamerica3.com
[1:42:55.000 --> 1:43:03.000]  www.innovamerica3.com
[1:43:03.000 --> 1:43:13.000]  www.innovamerica3.com
[1:43:13.000 --> 1:43:31.000]  www.innovamerica3.com
[1:43:31.000 --> 1:43:59.000]  www.innovamerica3.com
[1:43:59.000 --> 1:44:19.000]  www.innovamerica3.com
[1:44:19.000 --> 1:44:27.000]  www.innovamerica3.com
[1:44:27.000 --> 1:44:37.000]  www.innovamerica3.com
[1:44:37.000 --> 1:44:55.000]  www.innovamerica3.com
[1:44:55.000 --> 1:45:23.000]  www.innovamerica3.com
[1:45:23.000 --> 1:45:43.000]  www.innovamerica3.com
[1:45:43.000 --> 1:45:51.000]  www.innovamerica3.com
[1:45:51.000 --> 1:45:57.000]  www.innovamerica3.com
[1:45:57.000 --> 1:46:01.000]  www.innovamerica3.com
[1:46:01.000 --> 1:46:19.000]  www.innovamerica3.com
[1:46:19.000 --> 1:46:22.320]  areas of the country, the power grid is dangerously overloaded.
[1:46:22.320 --> 1:46:26.320]  And now, new socialist legislation is only compounding the problem.
[1:46:26.320 --> 1:46:27.320]  Number 4.
[1:46:27.320 --> 1:46:29.840]  Dangerous weather is always a threat to local grids.
[1:46:29.840 --> 1:46:33.520]  Every year, thousands of families lose their power from weather-related onages.
[1:46:33.520 --> 1:46:34.520]  Number 5.
[1:46:34.520 --> 1:46:38.280]  A solar power generator provides powerful backup insurance and peace of mind.
[1:46:38.280 --> 1:46:42.080]  Folks, I really believe in the solar power generators offered by Solutions from Science,
[1:46:42.080 --> 1:46:43.440]  one of my old sponsors.
[1:46:43.440 --> 1:46:47.680]  You can get more information at www.mysolarbackup.com.
[1:46:47.680 --> 1:46:59.040]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[1:46:59.040 --> 1:47:02.840]  Coast to coast, direct from Austin.
[1:47:02.840 --> 1:47:16.280]  You're listening to the Alex Jones Broadcasting Network.
[1:47:16.280 --> 1:47:20.720]  Meeting of frontal assault on the lies of the New World Order.
[1:47:20.720 --> 1:47:24.960]  It's Alex Jones on the GCN radio network.
[1:47:24.960 --> 1:47:28.200]  I won't have time to get into this now because I want to take a bunch of your calls.
[1:47:28.200 --> 1:47:32.920]  We'll take more calls than just one segment tomorrow, my weekday broadcast.
[1:47:32.920 --> 1:47:37.800]  But Norwegian and other European papers are reporting that he was involved with the modern
[1:47:37.800 --> 1:47:39.520]  night's Templar.
[1:47:39.520 --> 1:47:45.080]  They're planning terror attacks against Muslim lovers, basically, and he's one of their terms
[1:47:45.080 --> 1:47:47.440]  in the United States as well.
[1:47:47.440 --> 1:47:49.240]  The globalists have really gotten a little obvious.
[1:47:49.240 --> 1:47:51.760]  The night's Templar is their Illuminati group.
[1:47:51.760 --> 1:47:58.000]  Now it's fighting the Muslims when the government's actually opening the borders wide up.
[1:47:58.000 --> 1:48:00.320]  This is wide al-Qaeda.
[1:48:00.320 --> 1:48:04.520]  How the government's going to have an excuse to shut down free speech, the internet, track
[1:48:04.520 --> 1:48:10.280]  people, chilling effect, shut down the Tea Party, it's not going to work.
[1:48:10.280 --> 1:48:13.600]  It's as phony as a $3 bill.
[1:48:13.600 --> 1:48:18.340]  It's as phony as Rick Perry being a conservative when he was Al Gore's chief of staff for
[1:48:18.340 --> 1:48:21.200]  president in Texas, if you look it up.
[1:48:21.200 --> 1:48:24.600]  Let's go to Scott in Oklahoma, Frank, Robert, Beth, and many others.
[1:48:24.600 --> 1:48:25.600]  Thanks for holding guys.
[1:48:25.600 --> 1:48:26.600]  Scott in Oklahoma.
[1:48:26.600 --> 1:48:27.600]  Go ahead.
[1:48:27.600 --> 1:48:28.600]  We've got to move quick.
[1:48:28.600 --> 1:48:33.320]  Alex, thank you for your spot on analysis and thank you to Webster G. Tarpley, a.k.a.
[1:48:33.320 --> 1:48:34.320]  The Brain.
[1:48:34.320 --> 1:48:39.000]  This does appear to be more than NATO, but mainly CIA, DHS, and Mossad.
[1:48:39.000 --> 1:48:43.680]  The drills and the level of sophistication of the bomb make me curious as to why the
[1:48:43.680 --> 1:48:45.040]  terrorists chose the national holiday.
[1:48:45.040 --> 1:48:48.640]  How much of a hand do you believe that the CIA and the Assad have played?
[1:48:48.640 --> 1:48:56.080]  Well, I mean, I know that UPI, Jerusalem Post, just search Israel-founded Hamas.
[1:48:56.080 --> 1:48:58.320]  Israel runs, quote, fake al-Qaeda.
[1:48:58.320 --> 1:49:02.600]  I mean, that's Israeli newspapers are saying that.
[1:49:02.600 --> 1:49:07.200]  They credit Hamas to be a counterbalance to Hezbollah.
[1:49:07.200 --> 1:49:12.000]  And I know the CIA has been caught staging countless terror attacks on record.
[1:49:12.000 --> 1:49:16.800]  And so the point is, if we have governments and agencies that stand to gain in wars and
[1:49:16.800 --> 1:49:22.120]  police state and weapons contracts and surveillance contracts from terror, if they don't have
[1:49:22.120 --> 1:49:23.960]  terror, they're out of business.
[1:49:23.960 --> 1:49:26.720]  So yes, this thing stinks to high heaven.
[1:49:26.720 --> 1:49:31.160]  And the system wants to go after the Tea Party, the real Tea Party, not the Republican-oid
[1:49:31.160 --> 1:49:32.160]  one.
[1:49:32.160 --> 1:49:33.160]  So I appreciate your call, Scott.
[1:49:33.160 --> 1:49:34.160]  Good points.
[1:49:34.160 --> 1:49:37.240]  Frank and Louisiana, Frank, you're on the air, go ahead.
[1:49:37.240 --> 1:49:42.200]  Yes, Alex, you know, this whole thing is, you could see it coming.
[1:49:42.200 --> 1:49:47.840]  The international diabolical bankers, they know they're in trouble with all of this tarp,
[1:49:47.840 --> 1:49:50.560]  the trillions upon tens of trillions.
[1:49:50.560 --> 1:49:56.560]  And it's not going to bail them out of their hundreds of trillions of dollars of these worthless
[1:49:56.560 --> 1:49:58.200]  bombs that they put out there.
[1:49:58.200 --> 1:50:01.360]  And so now they're trying to get the Muslims and Christians to start killing each other.
[1:50:01.360 --> 1:50:06.880]  They need a war, Alex, and if you recall, the mysterious thing was when they were taken
[1:50:06.880 --> 1:50:12.800]  out in Mubarak, Kissinger comes on and he states, this is just the beginning of a series
[1:50:12.800 --> 1:50:13.800]  of events.
[1:50:13.800 --> 1:50:21.160]  Then it was about two or three weeks after that, they go after Qaddafi that was a non-beligerent.
[1:50:21.160 --> 1:50:22.160]  And the reason-
[1:50:22.160 --> 1:50:23.160]  Exactly.
[1:50:23.160 --> 1:50:24.160]  No, no.
[1:50:24.160 --> 1:50:27.160]  And now this guy puts a manifesto out, being read by millions of people, you know, that's
[1:50:27.160 --> 1:50:32.840]  very professionally produced, meant to invoke Europeans, whites, Christians, to wage war
[1:50:32.840 --> 1:50:37.760]  against Muslims, to get the fight going as a political diversion.
[1:50:37.760 --> 1:50:38.760]  Sorry.
[1:50:38.760 --> 1:50:43.440]  I mean, it's just like CIA-connected groups published the Mohammed with a bomb on his
[1:50:43.440 --> 1:50:45.560]  head things to get riots going.
[1:50:45.560 --> 1:50:50.160]  I mean, this is the oldest distraction in the book and there's going to be copycats
[1:50:50.160 --> 1:50:53.000]  that carry out attacks that aren't government from this.
[1:50:53.000 --> 1:50:54.160]  You better believe it.
[1:50:54.160 --> 1:51:01.160]  Well, the scary thing is that right now they're talking about going against Iran and I think
[1:51:01.160 --> 1:51:05.160]  they need a war to take the pressure off them because people are looking at the international
[1:51:05.160 --> 1:51:07.840]  bankers, they're a diabolical elite.
[1:51:07.840 --> 1:51:12.240]  And the only thing I can figure that they might have gone after Qaddafi was because
[1:51:12.240 --> 1:51:18.360]  he was trying to start the North African Union of Nations and remember Kissinger came out
[1:51:18.360 --> 1:51:24.440]  with that State Department number 200 that was targeting places like Africa for the genocide
[1:51:24.440 --> 1:51:25.440]  of Third World...
[1:51:25.440 --> 1:51:28.640]  No, he said we can't let them develop, we got to get wars going between them to reduce
[1:51:28.640 --> 1:51:29.640]  their population.
[1:51:29.640 --> 1:51:30.640]  Absolutely.
[1:51:30.640 --> 1:51:35.440]  Qaddafi was coming out with an African currency and that wasn't about to be put up with.
[1:51:35.440 --> 1:51:39.160]  Oh, yeah, that's the same thing that they took the Shah of Iran out for.
[1:51:39.160 --> 1:51:41.240]  He wouldn't take the American dollar.
[1:51:41.240 --> 1:51:42.240]  Absolutely, Frank.
[1:51:42.240 --> 1:51:43.240]  I appreciate your call.
[1:51:43.240 --> 1:51:44.240]  Great points.
[1:51:44.240 --> 1:51:45.240]  Wish I could talk to you for 10 hours.
[1:51:45.240 --> 1:51:48.520]  Robert, in California, Robert, you're on the air, welcome.
[1:51:48.520 --> 1:51:50.800]  Hey, how are you?
[1:51:50.800 --> 1:51:51.800]  Good.
[1:51:51.800 --> 1:51:57.000]  Well, yeah, just the whole thing makes me think back to 9-11, I remember Bush, you know,
[1:51:57.000 --> 1:52:01.400]  I'd just been selected and I was just not easily thinking, well, he's a lame duck, you
[1:52:01.400 --> 1:52:05.840]  know, he's not going to be super aggressive and I was really surprised that he...
[1:52:05.840 --> 1:52:09.040]  Let us never tolerate outrageous conspiracy theories.
[1:52:09.040 --> 1:52:13.320]  The question who really carried out 9-11, remember that two days after 9-11, he said
[1:52:13.320 --> 1:52:15.440]  don't question who did this?
[1:52:15.440 --> 1:52:22.000]  Right, but my point is, like, I knew that day it was a false flag, like my landlord woke
[1:52:22.000 --> 1:52:25.800]  me up and, you know, we turned on, you know, he showed me the TV and it's like a plane
[1:52:25.800 --> 1:52:26.800]  hit the building.
[1:52:26.800 --> 1:52:27.800]  I was just waking up.
[1:52:27.800 --> 1:52:28.800]  I didn't know what was going on.
[1:52:28.800 --> 1:52:32.080]  When the second plane hit, we just looked at each other and were like, this is Bush,
[1:52:32.080 --> 1:52:33.080]  you know.
[1:52:33.080 --> 1:52:34.200]  We know that it's a false flag.
[1:52:34.200 --> 1:52:35.680]  We know about false flags, right?
[1:52:35.680 --> 1:52:38.320]  So you're anticipating it, you know, at a time.
[1:52:38.320 --> 1:52:41.840]  Exactly, and I don't know if you listen to the show often, but have I not been screaming
[1:52:41.840 --> 1:52:45.920]  bloody murder, that they're running a public script, that now the white Christians are
[1:52:45.920 --> 1:52:46.920]  going to attack?
[1:52:46.920 --> 1:52:48.560]  I mean, who really believes this?
[1:52:48.560 --> 1:52:50.120]  I mean, come on.
[1:52:50.120 --> 1:52:51.680]  One guy killed 93 people.
[1:52:51.680 --> 1:52:56.720]  It's like you don't have to wonder, is it a Psyop, if it's being presented to you?
[1:52:56.720 --> 1:52:57.720]  It's a Psyop.
[1:52:57.720 --> 1:53:01.480]  That's, you know, I mean, people need to wake up that everything is a Psyop.
[1:53:01.480 --> 1:53:06.080]  I mean, everything you experienced in public school, like Charlotte Husserby was saying
[1:53:06.080 --> 1:53:08.480]  on your program, is a Psyop.
[1:53:08.480 --> 1:53:11.960]  I mean, everything you experienced in school is a Psyop until people realize that.
[1:53:11.960 --> 1:53:13.160]  Well, I agree.
[1:53:13.160 --> 1:53:17.160]  Even if something isn't a Psyop to begin with, they will spin it that direction.
[1:53:17.160 --> 1:53:21.680]  Like the White House Chief of Staff said, he said, you know, don't let a good crisis
[1:53:21.680 --> 1:53:22.680]  go to waste.
[1:53:22.680 --> 1:53:24.280]  They certainly do do that.
[1:53:24.280 --> 1:53:26.280]  Beth in Texas, Beth, you're on the air.
[1:53:26.280 --> 1:53:27.280]  Thanks for holding.
[1:53:27.280 --> 1:53:28.280]  Yes, Alex.
[1:53:28.280 --> 1:53:33.920]  You talked just briefly the other day about how after this Norway attack, that the next
[1:53:33.920 --> 1:53:38.440]  attacks would be probably in the States, and you specifically really didn't go into
[1:53:38.440 --> 1:53:39.440]  it.
[1:53:39.440 --> 1:53:42.000]  But you just mentioned Austin and Dallas and being that I'm in Austin also.
[1:53:42.000 --> 1:53:48.800]  I was just curious what you're, why you specifically mentioned Texas as being a high possibility
[1:53:48.800 --> 1:53:49.800]  for one.
[1:53:49.800 --> 1:53:53.840]  The Council on Foreign Relations likes to brag.
[1:53:53.840 --> 1:54:00.240]  They'll publicly admit they're going to stage a terror attack with almost no veil of denial.
[1:54:00.240 --> 1:54:05.560]  You can just look up Gary Hart, Hart Rubin Commission, Council on Foreign Relations Steering
[1:54:05.560 --> 1:54:09.440]  Committee, and he wrote a letter to Iran saying, we stage Gulf of Tonkin.
[1:54:09.440 --> 1:54:15.200]  We staged, you know, these other events of the main, you better back off, we'll stage
[1:54:15.200 --> 1:54:17.880]  something and attack you.
[1:54:17.880 --> 1:54:25.880]  And the CFR, same guys said, Dallas, Cleveland, Denver, one other, and then another report
[1:54:25.880 --> 1:54:30.680]  they said Austin, and they want to hit Austin because this is now the capital of resistance.
[1:54:30.680 --> 1:54:35.280]  I mean, there's more, everybody's moving here because I was here first and people somehow
[1:54:35.280 --> 1:54:38.880]  think geographically, and plus it's a great place to live, that this is where the resistance
[1:54:38.880 --> 1:54:39.880]  is.
[1:54:39.880 --> 1:54:44.880]  And so due to people's error, believing it was because I was here, it now has become
[1:54:44.880 --> 1:54:45.880]  the center of the resistance.
[1:54:45.880 --> 1:54:46.880]  Let me tell you something.
[1:54:46.880 --> 1:54:52.000]  I went out yesterday to the mall and the restaurants and was mobbed everywhere.
[1:54:52.000 --> 1:54:53.840]  My wife was like, this is getting scary.
[1:54:53.840 --> 1:54:54.840]  I mean, everywhere.
[1:54:54.840 --> 1:54:58.360]  I mean, I'm not talking about walking down the street, a few folks talk to me.
[1:54:58.360 --> 1:55:03.520]  I mean, I had groups of people around me everywhere and I'm just one person.
[1:55:03.520 --> 1:55:06.200]  And so that's an illustration of how many people are awake.
[1:55:06.200 --> 1:55:07.200]  So they would love.
[1:55:07.200 --> 1:55:11.360]  I mean, I'm telling you, you put all the pieces together, the establishment would love to
[1:55:11.360 --> 1:55:17.520]  hit Austin so they can really bring in some police state-loving and try to scare folks
[1:55:17.520 --> 1:55:19.520]  into submission, Beth.
[1:55:19.520 --> 1:55:20.520]  Hello?
[1:55:20.520 --> 1:55:26.440]  Yes, ma'am, but you've still got a much better chance being killed in a car wreck in Austin
[1:55:26.440 --> 1:55:28.200]  than you do being killed by terrorists.
[1:55:28.200 --> 1:55:30.320]  Yeah, I mean, I understand.
[1:55:30.320 --> 1:55:34.080]  And also the other thing is I think Texas is known, it's one of the two states that
[1:55:34.080 --> 1:55:39.320]  you can actually homeschool your children in without a lot of government interference.
[1:55:39.320 --> 1:55:40.320]  Exactly.
[1:55:40.320 --> 1:55:43.480]  Texas is leading the way resisting tyranny.
[1:55:43.480 --> 1:55:46.520]  It's like Oklahoma was leading the way against Clinton.
[1:55:46.520 --> 1:55:52.240]  They had a 10th Amendment resolution to nullify Clinton's activity so they hit him with Oklahoma
[1:55:52.240 --> 1:55:53.240]  City.
[1:55:53.240 --> 1:55:55.600]  And folks, I could spend five hours just on OKC.
[1:55:55.600 --> 1:55:58.000]  I'm not just saying that was an inside job.
[1:55:58.000 --> 1:56:03.160]  Watch my film for free online, Road to Tyranny, and we have the local newscast and everything
[1:56:03.160 --> 1:56:08.000]  with the admissions, the police talking about it, the bombs being removed, Southern Poverty
[1:56:08.000 --> 1:56:09.960]  Law Center running Elohim City.
[1:56:09.960 --> 1:56:12.280]  I mean, really chilling, hardcore stuff.
[1:56:12.280 --> 1:56:13.720]  Thank you so much, Beth.
[1:56:13.720 --> 1:56:18.600]  You know, those were great calls, and I've got like 10 other callers to get to, and I
[1:56:18.600 --> 1:56:20.200]  don't think I'll be able to.
[1:56:20.200 --> 1:56:23.040]  Real quick, Chris in Canada, you're on the air.
[1:56:23.040 --> 1:56:24.040]  Go ahead.
[1:56:24.040 --> 1:56:25.040]  Hey, Alex, how you doing?
[1:56:25.040 --> 1:56:26.040]  Good.
[1:56:26.040 --> 1:56:27.040]  Only got about a minute.
[1:56:27.040 --> 1:56:28.040]  Great.
[1:56:28.040 --> 1:56:32.920]  Well, I just, I was reading on Al Jazeera today, and I found an interesting article.
[1:56:32.920 --> 1:56:37.440]  The title is, Nationalists pose bigger threat than Al Qaeda.
[1:56:37.440 --> 1:56:41.200]  Contrary to popular belief, most terrorists attacks in Europe are the work of extremist
[1:56:41.200 --> 1:56:42.200]  nationalists.
[1:56:42.200 --> 1:56:43.560]  Yeah, I'm glad you raised that.
[1:56:43.560 --> 1:56:49.320]  The Arab press is going nuts because they're mainly British intel run, blaming Christians
[1:56:49.320 --> 1:56:54.640]  really using this right now, saying, yes, the Christians are the devils, lock them up.
[1:56:54.640 --> 1:56:55.960]  I did see that article.
[1:56:55.960 --> 1:56:58.720]  It is just an orgy of disinformation.
[1:56:58.720 --> 1:56:59.720]  Yeah.
[1:56:59.720 --> 1:57:05.960]  Tell me about, please, talks about a lot of, quote, nationalist terror plots in the UK.
[1:57:05.960 --> 1:57:11.760]  There's Robert Cottage, Nathan Warrell, and of course, Timothy McVeigh himself comes up
[1:57:11.760 --> 1:57:12.760]  a lot in this article.
[1:57:12.760 --> 1:57:13.760]  Oh, yeah.
[1:57:13.760 --> 1:57:14.760]  No, they are hyping.
[1:57:14.760 --> 1:57:15.760]  Get ready.
[1:57:15.760 --> 1:57:18.680]  The whitey, the white Al Qaeda is going to attack, give all your rights up.
[1:57:18.680 --> 1:57:21.240]  Trust no one, but don't worry right on time at Walmart.
[1:57:21.240 --> 1:57:24.000]  The telescreens are going in, saying only trust government.
[1:57:24.000 --> 1:57:28.640]  See, government wants us all fighting with each other, all of each other's throats.
[1:57:28.640 --> 1:57:31.360]  The new Homeland Security video said, why do Al Qaeda is going to get you?
[1:57:31.360 --> 1:57:33.320]  Are they talking on cell phones?
[1:57:33.320 --> 1:57:35.320]  Are they writing on paper?
[1:57:35.320 --> 1:57:36.840]  Do they have vans?
[1:57:36.840 --> 1:57:37.840]  Are they white?
[1:57:37.840 --> 1:57:39.360]  Look out, they're going to get you.
[1:57:39.360 --> 1:57:40.880]  Only Obama will save you.
[1:57:40.880 --> 1:57:41.880]  God bless you all.
[1:57:41.880 --> 1:57:42.880]  Great job, crew.
[1:57:42.880 --> 1:57:43.880]  Infowars.com.
[1:57:43.880 --> 1:57:49.760]  See you back tomorrow, 11 a.m. Central, live.
[1:57:49.760 --> 1:57:53.480]  Hundreds of nations have fallen to tyranny in the last century alone.
[1:57:53.480 --> 1:57:56.280]  This is our last chance to not relive history.
[1:57:56.280 --> 1:58:00.960]  As we're finishing off this agenda, they'll be pulling the rug from underneath the Americans
[1:58:00.960 --> 1:58:01.960]  at home.
[1:58:01.960 --> 1:58:06.600]  I have determined the most influence on our president in Congress, and they really are
[1:58:06.600 --> 1:58:07.720]  calling the shots.
[1:58:07.720 --> 1:58:12.960]  I think it's incumbent upon all of us as American citizens to pay attention.
[1:58:12.960 --> 1:58:16.280]  Full of the republic identifies the enemies of our nation.
[1:58:16.280 --> 1:58:22.120]  The criminal offshore cartel hell-bent on destroying sovereignty and on its ashes constructing
[1:58:22.120 --> 1:58:23.120]  world government.
[1:58:23.120 --> 1:58:27.440]  Jim Geithner, Bernanke, their arsonists, they're asking for more matches, and the Congress
[1:58:27.440 --> 1:58:29.600]  is saying, who do we make the check out to?
[1:58:29.600 --> 1:58:35.520]  Today seems like nobody does care, and right now in Washington, D.C., we have seen a fall
[1:58:35.520 --> 1:58:36.840]  of the republic.
[1:58:36.840 --> 1:58:41.400]  Get your copy of Fall of the Republic on DVD at infowars.com.
[1:58:41.400 --> 1:58:46.600]  We're watching online right now in super high quality at PrismPlanet.tv.
[1:58:46.600 --> 1:58:50.240]  Hi, folks.
[1:58:50.240 --> 1:58:53.760]  This is Alex Jones, and I want to tell you about the Silver Lungs Generator.
[1:58:53.760 --> 1:58:58.600]  Now you can produce pure and endless colloidal silver and deliver the solution directly into
[1:58:58.600 --> 1:59:02.600]  the bloodstream by breathing the solution through the lungs.
[1:59:02.600 --> 1:59:07.240]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[1:59:07.240 --> 1:59:12.480]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver
[1:59:12.480 --> 1:59:18.760]  solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[1:59:18.760 --> 1:59:23.080]  With continued legislation threatening the sale of nano-silver products, you can now
[1:59:23.080 --> 1:59:28.400]  produce pure and endless colloidal silver with the Silver Lungs Generator.
[1:59:28.400 --> 1:59:33.680]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[1:59:33.680 --> 1:59:39.960]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver
[1:59:39.960 --> 1:59:40.960]  Lungs Generator.
[1:59:40.960 --> 1:59:55.840]  That's www.silverlungs.com.
