[00:00:00.009 --> 00:00:00.249]  And the U.S.
[01:34:12.983 --> 01:34:14.203]  They want a global tax.
[01:34:14.203 --> 01:34:16.405]  He finally proposes it.
[01:34:16.405 --> 01:34:18.967]  This is the liar that in 1992
[01:34:22.845 --> 01:34:27.007]  ...said that he invented the Internet.
[01:34:27.007 --> 01:34:27.307]  Was it 94?
[01:34:27.307 --> 01:34:28.168]  I forget.
[01:34:28.168 --> 01:34:40.114]  The point is, the Internet was admittedly, originally developed in the mid-60s by MIT, the Pentagon, DARPA.
[01:34:40.114 --> 01:34:43.496]  And then in the 70s, what you could call the Internet was really born.
[01:34:43.496 --> 01:34:49.439]  And when you go to the Wikipedia page, or the encyclopedia page, or TV shows about the making of the Internet,
[01:34:50.393 --> 01:34:54.696]  Years ago I interviewed the guy, the British Lord now, who is credited with designing it.
[01:34:54.696 --> 01:34:56.997]  I know he's a knight, he was knighted for it.
[01:34:56.997 --> 01:34:59.799]  I guess that kind of makes him a lord, but it doesn't matter.
[01:34:59.799 --> 01:35:03.661]  The point is that Al Gore has no claim on that.
[01:35:03.661 --> 01:35:05.422]  He just lies!
[01:35:05.422 --> 01:35:11.266]  But that's why he gets a Nobel Prize by the big globalists, because they love congenital liars.
[01:35:11.266 --> 01:35:16.729]  They absolutely love this dirtbag out lying, saying the Earth is heating up because of carbon dioxide.
[01:35:17.921 --> 01:35:20.243]  When all the major studies show that's a fraud.
[01:35:20.243 --> 01:35:21.944]  And the earth heating up is a good thing.
[01:35:21.944 --> 01:35:27.787]  But the sun has been heating for decades and now it's started cooling.
[01:35:27.787 --> 01:35:29.288]  But facts don't matter.
[01:35:29.288 --> 01:35:33.111]  If he says he invented the internet, maybe he made God, you know?
[01:35:33.111 --> 01:35:35.733]  Maybe Al Gore gave birth to God.
[01:35:35.733 --> 01:35:37.474]  Maybe Al Gore created the Big Bang.
[01:35:37.474 --> 01:35:41.236]  I mean, why not just say Al Gore is God?
[01:35:41.236 --> 01:35:43.638]  Degenerate piece of trash.
[01:35:43.638 --> 01:35:45.519]  And I have to watch all these idiot liberals.
[01:35:46.385 --> 01:35:50.507]  Just worshipping Bill Clinton and Al Gore and all these scum.
[01:35:50.507 --> 01:35:53.389]  You're just as bad as the George Bush worshippers.
[01:35:53.389 --> 01:36:01.054]  Again, you couldn't wake up to Bill Clinton's evil because he was a liberal and you'd invested your personal power in it.
[01:36:01.054 --> 01:36:04.296]  You associate your power with it.
[01:36:04.296 --> 01:36:08.198]  And with George Bush, all these fake conservatives, you couldn't wake up.
[01:36:08.198 --> 01:36:11.400]  It's time to wake up to the left-right paradigm, and people have done that.
[01:36:11.400 --> 01:36:13.461]  Congress has an 11% approval rating.
[01:36:13.461 --> 01:36:15.122]  That's the first time anything like that's ever happened.
[01:36:15.592 --> 01:36:18.974]  I mean, it never got below the 30s.
[01:36:18.974 --> 01:36:20.575]  Just a few years ago.
[01:36:20.575 --> 01:36:21.836]  Both parties are hated.
[01:36:21.836 --> 01:36:24.197]  That's the good news, corrupt people.
[01:36:24.197 --> 01:36:25.798]  You better know the jig's up.
[01:36:25.798 --> 01:36:33.122]  Now, the public doesn't have an inkling how bad it is, but they've got an inkling that they're being screwed and lied to, and that it doesn't matter what party's what.
[01:36:33.122 --> 01:36:35.964]  So don't get fooled by this big spectacle and all this baloney.
[01:36:36.619 --> 01:36:43.724]  I'm only going to the DNC and maybe the RNC too, because they're banning protests, you got microwave guns out there, sound cannons.
[01:36:43.724 --> 01:36:49.188]  I want to catch cops provocateuring like we've caught them in other places.
[01:36:49.188 --> 01:36:50.789]  Yeah, cops dressed up like anarchists.
[01:36:50.789 --> 01:36:53.531]  I want to bust them again, blow their cover again.
[01:36:53.531 --> 01:36:56.513]  I just absolutely love blowing their cover.
[01:36:56.513 --> 01:36:59.095]  And I'm going to be there blowing your cover again, scum!
[01:37:02.497 --> 01:37:04.639]  Also, they can stomp on my First Amendment.
[01:37:04.639 --> 01:37:06.280]  Tom in New Jersey, you're on the air.
[01:37:06.280 --> 01:37:08.082]  Welcome to the Airwaves Worldwide.
[01:37:08.082 --> 01:37:08.943]  How are you?
[01:37:08.943 --> 01:37:10.003]  How are you?
[01:37:10.003 --> 01:37:10.624]  Good, you're on the air.
[01:37:10.624 --> 01:37:11.565]  Go ahead, sir.
[01:37:11.565 --> 01:37:14.627]  Yeah, I just, uh, you know who I am, but I'll tell you later.
[01:37:14.627 --> 01:37:18.250]  Listen, the National Security Strategy document, are you familiar with that, Alex?
[01:37:18.250 --> 01:37:19.571]  Yes.
[01:37:19.571 --> 01:37:21.313]  I don't think most of America knows about it.
[01:37:21.313 --> 01:37:25.196]  September 2007, it was passed by the Bush administration.
[01:37:25.196 --> 01:37:28.518]  A document that defines how the U.S.
[01:37:28.518 --> 01:37:30.420]  will interact with international communities.
[01:37:31.169 --> 01:37:36.995]  And being unilateral in nature, which means it'll go in and do whatever it wants to do.
[01:37:36.995 --> 01:37:40.097]  And preempt and nuke whoever they want and everything else.
[01:37:40.097 --> 01:37:40.738]  Totally criminal.
[01:37:40.738 --> 01:37:41.479]  You're exactly right.
[01:37:41.479 --> 01:37:47.404]  And by the way, Barack Obama has put out a policy report that mirrors it all.
[01:37:47.404 --> 01:37:47.965]  No difference.
[01:37:47.965 --> 01:37:50.027]  And the left suddenly is going, yeah!
[01:37:50.027 --> 01:37:50.687]  War!
[01:37:50.687 --> 01:37:51.588]  Yeah!
[01:37:51.588 --> 01:37:52.049]  Yeah!
[01:37:52.049 --> 01:37:53.490]  We like it!
[01:37:53.490 --> 01:37:55.392]  We're starting to strut around going, I like war!
[01:37:56.813 --> 01:37:57.673]  I'm sorry, go ahead.
[01:37:57.673 --> 01:38:03.995]  And they're going to be operating outside the boundary of international law, and they're saying that they're going to be interacting.
[01:38:03.995 --> 01:38:08.637]  Well, where does the word interaction come in with unilateral?
[01:38:08.637 --> 01:38:09.757]  It doesn't make any sense.
[01:38:09.757 --> 01:38:10.697]  It's like double talk.
[01:38:10.697 --> 01:38:12.658]  Everything's, it's all criminal.
[01:38:12.658 --> 01:38:13.258]  It is criminal.
[01:38:13.258 --> 01:38:18.980]  Sir, sir, the global leaders are in Bohemian Grove right now with thousands of gay porn stars.
[01:38:18.980 --> 01:38:20.881]  I mean, that's mainstream news.
[01:38:20.881 --> 01:38:21.901]  They want to puke.
[01:38:21.901 --> 01:38:24.182]  Well, I mean, the point is that's your Christian conservative leaders.
[01:38:24.182 --> 01:38:25.122]  It's totally fake.
[01:38:29.910 --> 01:38:33.133]  It's just like Rome, folks.
[01:38:33.133 --> 01:38:36.435]  I mean, again, I'm not kidding.
[01:38:36.435 --> 01:38:37.596]  Let's not exaggerate.
[01:38:37.596 --> 01:38:45.603]  It is admitted that as many as a thousand female prostitutes are brought in just for the two surrounding towns, Monterreo and Occidental.
[01:38:45.603 --> 01:38:47.764]  They just fill them with prostitutes.
[01:38:47.764 --> 01:38:48.965]  I've been there during the event.
[01:38:50.362 --> 01:38:55.205]  You know, six-foot blondes and brunettes walking around everywhere outside the camp.
[01:38:55.205 --> 01:38:59.147]  Jets landing, disgorging male prostitutes worldwide.
[01:38:59.147 --> 01:39:04.930]  So we don't know the numbers inside, just mainstream news reports that their valets are gay porn stars.
[01:39:04.930 --> 01:39:07.631]  I mean, that's where Bush and all of them go!
[01:39:07.631 --> 01:39:08.912]  It's right in front of you!
[01:39:08.912 --> 01:39:10.293]  They're just laughing at you!
[01:39:10.293 --> 01:39:12.774]  Remember Jeff Gannon, the gay porn star in the White House?
[01:39:13.681 --> 01:39:14.982]  Yes, I remember that.
[01:39:14.982 --> 01:39:17.444]  Again, I'm not even bashing, quote, gay people here.
[01:39:17.444 --> 01:39:20.187]  The whole point is, this is how decadent it is.
[01:39:20.187 --> 01:39:20.787]  Yeah.
[01:39:20.787 --> 01:39:25.612]  I mean, Richard Nixon, do you know the Richard Nixon quote about the orgies they have in there?
[01:39:25.612 --> 01:39:29.475]  Oh yeah, he was, I think he made a remark that he would never return.
[01:39:29.475 --> 01:39:29.995]  Did he not?
[01:39:29.995 --> 01:39:30.996]  Yeah, we can't say it on air.
[01:39:30.996 --> 01:39:31.977]  You can go listen to it.
[01:39:31.977 --> 01:39:34.419]  It was always in Harper's, but not published.
[01:39:34.419 --> 01:39:39.144]  And then the Harper's writer wrote a book about it in the 90s after he died and people didn't believe it.
[01:39:39.984 --> 01:39:45.808]  Uh, and so, uh, then what happened was they went ahead to Harper's three years ago, released the tape.
[01:39:45.808 --> 01:39:50.671]  We can't play it here, there's so much G-Ding and F-ing and, you know, but the point is he talks about it all.
[01:39:51.109 --> 01:39:53.610]  Yeah, I did want to touch on Harper for a moment.
[01:39:53.610 --> 01:39:58.752]  I was going to sleep the other night and I was just flicking through the TV and I passed Superman 3.
[01:40:12.277 --> 01:40:21.945]  And it was amazing how they were explaining Hart back in 1983 on Superman 3, taking over the Colombian coffee crops, which blew my mind.
[01:40:21.945 --> 01:40:25.247]  They throw it all in your face, sir.
[01:40:25.247 --> 01:40:29.551]  Listen, listen, Mayor Ray Nagin... Reality, correct?
[01:40:29.551 --> 01:40:38.258]  Yes, yes, but Mayor Ray Nagin starred in Oil Storm, that aired six months before, where an exact hurricane hits, and the exact same thing happens in New Orleans.
[01:40:38.883 --> 01:40:40.044]  Uh, which movie was that?
[01:40:40.044 --> 01:40:42.085]  Oil Storm on FX.
[01:40:42.085 --> 01:40:42.585]  Oil Storm?
[01:40:42.585 --> 01:40:47.008]  I mean, the mayor starred in his own movie.
[01:40:47.008 --> 01:40:52.931]  Just like Fox TV, and then I had the star of the show, the lone gunman, and X-Files show up at my door.
[01:40:54.052 --> 01:40:55.653]  I mean, it's on the web.
[01:40:55.653 --> 01:41:02.115]  Dean Hagelin, he said, yeah, the CIA approached us and planted those stories on us, and I want to tell you, I'm freaked out.
[01:41:02.115 --> 01:41:05.255]  He called Chris Carter on the day of 9-11 and said, what is this?
[01:41:05.255 --> 01:41:06.956]  And what happens in that episode?
[01:41:06.956 --> 01:41:21.260]  A hijacked jet, by remote control, to be flown to the World Trade Center, to be blamed on Afghanistan, to launch this new war on terror, and it's really a group of the military doing it, and they're doing it, and they use a drill to make the rest of NORAD stand out.
[01:41:21.260 --> 01:41:22.981]  Exactly what happened on 9-11.
[01:41:24.198 --> 01:41:25.019]  Wow.
[01:41:25.019 --> 01:41:25.819]  Oh, yeah.
[01:41:25.819 --> 01:41:26.680]  That's incredible.
[01:41:26.680 --> 01:41:27.460]  It's unbelievable.
[01:41:27.460 --> 01:41:29.982]  You've got hundreds of examples of this.
[01:41:29.982 --> 01:41:35.065]  Yeah, and I really appreciate you doing what you're doing, and I thank you.
[01:41:35.065 --> 01:41:35.806]  Thank you.
[01:41:35.806 --> 01:41:38.147]  Tell everybody about this show, okay, Alex?
[01:41:38.147 --> 01:41:39.168]  Well, God bless you, my friend.
[01:41:39.168 --> 01:41:41.289]  I appreciate it.
[01:41:41.289 --> 01:41:46.633]  Yeah, for those that don't know, Dean Hagelin, a star of X-Files and Lone Gunman, he
[01:41:48.041 --> 01:41:49.482]  Paul looks completely flipped out in there.
[01:41:49.482 --> 01:41:50.722]  Yeah, Paul, Google it.
[01:41:50.722 --> 01:41:51.923]  Dean Haglund, Alex Jones.
[01:41:51.923 --> 01:41:52.903]  Go to YouTube.
[01:41:52.903 --> 01:41:55.124]  Let's play, people, when we come back, a minute or two of it.
[01:41:55.124 --> 01:41:56.525]  I mean, there's hundreds of versions of it.
[01:41:56.525 --> 01:41:58.506]  It's originally on PrisonPlanet.tv.
[01:41:58.506 --> 01:42:00.007]  I did two different interviews.
[01:42:00.007 --> 01:42:02.468]  He came to town, I interviewed him at my house.
[01:42:02.468 --> 01:42:05.269]  I get a call, and it's like, this is Dean Haglund.
[01:42:05.269 --> 01:42:07.050]  And, uh, and I'm like, oh yeah?
[01:42:08.052 --> 01:42:08.872]  Oh yeah, this is Dean Hagelin.
[01:42:08.872 --> 01:42:11.953]  I said, well, why don't you come, you know, if you're coming into town, come on by my house, I'll interview you.
[01:42:11.953 --> 01:42:14.554]  So he sat right there in my office, and I videotaped it.
[01:42:14.554 --> 01:42:19.916]  And then, about a year later, he came back, this was a couple years ago, came back into Austin, sat in studio.
[01:42:19.916 --> 01:42:23.857]  And the CIA approached them and said, we want you to put this stuff in your plot.
[01:42:23.857 --> 01:42:26.118]  Because it's part of a victory dance.
[01:42:26.118 --> 01:42:27.918]  Criminals love to celebrate.
[01:42:27.918 --> 01:42:30.219]  It's letting you know, yes, we murdered you.
[01:42:30.219 --> 01:42:31.900]  We're gonna keep murdering you.
[01:42:31.900 --> 01:42:34.581]  We're gonna hurt you real bad, and you're gonna like it.
[01:42:34.581 --> 01:42:35.621]  Okay?
[01:42:35.621 --> 01:42:35.941]  Alright.
[01:42:36.983 --> 01:42:40.628]  We're gonna murder you because we are your gods.
[01:42:40.628 --> 01:42:43.612]  PrisonPlanet.com, our new film Truth Rising is out.
[01:42:43.612 --> 01:42:44.573]  Check it out, we'll be right back.
[01:42:50.396 --> 01:42:53.638]  Every 22 seconds, a violent crime is committed.
[01:42:53.638 --> 01:42:55.980]  Are you concerned about your personal safety?
[01:42:55.980 --> 01:42:59.582]  Why wait for something bad to happen when you can take action now?
[01:42:59.582 --> 01:43:00.522]  Be smart.
[01:43:00.522 --> 01:43:01.503]  Be safe.
[01:43:01.503 --> 01:43:03.704]  Trust Pepper Spray instead of your luck.
[01:43:03.704 --> 01:43:09.508]  Pepperspray.com is the only website you'll ever need for all your non-lethal self-defense supplies.
[01:43:09.508 --> 01:43:19.194]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web, including mace, animal repellents, stun guns, and tasers.
[01:43:19.434 --> 01:43:25.582]  Pepperspray.com also carries a large assortment of products for personal, home, child and pet safety.
[01:43:25.582 --> 01:43:30.047]  Pepperspray.com is proud to feature Sabre brand pink ribbon pepper spray.
[01:43:30.047 --> 01:43:35.634]  For every Sabre pink ribbon pepper spray sold, a donation will be made to the National Breast Cancer Foundation.
[01:43:35.894 --> 01:43:40.302]  Enter the word Pepper in the coupon box and you'll receive 10% off your order.
[01:43:40.302 --> 01:43:41.624]  So what are you waiting for?
[01:43:41.624 --> 01:43:43.187]  Go to Pepperspray.com.
[01:43:43.187 --> 01:43:45.471]  That's Pepperspray.com or call 1-800-908-9988.
[01:43:45.471 --> 01:43:45.851]  Call today!
[01:43:50.339 --> 01:43:53.321]  Hey everybody, if you're anything like me, I'll bet you like to eat.
[01:43:53.321 --> 01:44:08.729]  I like egg scrambles for breakfast, fresh homemade bread, delicious pastas like lasagna, I love beef stroganoff, I love chicken noodle soup, I love desserts, all kinds of entrees and soups and desserts and breakfasts.
[01:44:08.729 --> 01:44:09.810]  I love that stuff.
[01:44:09.810 --> 01:44:13.472]  Now food prices are skyrocketing just like gasoline prices.
[01:44:13.472 --> 01:44:16.994]  I mean the gasoline prices have gone insanely high, probably going to go higher.
[01:44:16.994 --> 01:44:18.875]  Grocery prices are right on their heels.
[01:44:19.235 --> 01:44:20.876]  How are people going to be able to afford to eat?
[01:44:20.876 --> 01:44:27.661]  Well, I found a way to buy really incredible foods like I just described at half the price of last year's grocery bill.
[01:44:27.661 --> 01:44:33.485]  For less than half of what you spent for the same amount of food last year, I can have it delivered to your door.
[01:44:33.485 --> 01:44:34.505]  Let me tell you how.
[01:44:34.505 --> 01:44:37.467]  Go to efoodsdirect.com right now.
[01:44:37.467 --> 01:44:41.930]  efoodsdirect.com or call toll-free number 800-409-5633.
[01:44:41.930 --> 01:44:41.990]  800-409-5633.
[01:44:41.990 --> 01:44:43.011]  Cut those food costs now.
[01:44:53.318 --> 01:45:04.327]  Last month, Ready Reserve Foods stated that by fall, food would be in short supply and the government would be forced to impose controls on food and food distribution because of civil unrest and panic.
[01:45:04.327 --> 01:45:08.511]  Well, the floods in the heartland of America have all but assured this will happen.
[01:45:08.511 --> 01:45:14.475]  It is estimated that 5 million acres of farmland will not be producing over 700 million bushels of corn alone.
[01:45:15.316 --> 01:45:19.619]  If you've ever thought about storing food, now is the time to do so.
[01:45:19.619 --> 01:45:24.902]  Call Ready Reserve Foods at 1-800-453-2202 for a free catalog.
[01:45:24.902 --> 01:45:35.049]  Larry Matlack, President of the American Agriculture Movement, stated on June 6th that the USDA has only enough wheat stored to make one half of a loaf of bread for every American.
[01:45:35.049 --> 01:45:37.270]  Visit us on the web at readyreservefoods.com.
[01:45:37.270 --> 01:45:37.370]  1-800-453-2202.
[01:45:37.370 --> 01:45:37.751]  That's 1-800-453-2202.
[01:45:45.408 --> 01:45:45.816]  Act now!
[01:45:50.157 --> 01:45:54.660]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[01:45:54.660 --> 01:45:59.763]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[01:45:59.763 --> 01:46:01.284]  Hi folks, Alex Jones here.
[01:46:01.284 --> 01:46:04.887]  Why not go back to basics and be safe with Calbin Pure Soaps?
[01:46:04.887 --> 01:46:10.290]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[01:46:10.290 --> 01:46:16.074]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[01:46:16.394 --> 01:46:18.915]  Now, Calvin Soaps are available to you and me.
[01:46:18.915 --> 01:46:21.435]  Triple concentrated for all your cleaning needs.
[01:46:21.435 --> 01:46:23.856]  From bathing and laundry to dishes, hair and more.
[01:46:23.856 --> 01:46:25.056]  No harsh chemicals.
[01:46:25.056 --> 01:46:26.257]  No animal testing.
[01:46:26.257 --> 01:46:27.597]  I use them and love them.
[01:46:27.597 --> 01:46:29.478]  Knowing they're all naturally safe.
[01:46:29.478 --> 01:46:30.878]  And I say it big time.
[01:46:30.878 --> 01:46:32.138]  Call Calvin Pure Soap at 1-800-340-7091.
[01:46:32.138 --> 01:46:32.378]  That's 1-800-340-7091.
[01:46:32.378 --> 01:46:34.039]  Or log on to 5starsoap.com now for a free catalog.
[01:46:42.361 --> 01:46:52.529]  Again, that number, 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[01:46:52.529 --> 01:46:55.471]  This is the GCN Radio Network.
[01:46:55.471 --> 01:46:57.313]  Home to hard-hitting talk radio.
[01:47:08.590 --> 01:47:19.972]  Just googled Dean Haglund slash Alex Jones and we didn't have time to cut into the exact area where he was talking about the CIA planting plots on him.
[01:47:19.972 --> 01:47:35.855]  But since I brought it up, and again this is just audio here on the radio, but on the web it's video of the interview I did with him at my house, so the audio's not the best.
[01:47:35.855 --> 01:47:37.195]  I didn't even put wireless mics on him.
[01:47:37.898 --> 01:47:39.579]  Here, go ahead and roll it.
[01:47:39.579 --> 01:47:40.819]  Roll a little bit of it.
[01:47:40.819 --> 01:47:55.384]  You know, the popularity of the gunman had a large conspiracy contingent to it, and so they were going after that fan base and less from the shippers and the, you know, who loved Mulder and who loved Scully kind of thing.
[01:47:55.384 --> 01:47:58.645]  Your pilot episode, tell us about that plot.
[01:47:58.645 --> 01:47:59.546]  Yeah, absolutely.
[01:47:59.546 --> 01:48:03.307]  This was a pilot episode for the lone gunman.
[01:48:03.800 --> 01:48:12.482]  Where the basic plot was the government had to stop a plane from flying into the World Trade Center, uh, eight months before it actually happened.
[01:48:12.482 --> 01:48:16.683]  So, uh, when we got the script, it said, you know, plane, World Trade Center.
[01:48:16.683 --> 01:48:19.064]  They filmed a, uh, an entire airplane.
[01:48:19.064 --> 01:48:21.184]  They had a, a green map screen.
[01:48:21.184 --> 01:48:27.246]  So they put the, uh, put the shot of the New York skyline in with the plane flying directly at it.
[01:48:27.246 --> 01:48:32.087]  And, uh, just seconds before we get computer control, we get it back to the pilots and the pilots can pull the plane up and
[01:48:32.495 --> 01:48:34.617]  And avoid hitting the World Trade Center.
[01:48:34.617 --> 01:48:41.484]  And part of that plot was that, as it said in the script, that this was to start an international war on terror.
[01:48:41.484 --> 01:48:43.867]  That this was, you know, the Cold War's over.
[01:48:43.867 --> 01:48:44.847]  The show's almost over.
[01:48:44.847 --> 01:48:47.290]  I'm gonna take some calls and respect the callers.
[01:48:47.290 --> 01:48:48.631]  Next week I'm gonna make a lot of calls, folks.
[01:48:48.631 --> 01:48:50.233]  I just had to cover all that police state news.
[01:48:52.250 --> 01:48:53.771]  It almost lessens the severity of it.
[01:48:53.771 --> 01:49:06.016]  How we just calmly report, oh, mass graves, mass coffins, crematoriums for the public, mainstream news, youth brigades, warrantless checkpoints, National Guard doing gun confiscations in America, in Illinois.
[01:49:06.016 --> 01:49:10.977]  But then Dean Hagelin gets into how the CIA planted a bunch of plots on him.
[01:49:13.602 --> 01:49:21.265]  Let's go ahead and go to, well somebody disagrees here, but I got to hurry Hal because I want to get to Joyce and Chris and everybody else.
[01:49:21.265 --> 01:49:24.126]  Hal in Oregon, head of the line, go ahead.
[01:49:24.126 --> 01:49:25.467]  Thank you Alex.
[01:49:25.467 --> 01:49:31.970]  I just wanted to respond to something that you and Mark Korenke were talking about last time about the National Park System.
[01:49:31.970 --> 01:49:37.252]  You had made a comment that the National Parks were hawked to the IMF.
[01:49:38.141 --> 01:49:44.707]  And I wanted to call to tell you, I don't believe that Congress could hawk to the I.M.F.
[01:49:44.707 --> 01:49:46.588]  what it granted to the American citizen back then.
[01:49:46.588 --> 01:49:48.110]  Well, they did, sir.
[01:49:48.110 --> 01:49:50.252]  It's been in the international agreements.
[01:49:50.252 --> 01:49:56.677]  I mean, Congress... Bush isn't supposed to declare that Congress isn't involved in continuity of government, but it is.
[01:49:56.677 --> 01:49:58.899]  I mean, there's all sorts of things now.
[01:49:58.899 --> 01:49:59.780]  I mean, here's an example.
[01:49:59.780 --> 01:50:04.504]  The head of NORTHCOM signed an agreement to use Canadian and NATO troops inside the U.S.
[01:50:05.017 --> 01:50:11.325]  Two months ago, three months ago, to quote, fight terrorists, and Congress flipped out and said, we didn't authorize that.
[01:50:11.325 --> 01:50:17.013]  I mean, before, Congress had to commission all officers, because you couldn't have one branch of government controlling the military.
[01:50:17.013 --> 01:50:19.255]  Now they've got giant Merc forces.
[01:50:19.255 --> 01:50:20.056]  Mercenaries.
[01:50:20.056 --> 01:50:21.799]  I mean, it's all just lawless evil, sir.
[01:50:22.199 --> 01:50:23.220]  Alex, I understand all that.
[01:50:23.220 --> 01:50:26.062]  It's not that I'm disagreeing with you on that part.
[01:50:26.062 --> 01:50:32.646]  I'm saying that when you research the law out about this, and I have done this... Oh, it's fraudulent that they've handed the country over, yes.
[01:50:32.646 --> 01:50:40.892]  Well, the thing I'm saying is that it has not yet been challenged at that point, and I guess my contention was that by making a comment for people to hear,
[01:50:41.459 --> 01:50:44.282]  No, it was a fraudulent conveyance and you're absolutely right.
[01:50:44.282 --> 01:50:46.805]  They don't really own all our national parks and millions of other acres.
[01:50:46.805 --> 01:50:48.306]  But they have armed people that believe they do.
[01:51:02.893 --> 01:51:07.634]  And if you ever try to take the parks back from America, they will engage you militarily.
[01:51:07.634 --> 01:51:08.934]  And that's why we call it tyranny.
[01:51:08.934 --> 01:51:10.854]  You're absolutely right, sir.
[01:51:10.854 --> 01:51:12.135]  You are correct.
[01:51:12.135 --> 01:51:14.755]  Okay, our point is they say it's theirs.
[01:51:14.755 --> 01:51:16.956]  But you're right, they can say I don't have a Second Amendment.
[01:51:16.956 --> 01:51:18.276]  I still do.
[01:51:18.276 --> 01:51:20.896]  Joyce in Wisconsin, you're on the air.
[01:51:20.896 --> 01:51:29.858]  Hi, this is Joyce, and I can't quite match your power, but I can tell you that I've been preaching this stuff for 30 years, door-to-door, nobody had listened to me.
[01:51:31.192 --> 01:51:37.694]  And the organization I was preaching with, which was Jehovah's Witnesses, has also sold out to the U.N.
[01:51:37.694 --> 01:51:39.355]  They sold out to Rand.
[01:51:39.355 --> 01:51:44.356]  They own 51% of Rand Corporation.
[01:51:44.356 --> 01:51:47.897]  They're just as evil as all the other churches out there.
[01:51:47.897 --> 01:51:49.218]  That's what I was going to say, ma'am.
[01:51:49.218 --> 01:51:50.298]  Ma'am, I mean, any mainline group
[01:51:54.404 --> 01:51:55.625]  26,000 preachers.
[01:51:55.625 --> 01:51:57.927]  Now we told you this when it was secret, now it's admitted.
[01:51:57.927 --> 01:52:06.294]  Were secretly paid and tell their flocks to submit to government, go to camps, take shots, worship government, render unto Caesar, Romans 13.
[01:52:06.294 --> 01:52:19.826]  So absolutely, I mean, you know, the Catholics, the Baptists, the Jehovah's Witnesses, the Seventh-day Adventists, not all the branches, but I mean, major branches of all these groups are under New World Order control right now.
[01:52:21.092 --> 01:52:22.053]  They are.
[01:52:22.053 --> 01:52:23.134]  People don't know it.
[01:52:23.134 --> 01:52:24.354]  They don't want to believe it.
[01:52:24.354 --> 01:52:25.295]  It's frustrating.
[01:52:25.295 --> 01:52:33.160]  We tell people every day to buy food, to store food, to get some water because if they don't, they could be locked in the house and they're going to die.
[01:52:33.160 --> 01:52:34.300]  They don't listen.
[01:52:34.300 --> 01:52:40.264]  Every day I go out and drive professionally, I see people getting pulled over by cops and nobody seems alarmed.
[01:52:41.022 --> 01:52:41.983]  Every day!
[01:52:41.983 --> 01:52:48.147]  I hear you without... Well look, they've only doubled, tripled, quadrupled and more the police and they gotta raise money and it's just gonna get worse and worse.
[01:52:48.147 --> 01:52:51.630]  No economy with more and more bureaucrats sucking off of you.
[01:52:51.630 --> 01:52:52.711]  Folks, you wanna be slaves?
[01:52:52.711 --> 01:52:54.612]  You're gonna get to be now.
[01:52:54.612 --> 01:52:54.892]  Okay?
[01:52:54.892 --> 01:52:56.794]  And I mean, it goes for all the people in government.
[01:52:56.794 --> 01:52:58.595]  Your families are gonna be hurt too.
[01:52:58.595 --> 01:52:59.576]  You wanted it?
[01:52:59.576 --> 01:53:01.938]  You get it.
[01:53:01.938 --> 01:53:02.818]  You wanted this?
[01:53:02.818 --> 01:53:04.139]  This is what you wanted?
[01:53:04.139 --> 01:53:06.221]  You wanted to lay around and deny the tyranny?
[01:53:06.221 --> 01:53:07.442]  Well, it's gonna get worse and worse.
[01:53:09.178 --> 01:53:09.658]  Thank you.
[01:53:09.658 --> 01:53:10.898]  Let's talk to Chris.
[01:53:10.898 --> 01:53:12.179]  Chris, you're on the air.
[01:53:12.179 --> 01:53:13.839]  Welcome from Kentucky.
[01:53:13.839 --> 01:53:15.120]  Yeah, thanks, Alex.
[01:53:15.120 --> 01:53:19.141]  About a few weeks ago, the Kentucky State Police budget problems.
[01:53:19.141 --> 01:53:20.681]  Of course, the state had some problems.
[01:53:20.681 --> 01:53:22.381]  The feds are helping, aren't they?
[01:53:22.381 --> 01:53:23.122]  Yeah, they are.
[01:53:23.122 --> 01:53:31.144]  And you know, gas is so expensive per gallon in Kentucky, so the idea was, I heard this newscast, they said, why don't they save gas by having checkpoints?
[01:53:31.144 --> 01:53:32.104]  Here we go.
[01:53:32.104 --> 01:53:32.664]  Here's Terry.
[01:53:33.468 --> 01:53:34.249]  It's building up.
[01:53:34.249 --> 01:53:40.153]  Folks, I'm telling you, if you don't wake up and you have that free right to travel, you're gonna be cooked if you don't wake up.
[01:54:03.883 --> 01:54:07.264]  I mean, it's just totally... I'm not wearing a taser bracelet.
[01:54:07.264 --> 01:54:08.564]  It's over, criminals!
[01:54:08.564 --> 01:54:13.585]  We know you carried out the attacks, we know you want us to be your slaves, and it ain't gonna work!
[01:54:13.585 --> 01:54:14.405]  No, it's not.
[01:54:14.405 --> 01:54:16.226]  And I'm... Jigs up, murderers!
[01:54:16.226 --> 01:54:17.346]  Anything else, Chris?
[01:54:17.346 --> 01:54:23.988]  Yeah, I just also want to say that the, uh, Mellie's, uh, Tavern Entertainment Place put in, uh, thumb scanners and also, uh, DUI machines.
[01:54:23.988 --> 01:54:25.588]  There's a database that's set up in there.
