[00:00.000 --> 00:14.000]  And now, the tip of the spear, leading the fight to take back the nation, it's Olin Shroyer.
[31:42.000 --> 31:45.000]  So obviously the Super Female is amazing. I love it.
[31:45.000 --> 31:55.000]  Nascent iodine is essential. Survival Shield X2. If there's one product that I would say is life-changing that I would suggest it's nascent iodine Survival Shield X2.
[31:55.000 --> 31:59.000]  What a five-star rating. It's a win-win, infowarslife.com.
[32:01.000 --> 32:12.000]  I'm so excited. The new product at infowarslife.com, in a glass bottle, two-month servings filled to the brim, filled to the absolute top, the real red pill.
[32:12.000 --> 32:21.000]  This is a heart and brain pill, a new tropic that doesn't have any stimulants in it, but boy, does it stimulate because it's beyond that.
[32:21.000 --> 32:33.000]  Basically, I just went off what I saw of medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200 for the formulae,
[32:33.000 --> 32:37.000]  and I came up with our own formulae, working with some scientists and developers.
[32:37.000 --> 32:51.000]  The GMO made right here in America, 120 capsules, and ladies and gentlemen, you add the preglinone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[32:51.000 --> 33:09.000]  It is amazing. Red pill, now available at infowarslife.com, and your purchase fugs the operation.
[33:21.000 --> 33:46.000]  Here are the stories that illustrate where we are at right now, fellow humans on this space rock, hurtling through space and time as we understand it.
[33:46.000 --> 33:55.000]  You've got false flag attacks in Syria that the media willingly lies about knowingly.
[33:55.000 --> 34:03.000]  Tucker Carlson, you think he's the only one that knows what's going on, folks? Give me a break, okay? They know.
[34:03.000 --> 34:13.000]  But yet still they go along with it and they'll allow that to reach the White House, and then Trump will use that false flag attack to instigate World War III with Russia.
[34:13.000 --> 34:21.000]  Okay, so there's one story, you know, verge of World War III. Just one little story, right?
[34:21.000 --> 34:32.000]  Then you've got the FBI raiding Michael Cohen's office, office, home, home being renovated.
[34:32.000 --> 34:49.000]  FBI does multiple raids on Michael Cohen's properties, seizing documents, and act that many in the legal field and legal experts are saying was illegal, and very dangerous considering the precedent it could be setting.
[34:49.000 --> 35:06.000]  Well, you can just go raid anyone's office. I mean, think about it. Imagine if the same principle that was applied to investigating Trump was applied to every senator and every member of Congress, and they all had their lawyers' offices raided and documents seized.
[35:06.000 --> 35:27.000]  What do you think we would find in Nancy Pelosi's closet, in Chuck Schumer's closet, in Eric Swalwell's closet, in Kamala Harris's closet? Okay, so there you go. So verge of World War III and rogue attorneys, rogue FBI offices going fully rogue, no privacy rights, no rights to counsel, nothing.
[35:27.000 --> 35:38.000]  They can just take anything, seize anything, no laws. They're above the law. You're just a peon. You're a slave. You're subject to whatever the government wants and says.
[35:38.000 --> 35:49.000]  So that's the obvious stuff that everybody's talking about. But how about this? How about being on the verge of AI, if not already being in the middle of it?
[35:49.000 --> 35:59.000]  Mark Zuckerberg, and we've got the quote, we'll play the clip a little bit later, says he's optimistic that the AI tools they're putting into Facebook are going to remove hate speech.
[35:59.000 --> 36:17.000]  Then you've got AI crime predicting AI rolling out in India. So you've got social media using AI to target hate speech. Then you've got AI being used in China and India now to help in the crime fighting process.
[36:17.000 --> 36:27.000]  Then Elon Musk warns AI could create an immortal dictator from which we can never escape. What if we're already there and we don't even know it yet?
[36:27.000 --> 36:37.000]  And think about this as well. This is not one of my fields that I consider myself to be that well-versed on AI and tech stuff.
[36:37.000 --> 36:57.000]  I read about it so I can have a discussion, but I'm not that well-versed on it. But here's what I'm thinking. If this is how we're rolling out AI, if we're rolling out AI to censor hate speech and to fight crime, think about what we're grooming for the future of AI.
[36:57.000 --> 37:08.000]  If we are essentially creating AI and grooming it, and this is how it's being nurtured, think about what we're nurturing for the future of AI.
[37:08.000 --> 37:15.000]  It's going to think that the biggest problems are speech and making sure crime is stopped.
[37:15.000 --> 37:28.000]  So think about a dictator that operates like that, that's main focuses are censoring hate speech and stopping crime. How long before everyone ends up in a prison camp under that AI system? And that's what Elon Musk is warning.
[37:28.000 --> 37:35.000]  So there you go. No more laws. Government can do anything. Show me the man. I'll show you the crime.
[37:35.000 --> 37:51.000]  On the brink of World War 3 with Russia over a false flag in Syria that media and the government is going along with while nobody else wants this war. And then you've got AI being rolled out and experts saying it could become an immortal dictator.
[37:51.000 --> 38:11.000]  Still want to watch the Jersey Shore? Still want to watch who's got talent? Still want to know who Kim Kardashian is dating or her sisters are dating? Still want to make sure you know about every player on your favorite ball team?
[38:11.000 --> 38:25.000]  Well, if you do, I guess I'm actually envious of you. That you can live in such eternal bliss while the entire planet is on the verge of potential extinction.
[38:25.000 --> 38:38.000]  Whether it be AI, whether it be World War 3, whether it be a team of lawyers that looks into every human being with no bounds and no laws. Find me the man. I'll find you the crime.
[38:38.000 --> 38:54.000]  And that's where we're at. And that's where we're at. Now, let's real quick focus on why this situation with Mueller is so dangerous. Listen to what Rand Paul said on Fox last night that really puts it all into perspective.
[38:54.000 --> 39:08.000]  So I think this investigation no longer has much to do with Russia. But I would warn people around America who say, oh, they don't like the president. Oh, this is just fine because it's against President Trump. This is an enormous power that can be used against anybody.
[39:08.000 --> 39:22.000]  You remember what Chuck Schumer said a couple of months ago? He says, if you cross the intelligence agencies, they can screw you six ways to Sunday. This is about enormous power, prosecutorial power, but also power in the intelligence communities.
[39:22.000 --> 39:28.000]  We have to rein this in or every American citizen is exposed to this kind of abuse.
[39:28.000 --> 39:36.000]  How would you rein it in? We should find a major political crisis. Fire, Mueller potentially will talk about that.
[39:36.000 --> 39:46.000]  You're right. It's actually hard politically to fire Mueller. But the thing is, we never should have had perhaps not the right thing to do at this time given too much power to a prosecutor who's no longer looking at Russia.
[39:46.000 --> 39:56.000]  He's looking at some kind of personal dealings with the president's lawyer. And imagine once they get this, they've got all of the information that the president was never looking at Russia, though.
[39:56.000 --> 40:07.000]  Oh, we're not going to use the stuff that's attorney-client privilege, but they're going to read it. And you think once they've read it, it might give them ideas of other places to look. There's this concept called parallel construction.
[40:07.000 --> 40:15.000]  They don't actually use the information they read. So think about this. So as Rand Paul correctly points out, don't forget about Chuck Schumer.
[40:15.000 --> 40:22.000]  I mean, the intelligence agencies, they got five ways of Sunday to getting back at you.
[40:22.000 --> 40:29.000]  Well, what the hell does that mean? Do you just threaten the president with the intelligence agencies? Oh, and then what do the intelligence agencies do?
[40:29.000 --> 40:49.000]  They lie about Russian collusion. They lie about a chemical attack in Syria, and then they box Trump into a corner where he's either forced into World War III with Russia, or he has to back down to a chemical attack in Syria because he's a Russian agent.
[40:49.000 --> 41:07.000]  Oh, is that what you were talking about? You dirty rat, Chuck Schumer? But now Chuck Schumer has introduced a bill to protect Robert Mueller from being fired. Guys, roll clip 16.
