[00:00.000 --> 00:10.000]  And I grow up, I always be around you guys!
[40:06.000 --> 40:14.000]  And I hate to use that analogy, but it's true. America is the is the cream dollar cream of Renaissance people want it, but they won't let us have it.
[40:14.000 --> 40:24.000]  You know, if you had a radio show helping transgender handicapped people trying to give them entered entertainment, no one would ban you from anywhere.
[40:24.000 --> 40:35.000]  If I wrote a book on how to help gay gay couples or if I wrote a book on how to help people who like to wear furry costumes, how they can mate, no one would ban me too.
[40:35.000 --> 40:58.000]  Once you help the strongest members of people in this country, then they're going to go after you. If you're attacking, if you are helping families, if you're helping straight men, if you're just helping people try to live normal lives, trying to be as self sufficient as possible, trying to help men and women connect, trying to have a nuclear family.
[40:58.000 --> 41:03.000]  If you're igniting the true power of the species, you must be blocked.
[41:03.000 --> 41:11.000]  So, I mean, this is, if I like, I have a cover on my book, it's basically a man and a woman sitting under a tree.
[41:11.000 --> 41:16.000]  It's a beautiful cover. It's so romantic. It makes me want to sit under a tree with my wife.
[41:16.000 --> 41:35.000]  But if I put two SJWs with blue hair weighing 500 pounds each and them doing some weird things, then Amazon would feature it on their home page. So what we have is this inversion where anything that was normal or should be is now wrong and it's hate speech.
[41:35.000 --> 41:38.000]  You're going to be banned. You're going to be called a racist.
[41:38.000 --> 41:48.000]  Beauty and function and things that work ergonomically that are designed or being attacked because if you go back to the leftist controlling the CIA in the 60s, this is declassified.
[41:48.000 --> 41:56.000]  They said, we want ugly buildings that crush your spirit. We want ugly art to hold it up so that people reject beauty. And that's it.
[41:56.000 --> 42:06.000]  It's a feedback loop that they give all these weird betas, a program to be hateful and dumb and evil. And if they do it, they get promoted. It's a very satanic plan.
[42:06.000 --> 42:21.000]  If I said that every man should drink a liter of soy juice every day or soy milk every day and explore the other gender, maybe I'd get interviews on CNN.
[42:21.000 --> 42:29.000]  But the fact that I say men shouldn't do that, then they're going to make sure that my books don't even crack the top 1000.
[42:29.000 --> 42:42.000]  And let's talk about your books when we come back and Neil Strauss and all of it because, I mean, it's true, these leftist women on average are totally alone, totally freaked out, manhating and it's been done by design.
[42:42.000 --> 42:51.000]  And then it's a well-known phenomenon. I'm not going to get into too much of it, but like democratic strategist women and stuff literally worship conservative men.
[42:51.000 --> 42:59.000]  And, you know, I won't do it, but they want you to slap them around. You name it. We'll be right back.
[43:22.000 --> 43:36.000]  When paired with carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[43:36.000 --> 43:44.000]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age and outside toxins.
[43:44.000 --> 43:54.000]  There's no better time to try fluorolife and carnivore to see how well they can support your body. Don't miss out on the chance to fuel your body and support recovery.
[43:54.000 --> 44:18.000]  Try the InfoWars Life Daily Digestive Pack today.
[44:24.000 --> 44:30.000]  It's a unique delivery system to maximize the effects and give your body the tools it needs to support your body.
[44:30.000 --> 44:39.000]  Using a proprietary process, we've managed to make this powerhouse formula into a delicious, concentrated drink mix that's loaded with high-quality ingredients.
[44:39.000 --> 44:48.000]  Perfect for a hot summer day or relaxing at home, vitamin mineral fusion is loaded with 34 different essential vitamins, minerals, amino acids and more.
[44:48.000 --> 45:01.000]  Start supporting your body's needs in a great-tasting, natural and affordable drink mix with Vitamin Mineral Fusion today, available at InfoWarsStore.com.
[45:01.000 --> 45:10.000]  Alex Jones here with an extremely exciting announcement that will be a gift to yourself and a gift to the InfoWars to fight the globalist and live in a free society.
[45:10.000 --> 45:23.000]  Several years ago, I set out with top formulators in the US to create the strongest, most concentrated, over-the-top stamina, libido, workout brain formula that is safe.
[45:23.000 --> 45:34.000]  I know from using this myself the last few months and from seeing my friends and family use it that this new product is going to end up being the number one best-selling product at InfoWarsLife.com because it works so well.
[45:34.000 --> 45:42.000]  This is a gift you want to give yourself and the rest assured you're fighting the InfoWars so it's a total absolute sure win, no lose equation.
[45:42.000 --> 45:47.000]  Try AlphaPower, exclusively available at InfoWarsLife.com for yourself.
[45:47.000 --> 45:53.000]  Ladies and gentlemen, it's non-GMO, it's for your brain, it's for sports, it's for activities and it's made in the USA.
[45:53.000 --> 45:56.000]  Get your AlphaPower today at InfoWarsLife.com.
[45:56.000 --> 46:00.000]  Everybody needs to try AlphaPower today.
[46:00.000 --> 46:06.000]  Choose to take control of your chemistry with Survival Shield X2 and Biotru Selenium.
[46:06.000 --> 46:11.000]  This powerful combo is perfect for supporting your thyroid and health.
[46:11.000 --> 46:18.000]  Biotru Selenium's formula is far from synthetic and is made from a source of 100% organic mustard seed.
[46:18.000 --> 46:27.000]  Our super high quality nascent iodine is an essential mineral sourced of 99.99% ultra-pure deep earth iodine crystals.
[46:27.000 --> 46:35.000]  This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue and organ in the body.
[46:35.000 --> 46:42.000]  With inadequate thyroid hormones you may experience slow metabolism, lethargy, weight gain and overall brain fog.
[46:42.000 --> 46:48.000]  Survival Shield X2 and Biotru Selenium work together to support the systems in your body.
[46:48.000 --> 46:52.000]  Take control of your chemistry today with this super combo.
[46:52.000 --> 47:00.000]  Discover the power of Survival Shield X2 and Biotru Selenium at InfoWarsLife.com.
[47:22.000 --> 47:24.000]  We are back live, ladies and gentlemen.
[47:24.000 --> 47:27.000]  So, like night follows day and day follows night,
[47:27.000 --> 47:33.000]  and Alex Jones, now every conservative, every libertarian, every commonsense person,
[47:33.000 --> 47:41.000]  survival, military sites, pro-gun sites, self-helps, everything's being blocked that's positive.
[47:41.000 --> 47:48.000]  We're being demoralized like a foreign occupying army that takes over your country, demoralizes you.
[47:48.000 --> 47:53.000]  These are classic tactics they're using. We're going to go back to best-selling author,
[47:53.000 --> 47:59.000]  Ruch V, who just had his book game that was going to the top of the charts band along with eight or nine other books of his,
[47:59.000 --> 48:02.000]  and where he thinks this is all going and how prompts to strike back.
[48:02.000 --> 48:06.000]  But first, I got some good news and I got some bad news.
