[00:00.000 --> 00:25.800]  We now take you live to the Central Texas Command Center in the heart of the resistance,
[01:42:36.760 --> 01:42:40.480]  It's one hell of a time to be alive and if you go to thestoneculture.com, you'll find
[01:42:40.480 --> 01:42:41.480]  it all.
[01:42:41.480 --> 01:42:45.800]  Roger Stone will talk to you tomorrow night, 10.30 Eastern, 9.30 Central during the post-debate
[01:42:45.800 --> 01:42:46.800]  coverage.
[01:42:46.800 --> 01:42:47.800]  Thank you, sir.
[01:42:47.800 --> 01:42:48.800]  It could be here.
[01:42:48.800 --> 01:42:49.800]  Yeah, good to be here.
[01:42:49.800 --> 01:42:54.120]  This is a hell of a time to be alive and in FullWars.com, and believe it, we are the
[01:42:54.120 --> 01:42:55.120]  tip of the spear.
[01:42:55.120 --> 01:42:56.120]  That ain't high.
[01:42:56.120 --> 01:42:57.120]  We are it, baby.
[01:42:57.120 --> 01:42:58.120]  Stay with us.
[01:42:58.120 --> 01:42:59.120]  Leigh Ann's coming up.
[01:42:59.120 --> 01:43:03.320]  Listen carefully, because I'm about to point out three things that will save you a lot
[01:43:03.320 --> 01:43:08.280]  of money while you get high quality products and fund the InfoWars, a 360 win.
[01:43:08.280 --> 01:43:13.240]  Number one, when you choose AutoShip before checkout, we give you 10% off on your order
[01:43:13.240 --> 01:43:14.840]  at InfoWars.com.
[01:43:14.840 --> 01:43:18.680]  Number two, you're also able to get items that are out of stock when you sign up for
[01:43:18.680 --> 01:43:22.760]  AutoShip because we hold back a surplus for AutoShip customers.
[01:43:22.760 --> 01:43:28.000]  Number three, we're giving you free shipping on all orders above $50.
[01:43:28.000 --> 01:43:32.120]  Customers have been requesting this for years because it's so easy to forget to reorder
[01:43:32.120 --> 01:43:33.880]  the products that you need each month.
[01:43:33.880 --> 01:43:38.320]  Just go to InfoWarsStore.com, select your favorite product or products, click on AutoShip
[01:43:38.320 --> 01:43:41.600]  and choose how often you want us to send you another order.
[01:43:41.600 --> 01:43:46.920]  As you know, I coined the term 360 win, and with the new AutoShip feature at InfoWarsLife.com,
[01:43:46.920 --> 01:43:48.280]  this is a sure win.
[01:43:48.280 --> 01:43:49.880]  10% off on AutoShip.
[01:43:49.880 --> 01:43:54.280]  Win, win, win at InfoWarsLife.com, free shipping on orders above $50.
[01:43:54.280 --> 01:43:58.120]  And all out of stock items are never out of stock when you sign up for AutoShip.
[01:43:58.120 --> 01:44:01.600]  Hey, everyone, pharmacist Ben Fuchs here, host of the Bright Side.
[01:44:01.600 --> 01:44:05.440]  And as many of you know, I'm on a mission to help Americans get and stay healthy.
[01:44:05.440 --> 01:44:09.120]  You've all heard the shocking statistics, despite spending trillions of dollars in health
[01:44:09.120 --> 01:44:13.200]  care, nearly $10,000 per man, woman, and child in this country.
[01:44:13.200 --> 01:44:17.800]  Obesity, diabetes, cancer, heart disease, and autoimmune illnesses are rampant.
[01:44:17.800 --> 01:44:21.080]  One out of three or four people is dealing with some kind of health challenge, and everyone
[01:44:21.080 --> 01:44:24.200]  knows at least one person with a degenerative disease.
[01:44:24.200 --> 01:44:26.920]  If you're dealing with a health challenge, or if you're healthy and want to maintain
[01:44:26.920 --> 01:44:30.880]  your vigor and longevity, and you're looking for a convenient, easy way to incorporate
[01:44:30.880 --> 01:44:35.440]  nutritional raw materials into your day-to-day lives to guarantee that your body is getting
[01:44:35.440 --> 01:44:39.600]  the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino acids
[01:44:39.600 --> 01:44:45.120]  it needs to do its healing work, you need to check out InfoWarsTeam.com.
[01:44:45.120 --> 01:44:47.000]  Give your body the gift of good nutrition.
[01:44:47.000 --> 01:44:49.440]  Head over to InfoWarsTeam.com.
[01:44:49.440 --> 01:44:51.280]  Your body will be very grateful.
[01:44:51.280 --> 01:44:54.400]  Follow the web at InfoWarsTeam.com.
[01:44:54.400 --> 01:44:56.400]  That's InfoWarsTeam.com.
[01:44:56.400 --> 01:45:05.760]  Uh, yeah, first of all, I want to say, Secret 12 X2 Supermale Brain Force Prostagart Silver
[01:45:05.760 --> 01:45:06.760]  Bullet.
[01:45:06.760 --> 01:45:07.760]  I use them all.
[01:45:07.760 --> 01:45:08.760]  They're phenomenal.
[01:45:08.760 --> 01:45:09.760]  They work.
[01:45:09.760 --> 01:45:10.760]  Buy them, folks.
[01:45:10.760 --> 01:45:11.760]  Thank you, brother.
[01:45:11.760 --> 01:45:12.760]  Thank you guys for putting those out there.
[01:45:12.760 --> 01:45:17.760]  I am a relatively short-time listener, and I'm quite a supporter of your fine, fine
[01:45:17.760 --> 01:45:18.760]  products.
[01:45:18.760 --> 01:45:19.760]  Welcome to the InfoWars.
[01:45:19.760 --> 01:45:25.040]  It's so easy to get these incredible nutraceuticals that support your health and the InfoWars
[01:45:25.040 --> 01:45:26.040]  at the same time.
[01:45:26.040 --> 01:45:27.040]  I'm a nine-year listener.
[01:45:27.040 --> 01:45:30.040]  I buy all the nutraceuticals, Casio FX, Nacinotin.
[01:45:30.040 --> 01:45:31.720]  Why, God, let me ask you a question.
[01:45:31.720 --> 01:45:32.720]  Have they worked for you?
[01:45:32.720 --> 01:45:35.640]  They're one of the most unbelievable products I've ever had in my life.
[01:45:35.640 --> 01:45:36.640]  What products are you taking?
[01:45:36.640 --> 01:45:37.640]  Are you taking?
[01:45:37.640 --> 01:45:43.080]  Everything from Supermale to Brain Force to Winter Sun, X2.
[01:45:43.080 --> 01:45:48.720]  Even got a little DNA force, so I just re-upped everything and I just went to Autofill.
[01:45:48.720 --> 01:45:53.720]  That's infowarslife.com to read the information and research and to see the reviews for yourself.
[01:45:53.720 --> 01:45:57.720]  That's infowarslife.com or call 888-253-3139.
[01:45:57.720 --> 01:46:01.440]  Dr. Grip, you developed Living Defense for us.
[01:46:01.440 --> 01:46:02.840]  It took you over a year to do it.
[01:46:02.840 --> 01:46:04.600]  Why is this so good?
[01:46:04.600 --> 01:46:09.200]  Because people are actually waking up to the problem that pretty much scares me the most.
[01:46:09.200 --> 01:46:13.880]  I mean, I try to make sure that I don't put toxins from food and water and beverages in
[01:46:13.880 --> 01:46:14.880]  my system.
[01:46:14.880 --> 01:46:20.880]  Right now, we're dealing with massive parasites, which is anything that's harmful to your body
[01:46:20.880 --> 01:46:22.920]  that lives off a host mechanism.
[01:46:22.920 --> 01:46:28.000]  Right now, with all the refugees spreading disease around, we have biological warfare
[01:46:28.000 --> 01:46:29.280]  going on everywhere.
[01:46:29.280 --> 01:46:30.280]  These are all parasites.
[01:46:30.280 --> 01:46:33.000]  Tell us about all the stuff that said that there's so many things that are in it.
[01:46:33.000 --> 01:46:34.240]  You have the neem in there.
[01:46:34.240 --> 01:46:37.320]  You have the organic clove bud, the organic wormwood.
[01:46:37.320 --> 01:46:40.600]  I recommend doing a parasite cleanse at least twice a year.
[01:46:40.600 --> 01:46:41.600]  All right.
[01:46:41.600 --> 01:46:43.800]  Well, I'm glad we've got some back in because I'm going back on it today.
[01:46:43.800 --> 01:46:47.680]  We just came back in yesterday, Living Defense, infowarslife.com, and folks, you can't lose.
[01:46:47.680 --> 01:46:50.600]  It's full of stuff that's great for your body, period.
[01:46:50.600 --> 01:46:53.880]  And you can support the broadcast, infowarslife.com.
[01:46:53.880 --> 01:46:56.120]  Thank you, Dr. Group, from the Global Healing Center.
[01:46:56.120 --> 01:47:03.440]  Thank you so much for all your work, sir, on this great product.
[01:47:03.440 --> 01:47:14.280]  We're listening to the Alex Jones show.
[01:47:14.280 --> 01:47:24.240]  We now take you live to the Central Texas Commencement and the heart of the resistance.
[01:47:24.240 --> 01:47:25.240]  You know what's great?
[01:47:25.240 --> 01:47:26.240]  That's so hot.
[01:47:26.240 --> 01:47:27.240]  Rallying Patriots Worldwide.
[01:47:27.240 --> 01:47:28.240]  All through.
[01:47:28.240 --> 01:47:29.240]  All we do.
[01:47:29.240 --> 01:47:32.520]  Culture is your listening.
[01:47:32.520 --> 01:47:35.520]  We're listening to the Alex Jones show.
[01:47:35.520 --> 01:47:39.520]  Stand up and be counted for what you are about to receive.
[01:47:39.520 --> 01:47:41.520]  We are the demons.
[01:47:41.520 --> 01:47:43.520]  We'll give you everything you need.
[01:47:43.520 --> 01:47:45.520]  Hold on to the good times.
[01:47:45.520 --> 01:47:46.520]  All right, Liam.
[01:47:46.520 --> 01:47:47.520]  We've got 10 minutes left.
[01:47:47.520 --> 01:47:52.240]  We didn't take calls that we will tomorrow, 11 a.m. to 3 p.m. the weekday show.
[01:47:52.240 --> 01:47:57.040]  Huge coverage, 7 o'clock Central, past 10 o'clock of the live debate.
[01:47:57.040 --> 01:48:00.320]  Huge tomorrow, infowars.com, forward slash show.
[01:48:00.320 --> 01:48:04.640]  Get your friends and family and neighbors with that link to tune in infowars.com, forward
[01:48:04.640 --> 01:48:05.640]  slash show.
[01:48:05.640 --> 01:48:07.600]  This is a battle against mainstream media.
[01:48:07.600 --> 01:48:09.400]  It's a battle for hearts and minds.
[01:48:09.400 --> 01:48:10.400]  It's an info war.
[01:48:10.400 --> 01:48:11.400]  Liam, take over.
[01:48:11.400 --> 01:48:13.640]  I am really excited about tomorrow night's coverage.
[01:48:13.640 --> 01:48:18.080]  I know I'm just going to be one of the millions, tens of millions of people out there that
[01:48:18.080 --> 01:48:21.960]  are watching this debate and cannot wait with baited breath.
[01:48:21.960 --> 01:48:26.760]  We're all sitting and of course, when the the announcement that Trump said, perhaps
[01:48:26.760 --> 01:48:29.680]  I'll bring Jennifer Flowers in and have her sit on the front row.
[01:48:29.680 --> 01:48:33.200]  I just was like, oh my gosh, grab the popcorn.
[01:48:33.200 --> 01:48:37.040]  It just got real ringside seats to this show.
[01:48:37.040 --> 01:48:38.440]  It just got gangster.
[01:48:38.440 --> 01:48:39.440]  Yeah.
[01:48:39.440 --> 01:48:43.800]  I mean, Trump does not care, but you know, they would really don't have enough room in
[01:48:43.800 --> 01:48:49.480]  the audience for all of the women who are Bill Clinton's alleged sexual victims.
[01:48:49.480 --> 01:48:54.200]  So yeah, but, but truly it was, it was interesting being able to talk to young people.
[01:48:54.200 --> 01:48:58.800]  There was a young girl, I was out and trying to explain to her who this woman was and she
[01:48:58.800 --> 01:48:59.800]  had no idea.
[01:48:59.800 --> 01:49:03.760]  And that's what's so key about how Trump could play the media like that and force them to
[01:49:03.760 --> 01:49:07.960]  have to talk about who Jennifer Flowers was like back to the future.
[01:49:07.960 --> 01:49:11.760]  Young people are a massive voting block now.
[01:49:11.760 --> 01:49:14.880]  And they have no idea about who the Clintons really are.
[01:49:14.880 --> 01:49:16.960]  So I think that was pretty awesome.
[01:49:16.960 --> 01:49:25.360]  But one thing that concerns me is regardless of who wins this election, we have wars on
[01:49:25.360 --> 01:49:31.080]  all fronts right now, not only World War III as the Pentagon is demanding a no-fly zone
[01:49:31.080 --> 01:49:35.800]  for Russia over Syria, which you sent me the video yesterday with General Dunford basically
[01:49:35.800 --> 01:49:38.040]  saying I'm not going to call for a no-fly zone.
[01:49:38.040 --> 01:49:39.360]  He said this means war with Russia.
[01:49:39.360 --> 01:49:43.640]  This means we're going to war with not only Russia, but also Syria.
[01:49:43.640 --> 01:49:49.840]  And not only that, but it wasn't at the U.S. that was making those accidental air strikes.
[01:49:49.840 --> 01:49:52.600]  So why are they the only ones that are allowed to fly?
[01:49:52.600 --> 01:49:53.600]  So they can take out.
[01:49:53.600 --> 01:49:56.280]  No generals don't want to do this, but it's our own elite that are doing it, they're
[01:49:56.280 --> 01:49:57.280]  disconnected.
[01:49:57.280 --> 01:49:58.280]  What does your gut tell you?
[01:49:58.280 --> 01:49:59.280]  I can't believe it.
[01:49:59.280 --> 01:50:01.480]  She can't show up for 20 minutes of speech for months.
[01:50:01.480 --> 01:50:04.680]  How's she going to debate Donald Trump commercial free for 90 minutes?
[01:50:04.680 --> 01:50:08.360]  I mean, I don't want to be proven wrong, but my gut tells me she can't show, or maybe
[01:50:08.360 --> 01:50:09.360]  she can't.
[01:50:09.360 --> 01:50:10.680]  I mean, what's going to happen?
[01:50:10.680 --> 01:50:17.240]  Okay, well, let's not put it past the rich and super powerful, the type of life extension
[01:50:17.240 --> 01:50:19.520]  technology they're going to be pumping into this woman.
[01:50:19.520 --> 01:50:20.520]  Baby blood transfusions.
[01:50:20.520 --> 01:50:21.520]  Totally.
[01:50:21.520 --> 01:50:23.020]  She's taken the last six days off.
[01:50:23.020 --> 01:50:24.020]  19 babies.
[01:50:24.020 --> 01:50:25.020]  Whole sacrifice.
[01:50:25.020 --> 01:50:26.020]  Yeah.
[01:50:26.020 --> 01:50:27.020]  Like she's going to be.
[01:50:27.020 --> 01:50:28.020]  We're being sarcastic.
[01:50:28.020 --> 01:50:29.020]  Blu.
[01:50:29.020 --> 01:50:30.020]  Blu.
[01:50:30.020 --> 01:50:31.020]  Blu.
[01:50:31.020 --> 01:50:32.020]  Blu.
[01:50:32.020 --> 01:50:33.020]  Blu.
[01:50:33.020 --> 01:50:34.020]  Blu.
[01:50:34.020 --> 01:50:35.020]  Blu.
[01:50:35.020 --> 01:50:36.020]  Blu.
[01:50:36.020 --> 01:50:37.020]  Blu.
[01:50:37.020 --> 01:50:38.020]  Blu.
[01:50:38.020 --> 01:50:39.020]  Blu.
[01:50:39.020 --> 01:50:40.020]  Blu.
[01:50:40.020 --> 01:50:41.020]  Blu.
[01:50:41.020 --> 01:50:42.020]  Blu.
[01:50:42.020 --> 01:50:43.020]  Blu.
[01:50:43.020 --> 01:50:44.020]  Blu.
[01:50:44.020 --> 01:50:45.020]  Blu.
[01:50:45.020 --> 01:50:46.020]  Blu.
[01:50:46.020 --> 01:50:47.020]  Blu.
[01:50:47.020 --> 01:50:48.020]  Blu.
[01:50:48.020 --> 01:50:49.020]  Blu.
[01:50:49.020 --> 01:50:50.020]  Blu.
[01:50:50.020 --> 01:50:51.020]  Blu.
[01:50:51.020 --> 01:50:52.020]  Blu.
[01:50:52.020 --> 01:50:53.020]  Blu.
[01:50:53.020 --> 01:50:54.020]  Blu.
[01:50:54.020 --> 01:50:55.020]  Blu.
[01:50:55.020 --> 01:50:56.020]  Blu.
[01:50:56.020 --> 01:50:57.020]  Blu.
[01:50:57.020 --> 01:50:58.020]  Blu.
[01:50:58.020 --> 01:50:59.020]  Blu.
[01:50:59.020 --> 01:51:00.020]  Blu.
[01:51:00.020 --> 01:51:01.020]  Blu.
[01:51:01.020 --> 01:51:02.020]  Blu.
[01:51:02.020 --> 01:51:03.020]  Blu.
[01:51:03.020 --> 01:51:04.020]  Blu.
[01:51:04.020 --> 01:51:05.020]  Blu.
[01:51:05.020 --> 01:51:06.020]  Blu.
[01:51:06.020 --> 01:51:07.020]  Blu.
[01:51:07.020 --> 01:51:08.020]  Blu.
[01:51:08.020 --> 01:51:09.020]  Blu.
[01:51:09.020 --> 01:51:10.020]  Blu.
[01:51:10.020 --> 01:51:11.020]  Blu.
[01:51:11.020 --> 01:51:11.860]  Blu.
[01:51:11.860 --> 01:51:12.860]  Blu.
[01:51:12.860 --> 01:51:13.860]  Blu.
[01:51:13.860 --> 01:51:14.860]  Blu.
[01:51:14.860 --> 01:51:15.860]  Blu.
[01:51:15.860 --> 01:51:16.780]  Blu.
[01:51:16.780 --> 01:51:17.780]  Blu.
[01:51:17.780 --> 01:51:18.780]  Blu.
[01:51:18.780 --> 01:51:19.780]  Blu.
[01:51:19.780 --> 01:51:20.780]  Blu.
[01:51:20.780 --> 01:51:21.780]  Blu.
[01:51:21.780 --> 01:51:25.400]  everything that's thrown his way and then it just makes him more powerful like the whole
[01:51:25.400 --> 01:51:26.400]  Pepe debacle.
[01:51:26.400 --> 01:51:31.680]  I didn't know that frogs were racist, but I didn't see one at the park the other day.
[01:51:31.680 --> 01:51:33.800]  They were all racist from frog and I.
[01:51:33.800 --> 01:51:40.280]  Racist, riveting, but I think that what Hillary Clinton is going to try and do is lob these
[01:51:40.280 --> 01:51:44.280]  bombs at Trump to throw him off his game because he's, I think he's going to go in there and
[01:51:44.280 --> 01:51:47.680]  try to, you know, appear presidential and she's going to try to piss him off.
[01:51:47.680 --> 01:51:52.380]  She's going to try and throw him off and make him react in some way so that she can then
[01:51:52.380 --> 01:51:55.880]  for the next week with the news, they can say he's unfit to be president.
[01:51:55.880 --> 01:51:57.780]  He, that's not presidential at all.
[01:51:57.780 --> 01:51:59.420]  Oh my goodness.
[01:51:59.420 --> 01:52:03.180]  Just like they were when he said something about Jennifer Flowers, they were like, I
[01:52:03.180 --> 01:52:04.180]  have some class.
[01:52:04.180 --> 01:52:05.180]  I agree.
[01:52:05.180 --> 01:52:10.340]  But I mean, at your gut level, no one knows special drugs resting a week.
[01:52:10.340 --> 01:52:14.820]  Does she arrogantly try to make it because she gave a speech Monday and was like 10 minutes
[01:52:14.820 --> 01:52:18.600]  and she was coughing and she went on stage and then her eyes are pointing different
[01:52:18.600 --> 01:52:21.580]  directions with these green screens, these short things she does.
[01:52:21.580 --> 01:52:23.580]  I mean, how does she go up against Trump for 90 minutes?
[01:52:23.580 --> 01:52:26.220]  I don't see her showing up, Leigh Ann.
[01:52:26.220 --> 01:52:27.220]  I don't know.
[01:52:27.220 --> 01:52:30.960]  You know, we don't just say she's sick and the Secret Service told us she has convulsions
[01:52:30.960 --> 01:52:33.780]  every 15 minutes unless she's on a bunch of drugs.
[01:52:33.780 --> 01:52:34.900]  And then she's so drugged up.
[01:52:34.900 --> 01:52:37.740]  She looks like she's, you know, Mr. Sleepy else.
[01:52:37.740 --> 01:52:38.740]  Right.
[01:52:38.740 --> 01:52:44.020]  And that's the thing is like people, people forget that before she even admitted to having
[01:52:44.020 --> 01:52:48.180]  pneumonia, she was taking days off from the campaign trail.
[01:52:48.180 --> 01:52:51.180]  She was already taking days of rest.
[01:52:51.180 --> 01:52:52.180]  It's not just all of a sudden.
[01:52:52.180 --> 01:52:53.180]  So what's your gut tell you?
[01:52:53.180 --> 01:52:54.180]  Does she show up?
[01:52:54.180 --> 01:52:55.180]  I think she's arrogant.
[01:52:55.180 --> 01:52:57.660]  I think she shows up and then has coughing fits.
[01:52:57.660 --> 01:53:00.780]  Remember one debate she had 10 minutes in the bathroom.
[01:53:00.780 --> 01:53:02.940]  I know she could, she couldn't come back on time.
[01:53:02.940 --> 01:53:06.780]  What if Trump lovingly changed her diaper?
[01:53:06.780 --> 01:53:10.460]  I hate to make predictions like that, but I've got to tell you, I kind of got a little
[01:53:10.460 --> 01:53:15.100]  excited last week and like some goosebumps because I was like, man, she's going to cough.
[01:53:15.100 --> 01:53:18.700]  The way they had a dream over a month ago where she was in a debate with Trump and falls
[01:53:18.700 --> 01:53:22.260]  over during it and like hits her head.
[01:53:22.260 --> 01:53:23.940]  But Trump says something mean and she doesn't.
[01:53:23.940 --> 01:53:24.940]  So it's his fault.
[01:53:24.940 --> 01:53:25.940]  Oh, of course.
[01:53:25.940 --> 01:53:26.940]  So she wins the election.
[01:53:26.940 --> 01:53:31.180]  How dare he attack her and throw those accusations that she caused her to faint.
[01:53:31.180 --> 01:53:34.700]  But that's the thing is like with everything that's propping this woman up, all of the
[01:53:34.700 --> 01:53:39.020]  media outlets out there, all the newspapers, all of the establishment, every single thing
[01:53:39.020 --> 01:53:44.020]  that she's got working for her, it's her health and her dark heart.
[01:53:44.020 --> 01:53:46.100]  What do you think is going on with her?
[01:53:46.100 --> 01:53:50.380]  She does look progressively worse than I actually, as a fellow human, feel sorry for at least
[01:53:50.380 --> 01:53:51.380]  that body.
[01:53:51.380 --> 01:53:52.380]  You know, I have empathy.
[01:53:52.380 --> 01:53:53.380]  I mean, I don't like her seeing her.
[01:53:53.380 --> 01:53:54.380]  It's not nice.
[01:53:54.380 --> 01:53:55.380]  What do you think is going on with her?
[01:53:55.380 --> 01:53:58.300]  Well, she should just be, you know, now she's your sweet little grandma.
[01:53:58.300 --> 01:54:03.700]  Honestly, Alex, I think people, you embody that cancer.
[01:54:03.700 --> 01:54:07.340]  You can only hide it for so long or treat yourself with these life extension technologies
[01:54:07.340 --> 01:54:12.860]  for so long, but if you're truly an evil person and you're bad continuously for decades lying
[01:54:12.860 --> 01:54:17.060]  to people, that starts to fester inside of your body like a cancer.
[01:54:17.060 --> 01:54:19.700]  So Hillary's cancer has come home, whether it's spiritual or physical.
[01:54:19.700 --> 01:54:20.700]  I agree.
[01:54:20.700 --> 01:54:21.700]  That's what I think.
[01:54:21.700 --> 01:54:22.700]  That's truly right.
[01:54:22.700 --> 01:54:26.460]  I mean, I'm kind of saying what you're saying, so what does your gut tell you?
[01:54:26.460 --> 01:54:30.220]  Because it's, I mean, for me, I keep saying emblematic, but it really is a symbol of the
[01:54:30.220 --> 01:54:33.060]  corrupt, disconnected elite that they think they could run.
[01:54:33.060 --> 01:54:36.300]  Hillary, who was having brain surgery reportedly four years ago.
[01:54:36.300 --> 01:54:38.860]  I mean, why do they think we're so stupid?
[01:54:38.860 --> 01:54:43.300]  Well, that's what Matt Drudge said is that they think the American people are so stupid
[01:54:43.300 --> 01:54:47.140]  that they could literally have Hillary Clinton's brain in a jar.
[01:54:47.140 --> 01:54:51.460]  Lo and behold, a year later, it might just be Hillary Clinton's brain in a jar that's
[01:54:51.460 --> 01:54:52.460]  up there debating jobs.
[01:54:52.460 --> 01:54:55.660]  I might vote for your brain in a jar, but not Hillary's.
[01:54:55.660 --> 01:54:59.020]  Oh man, but can you imagine her body's not going to make it?
[01:54:59.020 --> 01:55:00.020]  That's, and that's a thing.
[01:55:00.020 --> 01:55:03.740]  It's like, you got to read that fine print when you make those deals with the devil.
[01:55:03.740 --> 01:55:04.900]  You know?
[01:55:04.900 --> 01:55:08.260]  Well Hillary is somebody that always smacks her lips about death and she goes out of her
[01:55:08.260 --> 01:55:09.740]  way to kill Christians and others.
[01:55:09.740 --> 01:55:10.740]  Yeah.
[01:55:10.740 --> 01:55:12.100]  I mean, we get the whole spirit world.
[01:55:12.100 --> 01:55:13.980]  She's a very wicked person.
[01:55:13.980 --> 01:55:15.060]  I agree.
[01:55:15.060 --> 01:55:19.580]  And that's the thing that's so frightening about it is that with this propping up whoever
[01:55:19.580 --> 01:55:23.020]  gets in, they're going to have to be dealing with the whole mess.
[01:55:23.020 --> 01:55:26.420]  So we got Syria, the World War III that they're working on.
[01:55:26.420 --> 01:55:29.580]  And then we have here in our own country, civil unrest.
[01:55:29.580 --> 01:55:32.900]  I mean, look at the state of the country that we're in and how they've had to, in order
[01:55:32.900 --> 01:55:36.940]  to make it not a class war, because all the elite are, you know, getting all their bunkers
[01:55:36.940 --> 01:55:37.940]  and stuff ready.
[01:55:37.940 --> 01:55:39.420]  They don't want the class war just yet.
[01:55:39.420 --> 01:55:43.900]  So they have to have the race war to continue propping up this failed system for a little
[01:55:43.900 --> 01:55:44.900]  while longer.
[01:55:44.900 --> 01:55:45.900]  That's right.
[01:55:45.900 --> 01:55:50.020]  Race war is before the class war, because we don't want all the rich rappers and stuff
[01:55:50.020 --> 01:55:51.020]  getting looted.
[01:55:51.020 --> 01:55:54.340]  It's so sad because I don't want to fight anybody.
[01:55:54.340 --> 01:55:55.340]  I don't want to be racist.
[01:55:55.340 --> 01:56:00.260]  I don't want to be brace-based, but it's so naked when a black cop's pulling gloves out
[01:56:00.260 --> 01:56:01.260]  of his pocket.
[01:56:01.260 --> 01:56:03.060]  He's dropping guns on some guy.
[01:56:03.060 --> 01:56:10.500]  Or how programmed your mind has to be that your brother gets shot by a black police officer.
[01:56:10.500 --> 01:56:14.140]  And yet you look at the camera and you say, white cops are the devil, white people are
[01:56:14.140 --> 01:56:15.140]  the devil.
[01:56:15.140 --> 01:56:18.460]  And it's like, dude, your brother was killed by a black cop.
[01:56:18.460 --> 01:56:22.740]  What is, you're that programmed that it's still white people's fault?
[01:56:22.740 --> 01:56:25.220]  Like we're just, it's just so racially charged.
[01:56:25.220 --> 01:56:26.220]  Lee Ann, I'm excited.
[01:56:26.220 --> 01:56:30.500]  You'll be here with us tomorrow kicking off at seven o'clock central with an hour of
[01:56:30.500 --> 01:56:33.020]  live coverage before we'll have the debate with limited comment.
[01:56:33.020 --> 01:56:37.020]  We're going to just stream it in four wars.com, four slash show listeners, viewers, spread
[01:56:37.020 --> 01:56:38.940]  that link, defeat the mainstream media.
[01:56:38.940 --> 01:56:39.940]  We the biggest audience out there.
[01:56:39.940 --> 01:56:40.940]  We probably will.
[01:56:40.940 --> 01:56:41.940]  It's going to be huge.
[01:56:41.940 --> 01:56:46.420]  And then we're going to continue on after with live analysis and it's going to be huge.
[01:56:46.420 --> 01:56:47.900]  Cross your fingers though.
[01:56:47.900 --> 01:56:48.900]  Does Hillary show up?
[01:56:48.900 --> 01:56:49.900]  Is she arrogant enough?
[01:56:49.900 --> 01:56:50.900]  I say 50 50.
[01:56:50.900 --> 01:56:51.900]  Lee Ann, what do you say?
[01:56:51.900 --> 01:56:54.420]  I say she's going to show up, but I agree.
[01:56:54.420 --> 01:56:55.860]  I think she's going to have a coughing fit.
[01:56:55.860 --> 01:56:57.140]  I think she's arrogant enough.
[01:56:57.140 --> 01:57:00.820]  I think she's going to show up and on drugs though.
[01:57:00.820 --> 01:57:01.820]  She's going to be whacked.
[01:57:01.820 --> 01:57:02.820]  She's going to be whacked.
[01:57:02.820 --> 01:57:04.820]  So they were like, why ain't I 50 point ahead?
[01:57:04.820 --> 01:57:06.820]  I'm like, I'm ready to debate.
[01:57:06.820 --> 01:57:07.820]  Who got these TVs?
[01:57:07.820 --> 01:57:08.820]  Bitch.
[01:57:08.820 --> 01:57:09.820]  Tell me that.
[01:57:09.820 --> 01:57:14.820]  I mean, she is just like, you know, why am I 50 points?
[01:57:14.820 --> 01:57:15.820]  All right.
[01:57:15.820 --> 01:57:16.820]  Lee Ann.
[01:57:16.820 --> 01:57:17.820]  Great job.
[01:57:17.820 --> 01:57:18.820]  Great job.
[01:57:18.820 --> 01:57:19.820]  To the crew.
[01:57:19.820 --> 01:57:20.820]  Tomorrow.
[01:57:20.820 --> 01:57:21.820]  11 a.m.
[01:57:21.820 --> 01:57:22.820]  Central.
[01:57:22.820 --> 01:57:24.820]  Pick off of the four hour transmission, the big transmission.
[01:57:24.820 --> 01:57:27.820]  7 o'clock Central spread the word is the final countdown.
[01:57:27.820 --> 01:57:28.820]  Countdown.
[01:57:28.820 --> 01:57:29.820]  Countdown.
[01:57:33.820 --> 01:57:35.820]  Will America awaken?
[01:57:35.820 --> 01:57:38.820]  Will we take back control of our republic from the globalist?
[01:57:38.820 --> 01:57:41.820]  There's only 43 days until the general election.
[01:57:41.820 --> 01:57:55.820]  This is the info war and we are winning.
