[00:00.000 --> 00:25.000]  This is our land, these are our people, the workers, the strivers, the builders, these
[01:42:41.000 --> 01:42:45.000]  You get an additional 10% off, which means you don't have to worry about reordering it because you're going to forget.
[01:42:45.000 --> 01:42:46.000]  It'll come to your door.
[01:42:46.000 --> 01:42:48.000]  Auto ship, you can select the amount of days.
[01:42:48.000 --> 01:42:49.000]  We write back.
[01:42:49.000 --> 01:43:15.000]  Joining us on this broadcast to give us his breakdown.
[01:43:15.000 --> 01:43:20.000]  From top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[01:43:20.000 --> 01:43:25.000]  Extracted directly from the wild herb and sealed in easy to use capsines.
[01:43:25.000 --> 01:43:29.000]  You will no longer need to endure the burning of liquid oregano on the tongue.
[01:43:29.000 --> 01:43:35.000]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[01:43:35.000 --> 01:43:42.000]  Wild crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[01:43:42.000 --> 01:43:48.000]  This winter season it's more important than ever to secure this true form of oil oregano.
[01:43:48.000 --> 01:43:50.000]  Now available at infowarslife.com.
[01:43:50.000 --> 01:43:56.000]  That's infowarslife.com or call 888-253-3139.
[01:43:56.000 --> 01:43:57.000]  Hey, how you doing?
[01:43:57.000 --> 01:43:58.000]  Good brother.
[01:43:58.000 --> 01:44:00.000]  Just recently started using your products.
[01:44:00.000 --> 01:44:02.000]  Everything you said about them is correct.
[01:44:02.000 --> 01:44:06.000]  Me and my wife both use a lot of them and it's made a lot of changes in our lives here.
[01:44:06.000 --> 01:44:07.000]  Well thank you brother.
[01:44:07.000 --> 01:44:11.000]  It's because it also funds our operation but doing that I know I've got to have the highest quality.
[01:44:11.000 --> 01:44:19.000]  Super male vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[01:44:19.000 --> 01:44:22.000]  We did a super male and a super female vitality.
[01:44:22.000 --> 01:44:24.000]  Big changes, a lot of energy.
[01:44:24.000 --> 01:44:28.000]  We've gotten off to the cheap energy drinks, energy shots, a big ton of money there.
[01:44:28.000 --> 01:44:31.000]  Sourced from powerful organic herbs.
[01:44:31.000 --> 01:44:36.000]  Harvested around the planet and then concentrated or maximum potency.
[01:44:36.000 --> 01:44:42.000]  They want to stun and dumb down and energy drinks and stuff just cover that up for a while but then burn you out in my experience.
[01:44:42.000 --> 01:44:46.000]  Whereas stuff that gets your glands naturally going goes right to the source.
[01:44:46.000 --> 01:44:48.000]  So it's pretty exciting and I love it.
[01:44:48.000 --> 01:44:55.000]  Visit infowarslife.com today to secure your super male vitality and other powerful products from infowars life.
[01:44:57.000 --> 01:45:02.000]  Tell folks how you got introduced to super male and then when super female came out, tell us what happened.
[01:45:02.000 --> 01:45:07.000]  After I saw such a huge positive change in my husband, I had to try it for myself.
[01:45:07.000 --> 01:45:08.000]  Talk about the effects.
[01:45:08.000 --> 01:45:15.000]  I feel great when I wake up in the morning. I have drive to go to the gym. I feel like I look better. I feel better. I feel sexier. I love it.
[01:45:15.000 --> 01:45:21.000]  Even if you don't believe in supplements, take the challenge. Get a bottle of super male, a bottle of super female.
[01:45:21.000 --> 01:45:27.000]  Check it out for yourself. Consult your physician. Visit infowarslife.com today. This is life changing.
[01:45:27.000 --> 01:45:34.000]  Shower filters. We're introducing the best yet. The brand new Pro Pure Pro Max High Performance Shower Filter.
[01:45:34.000 --> 01:45:39.000]  It removes and reduces over 200 contaminants while preserving a strong powerful flow.
[01:45:39.000 --> 01:45:46.000]  This new four stage filtration process helps protect the largest organ in your body, your skin from the unhealthy contaminants in the water.
[01:45:46.000 --> 01:45:57.000]  You can find more details on this amazing new filter and free shipping at infowarsstore.com or call 888-253-3139 to order your Pro Max Shower Filter from Pro Pure today.
[01:45:57.000 --> 01:46:00.000]  I love our city. I love everything again. Why, why, why?
[01:46:00.000 --> 01:46:10.000]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[01:46:10.000 --> 01:46:16.000]  All of our children are hit with modern mind control. Television, music, fast food, GMOs, sugars, you name it.
[01:46:16.000 --> 01:46:22.000]  Young humans have not yet developed their nervous system and are being hammered daily by globalist concoctions.
[01:46:22.000 --> 01:46:27.000]  It's no wonder they can't focus and calm down and then are put on dangerous psychotropic drugs.
[01:46:27.000 --> 01:46:34.000]  Working with my team, we set out to find the best formula with the highest quality ingredients that children would actually like and take.
[01:46:34.000 --> 01:46:42.000]  We worked with the leading manufacturer in nutritional supplements that are safe for children to bring you the most affordable and powerful calming formula out there.
[01:46:42.000 --> 01:46:49.000]  Introducing Child Ease with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great.
[01:46:49.000 --> 01:47:09.000]  Obtain your Child Ease today at InfowarsLife.com. That's Child Ease exclusively at InfowarsLife.com.
[01:47:09.000 --> 01:47:20.000]  We are on the march. The empire is on the run. Alex Jones and the GCN Radio Network.
[01:47:20.000 --> 01:47:23.000]  We're living on the edge.
[01:47:23.000 --> 01:47:28.000]  Living on the edge. This is the Alex Jones show. I'm Anthony Gucciardi here with Rob Dew.
[01:47:28.000 --> 01:47:33.000]  And we've been breaking down a lot of the debate last night in the election cycles.
[01:47:33.000 --> 01:47:42.000]  And Alex Jones is scheduled to join us in this segment to give us his take. We're having some issues with the phone connection, but we're trying to get him on the air and online.
[01:47:42.000 --> 01:47:49.000]  And before we left you guys, we're talking about Marco Rubio, the robot repeating the same thing over and over again.
[01:47:49.000 --> 01:47:56.000]  And then also talking about a little bit off there, me and Rob were saying, isn't it amazing that almost none of the candidates show any emotion?
[01:47:56.000 --> 01:48:06.000]  Anthony, let us dispel the fiction that Barack Obama does not know what he is doing. He knows exactly what he is doing.
[01:48:06.000 --> 01:48:09.000]  I'm sorry, Marco Rubio, is that you?
[01:48:09.000 --> 01:48:15.000]  Let's not dispel this fiction that Barack Obama does not know what he is doing.
[01:48:15.000 --> 01:48:28.000]  Well, it's pretty absurd to me, right? We were saying, really, the only two candidates are Trump and a little bit for Ben Carson that speak like a regular human being and show any emotion and show any kind of passion.
[01:48:28.000 --> 01:48:37.000]  And I guess it's because we've been told, it's kind of the opposite of what we do here, we've been told to show any type of passion is bad, to show any type of emotion is bad.
[01:48:37.000 --> 01:48:42.000]  You have to be controlled, you have to get psychotropic drugs and you have to sit there and you share. You're not allowed to say anything.
[01:48:42.000 --> 01:48:52.000]  Let's be civil. So they think they have to sound like statesmen and they think they have to sound all official or Ted Cruz thinking he has to sound like, I'm very sorry to my fellow Americans.
[01:48:52.000 --> 01:48:58.000]  It's just sounding this weird, kind of fakey, plastic-y way. But what people want is for people to get upset.
[01:48:58.000 --> 01:49:03.000]  Right. And one person who does show emotion is Chris Christie at the buffet line. I know that for a fact.
[01:49:03.000 --> 01:49:07.000]  Well, hey, Chris Christie did a great job last night calling out Marco Rubio.
[01:49:07.000 --> 01:49:08.000]  He did.
[01:49:08.000 --> 01:49:18.000]  And actually, you know, he does show emotion too. He gets the credit. He shows emotion. He obviously has some interesting policy, but he does show emotion and he did attack Rubio very specifically.
[01:49:18.000 --> 01:49:20.000]  And he doesn't seem to do any scripts.
[01:49:20.000 --> 01:49:26.000]  Well, and I think he knows that Rubio is the one, the guy that they have to take down to get up to the Trump level because they see that.
[01:49:26.000 --> 01:49:30.000]  So all the governors are now attacking Rubio because they know when they attack Trump, he just rises in the polls.
[01:49:30.000 --> 01:49:36.000]  Well, I was also going to say, they kept saying on the news last night, why did no one attack Trump? Are they afraid of him?
[01:49:36.000 --> 01:49:42.000]  No, they're not afraid of him. I think it's because if they attack Trump, then Trump gets mentioned and he gets to respond,
[01:49:42.000 --> 01:49:48.000]  which means they're just dying to not give him any more air time and not to get smacked down by him too.
[01:49:48.000 --> 01:49:53.000]  Right. So if Chris Christie, for example, said, and Donald Trump, then Donald would say, well, you heard, you mentioned my name.
[01:49:53.000 --> 01:49:54.000]  I get to respond.
[01:49:54.000 --> 01:49:59.000]  So I get to talk and then they let them respond for 30 seconds and then over and over and over again because there was a lot of back and forth.
[01:49:59.000 --> 01:50:05.000]  And it's amazing to me. They let them respond like five times. It turns into like a total crap show, you may call it.
[01:50:05.000 --> 01:50:08.000]  Right. Where they're just bashing each other over and over again.
[01:50:08.000 --> 01:50:14.000]  But overall, I think the biggest thing that came out of it was Rubio's little surge of he's amazing.
[01:50:14.000 --> 01:50:21.000]  Now everyone worships him definitely got hit by a roadblock last night because I think it seems like the media even is turning on him.
[01:50:21.000 --> 01:50:23.000]  They tried. They tried to push him out.
[01:50:23.000 --> 01:50:25.000]  Well, you know, maybe he'll finish a strong second.
[01:50:25.000 --> 01:50:29.000]  But overall, he's definitely not climbing anymore because people realize what's going on.
[01:50:29.000 --> 01:50:32.000]  Yeah. And, you know, you're going to see that he'll get knocked down.
[01:50:32.000 --> 01:50:36.000]  I can't believe Kasek is still in at this point. I don't know where his money is coming from.
[01:50:36.000 --> 01:50:44.000]  The guy is a total he's been pulling at 0.0.0 for the last since he started.
[01:50:44.000 --> 01:50:46.000]  Now, nobody cares. Why is he still on the stage?
[01:50:46.000 --> 01:50:50.000]  And then they had him on. I don't remember it was ABC or CNN or whatever it was.
[01:50:50.000 --> 01:50:51.000]  One of the posts.
[01:50:51.000 --> 01:50:52.000]  They had a few of them on together.
[01:50:52.000 --> 01:50:57.000]  But they had Kasek and they were like, well, you know, you could pull this together and there's still a lot of hope.
[01:50:57.000 --> 01:51:00.000]  And he's like, yeah, we're in this to win it and all this stuff.
[01:51:00.000 --> 01:51:02.000]  And it's like, what are you talking about?
[01:51:02.000 --> 01:51:05.000]  You're in it to attack Donald Trump. That's why he's in there.
[01:51:05.000 --> 01:51:09.000]  He's there to step on the barbed wire, fall on the barbed wire against the Donald Trump attacks.
[01:51:09.000 --> 01:51:15.000]  But he said you get out if New Hampshire, he smoked in New Hampshire, which he will be, obviously.
[01:51:15.000 --> 01:51:19.000]  But people need to be worried about this radioactivity spiking your groundwater in New York.
[01:51:19.000 --> 01:51:22.000]  That's true. A lot of this is distraction.
[01:51:22.000 --> 01:51:27.000]  What is it? 65,000% increased radiation spike in New York City.
[01:51:27.000 --> 01:51:30.000]  It's ridiculous. It's one of our top stories on info wars.
[01:51:30.000 --> 01:51:32.000]  I want to read a little bit about that.
[01:51:32.000 --> 01:51:37.000]  Yeah, let me bring it up real quick because you notice that no one talks about that kind of stuff.
[01:51:37.000 --> 01:51:44.000]  It is kind of all a little bit of a distraction thing with the election cycle where it's all just kind of talk and it doesn't necessarily quite too much.
[01:51:44.000 --> 01:51:47.000]  But things like this is what you should really be concerned about.
[01:51:47.000 --> 01:51:51.000]  Radioactivity increasing nearly 65,000%.
[01:51:51.000 --> 01:52:03.000]  Yeah, health and environment commissioners were ordered by Governor Cuomo to begin investigation in the leak of radioactive tritium contaminated water at the Indian Point Nuclear Power Plant after an operator raised the alarm.
[01:52:03.000 --> 01:52:06.000]  Thank goodness we have people out there who can raise the alarm.
[01:52:06.000 --> 01:52:07.000]  He didn't just sit on it.
[01:52:07.000 --> 01:52:10.000]  He was probably told not to raise the alarm several times.
[01:52:10.000 --> 01:52:12.000]  I'm surprised this is being published.
[01:52:12.000 --> 01:52:19.000]  Exactly. It's one of the three walls in question had radioactivity levels increasing nearly 65,000%.
[01:52:19.000 --> 01:52:25.000]  On total, the company reported alarming levels of radioactivity at three monitoring levels.
[01:52:25.000 --> 01:52:28.000]  My question is, will this be the next Flint?
[01:52:28.000 --> 01:52:29.000]  Right.
[01:52:29.000 --> 01:52:30.000]  Well, it's got to be race.
[01:52:30.000 --> 01:52:33.000]  It can only be Flint if it's racist.
[01:52:33.000 --> 01:52:38.000]  If minorities are getting attacked, then we can talk about it as being racist.
[01:52:38.000 --> 01:52:39.000]  That's kind of where I was going with it.
[01:52:39.000 --> 01:52:40.000]  Yeah.
[01:52:40.000 --> 01:52:46.000]  It's sad that it has to be a politically charged issue because Fukushima is super ignored.
[01:52:46.000 --> 01:52:49.000]  I mean, there's still radiation being pumped out.
[01:52:49.000 --> 01:52:51.000]  A third of all the radiation initially went into the Pacific Ocean.
[01:52:51.000 --> 01:52:57.000]  The radioactive cesium went into the Pacific Ocean, smashed up against the West Coast, goes into the United States.
[01:52:57.000 --> 01:53:00.000]  Japan just had a volcano go off near a nuclear power plant.
[01:53:00.000 --> 01:53:02.000]  I mean, they can't buy a break for anything at this point.
[01:53:02.000 --> 01:53:03.000]  They really can't.
[01:53:03.000 --> 01:53:06.000]  Well, they also built it on all of the fault lines near the ocean.
[01:53:06.000 --> 01:53:09.000]  They don't have much room other than the fault lines in the ocean.
[01:53:09.000 --> 01:53:11.000]  Well, maybe they should have just reconsidered the whole thing.
[01:53:11.000 --> 01:53:12.000]  Exactly.
[01:53:12.000 --> 01:53:16.000]  I mean, it was well known that Fukushima was built in a very bad time.
[01:53:16.000 --> 01:53:17.000]  It's been powered by samurai blades.
[01:53:17.000 --> 01:53:18.000]  It's been powered by samurai blades.
[01:53:18.000 --> 01:53:25.000]  But I mean, they also said 1.5 times the actual radiation was released than what they originally said.
[01:53:25.000 --> 01:53:26.000]  Of course.
[01:53:26.000 --> 01:53:30.000]  It goes into the Pacific Ocean, kills everything off, pumps it into the air.
[01:53:30.000 --> 01:53:32.000]  There's just radioactive waste going everywhere.
[01:53:32.000 --> 01:53:34.000]  No one cares.
[01:53:34.000 --> 01:53:37.000]  And it's almost like the more important something is, the less people care about it.
[01:53:37.000 --> 01:53:39.000]  It is true, though.
[01:53:39.000 --> 01:53:46.000]  Obviously, if it bleeds, it leaves, that kind of stuff, but has devolved into this weird thing where the media is like the Super Bowl.
[01:53:46.000 --> 01:53:49.000]  Where it's like, actually, we should get couches.
[01:53:49.000 --> 01:53:51.000]  This is an idea I was discussing with a friend.
[01:53:51.000 --> 01:53:52.000]  We should have couches.
[01:53:52.000 --> 01:53:54.000]  Everyone gets a couch in the United States.
[01:53:54.000 --> 01:53:55.000]  And it's like Facebook.
[01:53:55.000 --> 01:53:57.000]  There's a button dislike and like.
[01:53:57.000 --> 01:53:59.000]  So a big red button that just says dislike.
[01:53:59.000 --> 01:54:01.000]  And a big green button is like like.
[01:54:01.000 --> 01:54:02.000]  And then everything happens.
[01:54:02.000 --> 01:54:06.000]  They just sit there with like things in their mouth, like for their, their sodium fluoride water into their mouth.
[01:54:06.000 --> 01:54:09.000]  And they have like glasses on that they can't look to the right, like blinders, like horses.
[01:54:09.000 --> 01:54:12.000]  And they just watch their television and they just sit it.
[01:54:12.000 --> 01:54:15.000]  And like, let's say the team they're disliking is winning.
[01:54:15.000 --> 01:54:17.000]  It's like, dislike, dislike.
[01:54:17.000 --> 01:54:21.000]  And then something happens, like a girl comes on with like a breast job.
[01:54:21.000 --> 01:54:25.000]  Like, like, you know, they're just like these people just sitting in chairs all day.
[01:54:25.000 --> 01:54:27.000]  That's exactly how PR firms do their market reasons.
[01:54:27.000 --> 01:54:28.000]  And that's how voting happens.
[01:54:28.000 --> 01:54:29.000]  Yeah, that's how voting happens.
[01:54:29.000 --> 01:54:30.000]  So it shows.
[01:54:30.000 --> 01:54:32.000]  They put the drops in your eyes and your eyes so you can't blink.
[01:54:32.000 --> 01:54:33.000]  Right.
[01:54:33.000 --> 01:54:36.000]  But they show, they show like Donald Trump and they're like, this guy is bad.
[01:54:36.000 --> 01:54:38.000]  He's mean to Jeb Bush.
[01:54:38.000 --> 01:54:39.000]  Dislike, dislike.
[01:54:39.000 --> 01:54:41.000]  And that's how we get our policy.
[01:54:41.000 --> 01:54:43.000]  Jeb Bush's mommy says he's good.
[01:54:43.000 --> 01:54:44.000]  Like, like, like.
[01:54:44.000 --> 01:54:45.000]  Laura Bush, Barbara Bush.
[01:54:45.000 --> 01:54:47.000]  I'm sick of Donald Trump.
[01:54:47.000 --> 01:54:48.000]  This is from infowars.com.
[01:54:48.000 --> 01:54:50.000]  We're sick of your whole family, lady.
[01:54:50.000 --> 01:54:55.000]  In an interview with CNN, former first lady Barbara Bush, mother to presidential candidate Jeb Bush,
[01:54:55.000 --> 01:54:59.000]  reveals she doesn't think much of her son's opponent, billionaire Donald Trump.
[01:54:59.000 --> 01:55:00.000]  Really?
[01:55:00.000 --> 01:55:01.000]  Oh yeah, let's go to the clip.
[01:55:01.000 --> 01:55:03.000]  Yeah, let's play the clip, please.
[01:55:03.000 --> 01:55:05.000]  You dodged me on Donald Trump.
[01:55:05.000 --> 01:55:10.000]  You want to, you know, you want to go full New Jersey?
[01:55:10.000 --> 01:55:12.000]  No, I do not.
[01:55:12.000 --> 01:55:14.000]  I don't even think about it.
[01:55:14.000 --> 01:55:15.000]  I'm sick of him.
[01:55:15.000 --> 01:55:16.000]  I'm sick of him.
[01:55:16.000 --> 01:55:18.000]  That's very strong.
[01:55:18.000 --> 01:55:20.000]  Wow, that's very strong.
[01:55:20.000 --> 01:55:22.000]  Didn't Jeb say he'd die for his daddy?
[01:55:22.000 --> 01:55:23.000]  He'd die for his daddy.
[01:55:23.000 --> 01:55:24.000]  I killed my father.
[01:55:24.000 --> 01:55:25.000]  He'd go to jail.
[01:55:25.000 --> 01:55:29.000]  Trump shot back this morning saying that Jeb brought in mommy to slap him.
[01:55:29.000 --> 01:55:32.000]  He says, Trump's quotes are hilarious sometimes.
[01:55:32.000 --> 01:55:37.000]  Wow, Jeb Bush, whose campaign is a total disaster, had to bring in mommy to slate.
[01:55:37.000 --> 01:55:39.000]  Take a slap at me, not nice.
[01:55:39.000 --> 01:55:43.000]  Already has 13,000 likes and 4,940 retweets.
[01:55:43.000 --> 01:55:47.000]  Man, I got to tell you, what a wild circus we are experiencing, right?
[01:55:47.000 --> 01:55:51.000]  Just watching all the debates, the Republican debate, the Democratic debate, it's all a bunch.
[01:55:51.000 --> 01:55:52.000]  It's a huge circus.
[01:55:52.000 --> 01:55:55.000]  I just think of how boring it would be if Trump wasn't in there.
[01:55:55.000 --> 01:55:56.000]  It would be a snooze fest.
[01:55:56.000 --> 01:56:01.000]  Although we'd probably see Rand Paul would have been a little bit higher in the polls, even though he's dropped out at this point.
[01:56:01.000 --> 01:56:12.000]  He's the only thing that's kept it at least interesting from a person who likes to stand back and just laugh at the entire system, who continually votes libertarian.
[01:56:12.000 --> 01:56:14.000]  I do laugh at the entire system.
[01:56:14.000 --> 01:56:18.000]  Imagine the viewership on a Donald Trump versus Hillary Clinton.
[01:56:18.000 --> 01:56:20.000]  Yeah, it would be great.
[01:56:20.000 --> 01:56:27.000]  But I really think the American people need a Donald Trump versus Bernie Sanders debate because you will see capitalism versus socialism.
[01:56:27.000 --> 01:56:31.000]  You won't have a guy who's trying to act presidential and like a statesman.
[01:56:31.000 --> 01:56:34.000]  You have a guy like Trump who's going to come out and say like it is.
[01:56:34.000 --> 01:56:35.000]  It would be perfect.
[01:56:35.000 --> 01:56:36.000]  Bernie tells it how he thinks it is.
[01:56:36.000 --> 01:56:37.000]  Sure.
[01:56:37.000 --> 01:56:42.000]  That's the debate America needs because are we going to let the millennials take over and give us everything for free?
[01:56:42.000 --> 01:56:44.000]  Bernie doesn't use a teleprompter, man.
[01:56:44.000 --> 01:56:45.000]  He sits up there and he just speaks.
[01:56:45.000 --> 01:56:46.000]  He doesn't even care.
[01:56:46.000 --> 01:56:48.000]  He doesn't even try to sound like anything.
[01:56:48.000 --> 01:56:49.000]  Right.
[01:56:49.000 --> 01:56:50.000]  He doesn't even try to sound statesmanly at all.
[01:56:50.000 --> 01:56:51.000]  He just doesn't care.
[01:56:51.000 --> 01:56:54.000]  But can you imagine if both systems are enclosed?
[01:56:54.000 --> 01:56:58.000]  Because capitalism has some work and especially the crony capitalism version of it.
[01:56:58.000 --> 01:57:00.000]  We need to get rid of that.
[01:57:00.000 --> 01:57:02.000]  We're in a state of hijacked capitalism.
[01:57:02.000 --> 01:57:05.000]  But people think socialism is the answer and they don't know what it's going to be like.
[01:57:05.000 --> 01:57:09.000]  We need to get more people on that have lived in these socialist utopias.
[01:57:09.000 --> 01:57:10.000]  I see how great it was.
[01:57:10.000 --> 01:57:13.000]  I think only a small percentage actually would say yes, I like socialism.
[01:57:13.000 --> 01:57:17.000]  They just like Bernie's whole idea and then they don't understand what he's leading them in.
[01:57:17.000 --> 01:57:18.000]  They don't know how it's going to happen.
[01:57:18.000 --> 01:57:19.000]  Yeah, exactly.
[01:57:19.000 --> 01:57:20.000]  Let me open up my refrigerator.
[01:57:20.000 --> 01:57:22.000]  There'll be some food and some college education.
[01:57:22.000 --> 01:57:23.000]  Just like.
[01:57:23.000 --> 01:57:24.000]  Just like.
[01:57:24.000 --> 01:57:25.000]  Let me say.
[01:57:25.000 --> 01:57:27.000]  This is a message to everyone that is watching this program.
[01:57:27.000 --> 01:57:33.000]  Thank you for choosing something more meaningful and impactful and important in your life than watching the Super Bowl.
[01:57:33.000 --> 01:57:36.000]  Just for that, I double salute you.
[01:57:36.000 --> 01:57:38.000]  You are the reason we're making a difference.
[01:57:38.000 --> 01:57:40.000]  It's not bad to watch Super Bowl, but come on, man.
[01:57:40.000 --> 01:57:43.000]  Commit yourself to something that matters like the fight for this planet.
[01:57:43.000 --> 01:57:48.000]  Anthony Gutiarty, Rob News, signing off the Alex Jones show.
