[00:00.000 --> 00:14.000]  Waging War on Corruption. It's Alex Jones.
[01:49:33.000 --> 01:49:36.000]  The type of fluoride they give you is toxic, not calcium fluoride,
[01:49:36.000 --> 01:49:40.000]  but hydrofluorosolistic that literally eats your brain on record and has a forced medication.
[01:49:40.000 --> 01:49:43.000]  And so you went out and chalked and got arrested?
[01:49:43.000 --> 01:49:47.000]  Yes, I went at 4.30 on April 18th. I went to the DA's office.
[01:49:47.000 --> 01:49:50.000]  I chalked fluoride as poison, fluoride as murder.
[01:49:50.000 --> 01:49:55.000]  I went to the city hall across the street. I chalked fluoride as poison, fluoride as murder.
[01:49:55.000 --> 01:50:00.000]  I put it on their 20-foot flower pot and they missed it, so they didn't clean it up.
[01:50:00.000 --> 01:50:06.000]  So all the Easter Sunday churchgoers got to see fluoride as poison, fluoride as murder.
[01:50:06.000 --> 01:50:08.000]  And then they arrested you?
[01:50:08.000 --> 01:50:14.000]  Well, for public intox on Friday night. And then Monday, when I went to get the name of all the officers,
[01:50:14.000 --> 01:50:20.000]  they arrested me for vandalism under 500 for having to clean up the chalk.
[01:50:20.000 --> 01:50:24.000]  I mean, I kept my mouth shut, Alex. I didn't want to get...
[01:50:24.000 --> 01:50:27.000]  Well, listen, you got to get a friend to videotape and put on YouTube and be viral.
[01:50:27.000 --> 01:50:29.000]  Reach millions. We're going to beat them in the end.
[01:50:29.000 --> 01:50:34.000]  I mean, they are... It's against the Geneva Convention to forcibly medicate people.
[01:50:34.000 --> 01:50:39.000]  And now a judge in Oregon rule that can inoculate your kids without your authorization last week.
[01:50:39.000 --> 01:50:42.000]  This government is out of control.
[01:50:42.000 --> 01:50:49.000]  Alex, if one thing you pressed your listeners and I love all of them and I'm glad you say that, you know,
[01:50:49.000 --> 01:50:53.000]  some thought you were crazy and they listened to you, I love that shit. Oh, stop.
[01:50:53.000 --> 01:50:56.000]  We're going to let you go, brother. We're going to delay that out, okay?
[01:50:56.000 --> 01:50:59.000]  The one way to get hung up on here is to use profanity.
[01:50:59.000 --> 01:51:09.000]  Okay. Let's go ahead now and go to another phone call.
[01:51:09.000 --> 01:51:14.000]  Let's go ahead and talk to Joe in Chicago. Go ahead.
[01:51:14.000 --> 01:51:15.000]  Yeah, Alex, how you doing?
[01:51:15.000 --> 01:51:16.000]  Good, sir. Go ahead.
[01:51:16.000 --> 01:51:22.000]  I don't know. Yeah, that's so... I mean, the lady with Donald Sterling,
[01:51:22.000 --> 01:51:28.000]  he recorded him because the family was suing her since he embezzled $1.9 million and she was going to pay him back.
[01:51:28.000 --> 01:51:33.000]  But I don't know how you... This guy clearly says he didn't want her hanging out with blacks.
[01:51:33.000 --> 01:51:35.000]  He didn't say play if he said blacks.
[01:51:35.000 --> 01:51:38.000]  Well, I want to be honest with you. I read the quotes in the newspaper.
[01:51:38.000 --> 01:51:43.000]  I've got them right here in the national review and I only listen about a minute of it.
[01:51:43.000 --> 01:51:46.000]  I don't have time to take... So, I mean, if he said that, I think that's terrible.
[01:51:46.000 --> 01:51:48.000]  But what I'm saying is he's another elitist.
[01:51:48.000 --> 01:51:56.000]  My issue is I don't like people that secretly record people, so I don't know the whole story.
[01:51:56.000 --> 01:52:02.000]  I'm just saying the whole decadent NBA, the owners are decadent scum, in my opinion.
[01:52:02.000 --> 01:52:06.000]  Most are like Jerry Jones, you know, gets a billion and a half dollar stadiums.
[01:52:06.000 --> 01:52:10.000]  I think he's decadent scum, you know, the Eccleston or whatever his name is,
[01:52:10.000 --> 01:52:13.000]  Eccleston with the Formula One track. I don't care what color they are.
[01:52:13.000 --> 01:52:17.000]  I'm sick of the decadence of this whole thing, but I didn't hear the whole recording.
[01:52:17.000 --> 01:52:18.000]  What does he say?
[01:52:18.000 --> 01:52:22.000]  He said he didn't want her hanging out with blacks.
[01:52:22.000 --> 01:52:27.000]  He was saying how blacks in Israel are treated 100% different from white Jews, black Jews in Israel.
[01:52:27.000 --> 01:52:29.000]  He said how they're treated like dogs.
[01:52:29.000 --> 01:52:34.000]  He was sued by the Justice Department for discriminating against blacks for renting in California.
[01:52:34.000 --> 01:52:40.000]  And the most important thing he said on that tape, this is the ADL being a Jewish guy.
[01:52:40.000 --> 01:52:42.000]  They say he lives in a culture.
[01:52:42.000 --> 01:52:48.000]  They say he lives in a culture where they, I guess, they practice these things towards blacks.
[01:52:48.000 --> 01:52:52.000]  No, I didn't know that. I didn't know. I've got to be honest with you. I saw it on the news today.
[01:52:52.000 --> 01:52:55.000]  A short clip on ESPN. So I was flipping through the channels.
[01:52:55.000 --> 01:53:00.000]  I saw it. So I was going off the article I read because it was showing the quotes about, you know,
[01:53:00.000 --> 01:53:03.000]  I don't want you hanging around with the players and blah, blah, blah.
[01:53:03.000 --> 01:53:06.000]  Are you saying the media is whitewashing it?
[01:53:06.000 --> 01:53:08.000]  No, it's video. The media is whitewashing.
[01:53:08.000 --> 01:53:12.000]  It's 15 minutes of audio recording out on the internet. You just Google it.
[01:53:12.000 --> 01:53:13.000]  Okay.
[01:53:13.000 --> 01:53:16.000]  He said he was saying he don't want her hanging out with blacks.
[01:53:16.000 --> 01:53:18.000]  Well, you know, that is an issue.
[01:53:18.000 --> 01:53:23.000]  I happen to know for a fact that it's against the law in Israel to marry someone that's Jewish if you're not Jewish.
[01:53:23.000 --> 01:53:27.000]  And then you've got the Israel lobby here being so politically correct, pushing stuff.
[01:53:27.000 --> 01:53:29.000]  So I do think that's strange.
[01:53:29.000 --> 01:53:33.000]  But you know what? I will look into it further. I don't usually follow sports.
[01:53:33.000 --> 01:53:36.000]  And so if I'm wrong about this, I was saying everybody's wrong.
[01:53:36.000 --> 01:53:39.000]  She's wrong. The players and him because I hate the whole thing.
[01:53:39.000 --> 01:53:43.000]  But if he was saying that, I didn't, the clip I saw on the news didn't have that.
[01:53:43.000 --> 01:53:46.000]  Wow. How long is the full clip?
[01:53:46.000 --> 01:53:51.000]  It's like 15 minutes. And this guy, this guy, you know, I'm not a racist. I'm black.
[01:53:51.000 --> 01:53:53.000]  I don't, I can't see black people can discriminate that way.
[01:53:53.000 --> 01:53:56.000]  This guy has money and power. He can discriminate against the race.
[01:53:56.000 --> 01:53:57.000]  That's racism.
[01:53:57.000 --> 01:54:01.000]  No, no, the clip I saw online, I think the clip on Info Wars is like two minutes.
[01:54:01.000 --> 01:54:04.000]  And the clip I saw on TV was like 30 seconds.
[01:54:04.000 --> 01:54:10.000]  Wow. So he was saying, he was saying stuff like we treat blacks different in Israel and stuff.
[01:54:10.000 --> 01:54:14.000]  He said, he said blacks in Israel and Sweden 50% or 100% different.
[01:54:14.000 --> 01:54:18.000]  He treated like dogs. He said this was, he just, he said about black Jews in Israel.
[01:54:18.000 --> 01:54:23.000]  That's what this guy said. 80 year old guy. I think this guy, this guy probably meet with him.
[01:54:23.000 --> 01:54:28.000]  Wow. I didn't know that. So what I'll do is I'm going to, I'm going to listen to the whole thing.
[01:54:28.000 --> 01:54:30.000]  Where did you find the whole thing?
[01:54:30.000 --> 01:54:35.000]  I just, I just go with him. I do. And his guy name was Donald Tukowits. That's his real name.
[01:54:35.000 --> 01:54:38.000]  That was his, he changed his name to Donald Sterling.
[01:54:38.000 --> 01:54:42.000]  This guy, I think this guy is a real interesting guy, man.
[01:54:42.000 --> 01:54:48.000]  And I really appreciate you taking my, just type it in Google and it was another audio that came out.
[01:54:48.000 --> 01:54:53.000]  Now, I hear you. I'm just sick of people recording people secretly, but I'll look it up and I will give you my real view on it tomorrow.
[01:54:53.000 --> 01:54:56.000]  Because if I'm ignorant, I will find out more.
[01:54:56.000 --> 01:55:00.000]  It says President Obama alleged Donald Sterling remarks incredibly offensive.
[01:55:00.000 --> 01:55:07.000]  And then I was reading the quotes out of Politico and I did not see that, but now I see why folks are so upset.
[01:55:07.000 --> 01:55:13.000]  But here's the deal. Can you imagine if a libertarian or a Republican or a Bundy had said this?
[01:55:13.000 --> 01:55:20.000]  Because here's the headline, racist clippers owner, Donald Sterling is a Democrat.
[01:55:20.000 --> 01:55:25.000]  And it does sound really, really bad. What you're saying. And I'll take your word on it.
[01:55:25.000 --> 01:55:32.000]  I stay out of sports, folks. I'm so sick of sports. Thank you, Joe. This is going to be a real circus now if he really said that.
[01:55:32.000 --> 01:55:35.000]  Phillip in Florida, you're on the air. Go ahead.
[01:55:35.000 --> 01:55:40.000]  Yeah, I just wanted to make a quick point about the Ukraine thing.
[01:55:40.000 --> 01:55:47.000]  I have friends that, you know, when I tell them that we started this or NATO started it, they call me a conspiracy theorist.
[01:55:47.000 --> 01:55:54.000]  You know, and I just literally listening to C-SPAN for them would make their eyes bleed.
[01:55:54.000 --> 01:56:04.000]  So, you know, it's just, well, I just point them to the legislation that went through Congress a week after Russia took over the Crimea.
[01:56:04.000 --> 01:56:11.000]  Where they were going to bail out Western Ukraine. There's like $51 billion in there for that.
[01:56:11.000 --> 01:56:17.000]  And then, you know, they just have their set ways and they listen to certain things.
[01:56:17.000 --> 01:56:20.000]  No, that's right. Russia was going to bail out Ukraine instead of the EU.
[01:56:20.000 --> 01:56:24.000]  And then the Ukraine didn't vote to merge with them. So they took over.
[01:56:24.000 --> 01:56:29.000]  And it's just the facts. It's like, Russia has attacked Ukraine and it's not true.
[01:56:29.000 --> 01:56:34.000]  So let's just be honest about it. And now it can turn into a larger military conflict.
[01:56:34.000 --> 01:56:37.000]  And yeah, being informed is called being a conspiracy theorist.
[01:56:37.000 --> 01:56:43.000]  Yeah. But they're stuck in their mainstream stuff. They don't stray outside of it.
[01:56:43.000 --> 01:56:47.000]  I hear you. It takes a lot of research. I mean, there's so much going on.
[01:56:47.000 --> 01:56:50.000]  Nobody can be informed on all the subjects as a problem.
[01:56:50.000 --> 01:56:53.000]  Like, I don't know about this Donald Sterling thing. The other guy just informed me.
[01:56:53.000 --> 01:56:58.000]  I just went off what was in the news and it turns out they're whitewashing it basically because it's much worse what he said.
[01:56:58.000 --> 01:57:02.000]  I don't have time to watch 15 minutes of this old guy or listen to it.
[01:57:02.000 --> 01:57:05.000]  I mean, come on, give me a break. I could barely understand what I heard.
[01:57:05.000 --> 01:57:09.000]  That's why we didn't play clips of it. Chris in Indiana. I'm sorry to others. I'm out of time.
[01:57:09.000 --> 01:57:16.000]  Chris, you're the last caller. Go ahead. Tell Gunner, Chris, come on. Go ahead, brother.
[01:57:16.000 --> 01:57:23.000]  Hey, Alex, the mechanic has got a surrender of Lord Cornwallis and Washington Cross of the Delaware.
[01:57:23.000 --> 01:57:28.000]  That ain't just black. I'm going to work at Wall. Wall at work. Sorry.
[01:57:28.000 --> 01:57:35.000]  That sounds terrorist. How many beers have you had? Just two. Not quite enough, my friend. I'm joking.
[01:57:35.000 --> 01:57:39.000]  Hey, I'm out of time. Sorry to false start you. I'll be back tomorrow. Everybody on hold.
[01:57:39.000 --> 01:57:44.000]  Call me back 11 a.m. tomorrow. Central. 12 noon Eastern for the big weekday transmission.
[01:57:44.000 --> 01:57:54.000]  God bless you all. Great job with the crew. Pray for peace. Pray for justice. God bless you all.
