[00:00.000 --> 00:21.240]  these
[1:56:07.640 --> 1:56:13.000]  oh yeah definitely you know it's a lot harder for patriots because we actually have a life you know
[1:56:13.000 --> 1:56:17.720]  we're not these lowlife antifa they can just go out there and waste our time every day on crap
[1:56:18.360 --> 1:56:22.200]  i hear your brother god bless you dematris real fast jared in washington you're on the air
[1:56:23.800 --> 1:56:30.200]  alex long time listener first time caller uh veteran um i gotta say love the show thank you
[1:56:30.200 --> 1:56:36.760]  you always i i listen a lot lately um now i gotta say the d state spiderweb man it runs
[1:56:36.760 --> 1:56:45.400]  all the way down it goes um into the social media and everything and and and good thing about a
[1:56:45.400 --> 1:56:50.520]  spiderweb is they're usually pretty weak you know we can we can break through that that's right it's
[1:56:50.520 --> 1:56:54.840]  all intimidation it's all we're gonna get you if you don't do what we want and finally trump says
[1:56:54.840 --> 1:56:59.960]  fine he's showing he can turn the tide we can too and that's why they're so angry listen i apologize
[1:56:59.960 --> 1:57:04.440]  you make great points for out of time thank you info warrior thank you benjamin thank you
[1:57:04.440 --> 1:57:09.320]  dominate robert call me back tomorrow i promise start of the show i'm taking calls by the second
[1:57:09.880 --> 1:57:15.080]  segment tomorrow i'm gonna take a ton of calls tomorrow 11 a.m to 3 p.m i bet david night does
[1:57:15.080 --> 1:57:20.600]  tomorrow morning and this whole state we're in is is incredible the article about trump calling
[1:57:20.600 --> 1:57:26.200]  marines for domestic operations is a big deal for threats in the homeland and we'll come in with
[1:57:26.200 --> 1:57:31.000]  little warning close quote that's at info wars dot com and news wars dot com and then the whole
[1:57:31.000 --> 1:57:35.800]  live feed of the show will be reposted uh there if you miss any of the show it's might be reposted
[1:57:35.800 --> 1:58:00.760]  in that article then fours dot com great job crew i'll see you guys back tomorrow lord willing thank you
