[00:00:01.000 --> 00:00:02.000]  It's too...
[00:20:44.260 --> 00:20:53.380]  He's going to respond to what a former security advisor said about how bad the corruption
[00:20:53.380 --> 00:20:59.740]  truly was with the Durham report and how bad it truly is under Biden.
[00:20:59.740 --> 00:21:09.020]  And really I think the story that's being missed here is that I don't know if Obama
[00:21:09.020 --> 00:21:20.040]  is the origin, I don't know if Obama is the alpha, but Obama was certainly the nucleus
[00:21:20.040 --> 00:21:27.980]  of the entire, what ended up being the entire Russian hoax, Russian collusion narrative
[00:21:27.980 --> 00:21:36.060]  that then led to the political persecution, the spying, crossfire, hurricane and everything
[00:21:36.060 --> 00:21:37.260]  else.
[00:21:37.260 --> 00:21:40.740]  So yeah, Hillary Clinton and her people running the opposition research and Hillary Clinton
[00:21:40.740 --> 00:21:49.780]  her people running the attacks on Donald Trump, Obama turned it into a government, federal
[00:21:49.780 --> 00:21:53.740]  government bureaucracy operation against Donald Trump against the will of the people.
[00:21:53.740 --> 00:21:56.300]  It was Obama.
[00:21:56.300 --> 00:22:01.980]  And so that's kind of missing from this, from this thread and this understanding now.
[00:22:01.980 --> 00:22:06.180]  So Alex is going to be commenting on that coming up in the first hour.
[00:22:06.180 --> 00:22:13.820]  Then in the second hour, the speech that Alex is talking about where a gentleman shows
[00:22:13.820 --> 00:22:19.660]  how the modern day trans movement is Maoism.
[00:22:19.660 --> 00:22:23.340]  Alex is going to be introducing that and playing that in the second hour as well.
[00:22:23.380 --> 00:22:28.180]  Now again, I got into this in the first segment.
[00:22:28.180 --> 00:22:31.180]  I'm not going to spend too much time because I want to cover it and then tell you what
[00:22:31.180 --> 00:22:34.620]  else is coming up too in the news.
[00:22:34.620 --> 00:22:40.020]  Nineteen year old Missouri man arrested in U-Haul crash at White House security barriers
[00:22:40.020 --> 00:22:43.260]  and the optics of this are so absurd.
[00:22:43.260 --> 00:22:50.540]  The gentleman's name is Sai Varshith Kandula and yes, I mean, he appears to be an Indian
[00:22:50.540 --> 00:22:54.940]  American just like his name would suggest.
[00:22:54.940 --> 00:22:59.860]  And so he's now the latest Nazi white supremacist that the left wants you to think are running
[00:22:59.860 --> 00:23:00.860]  around everywhere.
[00:23:00.860 --> 00:23:05.960]  But, but here's what we need to understand when, when the media and the left say Nazi,
[00:23:05.960 --> 00:23:08.620]  they don't mean Nazi.
[00:23:08.620 --> 00:23:13.780]  When the media and the left say white supremacist, they don't mean white supremacist.
[00:23:13.780 --> 00:23:15.820]  They mean conservative.
[00:23:15.820 --> 00:23:17.460]  They mean Republican.
[00:23:17.460 --> 00:23:20.000]  They mean Trump supporter.
[00:23:20.000 --> 00:23:23.240]  But for them to come out and say, look at this Trump supporter that crashed a U-Haul
[00:23:23.240 --> 00:23:27.520]  with a Nazi flag, that's just a little too obtuse.
[00:23:27.520 --> 00:23:29.760]  That's just a little too obvious.
[00:23:29.760 --> 00:23:37.120]  So they play this little nuanced game of connections and they hit you with the propaganda.
[00:23:37.120 --> 00:23:38.120]  Trump supporters are Nazis.
[00:23:38.120 --> 00:23:39.120]  Trump supporters are Nazis.
[00:23:39.120 --> 00:23:40.120]  Trump supporters are Nazis.
[00:23:40.120 --> 00:23:41.120]  Trump supporters are Nazis.
[00:23:41.120 --> 00:23:42.120]  Trump supporters are Nazis.
[00:23:42.120 --> 00:23:44.760]  And they just boom, boom, boom, just hit you with it.
[00:23:44.760 --> 00:23:48.120]  And then, oh my gosh, here's this 19 year old crashes a U-Haul truck.
[00:23:48.120 --> 00:23:49.120]  Oh my gosh.
[00:23:49.240 --> 00:23:50.240]  Oh my gosh.
[00:23:50.240 --> 00:23:51.240]  Oh, there's a Nazi flag out on the streets.
[00:23:51.240 --> 00:23:53.800]  Oh, see Nazis are everywhere.
[00:23:53.800 --> 00:23:57.160]  And then they're just expecting in your head, you're making that connection.
[00:23:57.160 --> 00:23:58.160]  Oh, it's a Nazi.
[00:23:58.160 --> 00:23:59.200]  Oh, it's a Trump supporter.
[00:23:59.200 --> 00:24:04.160]  So they don't have to say the ludicrous, which is look at this 19 year old Trump supporter,
[00:24:04.160 --> 00:24:05.720]  because nobody would believe that.
[00:24:05.720 --> 00:24:11.200]  But of course, nobody believes that that's a Nazi either.
[00:24:11.200 --> 00:24:12.200]  It's all propaganda.
[00:24:12.200 --> 00:24:14.320]  Now, what's the real story?
[00:24:14.320 --> 00:24:18.840]  Who really knows at this point, I don't even think it matters quite frankly, because at
[00:24:18.840 --> 00:24:20.480]  the end of the day, it's the same story.
[00:24:20.480 --> 00:24:22.940]  The media is lying to you.
[00:24:22.940 --> 00:24:26.080]  The left wing is lying to you.
[00:24:26.080 --> 00:24:32.920]  They're putting out these red herrings, these straw men, so that they can point at and scream
[00:24:32.920 --> 00:24:34.560]  and say, that's your enemy.
[00:24:34.560 --> 00:24:36.160]  It doesn't even really exist.
[00:24:36.160 --> 00:24:39.560]  And so then they go up there and they punch a straw man and they say, see how strong I
[00:24:39.560 --> 00:24:40.560]  am.
[00:24:40.560 --> 00:24:41.840]  I'm defending you.
[00:24:41.840 --> 00:24:44.720]  So that's going on.
[00:24:44.720 --> 00:24:46.480]  There's some big economic news today.
[00:24:46.480 --> 00:24:53.800]  And it's just, there's things that you're experiencing in life now.
[00:24:53.800 --> 00:24:57.360]  And it's also all over the news.
[00:24:57.360 --> 00:25:02.920]  And I was just looking at the housing market here in Austin.
[00:25:02.920 --> 00:25:03.920]  And I'm a homeowner.
[00:25:03.920 --> 00:25:08.240]  And I'm looking at it, I'm thinking just holy smokes.
[00:25:08.240 --> 00:25:12.760]  The housing market in Austin has truly crashed.
[00:25:12.760 --> 00:25:14.160]  It has truly crashed.
[00:25:14.560 --> 00:25:23.320]  I mean, there's still some areas where you might do okay, but it's not looking so good.
[00:25:23.320 --> 00:25:32.240]  Because if you bought a house, nobody's buying houses really since Biden took over.
[00:25:32.240 --> 00:25:39.480]  And that's just a sign of the economic times and the difference between when Trump was
[00:25:39.480 --> 00:25:41.240]  president and when Biden is president.
[00:25:42.240 --> 00:25:49.639]  And so I saw it in the news today, US housing market sees biggest one year drop in a decade.
[00:25:49.639 --> 00:25:51.720]  In a decade.
[00:25:51.720 --> 00:25:55.040]  Now this can be recovered.
[00:25:55.040 --> 00:26:00.800]  But that's big news that needs to get a lot more attention.
[00:26:00.800 --> 00:26:07.720]  And now also the mortgage rates are going up as well.
[00:26:07.720 --> 00:26:09.639]  That's just some of the economic news.
[00:26:09.639 --> 00:26:12.600]  Your layoffs going on still.
[00:26:12.600 --> 00:26:14.200]  Democrats increasing your taxes.
[00:26:14.200 --> 00:26:15.880]  That doesn't help anything.
[00:26:15.880 --> 00:26:18.840]  So we got that coming up.
[00:26:20.040 --> 00:26:28.040]  There was a story, I didn't get to it yesterday, but there's some other stories in the news today that I think it applies to, so maybe it was better off.
[00:26:28.040 --> 00:26:33.040]  Poll shows how radically different Americans' opinions are from liberal corporate media narratives.
[00:26:33.040 --> 00:26:47.040]  And so basically, the phenomenon here is, if you watch the media and you believe the media, then your view of what Americans really think and feel is wrong.
[00:26:47.040 --> 00:27:03.040]  But the problem is, if you don't understand that paradigm, you fall into the trap that thinking the things the left is promoting are popular, like trans kids or the war in Ukraine or all this other garbage.
[00:27:03.040 --> 00:27:07.040]  It's not popular. It never was popular.
[00:27:07.040 --> 00:27:16.040]  It was media propaganda hyping it up, amplifying it so that you think it's popular, even though it's not.
[00:27:16.040 --> 00:27:21.040]  Poll shows how radically different Americans' opinions are from liberal corporate media narratives.
[00:27:21.040 --> 00:27:26.040]  So I got all kinds of examples of that in the news today as well.
[00:27:26.040 --> 00:27:31.040]  The next pandemic will be even deadlier than COVID, says the World Health Organization.
[00:27:31.040 --> 00:27:34.040]  Why hasn't anybody just shut them down already?
[00:27:34.040 --> 00:27:37.040]  So we got some other news on the health stuff.
[00:27:37.040 --> 00:27:44.040]  Some big news when it comes to election and the voting process we're going to be covering.
[00:27:44.040 --> 00:27:48.040]  And, man, look, I'm just as sick.
[00:27:48.040 --> 00:27:51.040]  Oh, my gosh. And it's not even Pride Month yet.
[00:27:51.040 --> 00:27:57.040]  I'm just as sick of the LGBTQ plus pedophile thing that I just.
[00:27:57.040 --> 00:28:04.040]  After covering it yesterday for probably like an hour, I'm thinking to myself last night, I can't cover it again today.
[00:28:04.040 --> 00:28:06.040]  And then it's just all over the news.
[00:28:06.040 --> 00:28:08.040]  I mean, it's just everywhere.
[00:28:08.040 --> 00:28:15.040]  And it's not even Pride Month yet, and you're just drowning in the LGBTQ plus pedophile propaganda.
[00:28:15.040 --> 00:28:17.040]  I mean, it's just insane.
[00:28:17.040 --> 00:28:19.040]  And it's not even Pride Month yet.
[00:28:19.040 --> 00:28:22.040]  So it's just they're just there are this June.
[00:28:22.040 --> 00:28:29.040]  This Pride Month, folks, is going to be so absurd because they know their time is short now.
[00:28:29.040 --> 00:28:34.040]  They know their sexual propaganda, perversions and grooming of children.
[00:28:34.040 --> 00:28:36.040]  They know that the clock is running out.
[00:28:36.040 --> 00:28:38.040]  So they're just going hog wild, man.
[00:28:38.040 --> 00:28:42.040]  I mean, they are just going hog wild with it.
[00:28:42.040 --> 00:28:51.040]  So we got that in the news today as well, including some other important video clips on this Tuesday, May 23rd.
[00:28:51.040 --> 00:28:54.040]  Twenty twenty three edition of the Alex Jones Show.
[00:28:54.040 --> 00:28:56.040]  Owen Shroyer filling in today.
[00:29:00.040 --> 00:29:02.040]  Sold out for more than a year.
[00:29:02.040 --> 00:29:13.040]  We now have back in stock a limited run of our extremely popular tooth whitening coral calcium toothpaste full of essential oils back in stock and in full war store dot com.
[00:29:13.040 --> 00:29:19.040]  Another great product sold out for almost a year is our activated charcoal essential oil toothpaste as well.
[00:29:19.040 --> 00:29:21.040]  These are both incredible for your gums.
[00:29:21.040 --> 00:29:22.040]  Polish your teeth.
[00:29:22.040 --> 00:29:24.040]  Amazing to counter gingivitis.
[00:29:24.040 --> 00:29:25.040]  And they fund the info.
[00:29:25.040 --> 00:29:28.040]  There are no fillers in these products.
[00:29:28.040 --> 00:29:30.040]  These are fluoride free.
[00:29:30.040 --> 00:29:31.040]  Next level toothpaste.
[00:29:31.040 --> 00:29:33.040]  Ten thousand of each tube.
[00:29:33.040 --> 00:29:37.040]  Limited run available exclusively at Infowars.com.
[00:29:37.040 --> 00:29:40.040]  And your purchase funds the operation.
[00:29:40.040 --> 00:29:42.040]  Plus, these are incredible products you need.
[00:29:42.040 --> 00:29:50.040]  So the coral calcium tooth whitening and the activated charcoal essential toothpaste are now both back in stock at Infowars.com.
[00:29:50.040 --> 00:29:52.040]  I thank you for your support.
[00:29:52.040 --> 00:29:54.040]  But regardless, these are great products you need.
[00:29:54.040 --> 00:29:55.040]  So take action now.
[00:29:55.040 --> 00:29:59.040]  Go to Infowars.com for both this great toothpaste back in stock.
[00:29:59.040 --> 00:30:04.040]  This is Adam King, host of the Adam King Show, joined by the one and only Greg Reese of the Reese Report.
[00:30:04.040 --> 00:30:08.040]  We wanted to hop on and send everybody to Infowars.com.
[00:30:08.040 --> 00:30:11.040]  Click this QR code right above Greg Reese.
[00:30:11.040 --> 00:30:17.040]  Buy yourself a Faraday cage, super male vitality or what Greg has.
[00:30:17.040 --> 00:30:18.040]  Greg, what do you got there?
[00:30:18.040 --> 00:30:27.040]  If you really want to treat yourself to something nice, get yourself an Alexa Pure water filter and get clean, healthy water whenever you want it, wherever you want it.
[00:30:27.040 --> 00:30:32.040]  Even if the water pressure goes out, the gravity fed water filter has got you covered.
[00:30:32.040 --> 00:30:34.040]  Absolutely.
[00:30:34.040 --> 00:30:39.040]  And we couldn't do any of this without listener support.
[00:30:39.040 --> 00:30:44.040]  I was telling Greg earlier, we're like the real NPR, the real NPR of the base, right?
[00:30:44.040 --> 00:30:47.040]  So click that QR code right there on your screen right now.
[00:30:47.040 --> 00:30:48.040]  Take out your phone.
[00:30:48.040 --> 00:30:49.040]  Click that QR code.
[00:30:49.040 --> 00:30:51.040]  It'll take you directly to Infowars.com.
[00:30:51.040 --> 00:30:52.040]  Buy something.
[00:30:52.040 --> 00:30:53.040]  Support the Infowars.
[00:30:53.040 --> 00:30:57.040]  Keep Alex Jones, Orange Royer, Harrison Smith, Greg Reese, Adam King, and the rest of us on air.
[00:30:57.040 --> 00:30:58.040]  Do it today.
[00:30:58.040 --> 00:30:59.040]  Do it now.
[00:30:59.040 --> 00:31:01.040]  Support the Infowars.
[00:31:01.040 --> 00:31:02.040]  Turbo Force is back.
[00:31:02.040 --> 00:31:04.040]  Sold out for eight months.
[00:31:04.040 --> 00:31:06.040]  And it's Turbo Force Plus.
[00:31:06.040 --> 00:31:08.040]  We made it even stronger.
[00:31:08.040 --> 00:31:12.040]  The strongest long-term energy you're going to find anywhere.
[00:31:12.040 --> 00:31:19.040]  Turbo Force is back in stock at Infowarsstore.com or 888-253-3139.
[00:31:19.040 --> 00:31:25.040]  It's not just wide-spectrum natural herbs that time release over 10 hours.
[00:31:25.040 --> 00:31:27.040]  It should be called 10-hour energy.
[00:31:27.040 --> 00:31:37.040]  It has a bunch of vitamins and minerals and a bunch of other key things and amino acids that turbo charge everything and are good for your heart, your brain, your liver, you name it.
[00:31:38.040 --> 00:31:41.040]  It is the super fuel.
[00:31:41.040 --> 00:31:43.040]  Rain Force Plus is great.
[00:31:43.040 --> 00:31:44.040]  Rain Force Ultra is great.
