[00:00.000 --> 00:02.000]  it
[28:28.860 --> 28:33.740]  Overdose related deaths have skyrocketed in recent years, between 1999 and 2017 those
[28:33.740 --> 28:39.380]  deaths rose sixfold according to the National Institute on Drug Abuse.
[28:39.380 --> 28:43.820]  In my video, The Collapse of Western Civilization, which I'm going to play later in the show,
[28:43.820 --> 28:47.660]  I document again, it's not just prescription drugs, you can basically look at any drug
[28:47.660 --> 28:52.620]  including heroin abuse, MDMA, marijuana.
[28:52.620 --> 28:56.620]  People are more hooked than ever, and people are more depressed than ever, and again that
[28:56.620 --> 29:01.180]  has a direct correlation to the jobs market, we'll be back on the Alex Germshaw Live Infowars
[29:01.180 --> 29:04.180]  dot com.
[29:04.180 --> 29:08.140]  Hi I'm Dan Pilla, I started fighting the IRS over 40 years ago when they tried to seize
[29:08.140 --> 29:09.220]  my mother's house.
[29:09.220 --> 29:13.700]  I sued the IRS in one, I beat the IRS then, and I've been beating them ever since.
[29:13.700 --> 29:17.020]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with
[29:17.020 --> 29:20.580]  tax problems they thought might never be solved, I can help you too.
[29:20.580 --> 29:24.700]  If you owe taxes you can't pay, don't wait another day, there's no such thing as a hopeless
[29:24.700 --> 29:25.700]  tax case.
[29:25.700 --> 29:34.140]  Call 800-34-no-tax, or go to my website, danpilla.com, that's danpilla.com, danpilla.com.
[29:34.140 --> 29:40.300]  Maybe not today, maybe not tomorrow, but soon you'll need a plan and place to survive.
[29:40.300 --> 29:45.540]  Forget bunkers, you're not a live underground gopher, you need survivalist camps, the ultimate
[29:45.540 --> 29:50.060]  fully functional off the grid mobile survival bug out house that's well equipped and custom
[29:50.060 --> 29:54.340]  built to outlast any other RV or trailer, bold statement you bet.
[29:54.340 --> 30:00.940]  See them now at survivalistcamps.com, that's survivalistcamps.com, trust your family survival
[30:00.940 --> 30:02.180]  to survivalistcamps.com.
[30:02.180 --> 30:11.460]  I've got some really good news though, X2 is back, the original X2, Deep breath crystal,
[30:11.460 --> 30:17.700]  pure atomic iodine, what you want in Full War Store.com, it'll be here in a week, manufactured
[30:17.700 --> 30:22.500]  in the US in Full War Store.com with the best iodine in the world, X2, it's available.
[30:22.500 --> 30:26.180]  I thought X3 is great, we still got another deep breath crystal source, but I thought
[30:26.180 --> 30:30.300]  add the other two types of iodine, the scientists that do that, it sold a lot, but people want
[30:30.300 --> 30:32.100]  original X2.
[30:32.100 --> 30:36.060]  I was resigned the fact we didn't have X2, but it came through about a month ago, we
[30:36.060 --> 30:40.940]  now have X2 again and in Full War Store.com, so hallelujah, it's been sold out for about
[30:40.940 --> 30:47.660]  almost three months, but we have now had the same company, the original X2, develop it
[30:47.660 --> 30:54.100]  again and we were able to do the exact same formula, we want to pre-order X2, the ultimate
[30:54.100 --> 30:58.500]  iodine out there, learn about the iodine conspiracy, learn about IQ dropping when you don't have
[30:58.500 --> 31:03.740]  it, learn about how the other iodines are bound, get your today at mfullwarstore.com or
[31:03.740 --> 31:04.740]  m4slife.com.
[31:04.740 --> 31:09.500]  It's really hard to have the energy at the end of the day to still get to the gym or
[31:09.500 --> 31:14.180]  to go for a run or go to the park or heck even take your dog for a walk, believe me,
[31:14.180 --> 31:18.980]  I know, I spend hours in front of a screen and then hours in front of bright lights every
[31:18.980 --> 31:25.020]  day, but thanks to supermailvitality at infowarstore.com, I still have that energy.
[31:25.020 --> 31:29.220]  There's no way I could have the energy at the end of a long day to fight back against
[31:29.220 --> 31:33.380]  the chemicals and the food and water, to fight back against the modern day lifestyle with
[31:33.380 --> 31:38.380]  the screen time and the extended hours, to still have the stamina and endurance, energy
[31:38.380 --> 31:45.620]  and drive, to get to the gym, get to the park and get exercise that you need for your health.
[31:45.620 --> 31:49.620]  So go to infowarstore.com and get supermailvitality before it's gone.
[31:49.620 --> 31:53.300]  This is actually our last run of supermailvitality.
[31:53.300 --> 31:58.580]  So I want you to experience supermailvitality before it's too late.
[31:58.580 --> 32:01.380]  Unleash the supermailing you.
[32:01.380 --> 32:05.020]  Supermailvitality.com.
[32:05.020 --> 32:08.940]  Living in volcano may sound more dramatic than it really is.
[32:08.940 --> 32:13.460]  The real drama can be found here in Leilani Estates, but a lot of us on the Big Island
[32:13.460 --> 32:18.900]  rely on rainwater and we need to be concerned about ash and acid rain.
[32:18.900 --> 32:24.260]  Volcanic ash may contain heavy metal particles and acid rain could lower the pH of the water
[32:24.260 --> 32:25.820]  to unhealthy levels.
[32:25.820 --> 32:32.340]  To find out, we employed a series of tests for heavy metals, alkalinity and pH.
[32:32.340 --> 32:36.340]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity
[32:36.340 --> 32:37.820]  in the rainwater.
[32:37.820 --> 32:43.060]  Next, we tested the water from our Alexa pure gravity filter, and not only were the heavy
[32:43.060 --> 32:49.140]  metal levels within safe measure, but the pH was also restored to optimal levels.
[32:49.140 --> 32:54.740]  As it turns out, the filter on the Alexa pure raises the pH of the water, so what we've
[32:54.740 --> 33:00.100]  learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[33:00.100 --> 33:08.140]  But more importantly, a good water filtration system will purify it.
[33:08.140 --> 33:19.860]  You're listening to the Alex Jones Show.
[33:19.860 --> 33:24.860]  Broadcasting live from the UN Stronghold, Austin, Texas.
[33:24.860 --> 33:28.580]  You're listening to the Alex Jones Show.
[33:28.580 --> 33:32.620]  And now, your host, Paul Joseph Watson.
[33:32.620 --> 33:38.020]  We are live in Alex Jones' room here in a third hour.
[33:38.020 --> 33:42.620]  We're going to go back to some more news and talk about Tucker Carlson here in this segment.
[33:42.620 --> 33:49.260]  But first, I want to direct you to infowarsstore.com, where for a limited time only, infowars
[33:49.260 --> 33:53.340]  selects storeable food products are available at up to 50% off.
[33:53.340 --> 33:56.060]  This is another huge discount.
[33:56.060 --> 34:00.020]  For a limited time only, we're giving you up to 50% off on our infowars selects storeable
[34:00.020 --> 34:02.660]  food line at infowarsstore.com.
[34:02.660 --> 34:07.060]  With all of the uncertainty in the world, it's never been so important to be prepared
[34:07.060 --> 34:09.420]  for a food emergency or empty shelves.
[34:09.420 --> 34:15.580]  Of course, FEMA, all these different government agencies routinely stockpile food for emergencies,
[34:15.580 --> 34:17.580]  so why shouldn't you?
[34:17.580 --> 34:23.700]  All of these infowars selects storeable foods have a shelf life of 25 years and are made
[34:23.700 --> 34:26.660]  with super high quality ingredients in the USA.
[34:26.660 --> 34:33.220]  You compare these prices to storeable food in the EU or in the UK, absolutely no competition.
[34:33.220 --> 34:38.220]  The prices are so ridiculously good that you could save this for 20 odd years and then
[34:38.220 --> 34:44.300]  just eat it if nothing happens and save an absolute ton of money on groceries and on
[34:44.300 --> 34:45.780]  food.
[34:45.780 --> 34:49.580]  We don't know what's coming, but we can always start preparing for tomorrow.
[34:49.580 --> 34:57.340]  50% off infowars selects storeable food now available at infowarsstore.com, where we also
[34:57.340 --> 35:02.580]  have bodies, the ultimate turmeric formula at 50% off.
[35:02.580 --> 35:07.420]  This is for your joint support, mobility support, flexibility support, inflammation
[35:07.420 --> 35:09.300]  support and immune support.
[35:09.300 --> 35:17.980]  You get a huge tub of this, a 60-day supply, the 50% off ultimate turmeric formula, autoship
[35:17.980 --> 35:23.380]  also available, 4.9 stars out of 5 reviews out of 179 reviews.
[35:23.380 --> 35:24.740]  People are absolutely loving this.
[35:24.740 --> 35:30.580]  You can select a 60, 90, 180-day shipment so you don't have to keep reordering and forgetting
[35:30.580 --> 35:31.580]  to reorder.
[35:31.580 --> 35:39.100]  Of course, there are studies related to turmeric and the properties within it that have to
[35:39.100 --> 35:40.620]  do with elevated mood.
[35:40.620 --> 35:45.100]  We don't make claims for that, but if you research the background of turmeric, again,
[35:45.100 --> 35:50.220]  a lot of studies relating to mood elevation, we sell it on the basis of joint support,
[35:50.220 --> 35:51.220]  mobility support.
[35:51.220 --> 35:55.900]  It's filled with powerful ingredients, including five different herbs and extracts.
[35:55.900 --> 36:00.740]  With these ingredients, bodies is a true 360 win that can help you again with all those
[36:00.740 --> 36:03.020]  joint support, mobility support issues.
[36:03.020 --> 36:09.900]  It's available, it's back in stock, 50% off, just $29.95 for a 60-day supply available
[36:09.900 --> 36:14.380]  right now at infowarsstore.com.
[36:14.380 --> 36:19.140]  Now I want to talk about Tucker Carlson because they're routinely trying to drag him down,
[36:19.140 --> 36:23.660]  to bring him down, because he is the most powerful voice on the right.
[36:23.660 --> 36:28.900]  They're absolutely incensed that he's held that primetime Fox News slot, that he still
