[00:00.000 --> 00:02.000]  Oh
[40:02.840 --> 40:11.840]  And the scientist goes, but we killed Americans too. And he goes.
[40:11.840 --> 40:20.840]  And then when you read the Carnegie Endowment, it talks about how the two groups that the globalists were threatened in the British Empire model that set it up.
[40:20.840 --> 40:26.840]  It was going to be Americans and Russians that if they ever got together, that could be a force with the land bridge and all over the world.
[40:26.840 --> 40:37.840]  And with American ingenuity and the Russian ingenuity and all the borders that Russia has with the world that teamed up with Russia, the United States would be able to set its system up worldwide.
[40:37.840 --> 40:49.840]  So the globalists sent in 100,000 former Russians, a lot of Jewish Russians, and overthrew the Tsar.
[40:49.840 --> 40:57.840]  And then you know what happened over in Russia and the tens of millions tortured to death and murdered. And the Christians killed. And the same leftist groups and systems are here today.
[40:57.840 --> 41:04.840]  And they plan to do it again. But the globalists don't like stand up fights. So they're going to kill you and your children.
[41:04.840 --> 41:07.840]  They're going to put fluoride in your water that even foxes, it's deadly poison.
[41:07.840 --> 41:14.840]  And they're going to shoot you up with vaccines with time released viruses and mutated and things way more advanced.
[41:14.840 --> 41:19.840]  What they used to do. And you're going to like it. And you're going to pay them all your money while you die.
[41:19.840 --> 41:26.840]  And then you're going to go bury you and yourself and your family. And you're going to salute the new world order.
[41:26.840 --> 41:40.840]  There's the Fox News article. You scroll down it says fluoridated poisons because they call over 300 poisons fluoride under U.S. law when they dump it in the water.
[41:40.840 --> 41:52.840]  And this 110 million Americans at least affected toxic levels thousands of times what they thought that they're not allowed to count fluoridated poisons under the law.
[41:52.840 --> 42:01.840]  So as long as you mix lead and mercury and arsenic and anything else you want with liquid acid called hydrofluorosalic acid, it binds with it.
[42:01.840 --> 42:06.840]  And then by definition, whatever's in the cocktails called fluoride.
[42:06.840 --> 42:12.840]  It's a good gift to you and your family. Cancer, low IQ, low sperm count to form children.
[42:12.840 --> 42:17.840]  But it's liberal and Tim Cook's gay, so it's okay.
[42:17.840 --> 42:24.840]  As long as Tim Cook's gay, it's A-okay. He can have slave factories, forest abortions in China.
[42:24.840 --> 42:27.840]  He can work with the Chinese Communist government, the big world government project.
[42:27.840 --> 42:33.840]  They're all part of the one child policy, but he wears a nice little bow tie at the Golden Globe.
[42:33.840 --> 42:42.840]  And so it's okay. It's so liberal.
[42:42.840 --> 42:52.840]  So take your vaccine and get ready to see pretty colors and get ready to get stuck in a box six feet under.
[42:52.840 --> 43:04.840]  Oh, but again, it's liberal, so it's okay.
[43:22.840 --> 43:28.840]  Or you can get the nascent iodine pack with survival shield X2 and X3 for 50% off each bottle.
[43:28.840 --> 43:33.840]  Ultimate fish oil and prostagard are both back after months of waiting as well for 35% off.
[43:33.840 --> 43:39.840]  These products are hard to source at the quality we demand, so we don't know how long they'll last. Make sure you get yours today.
[43:39.840 --> 43:46.840]  If supplements aren't your thing, we have storeable food supplies for up to 50% off, as well as water and air filter units for 30% off.
[43:46.840 --> 43:49.840]  There's never going to be a better time to support the Info Wars team.
[43:49.840 --> 43:56.840]  Show Owen, David, Alex, Savannah, and everyone else behind the scenes. You stand with them in the fight against tyranny today.
[43:56.840 --> 44:02.840]  I would thank you for everything you've done for the Info War, but I know you're like me. You don't want my thanks.
[44:02.840 --> 44:09.840]  You want victory over the globalist and these devil worship and child molesters, and you want them off your back and off your children's back.
[44:09.840 --> 44:13.840]  You know what? I'm the same way, and that's why we're on the same damn team.
[44:13.840 --> 44:22.840]  And that's why Info Wars has been delivering time and time again when it's clutch time to focus the people on taking action against the globalist.
[44:22.840 --> 44:28.840]  Because I'm committed to a future for humanity, and I know you are as well.
[44:28.840 --> 44:36.840]  So thank you in 2019 for standing with us because you are the Info War, and I want to thank you for committing to stand with us in 2020 however you can.
[44:36.840 --> 44:45.840]  For bottom my heart, for my family, and for the great crew at Info Wars, I want to thank you all because you are the Info War, and you know that's not just words, that's reality.
[44:45.840 --> 45:07.840]  You have made history. We have made history together. InfoWars.com only has power because of you, and I suggest you use it.
[45:16.840 --> 45:25.840]  And our live coverage of the attempt to remove the president in the Senate trial and the deep state trying to trigger a civil emergency in Virginia.
[45:25.840 --> 45:39.840]  We've got our teams on the ground. We'll be covering all of it, but the only way we're able to put the truth out is you magnifying it by sharing the links from band.video and newswars.com forward slash show.
[45:39.840 --> 45:53.840]  And band.video. We have a whole live Trump trial and Virginia coverage page. And as the latest live feeds go up, or as the latest reports go up, they're posted right there at band.video.
[45:53.840 --> 46:10.840]  So click that link and share it. It's a revolutionary act and it's powerful.
[46:23.840 --> 46:33.840]  The incredible Silver Soil Formula. InfoWars Silver Cream works triple duty. Supporting the beautifying and protecting of the skin in a fast, non-greasy formula.
[46:33.840 --> 46:41.840]  Small and easily stored. It can support dry and damaged skin to reduce fine lines and wrinkles, while smoothing and softening calluses.
[46:41.840 --> 46:47.840]  With none of the harmful ingredients found in other formulas, you can be sure this silver cream is hard at work.
[46:47.840 --> 47:01.840]  Including the healing of your skin. Don't miss out on the new Silver Soil Powered. Can't miss formula. Get the InfoWars Super Silver Cream today.
[47:01.840 --> 47:09.840]  You're listening to the Alex Jones Show.
[47:09.840 --> 47:28.840]  Crashing through the lies and disinformation, it's Alex Jones.
[47:28.840 --> 47:38.840]  So you can make the argument that there are too many people and that humans, when they're given a industrial lifestyle, become decadent and stupid.
[47:38.840 --> 47:45.840]  But the facts are, the technocrats running things are the most inbred, psychotic control freaks.
[47:45.840 --> 47:55.840]  And are the worst examples of humans on this planet. Historically speaking and from every other perspective, you can look at.
[47:55.840 --> 48:07.840]  And they use the excuse of being guardians of the earth that have to do all these terrible, horrible things for the good of it as the pretext to just carry out psychotic activity.
[48:07.840 --> 48:15.840]  And their real worldview is that they're going to be super scientists that discover the secrets of the universe.
[48:15.840 --> 48:23.840]  And that they'll be able to transcend their human form, merge with silicon, become gods and build unlimited worlds.
[48:23.840 --> 48:35.840]  And that the planet is nothing but a yoke or nothing but energy from which they will spring an egg.
[48:35.840 --> 48:44.840]  And with some truth to that, the planet is a launch point for humans given to us by God to work with and to build with as a test.
[48:44.840 --> 48:57.840]  But they're cutting off humanity from their destiny and from their real potential so that the establishment can steal the future and try to control it for themselves.
[48:57.840 --> 49:08.840]  And really at the end of the day, that's the end game. That's what it's all about. And that's who they are. And that's who they say they are in thousands of articles, books and statements.
[49:08.840 --> 49:17.840]  But compendium of the publicness of this anti-human, post-human project is staggering.
[49:17.840 --> 49:30.840]  People ask me, how do I take the daily attacks and lies and for whatever you see happening in force, there's probably ten times more happening beneath the surface.
[49:30.840 --> 49:39.840]  Well, because I realize that we're all under attack and that giving into this system is the surest way to be destroyed.
[49:39.840 --> 49:46.840]  And so our only hope is to stand strong and try to alert people as best we can. And you know, I believe in humanity.
[49:46.840 --> 49:53.840]  We've put out the warnings. People have responded because you think just like I do and you believe in humanity as well.
[49:53.840 --> 50:05.840]  But I've got to tell you, Bill and Melinda Gates and the UN, this whole globalist project, their fingerprints aren't just all over this coronavirus.
[50:05.840 --> 50:16.840]  Their response, their preparation, their patenting of it, just everything they do and their previous statements use outbreaks to force world government.
[50:16.840 --> 50:24.840]  And their nefarious activities with Jeffrey Epstein, blackmailing and buying off the scientific community, this is a eugenics call.
[50:24.840 --> 50:31.840]  And how do they get all the scientists on board? They recruit them, they give them money, they give them power and then they compromise them.
