[00:00.000 --> 00:21.480]  Waging war on corruption, it's Alex Jones, coming to you live from the front lines of
[39:33.480 --> 39:43.480]  And we're being targeted chemically, biologically, culturally, and then there's all the white papers admitting they're doing it to us.
[39:43.480 --> 39:53.480]  And I go out to these parades and I see the males that, for whatever reason, genetically, were more predisposed to submit to this and for it to be more evident.
[39:53.480 --> 39:58.480]  And they have no sperm count. They have necks that are probably two inches around.
[39:58.480 --> 40:04.480]  I mean, I'm not kidding. Horrible sunken eyes, young and old. They look like living dead.
[40:04.480 --> 40:11.480]  They don't look effeminate because there's always been men that are effeminate. Whatever.
[40:11.480 --> 40:18.480]  The women are like hyperastrogen goblins and the men are like little skinny zombies.
[40:18.480 --> 40:23.480]  And it's like, look what they did to you.
[40:23.480 --> 40:34.480]  And then I think about it. Now, compared to say my dad's dad, I'm a pretty masculine, tough guy, but he looked a lot more masculine and tough than I did and acted like it too.
[40:34.480 --> 40:42.480]  That was just normal. That's how men acted. Everybody was real polite and real nice back then because everybody better be nice and polite because something will break out real quick.
[40:42.480 --> 40:53.480]  Now it's the future of the chemicals and everything and the TVs and not the kids don't play outside anymore and this is massive cultural death.
[40:53.480 --> 41:05.480]  And then you bring in a bunch of third world people totally confused who already have inferiority complexes given to them by the media and then they tell them you feel inferior because evil white people destroy them.
[41:05.480 --> 41:12.480]  And most whites go, gosh, I'm not racist. Let me capitulate to whatever you want. But you're not really capitulating to whatever they want.
[41:12.480 --> 41:31.480]  You're capitulating to the terms of surrender. The global social engineers are issuing through the giant throngs of orc-like, goblin-like, troll-like people.
[41:31.480 --> 41:39.480]  And I mean, let's just be honest. This is what 10 hours of TV and sitting on your ass all day eating GMO does.
[41:39.480 --> 41:46.480]  The women in every species, when men cease to be men, when males cease to be males, women then take that roll up.
[41:46.480 --> 41:51.480]  And they've done all the biological tests. They know what they're doing.
[41:51.480 --> 42:02.480]  And so we have mutant women that look like men and we have men that look like dead people. And that is who we are now. And it's going to get worse.
[42:02.480 --> 42:15.480]  You think a 91% sperm count is bad? That's 91% down? Soon it'll be 100% in most people. It'll be children of men. It'll be exterminism.
[42:15.480 --> 42:21.480]  But don't worry. You'll be able to go to the globalist and they'll have some recombinant 5, 6, 7, 20 parents.
[42:21.480 --> 42:28.480]  Oh, and we're able to give you a designer embryo with your genes but with some backdoors. And they admit all this.
[42:28.480 --> 42:36.480]  Oh, we're going to culturally control and X out traits so your son or daughter will be beautiful and strong and won't be predisposed to have all these problems.
[42:36.480 --> 42:41.480]  But they're going to be lacking something because they're not going to be human.
[42:41.480 --> 42:48.480]  Somebody, when you hear, you know, first embryos or first, you know, first babies from three dads and it's always weird.
[42:48.480 --> 42:54.480]  Like, we're gay so we want to have a embryo that's all from us.
[42:54.480 --> 43:00.480]  Do-do-do-do-do-do-do-do-do-do. You don't have mitochondrial DNA, Jack. You don't.
[43:00.480 --> 43:07.480]  Two men having a baby isn't a baby. Even if you're a planet and a woman. It's not a human. It's a humanoid.
[43:07.480 --> 43:12.480]  You're now in a science fiction movie but because you say, oh, it's two gay men having a baby.
[43:12.480 --> 43:17.480]  It's like, oh, no discussion about this humanoid or three lesbians that live together.
[43:17.480 --> 43:23.480]  I saw them in the news. We're going to have a baby soon. They're almost ready and she's going to carry it.
[43:23.480 --> 43:28.480]  The scientists are going to create it with our loving DNA and then we're all going to have our baby.
[43:28.480 --> 43:32.480]  And of course, it's all based on a woman baby, a man baby.
[43:32.480 --> 43:45.480]  It's so, you're living in a fantastic science fiction book but it's real.
[43:45.480 --> 43:49.480]  A couple big announcements.
[43:49.480 --> 43:56.480]  I am going to form a nucleus of a Washington bureau based around writers, an investigative journalist.
[43:56.480 --> 44:02.480]  And then in phase two, within six months, I plan to have camera people and editors on site.
[44:02.480 --> 44:09.480]  I can lease it out and find help but then you can get infiltrated pretty quickly and people will try to commit crimes in your names.
[44:09.480 --> 44:11.480]  We've got to be careful. That's the type of stuff we deal with.
[44:11.480 --> 44:15.480]  The media matters admits that's type of operations they run infiltrating organizations.
[44:15.480 --> 44:18.480]  So we've got to be very, very careful.
[44:18.480 --> 44:26.480]  Again, I've had people try to set fires in the woods when I'm covering a military event and say that I was burning buildings down.
[44:26.480 --> 44:29.480]  I mean, it's serious doing my job and it's serious working for us too.
[44:29.480 --> 44:36.480]  We've gotten strong enough now and we've got a president in the White House so we've got more and more friends in the system as we try to devolve it back to the states.
[44:36.480 --> 44:39.480]  But it's a serious thing to work for Info Wars.
[44:39.480 --> 44:43.480]  You've got to watch your six, especially if yours truly.
[44:43.480 --> 44:51.480]  We're going to deploy people to DC and who better to deploy than people that have already lived there, already been pressed there, already had credentials there.
[44:51.480 --> 45:07.480]  So Dr. Jerome Corsi, PhD, number one New York Times bestselling author, three times, who successfully is credited with torpedoing two Democratic attempts at the White House,
[45:07.480 --> 45:17.480]  is a real thoroughbred of journalism and defense of this republic, a man who's tirelessly been exposing NAFTA GATT, the TPP, the New World Order, gun control,
[45:17.480 --> 45:20.480]  globalism in general, will be joining us.
[45:20.480 --> 45:23.480]  He's also known Donald Trump for 40-plus years and been in business with him.
[45:23.480 --> 45:25.480]  So it's a good contact and a good journalist.
[45:25.480 --> 45:26.480]  We're honored to have him.
[45:26.480 --> 45:32.480]  He's now going to be the Washington bureau chief and I'm going to try to build an operation with probably 10 people.
[45:32.480 --> 45:37.480]  It'll take money, obviously, and funds, but I tend to do it first rate.
[45:37.480 --> 45:44.480]  And that's why it's more important than ever that everyone go to InfoWarsStore.com and get the making of the President 2016.
[45:44.480 --> 45:46.480]  I want to show TV viewers.
[45:46.480 --> 45:49.480]  If you're a radio listener, go to InfoWars.com forward slash show.
[45:49.480 --> 45:57.480]  You can actually see the video feed of this, but the making of the President 2016, how Donald Trump orchestrated a revolution.
