[00:30.000 --> 00:32.000]  3, 2, 1, go!
[31:46.000 --> 31:56.000]  But particularly those that haven't ever tried the product, you need it because it's amazing what it does for your body, it's the good halogen, not the bad halogen, and it funds the info war, a true 360 win.
[31:56.000 --> 32:07.000]  So again, X3, back at stock, 50% off at limited time.
[32:07.000 --> 32:18.000]  From the words of Chuck Paulinique's Fight Club, dear globalist leaders of the great reset, the people you're trying to step on, we're everyone you depend on.
[32:18.000 --> 32:22.000]  We're the people who do your laundry and cook your food and serve your dinner.
[32:22.000 --> 32:33.000]  We make your bed, we guard you while you're asleep, we drive the ambulances, we direct your call, we are cooks and we are taxi drivers and we know everything about you.
[32:33.000 --> 32:37.000]  We process your insurance claims and credit card charges.
[32:37.000 --> 32:39.000]  We control every part of your life.
[32:39.000 --> 32:46.000]  We are the middle children of history, raised by television to believe that someday we'll be millionaires and movie stars.
[32:46.000 --> 32:50.000]  But we won't, and we're just learning this fact.
[32:50.000 --> 32:53.000]  So don't fuck with us.
[32:53.000 --> 33:00.000]  Support independent media at infowarstore.com.
[33:00.000 --> 33:10.000]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[33:10.000 --> 33:31.000]  From the front lines of the Information War, it's Alex Jones.
[33:31.000 --> 33:44.000]  I knew, when I got on air, 28 years ago, that if we exposed the globalist plan decades before, that when they actually launched their operation, we would have a very good chance of beating them.
[33:44.000 --> 33:52.000]  Because enough people would be aware of the plan, but also others would marvel at the fact that so many others had known what was coming.
[33:52.000 --> 33:58.000]  Everything I foresaw has taken place, except one thing.
[33:58.000 --> 34:04.000]  I never imagined that it would be me as one of the main leaders in the fight.
[34:04.000 --> 34:09.000]  I believe that there were going to be smarter men, better men, that people cared.
[34:09.000 --> 34:14.000]  And that all these bankers and politicians and lawyers just didn't know most of them.
[34:14.000 --> 34:23.000]  And that if I did the right thing and spoke up and raised the alarm, better men than I would come to my aid and that we could defeat them.
[34:23.000 --> 34:26.000]  And I guess that did happen. It just took a long time.
[34:26.000 --> 34:31.000]  And now you see a lot of amazing people standing up and fighting back and speaking out.
[34:31.000 --> 34:34.000]  But it's been the audience of this broadcast.
[34:34.000 --> 34:44.000]  I know you don't want the credit. You want freedom. You want a future. You want a relationship with God. I understand.
[34:44.000 --> 34:47.000]  But you need to let it sink in.
[34:47.000 --> 34:57.000]  Those of you that have been listening 26, 27 years, 20 years, 10 years, 5 years, 6 months or even a day, you get all the credit.
[34:57.000 --> 35:04.000]  Because if it wasn't for you believing in Info Wars and supporting us and caring enough to tune in and then tell others about the broadcast,
[35:04.000 --> 35:09.000]  the world would be in a much, much worse position right now.
[35:09.000 --> 35:17.000]  They were going to continue on with the COVID tyranny, unabated, until you got informed and educated others and triggered the chain reaction of others,
[35:17.000 --> 35:21.000]  waking up others, who wake up others, that wake up others, that wake up others, who wake up others.
[35:21.000 --> 35:26.000]  It's so important not to just tell somebody about this show or share a video with them or an article from somebody else that's informative.
[35:26.000 --> 35:31.000]  You got to explain, then you got to share it and tell them to share it and then tell them to share it.
[35:31.000 --> 35:40.000]  And it's that paying it forward that is power.
[35:40.000 --> 35:42.000]  And that's how we turn this around.
[35:42.000 --> 35:48.000]  So yeah, we're in a world of hurt and things aren't going to be smooth here for a long time.
[35:48.000 --> 35:54.000]  But we can see the promised land off of the distance, ladies and gentlemen. It's not a mirage.
[35:54.000 --> 35:56.000]  And we got to get there.
[35:56.000 --> 35:59.000]  It's like your boat sinks and you're two miles from land and you're not a very good swimmer.
[35:59.000 --> 36:04.000]  Well, you better swim or you're going to die.
[36:04.000 --> 36:06.000]  And on your way there, jellyfish stings you.
[36:06.000 --> 36:11.000]  Well, you better just ignore the pain and keep going or you're going to gulp water and go to the bottom and die.
[36:11.000 --> 36:14.000]  So yeah, we're two miles offshore in waves and jellyfish.
[36:14.000 --> 36:19.000]  And guess what? You just better point your ass at the shore and start going for the shore.
[36:19.000 --> 36:22.000]  Because on our backs are our children and future generations.
[36:22.000 --> 36:27.000]  So stop being a bunch of wimps and stop caring what people think about you on the other side
[36:27.000 --> 36:30.000]  and just execute the information out there and don't stop.
[36:30.000 --> 36:32.000]  And we will win.
[36:32.000 --> 36:38.000]  We do not have a choice.
[36:38.000 --> 36:50.000]  Now, the globalists never stop. They never give up.
[36:50.000 --> 36:53.000]  And they're really pissed at Russia for not being fully under their control.
[36:53.000 --> 36:57.000]  And so they are pushing Russia into a fight.
[36:57.000 --> 37:03.000]  And I understand that Russia was surrounded, weapons were on its border.
[37:03.000 --> 37:09.000]  And that the globalist system was setting Russia up for war and defeat.
[37:09.000 --> 37:14.000]  But I think Putin made a major mistake going into Ukraine.
[37:14.000 --> 37:22.000]  And long term, the globalists are going to try to trigger a larger war.
[37:22.000 --> 37:26.000]  And I understand that it was one of the choices out of a list of bad choices.
[37:26.000 --> 37:30.000]  And maybe Putin will be born out to have stabilized things with this.
[37:30.000 --> 37:32.000]  And that remains to be seen.
[37:32.000 --> 37:36.000]  But I'm here to tell you, as I said a couple of days ago when this was really kicking off,
[37:36.000 --> 37:41.000]  I said, the West has put all these sanctions on Russia.
[37:41.000 --> 37:44.000]  Russia is putting sanctions on fertilizer and potash.
[37:44.000 --> 37:46.000]  That's only going to hurt poor people.
[37:46.000 --> 37:49.000]  And it's going to hurt Russians that sell it.
[37:49.000 --> 37:56.000]  And I think Putin should not put sanctions on the West when the West put sanctions on them.
[37:56.000 --> 37:59.000]  Because that's going to hurt Russians just as much as it hurts the outside.
[37:59.000 --> 38:03.000]  And the globalists don't care because they print all the money.
[38:03.000 --> 38:08.000]  And the average person having sanctions put on them won't know that it was even tet for tat.
[38:08.000 --> 38:13.000]  And so I think Putin's made his point going into Ukraine.
[38:13.000 --> 38:18.000]  If Russia continues to match the West now with what the West does to Russia,
[38:18.000 --> 38:21.000]  we're going to get into a full-scale war here.
[38:21.000 --> 38:23.000]  And maybe that's what we deserve.
[38:23.000 --> 38:26.000]  Maybe we deserve to all die because we've killed so many unborn children,
[38:26.000 --> 38:28.000]  and we've got devil worship all over TV.
[38:28.000 --> 38:32.000]  But you know what? I'm a selfish person, and I like my children,
[38:32.000 --> 38:35.000]  and I just don't want a nuclear war right now.
[38:35.000 --> 38:37.000]  And everybody better get this through their head.
[38:37.000 --> 38:39.000]  We've lived in relative peace in this country,
[38:39.000 --> 38:42.000]  where all the West of the world has been a hellhole in most areas,
[38:42.000 --> 38:44.000]  in war, in starvation, in famine.
[38:44.000 --> 38:47.000]  For so long, we just think we're insulated.
[38:47.000 --> 38:49.000]  Americans are in a bubble.
[38:49.000 --> 38:51.000]  Most Americans don't even have a passport, never left the country.
[38:51.000 --> 38:56.000]  A third of the public's ever left their state, on average.
[38:56.000 --> 39:00.000]  And the people in D.C. are an even worse bubble of delusional BS.
[39:00.000 --> 39:03.000]  I mean, these people are arrogant scum.
[39:03.000 --> 39:06.000]  They were picked and brought in there because they're arrogant scum.
[39:06.000 --> 39:10.000]  And they've gotten defeat and war and death written all over them.
[39:10.000 --> 39:13.000]  These people are losers.
[39:13.000 --> 39:17.000]  We have cancer in our government.
[39:17.000 --> 39:20.000]  And we don't have any business going around war with Russia
[39:20.000 --> 39:24.000]  with this kind of crap going on.
[39:24.000 --> 39:29.000]  But Biden says, oh my gosh, we're going to put sanctions on everything,
[39:29.000 --> 39:30.000]  on your energy, everything else.
[39:30.000 --> 39:35.000]  And now Putin says, well, that's an act of war.
[39:35.000 --> 39:42.000]  And then the U.K. bans a Russian airline.
[39:42.000 --> 39:47.000]  So now Moscow bans U.K. aircraft period from Russian airspace
[39:47.000 --> 39:54.000]  and retaliation for aero-flot sanctions.
[39:54.000 --> 39:56.000]  And that's how it starts.
[39:56.000 --> 39:59.000]  Fertilizer one day, flights the next.
[39:59.000 --> 40:00.000]  And isn't it funny?
[40:00.000 --> 40:02.000]  What did COVID do?
[40:02.000 --> 40:06.000]  The excuse of COVID, the lockdowns, it cut off the growing of food.
[40:06.000 --> 40:08.000]  It cut off the infrastructure.
[40:08.000 --> 40:09.000]  It cut back the energy.
[40:09.000 --> 40:11.000]  It annihilated the fertilizer.
[40:11.000 --> 40:13.000]  It caused 40 plus million people to die.
[40:13.000 --> 40:16.000]  Bigger than any war since World War II.
[40:16.000 --> 40:18.000]  And that's just a blip.
[40:18.000 --> 40:21.000]  That's not even discussed by the liberals and their mask
[40:21.000 --> 40:27.000]  and their lecturing and all of their controls.
[40:27.000 --> 40:29.000]  The enemy is the globalist.
[40:29.000 --> 40:30.000]  The enemy is Hollywood.
[40:30.000 --> 40:31.000]  The enemy is the left.
[40:31.000 --> 40:34.000]  The enemy is the disease of their grandstanding.
[40:34.000 --> 40:40.000]  And they're moralizing when they're the worst people this planet has ever seen.
[40:40.000 --> 40:44.000]  And are envious and hyper-competitive to the point,
[40:44.000 --> 40:46.000]  not in a dominant alpha way,
[40:46.000 --> 40:49.000]  but where they're competitive, where they just burn your house down
[40:49.000 --> 40:52.000]  because they're jealous of it instead of realizing that nice house
[40:52.000 --> 40:56.000]  makes your house that isn't as nice better in value.
[40:56.000 --> 40:59.000]  Because there's good competition that's about science and technology
[40:59.000 --> 41:01.000]  and working together and having real competition,
