[00:00.000 --> 00:21.880]  Defending the Republic from enemies foreign and domestic it's Alex Jones and now your
[42:15.200 --> 42:25.200]  Hashtag Seth Rich.
[42:25.200 --> 42:34.200]  You know, I remember I had a lawyer on about a year after Seth Rich died.
[42:34.200 --> 42:48.200]  And this is a liberal attorney who was a Bernie supporter who saw the shenanigans of the Bernie campaign and then the Clinton campaign and then sued Bernie Sanders and the DNC.
[42:48.200 --> 42:51.200]  And then their friends died that were part of that lawsuit.
[42:51.200 --> 42:55.200]  She came on air in tears because it all hit her folks.
[42:55.200 --> 42:59.200]  It's all real. It's really corrupt.
[42:59.200 --> 43:04.200]  Infowarsstore.com is how you support us and it's not like we're selling stuff you don't need.
[43:04.200 --> 43:13.200]  You don't want the air in the average American home is filled with toxins that put it on par with a major city.
[43:13.200 --> 43:16.200]  Some of the most polluted areas on earth are major cities.
[43:16.200 --> 43:18.200]  How can I solve that problem?
[43:18.200 --> 43:26.200]  So we have air filters at Infowarsstore.com, the Alexa Pure Breeze, which is right now $50 off.
[43:26.200 --> 43:31.200]  The Alexa Pure Breeze groundbreaking iron cluster air filter technology.
[43:31.200 --> 43:34.200]  And we've got a limited quantity of these left right now.
[43:34.200 --> 43:38.200]  We're basically selling these at cost because there was a big overhaul.
[43:38.200 --> 43:42.200]  Go ahead and read the hundreds of five star reviews for yourself.
[43:42.200 --> 43:44.200]  I've got two in my home.
[43:44.200 --> 43:50.200]  You will notice the difference, ladies and gentlemen, with the Alexa Pure Breeze in your house.
[43:50.200 --> 43:55.200]  Don't live in a polluted major city in your home.
[43:55.200 --> 43:59.200]  Have clean air. Go to Infowarsstore.com.
[44:26.200 --> 44:29.200]  I want you to have storeable food so it's a total win-win.
[44:29.200 --> 44:32.200]  We have those incredible sell prices back at Infowarsstore.com.
[44:32.200 --> 44:34.200]  On Infowars, select storeable foods.
[44:34.200 --> 44:36.200]  They've got special diet foods.
[44:36.200 --> 44:40.200]  They've got three month supplies, your supplies, weak emergency supplies.
[44:40.200 --> 44:42.200]  They've got so many great products there.
[44:42.200 --> 44:44.200]  Maybe you've got a three year supply.
[44:44.200 --> 44:46.200]  If stuff happens, you can feed your whole block.
[44:46.200 --> 44:48.200]  It's up to us to be self-sufficient.
[44:48.200 --> 44:51.200]  You're buying war bonds, bringing great products together.
[44:51.200 --> 44:53.200]  With God's help, we are unstoppable.
[44:53.200 --> 44:55.200]  Infowarsstore.com.
[44:55.200 --> 44:59.200]  Infowars, select high quality storeable foods powered by my Patreon supply.
[45:01.200 --> 45:06.200]  Alex Jones here with an extremely exciting announcement that will be a gift to yourself
[45:06.200 --> 45:10.200]  and a gift to the Infowar to fight the globalist and live in a free society.
[45:10.200 --> 45:15.200]  Several years ago, I set out with top formulators in the U.S. to create the strongest,
[45:15.200 --> 45:22.200]  most concentrated, over-the-top stamina, libido, workout, brain formula that is safe.
[45:22.200 --> 45:27.200]  I know from using this myself the last few months and from seeing my friends and family use it
[45:27.200 --> 45:31.200]  that this new product is going to end up being the number one best-selling product
[45:31.200 --> 45:33.200]  at Infowarslife.com because it works so well.
[45:33.200 --> 45:35.200]  This is a gift you want to give yourself.
[45:35.200 --> 45:40.200]  And then rest assured, you're fighting the Infowar, so it's a total absolute sure win,
[45:40.200 --> 45:42.200]  no lose equation.
[45:42.200 --> 45:46.200]  Try Alpha Power, exclusively available at Infowarslife.com for yourself.
[45:46.200 --> 45:48.200]  Ladies and gentlemen, it's non-GMO.
[45:48.200 --> 45:50.200]  It's for your brain. It's for sports.
[45:50.200 --> 45:52.200]  It's for activities and it's made in the U.S.A.
[45:52.200 --> 45:55.200]  Get your Alpha Power today at Infowarslife.com.
[45:55.200 --> 45:59.200]  Everybody needs to try Alpha Power today.
[45:59.200 --> 46:04.200]  This bar at its regular price is a little over $3.
[46:04.200 --> 46:09.200]  When we have it discounted, it's about $2.50 a piece.
[46:09.200 --> 46:12.200]  Comfortable bars over between $5 and $7 a piece.
[46:12.200 --> 46:13.200]  They add whole foods.
[46:13.200 --> 46:15.200]  This is high-end.
[46:15.200 --> 46:18.200]  When you get one box, you get them at basically $3.
[46:18.200 --> 46:23.200]  You get them for $2.50 or so when you get it at the current launch discount.
[46:23.200 --> 46:27.200]  This took over a year to get the top manufacturer and developer in the country
[46:27.200 --> 46:32.200]  to get it all ready and to have the manufacturing line prepared and to make this.
[46:32.200 --> 46:34.200]  It's available exclusively at Infowarslife.com.
[46:34.200 --> 46:38.200]  It's simple. You get the highest quality protein bars in two different flavors
[46:38.200 --> 46:40.200]  and you fund the war against the globalist
[46:40.200 --> 46:43.200]  and the attempt that we're engaging to take the country back.
[46:43.200 --> 46:44.200]  It's simple.
[46:44.200 --> 46:48.200]  Go shop with the good guys at Infowarsstore.com and break the back of the globalist
[46:48.200 --> 46:50.200]  and get high-quality super discounts.
[46:50.200 --> 46:54.200]  Or keep shopping with Jeff Bezos and Amazon and keep going to Whole Foods
[46:54.200 --> 46:56.200]  that are actually funding the Washington Post
[46:56.200 --> 46:58.200]  and the globalists attempt to destroy this country.
[46:58.200 --> 47:21.200]  It's simple. Infowarslife.com.
[47:21.200 --> 47:25.200]  You know, I got a lot of news to get to today and some video clips and stuff,
[47:25.200 --> 47:31.200]  you know, I got to be honest, I did not expect to get so emotional or grounded
[47:31.200 --> 47:34.200]  talking about Andrew Breitbart and it just kind of hit me
[47:34.200 --> 47:38.200]  when I saw that tweet where he predicted his own murder.
[47:38.200 --> 47:43.200]  Oh, I'm sorry. Death.
[47:43.200 --> 47:47.200]  And today is the commemoration of his death.
[47:47.200 --> 47:49.200]  That's the word I was looking for.
[47:49.200 --> 47:54.200]  And so I really actually want to have an open line Friday
[47:54.200 --> 47:59.200]  and just hear from fellow Americans today
[47:59.200 --> 48:06.200]  because we tend to forget when we get wrapped up in all of this,
[48:06.200 --> 48:10.200]  the human element, and then also how real it is.
[48:10.200 --> 48:16.200]  But let me just draw back for a second
[48:16.200 --> 48:28.200]  and try to really shed light on the dark crevices of the establishment.
[48:28.200 --> 48:33.200]  Here was the tweet I was talking about from three days before he died.
[48:33.200 --> 48:36.200]  I mean, literally 48 hours before he died, Andrew Breitbart said,
[48:36.200 --> 48:46.200]  he died 48 hours later of a heart attack.
[48:46.200 --> 48:52.200]  Michael Hastings died a few years later from a car accident.
[48:52.200 --> 49:00.200]  They took his car over. They killed him.
[49:00.200 --> 49:05.200]  Anybody who's ever had a close friend or family member
[49:05.200 --> 49:10.200]  that gets addicted to meth or heroin or something
[49:10.200 --> 49:17.200]  sees what that does to an individual.
[49:17.200 --> 49:24.200]  And so what ends up happening, and this is a friend of mine,
[49:24.200 --> 49:29.200]  I can tell a story, but it's a pretty common occurrence
[49:29.200 --> 49:33.200]  as we're looking at pictures of the Ed Buck.
[49:33.200 --> 49:37.200]  Well, we shouldn't say victims, but the men that died in Ed Buck's sex dungeon
