[00:00.000 --> 00:10.940]  Yippee-aye, yippee-aye-o-o-o-o-o-o-o-o!
[36:46.680 --> 36:53.320]  they don't want you to understand that the drugs and things they come out with like hydroxychloroquine
[36:53.320 --> 37:02.200]  is just a drug version souped up of quinine that's why they called it tonic because it was
[37:02.200 --> 37:08.120]  a tonic means a drink to make you better i'm not advertising that as a cure or treatment i'm saying
[37:08.120 --> 37:14.280]  the history of this you can read scientific american articles about tonic and where it came
[37:14.280 --> 37:20.200]  from and now it's hydroxychloroquine is the drug version i don't sell tonic that's one reason they
[37:20.200 --> 37:25.800]  banned me on google app was i covered that last week said isn't that interesting history now the FDA
[37:25.800 --> 37:31.240]  has approved today hydroxychloroquine everybody else already had it works great they didn't
[37:31.240 --> 37:37.400]  want you to have hope but trump and you and i forced it so they don't want you to know about
[37:37.400 --> 37:42.680]  zinc and that the doctors are saying take 200 milligrams of it a day they don't want you to know
[37:42.680 --> 37:48.440]  about z-pack that the bacteria are carrying the virus into the lungs and into the testicles
[37:48.440 --> 37:54.920]  they want you desperate eating white bread drinking mountain dew and having your teeth fall out
[37:54.920 --> 37:59.880]  because we have scurvy they don't diagnose people with scurvy but you see young people now with their
[37:59.880 --> 38:05.560]  teeth falling out and open sores on their arms because they all they eat is crap you're strong to
[38:05.560 --> 38:09.960]  the finish because you eat your spinach you're popped by the sailor man spinach is full of
[38:09.960 --> 38:15.960]  vitamin c and iron one leaf of spinach a day is all the vitamin c you need i'm not selling spinach
[38:15.960 --> 38:22.280]  here folks but you need to get prepared what i personally do is drink a lot of purified clean
[38:22.280 --> 38:26.840]  water to flush out the body of the tap water is full of crap everywhere folks and your body's having
[38:26.840 --> 38:32.680]  to fight that that's number one strike against you then i have the super silver wound gel from
[38:32.680 --> 38:36.440]  the big patented company that you put on the surface that with the major studies of it knocking
[38:36.440 --> 38:41.400]  out the viruses and bacteria rub that on your hands then it doesn't dry them out like the alcohol
[38:41.400 --> 38:46.200]  that dissipates once the alcohol it dissipates it doesn't do anything silver stays on your hands for
[38:46.200 --> 38:51.880]  days if you don't wash them they're gonna get dry well we have the hyaluronic acid for the face
[38:51.880 --> 38:56.440]  and the hands the rest of the body with vitamins and minerals in it women that are into really fancy
[38:56.440 --> 39:01.880]  creams go just a tube of hyaluronic acid this size is twice that the price of yours at Ulta this
[39:01.880 --> 39:06.440]  has vitamins and minerals it is really good and has the same patented nano silver in it what a deal
[39:06.440 --> 39:14.440]  what a deal we have it in these big 3.4 ounces and we have the little one ounces 1.2 ounces as well
[39:14.440 --> 39:19.320]  scented it unscented naturally send it with grapefruit that's an info or store.com and that funds
[39:19.320 --> 39:26.920]  the operation we're delivering within one day of your order it's going out also you want to have
[39:26.920 --> 39:31.400]  a multi-vitamin that's high quality like the real red pill rib rub pill plus that has added energy
[39:31.400 --> 39:35.640]  as well this has preglinone that boosts all of that look into preglinone and it has all the
[39:35.640 --> 39:42.440]  vitamins minerals together all of which are essential this is your essential this is for adults though
[39:42.440 --> 39:48.440]  it has preglinone in it and the green bottle of real red pill has the added energy so you feel
[39:48.440 --> 39:56.280]  it in like 20 30 minutes we have the topical super blue immune gargle as well in the one
[39:56.280 --> 40:01.960]  ounces left the 16 ounce and the three ounce sold out but that's about to sell out and yes
[40:01.960 --> 40:06.520]  storeable food is back we have the biggest best company in the u.s all the others were lying
[40:06.520 --> 40:10.280]  saying they had food when they didn't most folks never even got their food from other companies
[40:10.280 --> 40:14.040]  everybody that's ordered food from us has gotten it on the time that we said they would
[40:14.920 --> 40:19.960]  and for two plus weeks they had to pause because they had to make sure they got more food in
[40:19.960 --> 40:24.440]  to be able to fulfill the orders they just got they did they made a bunch of other big buys
[40:24.440 --> 40:28.920]  even though the food cost them about 10% more they did not raise prices and now they're able to take
[40:28.920 --> 40:34.760]  orders again for a limited time at infowarstore.com and they're in our back in my patriots are full
[40:34.760 --> 40:38.840]  catalog the best deal you're going to get you go right in at the queue it's like ordering from my
[40:38.840 --> 40:44.440]  patriot but it supports info wars when you order there so infowarshore.com or triple eight two
[40:44.440 --> 40:50.280]  five three three one three nine triple eight two five three three one three nine but whatever you do
[40:50.280 --> 40:55.960]  folks uh for for children it's also for adults but it has a lower dose of some of the vitamins
[40:55.960 --> 41:01.240]  and minerals that kids don't need more of according to the FDA vitamin mineral fusion is excellent
[41:01.240 --> 41:07.080]  as well higher absorption because it's liquid all of this is 40 to 50 off i should add and of
[41:07.080 --> 41:11.240]  course great for your overall immune system and boosting your body's defenses bodies ultimate
[41:11.240 --> 41:18.200]  turmeric formula with ray reviews check that out as well okay i said this segment i would get into
[41:18.200 --> 41:25.880]  the soft kill nature and the big picture of the 35 000 foot view but i started talking about the
[41:25.880 --> 41:30.040]  fact that there is hope and they're not going to tell you what god gave us to defend ourselves
[41:30.600 --> 41:35.400]  they're trying to make fish oil prescription now and they've got prescription versions that
[41:35.400 --> 41:43.320]  cost five times more yes folks they hate anything that's incredible we sell inner foods green food
[41:43.320 --> 41:49.480]  with a spirulina algae out of the ocean and plankton and stuff that is incredible i mean
[41:49.480 --> 41:55.480]  again infowarstore.com but wherever you get your vitamins your minerals make sure they're from
[41:55.480 --> 42:01.080]  organic natural sources aren't synthetic and make sure you take them and again i did research
[42:01.080 --> 42:05.160]  from my own family about zinc and the incredible things it does and it's not good for your kidneys
[42:05.160 --> 42:11.160]  up at 250 milligrams a day long term look at yourself talk to your physician the doctors
[42:11.160 --> 42:15.960]  though are saying 250 milligrams i'm not saying that that's on fox news that's in the new york
[42:15.960 --> 42:20.440]  newspapers and they're the same ones saying hydroxychloroquine and z-pac in european studies
[42:20.440 --> 42:24.840]  are incredible well now the fd had to back down and just said you can prescribe it doctors can
[42:24.840 --> 42:28.680]  because doctors are like what everybody's always been given this off label for other viruses it
[42:28.680 --> 42:34.680]  works great what the hell are you doing but the democrats are such devilish villains they tried
[42:34.680 --> 42:41.240]  this and i got banned for trying to create hope here because there is hope i'm not going to take
[42:41.240 --> 42:47.400]  that much zinc but i am taking as an adult 100 milligrams a day now i'm taking 100 milligrams
[42:47.400 --> 42:52.280]  because i want to explain something if you beat this virus you're fine but if you don't it becomes
[42:52.280 --> 42:57.320]  part of your body keeps coming back if you don't have the basic building blocks you will succumb
[42:58.200 --> 43:02.360]  and i'm here to tell you i don't need you to thank me and tell me i've done a good job i've done
[43:02.360 --> 43:09.000]  nothing but my duty i discovered a bunch of bloodthirsty scum coming after innocent people
[43:09.000 --> 43:17.000]  and i've been fighting them for 13 years and i'll never stop while i'm drawing breath for 24 years
[43:17.000 --> 43:24.680]  alex jones and info wars have been sounding the alarm for patriots worldwide waking people up
[43:24.680 --> 43:34.680]  to the new world order bohemian grove the american deep state the rise of communist china the plan
[43:34.680 --> 43:43.320]  for global depopulation and global elite pedophiles who pray off of our young the enemy has done their
[43:43.320 --> 43:51.480]  best to destroy us but because of your support our fight continues join us support the info war
[43:51.480 --> 43:56.200]  and together we will slay the dragon keep fighting out with you the gladiator
[43:59.080 --> 44:04.760]  we told you it was coming we told you that use a virus to scare everyone into submission
