[00:00.000 --> 00:13.000]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the
[32:53.000 --> 33:10.000]  Head to InfoWarslife.com and secure your bottle now. That's InfoWarslife.com.
[33:10.000 --> 33:23.000]  Yes, this message is transmitted at the request with the President of the United States of America and the Office of Homeland Security.
[33:23.000 --> 33:28.000]  In compliance with the United Nations, the President of the United States has declared martial law.
[33:28.000 --> 33:46.000]  If you are receiving this transmission, you are the resistance weapon. It's the Alex Jones Show.
[33:46.000 --> 33:52.000]  Hillary was planning to declare a civil emergency when she got an office banning free speech and arresting her opposition.
[33:52.000 --> 33:55.000]  That's been in their own publications Atlantic Monthly, you name it.
[33:55.000 --> 33:59.000]  They just said, let's just go ahead with our plan anyway. Let's just overthrow Trump.
[33:59.000 --> 34:08.000]  Now, if the whole election was run by the Russians, take all the Republicans that were elected then, kick them out, have Homeland Security take over the elections, federalize them, and you never have a real election again.
[34:08.000 --> 34:16.000]  And you notice, we first told you about that during the campaign, Obama put it into law and Trump hasn't been able to reverse it yet.
[34:16.000 --> 34:30.000]  He got it in the John Warner Defense Authorization Act earlier for martial law back 10 years ago, but then the new one for 2017, right before Obama left, has similar stuff, but it says for any reason.
[34:30.000 --> 34:35.000]  And they could take over the media, it names the Board of Governors, it will control who's on the air and not.
[34:35.000 --> 34:42.000]  The very Board of Governor had, went on C-SPAN in a congressional hearing in the Armed Services Committee and said, I'm a Russian agent.
[34:42.000 --> 34:51.000]  I need to be shut up. That was, you know, almost a year ago. And then three weeks ago, they talk about how they censor us in live time, ladies and gentlemen, when we're number one.
[34:51.000 --> 34:56.000]  They said, Alex Jones and Paul Watson are number one. They said, sir, we shut them down at lunch.
[34:56.000 --> 35:00.000]  The Congressman goes, get faster next time.
[35:00.000 --> 35:06.000]  Heads of Google, Facebook, and Twitter. Yes, sir. We're censoring those evil Americans right now.
[35:06.000 --> 35:18.000]  Because it's okay, because we're the Russians that want to build up the military and defend the border and bring back sovereignty and defend Christianity and take care of the military and create jobs for everybody and that huge stock market.
[35:18.000 --> 35:23.000]  We're the Russians. Yeah, yeah, yeah, we're the Russians, folks, right here.
[35:23.000 --> 35:26.000]  Yeah, I'm real Russian.
[35:26.000 --> 35:40.000]  You got all these globalists, they're trying to sell the country out that'll point their fingers at people that are dyed in the wool 100% Americana to a sickening level to a rampaging foaming at the mouth Americana, baby.
[35:40.000 --> 35:48.000]  You pointed me and claimed that I am the foreign power and that I work for foreign powers because you do. You do.
[35:48.000 --> 35:55.000]  And we're taking it away from you and everybody else is getting out of your globalism from Spain to Russia to everywhere.
[35:55.000 --> 36:03.000]  So you go ahead and you keep crying. It's come. You keep claiming people all over the world that want their freedom from this big global combine.
[36:03.000 --> 36:14.000]  So we wanted freedom from King George 250 years ago. You keep claiming we're the foreign power and we will force you lie your big fat butts so fast it will make your head spin.
[36:14.000 --> 36:21.000]  That's why coming up on Monday, we're going to have a 34 hour broadcast again that I am deeming the info wars.
[36:21.000 --> 36:26.000]  What term did I come up with? I came up with some wild term.
[36:26.000 --> 36:31.000]  There it is Christmas spectacular extravaganza because they hate us talking about Christmas.
[36:31.000 --> 36:34.000]  They just talk about our victories and how successful liberty is right now.
[36:34.000 --> 36:39.000]  But it is we're having a spectacular extravaganza of awakening.
[36:39.000 --> 36:42.000]  I mean, sometimes you got to use hype words when it's true.
[36:42.000 --> 36:47.000]  We're routing the globalists. Zabignan Brzezinski and David Rockefeller all died this year.
[36:47.000 --> 36:52.000]  It's getting better. The mainstream media is going bankrupt. The NFL is falling apart.
[36:52.000 --> 36:56.000]  All the gun America crap is on fire.
[36:56.000 --> 37:01.000]  And I mean collapsing fire not in Fuego like we are.
[37:01.000 --> 37:03.000]  Man, I'm getting a little too excited here.
[37:03.000 --> 37:08.000]  So let me get final news here before I play these clips.
[37:08.000 --> 37:14.000]  They're attacking me everywhere. They took a year old video I did with Alexa in here from Amazon.
[37:14.000 --> 37:19.000]  Admittedly funded by the CIA, run by the CIA and all the rest of it.
[37:19.000 --> 37:22.000]  And that's in the news and they make jokes about it.
[37:22.000 --> 37:26.000]  Say it's a new video I did this week and it's a big jump on the top stories in the country
[37:26.000 --> 37:28.000]  where all these articles attacking me.
[37:28.000 --> 37:33.000]  Meanwhile, Netflix is in trouble for watching and listening to their consumers and sharing it on Twitter.
[37:33.000 --> 37:38.000]  Netflix faces backlash for tweeting consumers private viewing habits. That's nothing.
[37:38.000 --> 37:42.000]  Alex Jones grills Amazon's Alexa. Are you connected to the CIA?
[37:42.000 --> 37:46.000]  No joke and say it isn't. Bezos gets billions now from the CIA.
[37:46.000 --> 37:52.000]  Bezos got taxpayer money to take over the Washington Post and run it as a breakaway CIA group.
[37:52.000 --> 37:57.000]  We just had the former director apologize. See, you guys are getting rolled up right now.
[37:57.000 --> 38:01.000]  The details about the CIA's deal with Amazon. That's the Atlantic.
[38:01.000 --> 38:06.000]  But again, they say it's crazy. The CIA is about to sign a game changing $600 million deal with Amazon.
[38:06.000 --> 38:08.000]  Business Insider.
[38:08.000 --> 38:12.000]  The CIA is Washington Post and Russia. What they're not telling you is a hero head.
[38:12.000 --> 38:17.000]  And now this, another gentleman, another president of Facebook, former exec.
[38:17.000 --> 38:20.000]  You don't realize it, but you're being programmed.
[38:20.000 --> 38:25.000]  And this gentleman is Karmath Halahaptava.
[38:25.000 --> 38:27.000]  I'm going to pronounce that right in Indian gentlemen.
[38:27.000 --> 38:30.000]  Another one of these super geniuses saying we're programming you.
[38:30.000 --> 38:33.000]  It's destroying society. It's pure able. It's destroying your family.
[38:33.000 --> 38:35.000]  It's meant to hurt you. I apologize.
[38:35.000 --> 38:41.000]  The former president, now this former head are all saying it's evil. It's bad. We're sorry.
[38:41.000 --> 38:44.000]  Please do watch out because they know.
[38:44.000 --> 38:49.000]  They now know about the AI end game of the extremism plan.
[38:49.000 --> 38:53.000]  See, their life force is kicking in or they're just trying to hedge their bets.
[38:53.000 --> 38:55.000]  When this all goes down, you don't come after them.
[38:55.000 --> 39:00.000]  Oh, ex Facebook president, Trump Parker site made to exploit human vulnerability.
[39:00.000 --> 39:03.000]  Everything I've been telling you, Facebook's first president on Facebook.
[39:03.000 --> 39:06.000]  God only knows what's doing to our children's brains.
[39:06.000 --> 39:10.000]  So there you go, ladies and gentlemen, the reason I mentioned that,
[39:10.000 --> 39:12.000]  so you understand the big enchilada here.
[39:12.000 --> 39:15.000]  I'm not only play part of this, the full article is by Paul Watson on fullwords.com.
[39:15.000 --> 39:20.000]  He's go viral, but this is O'Reilly who again, a creepy guy lied about me some on air.
[39:20.000 --> 39:23.000]  Definitely harass women. The transcripts are out there.
[39:23.000 --> 39:27.000]  He settled a bunch of them, something like 15 million for a bunch of phone calls.
[39:27.000 --> 39:31.000]  You don't say, Hey, baby, you know, he was some creepy stuff, really creepy.
[39:31.000 --> 39:36.000]  The point is, is that, is that he understands a bunch of people piled on and he's got the intel.
[39:36.000 --> 39:42.000]  So do we, that they, that we have tapes of other women who are being offered money to lie about Trump.
[39:42.000 --> 39:44.000]  And so that's the ace in the hole, a little secret.
[39:44.000 --> 39:47.000]  The globalist, obviously, if they are not stupid, no.
[39:47.000 --> 39:49.000]  So go ahead and try to play your hands scum.
[39:49.000 --> 39:52.000]  But here's Bill O'Reilly on the Glenn Beck program.
[39:52.000 --> 39:56.000]  I want to tell you one thing though.
[39:56.000 --> 39:58.000]  I don't know if I have mentioned this on your program,
[39:58.000 --> 40:06.000]  but I predicted and we discussed last week that there's going to be a tremendous assault on President Trump coming.
[40:06.000 --> 40:13.000]  I agree. Probably come in January because he did get the tax reform passed and the Democrats now say,
[40:13.000 --> 40:16.000]  well, we got to just go ahead because you may get reelected.
[40:16.000 --> 40:27.000]  There is a tape, Beck, an audio tape of a anti-Trump person offering $200,000 to a woman.
