[00:00:04.113 --> 00:00:06.354]  Alright, ladies and gentlemen.
[00:24:22.301 --> 00:24:27.862]  But if their superior told them, I guess they think it's like the Nuremberg Code, well, I was just following orders.
[00:24:27.862 --> 00:24:30.803]  The Nuremberg Code said, following orders doesn't cut it, Jack.
[00:24:30.803 --> 00:24:31.703]  And here's the deal.
[00:24:31.703 --> 00:24:34.144]  I don't want to put FBI agents in prison.
[00:24:34.144 --> 00:24:35.544]  I just don't want World War III.
[00:24:35.544 --> 00:24:36.845]  I just want it to stop.
[00:24:36.845 --> 00:24:39.406]  Please stop it.
[00:24:39.406 --> 00:24:41.246]  And it is going to be stopped.
[00:24:41.246 --> 00:24:48.488]  The numbers we've got, the intel I've got from big journals around the country is, you've heard it from Congress, they're getting, wait for this,
[00:24:49.994 --> 00:25:04.382]  Tens of thousands of high-level contacts a year from senior federal agency and law enforcement and intelligence people going to Congress and giving them these files and stuff, and Congress then rats them out.
[00:25:04.382 --> 00:25:07.064]  That's why Congress is under such surveillance by the intelligence agency heads.
[00:25:07.984 --> 00:25:10.205]  And then they prosecute or persecute them.
[00:25:10.205 --> 00:25:26.935]  The problem is, they've got so many FBI agents, and so many ATF agents, and so many Defense Intelligence Agency people, and so many CIA people, and so many Naval Intelligence people, and so many NSA people, you know, 17 of these agencies, or actually more, that they can't go after them all.
[00:25:26.935 --> 00:25:31.878]  They don't have enough bad guys to go persecute and prosecute and attack them.
[00:25:33.444 --> 00:25:43.551]  That's what the social credit score is about once they get it in place, that Biden's made his new big initiative, because then they just hit one button, and you can't have a job, you can't travel, you can't live.
[00:25:43.551 --> 00:25:47.113]  Oh, you told about how we're helping smuggle kids?
[00:25:47.113 --> 00:25:50.816]  Or, oh, how we're framing people?
[00:25:50.816 --> 00:25:54.238]  That's what centralization and the technocracy is about.
[00:25:54.238 --> 00:25:56.420]  So a few hundred globalists
[00:25:57.438 --> 00:26:01.904]  Can sit there and control all the rest of us because we're dumb enough to opt into this thing.
[00:26:01.904 --> 00:26:03.406]  So, here's what's happening.
[00:26:03.406 --> 00:26:05.268]  And I'm not trying to lionize these agencies.
[00:26:05.268 --> 00:26:06.310]  Far from it.
[00:26:06.310 --> 00:26:11.196]  But I'm not stupid enough to get tricked into a fight with them and say they're the enemy.
[00:26:11.196 --> 00:26:12.038]  No, we're the enemy.
[00:26:12.578 --> 00:26:14.359]  We allowed the government to get like this.
[00:26:14.359 --> 00:26:15.900]  We allowed corruption to grow.
[00:26:15.900 --> 00:26:18.241]  We allowed most of the courts to get taken over.
[00:26:18.241 --> 00:26:22.723]  And there are people in all these agencies who do real cases every day.
[00:26:22.723 --> 00:26:24.304]  I would still say the majority of them.
[00:26:24.304 --> 00:26:36.570]  But there are large sections that are criminal mercenary organizations at the top and then special task forces they have that carry out this criminal activity.
[00:26:36.570 --> 00:26:40.732]  And this is classic deep state corruption like you see in third world countries.
[00:26:42.313 --> 00:26:46.234]  And we gotta be like El Salvador and just say, we're done.
[00:26:46.234 --> 00:26:49.696]  Or what Bolsonaro tried to do but got blocked in Brazil.
[00:26:49.696 --> 00:26:52.697]  You gotta get rid of the bad people.
[00:26:52.697 --> 00:27:01.040]  You gotta empower the good people in private life, in government, in academia, in the churches, at every level, and really start standing up.
[00:27:03.194 --> 00:27:06.014]  And so, that's what we've got to do.
[00:27:06.014 --> 00:27:13.256]  Not be tricked into a civil war, not be tricked into violence with Antifa burning down police stations and attacking federal courthouses.
[00:27:13.256 --> 00:27:17.616]  We're not those people, like I said on January 6th, we're not Antifa.
[00:27:17.616 --> 00:27:18.757]  We're not attacking the police.
[00:27:18.757 --> 00:27:22.337]  That's the worst thing you can do.
[00:27:22.337 --> 00:27:25.398]  And for that, they've been trying to indict me.
[00:27:25.398 --> 00:27:28.398]  So, this is a big deal.
[00:27:28.398 --> 00:27:32.199]  And my job is just to point out this is going on with the Proud Boys.
[00:27:33.117 --> 00:27:35.159]  Well, everybody know the full scoop.
[00:27:35.159 --> 00:27:37.763]  Because all these other reporters are scared.
[00:27:37.763 --> 00:27:38.584]  I'll hit the barbed wire.
[00:27:38.584 --> 00:27:39.004]  Don't worry.
[00:27:39.004 --> 00:27:41.127]  I've done it a few times.
[00:27:41.127 --> 00:27:45.772]  I wear my scars like medals.
[00:27:45.772 --> 00:27:47.855]  And it's what I'm committed to do.
[00:27:47.855 --> 00:27:48.696]  Actually, I don't like it.
[00:27:49.861 --> 00:27:51.543]  But, I kind of do.
[00:27:51.543 --> 00:27:52.004]  You know what I mean?
[00:27:52.004 --> 00:27:54.186]  Like, I'm like, oh god, I gotta run to the barbwire again.
[00:27:54.186 --> 00:27:56.529]  This is really gonna not feel too hot.
[00:27:56.529 --> 00:27:58.572]  And, you know, you know where it leads in the end.
[00:27:58.572 --> 00:28:03.939]  But, somebody's gotta blow open, non-violently, holes in the enemy.
[00:28:03.939 --> 00:28:05.641]  Somebody's gotta blow breaches.
[00:28:05.641 --> 00:28:07.743]  Somebody's gotta be on the suicide squad.
[00:28:07.743 --> 00:28:08.184]  And that's me!
[00:28:09.145 --> 00:28:10.906]  And I don't mean I'm ever going to commit suicide.
[00:28:10.906 --> 00:28:12.007]  I would never do that.
[00:28:12.007 --> 00:28:15.510]  If they come kill me or say I killed myself or killed my family.
[00:28:15.510 --> 00:28:19.032]  They like to come kill you and then kill your family and say you did it.
[00:28:19.032 --> 00:28:20.013]  That's their favorite thing.
[00:28:20.013 --> 00:28:20.693]  That's their MO.
[00:28:20.693 --> 00:28:21.534]  I would never do that.
[00:28:21.534 --> 00:28:24.816]  I don't use hard drugs, occasionally smoke marijuana, drink some alcohol.
[00:28:24.816 --> 00:28:28.619]  If they ever find me dead in a hotel with a heroin needle in my arm, I was murdered.
[00:28:28.619 --> 00:28:31.981]  When I say suicide squad, that's a military term.
[00:28:31.981 --> 00:28:33.022]  Permissions that have got
[00:28:34.068 --> 00:28:36.489]  A 50% more chance you're going to die.
[00:28:36.489 --> 00:28:37.750]  There are people that volunteer for those.
[00:28:37.750 --> 00:28:39.851]  I've had family that have been on suicide squads.
[00:28:39.851 --> 00:28:41.832]  Well, I'm on a modern suicide squad.
[00:28:41.832 --> 00:28:43.993]  Because we're all going to die if we don't do this.
[00:28:43.993 --> 00:28:48.315]  Kind of like in Rathacon, where Spock goes in the reactor and fixes it, because they're all going to die anyways.
[00:28:48.315 --> 00:28:49.315]  Might as well go do it.
[00:28:49.315 --> 00:28:50.136]  He's the toughest one.
[00:28:50.136 --> 00:28:50.836]  He does it.
[00:28:50.836 --> 00:28:52.137]  That's what we're doing here, folks.
[00:28:52.137 --> 00:28:54.438]  We need people to go into the reactor and fix it right now.
[00:28:59.966 --> 00:29:08.173]  Ladies and gentlemen, this book, The Great Reset and the War for the World, is a historic book that documents the globals, in their own words, plan for our future.
[00:29:08.173 --> 00:29:09.634]  That is a hellish future.
[00:29:09.634 --> 00:29:19.042]  Now you'll always, while they still allow books, I guess they're starting to ban them, be able to get an unsigned copy of The Great Reset and the War for the World at bookstores, Amazon, or infowareshore.com.
[00:29:19.042 --> 00:29:24.646]  But you will never be able to get another signed copy of the book after the signed copies we got run out.
[00:29:24.646 --> 00:29:26.608]  And there's about a thousand left of them right now.
[00:29:27.188 --> 00:29:32.575]  So get your copy of The Great Reset and The War for the World, a signed copy, at InfoWarsHore.com.
[00:29:32.575 --> 00:29:36.520]  And there is a markup there because this is a fundraiser to keep us on the air.
[00:29:36.520 --> 00:29:42.408]  So you won't just have this historic memento and this powerful book, you'll also know that you help keep InfoWars on the air.
[00:29:42.408 --> 00:29:44.510]  I'm going to thank those of you that have gotten signed copies of the book.
[00:29:45.251 --> 00:29:45.471]  We're good.
[00:30:00.128 --> 00:30:01.048]  We're good to go.
[00:30:18.553 --> 00:30:19.114]  We're good to go!
[00:30:41.212 --> 00:30:41.873]  I've got some good news.
[00:31:01.611 --> 00:31:08.496]  Our high-quality supplements really work, and we have about an 80% reorder rate with customers.
[00:31:08.496 --> 00:31:09.317]  That's the good news.
[00:31:09.317 --> 00:31:10.457]  They're amazing.
[00:31:10.457 --> 00:31:18.643]  The bad news is, around 1% or a little less of our actual viewers and listeners ever go to InfoWarStore.com and ever actually buy the products.
[00:31:18.643 --> 00:31:22.086]  So you're missing out on these products, plus it funds the InfoWar.
[00:31:22.086 --> 00:31:27.009]  Think of what we've done with just 1% of our massive audience actually buying products.
[00:31:27.009 --> 00:31:27.850]  Think what would happen.
[00:31:28.770 --> 00:31:42.299]  If those of you on the fence actually went to InfoWarStore.com and got some of these amazing products, I would recommend Turmeric 95 for your joints, your bones, inflammation, to get one of the biggest effects, so you reorder it and see how great it is.
[00:31:42.299 --> 00:31:51.265]  Also, we've got the super high-quality, full-spectrum CBD oil that's so good for your neurological systems, your brain, your joints, your bones as well.
[00:31:51.265 --> 00:31:52.646]  Or Real Red Pill Plus.
[00:31:52.646 --> 00:31:57.069]  Just go try the product, fund the InfoWar, and help us defeat the New World Order together.
[00:31:57.069 --> 00:31:58.330]  InfoWarStore.com.
[00:31:59.590 --> 00:32:02.311]  There is a war for the future happening right now.
[00:32:02.311 --> 00:32:07.173]  There is a war that will control my destiny, your destiny, our children's destinies.
[00:32:07.173 --> 00:32:12.495]  And that war is something that we can win, but it takes dedication, it takes commitment.
[00:32:12.495 --> 00:32:22.518]  That's why I ask listeners, respectfully, to go to infowarestore.com and buy great products that will enrich and empower your life while keeping us on air at the very same time.
[00:32:23.218 --> 00:32:29.468]  Infowarstore.com to get a signed or unsigned copy of my book, The Great Reset and War for the World.
[00:32:29.468 --> 00:32:31.391]  Ultimate Bone Broth, back in stock.
[00:32:31.391 --> 00:32:38.501]  Nitric Boost, the amazing CBD oil we have that's the highest quality you're going to find anywhere at more than half off.
[00:32:39.082 --> 00:32:41.303]  It's all available at InfoWarsTore.com.
[00:32:41.303 --> 00:32:43.145]  Some of the very best products.
[00:32:43.145 --> 00:32:45.266]  And a lot of you have never shopped at InfoWarsTore.
[00:32:45.266 --> 00:32:50.589]  You've been watching for years, you've been listening for years, but you've never taken the step to go to InfoWarsTore.
[00:32:50.589 --> 00:32:53.491]  These are great products that really work and are amazing.
[00:32:53.491 --> 00:32:54.831]  Plus, they keep us on air.
[00:32:54.831 --> 00:32:56.332]  So again, please take action.
[00:32:56.332 --> 00:33:01.455]  Go to InfoWarsTore.com today, and I thank you.
[00:33:01.455 --> 00:33:07.359]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:33:16.132 --> 00:33:20.996]  Defending the Republic from enemies, foreign and domestic.
[00:33:20.996 --> 00:33:22.838]  It's Alex Jones.
[00:33:22.838 --> 00:33:26.541]  My love is unconditional.
[00:33:26.541 --> 00:33:28.662]  We knew it from the start.
[00:33:28.662 --> 00:33:33.166]  I see it in your eyes.
[00:33:33.166 --> 00:33:37.710]  You can feel it from my heart.
[00:33:37.710 --> 00:33:42.754]  From here on after, let's stay the way we are right now.
[00:33:48.123 --> 00:33:53.545]  We've got to defend our children.
[00:33:53.545 --> 00:33:56.787]  We've got to stand up and take our legs.
[00:33:56.787 --> 00:33:58.347]  We've got to be men.
[00:33:58.347 --> 00:34:00.788]  We've got to be women.
[00:34:00.788 --> 00:34:06.010]  We've got to be strong.
[00:34:06.010 --> 00:34:09.652]  And you've got my pledge to never back down and never give up.
[00:34:12.759 --> 00:34:17.142]  But if you take a look at the news and where the world is, they're getting us ready for full World War III right now.
[00:34:17.142 --> 00:34:19.483]  It's already begun.
[00:34:19.483 --> 00:34:22.445]  So get right with God.
[00:34:22.445 --> 00:34:26.067]  All right, I got so much news here and so much to cover.
[00:34:26.067 --> 00:34:30.670]  I mean, I could spend the whole show on this one article we'll cover next segment.
[00:34:30.670 --> 00:34:32.291]  The Washington Post has a big article out.
[00:34:34.244 --> 00:34:43.647]  Selling everybody on how we need more lockdowns for future viruses and how terrible libertarians and conservatives are for fighting against it and successfully proving it's all a fraud.
