[00:00:08.095 --> 00:00:10.216]  It's Friday, August 28th.
[00:26:16.548 --> 00:26:18.769]  And I noticed the energy levels drop.
[00:26:18.769 --> 00:26:21.131]  You got to remember to take the supplements, folks.
[00:26:21.131 --> 00:26:22.372]  And it funds the operation.
[00:26:22.372 --> 00:26:23.112]  So take action.
[00:26:23.112 --> 00:26:24.213]  X2 back in stock.
[00:26:24.213 --> 00:26:24.813]  Get yours.
[00:26:24.813 --> 00:26:30.737]  And I'm going to take a squirt of it right now on air, because I'm not going to forget to take this.
[00:26:30.737 --> 00:26:33.919]  It is so incredibly important to do that.
[00:26:33.919 --> 00:26:34.520]  The good halogen.
[00:26:35.748 --> 00:26:37.269]  Learn why it's so important.
[00:26:37.269 --> 00:26:45.711]  InfowarStore.com, X2, back in stock, 50% off and free shipping.
[00:26:45.711 --> 00:26:46.832]  888-253-3139, 888-253-3139.
[00:26:46.832 --> 00:26:49.713]  And we have to end these specials on Monday.
[00:26:49.713 --> 00:26:50.613]  Take advantage of it now.
[00:26:50.613 --> 00:26:51.293]  You can't lose it.
[00:26:51.293 --> 00:26:56.275]  Fun's the Infowar.
[00:26:56.275 --> 00:26:59.376]  There's a nauseating sense to it.
[00:26:59.376 --> 00:27:02.957]  Not a sense of triumph, not a sense of victory.
[00:27:04.051 --> 00:27:10.872]  Not a sense of completion, but a sense of sick nausea.
[00:27:10.872 --> 00:27:22.254]  Though we were right about the world government, we were right about the anti-human plans, we were right about all the horrible things the globalists and their satanic order want to do to us.
[00:27:22.254 --> 00:27:30.236]  Now we sit here, warning people for decades, trying to get people ready, trying to stop what was coming, but you know what?
[00:27:31.657 --> 00:27:34.579]  Revelations and God's Word says it's coming so you can't stop it.
[00:27:34.579 --> 00:27:48.829]  And it's in that understanding that we're part of God's larger plan that we come to the point in our own psyche, our own spirit, our own will that we submit to God and realize God's in charge and God has power.
[00:27:48.829 --> 00:27:50.730]  And the devil is set as the tester.
[00:27:50.730 --> 00:27:53.172]  And now it's up to us to make the right decision.
[00:27:53.172 --> 00:27:54.373]  That's what it's really always been about.
[00:27:55.168 --> 00:28:14.431]  Constantly, whether it's the New York Times, The Washington Post, or Howard Stern, you name it, they come out and they attack him full force saying, Jones claims civil war is coming, and financial collapse, and planetary lockdowns using viruses, and he tells people they should get off the grid and get prepared and have storable food if they can.
[00:28:15.012 --> 00:28:22.177]  And now everything I've warned people about is coming true, because it was all in the Rockefeller Foundation documents, like lockstep.
[00:28:22.177 --> 00:28:25.340]  This is the Corporate Planetary Takeover.
[00:28:25.340 --> 00:28:31.624]  So yes, I stand by what I said 10 years ago, what I said a year ago, and what I said last week more than ever.
[00:28:31.624 --> 00:28:34.947]  Get your high-quality, storable foods at InfoWareStore.com.
[00:28:34.947 --> 00:28:39.110]  That's one of the key check marks of the check boxes you've got to have checked off.
[00:28:39.110 --> 00:28:41.472]  InfoWareStore.com, and their delivery is now
[00:28:41.992 --> 00:29:00.905]  I'm going to say something right now that is one of the most important things I've ever said, so please listen very, very carefully.
[00:29:00.905 --> 00:29:06.788]  Donald Trump is not the reason they released COVID or had the lockdown.
[00:29:06.788 --> 00:29:10.131]  They already had this plan, the Rockefeller Foundation and Bill and Melinda Gates.
[00:29:11.411 --> 00:29:13.753]  It is beyond critical.
[00:29:13.753 --> 00:29:24.520]  It is life and death for you and your family to understand, no matter where you live on the planet, that this is a worldwide, world government takeover, on record, that it's never going to end.
[00:29:24.520 --> 00:29:26.621]  The United Nations has admitted that.
[00:29:26.621 --> 00:29:30.104]  First it's a month, then it's six months, then they say, okay, it's two years.
[00:29:30.104 --> 00:29:32.545]  They're now saying two years.
[00:29:32.545 --> 00:29:35.347]  They're now saying you'll never go back to normal.
[00:29:35.347 --> 00:29:37.649]  No more gatherings, no more anything.
[00:29:37.649 --> 00:29:40.671]  Constant forced inoculations that they admit don't even work.
[00:29:41.786 --> 00:29:44.628]  And the way they say they work, they change your DNA.
[00:29:44.628 --> 00:29:47.749]  This is the culling of the planet.
[00:29:47.749 --> 00:29:52.972]  This is the beginning of the straitjacket being put on you before you're slowly tortured to death and killed.
[00:29:52.972 --> 00:29:57.174]  Do you understand?
[00:29:57.174 --> 00:29:59.776]  You're listening to the Alex Jones Show.
[00:30:06.173 --> 00:30:11.939]  And again, thank you so much for joining us on this August 28th.
[00:30:24.790 --> 00:30:45.084]  2020 Friday edition 66 days out from the election and Owen Schroer is going to be hosting coming up the second and third hours today ahead of Dr. Nick baggage because I have some business and analysis and also family issues to deal with I'll be back this Saturday with a special transmission 2 to 4 p.m.
[00:30:45.084 --> 00:30:52.629]  Central it'll be commercial free and of course we'll also now have the Sunday show that's been going on for 16 years and that is 4 to 6 p.m.
[00:30:52.629 --> 00:30:53.930]  live and then after that
[00:30:54.550 --> 00:30:57.932]  Sunday live with Owen Schroyer through the election.
[00:30:57.932 --> 00:30:59.713]  We'll probably keep it going after that.
[00:30:59.713 --> 00:31:00.754]  Basically commercial free.
[00:31:00.754 --> 00:31:03.215]  Just a few minutes of local ads.
[00:31:03.215 --> 00:31:04.416]  Four minutes at the bottom of the hour.
[00:31:04.416 --> 00:31:07.138]  A couple minutes at the top of the hour for local stations that want to pick it up.
[00:31:07.138 --> 00:31:09.439]  But commercial free for InfoWars.
[00:31:09.439 --> 00:31:11.780]  Talking six minutes of ads an hour.
[00:31:11.780 --> 00:31:13.341]  We'll air a few promos and things like that.
[00:31:13.341 --> 00:31:14.602]  But it's just so much news.
[00:31:14.602 --> 00:31:15.442]  Breaks on the weekend.
[00:31:16.403 --> 00:31:17.424]  We're turning up the heat.
[00:31:17.424 --> 00:31:20.006]  We're trying to hire more really smart analysts and hosts.
[00:31:20.006 --> 00:31:23.209]  We're trying to fight the globalists as hard as we can.
[00:31:23.209 --> 00:31:26.733]  So I want to thank you all for your support and keeping us in that fight.
[00:31:26.733 --> 00:31:28.775]  Without you, InfoWars would not be here.
[00:31:28.775 --> 00:31:29.956]  So let that sink in.
[00:31:30.959 --> 00:31:38.745]  Okay, I want to get back to the metastasizing class war, as Zero Hedge calls it in a great article today.
[00:31:38.745 --> 00:31:41.146]  It's posted at InfoWars.com.
[00:31:41.146 --> 00:31:42.127]  Because that's what this is.
[00:31:42.127 --> 00:31:51.093]  You have the big, powerful, ruling, globalist billionaires who, through fiat currency and currency manipulation, have created thousands of trillions
[00:31:52.145 --> 00:31:59.653]  of fake dollars and yons and yens and rubles and pesos and shekels and all the rest of it.
[00:31:59.653 --> 00:32:04.137]  And so they believe they own the earth through fraud and so they're engineering the economy.
[00:32:05.049 --> 00:32:06.630]  They are setting the economy up.
[00:32:06.630 --> 00:32:22.042]  They are developing the economy to slowly transfer all the real wealth from us now, and they're going to use their fiat currency to basically actuary and rig the economy to consolidate the control and put us into a neo-feudalistic surf system.
[00:32:22.682 --> 00:32:31.326]  And then they'll push being poor and push being sick and push dying young and being ill and being forcibly inoculated as a great thing for the Earth.
[00:32:31.326 --> 00:32:45.293]  The austerity of the carbon taxes as they praise the COVID-19 shutdown as saving the planet, as we told you was actually their plan, when really it's all just a giant power grab.
[00:32:45.293 --> 00:32:46.614]  But who are these individuals?
[00:32:47.759 --> 00:32:55.166]  Well, they believe they're God, and their religion is having no empathy and feeding on humans like we're lower than cattle.
[00:32:55.166 --> 00:33:12.202]  And so, when you see Kevin McCarthy, the leader of the Republicans in the House, the House Minority Leader, come out and say, oh, there's no child molestation rings, there's no international cabal of child molestation and blackmail, he's joining Jeffrey Epstein.
[00:33:13.308 --> 00:33:21.279]  He is joining the whole system that uses the abuse of children as a global currency and a way to compromise people.
[00:33:21.279 --> 00:33:23.822]  He is covering that up.
[00:33:23.822 --> 00:33:29.069]  And Congressman Gosar and others have come out and exposed it and said it's a terrible thing what he's doing.
[00:33:31.031 --> 00:33:38.654]  You still have these establishment Republicans that are a big, big problem and are really openly opposing President Trump's agenda.
[00:33:38.654 --> 00:33:40.975]  Trump knows there's a major pedophile problem.
[00:33:40.975 --> 00:33:43.976]  Trump knows there's a major devil worshiper problem.
[00:33:43.976 --> 00:33:46.177]  It's the operating system of these people.
[00:33:46.177 --> 00:33:47.537]  Go out to an Antifa meeting.
[00:33:47.537 --> 00:33:52.619]  They almost all have Mao and Baphomet tattoos.
[00:33:52.619 --> 00:33:56.201]  One of the guys that got shot tried to chase down and attack
[00:33:57.779 --> 00:34:04.901]  The young man in Wisconsin a few nights ago is now facing life in prison for murder one.
[00:34:04.901 --> 00:34:07.582]  He was wearing a bandana with a bathamette on it.
[00:34:07.582 --> 00:34:10.523]  Of course, he had a long rap sheet and criminal background.
[00:34:10.523 --> 00:34:17.605]  And the other guy was a convicted child rapist of a 12-year-old girl and also had a long laundry list of things as well.
[00:34:17.605 --> 00:34:19.626]  And the other guy had a big laundry list of things.
[00:34:20.998 --> 00:34:25.159]  But you read CNN articles about them, they were heroes, they were good, they did nothing.
[00:34:25.159 --> 00:34:36.221]  They don't tell you that at least one of the men was chasing the young man with a handgun in his hand with an extended aiming at him.
[00:34:36.221 --> 00:34:41.922]  You read the CNN articles, not one single mention of any of this.
[00:34:41.922 --> 00:34:49.783]  So we've gotten to the point now where Rittenhouse is a criminal for defending himself
[00:34:50.816 --> 00:35:01.400]  But when the left goes out and actually attacks patriots and actually shoots people in the head at communist checkpoints and the rest of it, it's hardly even in the news.
[00:35:01.400 --> 00:35:10.824]  And when it comes out, it is approved of because people like Maxine Waters and others have said, go out and do this to drive the American people into submission.
[00:35:10.824 --> 00:35:13.445]  And a lot of people say, well, this should backfire on them.
[00:35:13.445 --> 00:35:15.105]  People should revolt against this.
[00:35:15.105 --> 00:35:16.986]  Why do they think that it's intimidating us?
[00:35:16.986 --> 00:35:19.027]  Why do they think that bullying us will work?
[00:35:20.538 --> 00:35:25.720]  They bullied us on language and on culture and on our economy and on our system for decades.
[00:35:25.720 --> 00:35:31.221]  And all we've done by increments is give in and bow down.
[00:35:31.221 --> 00:35:37.583]  And so that's why now in 2020, they're swinging for the fences because they have nothing to lose.
[00:35:37.583 --> 00:35:39.304]  They know you're starting to wake up.
[00:35:39.304 --> 00:35:44.925]  They know people realize that submission is tyranny, that submission is slavery and death.
[00:35:44.925 --> 00:35:46.926]  And so they're trying to finish the job
[00:35:47.406 --> 00:35:48.407]  We're good to go.
[00:36:12.222 --> 00:36:22.937]  And now they've been giving the Margaret Sanger Award for 60-something years at Planned Parenthood, the famous Nazi eugenicist that Hitler said, quote, was his leader and his Bible.
[00:36:23.854 --> 00:36:32.417]  And his mentor, they no longer give the Margaret Sanger Award a few months after the original Planned Parenthood in New York took her name off of it.
[00:36:32.417 --> 00:36:37.898]  So we can go to the left and go to the Democrats and point out, you founded the KKK.
[00:36:37.898 --> 00:36:40.359]  You founded Jim Crow.
[00:36:40.359 --> 00:36:44.340]  The NRA was founded to counter you and your terrorist cells.
[00:36:44.340 --> 00:36:46.381]  The KKK, literally.
[00:36:46.381 --> 00:36:50.482]  And you run these Nazi operations and you've enslaved black people.
