[00:00:00.029 --> 00:00:00.271]  What's up?
[00:29:21.454 --> 00:29:23.076]  My blood pressure has normalized.
[00:29:23.076 --> 00:29:25.338]  My diabetes has totally improved.
[00:29:25.338 --> 00:29:29.743]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:29:29.743 --> 00:29:31.945]  I recommend Heart and Body Extract to everyone.
[00:29:31.945 --> 00:29:39.693]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:29:39.833 --> 00:29:43.997]  Order your two month supply today by calling 8 6 6 2 9 5 5 3 0 5.
[00:29:43.997 --> 00:29:47.881]  That's 8 6 6 2 9 5 5 3 0 5.
[00:29:47.881 --> 00:29:56.770]  Or order online HB extract dot com heart and body extract 8 6 6 2 9 5 5 3 0 5 or HB extract dot com.
[00:30:01.807 --> 00:30:03.707]  The globalists think America's done.
[00:30:03.707 --> 00:30:05.548]  The globalists think the West is done.
[00:30:05.548 --> 00:30:08.328]  They think that Christians are done and finished.
[00:30:08.328 --> 00:30:10.569]  They believe they've broken our backs.
[00:30:10.569 --> 00:30:15.490]  They believe that with big tech censorship, we'll just crawl into ditches and submit to them.
[00:30:15.490 --> 00:30:27.292]  And they believe that if they can demonize and shut down InfoWars, that they rightfully see as a symbol, a beacon of populism and freedom, not just to America, but to the whole world, that they can demoralize everybody else and win.
[00:30:27.292 --> 00:30:30.013]  While they can shut InfoWars down, they can intimidate everybody else.
[00:30:30.453 --> 00:30:33.854]  That's why it's beyond critical that you keep InfoWars on the air.
[00:30:33.854 --> 00:30:37.496]  It's only by your word of mouth, your prayer, your financial support that we're on air.
[00:30:37.496 --> 00:30:41.057]  And I want to thank you all this Christmas for your past support.
[00:30:41.057 --> 00:30:49.580]  But I want to encourage you now to redouble your efforts and financially support us by getting great products you need during the 12 days of Christmas at InfoWarsStore.com.
[00:30:49.580 --> 00:30:54.041]  Massive sales, store-wide free shipping, double-paid reappoints.
[00:30:54.041 --> 00:30:55.862]  InfoWarsStore.com.
[00:30:55.862 --> 00:30:56.962]  Please take action now.
[00:30:56.962 --> 00:30:58.483]  George Soros hopes you don't.
[00:30:59.534 --> 00:31:02.839]  So what's the most important part, let's say, in a bulldozer running over the glove list?
[00:31:02.839 --> 00:31:06.303]  The treads, the wheels, the engine, the scoop on the front.
[00:31:06.303 --> 00:31:09.047]  It's all very important, but the fuel is paramount.
[00:31:09.047 --> 00:31:09.948]  And that's my allegory.
[00:31:10.990 --> 00:31:22.055]  TurboForce is vitamins, minerals, amino acids that synergistically work with six different natural forms of healthy, clean energy that last for 10 hours in the average metabolic system metabolism of a human.
[00:31:22.055 --> 00:31:24.376]  Some people get 15 hours out of it, some people get about 8 hours.
[00:31:24.376 --> 00:31:30.118]  But people take this, people take it in sports, people cannot believe it's the best they've ever had because it's not hype.
[00:31:30.118 --> 00:31:36.341]  Nobody puts as much product into their pre-workouts, their post-workouts, you can call us whatever you want.
[00:31:36.341 --> 00:31:37.761]  It's a total solution.
[00:31:37.761 --> 00:31:38.942]  All around the best you're going to find.
[00:31:39.062 --> 00:31:40.043]  Turbo Force.
[00:31:40.043 --> 00:31:42.306]  Without you, we don't roll.
[00:31:42.306 --> 00:31:44.028]  With you, we surge forward together.
[00:31:44.028 --> 00:31:46.051]  It's like the bulldozer without the diesel fuel.
[00:31:46.051 --> 00:31:48.674]  If we don't have your financial support, we will be defeated.
[00:31:48.674 --> 00:31:51.718]  You support us and get products you already need that literally fuel your body and your mind?
[00:31:51.718 --> 00:31:52.719]  It's a win-win.
[00:31:52.719 --> 00:31:54.201]  360 together.
[00:31:54.201 --> 00:31:55.643]  Infowarsstore.com or AAA253-3139.
[00:32:02.276 --> 00:32:03.937]  Owl Killer in New Jersey.
[00:32:03.937 --> 00:32:04.517]  You're on the air.
[00:32:04.517 --> 00:32:05.077]  Go ahead.
[00:32:05.077 --> 00:32:07.859]  Alex, hey, I just want to say it's great to be back once again.
[00:32:07.859 --> 00:32:10.940]  And I've never gotten to do this, but I'm going to give you a shout out for your product.
[00:32:10.940 --> 00:32:16.223]  So that super blue fluoride free toothpaste and that super blue whitening toothpaste is on another level.
[00:32:16.223 --> 00:32:21.385]  I use the one I use the super blue in the morning and then the whitening at night and it absorbs into your gum.
[00:32:21.385 --> 00:32:24.207]  It is by far the best product I've ever used in my life.
[00:32:24.207 --> 00:32:26.848]  I literally just took turbo force on my way to the gym right now.
[00:32:27.048 --> 00:32:35.135]  I've had four shoulder surgeries and a back surgery, and that body has made me feel better than any type of physical therapy or anything that I've ever done in my life.
[00:32:35.135 --> 00:32:36.476]  So I just want to get that out of the way.
[00:32:36.476 --> 00:32:37.457]  Support this man.
[00:32:37.457 --> 00:32:38.898]  Everything that he exposed.
[00:32:38.898 --> 00:32:40.319]  Nobody knew about Bohemian Grove.
[00:32:40.319 --> 00:32:41.440]  Nobody knew about Epstein.
[00:32:41.440 --> 00:32:42.741]  Nobody knew about Bilderberg.
[00:32:42.741 --> 00:32:45.584]  Nobody called 9-11 before it happened in July 2001.
[00:32:45.584 --> 00:32:47.245]  Go look it up yourself.
[00:32:47.245 --> 00:32:48.386]  Well, we try our best, sir.
[00:32:48.386 --> 00:32:49.607]  They definitely want us off the air.
[00:32:49.607 --> 00:32:50.528]  Without you, we're not here.
[00:32:50.528 --> 00:32:52.429]  But yeah, these are all great products, so thank you, sir.
[00:33:01.912 --> 00:33:13.774]  You're listening to the Alex Jones Show.
[00:33:13.774 --> 00:33:25.476]  You are listening to an Infowars.com Frontline Report.
[00:33:25.476 --> 00:33:29.357]  If you are receiving this transmission, you are the resistance.
[00:33:34.172 --> 00:33:47.060]  I once had an off-record discussion with the head of one of the four largest banks in the United States.
[00:33:47.060 --> 00:33:51.463]  And I'm not going to tell the whole story again, I've told it many times.
[00:33:51.463 --> 00:34:01.129]  But, that was probably, it wasn't probably, that was about 14 years ago.
[00:34:01.129 --> 00:34:03.090]  And what they told me, I already knew,
[00:34:04.187 --> 00:34:10.229]  But I didn't understand that it was the foundation of everything they've launched against us.
[00:34:10.229 --> 00:34:16.611]  And it's what I was just covering last segment.
[00:34:16.611 --> 00:34:20.012]  How they're going, yeah, we kill babies because we enjoy it.
[00:34:20.012 --> 00:34:20.912]  And they are humans.
[00:34:20.912 --> 00:34:27.214]  And we love snuffing out their whole future and stealing the essence of their life force.
[00:34:32.793 --> 00:34:37.997]  And they have top environmentalists go, yeah, we love nuclear reactors, they're leaking, they're going to kill the Earth.
[00:34:37.997 --> 00:34:40.419]  We want to kill the Earth for the Earth.
[00:34:40.419 --> 00:34:43.842]  And the post-human world is here.
[00:34:43.842 --> 00:34:47.405]  And all the rest of it.
[00:34:47.405 --> 00:34:51.268]  Because these are desperate people that have sold out to evil.
[00:34:51.268 --> 00:34:55.711]  And they are trying to get us to go with them because misery loves company.
[00:34:55.711 --> 00:34:58.534]  We already know the reason for all of this.
[00:35:01.266 --> 00:35:10.495]  All over the world, civilizations are discovered that had plenty of water and plenty of food when they collapsed, and there's not even signs of disease, but they're all gone.
[00:35:10.495 --> 00:35:14.880]  And you know what they always find?
[00:35:14.880 --> 00:35:23.128]  Giant masses of skeletons that have been
[00:35:27.110 --> 00:35:32.712]  Just a few months ago, archaeologists in Germany found a town in Germany that's about 8,000 years old.
[00:35:32.712 --> 00:35:43.214]  And they found tens of thousands of skeletons that had been butchered and eaten.
[00:35:43.214 --> 00:35:55.758]  And the scientists studied it and found out they were people from all over Europe, some of them over 2,000 miles away, that had been taken there to be eaten.
[00:35:56.872 --> 00:35:59.332]  I meant to cover that story on air.
[00:35:59.332 --> 00:36:01.373]  You can just type it in.
[00:36:01.373 --> 00:36:08.074]  Stone Age town found in Germany was based on cannibalism.
[00:36:08.074 --> 00:36:09.755]  You're like, why would they do that?
[00:36:09.755 --> 00:36:21.857]  And why were people getting hauled there from a thousand miles away or more before recorded history?
[00:36:24.070 --> 00:36:31.777]  Well, it's as in the days of Noah, so shall it be in the days of the Antichrist.
[00:36:31.777 --> 00:36:48.773]  I mean, you don't think Robert E. Howard, living in Texas, just wrote all those Conan books where Thulsa Dooms riding around kidnapping barbarian kids to take them to a faraway kingdom to be gladiators.
[00:36:52.981 --> 00:36:57.205]  Before recorded history, and then they actually find villages with the exact same thing.
[00:36:57.205 --> 00:36:59.227]  Well, that guy was a mason.
[00:36:59.227 --> 00:37:04.952]  They have the secret knowledge handed down.
[00:37:04.952 --> 00:37:06.173]  He wasn't just any mason.
[00:37:06.173 --> 00:37:10.777]  Before he committed suicide, he was basically the heavyweight champion of the world.
[00:37:10.777 --> 00:37:11.838]  Boxer.
[00:37:11.838 --> 00:37:13.500]  The Conan the Barbarian character was him.
[00:37:23.848 --> 00:37:27.974]  And then they go find villages, basically find the same thing.
[00:37:27.974 --> 00:37:30.258]  How do you put that in a book?
[00:37:30.258 --> 00:37:33.143]  How do you know about stuff like that?
[00:37:33.143 --> 00:37:37.710]  Because the establishment knows all of this and knows the real history, and we don't.
[00:37:44.059 --> 00:37:51.082]  And the sooner we start figuring out how things really work, and the real history of this planet, the sooner we can get about having a future together.
[00:37:51.082 --> 00:38:05.127]  But if we don't admit who these globalists are, and what they're doing, and who they're working with that's anti-human, we don't have a chance in hell.
[00:38:05.127 --> 00:38:07.027]  By the way, I'm not attacking Masons in general.
[00:38:07.027 --> 00:38:08.248]  George Washington was a Mason.
[00:38:09.164 --> 00:38:18.853]  And he wrote about the Illuminati taking over masonry and devil worship taking it over in letters that are in the National Archive.
[00:38:18.853 --> 00:38:21.755]  You can pull them up and read them.
[00:38:21.755 --> 00:38:24.978]  Sounds like the Alex Jones Show when you read them.
[00:38:24.978 --> 00:38:30.323]  Evil secret society organizations trying to take over Christianity, trying to take over masonry.
[00:38:36.530 --> 00:38:37.852]  These groups will take anything over.
[00:38:37.852 --> 00:38:40.395]  Protestants, Catholics, Muslims.
[00:38:40.395 --> 00:38:44.521]  But it's all the same group.
[00:38:44.521 --> 00:38:50.048]  Masonry is just old-fashioned colleges.
[00:38:50.048 --> 00:38:52.792]  They didn't just teach anybody mathematics or carpentry or
[00:38:57.978 --> 00:39:02.159]  Astrophysics, under other names, it was done in secret societies.
[00:39:02.159 --> 00:39:05.280]  And so you have the mystery cults, the mystery schools, the mystery religions.
[00:39:05.280 --> 00:39:08.141]  That's all this is.
[00:39:08.141 --> 00:39:12.462]  And then there's the lore that goes back into those mystery schools.
[00:39:12.462 --> 00:39:17.063]  And some of the lore is true, some of the lore isn't true.
[00:39:17.063 --> 00:39:23.865]  But all the books weren't destroyed in Alexandria, at the fire at the Great Library.
[00:39:23.865 --> 00:39:26.406]  They were hauled back to places like Rome.
[00:39:27.995 --> 00:39:38.998]  You don't just think Christopher Columbus knew about the New World because he just dreamed it up in a crystal ball.
[00:39:38.998 --> 00:39:41.019]  Sir Francis Bacon.
[00:39:41.019 --> 00:39:42.859]  All of them knew about it.
[00:39:42.859 --> 00:39:46.561]  They had a plan.
[00:39:46.561 --> 00:39:49.581]  They were already sending people to the New World.
[00:39:49.581 --> 00:39:54.743]  The Mayflower was a mission that came hundreds of years after missions previously.
