[00:00:03.114 --> 00:00:07.156]  Ladies and gentlemen.
[00:27:54.794 --> 00:27:57.837]  You want movement from the Justice Department?
[00:27:57.837 --> 00:28:11.348]  His new FBI director has signaled he's getting ready to put Robert Mueller, James Comey, Hillary Rodham Clinton, and Billy Boyd, pedophile Clinton, in the grease.
[00:28:11.348 --> 00:28:14.731]  He's got the grease turned up at a nice 300 degrees or so.
[00:28:17.398 --> 00:28:18.158]  He's turning it up to 350.
[00:28:18.158 --> 00:28:24.480]  They're in the hopper and the button's going into the grease.
[00:28:24.480 --> 00:28:25.820]  So that's coming up.
[00:28:25.820 --> 00:28:30.461]  Roger Stone joins us with the exclusive intel on that.
[00:28:30.461 --> 00:28:36.583]  Also is General Michael T. Flynn really turning on Trump?
[00:28:36.583 --> 00:28:43.044]  Somebody talk to folks in that camp and we'll have the answer for you on that and more on the other side.
[00:28:43.044 --> 00:28:45.845]  Tomorrow's news today at InfoWars.
[00:28:45.845 --> 00:28:46.625]  I'm Alex Jones.
[00:28:47.777 --> 00:28:49.721]  We are on the march.
[00:28:49.721 --> 00:28:52.586]  The Empire is on the run.
[00:28:52.586 --> 00:28:55.391]  You're listening to The Alex Jones Show.
[00:28:58.317 --> 00:29:01.679]  Hey, Daniel Brinkman, why NuMana storable foods?
[00:29:01.679 --> 00:29:03.020]  We believe in freedom.
[00:29:03.020 --> 00:29:07.964]  America needs strong, independent families to endure what's ahead, and we take this charge seriously.
[00:29:07.964 --> 00:29:09.025]  We got options.
[00:29:09.025 --> 00:29:11.747]  Organic, no gluten, without the chemicals.
[00:29:11.747 --> 00:29:13.288]  Great taste and value.
[00:29:13.288 --> 00:29:17.791]  NuMana is a no-lose investment for your family's food independence.
[00:29:17.791 --> 00:29:18.912]  Get your NuMana today.
[00:29:18.912 --> 00:29:19.312]  Call 888-597-0775, 888-597-0775.
[00:29:19.312 --> 00:29:21.894]  Online discounts available at powerprepper.com, powerprepper.com.
[00:29:28.158 --> 00:29:30.779]  Most people think life insurance pays after you're dead.
[00:29:30.779 --> 00:29:31.800]  That's true.
[00:29:31.800 --> 00:29:36.843]  But did you know you can have tax-free access to your life insurance while you're still alive?
[00:29:36.843 --> 00:29:42.065]  You can use the life benefits of your life insurance to grow your money with certainty and guarantees.
[00:29:42.065 --> 00:29:46.247]  No stock market risk, no tax risk, and no penalties.
[00:29:46.247 --> 00:29:50.069]  Call Life Benefits if you'd like a free book about how this can be done.
[00:29:50.069 --> 00:29:50.349]  Call 702-660-7000.
[00:29:50.349 --> 00:29:50.750]  That's 702-660-7000.
[00:29:59.966 --> 00:30:05.207]  Protect your skin with SPF 30 Sunscreen Lotion by Emrix Essentials.
[00:30:05.207 --> 00:30:12.368]  Perfect for face and body, this natural unscented sunscreen can be worn at all times of the day, whenever you need sun protection.
[00:30:12.368 --> 00:30:18.249]  We source ingredients from nature, producing a product free of harmful chemicals and toxins.
[00:30:18.249 --> 00:30:26.071]  This natural lotion contains 21% zinc oxide, which is the largest particle size used, and we do not use nanoparticles.
[00:30:26.571 --> 00:30:30.114]  The larger the particle, the safer it is for your body.
[00:30:30.114 --> 00:30:34.238]  The organic oils help hydrate the skin, leaving it nice and smooth.
[00:30:34.238 --> 00:30:38.681]  The truly natural fragrance-free sunscreen for the most sensitive skin.
[00:30:38.681 --> 00:30:44.887]  Emrix Essentials wants you to enjoy the sun and strives to bring you organic products to enhance your life.
[00:30:44.887 --> 00:30:49.771]  Naturally protect your skin with SPF 30 sunscreen lotion by Emrix Essentials.
[00:30:50.031 --> 00:30:53.314]  Stop exposing yourself and your family to toxic ingredients.
[00:30:53.314 --> 00:30:58.577]  Visit InfoWarsStore.com and learn more about the new SPF 30 sunscreen lotion.
[00:31:08.286 --> 00:31:19.135]  When you buy t-shirts, or water filtration systems, or books, or videos, or other materiel from infowarstore.com, you are funding the revolution.
[00:31:19.135 --> 00:31:21.237]  I mean, I cannot say it any clearer.
[00:31:21.237 --> 00:31:24.960]  And so it is essential that you purchase the products at infowarstore.com.
[00:31:24.960 --> 00:31:26.461]  I don't want to thank everybody that has, but
[00:31:26.681 --> 00:31:32.505]  We've got the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine in it.
[00:31:32.505 --> 00:31:34.887]  You cannot beat that for children and adults.
[00:31:34.887 --> 00:31:37.508]  We've got the best mouthwash designed by Dr. Jones.
[00:31:37.508 --> 00:31:40.310]  That's my dad, with colloidal silver and iodine as well.
[00:31:40.310 --> 00:31:42.812]  Infowarslife.com or 888-253-3139.
[00:31:42.812 --> 00:31:51.998]  And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[00:31:51.998 --> 00:31:56.441]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[00:32:00.184 --> 00:32:10.053]  I point out a lot to our listeners and viewers that without you funding our operation by purchasing products and fullworcetour.com, we would not be here.
[00:32:10.053 --> 00:32:11.314]  We don't have corporate sponsors.
[00:32:11.314 --> 00:32:12.775]  We don't have globalist funding.
[00:32:12.775 --> 00:32:14.496]  We're funded by patriots like you.
[00:32:15.097 --> 00:32:29.486]  We also, of course, provide high quality products to make it easy to support yourself and to support us symbiotically as we try to retake this country and the planet and heal the population that's been under globalist engineering.
[00:32:29.486 --> 00:32:34.930]  That said, we're running biggest specials ever every single year during Black Friday.
[00:32:34.930 --> 00:32:37.332]  And this year is even better than last year.
[00:32:37.332 --> 00:32:40.334]  We've got free shipping store wide on everything.
[00:32:40.334 --> 00:32:42.775]  We've got huge sales like Rainforest 50% off.
[00:32:44.514 --> 00:32:47.577]  ProPure water filters 25% off.
[00:32:47.577 --> 00:32:52.022]  We've got 50% off on select high-quality storable foods.
[00:32:52.022 --> 00:32:53.543]  That's unprecedented.
[00:32:53.543 --> 00:32:57.007]  We've got super male vitality 50% off and so much more.
[00:32:57.007 --> 00:33:00.991]  So check it out today.
[00:33:00.991 --> 00:33:03.614]  You're listening to the Alex Jones Show.
[00:33:19.850 --> 00:33:21.997]  The Alex Jones Show.
[00:33:21.997 --> 00:33:23.943]  Because there is a war on.
[00:33:23.943 --> 00:33:24.866]  For your mind.
[00:33:36.124 --> 00:33:42.147]  All right, ladies and gentlemen, Roger Stone, former head of the Trump campaign, has talked to folks.
[00:33:42.147 --> 00:33:49.511]  We'll just leave it at that, and he's got the inside scoop on the FBI, new director, getting ready to move against Mueller, Comey, the Clintons, you name it.
[00:33:49.511 --> 00:33:51.152]  This is very exciting news.
[00:33:51.152 --> 00:33:59.617]  Well, you suddenly see all these emails being put out now showing the cover-up of Mueller and others, back six, seven years ago, of Uranium One.
[00:34:00.526 --> 00:34:05.530]  And the media for a week has been saying that General Flynn is turning against Trump because he's not talking to the White House lawyers anymore.
[00:34:18.237 --> 00:34:19.438]  We're going to explain why.
[00:34:19.438 --> 00:34:25.982]  And I'd already figured this out, but as soon as we were able to talk to the parties, it was what we thought.
[00:34:25.982 --> 00:34:28.824]  So that is coming up.
[00:34:28.824 --> 00:34:31.126]  The White House is full of operatives, folks.
[00:34:31.126 --> 00:34:32.807]  The White House is full of globalists.
[00:34:32.807 --> 00:34:34.088]  You want to leak stuff?
[00:34:34.088 --> 00:34:35.309]  That's like communicating to Mueller.
[00:34:37.677 --> 00:34:40.359]  And Flynn understands that, former head of the Defense Intelligence Agency.
[00:34:40.359 --> 00:34:42.661]  That's how hijacked the White House is.
[00:34:42.661 --> 00:34:45.663]  It's still doing a lot of good, but Trump is surrounded.
[00:34:45.663 --> 00:34:50.087]  Just like Trump fired the head of an agency, it's totally under law, he can do it.
[00:34:50.087 --> 00:34:58.473]  They're now suing him over it because the person that quit appointed someone and is claiming they have the right to appoint someone, not the president.
[00:34:58.473 --> 00:35:01.796]  And the media plays on the public's ignorance and goes, oh look!
[00:35:02.981 --> 00:35:04.462]  Trump fired the head of an agency.
[00:35:04.462 --> 00:35:12.944]  He can't do that when the law is 100% clear for 240 years!
[00:35:12.944 --> 00:35:25.088]  Now before we go any further, I am excited to announce to everybody the launch of something absolutely new, dynamic, and exciting.
[00:35:25.088 --> 00:35:32.371]  And I am so excited to be able to break this down here on air and to be able to
[00:35:36.562 --> 00:35:53.981]  Offer something like this to the public because something like this will be so popular and so successful that it will help fund our operations and our expansion.
[00:35:56.704 --> 00:36:04.687]  Now, first off, ladies and gentlemen, we're in the middle of a 34-hour live broadcast and we're live 10 hours a day right now from 8 a.m.
[00:36:04.687 --> 00:36:05.468]  past 3 p.m.
[00:36:05.468 --> 00:36:07.369]  in the afternoon Central.
[00:36:07.369 --> 00:36:12.631]  But now, we are going to be more and more often doing
[00:36:13.370 --> 00:36:15.931]  34-hour broadcast, where they kick off at 8 a.m.
[00:36:15.931 --> 00:36:25.693]  with David Knight and The Real News, run through InfoWars Live with your truly Alex Jones, right through Owen Schroyer, and the War Room that comes on at 3 o'clock every day.
[00:36:25.693 --> 00:36:30.334]  So it starts one day, runs through 24 hours, and then back through another 10 hours.
[00:36:30.334 --> 00:36:35.916]  That's 34 hours live, and we're calling this 34-hour live transmission, Know Your Enemy.
[00:36:36.556 --> 00:36:48.663]  We're going to get into the globalists, and how they run monopolies, and how they're anti-human, and how they have a church of AI, and worship world government, and worship AI computers, and believe that they're going to become gods.
[00:36:48.663 --> 00:36:51.004]  I reported that 10 years ago on my film, Endgame.
[00:36:51.004 --> 00:36:53.465]  Now you notice that's all over the news.
[00:36:53.465 --> 00:36:57.207]  Google executives met to launch their new church of worshipping AI.
[00:37:00.069 --> 00:37:02.050]  Also be part of the revolution spreading the word.
[00:37:02.050 --> 00:37:04.011]  Infowars.com forward slash show.
[00:37:04.011 --> 00:37:07.232]  Reaching out to new people during the special 34-hour broadcast.
[00:37:07.232 --> 00:37:16.817]  Please, whether you're watching on Facebook, Google, Twitter, YouTube, or listening on a local radio station, or watching us on a local TV station, tell everybody about the transmission and spread the links.
[00:37:16.817 --> 00:37:26.981]  That's how we get around the censors and the globalists that are openly having congressional hearings talking about how they're trying to shut down our free speech.
[00:37:26.981 --> 00:37:28.742]  But first off, ladies and gentlemen,
[00:37:31.471 --> 00:37:47.161]  Introducing the cleanest, purest, most researched heart and body energy nootropic out there.
[00:37:47.161 --> 00:37:47.981]  I am so excited.
[00:37:47.981 --> 00:37:58.028]  It's a two month supply and it goes directly to supercharging the body.
[00:38:00.836 --> 00:38:05.958]  Introducing, ladies and gentlemen, the Real Red Pill.
[00:38:05.958 --> 00:38:18.803]  Now, this doesn't compete with Brain Force Plus, that's so incredibly popular and is a very, very inexpensive, high-quality nootropic that blows away the competition and is our number one best-selling product.
[00:38:18.803 --> 00:38:20.924]  It goes together with it.
[00:38:20.924 --> 00:38:29.427]  The Red Pill has the very best amino acids, wide-spectrum, organic-sourced vitamins and minerals, every vitamin, every mineral you need,
[00:38:31.070 --> 00:38:46.484]  With key amino acids that allow the uptake of it with one final highest quality sourced ingredient that I learned about six, seven years ago from medical doctors that are prescribing this to their patients even though it's not prescription.
[00:38:46.484 --> 00:38:48.265]  And that's preglanone.
[00:38:48.265 --> 00:38:50.988]  They've been giving us this since the 20s for arthritis.
[00:38:50.988 --> 00:38:55.692]  And as you get older, by the age 20, it starts dropping massively.
