[00:00.000 --> 00:01.840]  replace the
[27:40.200 --> 27:43.200]  we thought Mao would be a stabilizing force,
[27:43.200 --> 27:46.200]  so we actually supported him over the nationalists.
[27:46.200 --> 27:51.200]  And David Rockefeller in the 76th obituary for Mao
[27:51.200 --> 27:54.200]  said how great he was and what a great stabilizing effect
[27:54.200 --> 27:57.200]  he was and how they supported him in the New York Times.
[27:57.200 --> 27:59.200]  And I have the actual New York Times article,
[27:59.200 --> 28:01.200]  a Xerox copy of it.
[28:01.200 --> 28:04.200]  And so I don't have all the history books and documents
[28:04.200 --> 28:07.200]  in front of me, but yes,
[28:07.200 --> 28:10.200]  our government admits they put Mao in.
[28:10.200 --> 28:12.200]  All right, thanks a lot.
[28:12.200 --> 28:14.200]  Thank you, I appreciate the call.
[28:14.200 --> 28:16.200]  I wish somebody had that History Channel clip
[28:16.200 --> 28:18.200]  and they would send it to me.
[28:18.200 --> 28:21.200]  But that's just where they're admitting it themselves.
[28:21.200 --> 28:24.200]  But let's go ahead and take another call.
[28:24.200 --> 28:28.200]  Let's talk to Paula in Canada.
[28:28.200 --> 28:30.200]  You're on the air, welcome.
[28:30.200 --> 28:31.200]  Alex, how are you today?
[28:31.200 --> 28:32.200]  Fine, thank you.
[28:32.200 --> 28:33.200]  Good, Alex.
[28:33.200 --> 28:34.200]  It's glad I got a hold of you.
[28:34.200 --> 28:36.200]  I spoke to you before in the past.
[28:36.200 --> 28:38.200]  Listen, Alex, I was a former Canadian Olympic athlete
[28:38.200 --> 28:39.200]  for Canada.
[28:39.200 --> 28:41.200]  I took my coach to the court.
[28:41.200 --> 28:43.200]  It's been in the courts for eight years.
[28:43.200 --> 28:47.200]  It's the longest historical trial ever going in Canada.
[28:47.200 --> 28:50.200]  And I ended up two years ago getting poisoned.
[28:50.200 --> 28:53.200]  After court, me and another girl, we survived it.
[28:53.200 --> 28:56.200]  I'm lucky to be alive today because the microbes
[28:56.200 --> 28:59.200]  in my body and the lesion and the spinal cord are gone.
[28:59.200 --> 29:00.200]  So what happened to you?
[29:00.200 --> 29:01.200]  What's the story?
[29:01.200 --> 29:03.200]  Well, we're not quite sure yet if it relates
[29:03.200 --> 29:05.200]  to where I was living or if it leads to the criminal trial
[29:05.200 --> 29:06.200]  because both of you...
[29:06.200 --> 29:07.200]  Okay, what's the criminal trial?
[29:07.200 --> 29:08.200]  What's your case?
[29:08.200 --> 29:12.200]  Well, the coaches were charged with sexual abuse
[29:12.200 --> 29:14.200]  while I was training for the Olympics.
[29:14.200 --> 29:17.200]  And, you know, it's funny, Alex, like we're talking
[29:17.200 --> 29:20.200]  about Hussein and how you think the system's working.
[29:20.200 --> 29:21.200]  Well, it's not working.
[29:21.200 --> 29:23.200]  I'll tell you, that was about right now.
[29:23.200 --> 29:25.200]  Well, what was the name of your case?
[29:25.200 --> 29:28.200]  Well, they have it under control.
[29:28.200 --> 29:30.200]  It's up this month again in court.
[29:30.200 --> 29:31.200]  It's under the defense again.
[29:31.200 --> 29:36.200]  But I charged three coaches for sexual abuse in Taekwondo.
[29:36.200 --> 29:39.200]  Three of these coaches, two of them were illegal immigrants
[29:39.200 --> 29:40.200]  at the time.
[29:40.200 --> 29:42.200]  The government was aware of that situation.
[29:42.200 --> 29:45.200]  You should see the crap that I've been through in Canada
[29:45.200 --> 29:47.200]  going through a criminal trial.
[29:47.200 --> 29:51.200]  I mean, it's not even set out to be the way it should.
[29:51.200 --> 29:53.200]  I should have never started the thing, Alex,
[29:53.200 --> 29:55.200]  because of where it's going and how I've been...
[29:55.200 --> 29:57.200]  I know, ma'am, but I appreciate your call.
[29:57.200 --> 29:58.200]  We really can't help you.
[29:58.200 --> 30:00.200]  You don't even tell us what the case is.
[30:00.200 --> 30:03.200]  Say it's in the news, but you can't tell us.
[30:03.200 --> 30:05.200]  But I'm sorry to hear about that.
[30:05.200 --> 30:07.200]  You know, there's a lot of corruption.
[30:07.200 --> 30:08.200]  That's a whole other thing.
[30:08.200 --> 30:10.200]  Abu Ghraib, with actual rape rooms,
[30:10.200 --> 30:13.200]  with actual torture rooms, actually beating people to death,
[30:13.200 --> 30:16.200]  actually raping children, they claim all that about Saddam
[30:16.200 --> 30:18.200]  but could never prove it in court.
[30:18.200 --> 30:20.200]  But it's admitted our government does it,
[30:20.200 --> 30:22.200]  but it's good when America does it.
[30:22.200 --> 30:25.200]  Hell, the White House writes memo saying they can do it.
[30:25.200 --> 30:27.200]  We're on the march.
[30:27.200 --> 30:29.200]  The Empire's on the run.
[30:29.200 --> 30:32.200]  Alex Jones and the GCN Radio Network.
[30:36.200 --> 30:37.200]  Hello, friends.
[30:37.200 --> 30:39.200]  Alex Jones here with an important question.
[30:39.200 --> 30:41.200]  What was the last time you used pure soap?
[30:41.200 --> 30:44.200]  I mean, real hard to find all-natural pure soap
[30:44.200 --> 30:47.200]  that contains no dyes, perfumes, deodorants, detergents,
[30:47.200 --> 30:48.200]  or other dangerous toxins.
[30:48.200 --> 30:51.200]  The Calvin Pure Soap Company, for the past 57 years,
[30:51.200 --> 30:54.200]  has been making triple concentrated pure soaps
[30:54.200 --> 30:57.200]  exclusively for healthcare professionals and hospitals.
[30:57.200 --> 31:00.200]  Now, for the first time, Calvin Pure Soap is available,
[31:00.200 --> 31:02.200]  factory directing you and your family.
[31:02.200 --> 31:05.200]  That's great news because Calvin Pure Soap is made
[31:05.200 --> 31:06.200]  from all-natural ingredients.
[31:06.200 --> 31:09.200]  It's earth-friendly and completely environmentally safe.
[31:09.200 --> 31:11.200]  So if you want yesterday's values today
[31:11.200 --> 31:13.200]  for good old-fashioned pure soap,
[31:13.200 --> 31:16.200]  call 1-800-340-7091.
[31:16.200 --> 31:20.200]  Save up to 85% off supermarket and retail store prices.
[31:20.200 --> 31:23.200]  Call today for a Calvin Soap catalog
[31:23.200 --> 31:26.200]  or call 1-800-340-7091.
[31:26.200 --> 31:29.200]  That's 1-800-340-7091.
[31:29.200 --> 31:31.200]  Or on the web at CalvinPureSoap.com.
[31:31.200 --> 31:33.200]  Try Pure Soap once and I'll guarantee
[31:33.200 --> 31:35.200]  you'll never use anything else.
[31:36.200 --> 31:38.200]  Have you ever felt like the United States government
[31:38.200 --> 31:40.200]  knows way too much about your financial affairs?
[31:40.200 --> 31:43.200]  I continue to hear stories about property seizures,
[31:43.200 --> 31:46.200]  frozen bank accounts, confiscation of stocks and bonds.
[31:46.200 --> 31:48.200]  It makes me wonder if the U.S. citizen
[31:48.200 --> 31:50.200]  will ever again have the right to life, liberty,
[31:50.200 --> 31:52.200]  and the pursuit of happiness.
[31:52.200 --> 31:54.200]  Unfortunately, with the Drug and Money Laundering Act,
[31:54.200 --> 31:57.200]  the IRS Revenue ruling 6045 of 1984,
[31:57.200 --> 31:59.200]  and the Trading with the Enemy Act
[31:59.200 --> 32:02.200]  and Franklin D. Roosevelt's Executive Order of 1933,
[32:02.200 --> 32:04.200]  some precious metal holdings are subject
[32:04.200 --> 32:06.200]  to government intervention.
[32:06.200 --> 32:08.200]  For this reason, Mitus Resources has prepared a report
[32:08.200 --> 32:11.200]  explaining the boundaries of trading precious metals privately.
[32:11.200 --> 32:13.200]  Whether you have any intention of trading
[32:13.200 --> 32:15.200]  with Mitus Resources or not,
[32:15.200 --> 32:16.200]  I have instructed my representatives
[32:16.200 --> 32:18.200]  to give this report out free.
[32:18.200 --> 32:21.200]  Call for your free copy at 1-800-686-2237.
[32:21.200 --> 32:24.200]  When investing, always proceed with caution.
[32:24.200 --> 32:27.200]  Again, call 1-800-686-2237.
[32:27.200 --> 32:30.200]  Exercise your legal right to trade metals privately.
[32:30.200 --> 32:33.200]  1-800-686-2237.
[32:35.200 --> 32:37.200]  The statistics aren't heart-wrenching.
[32:37.200 --> 32:40.200]  According to the CWC of the 43 million people
[32:40.200 --> 32:42.200]  who have served in the major wars,
[32:42.200 --> 32:44.200]  from the Revolutionary War to the Gulf War,
[32:44.200 --> 32:46.200]  3 million never made it home alive.
[32:46.200 --> 32:48.200]  Most likely, each one of us can say
[32:48.200 --> 32:50.200]  we either knew someone who served,
[32:50.200 --> 32:53.200]  or know a brave soul who is currently serving our country.
[32:53.200 --> 32:55.200]  Now there is a unique way to pay tribute
[32:55.200 --> 32:57.200]  to the courageous men and women
[32:57.200 --> 32:59.200]  who spend their lives protecting our freedom,
[32:59.200 --> 33:01.200]  and to those who have lost their lives doing so.
[33:01.200 --> 33:03.200]  Davis Products is offering high-quality,
[33:03.200 --> 33:05.200]  solid-cast aluminum memorial markers
[33:05.200 --> 33:07.200]  for your American flag.
[33:07.200 --> 33:09.200]  Each memorial marker is specifically designed
[33:09.200 --> 33:11.200]  to represent one of 15 wars.
[33:11.200 --> 33:13.200]  All markers include a 3 eighths inch
[33:13.200 --> 33:15.200]  pointed and threaded aluminum rod,
[33:15.200 --> 33:17.200]  painted and highlighted for an appearance
[33:17.200 --> 33:19.200]  that is unforgettable.
[33:19.200 --> 33:21.200]  Visit Love Ones.
[33:21.200 --> 33:23.200]  Davis Products memorial markers are only $9 a piece,
[33:23.200 --> 33:27.200]  and can be ordered by calling 814-827-4946.
[33:27.200 --> 33:30.200]  That's 814-827-4946.
[33:30.200 --> 33:32.200]  Or visit davis-products.com.
[33:32.200 --> 33:35.200]  That's davis-products.com.
[33:36.200 --> 33:41.200]  We don't need no education.
[33:41.200 --> 33:49.200]  We don't need no thought control.
[33:53.200 --> 33:59.200]  No dark stock has us in the classroom.
[33:59.200 --> 34:09.200]  We don't need no education.
[34:12.200 --> 34:14.200]  Welcome back.
[34:14.200 --> 34:16.200]  We'll hand in some calls from Johnny and Robert
[34:16.200 --> 34:19.200]  and a few others before we end this transmission.
[34:19.200 --> 34:24.200]  But right now I want to get to this clip of
[34:24.200 --> 34:26.200]  the morning of 9-11.
[34:26.200 --> 34:30.200]  We're six minutes into the show.
[34:30.200 --> 34:33.200]  Back then we came in at 6-in.
[34:33.200 --> 34:37.200]  And I basically am introducing Jimmy Wright,
[34:37.200 --> 34:40.200]  who's a family friend, lives out in Fredericksburg,
[34:40.200 --> 34:44.200]  part of the year in New York as an investment banker.
[34:44.200 --> 34:48.200]  And Jimmy's got a degree in structural engineering,
[34:48.200 --> 34:51.200]  and the two towers have just collapsed
[34:51.200 --> 34:55.200]  about an hour before, less than an hour before.
[34:55.200 --> 34:57.200]  He's calling me via cell phone.
[34:57.200 --> 34:59.200]  I then got him on later in the afternoon
[34:59.200 --> 35:02.200]  when they had gone across the water on a big barge
[35:02.200 --> 35:05.200]  and he saw building seven collapse and said it was...
[35:05.200 --> 35:07.200]  We ought to dig that tape up when I was doing
[35:07.200 --> 35:09.200]  continual coverage on all the other shows.
[35:09.200 --> 35:15.200]  I did like 15 hours that day.
[35:15.200 --> 35:17.200]  You can go to prisonplanet.com.
[35:17.200 --> 35:20.200]  Somebody was kind enough to post these all on YouTube.
[35:20.200 --> 35:23.200]  Somebody has a director's account.
[35:23.200 --> 35:25.200]  They used to offer those in the past.
[35:25.200 --> 35:27.200]  All you can get now on YouTube,
[35:27.200 --> 35:29.200]  the sixth biggest website on the net,
[35:29.200 --> 35:31.200]  only a year old, by the way.
[35:31.200 --> 35:33.200]  Whoa.
[35:33.200 --> 35:37.200]  100 million viewers a week.
[35:37.200 --> 35:41.200]  But somebody's got a person that uploaded this
[35:41.200 --> 35:43.200]  has a director's account,
[35:43.200 --> 35:45.200]  which lets you put multi-hour-long films up.
[35:45.200 --> 35:47.200]  They don't offer those anymore.
[35:47.200 --> 35:48.200]  They won't give us one.
[35:48.200 --> 35:51.200]  But this nice person does have a director's account,
