[00:00:05.563 --> 00:00:06.103]  Forget it!
[00:24:56.437 --> 00:25:01.541]  And, you know, I said I'm going to take calls, and I'm going to take your calls right now.
[00:25:01.541 --> 00:25:03.783]  I want to get reports from all over the world.
[00:25:03.783 --> 00:25:05.844]  I want to hear what you think is coming up in 2009.
[00:25:05.844 --> 00:25:07.385]  Are you concerned about the economy?
[00:25:07.385 --> 00:25:09.047]  How bad do you think it's going to get?
[00:25:09.047 --> 00:25:10.648]  There's a bunch of other big developments.
[00:25:10.648 --> 00:25:11.388]  I've got some here.
[00:25:11.388 --> 00:25:14.451]  Neocon Bolton says Gaza conflict may result in U.S.
[00:25:14.451 --> 00:25:15.431]  attack on Iran.
[00:25:17.466 --> 00:25:28.132]  Israel mulled proposals for a truce on Wednesday, but rolled out a temporary halt in Gaza offensive as warplanes pounded Hamas targets for a fifth day as the Islamists shot back with rockets.
[00:25:29.738 --> 00:25:32.020]  Wall Street faces record losses in the last week of 2008.
[00:25:32.020 --> 00:25:33.861]  We'll go over that.
[00:25:33.861 --> 00:25:37.043]  The military backpedals on troops in America, but they didn't really do that.
[00:25:37.043 --> 00:25:46.329]  Carolyn Harris, great writer from fullwars.com, did a great story breaking down the deception, so we'll go over that for you as well.
[00:25:46.329 --> 00:25:51.232]  See, they announced, we're going to have troops running your life, but don't worry, it's constitutional and it won't be that bad.
[00:25:51.232 --> 00:25:53.134]  You know, that's the extent of the backpedaling.
[00:25:54.074 --> 00:25:56.859]  Using military tactics against us because we're the enemy force.
[00:25:56.859 --> 00:26:00.625]  We're the enemy nation that's been occupied as per announced by Northcom.
[00:26:01.624 --> 00:26:02.644]  Alex, it's great talking to you, man.
[00:26:31.122 --> 00:26:34.964]  I got something to report from Denver, it's really pretty different.
[00:26:34.964 --> 00:26:43.569]  They're actually showing Aaron Russo's Freedom to Fascism on public TV here.
[00:26:43.569 --> 00:26:45.710]  On AXS TV or on the PBS channel?
[00:26:45.710 --> 00:26:47.671]  PBS!
[00:26:47.671 --> 00:26:49.172]  KBDI.
[00:26:49.172 --> 00:26:57.277]  Oh great, tell me about what station it is on cable or TV and I guess it's broadcast?
[00:26:57.277 --> 00:26:58.037]  See, I can't remember.
[00:27:00.811 --> 00:27:04.592]  Well, that's okay, Ty, but it sounds like you've got a call waiting or something going on there.
[00:27:04.592 --> 00:27:05.652]  Are you still there?
[00:27:05.652 --> 00:27:06.792]  Yeah, yeah.
[00:27:06.792 --> 00:27:12.073]  It's in Denver only, but also Denver Open Media.
[00:27:12.073 --> 00:27:22.615]  It's a public access station, and they've been showing 9-1-1 type shows like that.
[00:27:22.615 --> 00:27:23.755]  Okay, but here's my question.
[00:27:23.755 --> 00:27:25.815]  Is it showing on PBS?
[00:27:25.815 --> 00:27:27.456]  Yes, it is.
[00:27:27.456 --> 00:27:28.216]  I almost don't want to...
[00:27:30.362 --> 00:27:31.162]  Say that again?
[00:27:31.162 --> 00:27:43.265]  KBDI, and they've been, like, selling some kind of package with Aaron Russo's Freedom Fascism and other shows like that.
[00:27:43.265 --> 00:27:45.305]  Yeah, did you say KBDI?
[00:27:45.305 --> 00:27:46.145]  Yes.
[00:27:46.145 --> 00:27:47.726]  Okay, well, that's very exciting.
[00:27:47.726 --> 00:27:49.566]  Let me tell you what's happening.
[00:27:49.566 --> 00:27:57.948]  Whenever we start having victories, COINTELPRO and our own ranks, Feds and allied operatives and camp followers, attack and say,
[00:27:58.208 --> 00:28:00.330]  How dare them actually reach the public?
[00:28:00.330 --> 00:28:03.032]  How dare them become mainstream and break through?
[00:28:03.032 --> 00:28:07.016]  How dare Alex Jones have all these Hollywood TV and movie supporters?
[00:28:07.016 --> 00:28:08.437]  How dare them?
[00:28:08.437 --> 00:28:09.218]  Exactly!
[00:28:09.218 --> 00:28:10.639]  We need to win.
[00:28:10.639 --> 00:28:13.021]  We need to take over the culture.
[00:28:13.021 --> 00:28:17.005]  The New World Order has taken over our culture of liberty and freedom in the Republic.
[00:28:17.005 --> 00:28:18.626]  We have to kick them back out.
[00:28:18.626 --> 00:28:21.829]  We have to understand we can become mainstream.
[00:28:21.829 --> 00:28:23.931]  We can make our ideas of freedom
[00:28:24.551 --> 00:28:30.699]  and liberty and anti-war and pro-self defense and sovereignty that can
[00:28:32.133 --> 00:28:36.738]  Take over, but we have to have an attitude of victory.
[00:28:36.738 --> 00:28:39.540]  We have to have an attitude of we're the winners.
[00:28:39.540 --> 00:28:40.761]  We're the cutting edge.
[00:28:40.761 --> 00:28:41.782]  We're the future.
[00:28:41.782 --> 00:28:43.164]  Because by the way, we are.
[00:28:43.164 --> 00:28:45.046]  The future's only hope.
[00:28:45.046 --> 00:28:53.173]  So when we have that attitude, people will then come to us instead of acting like little sneaky losers hiding out behind the barn.
[00:28:53.173 --> 00:28:53.974]  We'll be right back.
[00:28:53.974 --> 00:28:54.515]  Stay with us.
[00:28:54.515 --> 00:28:56.557]  More of your phone calls straight ahead.
[00:28:59.784 --> 00:29:03.709]  We're on the march, the empire's on the run.
[00:29:03.709 --> 00:29:06.412]  Alex Jones and the GCN Radio Network.
[00:29:09.747 --> 00:29:20.316]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:29:20.316 --> 00:29:21.737]  Garden in a Can.
[00:29:21.737 --> 00:29:25.880]  Garden in a Can is your source for premium, long-term, storable seeds.
[00:29:25.880 --> 00:29:27.902]  Garden in a Can is ready when you are.
[00:29:27.902 --> 00:29:30.184]  Plant them now or store them for when you really need them.
[00:29:30.664 --> 00:29:40.331]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:29:40.331 --> 00:29:41.752]  Garden in a can.
[00:29:41.752 --> 00:29:42.953]  It's that simple.
[00:29:42.953 --> 00:29:43.674]  Fresh.
[00:29:43.674 --> 00:29:44.534]  Healthy.
[00:29:44.534 --> 00:29:45.355]  Easy.
[00:29:45.355 --> 00:29:49.698]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:29:49.698 --> 00:29:50.579]  Ready when you are.
[00:29:51.264 --> 00:29:55.348]  Stop procrastinating and start preparing with Garden In A Can.
[00:29:55.348 --> 00:29:58.831]  For more details visit GardenInACan.com today.
[00:29:58.831 --> 00:30:00.953]  That's GardenInACan.com.
[00:30:00.953 --> 00:30:01.874]  Or call 866-598-7396.
[00:30:01.874 --> 00:30:02.995]  866-598-7396.
[00:30:02.995 --> 00:30:11.723]  Terror Storm, a history of government-sponsored terror.
[00:30:11.723 --> 00:30:13.285]  Loose change, final cut.
[00:30:13.285 --> 00:30:15.427]  Endgame, blueprint for global enslavement.
[00:30:15.427 --> 00:30:16.988]  The true story of the Bilderberg Group.
[00:30:17.318 --> 00:30:20.562]  The late, great USA, America, freedom to fascism.
[00:30:20.562 --> 00:30:27.589]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:30:27.589 --> 00:30:31.673]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:30:31.673 --> 00:30:35.037]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:30:35.357 --> 00:30:35.838]  We're good to go.
[00:30:55.354 --> 00:31:05.962]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[00:31:05.962 --> 00:31:08.464]  Join the info war today!
[00:31:08.464 --> 00:31:11.906]  Silver is mankind's oldest natural antibiotic.
[00:31:11.906 --> 00:31:16.149]  This very special mineral has been used for centuries by most cultures throughout the world.
[00:31:16.149 --> 00:31:24.115]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water
[00:31:24.395 --> 00:31:24.815]  We're good to go!
[00:31:54.155 --> 00:31:57.757]  The preacher man says it's the end of time In the Mississippi River she's a-goin' dry
[00:32:20.066 --> 00:32:22.067]  I live back in the woods, you see.
[00:32:22.067 --> 00:32:24.848]  There's a woman and kids and dogs and me.
[00:32:24.848 --> 00:32:26.970]  We're going back to your calls.
[00:32:26.970 --> 00:32:29.351]  Dan, James, Josh, John, George, many others.
[00:32:29.351 --> 00:32:29.411]  1-800-259-9231.
[00:32:51.104 --> 00:32:55.888]  We've got Jaron Neihardt who's working with us in here.
[00:32:55.888 --> 00:32:58.891]  He also works over at KLBJ producing and board hopping.
[00:33:01.249 --> 00:33:05.814]  He just got in, works in here part-time, and he's got more of the story.
[00:33:05.814 --> 00:33:11.441]  We've actually also got the clip of the report that was given by Thomas McDonald.
[00:33:11.441 --> 00:33:19.750]  He's the fellow when George Norrie's in town that runs the show for George and I. Well, George actually board offices on the show, but Thomas is always up there when I'm co-hosting the show with George Norrie.
[00:33:19.750 --> 00:33:21.392]  But he's also the daytime producer.
[00:33:22.393 --> 00:33:23.754]  Down there with Jeff Ward.
[00:33:23.754 --> 00:33:29.436]  So he's the guy that was confronted and I didn't know, Jaren just got here and he's talked to Thomas McDonald.
[00:33:29.436 --> 00:33:34.079]  I came into the mix on this whole thing just briefly with this story.
[00:33:34.079 --> 00:33:37.560]  It's on CBS TV, KITV.com.
[00:33:37.560 --> 00:33:38.821]  It's on all the major news here.
[00:33:38.821 --> 00:33:47.585]  Former DPS officer walks into KLBJ AM with gun and it appears that when my name came up is when the gun came out.
[00:33:47.585 --> 00:33:50.006]  So that's always good to hear.
[00:33:50.006 --> 00:33:51.207]  That's always nice.
[00:33:52.827 --> 00:33:58.073]  I'm sorry officer, I've asked you to not drink the fluoride, not give your children shots of mercury.
[00:33:58.073 --> 00:34:01.957]  I know, I'm sorry, I explain that foreign bankers have seized the country.
[00:34:01.957 --> 00:34:04.339]  I understand I'm evil.
[00:34:04.339 --> 00:34:07.342]  I just seem to think you guys are a little bit out of control sometimes.
[00:34:07.342 --> 00:34:08.343]  Not all the state police.
[00:34:08.343 --> 00:34:09.685]  A lot of them are nice, actually.
[00:34:09.685 --> 00:34:10.866]  They let me out of quite a few tickets.
[00:34:10.866 --> 00:34:12.448]  But the point is, is that
[00:34:13.889 --> 00:34:16.691]  Is that we have Jaron Neihardt in here with us.
[00:34:16.691 --> 00:34:28.081]  Jaron, tell us exactly, I mean you talked to him personally, what Thomas McDonald, the producer who was confronted by this guy, this was also in the main area with some other witnesses, what exactly was said, what exactly happened?
[00:34:28.081 --> 00:34:34.066]  About an hour after it happened, I walked into the studio, saw all the cops outside, walked inside and asked Thomas what the deal was.
[00:34:34.066 --> 00:34:35.787]  He said, well, the guy showed me a gun.
[00:34:35.787 --> 00:34:36.808]  I said, well, tell me the story.
[00:34:36.808 --> 00:34:39.551]  So, the account from Thomas was that
[00:34:40.788 --> 00:34:43.110]  The gentleman came in, wanted to talk to Jeff Ward.
[00:34:43.110 --> 00:34:46.192]  Thomas pulled him aside to speak with him.
[00:34:46.192 --> 00:34:47.954]  He said you couldn't talk to Jeff Ward, he's not in.
[00:34:47.954 --> 00:34:48.774]  Alright, let me stop you there.
[00:34:48.774 --> 00:34:51.657]  How did he get through the security door?
[00:34:51.657 --> 00:34:53.078]  I mean, why did they let him in?
[00:34:53.078 --> 00:34:58.362]  Well, Thomas said he took him to a conference room, which is, you can walk into the lobby, obviously, and request anything.
[00:34:58.362 --> 00:35:01.865]  I guess he took it on himself to go out past the security.
[00:35:01.865 --> 00:35:04.147]  You need the little passcode to get into the studio area.
[00:35:04.147 --> 00:35:05.108]  He went outside of that.
[00:35:05.928 --> 00:35:06.428]  I don't know.
[00:35:27.259 --> 00:35:28.740]  Uh, very concerned, very worried.
[00:35:28.740 --> 00:35:32.402]  Um, that's when Thomas said, you know, Jeff's not in.
[00:35:32.402 --> 00:35:38.205]  Uh, you can't, you know, you can't talk to him, but we have a show, Alex Jones Show, on Sunday you should call in to.
[00:35:38.205 --> 00:35:41.547]  And the guy, basically the guy's point was, he just wants to be heard.
[00:35:41.547 --> 00:35:50.351]  Once your name came up, from what Thomas said, is when he pulled up his, uh, his shirt, showed a gun, and then, uh, said that he might go postal.
[00:35:50.351 --> 00:35:51.512]  Or he feels like going postal.
[00:35:52.054 --> 00:35:55.276]  Now, was Jeff Ward there yesterday, or is he on vacation?
[00:35:55.276 --> 00:35:58.518]  No, he's there, but he comes in about 3 o'clock, so this is about 2 o'clock.
[00:35:58.518 --> 00:35:59.459]  But he's not there today?
[00:35:59.459 --> 00:36:01.540]  He should be there today.
[00:36:01.540 --> 00:36:04.022]  I haven't heard anything other than that.
[00:36:04.022 --> 00:36:05.883]  Well, he needs to come on this show.
[00:36:05.883 --> 00:36:06.483]  That'd be great.
