[00:00.000 --> 00:29.800]  It's Monday, January 28th, 2019, as a giant polar vortex settles over the east coast.
[35:39.800 --> 35:51.800]  10 years later, they start describing them as anti stress or anti drug abuse vaccines. They started testing them on quote the troops.
[35:51.800 --> 35:58.800]  I know people whose husbands were given this and they became basically emotionless zombies. They still have their IQ.
[35:58.800 --> 36:03.800]  They still show up for work, but they're not the same person.
[36:03.800 --> 36:10.800]  Now you have to understand, I could talk for 20 hours just about the different types of so called vaccines.
[36:10.800 --> 36:20.800]  How is it vaccine if it's a genetically engineered virus that only targets certain cells in the brain?
[36:20.800 --> 36:27.800]  I thought a vaccine goes in and teaches the body what's bad from outside and how to destroy it.
[36:27.800 --> 36:31.800]  This goes in and destroys things in your body.
[36:31.800 --> 36:41.800]  So again, they know the public sold about half the public on taking vaccines and the government and corporations having liability protection and secret trade secrets on what's in it.
[36:41.800 --> 36:51.800]  How dangerous is that? And then you take this stuff, you know, all the secret testing and putting syphilis in vaccines and all the things companies have been caught and governments have been caught doing.
[36:51.800 --> 36:54.800]  We're just going to trust that.
[36:54.800 --> 36:56.800]  But what about the issue?
[36:56.800 --> 37:00.800]  This is this is critical.
[37:00.800 --> 37:06.800]  What about the issue of what you call a vaccine?
[37:06.800 --> 37:13.800]  Because this isn't given somebody some dead smallpox or some attenuated flu virus.
[37:13.800 --> 37:17.800]  All the different side effects that causes, but can cause some good effects as well.
[37:17.800 --> 37:19.800]  No, no, no, no, no, no.
[37:19.800 --> 37:26.800]  This is just calling all these new things they're injecting into the body of vaccine.
[37:26.800 --> 37:32.800]  When most of these you look at them are literal engineered viruses, basically nanotech.
[37:32.800 --> 37:44.800]  They're artificially created viruses where they splice different viruses and they put them in your body or they put different chemicals in your body and they just call it a vaccine.
[37:44.800 --> 37:48.800]  No, it's big pharma experimenting on you.
[37:48.800 --> 37:52.800]  And see, there were four or five vaccines in the sixties that they pushed.
[37:52.800 --> 37:55.800]  And by the eighties, they were 15 or so.
[37:55.800 --> 38:03.800]  Last time I checked, it was 56 vaccines that a child's given by the age of six.
[38:03.800 --> 38:08.800]  Everybody knows that you can die from a honeybee sting or a wasp sting.
[38:08.800 --> 38:14.800]  When I grew up, I got stung many times playing in the forest in the fields and we even had games with squirt guns.
[38:14.800 --> 38:18.800]  We'd go up the yellow jacket, nest and squirt them and run away from them.
[38:18.800 --> 38:22.800]  Not get stung and mom would put bacon and soda on it and say, stop doing that.
[38:22.800 --> 38:31.800]  Finally, when I was 20 years old, doing gardening work in college, my parents were paying me to, they bought this new house in four acres.
[38:31.800 --> 38:35.800]  They were paying me with an electric tiller they'd rented to bust up all this ground.
[38:35.800 --> 38:39.800]  My mom wanted to put a garden in and Africanized bees get me.
[38:39.800 --> 38:40.800]  They about 20 of them hit me.
[38:40.800 --> 38:41.800]  I run into the house.
[38:41.800 --> 38:46.800]  They even chased me in the house like a cartoon, big swarm of black bees.
[38:46.800 --> 38:52.800]  And I was pulling all these stingers all of a sudden I swole up.
[38:52.800 --> 38:53.800]  I got in the shower.
[38:53.800 --> 38:54.800]  I put bacon and soda all over me.
[38:54.800 --> 38:56.800]  I was getting ready to call the ambulance and started going down.
[38:56.800 --> 39:02.800]  Took a bunch of anti-inflammatory.
[39:02.800 --> 39:04.800]  Betadryl.
[39:04.800 --> 39:06.800]  Found a bottle of that.
[39:06.800 --> 39:13.800]  Now, again, a vaccine can be like one bee sting, but it's a whole bunch of viruses and chemicals and things being put in you.
[39:13.800 --> 39:15.800]  Imagine a baby.
[39:15.800 --> 39:17.800]  Everybody knows adults take vaccines and have bad reactions.
[39:17.800 --> 39:18.800]  Sometimes they die.
[39:18.800 --> 39:19.800]  What about a baby?
[39:19.800 --> 39:27.800]  You can give a baby more than 20 vaccines by the, by its 18th month.
[39:27.800 --> 39:31.800]  And then you wonder why they're so sick.
[39:31.800 --> 39:33.800]  You wonder why they're autistic.
[39:33.800 --> 39:35.800]  So there's a lot of things here.
[39:35.800 --> 39:37.800]  You've got big pharma that you can't trust.
[39:37.800 --> 39:41.800]  This would give it liability protection, pushing to make people take more and more vaccines.
[39:41.800 --> 39:51.800]  You have the news routinely lying and telling people that it's the law that you've got to take them every year, but oh, you can get the exemption.
[39:51.800 --> 40:05.800]  And then now you've got them saying, arrest the parents of people who don't vaccinate their children and arrest the doctors that come in and say that other doctors shouldn't have to give the vaccines.
[40:05.800 --> 40:11.800]  So they, they, they want doctors who don't push the vaccines to be arrested.
[40:11.800 --> 40:13.800]  They want the parents to be arrested when there's not even a law.
[40:13.800 --> 40:19.800]  You have to take the vaccines, but they've tricked you into filing with the health department that you haven't given your child the vaccines.
[40:19.800 --> 40:21.800]  So they have a list of where you're at.
[40:21.800 --> 40:23.800]  Meanwhile, I've got all the studies here in front of me.
[40:23.800 --> 40:32.800]  Almost none of the pathogenic outbreaks happen here in the first world because of running water and hygiene and all the rest of it from someone not being vaccinated.
[40:32.800 --> 40:47.800]  Most of the time vaccines only protect you. It happens because giant unwashed literally third world populations are pouring in with every drug resistant pathogen under the stinking sun.
[40:47.800 --> 40:48.800]  And so that's the reality.
[40:48.800 --> 40:50.800]  Dr. McCam shot please.
[40:50.800 --> 40:55.800]  This new cancer vaccine requires no chemotherapy.
[40:55.800 --> 41:04.800]  Oh, no more bug spray before they just give you a bunch of bug, bug spray, a bunch of poison and charge you $5,000 a dose and tell you that's a great idea.
[41:04.800 --> 41:09.800]  Now they just call this an alternative to chemotherapy.
[41:09.800 --> 41:10.800]  And I'm not saying it's bad.
[41:10.800 --> 41:11.800]  I'm not saying it's good.
[41:11.800 --> 41:17.800]  It's genetic therapy, turning your T cells back on.
[41:17.800 --> 41:23.800]  So they got all these drugs on TV that turn your immune system off that tell you it can give you cancer.
[41:23.800 --> 41:28.800]  And don't worry though, now they're going to inject you with other stuff that turns your T cells back on.
[41:28.800 --> 41:33.800]  Whether this is bad or good or whether it has side effects, it's not a quote vaccine.
[41:33.800 --> 41:38.800]  But they just hide it under that name and say, oh, take your shot so you don't get cancer.
[41:38.800 --> 41:39.800]  Oh, that's really good.
[41:39.800 --> 41:41.800]  Let's turn your immune system up even more.
[41:41.800 --> 41:49.800]  So the point is, is that they're playing on our ignorance to come out with all these thousands of new treatments and all these different things.
[41:49.800 --> 41:57.800]  Like, take this shot and never be an alcoholic again because it literally eats part of your brain.
[41:57.800 --> 41:59.800]  Or, oh, never get depressed again.
[41:59.800 --> 42:05.800]  Take this shot because it removes the part of your brain associated with high spiritual moments but also low moments.
[42:05.800 --> 42:07.800]  It's all in the literature.
[42:07.800 --> 42:15.800]  So they're rolling out this giant push and saying, if you don't take vaccines, you should be arrested.
[42:15.800 --> 42:20.800]  Knowing the public's totally ignorant about what a vaccine is versus what all this stuff is.
[42:20.800 --> 42:24.800]  And the idea that it's totally safe and nobody ever got hurt from it.
[42:24.800 --> 42:29.800]  Or the idea that we have measles outbreaks and things because of unvaccinated people.
[42:29.800 --> 42:33.800]  When unvaccinated people in the US have the highest education level on average and the lowest disease rates,
[42:33.800 --> 42:37.800]  it's the illegal aliens coming in that are actually triggering the clusters, but they won't tell you that.
[42:37.800 --> 42:42.800]  The very same group that says, don't vet anybody that comes in for diseases.
[42:42.800 --> 42:47.800]  It's now telling you, though, that it's your fault and you need to have the precedent set where you go to jail.
[42:47.800 --> 42:51.800]  If you tell corporations and the government and others, I don't trust you.
