[00:00:00.458 --> 00:00:03.860]  Humanity is on a collision course with a horrific end.
[00:28:37.593 --> 00:28:42.956]  And in the aggregate, if I've got to be the sacrificial lamb for him to for everybody else, that's fine with me.
[00:28:44.307 --> 00:28:48.452]  So, I really like the direction Elon's going at, at warp speed.
[00:28:48.452 --> 00:28:52.898]  He's moving very quickly, and I like the direction we see.
[00:28:52.898 --> 00:28:54.720]  We'll be right back in 4Wars.com tomorrow.
[00:29:00.836 --> 00:29:08.039]  Ladies and gentlemen, InfoWars Live products have always been the highest quality, triple tested, and you've seen the rave reviews.
[00:29:08.039 --> 00:29:19.044]  But doing deep research, we made contact with the top company in the United States, and it turned out they were supplying almost all the raw materials to the companies that we were already using.
[00:29:19.044 --> 00:29:27.607]  So we've gone directly to the source, and that means we can give you lower prices on the very same high quality supplements, and in some cases, even better.
[00:29:27.607 --> 00:29:28.188]  Introducing
[00:29:29.028 --> 00:29:33.593]  InfoWarsMD at InfoWarsStore.com.
[00:29:33.593 --> 00:29:38.878]  InfoWarsMD exclusively at InfoWarsStore.com has 10 new products.
[00:29:38.878 --> 00:29:47.087]  Turmeric 95, Levito RX, Better Mood, Nitric Boost, Much Room Max, Atropin, Angel's Vitality Collagen,
[00:29:47.467 --> 00:29:49.550]  Superfood greens and more.
[00:29:49.550 --> 00:29:51.193]  Just take the superfood greens.
[00:29:51.193 --> 00:29:58.664]  This is the highest quality greens out there, and it's at a price way, way lower than the same product on store shelves for up to twice the cost.
[00:29:58.664 --> 00:30:00.487]  Find InfoWarsMD at InfoWarsStore.
[00:30:00.487 --> 00:30:01.528]  Christmas 2022 is almost here.
[00:30:03.371 --> 00:30:10.158]  And we have great products at InfoWarsTore.com that empower your body, your libido, your immune system, that just enrich your life.
[00:30:10.158 --> 00:30:16.043]  So whether it's Vitamin Mineral Fusion, or DNA Force Plus, or Body's Ultimate Tumor Formula, they're all still in stock.
[00:30:16.043 --> 00:30:17.765]  Discount up to 60% with promo code 1776.
[00:30:17.765 --> 00:30:18.206]  And now, finally,
[00:30:20.788 --> 00:30:28.772]  We have brought back free shipping at InfoWarStore.com on orders of $50 or more and big discounts on the regular shipping as well.
[00:30:28.772 --> 00:30:36.536]  Plus the book, The Great Reset and the War for the World, signed or unsigned, it's also available with free shipping at InfoWarStore.com.
[00:30:36.536 --> 00:30:43.219]  So again, that's free shipping on all orders, $50 or more at InfoWarStore.com.
[00:30:43.779 --> 00:30:44.120]  I think so.
[00:31:00.942 --> 00:31:07.924]  It's hard to believe sometimes that we are still live on air, broadcasting free worldwide.
[00:31:07.924 --> 00:31:13.106]  And it seems quite real that things can change in an instant.
[00:31:13.106 --> 00:31:20.168]  Things are getting very weird, and it's definitely more difficult than ever to even know what's going on.
[00:31:20.168 --> 00:31:23.309]  But we'll keep doing our best, so long as you keep us on the air.
[00:31:24.209 --> 00:31:28.351]  And you can do that now at InfoWarStore.com.
[00:31:28.351 --> 00:31:34.813]  Help us clear out our stock of bodies' turmeric, vitamin C with zinc, and alpha power.
[00:31:34.813 --> 00:31:42.236]  Turn those shady Federal Reserve notes into the highest quality supplements available, while they still last.
[00:31:42.236 --> 00:31:45.477]  Now, with free shipping.
[00:31:45.477 --> 00:31:47.757]  We thank you for your support.
[00:31:47.757 --> 00:31:51.719]  And we wish you a very peaceful, happy, and Merry Christmas.
[00:32:00.569 --> 00:32:02.810]  It's a post-COVID world now.
[00:32:02.810 --> 00:32:06.832]  Americans have lost trust in their doctors and the health care system.
[00:32:06.832 --> 00:32:08.153]  There's a solution.
[00:32:08.153 --> 00:32:09.133]  The Wellness Company.
[00:32:09.133 --> 00:32:12.435]  I'm Dr. Peter McCullough, and I'm the Chief Scientific Officer.
[00:32:12.435 --> 00:32:19.638]  And I can tell you firsthand that these verticals of uncensored content, virtual appointments, doctors on demand,
[00:32:19.898 --> 00:32:45.964]  Prescriptions through a network of community pharmacies, in-home, in vitro diagnostics, laboratory testing, imaging, an online set of holistic products can help guide you for your usual general medical care, but also COVID-19, acute and post-COVID syndromes, vaccine injury syndromes, and the array of things that now America has to work through in this new
[00:32:47.069 --> 00:32:47.549]  I think so.
[00:33:14.146 --> 00:33:23.152]  You know, I've made a lot of sacrifices to take on the New World Order.
[00:33:23.152 --> 00:33:25.374]  And I've been through a lot.
[00:33:25.374 --> 00:33:30.078]  And I gotta say, it's only made me stronger
[00:33:42.635 --> 00:33:47.638]  And if I had it all to do over again, I'd basically do things the same way I have.
[00:33:47.638 --> 00:33:50.259]  It's all been a great learning process, and I love this crew.
[00:33:50.259 --> 00:33:52.660]  I love the audience of activists.
[00:33:52.660 --> 00:33:58.744]  And we're really fighting for the future of humanity, and we've been proven right about basically everything we warned of.
[00:33:59.625 --> 00:34:04.667]  And we have a really good chance of mitigating how bad the fight with the New World Order is going to be going forward.
[00:34:04.667 --> 00:34:06.688]  We weren't caught flat-footed.
[00:34:06.688 --> 00:34:08.709]  Humanity's waking up really fast.
[00:34:08.709 --> 00:34:13.151]  There's a lot of resistance forming, and evil always gets defeated in the end.
[00:34:13.151 --> 00:34:13.952]  It's going to be rough.
[00:34:13.952 --> 00:34:14.872]  It's going to be exciting.
[00:34:14.872 --> 00:34:15.852]  It's going to be dramatic.
[00:34:15.852 --> 00:34:18.854]  It's certainly not going to be boring.
[00:34:18.854 --> 00:34:22.636]  And when we get the Netflix-watching crowd, which I watch Netflix too.
[00:34:22.636 --> 00:34:24.977]  I like Escape as well.
[00:34:24.977 --> 00:34:27.518]  But people that, like a glass of wine,
[00:34:28.669 --> 00:34:29.550]  Is good for you.
[00:34:29.550 --> 00:34:32.932]  But if you drink four bottles of wine, you know, a week, it's not good for you.
[00:34:32.932 --> 00:34:34.213]  And it's the same thing.
[00:34:34.213 --> 00:34:44.902]  So many people that are caught in the entertainment world and Marvel Comics and all the distractions, you're living in a really exciting, crazy world for real.
[00:34:44.902 --> 00:34:53.349]  And some really bad, evil people really are coming for you because they think you're dumb, unconscious animals who don't deserve to live.
[00:34:54.932 --> 00:34:56.512]  And I could have joined these people.
[00:34:56.512 --> 00:35:01.474]  I could have been one of their top generals in the fight against humanity.
[00:35:01.474 --> 00:35:03.674]  I've been offered the deals.
[00:35:03.674 --> 00:35:04.835]  And you can see they're smart.
[00:35:04.835 --> 00:35:06.055]  They know who to go after.
[00:35:06.055 --> 00:35:07.896]  I've been successful fighting them.
[00:35:07.896 --> 00:35:12.217]  They've been trying to hire me for 20 plus years.
[00:35:12.217 --> 00:35:17.939]  And I've never joined them because I know what they're doing is wrong and I know they're losers.
[00:35:17.939 --> 00:35:22.800]  But I don't just need to intellectually or politically research all this and then come to my conclusion
[00:35:24.235 --> 00:35:31.798]  It's in their own documents and I've met with them in off-record discussions many, many, many times.
[00:35:31.798 --> 00:35:32.998]  People say, why don't you talk about it?
[00:35:32.998 --> 00:35:34.219]  Why don't I talk about it?
[00:35:34.219 --> 00:35:42.161]  What they support, world government, depopulation, the end of the family, you'll own nothing, you'll have nothing, you'll like it.
[00:35:42.161 --> 00:35:47.663]  It's in the open, it's not secret!
[00:35:47.663 --> 00:35:49.224]  And I'm not going to get into all the offers.
[00:35:50.404 --> 00:35:54.725]  But I was offered a Fox News show and the yearly book deal from them.
[00:35:54.725 --> 00:36:05.367]  And then after The Globalist filed suit on me four years ago, I got calls by other top media figures saying, hey, would you like to come to Florida and meet with some of the big guys?
[00:36:05.367 --> 00:36:06.147]  It wasn't Trump.
[00:36:06.147 --> 00:36:07.727]  It was somebody else.
[00:36:07.727 --> 00:36:08.707]  They'd like to work with you.
[00:36:08.707 --> 00:36:11.188]  They'd like you to grow up a little, Alex.
[00:36:11.188 --> 00:36:14.829]  Or do you want what's about to happen next?
[00:36:14.829 --> 00:36:16.409]  So I've kept those channels open.
[00:36:18.274 --> 00:36:24.377]  So I can know what they're thinking, but I have to tell you, I've lived to see them on their heels.
[00:36:24.377 --> 00:36:27.098]  I've lived to see them in deep trouble.
[00:36:27.098 --> 00:36:33.301]  I've lived to see an amazing awakening and humanity coming out of its slumber, and that is so valuable.
[00:36:33.301 --> 00:36:38.064]  So no matter what happens to me, I'm right where I wanted to be.
[00:36:38.064 --> 00:36:41.865]  I'm doing what I wanted to do, and I'm a winner, not a loser.
[00:36:41.865 --> 00:36:44.287]  And I'm the real deal.
[00:36:44.287 --> 00:36:45.027]  And they know that.
[00:36:46.095 --> 00:36:47.916]  And they know you're for real.
[00:36:47.916 --> 00:36:51.079]  And that's why they fear this broadcast, because we are a congregation.
[00:36:51.079 --> 00:36:53.520]  We are a group of people coming together.
[00:36:53.520 --> 00:36:57.743]  That's what a Congress is, is a coming together of minds.
[00:36:57.743 --> 00:36:59.484]  And we're changing the world.
[00:36:59.484 --> 00:37:03.667]  And they fear you, just like they fear me.
[00:37:03.667 --> 00:37:05.108]  But I don't want the globalists to fear me.
[00:37:05.108 --> 00:37:10.172]  I want them to wake up to the evil they're involved in and realize they're really losers.
[00:37:10.172 --> 00:37:11.213]  And to start
[00:37:12.284 --> 00:37:14.024]  Making better decisions.
[00:37:14.024 --> 00:37:18.706]  Now I know their top people are totally turned over to wickedness and that's not going to happen.
[00:37:18.706 --> 00:37:24.367]  They've already committed the ultimate sin and the Holy Spirit's been withdrawn completely from even trying to contact them.
[00:37:24.367 --> 00:37:37.510]  But so many of their minions, so many of their servants, so many of their adjuncts and attachés and aide-de-camps are not pure evil and still have good in them and could turn from what they've been part of.
[00:37:40.100 --> 00:37:49.687]  And so I have to tell you, though I have almost no money in the bank, I feel stronger and more wealthy than I've ever been in my whole life.
[00:37:49.687 --> 00:37:56.812]  I feel proud of the hard work I've done and the travails and the tribulations that we've been through.
[00:37:56.812 --> 00:38:00.235]  And I'm just so blessed and honored to be here with you.
[00:38:00.235 --> 00:38:01.055]  Let me do this.
[00:38:01.055 --> 00:38:02.516]  Next segment's the longest segment of the hour.
[00:38:02.516 --> 00:38:04.778]  We've still got a lot of time until the break.
[00:38:04.778 --> 00:38:07.000]  But I want to hit this cash flow society thing because it's really
[00:38:08.539 --> 00:38:12.943]  Of the three big pronged attacks, it's the key.
[00:38:12.943 --> 00:38:15.344]  The other attacks are to get us into this.
[00:38:15.344 --> 00:38:17.406]  And then once they get us into this, the real hell starts.
[00:38:17.406 --> 00:38:19.328]  So I'm going to do that next segment.
[00:38:19.328 --> 00:38:26.013]  And then I'm going to go into the second hour.
[00:38:26.013 --> 00:38:28.715]  And I'm going to cover more news and take your phone calls.
[00:38:28.715 --> 00:38:34.319]  And then Nick Fuentes is going to be on for a debate in the third and fourth hour today.
[00:38:34.319 --> 00:38:37.642]  But let me just say this right now, because this is important.
[00:38:41.223 --> 00:38:43.985]  This is very, very important.
[00:38:43.985 --> 00:38:53.053]  When I say this, I want it to sink into your mind so you really make a decision that's right here.
