[00:00.000 --> 00:29.700]  This is the GCN Radio Network.
[1:53:06.700 --> 1:53:14.700]  They play the part and they love playing along with delusional roles and they never fully mature.
[1:53:14.700 --> 1:53:21.700]  Yes, I generally find it easiest to explain it to people as the development of abstract thought, which is also part of the definition of it.
[1:53:21.700 --> 1:53:25.700]  And I use the analogy of breaking the rules.
[1:53:25.700 --> 1:53:29.700]  Many people are taught rules and the rules that are only thing that matter to them.
[1:53:29.700 --> 1:53:32.700]  But it's okay for the government to break the rules.
[1:53:32.700 --> 1:53:39.700]  It's just the people can't and they make more and more unconstitutional rules in a tyranny, in a corrupt system.
[1:53:39.700 --> 1:53:43.700]  They make the general public criminals so they have an excuse to get involved in your life.
[1:53:43.700 --> 1:53:50.700]  That's what all this police state's about is training you to be pulled over to be checked, to be frisked, to go through airports, to take your shoes off, to go through body standards.
[1:53:50.700 --> 1:53:53.700]  Training you to answer the questions of the secret police.
[1:53:53.700 --> 1:53:57.700]  And now in Canada, many areas of the U.S. and England, secret police just come up.
[1:53:57.700 --> 1:54:00.700]  It happened to me in England, started asking questions, started trying to search you.
[1:54:00.700 --> 1:54:03.700]  Again, it's just a police state.
[1:54:03.700 --> 1:54:05.700]  Robert in Texas, you're on the air.
[1:54:05.700 --> 1:54:08.700]  Yeah, I got a two-part question.
[1:54:08.700 --> 1:54:11.700]  First of all, who is running the show?
[1:54:11.700 --> 1:54:13.700]  Who's doing this new world order?
[1:54:13.700 --> 1:54:19.700]  And second of all, as a 23-year-old college student, what am I supposed to do other than just spread the word and tell people?
[1:54:19.700 --> 1:54:22.700]  I mean, how do I become active, I guess?
[1:54:22.700 --> 1:54:25.700]  All right, number one, who owns the new world order?
[1:54:25.700 --> 1:54:29.700]  Every major nation has a group of families or kingpins that control their country.
[1:54:29.700 --> 1:54:36.700]  Then those kingpins make deals with the Anglo-American banking system based in the U.S., England, and Europe.
[1:54:36.700 --> 1:54:42.700]  And if those countries don't make deals, the globalists invade them or fund rebels inside their country or fund their neighbor to attack them.
[1:54:42.700 --> 1:54:44.700]  And it is the robber barons.
[1:54:44.700 --> 1:54:45.700]  It is the royalty.
[1:54:45.700 --> 1:54:47.700]  It is the elite banking families of the planet.
[1:54:47.700 --> 1:54:49.700]  It is the new world order.
[1:54:49.700 --> 1:54:56.700]  Go read the member list of the Bilderberg group, and you will see the 125 people who, in their own writings, bragged that they were on the world.
[1:54:56.700 --> 1:54:58.700]  What can you do, sir?
[1:54:58.700 --> 1:55:07.700]  Thirty states have introduced or are passing resolutions to declare sovereignty to say no to Second Amendment violations, no to FEMA camps, no to wars, no to the police state.
[1:55:07.700 --> 1:55:13.700]  We need to take the states over, remove the electronic fraudulent machines through lawsuits and recalls.
[1:55:13.700 --> 1:55:17.700]  We need to get our integrity and voting back. We need to take control of our county governments.
[1:55:17.700 --> 1:55:19.700]  Go speak to the city council. Get informed.
[1:55:19.700 --> 1:55:21.700]  But first, you have to get informed.
[1:55:21.700 --> 1:55:24.700]  First, and many people are informed, they're scared to act.
[1:55:24.700 --> 1:55:26.700]  Again, they're playing it safe.
[1:55:26.700 --> 1:55:29.700]  Playing it safe in a tyranny is not playing it safe.
[1:55:29.700 --> 1:55:33.700]  It ensures the tyranny wins and perfects the corruption.
[1:55:33.700 --> 1:55:37.700]  So the biggest thing is, like Howard Beale says in network, first you've got to get mad.
[1:55:37.700 --> 1:55:39.700]  Then you've got to get informed.
[1:55:39.700 --> 1:55:46.700]  Then you've got to realize you're not going to save the world by yourself, but you've got to start a newsletter, start a website, start a radio show, call in the talk radio.
[1:55:46.700 --> 1:55:55.700]  Be active every day, reaching out to others, talking to folks at church and at work and at the checkout line at the grocery store or mall.
[1:55:55.700 --> 1:55:59.700]  Getting self-sufficient, defending the Second Amendment, defending the Tenth Amendment.
[1:55:59.700 --> 1:56:03.700]  Just what the founders did in the decade that led up to the war.
[1:56:03.700 --> 1:56:05.700]  They had committees of correspondence.
[1:56:05.700 --> 1:56:07.700]  They had committees of public safety.
[1:56:07.700 --> 1:56:12.700]  They had the information they circulated to educate the public.
[1:56:12.700 --> 1:56:13.700]  Let's talk to Chris in Kentucky.
[1:56:13.700 --> 1:56:15.700]  Chris, you're on the air.
[1:56:15.700 --> 1:56:16.700]  Yeah, Alex.
[1:56:16.700 --> 1:56:17.700]  Thanks for taking my call.
[1:56:17.700 --> 1:56:23.700]  We had a news report here Friday at a private school that they said they're going to have no school because of a security situation.
[1:56:23.700 --> 1:56:26.700]  And all weekend they did not disclose.
[1:56:26.700 --> 1:56:27.700]  And they did not disclose.
[1:56:27.700 --> 1:56:29.700]  And I took that in the car and went down by there.
[1:56:29.700 --> 1:56:34.700]  And something was up because they had so much police and SWAT teams around the school.
[1:56:34.700 --> 1:56:35.700]  Something is urban.
[1:56:35.700 --> 1:56:36.700]  Yeah, they're doing it.
[1:56:36.700 --> 1:56:43.700]  They're doing federal drills at the school to take it over in the name of stopping mass shootings.
[1:56:43.700 --> 1:56:47.700]  But in many cases, they load the kids on FEMA trucks and take them to other facilities.
[1:56:47.700 --> 1:56:51.700]  But parents got so mad that they now do it normally when kids aren't there.
[1:56:51.700 --> 1:56:53.700]  Yeah, I believe that's what they were doing.
[1:56:53.700 --> 1:56:56.700]  And you're talking about the secret police.
[1:56:56.700 --> 1:57:00.700]  They have luxury cars at out-of-state police pulling people over around here now.
[1:57:00.700 --> 1:57:02.700]  You must be with Al Qaeda if you don't do this or that.
[1:57:02.700 --> 1:57:08.700]  You must be not right. They're your free speeches, Al Qaeda or infowars.com, whatever.
[1:57:08.700 --> 1:57:12.700]  I mean, they're getting really, like you said, they have all...
[1:57:12.700 --> 1:57:16.700]  I saw two got stopped with two unmarked cars.
[1:57:16.700 --> 1:57:17.700]  One was a pickup truck and one was the other.
[1:57:17.700 --> 1:57:18.700]  And I got their license plate.
[1:57:18.700 --> 1:57:22.700]  Out-of-state plates had a Tennessee plate, one had an Indiana plate.
[1:57:22.700 --> 1:57:24.700]  How secret are they getting out here?
[1:57:24.700 --> 1:57:25.700]  Yeah, there's no more jurisdiction.
[1:57:25.700 --> 1:57:27.700]  There's no more state sovereignty.
[1:57:27.700 --> 1:57:30.700]  Look, private banks took over the government.
[1:57:30.700 --> 1:57:33.700]  They're using the government to loot and steal and rob from the people.
[1:57:33.700 --> 1:57:36.700]  That money is taken and paid to the national debt.
[1:57:36.700 --> 1:57:39.700]  They're putting in satellite tracker boxes in all the cars.
[1:57:39.700 --> 1:57:40.700]  It's openly being announced.
[1:57:40.700 --> 1:57:42.700]  Face-scanning cameras everywhere.
[1:57:42.700 --> 1:57:44.700]  Total control grid.
[1:57:44.700 --> 1:57:45.700]  I'm out of time.
[1:57:45.700 --> 1:57:47.700]  I'm sorry to Perry and Josh and others that are holding.
[1:57:47.700 --> 1:57:50.700]  I'll be back next Sunday live, 4 to 6 p.m.
[1:57:50.700 --> 1:57:51.700]  and back during the weekday show as well.
[1:57:51.700 --> 1:57:53.700]  We'll see you at infowars.com.
[1:57:53.700 --> 1:57:56.700]  Don't forget, the Obama deception can pre-order it now.
[1:57:56.700 --> 1:57:57.700]  My ultimate film.
[1:57:57.700 --> 1:57:58.700]  God bless you all.
[1:57:58.700 --> 1:58:00.700]  We got a good chance at winning this.
[1:58:00.700 --> 1:58:01.700]  Good job with the crew.
[1:58:01.700 --> 1:58:29.700]  It's no secret that Genesis Communications Network depends on listeners like you.
[1:58:29.700 --> 1:58:37.700]  We the people grow cotton, wheat fabric, engrave ink, embed strips and fibers to protect from
[1:58:37.700 --> 1:58:41.700]  counterfeit and carting to a private bank having it led back at interest, forcing taxes to
[1:58:41.700 --> 1:58:42.700]  service debt.
[1:58:42.700 --> 1:58:46.700]  This capitalism was Jefferson correct when stating a central bank issuing the public
[1:58:46.700 --> 1:58:49.700]  currency is a greater menace to the liberties of the people than a standing army.
[1:58:49.700 --> 1:58:50.700]  Hi, Ted Anderson.
[1:58:50.700 --> 1:58:53.700]  I'm placing a free silver dollar in a book that explains our monetary system.
[1:58:53.700 --> 1:58:56.700]  Call for your copy 800-686-2237.
[1:58:56.700 --> 1:59:00.700]  It's time to understand the system, call 800-686-2237.
[1:59:00.700 --> 1:59:03.700]  That's 800-686-2237.
[1:59:03.700 --> 1:59:09.700]  Yourfoodstorage.com has been helping families prepare with the lowest priced, highest quality,
[1:59:09.700 --> 1:59:11.700]  storable food for over a decade.
[1:59:11.700 --> 1:59:16.700]  And right now, a one year food supply that feeds 4 to 5 people is only $39.95.
[1:59:16.700 --> 1:59:21.700]  That's right, a one year supply that feeds 4 to 5 people for under $4,000.
[1:59:21.700 --> 1:59:24.700]  That's only 92 cents per person for each meal.
[1:59:24.700 --> 1:59:26.700]  And comes with a 30 year shelf life.
[1:59:26.700 --> 1:59:31.700]  This amazing package has everything your family needs to survive for one full year.
[1:59:31.700 --> 1:59:34.700]  Your gourmet food is packed fresh when you place your order.
[1:59:34.700 --> 1:59:36.700]  And is shipped to your doorstep in about two weeks.
[1:59:36.700 --> 1:59:40.700]  Yourfoodstorage.com does not use any leftovers from Y2K.
[1:59:40.700 --> 1:59:42.700]  No fillers, MSG or GMOs.
[1:59:42.700 --> 1:59:45.700]  Order now and receive free shipping anywhere in the lower 48.
[1:59:45.700 --> 1:59:47.700]  Visit yourfoodstorage.com.
[1:59:47.700 --> 1:59:49.700]  That's yourfoodstorage.com.
[1:59:49.700 --> 1:59:55.700]  Or call 888-814-0289. That's 888-814-0289.
[1:59:55.700 --> 2:00:20.700]  Remember, it's better to have it and not need it than to need it and not...
