[00:00.000 --> 00:20.000]  InferWars, the most banned network in the world.
[28:52.000 --> 28:57.000]  So anyway, it worked wonderfully, and it really has totally cleared up my skin.
[29:22.000 --> 29:31.000]  You can't get raw materials, whether it's for food, whether it's for medicine, whether it's for supplements, whether it's for textiles, whatever the product is, you see it in the news.
[29:31.000 --> 29:37.000]  It is record level supply chain breakdowns, because the global has shut down the world economy for more than a year.
[29:37.000 --> 29:39.000]  And now they're trying to bring the shutdown back again.
[29:39.000 --> 29:44.000]  In fact, in areas like India and areas of Africa, the shutdown is ongoing.
[29:44.000 --> 29:47.000]  It's killing those people in massive numbers.
[29:47.000 --> 29:52.000]  The Impal Wars doesn't have a lot of our best selling products anymore, six, seven, eight months, because of this.
[29:52.000 --> 29:59.000]  So to make up the shortfall, please buy t-shirts, books, films, things like that at impalwarestore.com, and please try to keep us on the air.
[29:59.000 --> 30:11.000]  Bioremediation is a process used to treat contaminated water, soil, and subsurface material by accelerating naturally occurring environmental conditions to stimulate growth of microorganisms and degrade targeted pollutants.
[30:11.000 --> 30:18.000]  For the first time, the BioPros are bringing to the public market a suite of bioremediation products to the everyday consumer.
[30:18.000 --> 30:25.000]  Their first product they are launching is called BioSepticPro, a product specifically designed to establish a healthy septic system.
[30:25.000 --> 30:30.000]  BioSepticPro contains live microorganisms, not traditional enzymes like its competitors.
[30:30.000 --> 30:32.000]  This stuff lives in your septic system.
[30:32.000 --> 30:41.000]  It's really like probiotics for your septic tank, and is at least 100 times more effective than similar microbial products due to its revolutionary patented delivery system.
[30:41.000 --> 30:46.000]  BioSepticPro contains no chemical ingredients and no genetically modified organisms.
[30:46.000 --> 30:50.000]  Visit TheBioPros.com today and protect your septic system.
[30:50.000 --> 30:52.000]  That's TheBioPros.com.
[30:52.000 --> 30:56.000]  This is for anaerobic septic tanks, and the job it does is unparalleled.
[30:56.000 --> 31:03.000]  TheBioPros.com.
[31:27.000 --> 31:32.000]  Janey was loved as she was a queen by night.
[31:32.000 --> 31:37.000]  There in the darkness with the radio playing her own.
[31:37.000 --> 31:41.000]  And the secrets that were shared.
[31:41.000 --> 31:45.000]  The mountains that we moved.
[31:45.000 --> 31:49.000]  Caught like a wildfire out of control.
[31:49.000 --> 31:53.000]  Till there was nothing left to burn and nothing left to prove.
[31:53.000 --> 31:59.000]  I remember what she said to me.
[31:59.000 --> 32:02.000]  How she swore.
[32:02.000 --> 32:07.000]  America is coming to an end.
[32:07.000 --> 32:11.000]  All the telltale indicators of total tyranny are here.
[32:11.000 --> 32:13.000]  We're going over the edge of the cliff.
[32:13.000 --> 32:22.000]  We're about to be joined by Andrew Torba of the embattled, only true free speech social media network of any gravitas in just a moment.
[32:22.000 --> 32:28.000]  President Trump has filed a lawsuit or is filing a lawsuit against big tech censorship.
[32:28.000 --> 32:30.000]  That was one of his greatest failures in my view.
[32:30.000 --> 32:33.000]  It was not realizing they could ban him if they could ban us.
[32:33.000 --> 32:34.000]  He even said that today.
[32:34.000 --> 32:35.000]  He said they can ban me.
[32:35.000 --> 32:36.000]  They can ban you.
[32:36.000 --> 32:38.000]  I'm glad he finally figured that out.
[32:38.000 --> 32:44.000]  But coming up at the start of the next hour, I'm going to lay out the background I've got here for you.
[32:44.000 --> 32:45.000]  If you're a TV viewer.
[32:45.000 --> 32:52.000]  For the knock of the door, who's been injected and who isn't and that they're coming to intimidate you and pushing you to take it.
[32:52.000 --> 32:55.000]  And the key is saying under the UN guidelines.
[32:55.000 --> 32:57.000]  Get one of the UN now.
[32:57.000 --> 32:59.000]  If you don't take the inoculation.
[32:59.000 --> 33:07.000]  Well, then we're going to come back and say that you're sick and take you away to a quarantine center or into isolation.
[33:07.000 --> 33:12.000]  We have all the documents on that next hour by the administration launch door to door vaccine outreach.
[33:12.000 --> 33:15.000]  Literally having the cult of the Democratic Party.
[33:15.000 --> 33:17.000]  That's who these people are.
[33:17.000 --> 33:20.000]  This is the Clinton global initiative that runs this.
[33:20.000 --> 33:30.000]  With governmental power coming to your home and in Australia and in New Zealand and in Europe and in Canada and many other areas, they come and they take you away.
[33:30.000 --> 33:31.000]  People don't know.
[33:31.000 --> 33:33.000]  Have you had any diarrhea and upset?
[33:33.000 --> 33:34.000]  Had a cough lately?
[33:34.000 --> 33:35.000]  Oh, yeah.
[33:35.000 --> 33:37.000]  Come with us and they take you away.
[33:37.000 --> 33:43.000]  That power, that authoritarianism and the perfect smoke screen for open martial law.
[33:43.000 --> 33:44.000]  That's what the lockdown was.
[33:44.000 --> 33:45.000]  That's what all of us is.
[33:45.000 --> 33:47.000]  So here's Biden.
[33:47.000 --> 33:50.000]  You know, Saki came out yesterday and said, oh, yeah, we're going to be going door to door.
[33:50.000 --> 33:52.000]  People couldn't believe it.
[33:52.000 --> 34:05.000]  Well, here is the puppet in chief himself saying a special focus on five ways to make gains and getting those of you who are unvaccinated vaccinated because here's the deal.
[34:05.000 --> 34:17.000]  We are continuing to wind down the mass vaccination sites that did so much in the spring to rapidly vaccinate those eager to get their first shot and the second shot, for that matter, if they need a second.
[34:17.000 --> 34:29.000]  Now we need to go to community by community, neighborhood by neighborhood and off times door to door, literally knocking on doors to get help to the remaining people protected from the virus.
[34:29.000 --> 34:43.000]  Next hour, I'll play you all the clips where I show the UN admitting the plan is to begin that relationship with contact tracers who are the UN rapid reaction force of global governance to bring in the world ID to bring in the control in the future.
[34:43.000 --> 34:46.000]  They're now making first contact getting you used to him.
[34:46.000 --> 34:49.000]  You got the police, your medical police.
[34:49.000 --> 35:03.000]  And now they have the new thought police. Everything's already been done in Europe where thousands of people are arrested here in London alone overheard saying things that are sexist or racist in restaurants or bars and they're always expanding what that list is.
[35:03.000 --> 35:23.000]  Federal government is now saying birdwatching is racist. French cuisine is racist. White children on TV is racist. I actually have the articles here today because this is the ruling class dividing and conquering us and then saying, oh, western white populations are used to freedoms that came out of Anglo Saxon law and all the wars that demanded it.
[35:23.000 --> 35:35.000]  Magna Carta, 1215, 1776 July 4th. Let's list all that is bad. All those rights and freedoms were fought for is bad so we can reject them and overturn them and have total corporate enslavement and control.
[35:35.000 --> 35:46.000]  We're going to talk to Andrew Torba of gab.com here in a moment, but I wanted to play clips from Trump's press conference this morning speaking about the massive censorship.
[35:46.000 --> 36:08.000]  Today, in conjunction with the America First Policy Institute, I'm filing as the lead class representative, a major class action lawsuit against the big tech giants, including Facebook, Google and Twitter, as well as their CEOs, Mark Zuckerberg,
[36:08.000 --> 36:28.000]  Sundar Puche and Jack Dorsey, three real nice guys. And of course, there is no better evidence that big tech is out of control than the fact that they banned the sitting president of the United States earlier this year.
[36:28.000 --> 36:37.000]  A ban that continues to this day continues so we get the word out, but it's not a fair situation. Very, very bad for this country.
[36:37.000 --> 36:39.000]  It's multinational.
[36:39.000 --> 36:45.000]  If they can do it to me, they can do it to anyone. And in fact, that is exactly what they're doing.
[36:45.000 --> 36:54.000]  That's exactly what they're doing. So we have multinational corporations not even letting us have medical freedom to hear from medical doctors about alternative treatments.
[36:54.000 --> 37:05.000]  This is a total tyranny. Andrew Torba has been right at the center of this. Was it Silicon Valley? Very successful programmer. Years ago decided to break away and form GAB. GAB is just like Facebook was three, four years ago.
[37:05.000 --> 37:16.000]  As long as it's not illegal, you can say it or do it. But now Facebook, the ADL, Southern Property Law Center, Governor Abbott, and even Trump's people don't want to work with GAB because they allow free speech.
[37:16.000 --> 37:24.000]  So Trump still hasn't figured this out, Andrew. I appreciate you coming on. I know you just had a new addition to the family. Congratulations on that.
[37:24.000 --> 37:32.000]  Thank you, Alex. Yeah, we're doing well here. My son is about a week old now. So many sleepless nights, but, you know, we're very blessed.
[37:32.000 --> 37:38.000]  And, you know, there's obviously a lot going on. You know, the president announced this lawsuit today.
[37:38.000 --> 37:48.000]  You know, over the course of five years, many people have tried and have failed with these lawsuits. So I don't think that this is going to be the golden ticket that everybody thinks it is.
[37:48.000 --> 38:02.000]  But nevertheless, it's good to see him talking about this problem and attempting to do something about it. But, you know, the solution is not to go after the incumbents, is not to play by their rules and try to get on their app stores and use their infrastructure.
[38:02.000 --> 38:13.000]  The solution is what we've been doing for five years, which is building from scratch. We have to build from scratch in order to, you know, protect free speech online for all people.
