[00:00:18.334 --> 00:00:20.135]  It's Monday, January 25th.
[00:25:55.909 --> 00:25:56.449]  lab.
[00:25:56.449 --> 00:25:58.832]  Well, I guess technically they're right.
[00:25:58.832 --> 00:26:06.599]  It did start in a lab in North Carolina, but it was then sold to China by Obama and Fauci.
[00:26:06.599 --> 00:26:07.520]  Or maybe it wasn't even sold.
[00:26:07.520 --> 00:26:10.923]  In fact, I don't even know if they got money for that research, but they did transfer it.
[00:26:12.464 --> 00:26:17.567]  So that was Fauci and Bill Gates' little baby, and Obama just had to sign off on it.
[00:26:17.567 --> 00:26:22.911]  And so, Gates and Fauci successfully moved it over to Wuhan.
[00:26:22.911 --> 00:26:23.671]  There it is right there.
[00:26:23.671 --> 00:26:25.152]  Put it back up.
[00:26:25.152 --> 00:26:31.316]  And we had the guest, Dr. Francis Boyle, that explained this a year ago.
[00:26:31.316 --> 00:26:34.318]  In fact, probably almost a year ago to today, maybe around 11 months.
[00:26:36.653 --> 00:26:38.835]  So once again, Infowars next year's news today.
[00:26:38.835 --> 00:26:40.456]  And it's so funny because now everybody's admitting it.
[00:26:40.456 --> 00:26:41.577]  You turn into mainstream news.
[00:26:41.577 --> 00:26:43.919]  They show the Wuhan lab this, Wuhan lab that.
[00:26:43.919 --> 00:26:48.063]  So everybody knows it came out of the Wuhan lab now.
[00:26:48.063 --> 00:26:54.108]  But now China is going to shift the blame and say, no, it was you.
[00:26:54.108 --> 00:26:56.309]  Which there is an element of truth to.
[00:26:56.309 --> 00:27:00.373]  We didn't release it onto the world and then cause the collapse of the global economy.
[00:27:00.373 --> 00:27:02.575]  They did that.
[00:27:02.575 --> 00:27:02.775]  But
[00:27:04.266 --> 00:27:08.308]  It was created in a lab in North Carolina run by Fauci.
[00:27:08.308 --> 00:27:17.072]  And of course Gates had the interest of transferring it because he wants to run all the vaccines.
[00:27:17.072 --> 00:27:23.175]  So anything that they're going to release, you know, he needs to know what's up so he can have the vaccine.
[00:27:23.175 --> 00:27:26.516]  And then how about this one?
[00:27:26.516 --> 00:27:30.938]  Dr. Anthony Fauci is the highest paid employee in the entire U.S.
[00:27:30.938 --> 00:27:31.959]  federal government.
[00:27:34.858 --> 00:27:37.721]  And of course, we know that his 2019 salary was $417,000.
[00:27:37.721 --> 00:27:39.322]  And they say, oh, he made $400,000 more than President Trump.
[00:27:39.322 --> 00:27:43.205]  Well, President Trump didn't make anything.
[00:27:43.205 --> 00:27:45.407]  He donated all of his salary.
[00:27:45.407 --> 00:27:45.487]  So.
[00:27:55.540 --> 00:28:03.262]  That dirtbag, that naked roll man, rat man, Anthony Fauci, highest paid government who killed the U.S.
[00:28:03.262 --> 00:28:10.204]  economy, the highest paid government employee, killed our economy.
[00:28:10.204 --> 00:28:18.687]  And that rat is still going on TV and now he says, we need to assume that the British virus strain is going to cause more damage.
[00:28:18.687 --> 00:28:23.548]  So more fear mongering to kill the economy from the big pharma
[00:28:25.521 --> 00:28:32.326]  Anti-freedom Nazi tyrant Anthony Fauci.
[00:28:32.326 --> 00:28:36.829]  The highest paid federal employee who put you out of a job.
[00:28:36.829 --> 00:28:40.491]  The highest paid federal employee who cost you your business.
[00:28:40.491 --> 00:28:44.734]  The highest paid federal employee that destroyed the US economy.
[00:28:44.734 --> 00:28:46.135]  Anthony Fauci.
[00:28:46.135 --> 00:28:48.297]  He should pay every cent of that back.
[00:28:49.608 --> 00:28:55.553]  Plus, he actually probably owes America about $500 billion, maybe even a trillion.
[00:28:55.553 --> 00:28:58.195]  Let's fork it over, Fauci.
[00:28:58.195 --> 00:29:05.161]  The word apocalypse means the revealing of what was once hidden.
[00:29:05.161 --> 00:29:09.705]  And now that all the lies are being revealed, what will you do?
[00:29:11.383 --> 00:29:14.848]  We know that millions will do absolutely nothing.
[00:29:14.848 --> 00:29:19.955]  They will do whatever they are told, as if obedience is a virtue.
[00:29:19.955 --> 00:29:24.221]  It is the patriots of the world versus everybody else.
[00:29:25.598 --> 00:29:35.220]  I do solemnly swear that I will support and defend the Constitution of the United States against all enemies, foreign and domestic.
[00:29:35.220 --> 00:29:39.340]  That I will bear true faith and allegiance to the same.
[00:29:39.340 --> 00:29:45.822]  That I take this obligation freely, without any mental reservation or purpose of evasion.
[00:29:45.822 --> 00:29:51.362]  And that I will well and faithfully discharge my duties as best as I can.
[00:29:51.362 --> 00:29:52.243]  So help me God.
[00:29:54.484 --> 00:29:55.354]  Fan dot video.
[00:29:58.621 --> 00:30:12.608]  The Pope came out yesterday and announced a global government corporate alliance to redistribute wealth and create a planetary universal income, which of course the United Nations and global corporations will control through the apps on your phone and finally a chip under your skin.
[00:30:12.608 --> 00:30:18.492]  It's all now completely official, part of the UN Great Reset of the Davos Group.
[00:30:18.492 --> 00:30:24.775]  And Klaus Schwab, all officially written about in hundreds of books by Schwab and Rockefeller Foundation, all the rest of them,
[00:30:25.236 --> 00:30:27.321]  At 10 to 21, 10 to 20, 30, it's here.
[00:30:27.321 --> 00:30:32.714]  And only gets worse, like being fed into a wood chipper, or a meat grinder, until you reject it all.
[00:30:34.514 --> 00:30:40.836]  And the rejection starts with realizing it's a spiritual battle, good versus evil, and stopping abortion.
[00:30:40.836 --> 00:30:43.017]  We must start valuing human life again.
[00:30:43.017 --> 00:30:49.900]  We must start saying that we are not expendable, that we are not disposable, that we are essential.
[00:30:49.900 --> 00:30:52.661]  Until we do that, we are all slaves.
[00:30:52.661 --> 00:30:56.102]  We must stand up and declare our basic God-given human rights now.
[00:30:58.831 --> 00:31:02.112]  This is Greg Reese from InfoWars.com.
[00:31:02.112 --> 00:31:06.114]  I have many reasons to be grateful for working at InfoWars.
[00:31:06.114 --> 00:31:12.996]  One of them is that we support ourselves with great products that promote physical health and vitality.
[00:31:12.996 --> 00:31:23.180]  I've been using health supplements for years, and I have found our products at InfoWarsStore.com to be the best, especially our Vitamin Mineral Fusion.
[00:31:24.110 --> 00:31:30.634]  Before trying Vitamin Mineral Fusion, I always questioned if vitamin supplements ever actually did anything.
[00:31:30.634 --> 00:31:34.236]  I never felt much of an effect from other products.
[00:31:34.236 --> 00:31:37.698]  But I felt Vitamin Mineral Fusion the first time I took it.
[00:31:37.698 --> 00:31:38.319]  Immediately.
[00:31:39.235 --> 00:31:41.297]  I love how it dissolves in water.
[00:31:41.297 --> 00:31:43.139]  I take it every day with my supper.
[00:31:43.139 --> 00:31:45.722]  It tastes great, feels great.
[00:31:45.722 --> 00:31:48.525]  And right now, it's 50% off.
[00:31:48.525 --> 00:31:55.112]  It sells out fast, so stock up now at 50% off at infowarsstore.com.
[00:31:55.112 --> 00:31:58.236]  Vitamin Mineral Fusion at infowarsstore.com.
[00:31:58.689 --> 00:32:03.010]  All of the experts agree that getting proper sleep is the cornerstone of good health.
[00:32:03.010 --> 00:32:13.612]  It has been proven that a poor sleep schedule is linked with numerous health problems, including weight gain, memory issues, mood changes, poor concentration, and even a weakened immune system.
[00:32:13.612 --> 00:32:19.813]  Introducing RocketRest, the new product from our Dr. Jones Naturals line at InfowarsStore.com.
[00:32:19.813 --> 00:32:27.894]  The new RocketRest formula is loaded with the best natural ingredients to help not only improve your quality of sleep, but help you wake up feeling refreshed.
[00:32:28.354 --> 00:32:38.436]  Many competitors sleep formulas focus only on getting you to sleep, but Rocket Rest was specifically formulated to help you feel rested and ready to take on the next day.
[00:32:38.436 --> 00:32:46.238]  It uses a unique quick release capsule system to ensure fast delivery of deep sleep support ingredients like melatonin and magnesium.
[00:32:46.238 --> 00:32:50.959]  Rocket Rest helps you fall asleep fast, stay asleep, and wake up feeling rested.
[00:32:50.959 --> 00:32:55.000]  So get the new Rocket Rest formula from Dr. Jones Naturals right now at
[00:33:01.201 --> 00:33:19.714]  You're listening to the Alex Jones Show.
[00:33:19.714 --> 00:33:25.398]  He aligns himself with the truth, and it's time for you to choose a side.
[00:33:25.398 --> 00:33:27.680]  You're listening to Alex Jones.
[00:33:29.500 --> 00:33:58.468]  Bad luck wind been blowin' at my back I was born to bring trouble to wherever I'm at Got the number 13 tattooed on my neck When the ink starts to itch then the black will turn to red
[00:34:01.527 --> 00:34:02.528]  Welcome, ladies and gentlemen.
[00:34:02.528 --> 00:34:06.291]  Thank you for joining us on this worldwide broadcast.
[00:34:06.291 --> 00:34:08.713]  Here we are, already January 25th, 2021.
[00:34:08.713 --> 00:34:13.557]  Owen Schroer is back in the Austin Infowars News Center.
[00:34:13.557 --> 00:34:21.043]  I am in Utah, spending some time with family here in God's country.
[00:34:21.043 --> 00:34:23.765]  But obviously, wild horses couldn't drag me away.
[00:34:23.765 --> 00:34:29.790]  There's a point I've been to make a lot in the last few months on air, but I've never really gotten to it, so I'm going to make it right now.
[00:34:29.790 --> 00:34:31.091]  Almost every morning, I wake up.
[00:34:32.731 --> 00:34:34.351]  And I've had a good night's rest.
[00:34:34.351 --> 00:34:36.512]  I feel good.
[00:34:36.512 --> 00:34:42.053]  And then I get hit, like, with a ton of bricks that, oh my gosh, we're inside the New World Order.
[00:34:42.053 --> 00:34:44.013]  We're inside the Great Reset.
[00:34:44.013 --> 00:34:49.474]  And it's only going to get worse until humanity stands up and takes action.
[00:34:49.474 --> 00:34:52.095]  It's kind of like, you know, you wake up, you remember you've got a family member in the hospital.
[00:34:52.095 --> 00:34:53.035]  You wake up, you feel good.
[00:34:53.035 --> 00:34:54.536]  You remember the bad news.
[00:34:54.536 --> 00:34:55.536]  You wake up, you're in a good mood.
[00:34:55.536 --> 00:34:58.236]  You remember your girlfriend just broke up with you two days ago.
[00:34:58.236 --> 00:34:59.677]  This is a hundred times worse than that.
[00:34:59.677 --> 00:35:01.477]  And so I don't want to be the bearer of bad news.
[00:35:03.271 --> 00:35:09.076]  But the attitude out there of not admitting how much trouble we're in is what is going to allow this to get a lot worse.
[00:35:09.076 --> 00:35:21.247]  We are in the middle of a scientific global government takeover designed to collapse the economy and bring in a post-industrial world for 99% of the world population.
[00:35:21.247 --> 00:35:24.450]  They have a lot of excuses, a lot of reasons they're doing this, but at the end of the day it's all about
[00:35:25.700 --> 00:35:26.360]  Raw power.
[00:35:26.360 --> 00:35:30.503]  These are not guardians of the earth, guardians of the galaxy, guardians of God's creation.
[00:35:30.503 --> 00:35:36.527]  These are really, really ruthless people that don't follow any of the rules they want for us.
[00:35:36.527 --> 00:35:42.071]  And the fact is, the world is repudiating global government and repudiating corporate governance.
[00:35:42.071 --> 00:35:44.212]  It's the opposite of free market capitalism.
[00:35:44.212 --> 00:35:47.514]  It's a crony capitalist, communist, fascist model that you see in China.
[00:35:47.514 --> 00:35:48.195]  It's the model of the world.
[00:35:49.804 --> 00:35:51.245]  And that journey doesn't come from China.
[00:35:51.245 --> 00:36:00.831]  It was set up and designed in China in consultation with the Chinese communists by David Rockefeller, George Herbert Walker Bush, Henry Kissinger and others.
[00:36:00.831 --> 00:36:03.972]  And it's because they've not been held accountable for any of the things they've done.
[00:36:03.972 --> 00:36:14.719]  They would now put Joe Biden in, who's incredibly unpopular, and Kamala Harris, who did not get one half of 1% of support when she ran the Democratic primaries.
[00:36:14.719 --> 00:36:15.899]  We'll say that again.
[00:36:15.899 --> 00:36:16.500]  In nowhere
[00:36:17.588 --> 00:36:20.050]  Did she ever go above one half of one point?
[00:36:20.050 --> 00:36:23.033]  No one was that low.
[00:36:23.033 --> 00:36:25.175]  But then why did CNN want her?
[00:36:25.175 --> 00:36:30.039]  Well, because reportedly Jeff Zucker has had a relationship with her.
[00:36:30.039 --> 00:36:31.801]  That's what this is all about.
[00:36:31.801 --> 00:36:37.226]  It's about the power trip of these few elite men, almost all of them white,
[00:36:39.008 --> 00:36:55.239]  Telling us about how America and freedom is racist and bad, to turn all the different groups against each other, collapse the third world with the COVID-19 lockdowns, flood us with third world populations that happen to be brown, while teaching them to hate white people and hate America, even though they're fighting to get here.
[00:36:55.239 --> 00:36:57.941]  So, it's their admitted plan, the UN does not deny it.
[00:36:57.941 --> 00:37:04.305]  That's what's so frustrating about all this is, InfoWorks credibility's gone through the roof.
[00:37:04.305 --> 00:37:08.128]  Because everything we told you was coming is coming exactly as we said, and it keeps coming as we say.
[00:37:09.124 --> 00:37:11.386]  But that is the enemy's weak point.
[00:37:11.386 --> 00:37:18.171]  It's not that we're that good, it's that the enemy is so organized that that's their strength and also their weakness.
[00:37:18.171 --> 00:37:29.080]  If you admit that you're under globalist attack, if you admit the mask are a fraud, if you admit the vaccine's a fraud, if you admit everything they do is a lie, if you admit they want to lock you down in your home and keep the borders wide open,
