[00:00:08.604 --> 00:00:10.707]  It's Sunday, September 25th.
[01:40:14.115 --> 01:40:17.437]  But voting is compulsory and a lot of people don't want to vote.
[01:40:17.437 --> 01:40:18.757]  They just go because they have to.
[01:40:18.757 --> 01:40:24.620]  So, it looks like Australia has been the guinea pig for the rest of the world.
[01:40:24.620 --> 01:40:31.663]  In particular, the cities of Melbourne, where Monica Smith is, and Sydney, where I am, they've been hit very hard.
[01:40:32.247 --> 01:40:39.610]  Now they've targeted their experiments and their attacks on the multicultural communities, on the religious communities.
[01:40:39.610 --> 01:40:44.132]  We know in Australia that those communities have been targeted especially.
[01:40:44.132 --> 01:40:48.494]  They've targeted churches, they've closed churches, they've closed mosques.
[01:40:48.494 --> 01:40:55.337]  People are being denied the right to receive Holy Communion, to pray together, to go to funerals.
[01:40:55.337 --> 01:40:58.138]  People can't say goodbye to their loved ones at the cemetery.
[01:40:58.138 --> 01:40:59.939]  There are people getting arrested at the cemetery.
[01:41:00.419 --> 01:41:05.801]  There are people that are being denied basic medical rights.
[01:41:05.801 --> 01:41:07.001]  They can't visit their doctor.
[01:41:07.001 --> 01:41:08.402]  They can't visit a hospital.
[01:41:08.402 --> 01:41:11.543]  So this is just an exercise in total martial law.
[01:41:11.543 --> 01:41:12.383]  I want to get Ms.
[01:41:12.383 --> 01:41:13.583]  Schmidt's take on that.
[01:41:13.583 --> 01:41:15.564]  Why do you think Australia was a beta test?
[01:41:15.564 --> 01:41:18.525]  Why do you think they targeted your town the most?
[01:41:20.515 --> 01:41:27.679]  I think that, and I heard Simon saying, that we are very laid back people and we've had it very easy.
[01:41:27.679 --> 01:41:36.145]  For the last, you know, since the Eureka Stockade really, we haven't had to fight too much for our freedoms and for the leisurely life that we live.
[01:41:36.145 --> 01:41:38.726]  So I think we were perfect for it.
[01:41:38.726 --> 01:41:42.028]  And we are very, she'll be right, nothing really bothers us.
[01:41:43.249 --> 01:41:45.932]  We just grit it and we just keep going.
[01:41:45.932 --> 01:41:48.856]  We're very friendly and I think that's one of the reasons why.
[01:41:48.856 --> 01:41:53.721]  And I know that we're talking a lot about the negative side of things and it's true.
[01:41:53.721 --> 01:41:57.385]  Everything that we can't do, Alex, is to do with our health.
[01:41:57.385 --> 01:42:01.570]  Every single thing we cannot do is helping our mental state.
[01:42:01.570 --> 01:42:03.332]  So everything that helps us, communities,
[01:42:03.732 --> 01:42:04.653]  Yeah, absolutely.
[01:42:19.953 --> 01:42:25.975]  But it's psychological and I think the way that we're going to beat it is with our psyche as well.
[01:42:25.975 --> 01:42:32.157]  So we have to have courage of conviction as a collective unit, country and world to actually beat them.
[01:42:32.157 --> 01:42:36.659]  Because what they're trying to do is beat us down psychologically so that we feel like we've already lost.
[01:42:36.659 --> 01:42:40.200]  Because if we think we've lost, well, then we're going to lose, aren't we?
[01:42:40.200 --> 01:42:40.741]  That's right.
[01:42:40.741 --> 01:42:46.823]  For those who don't know, it's a standard psychological oppression to create mass depression and mass psychosis.
[01:42:47.403 --> 01:42:49.228]  To put pressure on, take pressure off.
[01:42:49.228 --> 01:42:50.672]  Put pressure on, take pressure off.
[01:42:50.672 --> 01:42:53.159]  Always squeeze down harder as you go.
[01:43:00.950 --> 01:43:03.111]  I'll tell you what's life and death.
[01:43:03.111 --> 01:43:10.013]  If you don't have freedom of speech, if you don't have the right to be able to communicate, then you don't have a future.
[01:43:10.013 --> 01:43:15.835]  Always when governments take away speech, they then enslave the population, and then they finally start exterminating the population.
[01:43:15.835 --> 01:43:20.997]  In America, the entire world is going down the tubes because the UN Global's directed Great Reset.
[01:43:21.437 --> 01:43:25.780]  That's why it's more important than ever that InfoWars stay on the air and that all of us stay healthy.
[01:43:25.780 --> 01:43:33.825]  That's why I'm offering a bunch of our best-selling products at 50% off for a limited time, only until the end of the month of September.
[01:43:33.825 --> 01:43:37.728]  That's only about 12-13 days as of the time we're taping this.
[01:43:37.728 --> 01:43:39.989]  And that means all these amazing products.
[01:43:39.989 --> 01:43:43.311]  We have Ultra 12, highest quality B12, taken out of the tongue.
[01:43:43.311 --> 01:43:47.254]  We have Winter Sun, highest quality organic vitamin D3, taken out of the tongue.
[01:43:47.254 --> 01:43:47.834]  Amazing.
[01:43:47.834 --> 01:43:49.035]  We've got Knock Out the Sleep Aid.
[01:43:49.035 --> 01:43:50.136]  We've got Hair and Beard Formula.
[01:43:58.939 --> 01:44:11.803]  This message is not for our regular listeners who are informed and understand about the value of essential vitamins and minerals, meaning if you don't have them, you die long term.
[01:44:11.803 --> 01:44:13.324]  It's for new listeners.
[01:44:13.324 --> 01:44:17.285]  The power structure works around the clock to try to debilitate you and try to make you sickly.
[01:44:17.285 --> 01:44:19.626]  Please research because this is life and death.
[01:44:20.346 --> 01:44:23.828]  Vitamins that are essential and minerals that are essential.
[01:44:23.828 --> 01:44:25.589]  Just type that into a search engine.
[01:44:25.589 --> 01:44:28.930]  You will see the top universities, CDC, all of them telling you this.
[01:44:28.930 --> 01:44:39.976]  But you won't see this on the nightly news because they don't want you at the big pharma companies to understand how to protect yourself to a great extent from what's going on in the world on a routine basis.
[01:44:40.676 --> 01:44:49.300]  We now have back in stock Winter Sun, the highest quality vitamin D3 with vitamin K for your body's immune system, back in stock, sold out for months.
[01:44:49.300 --> 01:44:55.663]  It is essential, it is vital, and it is 50% off, so you have no excuse but to get it for yourself and your family.
[01:44:55.663 --> 01:44:59.405]  Winter Sun, back in stock, 50% off at InfoWarStore.com.
[01:45:02.213 --> 01:45:10.379]  As men age, they often experience a slowdown in vitality, energy, and overall wellness.
[01:45:11.690 --> 01:45:16.434]  And that's why we made one of our most popular formulas to date.
[01:45:16.434 --> 01:45:18.796]  Super Male Vitality!
[01:45:18.796 --> 01:45:27.623]  Specifically designed to assist the body in regulating proper balance to create superior vitality in males.
[01:45:27.623 --> 01:45:38.492]  Now look, this unique formula promotes your body's own natural responses and it contains no synthetic chemicals and no unwanted additives.
[01:45:38.772 --> 01:45:39.473]  Yes.
[01:45:39.473 --> 01:45:44.376]  We're talking about ancient wisdom combined with modern technology.
[01:45:44.376 --> 01:45:51.200]  Working together in perfect synchronicity to help you get the most out of this herb-packed formula.
[01:45:51.200 --> 01:45:52.361]  So what are you waiting for?
[01:45:52.361 --> 01:45:54.202]  Go to the InfoWars store.
[01:45:54.202 --> 01:45:57.024]  Never been a better time than right now.
[01:45:57.024 --> 01:46:00.526]  Super Male Vitality at InfoWarsStore.com
[01:46:01.787 --> 01:46:06.391]  You want to have a double-blind, randomized placebo testing.
[01:46:06.391 --> 01:46:20.763]  What that means is you give 20,000 people the vaccine when it comes to phase 2, phase 3 trials, and you give 20,000 people a placebo, and then you really look at health outcomes for a long period of time, not four weeks.
[01:46:22.237 --> 01:46:26.483]  A lot of these injuries, the autoimmune injuries, you're not going to see in four weeks.
[01:46:26.483 --> 01:46:29.407]  The cancer, you're not going to see in four weeks.
[01:46:29.407 --> 01:46:35.956]  And many of the neurological injuries, you won't see for four weeks, if the experience with other vaccines is instructive.
[01:46:37.237 --> 01:46:46.399]  You look at the other vaccines that are currently in the schedule, and there's about 400 injuries, illnesses, chronic illnesses that are listed.
[01:46:46.399 --> 01:46:47.599]  Robert Kennedy Jr.
[01:46:47.599 --> 01:46:52.700]  is just one of more than 40 powerful voices in the film, Covidland.
[01:46:52.700 --> 01:46:55.221]  Exclusively available at covidland.com.
[01:46:55.221 --> 01:47:03.822]  And when you order it now, you get a free copy of Endgame, Blueprint for Global Enslavement.
[01:47:03.822 --> 01:47:06.423]  You're listening to the Alex Jones Show.
[01:47:18.191 --> 01:47:28.477]  This is a corporate takeover of our bodies, and then to track and trace us for a neo-feudalist system, because the world was rejecting their program, so they launched Operation Lockstep.
[01:47:28.477 --> 01:47:32.560]  I mean, I think it's clear you guys know that, and you're victims of it.
[01:47:32.560 --> 01:47:38.423]  I think it's key to get the word out to leaders and others around the world, the people, that this is a war for the world.
[01:47:38.423 --> 01:47:41.685]  As another Australian said, this is a global corporate takeover of the planet.
[01:47:41.685 --> 01:47:42.646]  Please continue, Ms.
[01:47:42.646 --> 01:47:42.906]  Schmidt.
[01:47:44.417 --> 01:47:51.800]  Well yeah, the vaccine passports, you know, and what you said about the uncertainty, it's a weapon in itself.
[01:47:51.800 --> 01:47:55.242]  You don't know if you can go ahead with your wedding plans.
[01:47:55.242 --> 01:47:58.243]  You can't even die because you might not be able to have anyone at your funeral.
[01:47:58.243 --> 01:48:02.725]  It's this constant not knowing what the government's going to do every single day.
[01:48:02.725 --> 01:48:09.308]  Tomorrow the playgrounds might be closed, the next day it might be open, and if it's open you should be grateful because it used to be closed, but yet
[01:48:09.708 --> 01:48:11.009]  It's your human right anyway.
[01:48:11.009 --> 01:48:12.269]  So it's it's you're right.
[01:48:12.269 --> 01:48:15.110]  It's absolutely psychological warfare.
[01:48:15.110 --> 01:48:16.390]  It's so interesting.
[01:48:16.390 --> 01:48:17.171]  But these.
[01:48:17.171 --> 01:48:24.513]  So the last thing my premier said in Victoria, Daniel Andrews, is that we've got this roadmap out of out of lockdown.
[01:48:24.513 --> 01:48:24.853]  Right.
[01:48:24.853 --> 01:48:32.096]  So and the exciting thing is, is by Christmas, we might be able to sit outside of cafes, but we'll have to be vaccinated.
[01:48:33.085 --> 01:48:36.827]  But that's absolutely illegal to enforce anything like that.
[01:48:36.827 --> 01:48:41.850]  But he just says these things and hopes that people just get vaccinated because they want to go to a cafe.
[01:48:41.850 --> 01:48:47.913]  But in fact, it's totally discrimination to not let someone eat somewhere because they don't want to take a medical procedure.
[01:48:47.913 --> 01:48:49.294]  But he just says it anyway.
[01:48:49.294 --> 01:48:51.055]  So it's that coercion.
[01:48:51.715 --> 01:49:06.121]  Not only when the shot doesn't work, and isn't a vaccine, and is a gene therapy, and the countries with the highest vaccination rate have the highest illness rate, and then Australia had almost none of these illnesses, but now you're getting all these weird illnesses like everybody else now that they're taking the injections.
[01:49:06.121 --> 01:49:11.443]  I mean, this is just, again, a crazy corporations with a world government plan going for broke.
[01:49:11.443 --> 01:49:12.203]  Sorry, please continue.
[01:49:13.508 --> 01:49:16.410]  Yeah, so basically, like I said, they're trying to break us.
[01:49:16.410 --> 01:49:18.291]  That's everything that I can say.
[01:49:18.291 --> 01:49:22.074]  They want to take everything away from us that makes us happy.
[01:49:22.074 --> 01:49:26.136]  Connection is the number one reason why people don't get depressed.
[01:49:26.136 --> 01:49:30.259]  It's the number one reason why people are depressed because they don't have enough connection.
[01:49:30.259 --> 01:49:36.663]  So they are trying to basically make the entire nation of Australia depressed so that we will do whatever they say.
[01:49:37.150 --> 01:49:40.031]  Now, tyrants don't negotiate.
[01:49:40.031 --> 01:49:50.696]  So when the people find a way around the system, which they have in Victoria, they set up a cocktail route around the city that was all outside and people were wearing masks and everything.
[01:49:50.696 --> 01:49:52.717]  And our Premier said, you can't do that.
[01:49:52.717 --> 01:49:54.197]  You can't drink cocktails.
[01:49:54.197 --> 01:50:00.120]  And so these tyrants, they actually get worse the cleverer the people get.
[01:50:00.860 --> 01:50:05.101]  They're just trying to break us and we're not going to break Alex, so they can do whatever they want.
[01:50:05.101 --> 01:50:05.701]  Exactly.
[01:50:05.701 --> 01:50:07.621]  Trying to break you for what though?
[01:50:07.621 --> 01:50:11.482]  To accept the carbon tax, the ID, the digital app?
[01:50:11.482 --> 01:50:12.942]  But I mean, it's so damn obvious.
[01:50:12.942 --> 01:50:17.283]  Paul Schwab says, we will make them very angry until they submit to Great Reset.
[01:50:17.283 --> 01:50:20.644]  As if we don't know he's the one doing it for the Great Reset.
[01:50:20.644 --> 01:50:22.984]  Simon?
[01:50:22.984 --> 01:50:23.964]  Yeah, definitely.
[01:50:23.964 --> 01:50:28.805]  In regards to what can be done, I mean, the Australian people are doing whatever they can do.
[01:50:29.657 --> 01:50:38.299]  You mentioned something earlier, Alex, which has really sparked my interest, and I know a lot of our Australian viewers would be very, very grateful for this.
[01:50:38.299 --> 01:50:46.962]  You said that you're willing to go to the Australian Embassy in Washington and do some kind of a political protest.
[01:50:46.962 --> 01:50:55.764]  Now, I just want to underscore, and I'm sure Monica would agree with me here, and so would millions of Australians who are going to be watching this, that is such a great thing.
[01:50:55.764 --> 01:50:58.185]  That is exactly what we need.
[01:50:58.185 --> 01:50:58.645]  We need
[01:50:59.158 --> 01:51:09.806]  For our friends and our allies overseas, especially the Americans who are very close to Australia, to point the finger at the Australian government and say, no, this is wrong.
[01:51:09.806 --> 01:51:11.587]  What you're doing is wrong.
[01:51:11.587 --> 01:51:17.192]  It's against all the values of Western civilization.
[01:51:17.192 --> 01:51:18.413]  It's against Christian values.
[01:51:18.413 --> 01:51:21.895]  It's against the basic principles of freedom and human rights.
[01:51:23.700 --> 01:51:40.087]  Just maybe a counter-question to you, if you could take this opportunity to evaluate, and obviously there'll be many other millions of Americans who potentially could visit the Australian Embassy, visit the Australian Consulate, you know, bring their American flags, bring whatever, Aussie flags, bring signs.
[01:51:40.087 --> 01:51:41.387]  We would love to see that.
[01:51:41.387 --> 01:51:41.968]  Absolutely.
[01:51:41.968 --> 01:51:45.169]  Well, I mean, when I say I'm going to do something, I'm going to do it.
[01:51:45.169 --> 01:51:47.310]  And it may take a couple of weeks because I want to build this up.
[01:51:47.310 --> 01:51:48.210]  I may go to New York.
[01:51:48.210 --> 01:51:51.992]  You know, I thought about going and protesting because Bolsonaro said I could interview him
[01:51:53.823 --> 01:51:58.325]  In Brazil, and I didn't think, oh, he's there, I should have gone and interviewed him, but I was in D.C.
[01:51:58.325 --> 01:52:12.171]  for the January 6th protesters that are a bunch of non-violence, still held in solitary confinement, and so I didn't go to that, but I could either, we could have a protest at the U.N., and there's also an Australian consulate, I know, in New York, or we could do the one in D.C.
[01:52:12.171 --> 01:52:21.715]  or do both, but yeah, we need to get everybody out to do that, because that's something the press is going to cover, and they're watching and testing again,
[01:52:22.415 --> 01:52:29.736]  In Australia and in the 50th state of Hawaii, as well, is under a very draconian system.
[01:52:29.736 --> 01:52:32.557]  So they love islands because you have nowhere to run.
[01:52:32.557 --> 01:52:34.897]  We really need the international community to step up here.
[01:52:34.897 --> 01:52:38.498]  Look, Australia has been helping countries all around the world.
[01:52:38.498 --> 01:52:40.118]  Our troops have been going overseas.
[01:52:40.118 --> 01:52:46.540]  Australia's been, you know, donating money and aid and, you know, for all sorts of natural disasters and so forth.
[01:52:46.540 --> 01:52:47.880]  Australia's never really asked for help.
[01:52:49.020 --> 01:52:54.463]  Sir, you're under globalist New World Order takeover.
[01:52:54.463 --> 01:52:55.783]  It's a scientific test.
[01:52:55.783 --> 01:52:56.924]  You are us.
[01:52:56.924 --> 01:53:00.125]  You're like part of our heart or arm and we are yours.
[01:53:00.125 --> 01:53:04.467]  They're attacking me right now when they attack you and when they threw Ms.
[01:53:04.467 --> 01:53:07.508]  Schmidt into that gulag.
[01:53:07.508 --> 01:53:08.929]  Can you speak to that?
[01:53:08.929 --> 01:53:10.249]  This is only the beginning.
[01:53:10.249 --> 01:53:11.290]  They've been putting people
[01:53:12.410 --> 01:53:14.852]  On incitement charges for a year.
[01:53:14.852 --> 01:53:18.475]  So this has been their tactic to actually silence people who have a platform.
[01:53:18.475 --> 01:53:21.378]  So you would have heard of Craig Kelly as well.
[01:53:21.378 --> 01:53:23.640]  He's a political member of Parliament.
[01:53:23.640 --> 01:53:25.461]  He was taken off Facebook.
[01:53:25.461 --> 01:53:27.523]  He gets slammed in the media all the time.
[01:53:27.523 --> 01:53:29.405]  So this is just the beginning.
[01:53:29.405 --> 01:53:36.370]  They're trying to obviously stop people from speaking out of fear that they will get treated really badly from the media and so forth.
[01:53:36.370 --> 01:53:40.454]  And then, of course, with the protests as the days went on, the police got more and more brutal.
[01:53:40.734 --> 01:53:40.934]  Thank you.
[01:54:00.064 --> 01:54:05.126]  The protesting is very violent and it's not coming from the people, it's coming from the police.
[01:54:05.126 --> 01:54:08.327]  But the people have to defend themselves as well.
[01:54:08.327 --> 01:54:18.351]  So it's a very difficult situation here and I would love to be able to stop that from happening, escalating into actual death and things like that.
[01:54:18.351 --> 01:54:20.252]  But it's heading that way unfortunately.
[01:54:20.572 --> 01:54:22.734]  All right, now going to the final comments.
[01:54:22.734 --> 01:54:24.316]  Take as much time as you like.
[01:54:24.316 --> 01:54:32.163]  I was talking over you earlier and I'd like to put a promo out with you, you know, saying Monica Schmidt that same thing you said, they want to break us, they're not going to break us.
[01:54:32.163 --> 01:54:34.986]  And of course, I started interrupting like I do because I get so excited.
[01:54:34.986 --> 01:54:39.811]  Restate that for us to make any other great points you'd like to impart to several million people that are going to watch this.
[01:54:41.897 --> 01:54:42.197]  Sure.
[01:54:42.197 --> 01:54:43.459]  Well, thanks for the opportunity.
[01:54:43.459 --> 01:54:50.927]  So, look, the tyranny and the violence from the police and the obvious draconian measures of the premiers are, they're obvious.
[01:54:50.927 --> 01:54:59.496]  You know, you can see them in black and white, but what they really want to do is break our soul and break our minds, break our will, because then we're very easy to control.
[01:54:59.496 --> 01:55:00.838]  You know, it's like with the vaccine.
[01:55:00.838 --> 01:55:02.539]  If you don't want to take it, but you take it to
[01:55:03.440 --> 01:55:06.821]  Go to cafes or to appease your government or to keep your job.
[01:55:06.821 --> 01:55:12.964]  You lose a little bit of your soul every single time you do something that you know is against your conviction, basically.
[01:55:12.964 --> 01:55:24.308]  So every single method, every single thing that these premiers are doing are really designed to break our soul, just like an animal or a dog or like, you know, how they train elephants in those tourist countries.
[01:55:24.828 --> 01:55:26.189]  It's all just psychological.
[01:55:26.189 --> 01:55:37.033]  So for me and what I realised in prison and what I did with, you know, utilising my courage of conviction is it actually beat them in that moment.
[01:55:37.033 --> 01:55:42.495]  They tried to silence me and instead of silencing me they actually made my voice international and bigger.
[01:55:42.495 --> 01:55:44.796]  So it actually did the exact opposite.
[01:55:44.796 --> 01:55:48.238]  So what I realised in prison, Alex, one of the biggest things I realised is that
[01:55:48.978 --> 01:55:57.342]  Collective courage of conviction is going to be the only way that the world is going to beat the agenda.
[01:55:57.342 --> 01:56:00.343]  Now obviously you've said the agenda is in full swing.
[01:56:00.343 --> 01:56:11.808]  It has been for decades and we are definitely behind the eight ball because we were all enjoying our lives and families and communities and not thinking that this would happen in our lifetime and maybe a next generation would have to deal with it.
[01:56:11.808 --> 01:56:12.328]  But here it is.
[01:56:12.728 --> 01:56:15.950]  It's not our fault that it's here, but it is our fault to do something about it.
[01:56:15.950 --> 01:56:23.916]  And the only way that we can is to have our own individual courage of conviction in our own states in life, in our own lifestyles, with our own abilities.
[01:56:23.916 --> 01:56:25.257]  Everyone can do more.
[01:56:25.257 --> 01:56:26.338]  That's what I did.
[01:56:26.338 --> 01:56:27.238]  This is what you're doing.
[01:56:27.238 --> 01:56:29.800]  This is your role in the fight, Alex.
[01:56:29.800 --> 01:56:31.941]  And everyone has their own role, whether small or big.
[01:56:31.941 --> 01:56:32.422]  So for me,
[01:56:32.902 --> 01:56:39.446]  It's if you want to get them, you know, if you want to spite them, then have courage of conviction and just say no.
[01:56:39.446 --> 01:56:40.406]  And guess what?
[01:56:40.406 --> 01:56:41.006]  You'll love it.
[01:56:41.006 --> 01:56:45.249]  You're super empowered and you'll become a better person for it and you will never look back.
[01:56:45.249 --> 01:56:48.190]  So that would be my last comment, Alex.
[01:56:48.190 --> 01:56:49.031]  And we will win.
[01:56:49.031 --> 01:56:50.452]  I believe we will win.
[01:56:50.452 --> 01:56:51.352]  Beautifully said.
[01:56:51.352 --> 01:56:52.012]  Thank you again.
[01:56:52.012 --> 01:56:54.734]  What time is it in your region of Australia right now?
[01:56:55.649 --> 01:56:58.190]  I think it's quarter past five.
[01:56:58.190 --> 01:57:00.050]  OK, so the birds are about to wake up.
[01:57:00.050 --> 01:57:00.290]  All right.
[01:57:00.290 --> 01:57:03.331]  Well, I hope to someday visit you when Australia is a free country.
[01:57:03.331 --> 01:57:04.732]  I always wanted to do it.
[01:57:04.732 --> 01:57:08.493]  I've just been so busy in the fight here knowing this was coming because it's in their own documents.
[01:57:08.493 --> 01:57:13.694]  I'm sure you've seen this, but Klaus Schwab says we've captured all the democracies, we've captured the countries.
[01:57:13.694 --> 01:57:17.035]  So he's diametrically opposed to your reignite democracy movement.
[01:57:17.035 --> 01:57:23.477]  So it should be quite easy of you to explain to people this is an outside force and everybody should duplicate what you're doing in their countries.
[01:57:23.857 --> 01:57:24.598]  Thank you so much, Alex.
[01:57:24.598 --> 01:57:25.218]  Have a great day.
[01:57:50.867 --> 01:58:05.140]  The answer to 1984 is 1776.
[01:58:05.140 --> 01:58:09.503]  Info Wars has been banned.
[01:58:09.503 --> 01:58:09.984]  Arrested.
[01:58:09.984 --> 01:58:16.209]  Attacked and threatened.
[01:58:16.209 --> 01:58:17.991]  Because we are effective.
[01:58:19.312 --> 01:58:21.313]  The Great Awakening is here.
[01:58:21.313 --> 01:58:23.595]  Go to Band.Video.
[01:58:23.595 --> 01:58:25.796]  Download the videos and share.
[01:58:25.796 --> 01:58:35.043]  Support the Information War at InfoWarStore.com.
[01:58:35.043 --> 01:58:37.204]  And never give up the fight.
[01:58:37.204 --> 01:58:48.072]  InfoWar.com
[01:58:52.383 --> 01:59:03.776]  The puppet leaders of nations across the planet are declaring their allegiance to the New World Order and Democrat politicians have been announcing it here as well.
[01:59:03.776 --> 01:59:10.804]  That means allegiance to a tyrannical world corporate government established by the Rockefellers through the UN.
[01:59:10.984 --> 01:59:23.632]  They want inside your bodies to put in you what they want, when they want, and to have the global digital tracking COVID pastas or vaccine pastas to form the backbone of their new world ID.
[01:59:23.632 --> 01:59:31.938]  And now their puppet Biden has announced the forced inoculation of 100 million Americans to keep their jobs, a total violation of the Nuremberg Code.
[01:59:32.498 --> 01:59:33.839]  This is criminal.
[01:59:33.839 --> 01:59:37.143]  And he's lying, saying it's an approved vaccine, when they did not approve it.
[01:59:37.143 --> 01:59:39.585]  They said that's in 2025, maybe.
[01:59:39.585 --> 01:59:42.007]  They just expanded the emergency authorization.
[01:59:42.007 --> 01:59:45.050]  That's why the two top scientists quit a week and a half ago.
[01:59:45.050 --> 01:59:46.271]  Well, you live to see it.
[01:59:46.271 --> 01:59:48.574]  Absolute New World Order, world government.
[01:59:48.574 --> 01:59:50.556]  If you submit, they will totally enslave you.
[01:59:54.272 --> 01:59:56.834]  You're listening to The Alex Jones Show!
