[00:00:03.086 --> 00:00:04.287]  You found it!
[00:27:14.363 --> 00:27:16.424]  You're going to say, Jesus is that.
[00:27:16.424 --> 00:27:17.144]  It's all intermixed.
[00:27:17.144 --> 00:27:21.086]  That's why the Bible has Jesus as the Morning Star and Lucifer as the Morning Star.
[00:27:21.086 --> 00:27:21.686]  It's all coded.
[00:27:23.832 --> 00:27:27.514]  And again, folks, this is what the establishment actually follows.
[00:27:27.514 --> 00:27:28.554]  You need to know all this.
[00:27:28.554 --> 00:27:31.975]  You need to understand all this.
[00:27:31.975 --> 00:27:38.478]  But this isn't the sign of the feminine and of Lucifer.
[00:27:38.478 --> 00:27:41.219]  This is the sign of the left-hand path.
[00:27:41.219 --> 00:27:42.059]  Seen that before?
[00:27:42.059 --> 00:27:43.960]  Live long and prosper.
[00:27:43.960 --> 00:27:46.201]  Most of the priests involved in it don't even know it.
[00:27:46.201 --> 00:27:48.722]  I'm giving you the big secrets while they're desperate to get me off air right now.
[00:27:51.109 --> 00:28:02.114]  And you read on, don't worry, the AI is gonna spray the atmosphere to save you, or maybe kill you, and the AI's gonna be dust that's everywhere.
[00:28:02.114 --> 00:28:09.737]  And they're gonna load the AI onto rockets and shoot them into space so the AI takes over the universe and just, it becomes God.
[00:28:09.737 --> 00:28:19.961]  So again, these people run things, they have the world government set up, they've been told, and they're all operating for centuries,
[00:28:21.158 --> 00:28:33.524]  And back before that, but taking over the scientific systems, to build a world government to orderly move humans out and then move in something new that's not human.
[00:28:33.524 --> 00:28:39.126]  And then there's the new class thing where people want to be in the country club, people want to have the Rolex, people want to have the trophy wife.
[00:28:39.126 --> 00:28:43.748]  How about you get the new cool chip that Elon Musk is already promoting to you?
[00:28:43.748 --> 00:28:46.389]  Because he's the guy that opposed it, but now he's the guy that's for it.
[00:28:46.389 --> 00:28:47.390]  You can trust him.
[00:28:47.390 --> 00:28:49.691]  But really, he was with it the whole time.
[00:28:51.112 --> 00:28:53.476]  And now he's just further capitulating.
[00:28:53.476 --> 00:28:56.881]  We'll hit a little bit more of this when we come back, but Owen Schroer's taking over.
[00:28:56.881 --> 00:28:57.302]  Stay with us.
[00:28:59.355 --> 00:29:05.118]  Finally, there's a way for you to get into the blockchain, the hottest financial sector without all the speculation.
[00:29:05.118 --> 00:29:10.220]  Now, enjoy a 27% annualized payment each month without the ups and downs of Bitcoin.
[00:29:10.220 --> 00:29:17.943]  Seen on programs broadcast on Fox Business News, blockchain data centers offer an equipment leasing program in the explosive digital asset marketplace.
[00:29:17.943 --> 00:29:25.827]  Inspired by entrepreneurs who sold picks and shovels during the gold rush, the money is in the mining equipment used to manufacture dozens of critical digital assets.
[00:29:25.987 --> 00:29:27.788]  Not a security IPO or note.
[00:29:27.788 --> 00:29:37.313]  Blockchain data centers have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment deposited into your bank account each month.
[00:29:37.313 --> 00:29:38.153]  Don't miss this one.
[00:29:38.153 --> 00:29:39.454]  Stake your claim today.
[00:29:39.454 --> 00:29:39.714]  Call 800-600-3388.
[00:29:39.714 --> 00:29:40.054]  That's 800-600-3388.
[00:29:40.054 --> 00:29:42.135]  These valuable lease contracts won't last long.
[00:29:42.135 --> 00:29:42.435]  Call now.
[00:29:42.435 --> 00:29:42.495]  800-600-3388.
[00:29:42.495 --> 00:29:42.535]  800-600-3388.
[00:29:52.680 --> 00:29:54.324]  Equipment offered poses a financial risk to owners.
[00:29:54.324 --> 00:29:56.028]  Consult with financial professionals before purchasing.
[00:29:56.028 --> 00:29:58.553]  Not an offer to buy or sell a security which requires an offering document.
[00:30:00.453 --> 00:30:11.681]  As we witness the most disastrous geological activity in recorded history, the globalists are backed into a corner, and the leftists are pushing for civil war.
[00:30:11.681 --> 00:30:15.804]  Borders are being broken and sovereignty is being challenged.
[00:30:15.804 --> 00:30:25.171]  The world is going to change, and how it changes will likely be decided by those who are prepared to stay strong when the system fails.
[00:30:25.891 --> 00:30:27.933]  The system is vulnerable.
[00:30:27.933 --> 00:30:30.596]  Electricity could be gone in an instant.
[00:30:30.596 --> 00:30:34.239]  And grocery stores could be empty in three days.
[00:30:34.239 --> 00:30:41.145]  Having storable foods and the ability to purify water will give you a fighting chance in the next level.
[00:30:41.145 --> 00:30:46.491]  And being without puts you at the mercy of others or makes you a slave to a dying system.
[00:30:47.091 --> 00:30:52.315]  Buy storable foods and an Alexa Pure Gravity Water Filter today.
[00:30:52.315 --> 00:30:55.277]  Support mankind by being prepared.
[00:30:55.277 --> 00:30:58.639]  And support freedom by buying from Infowarsstore.com.
[00:31:00.239 --> 00:31:13.412]  Thomas Jefferson predicted over 240 years ago that when our republic was in trouble in the future, it'd be the farmers that were close to the ground, close to reality, who actually worked for a living, that would end up saving the nation.
[00:31:13.412 --> 00:31:16.335]  And today, the communist Chinese have banned all U.S.
[00:31:16.335 --> 00:31:18.097]  farming goods a week ago.
[00:31:18.097 --> 00:31:21.740]  And we've seen massive increases in polls to support for the president.
[00:31:22.381 --> 00:31:26.922]  And what he's doing in this trade war wants China to put pressure on our farmers.
[00:31:26.922 --> 00:31:27.963]  That's beautiful.
[00:31:27.963 --> 00:31:29.863]  Americans aren't going to be bullied.
[00:31:29.863 --> 00:31:31.464]  And we aren't going to back down.
[00:31:31.464 --> 00:31:39.066]  So to the Joaquin Cruises and the Hillary Clintons of the world that want to intimidate people and tell us to back down, we're never going to give up.
[00:31:39.066 --> 00:31:41.386]  And all you've done is awaken the human spirit.
[00:31:41.386 --> 00:31:45.548]  And the human spirit lives at InfoWars.com and NewsWars.com.
[00:31:45.548 --> 00:31:46.488]  And I'm asking listeners,
[00:31:47.268 --> 00:31:51.399]  Whatever you do, spread those links because we are the light in the dark of the night.
[00:31:51.399 --> 00:31:52.502]  We are the resistance.
[00:31:52.502 --> 00:31:53.144]  We are 1776 Worldwide.
[00:32:00.888 --> 00:32:16.807]  It's not only that you have a unique voice in the public arena and the public square, the other thing that's unique about InfoWars is it is the only network of this reach that is not backed by a corporate donor or corporate sugar daddy, that's not backed by some billionaire, that's not being funded by a secret foreign government.
[00:32:16.807 --> 00:32:18.529]  It is completely independent of all that.
[00:32:18.529 --> 00:32:20.111]  It is an old-school American
[00:32:20.111 --> 00:32:20.811]  We're good to go.
[00:32:49.531 --> 00:32:51.613]  You're listening to the Alex Jones Show!
[00:33:23.789 --> 00:33:42.985]  I'm Alex Jones, your host, and the key to what I'm getting at here is this transhumanist movement came out of the eugenics movement, but the eugenics movement itself was just the power elite of the planet trying to study how to scientifically control populations and how to find the elixir of eternal life.
[00:33:42.985 --> 00:33:44.247]  There were famous Spaniards
[00:33:45.287 --> 00:33:58.374]  Who were given massive amounts of money by the Portuguese and by the Italian and by the Spanish governments to travel all over the Americas, not looking for gold, but looking for the fountain of youth.
[00:33:58.374 --> 00:34:03.937]  Think about it, you're a king with giant palaces full of piles of gold and diamonds and rubies.
[00:34:03.937 --> 00:34:05.517]  But you're dying.
[00:34:05.517 --> 00:34:05.978]  You're old.
[00:34:06.889 --> 00:34:08.670]  You want to live forever.
[00:34:08.670 --> 00:34:11.732]  And so they would fantasize about building pyramids to live forever.
[00:34:11.732 --> 00:34:19.596]  They would fantasize about founding the Fountain of Youth in Florida and cities of gold in Arizona and New Mexico.
[00:34:19.596 --> 00:34:21.177]  It wasn't there.
[00:34:21.177 --> 00:34:24.259]  But it was the fantasy.
[00:34:24.259 --> 00:34:29.482]  And so via the fantasy, those explorers were able to explore by telling the king,
[00:34:30.543 --> 00:34:33.725]  They were really going to find the fountain of youth.
[00:34:33.725 --> 00:34:40.310]  Just like the priest class was able to manipulate the pharaoh to really make them the real rulers.
[00:34:40.310 --> 00:34:42.051]  The priest class didn't intermarry.
[00:34:42.051 --> 00:34:43.592]  The priest class wasn't deformed.
[00:34:43.592 --> 00:34:45.494]  The priest class wasn't mentally retarded.
[00:34:45.494 --> 00:34:46.634]  The pharaohs were.
[00:34:46.634 --> 00:34:48.896]  The priest class was the real power.
[00:34:48.896 --> 00:34:53.119]  Building these giant temples and systems with a secret aim.
[00:34:53.119 --> 00:34:54.940]  With a secret master.
[00:34:54.940 --> 00:34:57.802]  But with a fake power out front.
[00:34:57.802 --> 00:34:58.123]  And so
[00:34:59.509 --> 00:35:01.029]  We see history repeating itself.
[00:35:01.029 --> 00:35:04.790]  So you read this article, and this is suddenly on Discovery Channel, History Channel, it's everywhere.
[00:35:04.790 --> 00:35:05.871]  The world without humans.
[00:35:05.871 --> 00:35:08.031]  The post-human world.
[00:35:08.031 --> 00:35:09.071]  How it's going to be so great.
[00:35:09.071 --> 00:35:22.515]  And then everything we're given, technology-wise, breaks up our families, lowers our IQs, gives us cancer, cheats us financially, tracks everything we're doing and everything we're up to.
[00:35:22.515 --> 00:35:25.555]  But it's all a religion.
[00:35:25.555 --> 00:35:27.256]  It's all a global system.
[00:35:27.256 --> 00:35:27.776]  And whether it's
[00:35:28.854 --> 00:35:39.001]  Christianity has been infiltrated and taken over, or modern Judaism has been taken over, or Islam, or the systems in Asia and China and communism.
[00:35:39.001 --> 00:35:44.465]  None of the ancient teachings are taught anymore, but new twisted systems on top of them are.
[00:35:44.465 --> 00:35:48.628]  You don't see the churches warning of the Mark of the Beast, or implantable microchips.
[00:35:48.628 --> 00:35:50.169]  You don't hear people warning about that, no.
[00:35:51.940 --> 00:35:53.561]  Because they want to keep their 501c3.
[00:35:53.561 --> 00:35:56.583]  And Elon Musk just two years ago said, beware the AI gods.
[00:35:56.583 --> 00:35:58.024]  I've been in meetings with the billionaires.
[00:35:58.024 --> 00:36:00.625]  There's a plan for world government to exterminate you.
[00:36:00.625 --> 00:36:02.807]  Suddenly, fires and explosions at his factories.
[00:36:02.807 --> 00:36:03.867]  His stocks are down.
[00:36:03.867 --> 00:36:07.850]  Soros makes a run at his company, almost brings it down, and then buys it up.
[00:36:07.850 --> 00:36:19.577]  And then Elon Musk walks out onto the stage just a few weeks ago and says, next year, we're going to start taking orders.
[00:36:21.578 --> 00:36:26.002]  For people that want to get wires plugged into their brains so they can become cyborgs.
[00:36:26.002 --> 00:36:32.228]  But he said, don't worry, it won't take you over right away.
[00:36:32.228 --> 00:36:38.634]  So 2020 is only four or five months away and they're launching with it to totally normalize it.
[00:36:38.634 --> 00:36:39.274]  And in the future,
[00:36:40.461 --> 00:36:43.805]  If you want to have a cell phone or you want to be able to have a job, you're going to have to have it.
[00:36:43.805 --> 00:36:51.675]  They already have professions all over the world, from Sweden to Mexico, with capital populations, where to work at certain jobs, they make you have an implantable chip.
