[00:00:09.608 --> 00:00:13.493]  He's pounding down, loaded up and trucking.
[00:32:21.699 --> 00:32:28.941]  And let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[00:32:29.281 --> 00:32:29.501]  Woo!
[00:32:29.501 --> 00:32:30.541]  That's what I'm talking about.
[00:32:30.541 --> 00:32:39.283]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[00:32:39.283 --> 00:32:48.884]  Harvest Right freeze dryers retain 97% of the food's taste, color, and nutritional value, and have a shelf life of up to 25 years.
[00:32:48.884 --> 00:32:52.325]  Now that's what I call the miracle of food preservation.
[00:32:52.325 --> 00:32:56.426]  Harvest Right is truly the world's best, most affordable freeze dryer.
[00:32:56.426 --> 00:32:57.266]  So what are you waiting for?
[00:32:57.506 --> 00:32:59.548]  Check it out right now at InfoWarsStore.com!
[00:33:22.199 --> 00:33:29.923]  This is the return of the Republic, and this is The War Room with Roger Stone.
[00:33:29.923 --> 00:33:35.665]  Watch the live stream right now at InfoWars.com forward slash show.
[00:33:54.622 --> 00:34:07.089]  All right, you're back in the war room with your correspondents, Roger Stone and in the Austin Power Center, Owen Schroyer.
[00:34:07.089 --> 00:34:12.452]  I'm glad you raised the issue of Huma Abedin and her emails.
[00:34:12.452 --> 00:34:16.694]  Let me try to break down for our audience what has really transpired here.
[00:34:17.632 --> 00:34:45.730]  The emails that were released by the State Department, which were emails that Huma Abedin forwarded to a server that was under the control of both she and her husband, the currently incarcerated Congressman Anthony Weiner, were but a small portion of the entire trove of emails.
[00:34:46.670 --> 00:35:00.702]  Interestingly enough, what the State Department released was evidence that Huma regularly forwarded classified documents illegally to a server she shared with her husband.
[00:35:01.357 --> 00:35:19.784]  In other words, this data dump was tailored as the evidence for the conviction of a crime, a specific crime, the misuse of classified documents, what Hillary should be charged with.
[00:35:19.784 --> 00:35:22.405]  Now, why would the State Department do this?
[00:35:23.585 --> 00:35:48.049]  To be seen in the larger light of the executive order put out last week giving the president broad powers to go after those who've been involved in public corruption or pedophilia or corporate theft or any other crime against the country, this is a chilling indictment that the perp walk is coming for Huma.
[00:35:48.049 --> 00:35:51.390]  Now, how do I know that this is just a portion
[00:35:52.111 --> 00:36:18.738]  We reported here at InfoWars during the final days of the election that the trove of emails in question was discovered not by the FBI but by the New York Police Department and that the police department had forwarded these emails discovered in their conduct of a
[00:36:20.474 --> 00:36:40.750]  Underage texting scandal involving Weiner, who would ultimately, of course, be charged, convicted, and sent to prison, and that the documents were supplied by NYPD to the FBI.
[00:36:40.750 --> 00:36:45.013]  My sources tell me that there's far, far more here than the
[00:36:48.565 --> 00:37:05.518]  Classified State Department documents, there's money laundering, there's corruption, there's pedophilia, there's child exploitation, there's a great deal of material regarding Haiti and the theft of the Haitian earthquake funds.
[00:37:05.518 --> 00:37:12.663]  One detective told me point blank, this is Houma's blackmail file.
[00:37:12.663 --> 00:37:13.784]  And I said, you mean,
[00:37:14.927 --> 00:37:17.909]  She might blackmail Hillary and Bill.
[00:37:17.909 --> 00:37:19.190]  He said no.
[00:37:19.190 --> 00:37:24.893]  But if they ever choose to try to dump her, this is how she will stay on the payroll.
[00:37:24.893 --> 00:37:28.055]  She will stay in the first circle.
[00:37:28.055 --> 00:37:29.215]  Extraordinary, Owen.
[00:37:29.215 --> 00:37:30.096]  Really extraordinary.
[00:37:31.544 --> 00:37:48.112]  Well, and last night, you had this report coming from John Solomon at The Hill, who's been doing great work, especially when it comes to the Uranium One scandal and the, well, what was really a lack of a fair investigation into Hillary Clinton's emails.
[00:37:48.112 --> 00:37:51.514]  John Solomon writes this for The Hill last night, it gets published.
[00:37:51.514 --> 00:37:57.777]  Congressional investigators find irregularities in FBI's handling of Clinton email case.
[00:37:58.317 --> 00:38:24.924]  Now of course yesterday morning President Trump sends the tweet out as you're referring to Huma Abedin with what was found in her emails and the classified information that also made its way to pervert Wiener's servers as well and how in other similar instances the perpetrator has been put in jail that in this case would be Huma Abedin and then today
[00:38:26.445 --> 00:38:32.687]  You have a fire at Bill and Hillary's Chappaqua, New York compound.
[00:38:32.687 --> 00:38:36.188]  So, I mean, are we reaching here?
[00:38:36.188 --> 00:38:41.029]  Or is there a connection between all of these events, Roger?
[00:38:41.029 --> 00:38:48.691]  Well, there's an intermediate step that's very important here, and you can read about it in Hillary's fictional book, What Happened.
[00:38:49.568 --> 00:38:50.228]  What happened?
[00:38:50.228 --> 00:38:51.509]  Let me tell you what happened.
[00:38:51.509 --> 00:39:05.996]  People figured out that you were a mean-spirited, vile, privileged, nasty, short-tempered, foul-mouthed, and epically greedy autocrat.
[00:39:05.996 --> 00:39:12.779]  And they saw through your lifetime of crime and corruption, and they turned to a true American patriot.
[00:39:12.779 --> 00:39:16.301]  But she tells us in her book
[00:39:17.067 --> 00:39:20.955]  Uh, you know, all about what has transpired.
[00:39:20.955 --> 00:39:28.290]  Remember, whatever is in the NYPD Discover emails is so shocking to Mr. Comey.
[00:39:29.068 --> 00:39:36.875]  That he announces on the Friday before the election that he's reopening the investigation into her email case.
[00:39:36.875 --> 00:39:46.483]  Then he wants us to believe by Sunday evening that a bureau that took three years to read 330,000 documents read 750,000 documents in two days using presumably very broad keyword search engines.
[00:39:56.992 --> 00:39:59.773]  Bogus in my view.
[00:39:59.773 --> 00:40:13.915]  The people I saw and spoke with at NYPD as Infowars sources had seen the actual emails and they described them as lewd, nasty, stunning, brazen, and so on.
[00:40:13.915 --> 00:40:17.776]  So we know that they had to cover this up.
[00:40:17.776 --> 00:40:21.896]  Then Comey has us believe that there's nothing there of value.
[00:40:21.896 --> 00:40:24.777]  Now they release a small number
[00:40:26.016 --> 00:40:30.699]  If this is what Comey saw, he would not have reopened the investigation.
[00:40:30.699 --> 00:40:42.425]  This is a treasure trove that would pave the way to prison for both Clintons if they have not already done so, Owen.
[00:40:42.425 --> 00:40:47.928]  And just to put things in perspective here for the, let's just say, the Trump detractors,
[00:40:49.562 --> 00:41:07.647]  If Donald Trump refused to turn over information in the Russian investigation probe, as the DNC did, the DNC and CrowdStrike are yet to turn over their servers so that they can show who indeed hacked them, whether or not it was the Russians.
[00:41:07.647 --> 00:41:15.989]  And then two, if you look at all of the emails and the deleting of the emails and everything that took place within the Clinton campaign,
[00:41:16.929 --> 00:41:22.273]  That for sure would be considered obstruction of justice if it was Donald Trump doing it.
[00:41:22.273 --> 00:41:24.695]  However, he's not the one that did it.
[00:41:24.695 --> 00:41:26.977]  He's not the one that deleted the emails.
[00:41:26.977 --> 00:41:31.300]  He's not the one that's not cooperating with any investigation and making false claims.
[00:41:31.300 --> 00:41:33.922]  Yet he is still the target of this investigation.
[00:41:34.602 --> 00:41:36.825]  Which is why when you say, what about the fire?
[00:41:36.825 --> 00:41:39.007]  One has to say, absolutely.
[00:41:39.007 --> 00:41:45.494]  If there were a fire in a Trump golf course, they'd say he was discovering evidence, destroying evidence of Russian collusion.
[00:41:45.494 --> 00:41:48.518]  The Clintons would steal a hot stove.
[00:41:48.518 --> 00:41:50.520]  How do we know that they would destroy evidence?
[00:41:50.520 --> 00:41:54.945]  They have already done so in a crime spree that goes back almost
[00:41:55.866 --> 00:41:57.166]  40 years.
[00:41:57.166 --> 00:42:05.392]  So, yes, a fire in their home in posh Tony Chappaqua has to be viewed very suspiciously.
[00:42:05.392 --> 00:42:11.237]  Now, is it possible that Bill was in a bedroom smoking pot with one of the maids?
[00:42:11.237 --> 00:42:12.537]  Entirely possible.
[00:42:12.537 --> 00:42:14.259]  It could have been a cigar, alright?
[00:42:14.259 --> 00:42:16.961]  It could have been a cigar.
[00:42:16.961 --> 00:42:20.043]  But as he told a famous reporter, cocaine?
[00:42:20.043 --> 00:42:21.464]  What does that look like?
[00:42:22.037 --> 00:42:31.740]  Which is funny, because Roger Clinton quoted in my book that Clinton's war with women saying that his brother snorted cocaine like a vacuum cleaner.
[00:42:31.740 --> 00:42:33.841]  I've never heard of cocaine.
[00:42:33.841 --> 00:42:37.822]  It's not like people that do a bunch of cocaine's voice ends up sounding like this.
[00:42:37.822 --> 00:42:41.103]  It never happens ever, so I don't know what you're talking about.
[00:42:41.103 --> 00:42:43.584]  That was just a small fire we had today.
[00:42:43.584 --> 00:42:45.925]  It was an oven we were trying to steal from the White House.
[00:42:45.925 --> 00:42:47.025]  It was still on.
[00:42:47.025 --> 00:42:48.366]  We didn't know it was on though, Roger.
[00:42:49.440 --> 00:42:53.968]  Well, I would say this, you're no Randy Credico, but not bad.
[00:42:53.968 --> 00:42:56.954]  The great Owen Schreier, ladies and gentlemen.
[00:42:56.954 --> 00:42:57.535]  I'll take it.
[00:42:57.535 --> 00:42:58.136]  Thank you, Roger.
[00:42:59.304 --> 00:43:02.705]  Introducing CellForce by InfoWars Life.
[00:43:02.705 --> 00:43:06.686]  CellForce focuses on mitochondria efficiency and protection.
[00:43:06.686 --> 00:43:10.026]  Mitochondria produce over 95% of your energy.
[00:43:10.026 --> 00:43:12.547]  They are your body's cellular engines.
[00:43:12.547 --> 00:43:17.288]  CellForce helps promote your cellular energy production by supporting mitochondria.
[00:43:17.288 --> 00:43:19.628]  Much like a cellular engine overhaul.
[00:43:19.628 --> 00:43:26.010]  Because when your mitochondria don't run at 100% efficiency, then they start producing reactive oxygen species.
[00:43:26.650 --> 00:43:34.839]  Top scientists agree that aging is most likely caused by cellular damage, resulting from these reactive oxygen species.
[00:43:34.839 --> 00:43:39.904]  The antioxidants found in cell force are some of the most powerful available on the market.
[00:43:39.904 --> 00:43:46.891]  The stronger the antioxidant, the better its ability to scavenge for these reactive oxygen species and other free radicals.
[00:43:47.532 --> 00:43:52.435]  Boost, protect, and adapt with Cell Force from InfoWarsLife.
[00:43:52.435 --> 00:43:55.357]  Head to InfoWarsLife.com or call 1-888-253-3139.
[00:44:00.017 --> 00:44:02.618]  Matt in Ohio, you're on the air, another Matt, go ahead.
