[00:00.000 --> 00:11.600]  It's the most wonderful time of the year.
[37:03.600 --> 37:18.600]  So they're violating civil rights, brandishing a literal mass group of thugs with a weapon with weapons and actually assaulting him with the clubs, hitting him in the elbows, running into him, coming up behind the camera.
[37:18.600 --> 37:21.600]  That's what they do, bumping into him on camera.
[37:21.600 --> 37:33.600]  Just straight up assault with slimy, scuzzy, smiling weirdos, the few that didn't have masks on, looking like, you know what, from central casting.
[37:33.600 --> 37:35.600]  The guy's got his finger right there by the trigger.
[37:35.600 --> 37:40.600]  He's in an aggressive stance, brandishing, ticking his finger by the trigger.
[37:40.600 --> 37:43.600]  And they tell Owen, you're scared, aren't you?
[37:43.600 --> 37:44.600]  You're shaking.
[37:44.600 --> 37:45.600]  We got guns.
[37:45.600 --> 37:46.600]  We got clubs.
[37:46.600 --> 37:49.600]  I mean, that's the definition of menacing.
[37:49.600 --> 37:55.600]  So the fact that they're menacing with a firearm while wearing masks makes it an aggravated felony.
[37:55.600 --> 38:03.600]  And vice versa, the assaulting him and blocking his entry to a public park for a rally is a civil rights violation.
[38:03.600 --> 38:10.600]  And then doing it with guns and masks is a double aggravated, double aggravated.
[38:10.600 --> 38:11.600]  Let me tell you something.
[38:11.600 --> 38:16.600]  You go in a store, you steal a case of beer, just run out the door.
[38:16.600 --> 38:18.600]  You might get six months in jail.
[38:18.600 --> 38:21.600]  You go in there with a gun, you might get 20.
[38:21.600 --> 38:24.600]  You shoot somebody, you might get life.
[38:24.600 --> 38:27.600]  It's called aggravated.
[38:27.600 --> 38:36.600]  You're wearing masks with guns, threatening people, aggravated civil rights violations, racketeering.
[38:36.600 --> 38:43.600]  They arrest people for blocking abortion clinic entrances and charging with felonies.
[38:43.600 --> 38:49.600]  Now, Clare of the Law says, you know, blocking somebody's entrance to services, commerce, whatever, that's the law.
[38:49.600 --> 38:55.600]  Well, these people have guns hitting him with clubs, surrounding him.
[38:55.600 --> 38:56.600]  And let me tell you something.
[38:56.600 --> 39:04.600]  I got so angry about this Saturday that I had trouble sleeping Saturday night.
[39:04.600 --> 39:09.600]  And I cannot get around these handy for people.
[39:09.600 --> 39:10.600]  I absolutely can't.
[39:10.600 --> 39:11.600]  It was bizarre.
[39:11.600 --> 39:15.600]  I was almost like I was like psychically led down there because I didn't know this was going on.
[39:15.600 --> 39:16.600]  Owen didn't call me.
[39:16.600 --> 39:19.600]  And I just called up Harrison, one of the camera guys that works on the weekend.
[39:19.600 --> 39:20.600]  He's on call.
[39:20.600 --> 39:26.600]  And I said, I want to go shoot somebody else from the Capitol on all this fake news that the media has been caught in.
[39:26.600 --> 39:27.600]  And he said, okay.
[39:27.600 --> 39:28.600]  And I was about 15 minutes late.
[39:28.600 --> 39:36.600]  They had just marched by through the Capitol and had just broken up and then chased the families, men, women and children that were going back to their cars.
[39:36.600 --> 39:37.600]  It was at a park by the Capitol.
[39:37.600 --> 39:43.600]  They, the police had to protect them because the Antifa chases them down like planted of the apes or something.
[39:43.600 --> 39:50.600]  You know, when they're chasing the people, they're chasing them and going to their cars.
[39:50.600 --> 39:54.600]  Millie, when they were in Berkeley, they had their car windows knocked out.
[39:54.600 --> 39:57.600]  They got robbed because they followed them to their car and followed where they went.
[39:57.600 --> 39:59.600]  And then attacked the vehicle.
[39:59.600 --> 40:11.600]  I mean, this is literally criminal games of arrested development beta cocks who have been larping, playing video games, but also live action play.
[40:11.600 --> 40:21.600]  And they are out there literally glow in the dark scum of the earth with communist flags, communist bandanas.
[40:21.600 --> 40:28.600]  Following Owen for a good 20 minutes of the hour and seven minute live feed he did till his phone cut out.
[40:28.600 --> 40:30.600]  And they are going, you're scared, aren't you?
[40:30.600 --> 40:31.600]  You're scared.
[40:31.600 --> 40:33.600]  Let me tell you, somebody's bumping me with sticks.
[40:33.600 --> 40:35.600]  And by the way, Owen's a tough guy.
[40:35.600 --> 40:36.600]  He's a real sports guy.
[40:36.600 --> 40:37.600]  And I tried to punch this with him.
[40:37.600 --> 40:38.600]  He hits really hard.
[40:38.600 --> 40:39.600]  Owen's a tough guy.
[40:39.600 --> 40:41.600]  So I'm saying it's good that he controlled himself.
[40:41.600 --> 40:43.600]  I can't get in the situation.
[40:43.600 --> 40:44.600]  One of those guys hits me one of those sticks.
[40:44.600 --> 40:46.600]  I'm going to clock him right in her little nose.
[40:46.600 --> 40:55.600]  And then I guess that you're going to try to pull their guns on us then, I mean, and by the way, they look like 120 pound methods.
[40:55.600 --> 40:58.600]  A few of them and I'm not saying they're on meth.
[40:58.600 --> 41:00.600]  I'm saying they look like Gollum.
[41:00.600 --> 41:10.600]  One of these guys, in fact, one of them that had his mask off, who was like the leader of the group, he wouldn't need makeup to play Gollum in the new Lord of the Rings.
[41:10.600 --> 41:12.600]  That's coming out to Netflix.
[41:12.600 --> 41:16.600]  I'm not Netflix. Amazon's going to put out. Yeah, let's show a side shot of this guy.
[41:16.600 --> 41:23.600]  I mean, imagine these people are out here with clubs and guns and they're trying to keep it from getting to your event.
[41:23.600 --> 41:27.600]  By the way, let me just add something to this.
[41:27.600 --> 41:30.600]  The left is going, oh Alex, I thought you like guns.
[41:30.600 --> 41:37.600]  Yeah, we have open carry rallies with them on our backs unloaded to illustrate we have a right to keep their arms, not to have a problem.
[41:37.600 --> 41:39.600]  We never have problems.
[41:39.600 --> 41:43.600]  They're not slung over our front with our hand on it under Texas law.
[41:43.600 --> 41:45.600]  That's brandishing if someone feels threatened.
[41:45.600 --> 41:49.600]  Well, Owen Schreuer felt extremely threatened.
[41:49.600 --> 41:54.600]  And I love the fact that Owen, when they said you're shaking, he said, yeah, man, you're surrounding me.
[41:54.600 --> 41:57.600]  You're hitting me with clubs and you got guns.
[41:57.600 --> 41:58.600]  And Owen's a manly guy.
[41:58.600 --> 42:00.600]  So he don't want to make a big deal about it on tape.
[42:00.600 --> 42:08.600]  When I look at you guys acting like kindergarten, Owen said, and I've had him do it to me before at other events before they even knew the name was Antifa.
[42:08.600 --> 42:14.600]  They come up behind you and hit you with their elbows or they shove you or they bump into you and they go, whoa, whoa, whoa.
[42:14.600 --> 42:17.600]  Try to act like you're going to attack them so they can all gang up on you.
[42:17.600 --> 42:20.600]  And they always pick an old man in a wheelchair or a woman.
[42:20.600 --> 42:23.600]  They beat up a Hispanic lady real bad.
[42:23.600 --> 42:29.600]  I mean, they particularly target minorities who are in these tea party events.
[42:29.600 --> 42:32.600]  And when we come up, Owen's going to be here.
[42:32.600 --> 42:38.600]  And you know, the terror attack injured the bomber injured three other people.
[42:38.600 --> 42:42.600]  Looks like the detonator went off, but didn't detonate the larger explosive.
[42:42.600 --> 42:52.600]  And of course, it's an Islamist and Google, Facebook and Twitter are now joining trying to block that saying it's fake news that has nothing to do with Islam because they said so.
[42:52.600 --> 42:54.600]  And they're the ones running the invasion.
[42:54.600 --> 42:58.600]  So they ought to know we'll be back.
[42:58.600 --> 43:09.600]  I'm so excited. The new product at infowarslife.com in a glass bottle, two months servings filled to the brim filled to the absolute top, the real red bill.
[43:09.600 --> 43:14.600]  This is a heart and brain pill, a new tropic, but doesn't have any stimulants in it.
[43:14.600 --> 43:17.600]  But boy, does it stimulate because it's beyond that.
[43:17.600 --> 43:25.600]  Quite frankly, I just went off what I saw medical doctors prescribing their patients, but it wasn't prescription.
[43:25.600 --> 43:29.600]  But they were charging people a hundred, two hundred dollars for the formulae.
[43:29.600 --> 43:38.600]  And I came up with our own formula working with scientists and developers non GMO made right here in America, 120 capsules.
[43:38.600 --> 43:47.600]  And ladies and gentlemen, you add the preglonone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
