[00:00:09.732 --> 00:00:13.093]  It's Sunday, October 30th, 2022.
[01:42:46.284 --> 01:42:49.567]  Robots scanning you, ordering you where to go.
[01:42:49.567 --> 01:42:50.728]  This is their takeover.
[01:42:50.728 --> 01:42:55.373]  And I told you decades ago, from their own battle plans, that's why they want us off air.
[01:42:55.373 --> 01:42:56.614]  They're getting ready to kill everybody.
[01:42:58.786 --> 01:43:04.830]  I am extremely honored to be seen by the globalists as their number one enemy.
[01:43:04.830 --> 01:43:07.933]  I am blessed to know that our information is so hardcore.
[01:43:09.036 --> 01:43:13.957]  The enemies of humanity are obsessed with silencing us.
[01:43:13.957 --> 01:43:17.478]  They know the truth about their globalist operations is exposed.
[01:43:17.478 --> 01:43:18.318]  It's game over.
[01:43:18.318 --> 01:43:24.020]  And all over the planet, humanity is awakening and peacefully fighting back.
[01:43:24.020 --> 01:43:28.621]  And our main tool is free speech and the truth we promote using free speech.
[01:43:28.621 --> 01:43:34.763]  That's why when you share articles and videos from Man.Video or Infowars.com or Newswars.com, it changes the world.
[01:43:35.263 --> 01:43:47.228]  And that's why when you go to InfoWarsTore.com and get amazing products that empower you and your body and your immune system and that of your family, you're also empowering the tip of the spear in the fight against the globalists.
[01:43:47.228 --> 01:43:53.351]  The fight starts at InfoWars.com and the support of the fight starts at InfoWarsTore.com.
[01:43:53.351 --> 01:43:55.152]  God bless and thank you all for your support.
[01:44:00.530 --> 01:44:04.992]  I have been in a 28-year marathon battle with the globalists.
[01:44:04.992 --> 01:44:11.396]  I have come from nowhere, to the very heights of politics, not just in America, but in the world.
[01:44:11.396 --> 01:44:16.539]  We are engaging the globalists at point-blank range in the information war.
[01:44:16.539 --> 01:44:18.239]  But I don't deserve the credit.
[01:44:18.239 --> 01:44:19.520]  Yes, I've persevered.
[01:44:19.520 --> 01:44:24.663]  But the listeners and viewers who support InfoWars are the real reason we have this success.
[01:44:25.383 --> 01:44:30.805]  We're having now the greatest victories in the fight against the New World Order we've ever had.
[01:44:30.805 --> 01:44:35.126]  We are now entering the final mile of the marathon.
[01:44:35.126 --> 01:44:44.349]  And that's why today it's more important than ever to realize how important you've been in this fight and to continue in the efforts you've been carrying out and to intensify them.
[01:44:44.349 --> 01:44:45.709]  God bless you all.
[01:44:45.709 --> 01:44:46.750]  I salute you.
[01:44:46.750 --> 01:44:47.850]  I thank you.
[01:44:47.850 --> 01:44:53.192]  And I beg you to intensify what you're doing now because we are over the target and history is happening.
[01:44:53.892 --> 01:44:55.196]  The fight is my fight.
[01:44:55.196 --> 01:44:55.817]  It's your fight.
[01:44:55.817 --> 01:44:56.579]  It's our fight.
[01:44:56.579 --> 01:44:57.381]  God bless you all.
[01:45:01.426 --> 01:45:03.247]  X3.
[01:45:03.247 --> 01:45:12.054]  It stands for tri-iodine, or all three types of iodine that the body needs to be healthy and survive and thrive.
[01:45:12.054 --> 01:45:16.457]  It boosts your libido, your energy, your stamina, your immune system.
[01:45:16.457 --> 01:45:19.840]  X3 is the ultimate iodine product on the market.
[01:45:19.840 --> 01:45:25.744]  It's back in stock at Infowarshore.com for 50% off, and it funds the InfoWarp.
[01:45:26.710 --> 01:45:28.792]  So many of you are on the fence.
[01:45:28.792 --> 01:45:30.212]  You know our information is powerful.
[01:45:30.212 --> 01:45:31.493]  You know it's changed the world.
[01:45:31.493 --> 01:45:40.259]  Try the products at InfoWarsTore.com and start with X3 Tri-Iodine.
[01:45:40.259 --> 01:45:42.541]  50% off InfoWarsTore.com.
[01:45:42.541 --> 01:45:44.562]  It takes about two weeks to kick in.
[01:45:44.562 --> 01:45:48.144]  An aspirin kicks in in 30 minutes, Tylenol kicks in in 30 minutes.
[01:45:48.144 --> 01:45:50.846]  This kicks in in about two weeks on average.
[01:45:50.846 --> 01:45:52.647]  You need to experience it.
[01:45:52.647 --> 01:45:53.128]  Don't wait.
[01:45:53.936 --> 01:45:55.080]  You'll be impressed.
[01:45:55.080 --> 01:45:56.747]  InfoWareStore.com X3.
[01:45:56.747 --> 01:45:56.767]  X3.
[01:46:01.321 --> 01:46:03.142]  X3.
[01:46:03.142 --> 01:46:11.924]  It stands for tri-iodine, or all three types of iodine that the body needs to be healthy and survive and thrive.
[01:46:11.924 --> 01:46:16.325]  It boosts your libido, your energy, your stamina, your immune system.
[01:46:16.325 --> 01:46:19.706]  X3 is the ultimate iodine product on the market.
[01:46:19.706 --> 01:46:25.568]  It's back in stock at InfoWarshaw.com for 50% off, and it funds the InfoWar.
[01:46:26.594 --> 01:46:28.676]  So many of you are on the fence.
[01:46:28.676 --> 01:46:30.097]  You know our information is powerful.
[01:46:30.097 --> 01:46:31.378]  You know it's changed the world.
[01:46:31.378 --> 01:46:40.145]  Try the products at InfoWarsTore.com and start with X3 Tri-Iodine.
[01:46:40.145 --> 01:46:40.785]  50% off.
[01:46:40.785 --> 01:46:42.426]  InfoWarsTore.com.
[01:46:42.426 --> 01:46:44.468]  It takes about two weeks to kick in.
[01:46:44.468 --> 01:46:46.429]  An aspirin kicks in in 30 minutes.
[01:46:46.429 --> 01:46:48.031]  Tylenol kicks in in 30 minutes.
[01:46:48.031 --> 01:46:50.733]  This kicks in in about two weeks on average.
[01:46:50.733 --> 01:46:52.514]  You need to experience it.
[01:46:52.514 --> 01:46:53.014]  Don't wait.
[01:46:53.837 --> 01:46:54.958]  You'll be impressed.
[01:46:54.958 --> 01:47:00.241]  Infowarstore.com X3.
[01:47:00.241 --> 01:47:06.144]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:47:47.537 --> 01:48:05.068]  Are we really gonna let evil do this to us and our children?
[01:48:05.068 --> 01:48:09.991]  Are we really gonna roll over to this?
[01:48:09.991 --> 01:48:10.472]  Not me!
[01:48:12.279 --> 01:48:14.720]  I know victory's in our hands.
[01:48:14.720 --> 01:48:18.122]  You have to ignite the connection to God.
[01:48:18.122 --> 01:48:29.468]  You have to choose liberty and ask God to come into you and raise you up as a standard of God when the enemy attacks.
[01:48:29.468 --> 01:48:39.273]  When the enemy comes in like a flood, the Spirit of the Lord will lift up a standard against it.
[01:48:41.647 --> 01:48:53.518]  All right, if you're a radio listener, I kind of envy you because you don't have to watch this as viewers at Infowars.com are, but I could play 50 hours of this.
[01:48:53.518 --> 01:49:04.808]  I mean, cities locked down for months, wailing at night with robots flying around, ordering people to stay in their houses with guns trained on them.
[01:49:04.808 --> 01:49:06.110]  This isn't the Matrix.
[01:49:06.110 --> 01:49:07.371]  This isn't some Hollywood movie.
[01:49:09.824 --> 01:49:18.506]  This is happening and everything being beta tested in China is what is already coming here.
[01:49:19.943 --> 01:49:22.745]  So let's start going back through just some of the clips today.
[01:49:22.745 --> 01:49:27.609]  Just the clips I saw today of combat drones with attack dogs.
[01:49:27.609 --> 01:49:32.432]  They drop with machine guns and barking orders and at checkpoints.
[01:49:32.432 --> 01:49:35.194]  And if your QR code says pull over, they take you away.
[01:49:35.194 --> 01:49:35.895]  And where'd you go?
[01:49:35.895 --> 01:49:36.916]  Oh, he had COVID.
[01:49:36.916 --> 01:49:37.896]  He's never seen again.
[01:49:37.896 --> 01:49:42.039]  It's just a cover for everybody being rounded up as they pose as the savior.
[01:49:42.039 --> 01:49:45.402]  And then they're building these camps all over the Western world.
[01:49:45.402 --> 01:49:48.864]  And now the left's saying, arrest people that are politically incorrect.
[01:49:49.830 --> 01:49:51.651]  The ADL's up there smiling.
[01:49:51.651 --> 01:49:56.255]  I mean, bone-chilling wickedness.
[01:49:56.255 --> 01:49:57.856]  Now you know this isn't fair mongering.
[01:49:57.856 --> 01:50:00.758]  Now you know this is real, folks.
[01:50:00.758 --> 01:50:04.120]  And I bet on you, and I believe in you, and we're gonna beat this together.
[01:50:04.120 --> 01:50:07.423]  Alright, let's start rolling the clips.
[01:50:07.423 --> 01:50:10.785]  Start over.
[01:50:10.785 --> 01:50:12.866]  This is at a train station.
[01:50:12.866 --> 01:50:13.527]  Oh, sorry!
[01:50:13.527 --> 01:50:14.728]  You're not allowed to travel.
[01:50:16.667 --> 01:50:18.048]  By the way, back that up.
[01:50:18.048 --> 01:50:20.930]  Notice you can get a 5 score, but they're only a 4.8.
[01:50:20.930 --> 01:50:21.490]  They're bad.
[01:50:21.490 --> 01:50:23.591]  So, this isn't the Black Mirror episode.
[01:50:23.591 --> 01:50:24.012]  This is real.
[01:50:39.406 --> 01:50:49.968]  So you're at 50 feet in the air or 40 feet in the air is a drone with a big banner with a QR code saying scan and then if it doesn't let you through you pull over to the side you're taken away.
[01:50:49.968 --> 01:50:53.129]  Robot dogs giving you orders.
[01:51:15.419 --> 01:51:35.086]  There's a combat drone delivering a robot dog with a machine gun with a barrel of ammo 100 rounds and we have footage so bone-chilling of cities at night big black towers high-rises people screaming and yelling and wailing for help
[01:51:45.100 --> 01:51:48.643]  And here it is dropping the combat robot.
[01:51:48.643 --> 01:51:50.625]  The delivery robot drops its carrier.
[01:51:50.625 --> 01:51:52.586]  This is not Terminator.
[01:51:52.586 --> 01:51:54.268]  This is real.
[01:51:54.268 --> 01:52:01.254]  Combat robot activates with its barrel of ammunition and its weapon system.
[01:52:01.254 --> 01:52:03.856]  Preparing to terminate humans.
[01:52:03.856 --> 01:52:11.683]  Launch operation.
[01:52:11.683 --> 01:52:13.004]  And that's what 5G's all about.
[01:52:13.976 --> 01:52:15.257]  Well, let's roll that footage.
[01:52:15.257 --> 01:52:20.902]  There's hundreds of these videos of cities wailing and crying at night, people jumping out of buildings.
[01:52:20.902 --> 01:52:25.305]  They've got suicide nets in the buildings and robots flying around laughing at everyone.
[01:52:25.305 --> 01:52:27.067]  And this is where we're going.
[01:52:27.067 --> 01:52:37.115]  Go ahead and roll it.
[01:52:37.115 --> 01:52:38.656]  All right, no big deal.
[01:52:38.656 --> 01:52:40.338]  Can we turn the audio up, Gus?
[01:52:43.944 --> 01:52:46.685]  This is just one of the videos.
[01:53:05.974 --> 01:53:07.635]  And some of them are jumping out of the buildings.
[01:53:07.635 --> 01:53:09.856]  It's just, it's just, it's beyond dystopic.
[01:53:09.856 --> 01:53:12.837]  This isn't a Netflix dystopic movie.
[01:53:12.837 --> 01:53:14.518]  This is happening.
[01:53:14.518 --> 01:53:15.499]  This is real.
[01:53:15.499 --> 01:53:17.720]  Meanwhile, look at this.
[01:53:17.720 --> 01:53:18.720]  People are fighting back.
[01:53:18.720 --> 01:53:26.384]  Representative Roy and colleagues call on Republican leadership to investigate CDC's politicized COVID-19 vaccine child vote.
[01:53:28.746 --> 01:53:37.071]  Meanwhile, they are openly now admitting that a large percentage of babies taking the shot are getting sick and dying.
[01:53:37.071 --> 01:53:42.794]  The Surgeon General of Florida has come out and pointed to a major study showing that.
[01:53:42.794 --> 01:53:45.316]  There that is on screen.
[01:53:45.316 --> 01:53:52.260]  Of course, it's now admitted they've created a super-COVID that kills 80% of humans at Boston University.
[01:53:52.260 --> 01:53:52.840]  That's been out.
[01:53:52.840 --> 01:53:54.501]  That's mainstream news.
[01:53:54.501 --> 01:53:55.442]  And then we've got this clip.
[01:53:57.366 --> 01:54:09.251]  We're going to play a clip here in a moment of Ben Shapiro throwing a major fit and freaking out and saying, I was lied to because he knows his whole audience is turning against him.
[01:54:09.251 --> 01:54:11.152]  He's lost half his audience reportedly.
[01:54:11.152 --> 01:54:17.475]  Just like Trump's being destroyed by this because he was too dumb to come out against it two years ago.
[01:54:17.475 --> 01:54:19.236]  Just like Trump wouldn't come out against it.
[01:54:19.236 --> 01:54:20.817]  They're destroying themselves.
[01:54:20.817 --> 01:54:22.217]  I'm not against Ben Shapiro.
[01:54:22.217 --> 01:54:23.218]  I wish he'd join us.
[01:54:23.218 --> 01:54:23.918]  I'm not against Trump.
[01:54:24.949 --> 01:54:26.830]  But they continue to go along with it.
[01:54:26.830 --> 01:54:28.411]  So now he's like, my wife's a doctor.
[01:54:28.411 --> 01:54:29.411]  She took three shots.
[01:54:29.411 --> 01:54:30.252]  I took two.
[01:54:30.252 --> 01:54:31.192]  It doesn't protect me.
[01:54:31.192 --> 01:54:32.073]  They lied.
[01:54:32.073 --> 01:54:36.655]  It does more than not protect you, you dumb, arrogant Eddie Munster.
[01:54:36.655 --> 01:54:37.996]  It hurts you.
[01:54:37.996 --> 01:54:41.898]  It kills you, jackass.
[01:54:41.898 --> 01:54:47.801]  So here's Ben Shapiro flailing after advocating COVID-19 vaccine for over a year and a half.
[01:54:47.801 --> 01:54:49.722]  Ben Shapiro says he was deceived.
[01:54:49.722 --> 01:54:50.843]  We were all lied to.
[01:54:50.843 --> 01:54:53.745]  Yeah, by you that tried to bully people.
[01:54:53.745 --> 01:54:54.145]  Here it is.
[01:54:55.063 --> 01:54:56.765]  We were lied to by the scientists.
[01:54:56.765 --> 01:54:57.746]  We were lied to by Pfizer.
[01:54:57.746 --> 01:54:58.947]  We were lied to by the government.
[01:54:58.947 --> 01:55:00.348]  We were lied to by the Biden administration.
[01:55:00.348 --> 01:55:01.830]  We were lied to.
[01:55:01.830 --> 01:55:02.691]  I don't like being lied to.
[01:55:02.691 --> 01:55:04.292]  I don't know about you.
[01:55:04.292 --> 01:55:08.056]  And it makes me not believe these people.
[01:55:08.056 --> 01:55:10.478]  Now, as I've spoken out before, I got vaxxed twice.
[01:55:10.478 --> 01:55:12.000]  I got double vaxxed.
[01:55:12.000 --> 01:55:14.582]  My wife being a doctor and seeing vulnerable patients is triple vaxxed.
[01:55:14.582 --> 01:55:16.725]  But knowing now what I know then,
[01:55:18.715 --> 01:55:31.881]  Knowing then what I know now, rather, would I have actually gotten back, based on the information, that my actual chances of death from COVID were exorbitantly low, and I wouldn't be preventing my parents from getting it?
[01:55:31.881 --> 01:55:34.022]  That was really what I was concerned about, because we were bubbled with my parents.
[01:55:34.022 --> 01:55:35.383]  Would I have gotten it?
[01:55:35.383 --> 01:55:35.803]  I don't know.
[01:55:35.803 --> 01:55:37.104]  I really don't know.
[01:55:37.904 --> 01:55:39.165]  I think maybe not.
[01:55:39.165 --> 01:55:45.709]  Because again, my personal risk when it comes to the vaccine was extremely low when it came to COVID.
[01:55:45.709 --> 01:55:48.051]  I'm a young healthy male with no pre-existing conditions.
[01:55:50.868 --> 01:55:53.409]  What a fool thinking he can join Satan and get ahead.
[01:55:53.409 --> 01:55:56.271]  Here's his original tweets as he attacked Elijah Schaffer.
[01:55:56.271 --> 01:55:58.913]  The vaccine's 95% effective.
[01:55:58.913 --> 01:56:03.755]  It's preventing you from getting the virus and also mitigates the severity of the illness.
[01:56:03.755 --> 01:56:07.117]  99% of those who actually get the COVID-19 shot will survive.
[01:56:07.117 --> 01:56:14.341]  He was attacking Elijah Schaffer saying, your immune system has a higher success rate in combating COVID than the actual vaccine.
[01:56:14.341 --> 01:56:15.442]  This is two years ago.
[01:56:17.466 --> 01:56:19.608]  But it's okay, he's an anointed one.
[01:56:19.608 --> 01:56:21.429]  He's smarter than everybody.
[01:56:21.429 --> 01:56:23.911]  You need to listen to him.
[01:56:23.911 --> 01:56:30.236]  Meanwhile, the blast from the past, people doing a water aerobics class with plastic screens in front of them.
[01:56:30.236 --> 01:56:33.638]  All an exercise in mental illness.
[01:56:33.638 --> 01:56:42.385]  All an exercise to see what you'll put up with and what ridiculous hoops you will jump through.
[01:56:44.269 --> 01:56:48.232]  So far this flu season is more severe than it's been in 13 years.
[01:56:48.232 --> 01:56:50.113]  Everybody's dying from the shot.
[01:56:50.113 --> 01:56:57.378]  15 year old girl died suddenly, this is of the major news of Wales, from COVID complications a day after her vaccine.
[01:56:57.378 --> 01:57:03.423]  She died of a heart attack from myocarditis, but they're saying it's COVID, even though she took the shot a day before.
[01:57:03.883 --> 01:57:05.125]  How liberal.
[01:57:05.125 --> 01:57:07.227]  And no one wants to admit they got attacked.
[01:57:07.227 --> 01:57:16.018]  Medical examiner, coroner, finally claims fully vaccinated bodybuilder, who suffered from cardiovascular disease, died of COVID-19 infection, not the COVID vaccine.
[01:57:16.018 --> 01:57:17.801]  Though he said, I'm taking it.
[01:57:17.801 --> 01:57:19.002]  See how healthy I'll be.
[01:57:19.002 --> 01:57:20.104]  And he died days after.
[01:57:21.468 --> 01:57:26.971]  This is the person calling you a conspiracy theorist in their moronic idiot bubble.
[01:57:26.971 --> 01:57:29.412]  These are the people that want to roll over and die.
[01:57:29.412 --> 01:57:32.153]  But we're not rolling over and dying!
[01:57:32.153 --> 01:57:33.354]  We're fighting!
[01:57:33.354 --> 01:57:37.816]  And the human millennia is about to come!
[01:57:37.816 --> 01:57:38.816]  God bless you all!
[01:57:38.816 --> 01:57:40.537]  I'll be back tomorrow at 11am.
[01:57:40.537 --> 01:57:44.979]  Harrison Smith takes over for two hours with Sunday Live Now!
[01:57:44.979 --> 01:57:46.540]  InfoWars.com!
[01:57:48.939 --> 01:57:54.525]  Don't let the globalist monsters and their mercenary minions be successful at silencing you.
[01:57:55.686 --> 01:58:09.475]  And the Globalist's number one mission is to silence InfoWars because they rightly see us as one of the main beacons of resistance alerting the people, not just of America, but the world to the threat of the Globalist and their censorship and tyranny.
[01:58:09.475 --> 01:58:23.544]  That's why it's so essential today, now more than ever, to share links for InfoWars.com and to also financially support InfoWars.com at the most critical time on our fight by using promo code 1776 at checkout to get an additional 10% off.
[01:58:25.148 --> 01:58:27.009]  These people are coming for your birthright.
[01:58:27.009 --> 01:58:28.190]  They're coming for your First Amendment.
[01:58:28.190 --> 01:58:31.632]  They admit, once they've silenced us, they're coming for you.
[01:58:31.632 --> 01:58:34.413]  I am in your hands, and I'm asking for your support now.
[01:58:34.413 --> 01:58:38.736]  You have my commitment to never give up or back down, but I could give out without your support.
[01:58:38.736 --> 01:58:49.742]  Thank you for all your past support, and I'm encouraging you now to redouble your efforts at InfowarsStore.com with promo code 1776 for an additional 10% off on the already big sales and huge discounts.
[01:58:49.742 --> 01:58:53.004]  Think about a world without Infowars.
[01:58:54.588 --> 01:59:04.170]  Just take a moment and sit back and think about all the incredible guests and callers and stories we've broken together, this family that is InfoWars.
[01:59:04.170 --> 01:59:20.392]  Think about how InfoWars is cited by Joe Rogan and Tucker Carlson and Bolsonaro and other foreign leaders like Nigel Farage as being the main impetus towards firing up their main base to defeat the New World Order.
[01:59:20.392 --> 01:59:23.293]  The only reason humanity is still in the fight today
[01:59:24.190 --> 01:59:30.773]  Because the viewers and listeners of this broadcast have taken action and supported this show.
[01:59:30.773 --> 01:59:32.474]  I don't take the credit.
[01:59:32.474 --> 01:59:34.194]  I give you the credit.
[01:59:34.194 --> 01:59:36.815]  And now InfoWars is facing its darkest hours.
[01:59:36.815 --> 01:59:38.396]  It isn't going to give up.
[01:59:38.396 --> 01:59:40.257]  Without your support we could be shut down.
[01:59:40.257 --> 01:59:43.538]  Please go to SaveInfoWars.com today.
[01:59:43.538 --> 01:59:47.200]  SaveInfoWars.com today and donate for our legal defense fund.
[01:59:51.492 --> 01:59:55.385]  If you are receiving this transmission, you are the resistance.
