[00:00:08.949 --> 00:00:09.390]  Death and taxes.
[00:27:31.993 --> 00:27:33.835]  This is the stuff I read all day before I go to bed.
[00:27:33.835 --> 00:27:35.236]  I just be so wound up.
[00:27:35.236 --> 00:27:36.657]  Whistleblower!
[00:27:36.657 --> 00:27:40.962]  Fed highly alarmed about Bitcoin conquering dollar system.
[00:27:40.962 --> 00:27:47.568]  Internal report reveals cryptocurrency would supersede existing Fed monopoly within 12 years.
[00:27:50.745 --> 00:27:56.588]  Vladimir Putin signs historic $20 billion oil deal with Iran to bypass Western sanctions.
[00:27:56.588 --> 00:28:02.231]  Russian government will help Iran bring its oil to market.
[00:28:02.231 --> 00:28:04.873]  That's out of the London Telegraph.
[00:28:04.873 --> 00:28:07.854]  Let's move right along to this stack of news.
[00:28:07.854 --> 00:28:08.835]  Afghan official
[00:28:10.017 --> 00:28:13.999]  General's killer hid in a bathroom to kill the Major General.
[00:28:13.999 --> 00:28:20.042]  He opened fire when the General walked into view as part of the country's National Guard trained by the NATO U.S.
[00:28:20.042 --> 00:28:21.944]  forces.
[00:28:21.944 --> 00:28:28.727]  And they said an assault weapon did it in the Associated Press and talked about how deadly they are and how bad they are.
[00:28:28.727 --> 00:28:33.170]  So I guess the answer is take all assault weapons away from the troops.
[00:28:33.170 --> 00:28:35.291]  They already do that when the Generals and people come around.
[00:28:36.533 --> 00:28:38.896]  I mean, this is the world where even the military can't be trusted.
[00:28:38.896 --> 00:28:40.719]  Only robots can be trusted, you see.
[00:28:40.719 --> 00:28:42.281]  And here's another article.
[00:28:42.281 --> 00:28:46.567]  Store owner says bank accounts closed because he was selling guns.
[00:28:46.567 --> 00:28:50.352]  Daily Caller reports, this is happening all over the country.
[00:28:52.910 --> 00:28:56.873]  This is happening all over the country where you can't have a gun shop, can't sell guns even legally.
[00:28:56.873 --> 00:28:59.616]  The big banks, everybody, newspapers won't take your ads.
[00:28:59.616 --> 00:29:07.402]  It's total racketeering, organized crime, groups working together to shut down free speech in this country.
[00:29:07.402 --> 00:29:09.044]  It is a big deal.
[00:29:09.044 --> 00:29:16.190]  But meanwhile, actor Bo Bridges praises James Brady's firearms fight, calling it courageous, when pigs like this guy
[00:29:17.335 --> 00:29:20.739]  Have bodyguards on record and own guns in many cases.
[00:29:20.739 --> 00:29:22.141]  Like Michael Moore.
[00:29:22.141 --> 00:29:23.923]  Absolute trash.
[00:29:23.923 --> 00:29:27.927]  Just like all the rest of the Hollywood folks that don't want to pay taxes, but want to raise yours.
[00:29:27.927 --> 00:29:29.729]  Facial recognition to find lost dogs.
[00:29:29.729 --> 00:29:31.531]  I meant to mention this yesterday.
[00:29:31.531 --> 00:29:34.675]  Oh, the face scanners on the streets will be looking for your dog.
[00:29:34.675 --> 00:29:37.018]  Of course, they're tracking everything you do as well.
[00:29:38.584 --> 00:29:39.665]  Oh good, that'll stop crime?
[00:29:39.665 --> 00:29:42.968]  No, the government lets all the criminals basically run free.
[00:29:42.968 --> 00:29:43.469]  A.K.A.
[00:29:43.469 --> 00:29:44.570]  the open border.
[00:29:44.570 --> 00:29:46.812]  The latest on Ebola when we come back.
[00:29:46.812 --> 00:29:47.933]  The latest on Russia.
[00:29:47.933 --> 00:29:49.034]  The latest on the borders.
[00:29:49.034 --> 00:29:50.755]  The latest on the DOJ.
[00:29:50.755 --> 00:29:51.476]  Stay with us.
[00:29:51.476 --> 00:29:52.877]  We're on the march.
[00:29:52.877 --> 00:29:54.479]  The empire's on the run.
[00:29:54.479 --> 00:29:55.580]  Your call's coming up.
[00:29:55.580 --> 00:29:58.142]  Alex Jones and the GCN Radio Network.
[00:29:58.142 --> 00:29:59.904]  Call us on Twitter right now, folks.
[00:29:59.904 --> 00:30:00.604]  RealAlexJones.
[00:30:00.604 --> 00:30:01.065]  It's important.
[00:30:03.328 --> 00:30:04.688]  In the near future.
[00:30:04.688 --> 00:30:08.569]  When you realize how fake it all is, the football, the basketball.
[00:30:08.569 --> 00:30:09.169]  Alert.
[00:30:09.169 --> 00:30:09.889]  Security.
[00:30:09.889 --> 00:30:10.409]  Alert.
[00:30:10.409 --> 00:30:12.410]  This is Homeland Security.
[00:30:12.410 --> 00:30:13.290]  Analysis.
[00:30:13.290 --> 00:30:14.010]  InfoWars.
[00:30:14.010 --> 00:30:16.111]  Building independent media operations.
[00:30:16.111 --> 00:30:20.992]  We let the worst people get controlled and tell us that we are the ones responsible.
[00:30:20.992 --> 00:30:22.012]  Prime Directive.
[00:30:22.012 --> 00:30:23.572]  Discredit Alex Jones.
[00:30:23.572 --> 00:30:26.433]  Jones is the wildly popular conspiracy theorist.
[00:30:26.433 --> 00:30:29.674]  A popular conspiracy theory talk show called InfoWars.
[00:30:29.674 --> 00:30:31.834]  Alex Jones is now in an Austin jail.
[00:30:31.974 --> 00:30:33.475]  These people are assaulting us.
[00:30:33.475 --> 00:30:36.337]  Targeting of patriots engaged.
[00:30:36.337 --> 00:30:38.278]  They are never going to stop.
[00:30:38.278 --> 00:30:42.300]  They're never going to deviate from their program until we stop them.
[00:30:42.300 --> 00:30:45.903]  Block free iPhone app at InfoWars.com.
[00:30:45.903 --> 00:30:49.265]  Block free podcast and video feed.
[00:30:49.265 --> 00:30:50.245]  Imperative.
[00:30:50.245 --> 00:30:52.307]  Deploy Little Minute TV.
[00:30:52.307 --> 00:30:56.769]  You gotta set your eye on the enemy, not worry about what propaganda they put out.
[00:30:56.769 --> 00:30:59.091]  Intellectually, it's begun and you can feel it.
[00:31:01.923 --> 00:31:04.324]  This is Alex Jones for InfoWarsLife.com.
[00:31:04.324 --> 00:31:07.126]  The latest in preparedness is now here.
[00:31:07.126 --> 00:31:13.310]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[00:31:13.310 --> 00:31:18.392]  Concentrated to 30 parts per million in what has been dubbed the survival silver solution.
[00:31:18.392 --> 00:31:23.275]  The new InfoWars Life silver bullet colloidal silver is the answer for you and your family.
[00:31:23.275 --> 00:31:27.778]  And it's entirely free of toxic artificial additives that are loaded into many products.
[00:31:28.098 --> 00:31:36.681]  The InfoWarsLife Silver Bullet Silver is so powerful that it is concentrated into a 2-ounce bottle and is not recommended for extended continual use.
[00:31:36.681 --> 00:31:38.842]  This is not a low-grade formula.
[00:31:38.842 --> 00:31:50.025]  We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver using electrical processes within a base of deionized water.
[00:31:50.025 --> 00:31:57.428]  For your preparedness storage or your home kitchen, purchase your bottle of InfoWarsLife.com Silver Bullet Colloidal Silver today.
[00:31:57.668 --> 00:32:02.131]  And find other amazing supplements at Infowarslife.com.
[00:32:02.131 --> 00:32:09.295]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:32:09.295 --> 00:32:11.636]  But it's not just the air outside that's toxic.
[00:32:11.636 --> 00:32:16.939]  Indoor air has been shown to have 2 to 5 times higher concentrations of pollutants than even outdoor air.
[00:32:16.939 --> 00:32:21.942]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:32:22.082 --> 00:32:25.423]  There are more than 42 million smokers in the United States.
[00:32:25.423 --> 00:32:29.485]  Well over a thousand types of mold and mildew linked to numerous conditions.
[00:32:29.485 --> 00:32:33.806]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[00:32:33.806 --> 00:32:44.030]  When I began to research these statistics it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[00:32:44.030 --> 00:32:47.951]  Made with organic and wild cultivated herbs and manufactured in the U.S.A.
[00:32:48.211 --> 00:32:52.693]  Evening last night at half past ten That baby of mine wouldn't let me in So move it on over, move it on over
[00:33:17.720 --> 00:33:19.620]  The answer to 1984 is 1776.
[00:33:19.620 --> 00:33:21.901]  You're listening to the Alex Jones Show.
[00:33:43.334 --> 00:33:51.139]  Ladies and gentlemen, what we're seeing happen here with immigration and the open border
[00:34:03.815 --> 00:34:15.021]  Is just the open declaration of war against all law, against all due process, against all fairness and total discrimination.
[00:34:15.021 --> 00:34:24.505]  Just like over 2,000 major globalist companies are tax exempt from the Obamacare mandate.
[00:34:24.505 --> 00:34:29.668]  A hamburger place like McDonald's right next to a mom and pop, McDonald's is exempt.
[00:34:30.660 --> 00:34:41.725]  They can pay their employees more, have lower-priced food, not having the insurance, and put the hamburger place next door to them out of business.
[00:34:41.725 --> 00:34:43.126]  Look at that discrimination.
[00:34:43.126 --> 00:34:49.249]  But healthcare is for the children, even though it's death panels.
[00:34:49.249 --> 00:34:51.070]  It's the same thing with the open borders.
[00:34:51.070 --> 00:34:56.853]  Just legalize whoever they want, whenever they want, by executive action, not even an executive order.
[00:34:58.584 --> 00:35:03.428]  And then Joe Biden and everybody else comes out and says, they're children.
[00:35:03.428 --> 00:35:06.670]  There are children.
[00:35:06.670 --> 00:35:07.971]  Just like Nancy Pelosi said.
[00:35:07.971 --> 00:35:15.958]  And then we sit here like children ourselves and go, yeah, children from China and Africa and Mexico and Guatemala.
[00:35:15.958 --> 00:35:16.918]  They're ours.
[00:35:16.918 --> 00:35:21.342]  They get here and no, no, who they are is the state's children.
[00:35:21.342 --> 00:35:25.045]  Just like Russia would do in the Soviet Union to be raised.
[00:35:28.407 --> 00:35:34.230]  To literally be bots of the system, just like the Hitler Youth.
[00:35:34.230 --> 00:35:36.832]  These are not somebody else's kids.
[00:35:36.832 --> 00:35:40.114]  These are our kids.
[00:35:40.114 --> 00:35:47.858]  These are the children that lift the national ambitions of each of these countries aloft.
[00:35:47.858 --> 00:35:50.379]  And, um... He cares so much.
[00:35:50.379 --> 00:35:52.140]  It's a tragedy.
[00:35:52.140 --> 00:35:52.340]  Aww.
[00:35:52.340 --> 00:35:56.643]  For the countries who are losing them, and for us,
[00:35:57.583 --> 00:36:00.844]  Not being able to solve every one of their problems.
[00:36:00.844 --> 00:36:01.984]  Aw, he cares!
[00:36:01.984 --> 00:36:12.548]  We need to take that video clip and just loop it with images of dead kids being bombed by the, quote, US and by Al-Qaeda forces at work for the globalists in Syria.
[00:36:13.410 --> 00:36:17.851]  And then take another one and just show starving kids in America or kids shot in Chicago.
[00:36:17.851 --> 00:36:19.392]  I mean, it's such a joke.
[00:36:19.392 --> 00:36:28.935]  They're working as hard as they can to break the country, to get rid of our industry, to shut down our power plants, to make us dependent, to sterilize and abort as many kids as they can.
[00:36:31.684 --> 00:36:33.844]  And then he's like, these are our kids.
[00:36:33.844 --> 00:36:41.386]  We're going to get to that news more on Russia, new ISIS news, and a lot more.
[00:36:41.386 --> 00:36:48.207]  But first, we're going to take some of your phone calls, because I want to try to work more calls into the broadcast when we can.
[00:36:48.207 --> 00:36:53.908]  But before I go any further, please don't forget this hour is brought to you by MyPatriotSupply.com.
[00:36:53.908 --> 00:36:57.309]  MyPatriotSupply.com forward slash Alex.
[00:36:57.309 --> 00:37:01.230]  And when you go to MyPatriotSupply.com forward slash Alex, you find really high quality
[00:37:02.264 --> 00:37:11.967]  You know, freshly produced, non-GMO foods, great customer service, 866-229-0927, mypatriotsupply.com, forward slash Alex.
[00:37:11.967 --> 00:37:16.929]  I think you're crazy if you don't have storable foods in these crazy times to shelter in place for whatever else is needed.
[00:37:16.929 --> 00:37:20.610]  And the best part is this insurance you can eat.
[00:37:20.610 --> 00:37:26.492]  Finally, ladies and gentlemen, again, we have this radio show on AM and FM across the country, Global Shortwave.
[00:37:27.830 --> 00:37:43.254]  The Internet, four years, five years on XM Sirius, huge listening audience, very successful there until the Democrats got involved and had a campaign to have us thrown off, which did happen last year, which is fine.
[00:37:43.254 --> 00:37:45.034]  That's what they do.
[00:37:45.034 --> 00:37:47.615]  But people are like, how can you be on this?
[00:37:47.615 --> 00:37:51.035]  Well, I mean, you know, the New World Order didn't like it and got us kicked off.
[00:37:51.035 --> 00:37:52.856]  The point is, don't take this show for granted.
[00:37:53.416 --> 00:37:59.041]  And that's why you should spread the word about every AM and FM station you hear us on.
