[00:00.000 --> 00:07.000]  Ladies and gentlemen, it's Wednesday the 21st of December 2016. I'm Alex Jones.
[38:43.000 --> 38:49.000]  And I covered that earlier, we could put that on screen, but the media is blurring out his face hoping he doesn't get caught.
[38:49.000 --> 38:56.000]  Tunisian asylum seeker 23 suspected of carrying out Berlin massacre was arrested three times this year.
[38:56.000 --> 39:05.000]  I'm at fear as he was planning a terror plot, but police let him go and are now offering 100,000 euros to anyone who finds him.
[39:05.000 --> 39:13.000]  And there he is, his name is Anas Amir. Actually, it's Anas Amir. He shouldn't insult Anas's.
[39:13.000 --> 39:20.000]  There's some beautiful butts out there a lot better looking than his face. I've got to tell you, I've seen horses' asses that look better than him.
[39:20.000 --> 39:26.000]  He actually looks like a deformed elephant butt. Maybe his mother was an elephant.
[39:26.000 --> 39:35.000]  The point is people are sick. In fact, let's trigger everybody that's watching that's not a patriot or who's living in some mind control cult.
[39:35.000 --> 39:41.000]  Let's put up the Texas Christmas tree. Well, we can put him up there too. What a little wimp.
[39:41.000 --> 39:44.000]  He didn't go attack a military target, he didn't go attack men.
[39:44.000 --> 39:51.000]  He ran over a bunch of people at a Christmas party outdoors under the stars, just another coward.
[39:51.000 --> 40:02.000]  Like his brother and ran over the three-year-olds running, screaming, mommy, mommy, direct shades of Mad Max.
[40:02.000 --> 40:12.000]  And everyone in Europe is wondering why this happened. We bring you here, we give everything free, we throw out old Germans out of their Section 8 housing.
[40:12.000 --> 40:22.000]  In Italy, they're throwing people out of hospital beds and out of hotels to house all the beautiful, chosen people of Islam.
[40:22.000 --> 40:30.000]  Oh, and where's the outrage of Islam? There's a big article out of the Southern Poverty Law Center that, by the way, law enforcement for five years doesn't even use anymore,
[40:30.000 --> 40:34.000]  because they got caught running Elohim sitting in other operations.
[40:34.000 --> 40:44.000]  The law enforcement knows who they are now. They say General Flynn, former head of Defense Intelligence, who exposed the al-Qaeda ISIS system,
[40:44.000 --> 40:51.000]  Obama and Hillary were running, and he helped stop it. Super smart guy, was sort of a show, obviously, they know that.
[40:51.000 --> 41:00.000]  He tweets our stuff, leave it at that. They keep calling him a kook and a weirdo, and then they say, he says Islam will not coexist with us
[41:00.000 --> 41:08.000]  and he's trying to take over. He said it's rational to fear Islam. He said Islam, they quote stuff like he's discredited,
[41:08.000 --> 41:20.000]  and this is stuff he said years ago, some of it a decade ago, and all of it is coming true. He said Europe will not be Europe by 2050.
[41:20.000 --> 41:31.000]  This is the kind of stuff he says, it's like General Flynn said that the sky is blue. General Flynn said fish live in the water.
[41:31.000 --> 41:37.000]  General Flynn said grass is green. General Flynn said Rudolph has a red nose. General Flynn said Superman has a red cape.
[41:37.000 --> 41:46.000]  General Flynn said bicycles have two wheels. What a kook. It's like you read their thing about me.
[41:46.000 --> 41:54.000]  General Flynn says there's a plan to open the borders and bring in world government. It's been announced, it's done.
[41:54.000 --> 42:00.000]  But they have to take what's normal, it's psychological warfare, totally normal, totally admitted and go, look at this, this is insane,
[42:00.000 --> 42:08.000]  so you're scared to say it. Why, you might get put on the list, the southern poverty law center might attack you.
[42:08.000 --> 42:16.000]  You might have to change your place. Well, might readjust his glasses to make him look like a professor.
[42:16.000 --> 42:24.000]  Why don't you adjust my glasses here? Like, if somebody get me a pair of glasses and a pipe, somebody will get me a pair of reading glasses,
[42:24.000 --> 42:32.000]  and they kind of look professorly, and a pipe from the local drug store, they sell them behind the counter.
[42:32.000 --> 42:39.000]  In fact, I even want some tobacco, some cherry flavored tobacco for Christmas. I'm going to center like Chris Hayes.
[42:39.000 --> 42:49.000]  Let me light my lighter. There's no Islam here. It'd be like walking up the Taj Mahal and going, I don't see the Taj Mahal here.
[42:49.000 --> 42:56.000]  Where is it? It's like right in front of you. We're watching us on TV right now. I don't see a Christmas tree here.
[42:56.000 --> 43:08.000]  Where could it be? Hmm, nowhere here. Oh, Chris Hayes, you're so intellectual. You're so metrosexual.
[43:08.000 --> 43:15.000]  They can't tell who's male, who's female. You're so modern. Matt Hall looks like more of a man than you.
[43:15.000 --> 43:24.000]  Chris Hayes, sustained effort to demonize Trump, no matter how deranged, is the path back to power for Democrats.
[43:24.000 --> 43:31.000]  Now, he always looks like he's drunk about three bottles of cough syrup. I'm Chris Hayes going to sleep here.
[43:31.000 --> 43:38.000]  But let's go ahead and play Chris Hayes. Then we'll get to the new MTV video they pulled. They don't want you to see.
[43:38.000 --> 43:48.000]  Where they're actually hyping up. Notice it's always led by white people. I've actually found it's not really on average blacks and Hispanics that are running around all this racist crap.
[43:48.000 --> 43:54.000]  In fact, I've seen them in the real world just kind of go, this is crazy. What are they trying to create? Racism? Absolutely.
[43:54.000 --> 44:05.000]  Because weaker minded white people watch this and go join the KKK. I mean, this is crazy town, folks.
[44:05.000 --> 44:13.000]  You are bad because you're white, you're horrible, and you're weird, and you can't play sports, and you're pathetic, and you can't sing, and you can't dance.
[44:13.000 --> 44:26.000]  This is all Hollywood. Whites are scum, whites are bad, whites are out of style, whites are terrible, whites are the worst thing in the world, even though white people are number 16 or 17, depending on the year, on the economic chart.
[44:26.000 --> 44:47.000]  Up at the top is Christian, folks from the Middle East, and then you move on down from there, Lebanese particularly, that it's Chinese, and Vietnamese, and Koreans, and on and on and on, and then way down here, white people, then black people.
[44:47.000 --> 44:56.000]  Hispanics aren't as high up as they should be, because on average, it's well known demographic, it's not a cliche, it's called a number. Don't trust banks, don't trust vaccines, don't trust the police or whatever.
[44:56.000 --> 45:01.000]  You always hear the government bemoaning that, that's why I mentioned it, they don't put their money in banks, but Hispanics are doing quite well as well.
[45:01.000 --> 45:16.000]  Probably better on average than a lot of whites now, because whites were the dominant economic force, and it was all the work ethic that's been taken out, and the demographics show whites are nose diving since the 80s, like black started nose diving in the 60s.
[45:16.000 --> 45:33.000]  So, whites are down the rat hole, thanks to social engineering. Social engineering works on people, folks, worked really good on black people, they had lower illegitimacy until the 50s than white people.
[45:33.000 --> 45:47.000]  Now it's upwards of 80%, some areas 90 plus percent. Whites are now pushing 40%, than single digits in the 50s, and I'm not attacking single families, they always go, what are you attacking single families?
[45:47.000 --> 46:00.000]  Absolutely not, there's some great fathers and mothers that single parents do an incredible job. The point is, statistically, it is a wrecking ball, but though the state can raise your kids now, don't worry, yes they do such a great job.
[46:00.000 --> 46:14.000]  But you read the stuff where General Flynn supposedly discredited, it's like proving everything he said. So, let's go ahead and go to the clip of Chris Matthews trying to whitewash the jihad attacks.
[46:14.000 --> 46:41.000]  Little precise.
[46:41.000 --> 46:49.000]  Claim responsibility for one such attack over the summer in Nice, France, where a truck barreled through crowds celebrating Bastille Day, killing 86 people.
[46:49.000 --> 46:56.000]  Trump responded to what happened today in a statement, our hearts and prayers are with the loved ones and the victims of today's horrifying terror attack in Berlin,
