[00:00.000 --> 00:13.000]  Defending the Republic from enemies born and domestic it's Alex Jones
[40:11.000 --> 40:27.000]  and so you know although there's a lot of work on testing a lot of work on drugs that were involved with you know trying to achieve that ambitious goal which has never been done for the vaccine that rises to the top of the list
[40:27.000 --> 40:43.000]  and finally so he's in charge of the big foundations all the tax free money Carnegie Ford Rockefeller IBM trust that was Watson when he died dedicated it to Hitler and the global depopulation so now he just says it never comes back to normal
[40:43.000 --> 40:58.000]  oh here in the first world maybe for a little while till we clamp it back down again this is all a plan doesn't matter if the global death will be hundreds of times he just says oh everyone knows that they're guilty and they're going to do this because they want to play along with it
[40:58.000 --> 41:14.000]  they've all psychologically wargamed us out they think you're going to play along well you're going to lose everything you got in the process because you're so afraid of something it turns out is a giant hoax it's a manufactured weapon that causes the collapse of society through its fear it is manufactured so
[41:14.000 --> 41:27.000]  Bill and Linda Gates could own the patent on the vaccines let's play the next clip Bill Gates on contact tracing basically says China does a perfect job we don't do a good job so see China is perfect here it is
[41:27.000 --> 41:43.000]  the epidemic in the United States is more widespread than it ever got in South Korea so we're like the part of China Hubei province where a lot of the cases were in one city Wuhan and the US and China are different
[41:43.000 --> 41:57.000]  you know the lockdowns that we do won't be as strictly enforced but they are very very important the way we do contact tracing won't be as invasive and so won't be quite as
[41:57.000 --> 42:17.000]  the last word is perfect so in post let's just add the full clip thanks we're live right now but the later update that and post on the site so this is what he's talking about this is what he's doing and South Korea didn't have a problem because they didn't do false positives
[42:17.000 --> 42:33.000]  and they didn't kill their people snaking ventilators down their throats innovating and they didn't pay $39,000 to put a ventilator on somebody they don't have blue states don't have blue cities with people like Cuomo and people like Governor Newsom with the heroin needles
[42:33.000 --> 42:48.000]  and the feces everywhere and the fentanyl and the death so this is their takeover ladies and gentlemen more Bill Gates on forcibly vaccinating the entire world as he becomes the first world dictator of the planet
[42:48.000 --> 42:56.000]  whatever you do folks spread the word about the broadcast don't know how much longer we'll be here because the tyranny is here
[42:56.000 --> 43:12.000]  so let's have a good day serving with info wars is a great honor but I still need my morning coffee and luckily our break room at the info wars headquarters is stocked full of high quality info war store
[43:12.000 --> 43:31.000]  street blend coffee grown in the high mountains of southern Mexico the Chiapas farmers grow 100% organic non GMO coffee at the ideal altitude for the perfect cup a robust coffee with great flavor and mild acidity
[43:31.000 --> 43:50.000]  there's never been a more important time to support info wars so if you love coffee and if you want to fight for freedom then you can help order now at the info war store sign up for auto ship and get your own high quality supply of
[43:50.000 --> 44:09.000]  coffee delivered right to your door at infowarstore.com the lockdown is permanent dictatorship the lockdown is designed to have the public accept their basic rights being suspended and a global medical
[44:09.000 --> 44:25.000]  tyranny led by the WHO and the Bill and Melinda Gates Foundation in full control many will submit through fear others will be bought off but in the end the globalists admit they're building a post human world
[44:25.000 --> 44:45.000]  and now that we're inside the cage it's going to move very very quickly into its in game submission to this is a form of living death and committing the next generation and our own generation to a living hell that cannot be imagined until you're actually experiencing this
[44:45.000 --> 44:57.000]  is your dignity your soul your future being poured inside out this is a scientific dictatorship to in full control of humanity for its own selfless disgusting power trip
[44:57.000 --> 45:16.000]  getting your protein has never been easier with info wars life protein bars available and delicious chocolate peanut butter and vanilla coconut flavors these protein bars are the perfect answer for a snack on the go info wars life protein bars are nutrient packed portable protein bars for an easy to eat
[45:16.000 --> 45:34.000]  and great tasting meal pre or post workout fuel alternative at just 240 calories per bar and 15 grams of protein each these bars will be your favorite at hand snack for at home in the car at work we're on the go for getting nutrients easily high in fiber and nutrients with wholesome
