[00:00.000 --> 00:24.000]  It's a war, tomorrow's news, today.
[34:14.000 --> 34:19.000]  Trump announced that 2024 White House run GOP mega donors back to Sanis and other Republicans.
[34:19.000 --> 34:21.000]  Trump seeks White House again.
[34:21.000 --> 34:24.000]  GOP loses legal probes.
[34:24.000 --> 34:30.000]  Murdoch reportedly tells Trump his political career is over threatens to back opponent in 2024.
[34:30.000 --> 34:34.000]  Christie applauded after bashing Trump at GOP governor meeting.
[34:34.000 --> 34:38.000]  Broadcast networks take a pass on Trump campaign announcement.
[34:38.000 --> 34:40.000]  New election, same result.
[34:40.000 --> 34:43.000]  Most incumbents win 2022 rematch.
[34:43.000 --> 34:46.000]  It goes on and on and on.
[34:46.000 --> 34:52.000]  So that's where I basically stand on this is the issues.
[34:52.000 --> 34:56.000]  And that's what I'll continue to hammer, regardless of who's in the White House.
[34:56.000 --> 35:00.000]  But Trump running on stopping election fraud, I think is really central.
[35:00.000 --> 35:05.000]  He also talked about border security, backing the police and not defunding them.
[35:05.000 --> 35:09.000]  And a lot of other things that resonate with Trump's base.
[35:09.000 --> 35:19.000]  But we know that the Gen 6 committee came out and said, they don't care if there's a normal rule that you don't prosecute somebody when they're running for president,
[35:19.000 --> 35:21.000]  because it's obvious political persecution.
[35:21.000 --> 35:28.000]  But it's a rule that we shouldn't have had the lady that ran the elections running for governor and now winning by fraud, obviously, in Arizona.
[35:28.000 --> 35:31.000]  They're doing whatever they want, not because they're strong, because they're weak.
[35:31.000 --> 35:33.000]  They're cornered rats.
[35:33.000 --> 35:36.000]  Culturally, politically, the world is turning against the new world order.
[35:36.000 --> 35:40.000]  And the question is, can America get out of its coma and realize that before it's too late?
[35:40.000 --> 35:42.000]  Roger Stone.
[35:42.000 --> 35:48.000]  You raise the single most important issue here, Alex, and that is it doesn't really matter at the end of the day,
[35:48.000 --> 35:55.000]  whether we nominate former President Donald Trump or whether we nominate Governor DeSantis or who we nominate,
[35:55.000 --> 36:01.000]  if we can't have free, fair, honest, transparent elections.
[36:01.000 --> 36:05.000]  What's just happened in Arizona is an abomination.
[36:05.000 --> 36:14.000]  The ballots that were tested the night before the election are the correct 19 inches long.
[36:14.000 --> 36:21.000]  On election day, the paper ballots that are sent to only Republican precincts are 20 inches long.
[36:21.000 --> 36:26.000]  The machines are specifically made not to accept them.
[36:26.000 --> 36:35.000]  In one case, an election judge I spoke to said a person tried to get the tabulator to receive their ballot 15 times and it was rejected.
[36:35.000 --> 36:42.000]  Well, it's rejected because the trays inside the tabulator are not made to take that paper.
[36:42.000 --> 36:45.000]  Now, this wasn't done by accident.
[36:45.000 --> 36:47.000]  This was done willfully.
[36:47.000 --> 36:55.000]  The ballots that were used to do the tests the night before weren't even done by the printer at the polling place,
[36:55.000 --> 36:57.000]  as required by law.
[36:57.000 --> 37:00.000]  They were printed at a central location.
[37:00.000 --> 37:05.000]  So if we're going to have fraudulent elections, does it matter who we nominate?
[37:05.000 --> 37:08.000]  Does it matter how we illustrate the issues?
[37:08.000 --> 37:12.000]  Does it matter if our candidate wins in the presidential debates?
[37:12.000 --> 37:20.000]  You cannot tell me in an election in which if you added the vote that went to all of the Republican candidates for Congress,
[37:20.000 --> 37:26.000]  there's between three and five million more people voted Republican in the last election,
[37:26.000 --> 37:30.000]  yet we're expected to believe that they retained the Senate.
[37:30.000 --> 37:35.000]  We're expected to believe that we only narrowly won the House.
[37:35.000 --> 37:40.000]  This is the single most important issue for Trump to address.
[37:40.000 --> 37:45.000]  If this issue is not fixed, well, then there's no point in having an election.
[37:45.000 --> 37:55.000]  As I have said on this show and elsewhere, if a person steals a car and there's no consequences for stealing that car,
[37:55.000 --> 37:58.000]  that person is going to go out and steal another car.
[37:58.000 --> 38:05.000]  I would say this for the globalists, the Democrats and their handmaidens in the mainstream media.
[38:05.000 --> 38:11.000]  They had between 2020 and 2022 to perfect their stealing.
[38:11.000 --> 38:19.000]  One of the problems they had in 2020 was making the total number of ballots cast match the number of ballots that they reported.
[38:19.000 --> 38:27.000]  Now they've found a way to do that, but if you were voting in Arizona, in Maricopa County, in the morning,
[38:27.000 --> 38:33.000]  the odds were overwhelming that your ballot did not go through the tabulators, and therefore they say to you,
[38:33.000 --> 38:40.000]  oh, just throw it in this box, box number three or door number three, and we'll count it later.
[38:40.000 --> 38:47.000]  We don't know that those votes were even counted, even though an election judge signed off on each batch of them.
[38:47.000 --> 38:56.000]  So it's very hard to understand how Florida and Texas, much, much larger states in Arizona,
[38:56.000 --> 39:03.000]  all of them on machine, all of them with mail-in ballots, unfortunately, just like Arizona,
[39:03.000 --> 39:08.000]  can have all their elections wrapped up by about an hour and a half after the polls closed.
[39:08.000 --> 39:14.000]  But in Arizona, it's a week later before they finally enacted the big steal,
[39:14.000 --> 39:23.000]  and they elected a woman who, in the campaign style of Joe Biden, spent most of her time in the basement during this campaign,
[39:23.000 --> 39:31.000]  who didn't recuse herself as Secretary of State, so she overlooked her own election and the fraud there.
[39:31.000 --> 39:38.000]  I really think that Kerry Lake has a significant constitutional legal issue, which is the disenfranchisement
[39:38.000 --> 39:41.000]  of all those people who tried to vote in the morning.
[39:41.000 --> 39:47.000]  What we cannot give up on election integrity, we cannot give up on the fight for honest elections.
[39:47.000 --> 39:52.000]  In fact, it must be the centerpiece of Trump's campaign if he is going to succeed.
[39:52.000 --> 39:56.000]  Well, you're right, Roger. I mean, this is classic foxes watching the hen house,
[39:56.000 --> 40:02.000]  and only key Republican districts have the machines fail and turn off, only Republican districts are given,
[40:02.000 --> 40:07.000]  basically fake ballots that don't work, only Republican districts all over the country in key battlegrounds are given,
[40:07.000 --> 40:10.000]  black sharpies which the machines don't then read.
[40:10.000 --> 40:17.000]  I mean, they are openly engaged in racketeering fraud with the same scams in these key battlegrounds as two years ago,
[40:17.000 --> 40:22.000]  and if we don't have some mechanism to stop them, they're going to keep doing it forever,
[40:22.000 --> 40:27.000]  and now the Democratic Party is calling all their political opposition terrorists and white supremacists,
[40:27.000 --> 40:32.000]  and the ADL coming up next hour is giving an award to Pfizer and saying, basically,
[40:32.000 --> 40:37.000]  censor and shut down anybody that doesn't want to take injections, experimental injections.
[40:37.000 --> 40:40.000]  So you're now anti-Semitic if you want control over your body.
[40:40.000 --> 40:42.000]  I mean, this is getting ridiculous.
[40:42.000 --> 40:49.000]  Meanwhile, it really disturbs me to see Elon Musk, who, based on everything I see, I really like.
[40:49.000 --> 40:54.000]  Why is he meeting with the ADL in order to come up with a definition of hate speech?
[40:54.000 --> 40:56.000]  This is really simple.
[40:56.000 --> 40:59.000]  Anything that the ADL disagrees with, they call hate speech.
[40:59.000 --> 41:01.000]  That's not free expression.
[41:01.000 --> 41:03.000]  That's not free speech.
[41:03.000 --> 41:05.000]  Why would you even meet with these people?
[41:05.000 --> 41:08.000]  They're the ones who want to limit everyone's free expression.
[41:08.000 --> 41:14.000]  So Twitter remains the sewer that it is, the toilet that it is.
[41:14.000 --> 41:21.000]  I'm really praying that Elon Musk will clean it up, will allow people like you and I and President Trump
[41:21.000 --> 41:26.000]  and so many others to return to that platform, but I'm not betting on it, to be honest with you.
[41:26.000 --> 41:30.000]  I'm going back to Parler, which I must tell you, I'm liking much better.
[41:30.000 --> 41:35.000]  I'm finding traction again on Parler that was missing.
[41:35.000 --> 41:38.000]  So I'm still working the alternatives.
[41:38.000 --> 41:44.000]  Telegram, true social, of course, getter to a certain extent.
[41:44.000 --> 41:50.000]  I still want my voice out there, but I'm not clear on what Elon Musk is doing,
[41:50.000 --> 41:55.000]  but transparency and we're getting back our voice to demand free, fair elections
[41:55.000 --> 41:58.000]  is an absolute important element of this whole fight.
[41:58.000 --> 41:59.000]  Absolutely.
[41:59.000 --> 42:04.000]  It's key for us to stop obsessing over Twitter and Facebook and Instagram and getting back on there.
[42:04.000 --> 42:08.000]  If you go to infowars.com, every article under the main image or main video
[42:08.000 --> 42:11.000]  has all the different ways you can post.
[42:11.000 --> 42:15.000]  Sure, post if you've got Facebook or Twitter, but use Telegram,
[42:15.000 --> 42:19.000]  use Rumble, use Getter, use Gab, use email, use Twitch,
[42:19.000 --> 42:22.000]  use some of the other great sites that are out there.
[42:22.000 --> 42:28.000]  Rumble is really kicking ass and those things are all growing to the globalist chagrin.
[42:28.000 --> 42:31.000]  They are not able to stop us when we build our own infrastructures.
[42:31.000 --> 42:35.000]  That's why they hate Gateway Pundit. That's why they hate infowars.com.
[42:35.000 --> 42:36.000]  That's why they hate our platform.
