[00:00:01.050 --> 00:00:03.591]  The Information War continues.
[01:36:53.589 --> 01:36:55.209]  No, no, no, no, no.
[01:36:55.209 --> 01:36:59.870]  We have Zionist documents where they wanted Jews to be persecuted.
[01:36:59.870 --> 01:37:03.751]  Because then that makes them run more into the Zionist camp.
[01:37:03.751 --> 01:37:04.531]  You're helping them.
[01:37:04.531 --> 01:37:04.891]  Good job.
[01:37:06.076 --> 01:37:06.817]  Same thing.
[01:37:06.817 --> 01:37:17.023]  Black leaders want blacks to be dumbed down on these reservations, these plantations of inner cities, where they're more easily controlled.
[01:37:17.023 --> 01:37:18.884]  It's the same story.
[01:37:18.884 --> 01:37:20.606]  It's the same thing.
[01:37:20.606 --> 01:37:22.026]  Over and over again.
[01:37:22.026 --> 01:37:23.267]  Cops!
[01:37:23.267 --> 01:37:26.950]  They train the cops how to act like thugs, how to be mean to us, how to abuse us.
[01:37:26.950 --> 01:37:28.771]  Suddenly we stop liking the cops.
[01:37:28.771 --> 01:37:32.053]  I mean, used to cops couldn't fight off the coffee and an apple pie.
[01:37:32.702 --> 01:37:33.642]  Cops were nice.
[01:37:33.642 --> 01:37:34.743]  Cops were honored.
[01:37:34.743 --> 01:37:36.524]  Cops were respected.
[01:37:36.524 --> 01:37:38.245]  But they were trained how we're the enemy.
[01:37:38.245 --> 01:37:39.205]  Thin blue line.
[01:37:39.205 --> 01:37:40.326]  Be against the people.
[01:37:40.326 --> 01:37:44.188]  And now the people don't like the cops.
[01:37:44.188 --> 01:37:47.209]  And so then the feds come and say, see they don't like you.
[01:37:47.209 --> 01:37:49.610]  You've got to even be more with us.
[01:37:49.610 --> 01:37:51.071]  And so they go to the feds.
[01:37:51.071 --> 01:37:53.232]  Okay, we'll get even more radical.
[01:37:53.232 --> 01:37:57.314]  Which then makes it even worse.
[01:37:57.314 --> 01:38:00.435]  It's the same thing over and over again.
[01:38:00.435 --> 01:38:01.856]  It's evil people.
[01:38:03.664 --> 01:38:13.967]  And so when you attack evil groups and then give them one of the labels they want you to give them, that helps them because then it gets the general public to support them.
[01:38:14.813 --> 01:38:30.742]  Because the general public goes, well, I'm Hispanic and I'm not bad, or I'm black and I'm not bad, or I'm Jewish and I'm not bad, or I'm a white Christian Protestant and I'm not bad, and I'm tired of the liberal media attacking me, and they go, oh, here's Rush Limbaugh, he's fighting for me.
[01:38:30.742 --> 01:38:35.165]  They even give you the phony alternative and you go run into that.
[01:38:35.165 --> 01:38:38.927]  And then it's the same thing.
[01:38:38.927 --> 01:38:40.388]  We've just got to get past all this.
[01:38:42.188 --> 01:38:43.891]  And, uh, people fixate on it.
[01:38:43.891 --> 01:38:46.375]  It feels very good to be tribal.
[01:38:46.375 --> 01:38:55.892]  Matcha and La Raza, you know, especially Matcha says, kill all the white people, run them out, and they're getting a lot of members, and you notice that the white bankers are funding them.
[01:38:57.257 --> 01:39:00.079]  And I can deprogram a MECHA member unless they're an evil controller.
[01:39:00.079 --> 01:39:02.060]  I just go, well, okay, here's your own funding.
[01:39:02.060 --> 01:39:04.541]  Why are all these guys you say are bad funding you?
[01:39:04.541 --> 01:39:06.943]  No, you're working for them to break this country down, don't you?
[01:39:06.943 --> 01:39:08.324]  And they go, oh, oh, I see.
[01:39:08.324 --> 01:39:09.544]  I'm like, yes.
[01:39:09.544 --> 01:39:11.946]  Because, see, I go around the paradigm.
[01:39:11.946 --> 01:39:18.269]  I'm outside the box.
[01:39:18.269 --> 01:39:21.111]  So it feels really good to be in your own little good old boy clubs.
[01:39:22.000 --> 01:39:34.409]  Whether you're a Jewish group that doesn't like anybody but Jews, or whether you're a black group that doesn't like anybody but blacks, or you're an Anglo-Saxon WASP group that doesn't like anybody but whites, you're all controlled.
[01:39:34.409 --> 01:39:43.175]  You're bosses, bosses, bosses, all meet in a room that looks like the color of the rainbow, and they're not thinking about color, folks.
[01:39:43.175 --> 01:39:44.316]  They're thinking about blood.
[01:39:44.316 --> 01:39:45.697]  They're thinking about power.
[01:39:45.697 --> 01:39:47.118]  They're thinking about destruction.
[01:39:49.401 --> 01:39:50.621]  All right, that's enough.
[01:39:50.621 --> 01:39:54.822]  Steve in Kansas City, what else do you have to say?
[01:39:54.822 --> 01:39:55.502]  Oh, Steve's gone.
[01:39:55.502 --> 01:39:56.162]  I told him to hold on.
[01:39:56.162 --> 01:39:57.382]  I was letting him comment.
[01:39:57.382 --> 01:39:58.323]  Tim in Ohio.
[01:39:58.323 --> 01:39:59.023]  Tim, go ahead.
[01:39:59.023 --> 01:40:00.483]  Good afternoon, Alex.
[01:40:00.483 --> 01:40:00.903]  Hello.
[01:40:00.903 --> 01:40:05.944]  This is reminding me of what you said in the past, where rat poison is what?
[01:40:05.944 --> 01:40:08.525]  98% grain.
[01:40:08.525 --> 01:40:08.725]  Right?
[01:40:08.725 --> 01:40:13.865]  And it's the 2% that's within the rat poison, which is what kills off the good.
[01:40:13.865 --> 01:40:15.346]  That's it.
[01:40:15.346 --> 01:40:16.366]  And one thing that
[01:40:17.335 --> 01:40:26.204]  You have to look at it, as far as the big picture, America was the country that was attacked in 9-1-1, yet these control grid systems are going in worldwide.
[01:40:26.204 --> 01:40:31.309]  And it's the exact same companies and the exact same digital identifiers?
[01:40:31.309 --> 01:40:33.190]  It's a world idea and it's admitted!
[01:40:33.190 --> 01:40:33.531]  Right.
[01:40:33.531 --> 01:40:36.894]  Another thing that's interesting, I know you were talking before about the Vatican.
[01:40:36.894 --> 01:40:41.859]  Wasn't it the Pope who in the past would coronate the kings and the queens, to actually put the
[01:40:42.597 --> 01:40:47.878]  Yeah, until Martin Luther and they broke off with Henry VIII.
[01:40:47.878 --> 01:40:49.359]  Two more quick things if you could.
[01:40:49.359 --> 01:40:52.199]  Shoot me your zip code and your suite address real quick.
[01:40:52.199 --> 01:40:54.500]  I missed that for the tapes.
[01:40:54.500 --> 01:40:56.640]  It's 3001.
[01:40:56.640 --> 01:40:57.000]  Got that.
[01:40:57.000 --> 01:40:59.061]  I just need a zip code and a suite number.
[01:40:59.061 --> 01:40:59.341]  Okay.
[01:40:59.341 --> 01:41:00.501]  3001 South Lamar, suite 100.
[01:41:03.863 --> 01:41:06.183]  Austin, Texas, 78704.
[01:41:06.183 --> 01:41:07.824]  78704.
[01:41:07.824 --> 01:41:08.544]  Thank you.
[01:41:08.544 --> 01:41:17.565]  And one more thing, if you could talk quickly on a remedy and recourse as far as the UCC 1-207 and 1-203, and can that really help people?
[01:41:17.565 --> 01:41:19.246]  You know, all that stuff's real.
[01:41:19.246 --> 01:41:26.187]  The globalists put back doors in all their admiralty courts, but they don't accept it when you or I do it.
[01:41:26.187 --> 01:41:28.167]  It's totally criminal.
[01:41:28.167 --> 01:41:30.108]  And we got a government that says they're above the law.
[01:41:30.108 --> 01:41:32.408]  I mean, it's just reached pure tyranny.
[01:41:34.970 --> 01:41:40.976]  So, really, it's all an information war now.
[01:41:40.976 --> 01:41:43.358]  It's about waking up as many people as quickly as possible.
[01:41:46.440 --> 01:41:53.587]  Hey folks, Alex Jones here, and I'm very excited to announce the release of my bombshell documentary film, 9-1-1, The Road to Tyranny, on DVD.
[01:41:53.587 --> 01:41:55.169]  That's right folks, DVD.
[01:41:55.169 --> 01:41:57.511]  The original film is 144 minutes long.
[01:41:57.511 --> 01:41:59.894]  The DVD version is 170 minutes.
[01:41:59.894 --> 01:42:05.179]  If you want to wake up your friends and families to the truth of what happened on September 11th, this is the film for you.
[01:42:05.179 --> 01:42:09.203]  The Road to Tyranny is already sending shockwaves through Washington and across the United States.
[01:42:09.443 --> 01:42:11.285]  You absolutely must see this DVD.
[01:42:11.285 --> 01:42:22.094]  It covers the history of government-sponsored terrorism, the police state and homeland security, the nightmare UN population control programs, the cashless society control grid, satellite tracking and plentiful microchips, and much, much more.
[01:42:22.094 --> 01:42:24.195]  Bottom line, this film is waking people up.
[01:42:24.195 --> 01:42:26.237]  Order your copy on VHS or DVD today.
[01:42:26.257 --> 01:42:27.077]  We're good to go.
[01:42:45.845 --> 01:42:51.230]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[01:42:51.230 --> 01:42:59.559]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere, which are then readily absorbed into the body.
[01:42:59.559 --> 01:43:06.626]  Medical course potassium iodate gives you virtually complete protection from the most feared consequence of a nuclear accident.
[01:43:07.567 --> 01:43:14.251]  Potassium iodate can protect against radioactive poisoning by filling the thyroid with good iodine.
[01:43:14.251 --> 01:43:19.455]  This shields the thyroid and prevents it from absorbing the harmful radioactive iodine.
[01:43:19.455 --> 01:43:28.601]  Potassium iodate is better than the iodide form because it is not as likely to cause upset stomachs in children, the elderly, the sick, and pets.
[01:43:28.601 --> 01:43:31.904]  Order the official potassium iodate for only $24 and save $5.
[01:43:33.985 --> 01:43:38.847]  By calling New Millennium at 888-803-4438.
[01:43:38.847 --> 01:43:41.507]  Call now and get free shipping.
[01:43:41.507 --> 01:43:43.608]  That's 888-803-4438.
[01:43:43.608 --> 01:43:52.971]  Herbal Healer Academy is the global supplier of the finest natural medicine that you may need in these troubled times.
[01:43:52.971 --> 01:43:55.412]  We specialize in keeping you alive and healthy.
[01:43:55.412 --> 01:44:01.754]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract,
[01:44:02.094 --> 01:44:02.755]  We're good to go!
[01:44:24.711 --> 01:44:26.955]  Simply log on to HerbalHealer.com.
[01:44:26.955 --> 01:44:31.641]  Check out our online member testimonials and our hundreds of exceptional products.
[01:44:31.641 --> 01:44:34.886]  We have been working hard since 1988 to save the remnant.
[01:44:34.886 --> 01:44:40.755]  That's HerbalHealer.com, your website for safe, effective, natural alternatives in education.
[01:44:46.244 --> 01:44:49.487]  All right, I've got to move quick here.
[01:44:49.487 --> 01:44:53.249]  Steven, Kansas City is there.
[01:44:53.249 --> 01:44:55.371]  Steven, did that answer your question earlier?
[01:44:55.371 --> 01:44:59.014]  I mean, yeah, you are exactly right, Mr. Jones.
[01:44:59.014 --> 01:45:00.535]  I mean, I care about everybody.
[01:45:00.535 --> 01:45:08.241]  I mean, I don't want to pain anybody as bad just because, you know, a few bad apples that are out there.
[01:45:08.241 --> 01:45:12.804]  I just wanted to bring, you know, what I know.
[01:45:12.804 --> 01:45:14.706]  Because I have, you know, six-year tapes.
[01:45:15.427 --> 01:45:18.548]  Seven of your tapes, and I'll have the rest of them by the end of the year.
[01:45:18.548 --> 01:45:20.028]  Oh, I wasn't criticizing you!
[01:45:20.028 --> 01:45:22.809]  I said, call in, bring this up, we need to talk about it.
[01:45:22.809 --> 01:45:38.494]  Well, I mean, it's just, I mean, you know, people, I mean, as you say, when you start looking, when you start listening to your show, or, you know, the alternative media like this, you're going to find out things that, I mean, I just didn't buy your tapes, you know, with blind faith.
[01:45:38.494 --> 01:45:45.176]  I looked you up, I found out, and, I mean, you know, what you were saying was, you know, documented and true.
[01:45:45.928 --> 01:45:48.750]  So I bought your tapes, and I watched them.
[01:45:48.750 --> 01:45:51.112]  I documented that, and it's true.
[01:45:51.112 --> 01:45:57.117]  And then, you know, once you start building this big wheel, I mean, it starts rolling.
[01:45:57.117 --> 01:45:59.239]  I mean, I can't stop.
[01:45:59.239 --> 01:46:03.162]  I mean, I'm always looking for more.
[01:46:03.162 --> 01:46:07.585]  And I give it to people, and believe me, I've lost friends.
[01:46:07.585 --> 01:46:09.747]  And, I mean, people, they don't care.
[01:46:09.747 --> 01:46:12.069]  They want to live their lives.
[01:46:12.069 --> 01:46:13.370]  That's fine.
[01:46:13.370 --> 01:46:14.431]  But, I mean, I don't want to
[01:46:14.986 --> 01:46:20.028]  You know, disparage any race or group.
[01:46:20.028 --> 01:46:21.849]  My whole point wasn't even about you.
[01:46:21.849 --> 01:46:23.749]  I was saying... Well, no, I know it was.
[01:46:23.749 --> 01:46:33.373]  I was saying that everybody sees evil in everything because every major organization has been taken over by this global crime syndicate.
[01:46:33.373 --> 01:46:34.013]  Thanks for the call.
[01:46:34.013 --> 01:46:36.694]  And I appreciate your support, Steve.
[01:46:36.694 --> 01:46:40.255]  Real fast, Chris in Kentucky and then Ed in Louisiana.
[01:46:40.255 --> 01:46:41.316]  Go ahead, Chris.
[01:46:44.821 --> 01:46:48.623]  Alright, well I'll tell you what, since I got the call scrambled here at the end, I'm not going to take any more.
[01:46:48.623 --> 01:46:51.624]  I'm sorry.
[01:46:51.624 --> 01:46:52.845]  I'm down here in Austin, Texas.
[01:46:52.845 --> 01:46:56.907]  They're up in Minnesota and sometimes it gets confused in between.
[01:46:56.907 --> 01:46:57.627]  You know what?
[01:46:57.627 --> 01:47:04.530]  I'm just not going to take any more calls because I want to hit on a couple of final little news articles right here at the end.
[01:47:04.530 --> 01:47:10.453]  Bush has signed a bill, talked about this in the first hour, that may let Schiavo live.
[01:47:10.453 --> 01:47:11.473]  That's good news.
[01:47:11.473 --> 01:47:12.974]  It goes to a federal judge now.
[01:47:15.171 --> 01:47:19.795]  And she's now been three days off of food and water.
[01:47:19.795 --> 01:47:30.704]  But it's just like when John Gotti, the mob boss, would buy pizza for everybody, you know, once a year on the block, and they'd say, oh, Mr. Gotti's so nice, he's so good for our neighborhood.
[01:47:30.704 --> 01:47:32.946]  It's the same thing.
[01:47:32.946 --> 01:47:37.931]  Bush is forced by us to do this, and then we talk about how good he is.
[01:47:37.931 --> 01:47:41.734]  We need to be aware of what the caller mentioned, the rat poison situation.
[01:47:43.837 --> 01:47:48.962]  Russian intelligence chief says Al-Qaeda a myth on the pretext of fighting international terrorism.
[01:47:48.962 --> 01:47:53.306]  The United States is trying to establish control over the world's richest oil reserves.
[01:47:53.306 --> 01:48:08.580]  Leonid Shcherabashin, ex-chief of foreign intelligence services, who heads the Russian Naval Economic Security Service consulting company, said in an interview for a major newspaper in Moscow, using the anti-terrorist cause as a cover
[01:48:09.286 --> 01:48:19.610]  For the United States to occupy Afghanistan and Iraq, and will soon move to impose their democratic order on the greater Middle East.
[01:48:19.610 --> 01:48:22.852]  But Russia is all part of this too, again.
[01:48:22.852 --> 01:48:23.492]  Staged event.
[01:48:24.088 --> 01:48:28.612]  Bush administration protecting Bill Clinton as usual, this out of the Associated Press.
[01:48:28.612 --> 01:48:43.805]  The Bush administration blacked out almost all the information and hundreds of documents before releasing them to conservative organization looking into President Clinton's controversial pardons four years ago on his last day in office of convicted cocaine dealers.
[01:48:43.805 --> 01:48:47.548]  And George Bush has done nothing but protect Bill Clinton since.
[01:48:47.548 --> 01:48:50.210]  Oh yeah, they're cocaine dealers together, he better protect them.
[01:48:51.221 --> 01:48:54.442]  Guantanamo abuse tapes as explosive as Abu Ghraib.
[01:48:54.442 --> 01:48:56.843]  This out of the London Guardian.
[01:48:56.843 --> 01:49:01.405]  And it shows torture and other things we can't mention.
[01:49:01.405 --> 01:49:06.247]  I would say far worse than what happened at Abu Ghraib.
[01:49:06.247 --> 01:49:09.969]  At least what we were shown from Abu Ghraib.
[01:49:09.969 --> 01:49:13.310]  Alright, back tonight, 9 to midnight Central.
[01:49:13.310 --> 01:49:15.571]  Back tomorrow, ladies and gentlemen, 11 to 2 Central.
[01:49:18.394 --> 01:49:22.818]  And the new film, Marshall Law, 9-1-1, Rise of the Police State, is out.
[01:49:22.818 --> 01:49:28.583]  Go to my website and order a hard copy or go to prisonplanet.tv and watch one online.
[01:49:28.583 --> 01:49:31.225]  Or you can give me a call.
[01:49:31.225 --> 01:49:32.006]  God bless.
[01:49:32.006 --> 01:49:32.346]  Take care.
