[00:00:11.035 --> 00:00:13.196]  Welcome to your life.
[00:25:30.929 --> 00:25:37.213]  Foreign mega-banks openly taking over our government and having it sign away all of our rights through illegal treaties.
[00:25:37.213 --> 00:25:40.896]  The UN treaty saying they want to restrict all ownership of private firearms.
[00:25:40.896 --> 00:25:43.417]  The treaty goes into effect the 24th worldwide.
[00:25:43.417 --> 00:25:45.919]  Obama says he will back it with executive orders.
[00:25:45.919 --> 00:25:47.200]  Sensational!
[00:25:49.093 --> 00:25:52.074]  Cancer viruses openly in most of the vaccines.
[00:25:52.074 --> 00:25:53.175]  Sensational.
[00:25:53.175 --> 00:25:57.196]  UN caught sterilizing women in India and Africa this week.
[00:25:57.196 --> 00:25:57.977]  Mainstream news.
[00:25:57.977 --> 00:25:58.917]  London Guardian.
[00:25:58.917 --> 00:26:00.558]  Sensational.
[00:26:00.558 --> 00:26:02.298]  Cell phone study.
[00:26:02.298 --> 00:26:05.099]  Brain tumors triple with the use of cell phones.
[00:26:05.099 --> 00:26:06.160]  Mainline study.
[00:26:06.160 --> 00:26:07.981]  Sensational.
[00:26:07.981 --> 00:26:09.381]  Sensational.
[00:26:09.381 --> 00:26:10.482]  Sensational.
[00:26:10.482 --> 00:26:11.622]  Washington Times.
[00:26:11.622 --> 00:26:15.624]  Four Turkish terrorists caught in Texas after being smuggled across border.
[00:26:15.624 --> 00:26:16.304]  Sensational.
[00:26:17.455 --> 00:26:23.099]  Comets probe solar panels caught in Cliff's shadow not getting enough light.
[00:26:23.099 --> 00:26:24.741]  Sensational.
[00:26:24.741 --> 00:26:28.383]  Amazon's looking for ex-military personnel to fly delivery drones.
[00:26:28.383 --> 00:26:29.925]  Sensational.
[00:26:29.925 --> 00:26:33.287]  Feminists demand censorship of Princess Leia.
[00:26:33.287 --> 00:26:35.069]  Cat calling parody video.
[00:26:35.069 --> 00:26:39.352]  Sensational.
[00:26:39.352 --> 00:26:43.715]  Republicans pressure bills to block Obama's unilateral immigration order.
[00:26:43.715 --> 00:26:44.436]  Sensational.
[00:26:48.231 --> 00:26:55.536]  Arctic Vortex, leading physics professor, Michiku... how do you pronounce that?
[00:26:55.536 --> 00:27:01.639]  I hear his name on the news all the time, but A-K-A-K-U... Mikaku, yeah, we always try to get him on.
[00:27:01.639 --> 00:27:11.405]  The University of New York has signaled a warning concerning the polar vortex, now bringing extreme cold weather to the majority of states in the U.S.
[00:27:11.405 --> 00:27:15.448]  Superstorm Nuri packs more energy than Hurricane Sandy.
[00:27:16.653 --> 00:27:19.476]  He's headed our way, and we are in the bullseye.
[00:27:19.476 --> 00:27:24.220]  This weekend, it's going to plow into Alaska, creating 50-foot waves.
[00:27:24.220 --> 00:27:27.043]  Then by midweek, all hell breaks loose.
[00:27:27.043 --> 00:27:33.068]  It's going to combine with jet stream, pushing Arctic air perhaps as low as Florida.
[00:27:33.068 --> 00:27:34.350]  He writes for CBS News.
[00:27:35.583 --> 00:27:39.327]  In a worst case scenario, it could mean a deep freeze.
[00:27:39.327 --> 00:27:41.910]  It means airlines cancelling flights left and right.
[00:27:41.910 --> 00:27:43.952]  It means transportation being disrupted.
[00:27:43.952 --> 00:27:49.958]  We're talking disruption that will peak between November 13th and November 15th.
[00:27:49.958 --> 00:27:51.419]  Starting right now.
[00:27:51.419 --> 00:27:54.082]  But will ripple throughout the rest of November.
[00:27:54.082 --> 00:27:54.803]  Akaku added.
[00:27:56.516 --> 00:28:02.300]  Telling viewers to get used to polar vortexes because the Earth is changing and we're going to see more violent swings.
[00:28:02.300 --> 00:28:09.566]  Well, yeah, you got all this secret geoengineering going on with the Department of Energy and other governments.
[00:28:09.566 --> 00:28:15.971]  You've got this guy that pushes global warming and see now they're like, oh, pay carbon taxes because these things are getting violent.
[00:28:15.971 --> 00:28:19.373]  There's always been giant blue northers coming in.
[00:28:19.373 --> 00:28:22.276]  They just call them now mega vortexes.
[00:28:23.558 --> 00:28:26.600]  There's always been ten feet of snow sometimes, six feet of snow.
[00:28:26.600 --> 00:28:27.801]  There's always been avalanches.
[00:28:27.801 --> 00:28:33.846]  I mean, what do you think explorers did that went across the United States, like Lewis and Clark?
[00:28:33.846 --> 00:28:37.149]  What do you think explorers went up to Alaska did, going over those mountains?
[00:28:37.149 --> 00:28:45.576]  I mean, what do you think we live in here?
[00:28:45.576 --> 00:28:48.938]  But, like, we've never discovered anything.
[00:28:48.938 --> 00:28:52.141]  Oh my gosh, sometimes it gets really cold and that proves global warming!
[00:28:53.120 --> 00:28:54.420]  No!
[00:28:54.420 --> 00:28:55.681]  The sun!
[00:28:55.681 --> 00:29:01.062]  That's why the UN five years ago had a vote and said, we vote that the sun does not affect climate.
[00:29:01.062 --> 00:29:07.983]  We'd be absolute zero without the sun in a matter of hours.
[00:29:07.983 --> 00:29:16.645]  If the sun wasn't shining within a day or so, physicists estimate that it would be absolute zero, except in deeper volcanic fissures.
[00:29:17.972 --> 00:29:19.173]  It is the sun.
[00:29:19.173 --> 00:29:23.095]  And I know people think that's a conspiracy because that's because they've been so brainwashed.
[00:29:23.095 --> 00:29:27.397]  That they don't know the sun actually gives the Earth life.
[00:29:27.397 --> 00:29:30.278]  The plants, photosynthesis, everything.
[00:29:30.278 --> 00:29:32.579]  I know Al Gore says it doesn't.
[00:29:32.579 --> 00:29:37.242]  But it's what, it's why the polar ice caps on Mars were getting smaller.
[00:29:37.242 --> 00:29:39.643]  Now the sun has cooled down, they're getting bigger again.
[00:29:40.936 --> 00:29:44.041]  Because that's what happens, the sun!
[00:29:44.041 --> 00:29:47.186]  In the summer it's hot, in the winter it's cold because of the sun.
[00:29:47.186 --> 00:29:49.309]  We're not tilted towards it.
[00:29:49.309 --> 00:29:51.713]  We're on the march, the empire's on the run.
[00:29:51.713 --> 00:29:52.594]  I know that's radical.
[00:29:52.594 --> 00:29:53.255]  I know it's extreme.
[00:29:53.255 --> 00:29:55.940]  Alex Jones and the GCN Radio Network.
[00:30:00.171 --> 00:30:09.837]  Using unparalleled research in the development of a synergistic formulation based around the key concepts of super oxygenation, the next level in cleansing is here!
[00:30:09.837 --> 00:30:19.762]  With key ingredients backed by real clinical studies, the new Oxy Powder, available through InfoWars Life, was invented during Dr. Group's research on the toxification of our bodies.
[00:30:19.762 --> 00:30:22.684]  Many herbal colon cleansers are harsh on the body,
[00:30:22.884 --> 00:30:23.504]  I think so.
[00:30:45.589 --> 00:30:50.790]  Experience the astonishing cleansing power of superoxide and ozonide technology.
[00:30:50.790 --> 00:30:57.812]  Go to InfoWarsLife.com or InfoWarsStore.com to get started with OxyPowder or call 1-888-253-3139.
[00:30:57.812 --> 00:31:10.395]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula.
[00:31:10.775 --> 00:31:17.223]  Supermail Vitality by InfoWarsLife is so powerful that I only take half the recommended dose.
[00:31:17.223 --> 00:31:19.466]  I jump out of bed ready to fight these criminals every day.
[00:31:19.466 --> 00:31:22.670]  I look forward to waking up and taking my Supermail Vitality.
[00:31:22.670 --> 00:31:29.538]  Visit InfoWarsLife.com today to secure your Supermail Vitality and other powerful products from InfoWarsLife.
[00:31:30.089 --> 00:31:33.730]  The government's Department of Homeland Security is buying up loads of ammo.
[00:31:33.730 --> 00:31:38.012]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:31:38.012 --> 00:31:39.792]  Can you put two and two together?
[00:31:39.792 --> 00:31:47.655]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:31:47.655 --> 00:31:48.795]  But for how long?
[00:31:48.795 --> 00:31:55.437]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:31:55.437 --> 00:31:58.258]  Infidel Body Armor just won't quit.
[00:31:59.741 --> 00:32:01.062]  The experts are clear.
[00:32:01.062 --> 00:32:08.168]  Sunlight, purified water, healthy non-GMO food, and having a good attitude is essential to a healthy immune system.
[00:32:08.168 --> 00:32:14.454]  But I go further with Super Nascent Iodine X2 from Infowarsline.com.
[00:32:14.454 --> 00:32:18.037]  50% stronger than our original and revolutionary Nascent Iodine formula.
[00:32:18.177 --> 00:32:22.379]  Coming from a deep earth crystal source that no other supplier has.
[00:32:22.379 --> 00:32:27.701]  Most other forms of iodine come from seaweed in areas plagued by Fukushima and other contaminants.
[00:32:27.701 --> 00:32:28.722]  Not our iodine.
[00:32:28.722 --> 00:32:32.523]  It comes from over 200 million year old crystal salt deposits.
[00:32:32.523 --> 00:32:35.064]  And is tested and proven to be completely pure.
[00:32:35.064 --> 00:32:37.105]  Visit Infowarslife.com today.
[00:32:37.105 --> 00:32:38.666]  See the informational videos.
[00:32:38.666 --> 00:32:40.647]  Read the information there compiled.
[00:32:40.647 --> 00:32:45.449]  And for a limited time, when you use promo code NOW at checkout, you get an additional
[00:32:46.309 --> 00:32:49.970]  5% off the entire family of InfoWarsLife.com products.
[00:32:49.970 --> 00:32:55.732]  Secure your Survival Shield X2 today at InfoWarsLife.com or call toll free 888-253-3139.
[00:32:55.732 --> 00:32:56.592]  Another world.
[00:32:56.592 --> 00:32:57.213]  Another time.
[00:32:57.213 --> 00:32:57.933]  In the age of wonder.
[00:33:18.643 --> 00:33:22.585]  Yargo, Ignite Engines, Earthbase Delta, Resistance, operations are live.
[00:33:48.647 --> 00:34:06.041]  This is an emergency worldwide transmission to all people that wish the human species to be able to continue on and not be irrevocably butchered and destroyed and mutilated by the globalists in their mad dash to play God and take over the planet.
[00:34:06.041 --> 00:34:10.844]  We are broadcasting worldwide on this Thursday transmission.
[00:34:10.844 --> 00:34:11.985]  It is the 13th of November 2014.
[00:34:11.985 --> 00:34:13.006]  I am your host Alex Jones.
[00:34:18.220 --> 00:34:20.141]  I want to open the phones.
[00:34:20.141 --> 00:34:24.464]  Dr. Group will be in studio with us in the next hour to get into a host of news.
[00:34:24.464 --> 00:34:27.666]  He's got a big list of things he wants to get into.
[00:34:27.666 --> 00:34:32.969]  But maybe I'll even get him to tell us about some of the secret Army special operations inside North Korea.
[00:34:32.969 --> 00:34:38.272]  He started telling us a little bit about that the other day, but wouldn't tell us too much.
[00:34:38.272 --> 00:34:39.352]  Maybe he'll get into some of that.
[00:34:39.352 --> 00:34:40.773]  Interesting stories.
[00:34:40.773 --> 00:34:42.894]  But Dr. Edward Group's going to be in studio.
[00:34:42.894 --> 00:34:44.575]  We'll have open phones for him as well.
[00:34:46.032 --> 00:34:49.274]  Remember the secret sauce the last six months I've been taking every day on air?
[00:34:49.274 --> 00:34:58.621]  Well, we're going to announce what the secret sauce is today at the start of the second segment.
[00:34:58.621 --> 00:35:00.102]  That is coming up today.
[00:35:00.102 --> 00:35:07.828]  It has taken us a long time to get it developed, to get it certified, to get it all double tested.
[00:35:07.828 --> 00:35:11.751]  And we have been able to do it.
[00:35:11.751 --> 00:35:15.554]  And from the research we've done, it is unique and the best out there.
[00:35:17.373 --> 00:35:19.114]  And it will be a game changer.
[00:35:19.114 --> 00:35:33.022]  That's why Infowarslife.com and the revolutionary supplement nutraceuticals that are there are big game changers and are turning a lot of heads in the entire supplement and nutraceutical community.
[00:35:33.022 --> 00:35:34.043]  So that's coming up.
[00:35:34.043 --> 00:35:39.186]  Speaking of that, we had sold out for about a week of the Oxy Powder that we have discounted with promo code NOW.
[00:35:39.186 --> 00:35:43.348]  We already have the lowest price on it, but you can promo code NOW.
[00:35:43.348 --> 00:35:44.069]  We're keeping that.
[00:35:45.649 --> 00:35:48.532]  For another week, and then it is going to end next week.
