[00:00.000 --> 00:04.440]  It's a good idea, but thanks to Inventek, no one's going to cash in but me.
[32:56.300 --> 32:59.300]  That's it? What sounds so easy and convenient?
[32:59.300 --> 33:07.300]  It is easy. Plus, the FDA says flaxseed works to prevent cancer and helps with menopause, weight loss, irritable bowel syndrome, and constipation.
[33:07.300 --> 33:09.300]  It helps with all of those elements? That's amazing.
[33:09.300 --> 33:15.300]  And the bentonite clay in MediClean's eliminates viruses and pesticides in the intestinal tract.
[33:15.300 --> 33:17.300]  Wow. Where can I buy MediClean's?
[33:17.300 --> 33:20.300]  A one-month supply is available online at www.mediClean's.com.
[33:20.300 --> 33:24.300]  That's M-E-T-A-C-L-E-A-N-S-E.com.
[33:24.300 --> 33:28.300]  For only $26.90, MediClean's is shipped directly to you.
[33:28.300 --> 33:31.300]  Or call 1-800-317-9547.
[33:31.300 --> 33:35.300]  That's 800-317-9547.
[33:35.300 --> 33:43.300]  And 180 were challenged by Travis to die
[33:43.300 --> 33:50.300]  by the line that he drew with his sword when the battle was nigh
[33:50.300 --> 33:58.300]  any man that would fight to the death cross over but him that would live better fly
[33:58.300 --> 34:06.300]  and over the line with 179.
[34:06.300 --> 34:11.300]  Hey, Sanny Anna, we're killing your soldiers below
[34:11.300 --> 34:24.300]  that men wherever they go will remember the Alamo.
[34:24.300 --> 34:31.300]  We lay dying but his powder was ready and dry
[34:31.300 --> 34:38.300]  glad on his back but we killed him a few and reply
[34:38.300 --> 34:46.300]  and young David Crockett was singing and laughing with gallantry fears in his eyes
[34:46.300 --> 34:53.300]  for God and for freedom a man more than willing to die.
[34:53.300 --> 34:59.300]  Hey, Sanny Anna, we're killing your soldiers below
[34:59.300 --> 35:11.300]  that men wherever they go will remember the Alamo.
[35:11.300 --> 35:19.300]  And then they sent a young scout from the battlements bloody and wild
[35:19.300 --> 35:26.300]  with the words of farewell from a garrison valiant and proud
[35:26.300 --> 35:34.300]  or even not little darling but dying if Texas is sovereign and free
[35:34.300 --> 35:42.300]  we'll never surrender and ever with liberty be.
[35:42.300 --> 35:47.300]  Hey, Sanny Anna, we're killing your soldiers below
[35:47.300 --> 36:01.300]  that men wherever they go will remember the Alamo.
[36:01.300 --> 36:06.300]  Sometimes you win by losing.
[36:06.300 --> 36:11.300]  There's more than one way to skin a cat, they say.
[36:11.300 --> 36:17.300]  Sometimes the tree of liberty needs to be watered by the blood of patriots
[36:17.300 --> 36:21.300]  and tyrants in the mainstream media, the globalists that want to destroy
[36:21.300 --> 36:24.300]  this country's sovereignty and everything they can to demonize
[36:24.300 --> 36:31.300]  the sacrifice made at the Alamo, but they failed miserably.
[36:31.300 --> 36:36.300]  And tomorrow I want to see everybody out there for a real Texas independence.
[36:36.300 --> 36:38.300]  I don't think there's been a Texas independence rally
[36:38.300 --> 36:41.300]  where they're actually talking about resistance against a foreign invader
[36:41.300 --> 36:43.300]  resistance against a tyranny.
[36:43.300 --> 36:48.300]  Never has Texas since its founding faced such a dire threat.
[36:48.300 --> 36:55.300]  Our entire infrastructure, water, power, roads is being handed over to
[36:55.300 --> 36:59.300]  foreign interest and that's because the global corporations hold dollars
[36:59.300 --> 37:03.300]  which are now near worthless and the politicians have been fully paid off
[37:03.300 --> 37:06.300]  and they're being told to allow the infrastructure to be transferred.
[37:06.300 --> 37:11.300]  We're not going into receivership but we're fighting it and we're having victories.
[37:11.300 --> 37:15.300]  And when the enemy has victories, frankly, it only wakes more people up
[37:15.300 --> 37:23.300]  and ensures our greater victory just like the battle of San Jacinta and Goliad.
[37:23.300 --> 37:27.300]  And of course we're all kicked off in Gonzalez.
[37:27.300 --> 37:29.300]  Come and take it, come and take our guns.
[37:29.300 --> 37:35.300]  That's what the corrupt Mexican officials were coming to do
[37:35.300 --> 37:38.300]  and they failed miserably.
[37:38.300 --> 37:42.300]  And so now the new oil order wants to bring down not just Texas but the entire country
[37:42.300 --> 37:44.300]  but Texas is the front line.
[37:44.300 --> 37:51.300]  Join us in Austin, Texas on Friday, March 2nd, tomorrow, 2007 at 1.30 p.m.
[37:51.300 --> 37:54.300]  March the capital to protest the trans-Texas corridor
[37:54.300 --> 37:58.300]  and the national animal identification system.
[37:58.300 --> 38:03.300]  Speakers and musical performances by Jimmy Vaughn
[38:03.300 --> 38:08.300]  meet at the corner of Cesar Chavez and first treat at Red River in Austin, Texas
[38:08.300 --> 38:11.300]  no later than 1.30 p.m. to march to the capital.
[38:11.300 --> 38:15.300]  Black, white, Hispanic, Asian, old, young, anyone who loves liberty
[38:15.300 --> 38:20.300]  and doesn't want the foreign, Spanish, German, Dutch, Australian companies
[38:20.300 --> 38:25.300]  getting our water, our coal plants, it's sick.
[38:25.300 --> 38:27.300]  We're totally being taken over.
[38:27.300 --> 38:28.300]  We're under attack.
[38:28.300 --> 38:30.300]  They're going after the ranches, the farms.
[38:30.300 --> 38:33.300]  The animal ID will shut down most farms and ranches.
[38:33.300 --> 38:34.300]  That's official.
[38:34.300 --> 38:35.300]  We're not kidding when we say that.
[38:35.300 --> 38:37.300]  That's a conservative estimate.
[38:37.300 --> 38:40.300]  It will devastate them.
[38:40.300 --> 38:44.300]  If you weren't planning to take off work tomorrow, I'm asking you to take off work
[38:44.300 --> 38:47.300]  and I'm asking you to call five people right now and tell them to take off work
[38:47.300 --> 38:50.300]  and to be down there.
[38:50.300 --> 38:51.300]  Don't lie to your boss.
[38:51.300 --> 38:52.300]  Say it's Texas independence.
[38:52.300 --> 38:53.300]  It's the toll roads.
[38:53.300 --> 38:54.300]  It's the map to Highway.
[38:54.300 --> 38:56.300]  We need to go to the protest.
[38:56.300 --> 39:02.300]  Cargill and some of the big meat packers last year for that staged illegal alien rally
[39:02.300 --> 39:06.300]  with 30 million people on the streets, which had turned out Rob Allen and Co.
[39:06.300 --> 39:09.300]  and the Bush administration with Fox had paid for.
[39:09.300 --> 39:12.300]  That was Dallas Morning News, by the way.
[39:12.300 --> 39:15.300]  Remember all the big factories and companies telling the illegals
[39:15.300 --> 39:17.300]  they could take off the day with pay?
[39:17.300 --> 39:24.300]  Well, to stand up for Texas, I bet your boss isn't going to give you pay.
[39:24.300 --> 39:32.300]  My crew is getting paid to go down there, but they'd be down there anyways.
[39:32.300 --> 39:35.300]  My crew here said, do we just take off and clock out?
[39:35.300 --> 39:38.300]  And I said, no, you just go down there, all of you.
[39:38.300 --> 39:41.300]  I think one of them's staying here because there's some computer tutorial they've got to do
[39:41.300 --> 39:44.300]  on some new bookkeeping system, but we're all going to be down there.
[39:44.300 --> 39:51.300]  I want to see everybody there and I want you to bring people down there.
[39:51.300 --> 39:55.300]  And I'd shoot for one o'clock the latest getting down there because then we're going to march it too
[39:55.300 --> 39:57.300]  and it's going to take a while to get that in order.
[39:57.300 --> 40:04.300]  Trucks and tractors and floats and my friend Matt pulled up in his truck yesterday at the office
[40:04.300 --> 40:14.300]  and he's got a big hanging gallows built in the back of the truck to hang an effigy of somebody on.
[40:14.300 --> 40:20.300]  Info wars painted down the side, that's going to be something else.
[40:20.300 --> 40:22.300]  I want to see you there, folks.
[40:22.300 --> 40:26.300]  All right, I said we go to your calls, we're going to do that right now.
[40:26.300 --> 40:31.300]  And later we'll get more into the huge controversy of WTC7 with the news, CNN, BBC,
[40:31.300 --> 40:35.300]  reporting it had collapsed before it did and why that's so important and how the ongoing cover-up
[40:35.300 --> 40:38.300]  has woken up more people in the story itself.
[40:38.300 --> 40:42.300]  We're working on getting Jesse trying to do with New Oklahoma City revelations in the third hour.
[40:42.300 --> 40:45.300]  We've got Ron Pauls, District Political Director,
[40:45.300 --> 40:50.300]  Penny Langford popping in for about 15 minutes at the start of the next hour.
[40:50.300 --> 40:52.300]  She'll be there at the rally tomorrow.
[40:52.300 --> 40:55.300]  Ed in LA, you're on the air.
[40:55.300 --> 41:00.300]  Hey, Alex, I've been a subscriber for about the last four years
[41:00.300 --> 41:07.300]  and I wanted to tell you that I was in the Czech Republic earlier this year, I just came back
[41:07.300 --> 41:15.300]  and you were like the biggest thing over there, bigger than the rock groups, bigger than Elvis.
[41:15.300 --> 41:20.300]  Right now, whenever I walk down the streets of Prague, which I visit quite often,
[41:20.300 --> 41:27.300]  I see big info ones dot com stickers or graffiti on the walls or bridges
[41:27.300 --> 41:34.300]  and it's unavoidable and basically you're just going to catch an iPhone if you're walking around there.
[41:34.300 --> 41:42.300]  Well, that's amazing. My wife has a good friend who, her father, when she was a little girl
[41:42.300 --> 41:47.300]  in the park controlled by the Soviets, one day he was a well-known artist.
[41:47.300 --> 41:51.300]  They just came to his house and said, no more of your art displays.
[41:51.300 --> 41:55.300]  You'll be arrested. It's Western art.
[41:55.300 --> 42:02.300]  And so he told his wife and children, oh, we're going to go to a vacation in, I believe they said Serbia,
