[00:00:09.864 --> 00:00:11.726]  Riding on the highway!
[01:39:39.550 --> 01:39:40.671]  I mean, you know what?
[01:39:40.671 --> 01:39:41.713]  You're not my god!
[01:39:41.713 --> 01:39:46.539]  A real god wants to build me up and give me promethean fire!
[01:39:46.539 --> 01:39:47.840]  Not control me!
[01:39:47.840 --> 01:39:49.122]  No, no, no!
[01:39:50.043 --> 01:39:51.525]  You are not God.
[01:39:51.525 --> 01:39:58.693]  You are fallen, degenerate scum standing in the way of the true creation that dominates you.
[01:39:58.693 --> 01:40:00.195]  They hate humanity.
[01:40:00.195 --> 01:40:01.316]  They hate honor.
[01:40:01.316 --> 01:40:02.357]  They hate beauty.
[01:40:02.357 --> 01:40:03.719]  They hate creativity.
[01:40:03.719 --> 01:40:07.022]  Because we are their God!
[01:40:07.022 --> 01:40:08.084]  You understand that?
[01:40:08.084 --> 01:40:10.627]  The elite cannot stand true humanity.
[01:40:11.789 --> 01:40:15.671]  They will go to hell before they capture anything!
[01:40:15.671 --> 01:40:16.912]  They're a joke!
[01:40:16.912 --> 01:40:21.375]  They're only there to provide us with the stress to make us go to the next level.
[01:40:21.375 --> 01:40:23.857]  Just get that straight through your heads, okay?
[01:40:23.857 --> 01:40:27.359]  They are fallen, they are failed, they are scum.
[01:40:27.359 --> 01:40:31.101]  So let them play their games, let them win for a season.
[01:40:31.101 --> 01:40:32.702]  We win for eternity.
[01:40:32.702 --> 01:40:33.683]  Praise Jesus Christ.
[01:40:34.503 --> 01:40:38.024]  I don't mean to be getting so hardcore today, but I prayed last night at like 10 o'clock at night.
[01:40:38.024 --> 01:40:41.446]  I said, God, just let me tell the truth.
[01:40:41.446 --> 01:40:43.847]  I am tired of backing down to these people.
[01:40:43.847 --> 01:40:46.608]  I'm tired of watching them have their way with humanity.
[01:40:46.608 --> 01:40:50.429]  Just turn me loose and turn humanity loose!
[01:40:50.429 --> 01:40:52.210]  Amy in Tennessee, you're on the air.
[01:40:52.210 --> 01:40:55.651]  Hi, Alex.
[01:40:55.651 --> 01:40:56.451]  Sorry.
[01:40:56.451 --> 01:41:02.914]  You are so passionate, and I am such a passionate person, and I am one of those Christians that are on fire for God, so my giggles
[01:41:03.698 --> 01:41:06.600]  My giggles are coming because you are awesome.
[01:41:06.600 --> 01:41:07.481]  And God bless you.
[01:41:07.481 --> 01:41:08.542]  No, you're a sweetheart, ma'am.
[01:41:08.542 --> 01:41:09.002]  I'm nobody.
[01:41:09.002 --> 01:41:10.003]  I'm just a man.
[01:41:10.003 --> 01:41:11.244]  Go ahead.
[01:41:11.244 --> 01:41:11.944]  I understand that.
[01:41:11.944 --> 01:41:14.586]  I pray for you, your safety, the safety of your family.
[01:41:14.586 --> 01:41:16.328]  And you just keep doing what you do.
[01:41:16.328 --> 01:41:18.329]  And if you gotta scream and yell, you scream and yell.
[01:41:18.329 --> 01:41:21.512]  And if you gotta stand up and jump up and down, then you stand up and jump up and down.
[01:41:21.512 --> 01:41:22.553]  You just keep doing what you do.
[01:41:22.553 --> 01:41:24.074]  I'm just trying to get folks out of their trance.
[01:41:25.247 --> 01:41:26.007]  I understand.
[01:41:26.007 --> 01:41:35.609]  And honestly, if it wasn't for you, you know, I have had a wonderful, wonderful idea of the Lord of God and his plan for us in the end times.
[01:41:35.609 --> 01:41:36.629]  I get that.
[01:41:36.629 --> 01:41:43.730]  But I did not and was not drawn into the full focus of the enemy's plan until I come upon you a couple of years ago.
[01:41:43.730 --> 01:41:53.352]  And I thank you so much for opening my eyes to this, because it helps me to understand where my family and myself and the rest of the whole entire globe is headed these coming days.
[01:41:54.608 --> 01:41:58.889]  As for the Pope, people will criticize you, just as they do me.
[01:41:58.889 --> 01:42:01.749]  You have nothing against the Catholic people, nor the church itself.
[01:42:01.749 --> 01:42:02.349]  Okay?
[01:42:02.349 --> 01:42:04.470]  Except for... No.
[01:42:04.470 --> 01:42:06.470]  The gentleman who was talking about the blood red moons.
[01:42:06.470 --> 01:42:09.751]  The gentleman who was speaking of... It's almost like a script.
[01:42:09.751 --> 01:42:11.731]  No, it is a script.
[01:42:11.731 --> 01:42:12.871]  It is a script.
[01:42:12.871 --> 01:42:20.513]  And just as, you know, God has a role for his people, well, I'm sorry, the enemy has a role as well.
[01:42:20.513 --> 01:42:21.033]  You know?
[01:42:21.033 --> 01:42:22.573]  I mean, we're not in this alone.
[01:42:23.436 --> 01:42:24.797]  And we can't just lay down.
[01:42:24.797 --> 01:42:26.078]  We have to fight.
[01:42:26.078 --> 01:42:31.661]  You know, Christians and people who believe that they deserve...
[01:42:35.020 --> 01:42:35.881]  Oh, Alex, listen.
[01:42:35.881 --> 01:42:36.541]  No, I hear you.
[01:42:36.541 --> 01:42:40.144]  There's no doubt, ma'am, that manifestation of evil is upon us.
[01:42:40.144 --> 01:42:43.427]  And there's no doubt that the evil believes is taking over right now.
[01:42:43.427 --> 01:42:44.868]  And your words are powerful, Amy.
[01:42:44.868 --> 01:42:45.449]  God bless you.
[01:42:45.449 --> 01:42:45.869]  Thank you.
[01:42:45.869 --> 01:42:52.795]  I'm going to come back and go to Corey, Doug, Anvins, Dominique, and others.
[01:42:52.795 --> 01:42:53.876]  Mike in Colorado and others.
[01:42:53.876 --> 01:42:54.657]  Straight ahead.
[01:42:54.657 --> 01:42:55.798]  Final segment straight ahead.
[01:42:58.288 --> 01:43:03.430]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[01:43:03.430 --> 01:43:09.553]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[01:43:09.553 --> 01:43:14.335]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[01:43:14.335 --> 01:43:17.897]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[01:43:17.897 --> 01:43:19.878]  No needles, no injections.
[01:43:19.878 --> 01:43:25.000]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[01:43:28.281 --> 01:43:32.664]  Use since before the days of the Roman Empire to support the body's natural systems.
[01:43:32.664 --> 01:43:36.807]  Introducing the new Infowarslife.com oil of oregano formulation.
[01:43:36.807 --> 01:43:41.750]  We have now procured the most high quality and potent forms of oregano oil on the market.
[01:43:41.750 --> 01:43:46.413]  Extracted directly from the wild herb and sealed in easy-to-use capsules.
[01:43:46.413 --> 01:43:49.896]  You will no longer need to endure the burning of liquid oregano on the tongue.
[01:43:49.896 --> 01:43:53.358]  Now available in our limited first run at Infowarslife.com.
[01:43:53.358 --> 01:43:55.179]  That's Infowarslife.com or call 888-253-3139.
[01:43:58.021 --> 01:44:08.167]  Most of the InfoWars radio listening audience is aware of the high-quality, affordable firearms available that are made right here in America at HDFirearms.com.
[01:44:08.167 --> 01:44:14.270]  One of the most exciting things about HDFirearms.com is the ability to upgrade your AR-15 platform today.
[01:44:14.270 --> 01:44:16.611]  They call it their low-profile platform.
[01:44:16.611 --> 01:44:21.234]  PVX muzzle brakes, proven to help control muzzle rise.
[01:44:21.234 --> 01:44:23.995]  6061 billet material with Type 3 hard coating.
[01:44:23.995 --> 01:44:25.856]  Bolt carrier group for .308 and .556 ARs.
[01:44:27.597 --> 01:44:29.158]  Custom Kydex holsters.
[01:44:29.158 --> 01:44:34.021]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[01:44:34.021 --> 01:44:36.523]  Most competitors material use .060.
[01:44:36.523 --> 01:44:39.925]  Configure yours today at HDfirearms.com.
[01:44:39.925 --> 01:44:41.967]  And my favorite, single stage trigger.
[01:44:41.967 --> 01:44:45.609]  A home run upgrade for your AR-15 and AR-10 platforms.
[01:44:45.609 --> 01:44:47.771]  Find out more at HDfirearms.com today or call 770-485-7015.
[01:44:47.771 --> 01:44:49.011]  That's HDfirearms.com or call 770-485-7015.
[01:44:58.998 --> 01:45:03.082]  Alex Jones here with a very important news alert for InfoWars listeners.
[01:45:03.082 --> 01:45:13.550]  We've confirmed through our major suppliers attempting to resupply Survival Shield X2 Deep Earth Crystals that elite corporations are buying up the supplies all over the world.
[01:45:13.550 --> 01:45:16.473]  So prices are going up and it's very hard to secure it.
[01:45:16.613 --> 01:45:25.416]  We have been able to secure a limited supply of the Pure Deep Earth Crystals and have now been able to produce more Survival Shield Nascent Iodine X2.
[01:45:25.416 --> 01:45:27.277]  This is the good halogen.
[01:45:27.277 --> 01:45:30.338]  This is the opposite of the bad halogens like fluoride.
[01:45:30.338 --> 01:45:42.342]  Now we at InfoWarsLife.com are bringing you the only source of clean, pure, 99.99 Ultra Pure Deep Earth Crystals from more than 7,000 feet below the Earth's surface.
[01:45:42.342 --> 01:45:43.603]  Watch the informational videos
[01:45:43.823 --> 01:45:50.251]  At Infowarslife.com, discover how transformational pure iodine can be for you and your family.
[01:45:50.251 --> 01:45:51.312]  Folks, this isn't hype.
[01:45:51.312 --> 01:45:54.416]  Read the reviews for yourself at Infowarslife.com or call 888-253-3139.
[01:45:58.780 --> 01:46:05.986]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[01:46:05.986 --> 01:46:15.674]  At InfoWarsLife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[01:46:15.674 --> 01:46:19.497]  Now, InfoWarsLife.com has taken colloidal silver to the next level using a
[01:46:19.517 --> 01:46:23.020]  A cutting-edge technique that is free of toxic artificial additives.
[01:46:23.020 --> 01:46:30.846]  Infowarslife.com developed Silver Bullet by closely working with one of the top silver manufacturing labs in the United States.
[01:46:30.846 --> 01:46:34.549]  We set out to bring you the very best at the lowest price.
[01:46:34.549 --> 01:46:39.513]  Find out more about the proprietary development of Silver Bullet at Infowarslife.com.
[01:46:39.513 --> 01:46:43.937]  In these times, it's essential to have high-quality, loyal silver on hand.
[01:46:43.937 --> 01:46:46.979]  No survival chest is complete without Silver Bullet.
[01:46:46.979 --> 01:46:48.020]  Exclusively available
[01:46:48.340 --> 01:46:50.723]  You're listening to the Alex Jones Show.
[01:46:50.723 --> 01:46:51.624]  Anna Levitz is up next.
[01:46:51.624 --> 01:46:52.885]  Get ready, Anna Levitz.
[01:47:17.836 --> 01:47:20.179]  The workers, the strivers, the builders.
[01:47:20.179 --> 01:47:24.824]  This is our land.
[01:47:24.824 --> 01:47:28.148]  These are our people.
[01:47:28.148 --> 01:47:31.532]  The workers, the strivers, the builders.
[01:47:31.532 --> 01:47:32.273]  Who are they, sir?
[01:47:41.464 --> 01:47:44.266]  They are the Dark Armies.
[01:47:44.266 --> 01:47:48.309]  The Dark Murdering Armies whose only honor is atrocity.
[01:47:48.309 --> 01:47:49.029]  The answer to 1984 is 1776.
[01:47:49.029 --> 01:47:51.090]  You're listening to the Alex Jones Show.
[01:48:05.549 --> 01:48:06.770]  We are launch!
[01:48:06.770 --> 01:48:09.211]  Final segment back tomorrow, Lord willing, 11 a.m.
[01:48:09.211 --> 01:48:09.631]  to 2 p.m.
[01:48:09.631 --> 01:48:11.593]  Central for the weekday transmission.
[01:48:11.593 --> 01:48:12.293]  Thank you for joining us.
[01:48:12.293 --> 01:48:16.315]  I want to jam in five or six phone calls here at the end.
[01:48:16.315 --> 01:48:21.058]  I'm not trying to gloom and doom you folks.
[01:48:21.058 --> 01:48:25.000]  I'm just trying to be honest about how much trouble we're in.
[01:48:25.000 --> 01:48:28.382]  I was just talking to one of the crew members, Richard, earlier when I was bad-mouthing cats.
[01:48:28.382 --> 01:48:29.003]  I love cats.
[01:48:29.003 --> 01:48:29.583]  Cats are cute.
[01:48:29.583 --> 01:48:30.243]  Cats are funny.
[01:48:30.243 --> 01:48:31.524]  Cats are neat.
[01:48:31.524 --> 01:48:34.346]  They're not honorable like a dog that would die for you.
[01:48:35.652 --> 01:48:39.254]  If a cat weighed as much as you, it would try to eat you and kill you.
[01:48:39.254 --> 01:48:46.678]  There's a new study out, Your Cat Doesn't Love You, Science Shows, National Post.
[01:48:46.678 --> 01:48:47.898]  And the globalists are like that.
[01:48:47.898 --> 01:48:52.521]  They think it's cool, they don't care about anybody.
[01:48:52.521 --> 01:48:55.962]  We built a civilization via honor.
[01:48:55.962 --> 01:48:57.983]  Corruption held us back.
[01:48:57.983 --> 01:49:01.165]  So I want the age of the dog to be upon us, not the age of the cat.
[01:49:02.728 --> 01:49:08.911]  I want to transcend the feline instincts and move on to what's real.
[01:49:08.911 --> 01:49:12.032]  The heart of a dog is ten times that of a cat.
[01:49:12.032 --> 01:49:17.714]  That's why they got dogs that can kill lions that weigh three times more.
[01:49:17.714 --> 01:49:22.076]  I want to be dog-like in my devotion to humanity.
[01:49:22.076 --> 01:49:23.137]  Committed.
[01:49:23.137 --> 01:49:24.257]  Honorable.
[01:49:24.257 --> 01:49:25.598]  Almost stupid in my will.
[01:49:26.906 --> 01:49:28.087]  To not sell out.
[01:49:28.087 --> 01:49:32.949]  Because it's the crafty feline mind that goes along with submitting to evil.
[01:49:32.949 --> 01:49:35.330]  And I don't mean to demonize cats.
[01:49:35.330 --> 01:49:37.552]  They're incredibly honorable compared to the globalists.
[01:49:37.552 --> 01:49:38.872]  But the allegory still holds true.
[01:49:38.872 --> 01:49:41.754]  And the science holds true.
[01:49:41.754 --> 01:49:45.176]  Who's the call from South Carolina?
[01:49:45.176 --> 01:49:45.796]  Anna Lovitz.
[01:49:45.796 --> 01:49:47.637]  I'm sorry I butchered your name earlier.
[01:49:47.637 --> 01:49:48.858]  Welcome to the airwaves.
[01:49:48.858 --> 01:49:49.398]  Thank you for holding.
[01:49:50.396 --> 01:49:51.657]  It's Mordecai and I love it.
[01:49:51.657 --> 01:49:53.178]  You might want to Google that name.
[01:49:53.178 --> 01:50:00.682]  Anyway, Alex, what I really want to talk about is what's going on in your mainstream talk radio.
[01:50:00.682 --> 01:50:12.388]  I personally try every once in a while to get through and quote you and quote a lot of stuff I find on the internet and talk about the Bilderberg, stuff like that.
[01:50:13.132 --> 01:50:15.613]  And these people won't even, you know, they'll hang up the phone.
[01:50:15.613 --> 01:50:20.155]  Yeah, I remember Limbaugh 20 years ago said the CFR didn't exist.
[01:50:20.155 --> 01:50:22.035]  Then he said it didn't have power.
[01:50:22.035 --> 01:50:23.696]  But now the Pope calls for world government.
[01:50:23.696 --> 01:50:27.937]  I mean, where are they now?
[01:50:27.937 --> 01:50:29.898]  You know, they won't even talk about it.
[01:50:29.898 --> 01:50:35.400]  What I would suggest, callers, call up your various talk show hosts.
[01:50:35.400 --> 01:50:36.500]  These are false prophets.
[01:50:36.500 --> 01:50:37.821]  And by the way, one of the worst.
[01:50:38.655 --> 01:50:39.856]  He's Glenn Beck.
[01:50:39.856 --> 01:50:49.019]  This man badmouths people like you and yet this guy pretends he's some kind of a holy man or prophet and he won't go into it.
[01:50:49.019 --> 01:50:51.260]  He won't talk about, for instance, Sandy Hook.
[01:50:51.260 --> 01:50:53.001]  He won't talk about Boston.
[01:50:53.001 --> 01:50:54.762]  He won't talk about any of that stuff.
[01:50:54.762 --> 01:51:02.565]  He'll basically say, you know, we got to get together in March and this and that like he's some kind of a new Martin Luther King or something.
[01:51:02.565 --> 01:51:04.706]  But really the man's a total phony.
[01:51:04.706 --> 01:51:08.047]  And so and I find most of your talk show hosts are.
[01:51:08.567 --> 01:51:14.549]  Well, that's because they get called in rooms and offered the world if they sell out.
[01:51:14.549 --> 01:51:17.871]  And I don't want to sit here and judge Glenn Beck.
[01:51:17.871 --> 01:51:20.612]  He said things about me that aren't true, but he does a lot of good as well.
[01:51:20.612 --> 01:51:25.114]  I just think the average person gets so scared when they get close to this, but God bless you.
[01:51:25.114 --> 01:51:25.994]  I appreciate your call.
[01:51:28.095 --> 01:51:29.396]  I just don't want to judge people.
[01:51:29.396 --> 01:51:32.719]  I mean, I know that Nancy Pelosi and Hillary Clinton are evil.
[01:51:32.719 --> 01:51:34.240]  I know Al Gore is evil.
[01:51:34.240 --> 01:51:36.322]  I know Barack Obama is evil.
[01:51:36.322 --> 01:51:37.643]  I know John Boehner is evil.
[01:51:37.643 --> 01:51:38.984]  I know Michael Moore is evil.
[01:51:38.984 --> 01:51:40.946]  And I'm just going to expose them.
[01:51:40.946 --> 01:51:42.087]  Beck does a lot of good.
[01:51:42.087 --> 01:51:46.210]  And I just forgive him.
[01:51:46.210 --> 01:51:48.052]  Because life's so short.
[01:51:48.052 --> 01:51:52.896]  And I hope that he uses the platform he has to fight the tyranny of the new world order.
[01:51:57.659 --> 01:52:03.021]  That's all I can hope for any of these people, because it's all just an illusion.
[01:52:03.021 --> 01:52:04.621]  Let's go to Corey in Florida.
[01:52:04.621 --> 01:52:05.302]  You're on the air.
[01:52:05.302 --> 01:52:05.742]  Go ahead.
[01:52:05.742 --> 01:52:08.483]  Hey, what's up, Mr. Alex Jones?
[01:52:08.483 --> 01:52:09.183]  Welcome, brother.
[01:52:09.183 --> 01:52:10.923]  First time caller.
[01:52:10.923 --> 01:52:13.984]  What do you predict Obama is going to do about the ongoing crash?
[01:52:13.984 --> 01:52:15.565]  And also, what's your take about the
[01:52:17.494 --> 01:52:21.356]  It's millions.
[01:52:21.356 --> 01:52:22.096]  It's millions.
[01:52:22.096 --> 01:52:30.779]  It sets the precedent that it's our job to pay for everybody when they use them as a political class to bring in socialism because they're addicted to government money from the beginning.
[01:52:30.779 --> 01:52:35.481]  It's a military cultural assault on the West to bring us down and the Pope
[01:52:36.908 --> 01:52:44.274]  is now a prime agent coming to lecture Congress and six other cities in the United States on world government.
[01:52:44.274 --> 01:52:44.915]  I talked about it.
[01:52:44.915 --> 01:53:02.168]  We have the head of the Chinese Central Bank saying, quote, says the bubble has burst, world depression's here, right as the Pope announces you better let the imploding third world in when he's pushing eugenics and carbon tax policies that will bankrupt the third world and make billions die.
[01:53:02.168 --> 01:53:03.149]  They're going to come here.
[01:53:03.849 --> 01:53:08.572]  I mean, it's not just that I look at him and say, oh, you live in an armored palace above the law.
[01:53:08.572 --> 01:53:09.992]  You say, I got to pay for illegals.
[01:53:09.992 --> 01:53:10.533]  It's not that.
[01:53:10.533 --> 01:53:11.834]  I love these people.
[01:53:11.834 --> 01:53:15.175]  It's that he's using him as a human wave weapon against us.
[01:53:15.175 --> 01:53:16.736]  It's pure diabolic.
[01:53:16.736 --> 01:53:20.698]  And it's happening at a key point right now.
[01:53:20.698 --> 01:53:24.721]  Also, what's this about him only get to choose two families to get into that again?
[01:53:24.721 --> 01:53:26.802]  I mean, he's asking all the country to do millions.
[01:53:27.711 --> 01:53:29.613]  The Vatican has trillions of dollars.
[01:53:29.613 --> 01:53:30.874]  The Vatican's above the law.
[01:53:30.874 --> 01:53:32.315]  The Vatican's incredibly greedy.
[01:53:32.315 --> 01:53:33.776]  I mean, inside St.
[01:53:33.776 --> 01:53:39.001]  Peter's Basilica, it looks like a nightmare Las Vegas whorehouse.
[01:53:39.001 --> 01:53:40.182]  I mean, I've been there.
[01:53:40.182 --> 01:53:45.406]  It is, the spirit in there, whether it was like that before or after, I had to get out of there.
[01:53:45.406 --> 01:53:47.528]  Family I was with was like almost vomiting.
[01:53:47.528 --> 01:53:49.610]  It was like being in a poltergeist movie.
[01:53:52.192 --> 01:53:53.994]  And I'm telling you, it's bad news.
[01:53:53.994 --> 01:53:59.758]  I mean, I've never been some basher of things, but this Pope is an open demon.
[01:53:59.758 --> 01:54:02.920]  And as far as I'm concerned, he should crawl right back to hell where he came from.
[01:54:02.920 --> 01:54:04.621]  I mean, I'll just be honest with you.
[01:54:04.621 --> 01:54:06.663]  All right, let's move on now.
[01:54:06.663 --> 01:54:08.384]  Doug in Tennessee, you're on the air.
[01:54:08.384 --> 01:54:10.245]  Go ahead.
[01:54:10.245 --> 01:54:13.148]  Christian, brotherly love to you, my friend.
[01:54:13.148 --> 01:54:16.530]  I buy all the products pretty much from InfoWars Life, and I love them all.
[01:54:16.530 --> 01:54:17.211]  Well, thank you, brother.
[01:54:17.211 --> 01:54:18.572]  You're helping fund this operation.
[01:54:18.572 --> 01:54:18.872]  Thank you.
[01:54:19.901 --> 01:54:28.985]  I'm calling to wake you up about what's really going on with geoengineering, and I appreciate that you do talk about it, and you always say it's classified, which it is, officially.
[01:54:28.985 --> 01:54:35.747]  Well, I mean, they admit all the secret programs and the atmosphere modification, but then they go, but details are classified.
[01:54:35.747 --> 01:54:37.208]  But, I mean, they admit it's going on.
[01:54:38.576 --> 01:54:45.237]  I've been researching it for years and I've dedicated my life to making people aware of what's going on in the direness of the situation.
[01:54:45.237 --> 01:54:50.558]  Well, it's the perfect allegory to how there's this whole shadow government changing the food, the water, the air.
[01:54:50.558 --> 01:54:53.259]  And everybody calls in and goes, it's like it's aliens.
[01:54:53.259 --> 01:54:54.519]  Yeah, it's demons.
[01:54:54.519 --> 01:54:57.440]  I mean, whatever you want to call it, we're in deep trouble.
[01:54:57.440 --> 01:55:04.301]  This planet is being screwed over and it's being built to not house us, but being built for something else.
[01:55:04.301 --> 01:55:07.262]  A bunch of elites merging with AI machines.
[01:55:09.102 --> 01:55:18.976]  Yeah, research is showing that the reason that now that the globalists are doubling down and they're going for broke is that the climate is unraveling and they know it and they're hiding it.
[01:55:18.976 --> 01:55:21.319]  It's a possible moment.
[01:55:22.538 --> 01:55:31.505]  People in the U.S., especially the eastern half of the country, the most populated area of the U.S., they're purposely being fooled and being kept asleep by the geoengineers.
[01:55:31.505 --> 01:55:32.646]  Oh, I know.
[01:55:32.646 --> 01:55:33.847]  I know, brother.
[01:55:33.847 --> 01:55:35.027]  Do a YouTube video on it.
[01:55:35.027 --> 01:55:35.628]  Speak out.
[01:55:35.628 --> 01:55:36.068]  Expose it.
[01:55:36.068 --> 01:55:39.231]  I want to gram in two more, Dominic and Mike, for you in the broadcast.
[01:55:39.231 --> 01:55:42.793]  Go ahead, Dominic, in Fox Lake area where the cop got executed.
[01:55:42.793 --> 01:55:43.113]  Go ahead.
[01:55:43.113 --> 01:55:43.514]  You're on the air.
[01:55:48.741 --> 01:55:54.583]  Alex, I just want to let you know I am from the region area of Auschwitz.
[01:55:54.583 --> 01:56:03.146]  Auschwitz of Poland where Germans murdered not only Polish people but Jewish people and everybody else that they could kill.
[01:56:03.146 --> 01:56:12.049]  People do not understand what it means to have cema camps in their neighborhoods.
[01:56:12.049 --> 01:56:15.850]  What is coming is basically a picture that they should
[01:56:16.838 --> 01:56:26.822]  Google a witness in their own eyes to see what people are capable of because if you don't see it, you don't believe in it.
[01:56:28.308 --> 01:56:31.850]  And what is happening is exactly what you're saying.
[01:56:31.850 --> 01:56:32.331]  That's right.
[01:56:32.331 --> 01:56:35.653]  There's massive preparations for classical tyranny.
[01:56:35.653 --> 01:56:38.074]  There's world financial collapse by design.
[01:56:38.074 --> 01:56:39.175]  I just want to try to stop it.
[01:56:39.175 --> 01:56:40.116]  I don't have all the answers.
[01:56:40.116 --> 01:56:41.997]  I just know people better be concerned.
[01:56:41.997 --> 01:56:43.418]  And then if we stop it, we'll be blamed.
[01:56:43.418 --> 01:56:44.158]  Oh, it didn't happen.
[01:56:44.158 --> 01:56:45.279]  Well, thank God.
[01:56:45.279 --> 01:56:46.140]  I'm ready to be blamed.
[01:56:46.140 --> 01:56:46.760]  It didn't happen.
[01:56:46.760 --> 01:56:48.001]  I want to try to stop it.
[01:56:48.001 --> 01:56:49.842]  How do we stop it?
[01:56:49.842 --> 01:56:54.285]  I tell you, we stop it the way you're doing it.
[01:56:55.049 --> 01:57:02.536]  I came here five days ago, I listened to you in Poland, and we do have a lot of listeners all over the Europe.
[01:57:02.536 --> 01:57:14.346]  The picture that you show us, it basically shows the camp that we already had, which is history now, but people forgot about it.
[01:57:14.346 --> 01:57:19.111]  Not everybody, not Europeans, people, families, that we lost our
[01:57:20.282 --> 01:57:21.543]  Well, there's my sister.
[01:57:21.543 --> 01:57:22.463]  You've been through it.
[01:57:22.463 --> 01:57:23.103]  You've been through it.
[01:57:23.103 --> 01:57:26.245]  Yeah, the Nazis and the Russians, too, killed over 10 million Poles.
[01:57:26.245 --> 01:57:26.725]  I'm out of time.
[01:57:26.725 --> 01:57:28.326]  I'm sorry to Dominique and others.
[01:57:28.326 --> 01:57:30.487]  Lord willing, I'll be back tomorrow at 11 a.m.
[01:57:30.487 --> 01:57:33.288]  Central, 12 noon Eastern, for the weekday transmission.
[01:57:33.288 --> 01:57:34.449]  Great job to the crew.
[01:57:34.449 --> 01:57:36.930]  Look, history's happening now.
[01:57:36.930 --> 01:57:39.011]  Epic evil is being turned loose.
[01:57:39.011 --> 01:57:41.032]  Good has to rise against it.
[01:57:41.032 --> 01:57:42.673]  Vowing to it doesn't protect you.
[01:57:42.673 --> 01:57:44.254]  It will destroy you.
[01:57:44.254 --> 01:57:45.835]  Choose sides now wisely.
[01:57:48.180 --> 01:57:51.701]  When cells become toxic, they die early and aging sets in.
[01:57:51.701 --> 01:57:59.944]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[01:57:59.944 --> 01:58:05.365]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[01:58:05.365 --> 01:58:07.886]  You want the best that's out there at the lowest price anywhere?
[01:58:07.886 --> 01:58:09.987]  We now have the synergistic solution.
[01:58:09.987 --> 01:58:14.168]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[01:58:18.238 --> 01:58:22.602]  Used since before the days of the Roman Empire to support the body's natural systems.
[01:58:22.602 --> 01:58:26.765]  Introducing the new Infowarslife.com Oil of Oregano Formulation.
[01:58:26.765 --> 01:58:31.709]  We have now procured the most high quality and potent forms of oregano oil on the market.
[01:58:31.709 --> 01:58:36.352]  Extracted directly from the wild herb and sealed in easy to use capsules.
[01:58:36.352 --> 01:58:39.855]  You will no longer need to endure the burning of liquid oregano on the tongue.
[01:58:39.855 --> 01:58:43.298]  Now available in our limited first run at Infowarslife.com.
[01:58:43.298 --> 01:58:45.119]  That's Infowarslife.com or call 888-253-3139.
[01:58:49.105 --> 01:58:52.367]  A clean, toxic-free body is the foundation of true health.
[01:58:52.367 --> 01:59:02.311]  Introducing Deep Cleanze by InfoWarsLife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[01:59:02.311 --> 01:59:07.634]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[01:59:07.634 --> 01:59:16.478]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites and others, Deep Cleanze doesn't hold back.
[01:59:16.798 --> 01:59:25.685]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[01:59:25.685 --> 01:59:32.770]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigyrex herbal processing technique.
[01:59:32.770 --> 01:59:38.094]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you the best.
[01:59:38.234 --> 01:59:39.335]  You're listening to the Alex Jones Show!
