[00:00:00.209 --> 00:00:01.169]  ...and so on.
[00:26:57.250 --> 00:27:05.575]  Again, that's a form of staged terror to demonize the rest of the peaceful protesters so the peaceful protesters' message doesn't get out on the media.
[00:27:05.575 --> 00:27:09.497]  All that you hear about is a few punks protected bashing out windows.
[00:27:09.497 --> 00:27:11.679]  Another form of problem, reaction, solution.
[00:27:11.679 --> 00:27:14.040]  Or give up your property or the earth will die.
[00:27:14.040 --> 00:27:18.063]  Or let us tax your factory or business or the earth will die.
[00:27:18.063 --> 00:27:19.144]  It's the same story.
[00:27:19.144 --> 00:27:21.085]  Bad things are going to happen if you don't do what we say.
[00:27:23.083 --> 00:27:28.665]  But on every front the globalists are unpopular, on every front they're being unmasked and exposed.
[00:27:28.665 --> 00:27:36.767]  And every time in history when they get cornered and their agenda gets slowed, and at every point when they're trying to make a big change, they bring in crises.
[00:27:36.767 --> 00:27:41.709]  They engineered World War I, they engineered World War II on record to set up the League of Nations and the UN.
[00:27:42.967 --> 00:27:50.971]  The Rand Corporation and others last year said they want a war on the order of World War III to bring in the new world order.
[00:27:50.971 --> 00:28:02.097]  And if they attack Iran, Israel, or NATO, or anybody else, the United States launches an attack, it will widen at least into a theater war with surrounding nations,
[00:28:03.302 --> 00:28:07.466]  And they will use that crisis to say, look, we've got to make all these changes because we're at war.
[00:28:07.466 --> 00:28:10.148]  They could release a bioweapon, bird flu, anything else.
[00:28:10.148 --> 00:28:12.410]  We know that they have a history of that.
[00:28:12.410 --> 00:28:14.451]  We know they've been preparing for that.
[00:28:14.451 --> 00:28:18.054]  They could shut down the Internet and claim that China did it.
[00:28:18.054 --> 00:28:21.858]  And it's now come out that the Feds and NSA are taking over the entire Internet.
[00:28:22.418 --> 00:28:26.679]  Infrastructure, including private hub companies, that's in the Washington Post.
[00:28:26.679 --> 00:28:33.981]  Their cyber security head two weeks ago quit, saying this is a threat to freedom, this is a military takeover of America, and he quit!
[00:28:33.981 --> 00:28:41.402]  I'm trying to get him on the show, by the way.
[00:28:41.402 --> 00:28:47.844]  So they are going to go after the internet with a false flag attack, claiming foreign enemies did it, to shut it down in the name of protecting what's left of it.
[00:28:48.717 --> 00:28:49.937]  That's clear.
[00:28:49.937 --> 00:28:57.919]  Bioweapons releases, terror attacks, they could go for something as big as a low-yield nuclear weapon in a major U.S.
[00:28:57.919 --> 00:28:59.140]  or European city.
[00:28:59.140 --> 00:29:05.501]  I'm telling you, that's what they've really been priming the subconscious for and programming people in the media, so that's one of the major threats.
[00:29:05.501 --> 00:29:10.062]  I would say Chicago, San Francisco, points like that are big targets.
[00:29:10.062 --> 00:29:12.823]  New York, Dallas, Cleveland, Denver.
[00:29:15.896 --> 00:29:20.378]  Because the globalists even write white papers listing the targets they think, quote, Al-Qaeda is going to hit.
[00:29:20.378 --> 00:29:22.359]  And that means the targets they're really going to hit.
[00:29:22.359 --> 00:29:26.660]  And if any of their operatives get caught staging the attack, they'll say, oh, part of a drill.
[00:29:26.660 --> 00:29:27.581]  Here, it's official drill.
[00:29:27.581 --> 00:29:31.002]  See?
[00:29:31.002 --> 00:29:35.884]  Well, they always run a drill at the exact same time, exact same place, with the exact same action.
[00:29:35.884 --> 00:29:43.307]  And it even comes out later, because in case people in intelligence who are good in the government leak it, they say, well, of course, we already released the fact we were having a drill.
[00:29:44.531 --> 00:29:45.412]  That's what they always say.
[00:29:45.412 --> 00:29:45.912]  Oh, guess what?
[00:29:45.912 --> 00:29:51.097]  We were running drills of hijacked jets flying in the World Trade Center and Pentagon at the exact same time, exact same targets.
[00:29:51.097 --> 00:29:52.318]  Who'd have thunk it?
[00:29:52.318 --> 00:29:59.044]  Oh, we were doing a drill in England on 7-7 of the exact same trains.
[00:29:59.044 --> 00:30:04.028]  Exact same bus being bombed at the exact same time, exact same location.
[00:30:04.028 --> 00:30:08.252]  Who would have thought it?
[00:30:08.252 --> 00:30:09.353]  And I'm telling you right now,
[00:30:11.075 --> 00:30:18.400]  That there is no way, because the economic crisis they've engineered is to get control of the financial system and bankrupt everybody.
[00:30:18.400 --> 00:30:22.763]  But then they have to have the political cover to get away with that.
[00:30:22.763 --> 00:30:27.106]  Because it's clearly the banks that engineered the crisis who are now getting all the power out of it.
[00:30:27.106 --> 00:30:29.528]  So how are they going to get the public to stand down?
[00:30:29.528 --> 00:30:33.491]  How will they get the military and the police to move against the public when they order them to do so?
[00:30:36.274 --> 00:30:45.377]  Well, that means terror attack, or war, or both, or bioweapon attack, or all three, and cyber attack, all four at once.
[00:30:45.377 --> 00:30:48.157]  I'm telling you, this is their attack profile.
[00:30:48.157 --> 00:30:51.178]  Prepare yourselves!
[00:30:51.178 --> 00:30:52.578]  We're on the march.
[00:30:52.578 --> 00:30:55.099]  The Empire's on the run.
[00:30:55.099 --> 00:30:57.800]  Alex Jones and the GCN Radio Network.
[00:31:01.018 --> 00:31:02.399]  Hello, this is Steve Schenck.
[00:31:02.399 --> 00:31:04.801]  Alex has told you you have to get a supply of food.
[00:31:04.801 --> 00:31:08.964]  But Alex and I have decided that there are some of you that we really don't want to have food.
[00:31:08.964 --> 00:31:11.006]  If you're a politician who voted for the bailout,
[00:31:15.011 --> 00:31:15.891]  Don't call e-foods direct.
[00:31:45.933 --> 00:31:49.154]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:31:49.154 --> 00:31:53.854]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:32:13.254 --> 00:32:19.756]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:32:19.756 --> 00:32:21.736]  Well, Obama's already fudging.
[00:32:21.736 --> 00:32:24.177]  He's fudged since day one in this election.
[00:32:24.177 --> 00:32:35.079]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:32:37.381 --> 00:32:39.042]  It's not about left or right.
[00:32:39.042 --> 00:32:40.902]  It's about a one world government.
[00:32:40.902 --> 00:32:47.805]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:32:47.805 --> 00:32:56.068]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:32:56.068 --> 00:32:57.648]  The Obama Deception.
[00:32:57.648 --> 00:32:58.829]  The people strike back.
[00:33:00.586 --> 00:33:03.687]  Have you ever thought about what's in your shampoo, soap, or detergent?
[00:33:03.687 --> 00:33:09.189]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[00:33:09.189 --> 00:33:14.911]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[00:33:14.911 --> 00:33:16.392]  Hi, this is Alex Jones.
[00:33:16.392 --> 00:33:25.315]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[00:33:25.715 --> 00:33:27.557]  Now compare a Calben Pure Soap.
[00:33:27.557 --> 00:33:31.762]  All natural, earth friendly, no harsh chemicals, no animal testing.
[00:33:31.762 --> 00:33:36.788]  They're safe and you save 85% of the money you're spending on cleaning products now.
[00:33:36.788 --> 00:33:38.450]  Start saving over $1,000 a year for your family of four.
[00:33:40.632 --> 00:33:41.713]  Keep it natural.
[00:33:41.713 --> 00:33:50.103]  Call Calvin Pure Soap for a free catalog at 1-800-340-7091 or log on to 5starsoap.com.
[00:33:50.103 --> 00:33:54.268]  Try Calvin Pure Soaps and I'll bet you'll never use any other cleaning products again.
[00:33:54.268 --> 00:33:55.590]  Call 1-800-340-7091 for all your cleaning needs.
[00:34:05.137 --> 00:34:09.761]  Riders on the storm.
[00:34:09.761 --> 00:34:14.184]  Riders on the storm.
[00:34:14.184 --> 00:34:17.106]  Into this house we're born.
[00:34:17.106 --> 00:34:18.867]  Into this world we're thrown.
[00:34:18.867 --> 00:34:23.130]  Into this world we're thrown.
[00:34:23.130 --> 00:34:28.474]  Like a dog without a bone and actor out of love.
[00:34:28.474 --> 00:34:30.075]  Riders on the storm.
[00:34:32.591 --> 00:34:49.010]  There's a killer on the road His brain is squirming like a toad Take a long holiday Let your children play
[00:34:51.780 --> 00:34:54.203]  We are back live.
[00:34:54.203 --> 00:34:59.728]  Thank you for joining us.
[00:34:59.728 --> 00:35:03.952]  I'm gonna go right to your calls here in a moment.
[00:35:03.952 --> 00:35:08.056]  Then I'm gonna get back into the staged terror attacks that are coming.
[00:35:09.841 --> 00:35:10.621]  It's very simple.
[00:35:10.621 --> 00:35:32.547]  If we expose government-sponsored terrorism and say we're aware that you've done the other attacks, or financed other attacks, or financed provocateur attacks, there's different types, and that you get power and control out of this, we're aware that you engineered the economic collapse, you're all criminals and should be arrested, we're aware you're getting ready to try to launch World War III with Iran, we're aware that you need these crises to bring in world government,
[00:35:33.902 --> 00:35:45.171]  By exposing the fact that we've got these big pharmaceutical companies doing vaccine trials, killing homeless, London Telegraph, Associated Press, you're trying to mix weaponized, bird flu with regular vaccines.
[00:35:45.171 --> 00:35:46.392]  Everything we're doing here
[00:35:47.861 --> 00:35:53.103]  Preemptively, to use the analogy, inoculates the public mind.
[00:35:53.103 --> 00:35:54.964]  The people perish for lack of knowledge.
[00:35:54.964 --> 00:35:56.305]  Knowledge is power.
[00:35:56.305 --> 00:35:59.266]  To be aware of this so they can't get away with it.
[00:35:59.266 --> 00:36:00.767]  But, I mean, they are reckless.
[00:36:00.767 --> 00:36:01.607]  They are wild.
[00:36:01.607 --> 00:36:03.928]  They are bold.
[00:36:03.928 --> 00:36:08.270]  They're not going to get away with what they're doing unless they stage terror attacks, and then that's not going to work either.
[00:36:12.828 --> 00:36:15.809]  So, we're between a rock and a hard place, and so are the elite.
[00:36:15.809 --> 00:36:18.510]  This is a very, very serious time.
[00:36:18.510 --> 00:36:21.290]  Coming up, I'm going to go through all this news.
[00:36:21.290 --> 00:36:24.331]  Tax dodgers multiplies underground economy.
[00:36:24.331 --> 00:36:27.232]  Cushions job cuts.
[00:36:27.232 --> 00:36:28.452]  We knew that would happen.
[00:36:28.452 --> 00:36:30.913]  Tea parties are spreading all across the nation.
[00:36:30.913 --> 00:36:33.914]  Analyst crisis may lead to new world order.
[00:36:33.914 --> 00:36:35.214]  CNN.
[00:36:35.214 --> 00:36:35.754]  Here's another one.
[00:36:35.754 --> 00:36:36.554]  New York Times.
[00:36:36.554 --> 00:36:39.395]  A world in need of a new order.
[00:36:39.395 --> 00:36:40.636]  G20 Summit.
[00:36:40.636 --> 00:36:41.616]  Europeans demand
[00:36:42.967 --> 00:36:45.169]  Threatens to wreck a deal, and what do they want?
[00:36:45.169 --> 00:36:47.431]  A global government with total regulatory power.
[00:36:47.431 --> 00:36:49.793]  That's the real action that's happening.
