[00:00.000 --> 00:13.160]  You're listening to the Alex Jones show
[01:48:03.240 --> 01:48:11.720]  discover trends and global developments years before they happen right here on the alex jones show
[01:48:14.520 --> 01:48:22.040]  so throughout history there have been joyless control freaks who want absolute dominance over
[01:48:22.040 --> 01:48:28.920]  every facet of society and these control freaks are seeking absolute power so they can control
[01:48:28.920 --> 01:48:34.280]  the developments and the activities between men and women between parents and their children
[01:48:34.280 --> 01:48:40.120]  between church and state between cheerleaders in the nfl between what rock stars and hip hop
[01:48:40.120 --> 01:48:47.960]  stars do they've got control and hollywood is known for their incredible bullying and dominance over
[01:48:47.960 --> 01:48:54.360]  other stars who don't toe the line and how people like james woods and others are incredibly talented
[01:48:54.360 --> 01:49:00.600]  get blacklisted for coming out and saying hey i'm pro america or i'm free market or i'm a conservative
[01:49:01.240 --> 01:49:06.680]  now i didn't really know who kanya west was personally i knew he was a big huge star with
[01:49:06.680 --> 01:49:11.560]  the top ones in the world knew he made some pretty narcissistic statements and i just assumed he was a
[01:49:11.560 --> 01:49:16.520]  democrat and a globalist and so i call him cayenne west but the last few years watching him with
[01:49:16.520 --> 01:49:21.240]  trump actually listening to what he says listening to his music it's actually a lot of us pretty good
[01:49:21.240 --> 01:49:27.000]  and seeing what he does he has a lot of courage and is a maverick like they say in full metal jacket
[01:49:27.000 --> 01:49:31.720]  private jokers silly and he's ignorant but he's got guts and and guts is enough well
[01:49:31.720 --> 01:49:36.680]  kanya west has got guts talent you name it uh so i apologize to him for being wrong about him and
[01:49:36.680 --> 01:49:42.200]  being ignorant myself and just shooting my mouth off he has come out and supported uh kandace owens
[01:49:42.200 --> 01:49:46.840]  come out and supported trump come out and supported free market come out and supported not being a
[01:49:46.840 --> 01:49:53.080]  victim and understanding that this whole push for racism and division in the name of counter racism
[01:49:53.080 --> 01:49:57.880]  is about giving us all crutches and about the democrats controlling our minds just like they're
[01:49:57.880 --> 01:50:01.960]  trying to do with women and the whole me too movement so here is a powerful report from
[01:50:01.960 --> 01:50:08.680]  paul watson but kanya i apologize to you in a watershed moment for the culture war kanya west
[01:50:08.680 --> 01:50:14.600]  praised conservative commentator kandace owens in a tweet saying i love the way kandace owens
[01:50:14.600 --> 01:50:19.800]  thinks if you see some that's great you got a respect and how did twitter react by failing to
[01:50:19.800 --> 01:50:26.040]  even spell owens name properly and calling her far right they're going to call a former left wing
[01:50:26.040 --> 01:50:33.160]  now center right black conservative who is hated by the actual far right far right then all bets
[01:50:33.160 --> 01:50:38.440]  are now off and then the usual blue check marks piled in with their lies and hatred kandace owens
[01:50:38.440 --> 01:50:42.440]  is a far right media personality who got famous by appearing on the conspiracy site info wars and
[01:50:42.440 --> 01:50:46.280]  calling herself a red pill black attempt popularized on the alt-right men's rights message board that is
[01:50:46.280 --> 01:50:51.720]  basically an antenna for woke wrong idiot she got famous by communicating a message of actual
[01:50:51.720 --> 01:50:57.080]  empowerment for black people so save us the glib white explaining please talking of white
[01:50:57.080 --> 01:51:02.200]  explaining shawn king wind about it too yeah how are you going to accuse kanya of being an uncle
[01:51:02.200 --> 01:51:07.800]  tom when you're whiter than rachel dole is all but so precisely how does kandace owens think
[01:51:07.800 --> 01:51:12.680]  well she tells black people not to be victims not to be dependent on welfare and not to blame
[01:51:12.680 --> 01:51:19.080]  society for all their problems the truth is that the left wants to strap black people to this idea
[01:51:19.080 --> 01:51:22.680]  that they are victims that's what it comes down to they do not want black people focus on their
[01:51:22.680 --> 01:51:26.760]  futures they want black people focus on their past they like black people to be government
[01:51:26.760 --> 01:51:30.440]  dependent they don't like to see black people that are free thinkers and are independent
[01:51:30.440 --> 01:51:34.200]  and i think that's what kanya west and myself represents the black community and that makes
[01:51:34.200 --> 01:51:39.560]  them very nervous that correlates exactly with karnie's new outlook remember karnie met with
[01:51:39.560 --> 01:51:44.280]  trump to talk about tackling black on black violence in chicago something that the left and
[01:51:44.280 --> 01:51:49.160]  black lives matter supporters refuse to incorporate into their message because it doesn't fit their
[01:51:49.160 --> 01:51:54.200]  race-baiting victimhood narrative karnie has also exposed how the left fans the flames of
[01:51:54.200 --> 01:51:59.880]  hysteria over racism to metaphorically keep black people on the plantation to keep them docile
[01:51:59.880 --> 01:52:08.520]  and easily controlled racism is a dated concept it's not an actual thing that even means anything
[01:52:08.520 --> 01:52:14.040]  you know it's something that was used to hold people back in the past but now there's been so
[01:52:14.040 --> 01:52:20.840]  many leaps and breaking of the rules that it's like it's played out like you know like a style
[01:52:20.840 --> 01:52:30.200]  from the you know 1800s or something you know the real true freedom isn't in the words the true
[01:52:30.200 --> 01:52:35.320]  freedom is in the opportunity karnie west represents a massive threat to the left because he has an
[01:52:35.320 --> 01:52:41.720]  army of adoring fans and he's clearly done with being a puppet for their divisive agenda after
[01:52:41.720 --> 01:52:47.000]  this he's going to be relentlessly attacked by the establishment like never before get ready
[01:52:47.000 --> 01:52:54.360]  the mainstream entertainment industry is so stale so controlled so adversarial to originality it can
[01:52:54.360 --> 01:53:00.680]  no longer produce any icons with actual authenticity karnie himself has alluded to this on several
[01:53:00.680 --> 01:53:16.280]  occasions celebrities with something to say other than vacuous
[01:53:16.280 --> 01:53:22.600]  virtue signaling and cliche platitudes are now all but extinct and that's because any celebrity
[01:53:22.600 --> 01:53:28.360]  that uses their platform to speak uncomfortable truths is immediately shunned and attacked
[01:53:28.360 --> 01:53:33.640]  by the legacy media look what they did to morrissey after he spoke out against mass immigration and
[01:53:33.640 --> 01:53:40.120]  islamic terrorism this paucity of authentic interesting celebrities is why youtubers like
[01:53:40.120 --> 01:53:46.280]  pewdiepie and kandis owens are the new rock stars we the rock stars now obviously most of these new
[01:53:46.280 --> 01:53:52.440]  rock stars aren't going to be political but the ones that are represent a true threat to the status
[01:53:52.440 --> 01:53:57.880]  quo to the dominant culture which is why i was right when i said conservatism is the new counter
[01:53:57.880 --> 01:54:03.320]  culture and populism is the new punk rock oh but karnie had a breakdown he's got insane yeah if you
[01:54:03.320 --> 01:54:09.320]  haven't been paying attention karnie's had about 10 what they call breakdowns since the mid 2000s
[01:54:09.320 --> 01:54:14.360]  and he always comes back more influential than ever before but that's why they're terrified
[01:54:14.360 --> 01:54:20.680]  of him endorsing ideas and people outside of their control who's they i'm talking about the
[01:54:20.680 --> 01:54:26.520]  dominant cultural institutions of hollywood the entertainment industry the music industry and
[01:54:26.520 --> 01:54:32.440]  the media the high priests of pop culture the gatekeepers of what political and spiritual
[01:54:32.440 --> 01:54:38.680]  ideas we're told are acceptable now one of their own has gone rogue and the panic is palpable
[01:54:38.680 --> 01:54:43.320]  your true man's showboat is hitting the wall why do you think karnie fears for his own life
[01:54:43.320 --> 01:54:49.800]  as andrew breitbart said politics is downstream from culture you can change political destiny
[01:54:49.800 --> 01:54:56.120]  by hijacking culture in case you haven't noticed that's what i'm doing the left is slowly waking
[01:54:56.120 --> 01:55:01.960]  up to the fact that they're losing their monopoly on controlling culture when you've been in control
[01:55:01.960 --> 01:55:08.440]  for so many decades something new inevitably has to emerge to become the new counter culture
[01:55:08.440 --> 01:55:14.360]  especially given that the left no longer pushes to be edgy daring or rebellious and has instead
[01:55:14.360 --> 01:55:20.600]  embraced censorship puritanism and cultural sterility the high priests of pop culture are
[01:55:20.600 --> 01:55:26.040]  the real racists they're the ones who indoctrinate young black kids to aspire to be thugs they're
[01:55:26.040 --> 01:55:32.520]  the ones who fetishize and glorify criminality and gangsterism through hip hop music karnie is trying
[01:55:32.520 --> 01:55:39.000]  to move black people away from the ghettoization of their minds towards true independence and freedom
[01:55:39.000 --> 01:55:44.760]  kandis owens is trying to do exactly the same thing and that's why they resonate with each other
[01:55:44.760 --> 01:55:49.320]  and that's why the left is petrified of them both what you're seeing happening today obviously we
[01:55:49.320 --> 01:55:51.800]  have we have some black people that are just shouting in the back we have some black people
[01:55:51.800 --> 01:55:55.480]  that are sitting in the front quietly that are chanting usa and having a normal conversation
[01:55:55.480 --> 01:55:58.680]  i love that because what i say every single time you may have seen me on the news is that what is
[01:55:58.680 --> 01:56:02.120]  happening right now in the black community you're going to hear in this room first there's a
[01:56:02.120 --> 01:56:05.640]  an ideological civil war happening black people that are focused on their past and shouting
[01:56:05.640 --> 01:56:09.240]  about slavery and black people that are focused on their futures okay that's what that's really
[01:56:09.240 --> 01:56:16.200]  what it comes down to okay i can i can guarantee you what you're seeing happening is victim mentality
[01:56:16.200 --> 01:56:24.360]  versus victor mentality i promise you i love that right i love that and there's no doubt in my mind
[01:56:24.360 --> 01:56:28.520]  i can i can tell you right now who is going to be better off when we look 20 years when we look
[01:56:28.520 --> 01:56:31.480]  at the basis in this room who is going to be better off are the girls that are sitting right here
[01:56:31.480 --> 01:56:35.480]  and across this room because they don't have your mentality victim mentality is not cool i don't know
[01:56:35.480 --> 01:56:39.480]  why people like being oppressed it's the weirdest thing i've ever heard i love oppression but we're
[01:56:39.480 --> 01:56:44.040]  oppressed 400 years of slavery jim crow which by the way none of you guys live through your grandparents
[01:56:44.040 --> 01:56:50.040]  and it's embarrassing that you utilize you utilize their history you utilize their history and you
[01:56:50.040 --> 01:56:53.640]  come in here with more emotion than they ever had when they were living through it more emotion than
[01:56:53.640 --> 01:56:58.440]  they ever had when they were living through it it's embarrassing you're not living through anything
[01:56:58.440 --> 01:57:04.760]  right now you're overly privileged americans they're also afraid that carney could be president one day
[01:57:04.760 --> 01:57:10.200]  i'm not joking as terrence williams said both carney and kandace are free thinkers if that triggers
[01:57:10.200 --> 01:57:16.120]  you chances are you're not a free thinker the left doesn't care about black people they don't want
[01:57:16.120 --> 01:57:21.080]  black people to be business owners doctors or scientists they want them to remain mired
[01:57:21.080 --> 01:57:26.280]  independency and hopelessness they want them to continue to vote for their own enslavement and
[01:57:26.280 --> 01:57:31.400]  whether you love or hate carney's narcissistic personality when someone comes up and says
[01:57:31.400 --> 01:57:37.320]  something like i am a god everybody says who does he think he is i just told you who i thought i was
[01:57:37.320 --> 01:57:44.280]  a god the mere threat of him derailing this agenda to any degree the mere fact that they don't control
[01:57:44.280 --> 01:57:58.280]  what comes out of his mouth
