[00:00:03.542 --> 00:00:06.303]  It's Friday, January 14th.
[00:26:54.344 --> 00:27:03.531]  I'm gonna live forever, I'm gonna cross that river, I'm gonna catch tomorrow now.
[00:27:03.531 --> 00:27:10.057]  I'm gonna live forever, I'm gonna cross that river, I'm gonna catch tomorrow now.
[00:27:31.685 --> 00:27:34.267]  Friday emergency broadcast.
[00:27:34.267 --> 00:27:37.790]  Biden has officially put the U.S.
[00:27:37.790 --> 00:27:38.651]  under martial law.
[00:27:58.786 --> 00:28:05.210]  The federal government has been completely captured by agents of the Great Reset, by agents of the Bilderberg Group.
[00:28:05.210 --> 00:28:12.755]  And now they're making their biomedical move to sterilize, poison, and kill large swaths of the population.
[00:28:12.755 --> 00:28:19.098]  And of course, those of us in opposition to this are going to be hunted down and killed.
[00:28:19.098 --> 00:28:23.941]  And the people helping carry all this out will be destroyed as well by their masters, not by us.
[00:28:23.941 --> 00:28:26.403]  This is judgment.
[00:28:26.403 --> 00:28:28.144]  This is doomsday for freedom.
[00:28:29.992 --> 00:28:33.695]  Unless we get a reprieve like Nineveh.
[00:28:33.695 --> 00:28:50.967]  Unless we wake up to this nightmare and decide to not be evil anymore, and to face the fact that they tell us all day the white people are bad, or the black people are bad, or the Christians are bad, or this group's bad, that group's bad, but never the Democrats.
[00:28:50.967 --> 00:28:55.250]  They tell us the veterans are bad, the police are bad, but never the people at the top, right?
[00:28:55.250 --> 00:28:56.171]  They're the good guys, right?
[00:28:59.612 --> 00:29:01.713]  Christmas 2021 is gone.
[00:29:01.713 --> 00:29:03.094]  It's in the rearview mirror.
[00:29:03.094 --> 00:29:09.257]  But you can still take advantage of Christmas prices going to the New Year at InfoWareStore.com.
[00:29:09.257 --> 00:29:10.918]  On to our best-selling products.
[00:29:10.918 --> 00:29:13.279]  Now, finally, back in stock.
[00:29:13.279 --> 00:29:16.501]  We have the number one bestseller of all time.
[00:29:17.541 --> 00:29:25.905]  X2, the Deep Earth Crystal Iodine that is essential for all your body's activities, electrochemical functions of the cells, the mitochondria, your immune system.
[00:29:25.905 --> 00:29:27.506]  It is back in stock.
[00:29:27.506 --> 00:29:31.388]  X2 is 50% off at infowarestore.com.
[00:29:31.388 --> 00:29:34.230]  And, right in time for the deepest part of winter.
[00:29:35.350 --> 00:29:40.736]  We have Winter Sun Back in Stock, the highest quality vitamin D3 for your immune system.
[00:29:40.736 --> 00:29:45.781]  And again, your whole body is back in stock, ready to ship to you right now at InfoWarStore.com.
[00:29:45.781 --> 00:29:46.862]  So it's a 360 win.
[00:29:46.862 --> 00:29:52.128]  It keeps us on air, and it also makes your life so much healthier and better.
[00:29:52.128 --> 00:29:56.592]  So get your supply up to date at InfoWarStore.com right now.
[00:29:59.142 --> 00:30:03.267]  Three very important life-saving words.
[00:30:03.267 --> 00:30:07.051]  Vitamins, minerals, amino acids.
[00:30:07.051 --> 00:30:11.296]  And you find them all in Vitamin Mineral Fusion.
[00:30:11.296 --> 00:30:19.805]  All the essential vitamins, all the essential minerals from really good, high-quality, absorbable sources and a bunch of key
[00:30:20.766 --> 00:30:21.527]  We're good to go!
[00:30:43.826 --> 00:30:45.508]  We are going to be selling out of this product.
[00:30:45.508 --> 00:30:51.976]  Hopefully more comes in in the next month or so because it's a best seller and it's something everybody needs for their immune system and their body.
[00:30:51.976 --> 00:30:55.561]  Get your Vitamin Mineral Fusion now and support the InfoWar.
[00:30:55.561 --> 00:30:58.444]  A 360 win at InfoWarStore.com.
[00:30:59.145 --> 00:31:13.971]  I am recording this announcement on the afternoon of January 6, 2022, and that means there are only seven days left of us being able to offer our best-selling product, Vitamin Mineral Fusion, at 50% off.
[00:31:13.971 --> 00:31:17.813]  It has all the vitamins, all the minerals, incredible amino acids.
[00:31:17.813 --> 00:31:23.595]  It is a game-changer for your immune system and every other function in your body, and it's a must-have.
[00:31:23.595 --> 00:31:24.816]  That's why, despite the fact
[00:31:25.396 --> 00:31:27.938]  That is selling out at current sales rates.
[00:31:27.938 --> 00:31:32.563]  We're going to keep it on sale for another seven days.
[00:31:32.563 --> 00:31:35.785]  So we're running this until next Thursday.
[00:31:35.785 --> 00:31:37.807]  And your purchase supports the broadcast.
[00:31:37.807 --> 00:31:40.770]  I want to thank you all for shopping with InfoWars.
[00:31:40.770 --> 00:31:46.295]  Without you, we would not have been on air and the world would be a much worse position right now that it's in.
[00:31:46.295 --> 00:31:50.679]  Thanks to you supporting InfoWars, we have now become the number one beacon of truth
[00:31:51.379 --> 00:31:59.103]  In late August, InfoWars saw an explosion of orders because our audience understands that the globalists are destabilizing the planet by design and are attempting to cause an economic and financial collapse worldwide.
[00:32:15.071 --> 00:32:18.715]  Now ladies and gentlemen, storable food has always been something that's important to have.
[00:32:18.715 --> 00:32:26.063]  It's a check box that everybody needs to have taken care of, right along with water filtration, self-defense, and a relationship with God.
[00:32:26.063 --> 00:32:29.667]  But now more than ever, you need to get your storable food orders in now.
[00:32:30.148 --> 00:32:32.869]  We're ready to ship to you within 24 hours of your order.
[00:32:32.869 --> 00:32:33.689]  It's high quality.
[00:32:33.689 --> 00:32:36.890]  It's very, very low cost at InfoWarStore.com.
[00:32:36.890 --> 00:32:44.273]  Because in the future, you're going to see more food supply shortages and you're going to see food supply price increases that are already taking place.
[00:32:44.273 --> 00:32:50.415]  So lock in your storable food now at a lower price and fund the InfoWar at InfoWarStore.com.
[00:32:50.415 --> 00:32:55.197]  That's how you fight the Great Reset, is by being self-sufficient and not under their control.
[00:32:55.197 --> 00:32:57.698]  So get prepared now at InfoWarStore.com.
[00:33:01.730 --> 00:33:06.334]  Leading a frontal assault on the lies of the New World Order.
[00:33:06.334 --> 00:33:07.635]  It's Alex Jones!
[00:33:21.568 --> 00:33:32.756]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:33:32.756 --> 00:33:40.781]  Here we are, ladies and gentlemen.
[00:33:40.781 --> 00:33:47.385]  One of the crew gave me an amazing, amazing Ephesians Bible quote.
[00:33:47.385 --> 00:33:47.826]  So true.
[00:33:49.608 --> 00:33:57.410]  And have no fellowship with the unfruitful works of darkness, but rather expose them.
[00:33:57.410 --> 00:34:02.912]  For it is shameful even to speak of those things which are done by them in secret.
[00:34:02.912 --> 00:34:07.934]  But all things that are exposed are made manifest by the light.
[00:34:07.934 --> 00:34:11.335]  For whatever makes manifest is light.
[00:34:11.335 --> 00:34:19.397]  Therefore, he says, awake you who sleep, arise from the dead, and Christ will give you light.
[00:34:22.096 --> 00:34:24.717]  Powerful truth.
[00:34:24.717 --> 00:34:27.938]  Inspired by the big guy.
[00:34:27.938 --> 00:34:31.520]  Not Donald Trump, the big guy.
[00:34:31.520 --> 00:34:36.561]  So, I want to show TV viewers this.
[00:34:36.561 --> 00:34:39.402]  Maybe we can put it on screen in there.
[00:34:39.402 --> 00:34:40.143]  Look at this logo.
[00:34:40.143 --> 00:34:41.223]  This is happening all over the country.
[00:34:41.223 --> 00:34:46.825]  So, convicted pedophiles coming and having your five-year-old sit on their lap, sometimes unannounced in places like Denver.
[00:34:46.825 --> 00:34:51.207]  That's not bad enough, but zoom in on this or maybe put it up from InfoWars so you can see.
[00:34:53.035 --> 00:34:58.398]  The Satanic Temple After School Satan Club.
[00:34:58.398 --> 00:35:03.301]  And it's a friendly, happy little Satan.
[00:35:03.301 --> 00:35:08.223]  And it's even got the messed up, lazy eye like the head of it.
[00:35:08.223 --> 00:35:16.788]  And he's going to teach you how to be avant-garde, and he's going to teach you God doesn't exist.
[00:35:19.043 --> 00:35:21.986]  Satanism is not really about hurting children.
[00:35:21.986 --> 00:35:30.433]  They just want to have a relationship with children.
[00:35:30.433 --> 00:35:31.895]  Let me read to you from Ephesians again.
[00:35:31.895 --> 00:35:36.539]  I'm going to play the Tucker Carlson clip next segment.
[00:35:36.539 --> 00:35:38.000]  The fruitless works of darkness.
[00:35:40.698 --> 00:35:48.365]  I mean the truth is there's side effects and problems but they've been testing for 20 years mRNA stuff and I mean it like cures cancer and stuff.
[00:35:48.365 --> 00:35:51.687]  Problem is three, four, five percent of the time it liquefies your liver.
[00:35:51.687 --> 00:35:55.891]  They don't, they're not really sure why but your body just goes what the hell is this?
[00:35:55.891 --> 00:36:09.262]  But yeah, now they've got the fountain of youth but if you drink from the wrong cup just like in the third installment of Indiana Jones that was so cheesy but you pick the wrong cup it gives you death.
[00:36:12.110 --> 00:36:16.193]  I mean, this is God-like power, and they don't know how it works.
[00:36:16.193 --> 00:36:17.955]  That's why they want to test it all on us.
[00:36:17.955 --> 00:36:19.756]  This isn't just vaccines you're being given.
[00:36:19.756 --> 00:36:21.097]  You're being tracked, you're being traced.
[00:36:21.097 --> 00:36:35.309]  That's why it's done with your name and number and at big injection facilities run by the military and by big giant groups that really aren't even private companies like Walmart and others, because you're being put in a database, you're being given specific injections.
[00:36:38.608 --> 00:36:39.409]  You're being tracked.
[00:36:39.409 --> 00:36:41.730]  You're being given all sorts of mutagens.
[00:36:41.730 --> 00:36:45.292]  And by the way, this came out in, what was it, Lithuania last week.
[00:36:45.292 --> 00:37:04.963]  They had their chief medical officer of the country, and then some of the adjuncts came out as well, and they said, listen, we've gotten the batches these come in with, and we're supposed to put it in a computer, and one is saline, one is the vaccine that's bad enough, and one says mutagenic.
[00:37:04.963 --> 00:37:07.285]  They're giving you mutant shots to see what it does.
[00:37:09.520 --> 00:37:14.562]  And we know with Pfizer, it's immortal cell line stuff.
[00:37:14.562 --> 00:37:17.883]  And if you don't know what immortal cell lines are, it's super cancer.
[00:37:17.883 --> 00:37:19.484]  Like Superman isn't real.
[00:37:19.484 --> 00:37:21.444]  Krypton's not real.
[00:37:21.444 --> 00:37:22.785]  But this is real.
[00:37:22.785 --> 00:37:28.907]  You can put immortal cell lines in a petri dish and come back five years later, it's still alive with no food.
[00:37:28.907 --> 00:37:29.968]  You gotta burn it to kill it.
[00:37:29.968 --> 00:37:31.448]  It's basically a vampire.
[00:37:31.448 --> 00:37:32.889]  And they'll divide forever.
[00:37:32.889 --> 00:37:34.649]  They never die.
[00:37:34.649 --> 00:37:36.250]  The telomeres don't ever go away.
[00:37:37.651 --> 00:37:42.033]  And they claim they found five people worldwide that had this, but it's more than that.
[00:37:42.033 --> 00:37:59.781]  That's why they take blood at birth from babies and, oh, we're sending it for a blood test to make sure your child doesn't have a deficiency in vitamin K. We first broke it from a nurse at the big research facility at San Antonio, Fort Sam Houston.
