[00:00:05.911 --> 00:00:07.112]  It's Monday, April 27th.
[00:25:27.313 --> 00:25:32.598]  At first, it's believed to be a search for biological weapons and it's pursued without regard to its cost.
[00:25:33.917 --> 00:25:37.260]  However, the true goal of this project is power.
[00:25:37.260 --> 00:25:40.082]  Complete and total hegemonic domination.
[00:25:40.082 --> 00:25:44.725]  The project, however, ends violently.
[00:25:44.725 --> 00:25:50.970]  But the efforts of those involved are not in vain, for a new ability to wage war is born from the blood of our victims.
[00:25:52.580 --> 00:25:59.663]  Imagine a virus, the most terrifying virus you can, and then imagine that you and you alone have the cure.
[00:25:59.663 --> 00:26:03.645]  But if your ultimate goal is power, how best to use such a weapon?
[00:26:03.645 --> 00:26:08.867]  Or is that this point in our story that along comes a spider?
[00:26:08.867 --> 00:26:18.632]  He is a man seemingly without a conscience, for whom the ends always justify the means, and it is he who suggests that their target should not be an enemy of the country, but rather the country itself.
[00:26:19.801 --> 00:26:22.582]  Three targets are chosen to maximize the effect of the attack.
[00:26:22.582 --> 00:26:25.963]  A school, a tube station and a water treatment plant.
[00:26:25.963 --> 00:26:28.543]  Several hundred die within the first few weeks.
[00:26:28.543 --> 00:26:31.104]  The Three Waters has, in fact, been contaminated.
[00:26:31.104 --> 00:26:33.965]  Authorities are attempting to control its deadly spread.
[00:26:33.965 --> 00:26:36.646]  There's a wave of destruction throughout the underground.
[00:26:36.646 --> 00:26:44.548]  Fueled by the media, fear and panic spread quickly, fracturing and dividing the country until at last the true goal comes into view.
[00:26:45.720 --> 00:26:46.322]  Before the St.
[00:26:46.322 --> 00:26:50.212]  Mary's crisis, no one would have predicted the results of the election that year.
[00:26:50.212 --> 00:26:51.355]  No one.
[00:26:51.355 --> 00:26:54.664]  And then, not long after the election, lo and behold, a miracle.
[00:26:56.149 --> 00:27:05.575]  Some believed it was the work of God himself, but it was a pharmaceutical company controlled by certain party members that made them all obscenely rich.
[00:27:05.575 --> 00:27:15.041]  A year later, several extremists are tried, found guilty, and executed while a memorial is built to canonize their victims.
[00:27:15.041 --> 00:27:18.163]  But the end result, the true genius of the plan, was the victim.
[00:27:19.978 --> 00:27:29.022]  Fear became the ultimate tool of this government, and through it, our politician was ultimately appointed to the newly created position of High Chancellor.
[00:27:29.022 --> 00:27:31.543]  The rest, as they say, is history.
[00:27:31.543 --> 00:27:36.005]  Can you prove any of this?
[00:27:36.005 --> 00:27:40.608]  Why do you think I'm still alive?
[00:27:40.608 --> 00:27:41.728]  Right.
[00:27:41.728 --> 00:27:44.709]  We'd like to take you into protective custody, Mr. Rookwood.
[00:27:44.709 --> 00:27:46.710]  Oh, I'm sure you would.
[00:27:46.710 --> 00:27:47.931]  But if you want that recording,
[00:27:48.704 --> 00:27:50.044]  He'll do what I tell you to do.
[00:27:50.044 --> 00:27:54.825]  You put Creedy under 24-hour surveillance.
[00:27:54.825 --> 00:27:59.046]  When I feel safe that he can't pick his nose without you knowing, I'll contact you again.
[00:27:59.046 --> 00:28:02.187]  Till then, cheerio.
[00:28:02.187 --> 00:28:06.347]  We're upward.
[00:28:06.347 --> 00:28:09.488]  Why didn't you come forward before?
[00:28:09.488 --> 00:28:10.908]  What were you waiting for?
[00:28:10.908 --> 00:28:13.329]  Well, for you, Inspector.
[00:28:13.329 --> 00:28:14.009]  I needed you.
[00:28:20.157 --> 00:28:24.421]  Which is the metaphor for us caring and standing up and getting involved.
[00:28:24.421 --> 00:28:27.583]  And that's why they want to put me in prison and want to kill me.
[00:28:27.583 --> 00:28:29.565]  I can't get into it yet on air, but I will soon.
[00:28:29.565 --> 00:28:34.609]  But they told me, stop advising the president.
[00:28:34.609 --> 00:28:37.732]  My very existence means I advise the president.
[00:28:37.732 --> 00:28:40.214]  And I think I'm just going to lay it out on air.
[00:28:40.214 --> 00:28:44.878]  I didn't choke earlier, but I just said, I just go ahead and do this.
[00:28:46.178 --> 00:28:47.363]  I think I will.
[00:28:47.363 --> 00:28:48.549]  Before it's too late.
[00:28:48.549 --> 00:28:49.192]  We'll be right back.
[00:28:49.192 --> 00:28:50.196]  I'm Alex Jones.
[00:28:50.196 --> 00:28:50.618]  Stay with us.
[00:28:56.653 --> 00:28:58.494]  Hand sanitizer is not an option.
[00:28:58.494 --> 00:28:59.715]  It's now a must have.
[00:28:59.715 --> 00:29:00.976]  But where can you find it?
[00:29:00.976 --> 00:29:03.017]  Online at twenty twenty safe dot net.
[00:29:03.017 --> 00:29:07.901]  The highest quality hand sanitizer that destroys microorganisms and prevents transmission of pathogens.
[00:29:07.901 --> 00:29:11.963]  Now available in a one liter bottle with a bonus at twenty twenty safe dot net.
[00:29:11.963 --> 00:29:17.227]  When you order a one liter bottle of our high quality hand sanitizer, you'll receive a 30 cup bottle of immune booster.
[00:29:17.227 --> 00:29:21.229]  A fourteen ninety five value free by using code GCN at checkout.
[00:29:21.229 --> 00:29:26.593]  Twenty twenty safe dot net offers many natural products to help support health and help you live a more fulfilled life.
[00:29:26.793 --> 00:29:32.678]  From germ zapping hand sanitizer to immune building nutraceuticals to natural stress, anxiety and sleep aids.
[00:29:32.678 --> 00:29:36.361]  Twenty twenty safe dot net has what you need in stock today.
[00:29:36.361 --> 00:29:38.723]  Just click twenty twenty safe dot net.
[00:29:38.723 --> 00:29:47.590]  That's 2 0 2 0 s a f e dot net to get our one liter bottle of high quality hand sanitizer with your bonus free 30 count bottle of immune booster.
[00:29:47.590 --> 00:29:50.292]  Remember to enter GCN at checkout and the bonus is
[00:29:57.934 --> 00:30:03.098]  Cobra is now in command of you and your family.
[00:30:03.098 --> 00:30:18.608]  Google and Facebook, as well as Apple, work closely with our organization, the ISCOR, to surveil your every movement with robot drones and other systems to ensure the safety of the public.
[00:30:19.348 --> 00:30:32.176]  Of course it was I 12 years ago with Obama, who serves us well, and Fauci, who transferred the bioweapons to Communist China so we could now release the weapons.
[00:30:32.176 --> 00:30:45.624]  But without the loving liberal media scaring you into submission, and the corporate press, worshiping corporations that shut down all access, as well as blue city governors and mayors,
[00:30:46.044 --> 00:30:55.010]  We would never have been able to give you a depression that will destroy your future forever and starve the third world.
[00:30:55.010 --> 00:30:57.892]  Well done, American cowards!
[00:30:57.892 --> 00:30:59.733]  How do you put a people under house arrest?
[00:30:59.733 --> 00:31:01.735]  How do you put them under siege?
[00:31:01.735 --> 00:31:15.464]  Well, you tell them you're protecting them from a virus that you yourself cooked up with the globalist Deep State and then had China release to then take down the populist president and those pesky American people that have become too uppity.
[00:31:16.244 --> 00:31:17.584]  Bill Maher even admitted it.
[00:31:17.584 --> 00:31:19.445]  Man, I hope we have a depression.
[00:31:19.445 --> 00:31:34.770]  And now they've tailored the whole thing, where the big corporations and the media are going to keep the country closed, along with the help of the blue cities and blue states, all the time blaming Trump and capitalism and Americanism for the depression it creates.
[00:31:34.770 --> 00:31:37.791]  If America is that stupid, we deserve what happens to us.
[00:31:37.791 --> 00:31:41.152]  But as for me, I'm not sitting here and I'm not taking it.
[00:31:41.152 --> 00:31:45.293]  It's all the nanny state and the peer pressure that they're the good people keeping everybody safe.
[00:31:46.013 --> 00:31:47.674]  But that's not what they're doing.
[00:31:47.674 --> 00:31:57.438]  They are pulling America up by its roots and irrevocably damaging our savings, our health, our whole world, and committing millions of third world people to death.
[00:31:57.438 --> 00:31:59.819]  I'm always excited about InfoWars Life products.
[00:31:59.819 --> 00:32:05.781]  They're amazing, they're cutting edge, you love them, I love them, and they fund the InfoWar in the face of the globalist onslaught.
[00:32:05.781 --> 00:32:09.723]  But we have come up with a new product over a year in development.
[00:32:10.888 --> 00:32:12.529]  That is amazing.
[00:32:12.529 --> 00:32:20.193]  The only organic hand sanitizer on the market with organic essential oils on top of it.
[00:32:20.193 --> 00:32:22.534]  And there's another innovation.
[00:32:22.534 --> 00:32:24.615]  It's the spray cap.
[00:32:24.615 --> 00:32:30.018]  It doesn't just pour out a bunch of thick, gross goo, but it's high quality.
[00:32:30.018 --> 00:32:32.199]  It aerosolizes it in a really great way.
[00:32:32.199 --> 00:32:33.120]  I like to put it on my hands.
[00:32:33.860 --> 00:32:35.361]  Rub a little bit on my face.
[00:32:35.361 --> 00:32:38.184]  It's got organic alcohol in it, so don't spray it right in your eyes.
[00:32:38.184 --> 00:32:42.567]  But I just love it, personally, as something that's a moisturizer as well.
[00:32:42.567 --> 00:32:44.369]  So, this is a real innovation.
[00:32:44.369 --> 00:32:50.714]  I don't know why others didn't think of coming out with a hand sanitizer that actually has essential oil in it, so it doesn't dry you out.
[00:32:50.714 --> 00:32:52.255]  It smells great.
[00:32:52.255 --> 00:32:54.077]  It's so refreshing.
[00:32:54.077 --> 00:32:54.958]  This is a big winner.
[00:33:00.695 --> 00:33:10.601]  You're listening to the Alex Jones Show.
[00:33:10.601 --> 00:33:13.283]  Waging war on corruption.
[00:33:13.283 --> 00:33:22.689]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:33:22.689 --> 00:33:28.633]  So, there is a massive criminal conspiracy
[00:33:29.980 --> 00:33:38.166]  Being carried out by powerful corporations and powerful governments against your country.
[00:33:38.166 --> 00:33:41.228]  And the conspirators have been exposed.
[00:33:41.228 --> 00:33:43.630]  Their operations have come out.
[00:33:43.630 --> 00:33:44.331]  What are they going to do?
[00:33:44.331 --> 00:33:47.193]  Well, they're going to release a bioweapon.
[00:33:47.193 --> 00:33:48.294]  It's a weapon they own.
[00:33:48.294 --> 00:33:50.916]  A novel virus they've engineered.
[00:33:50.916 --> 00:33:53.958]  The Discoverer of HIV Nobel Prize winner has said that.
[00:33:57.162 --> 00:34:03.025]  You had other top scientists come out and say it's conclusive, there's no doubt.
[00:34:03.025 --> 00:34:17.031]  And then you look at Fauci and Gates and the NIH and the Chai Koms and the globalists and how they hyped up the fear, how they released it, how they blocked Trump from stopping people coming in, then how they turned around and blamed Trump.
[00:34:17.031 --> 00:34:17.931]  It goes on and on.
[00:34:19.878 --> 00:34:22.899]  And so they've launched their big, giant, bold move.
[00:34:22.899 --> 00:34:27.340]  And they believe it's going to bring in their digital ID, their forced inoculations, their total control.
[00:34:27.340 --> 00:34:29.261]  It legitimizes their censorship, they believe.
[00:34:29.261 --> 00:34:35.603]  They're all over the news bragging about that, crowing about it.
[00:34:35.603 --> 00:34:37.603]  But things aren't going well for them.
[00:34:37.603 --> 00:34:39.384]  There's major cracks in their operations.
[00:34:41.894 --> 00:35:01.479]  And so when I talk about President Trump being a normal person and actually trying to be the president and actually not doing what the globalists tell him, it's because I personally know the backstory from a lot of angles that other people wouldn't know if they weren't, say, a Rush Limbaugh, a Tucker Carlson, an Alex Jones.
