[00:00:00.250 --> 00:00:00.350]  What?
[01:48:44.149 --> 01:48:47.990]  There is a private global corporate government, now operating in the open,
[01:48:50.430 --> 01:48:55.979]  That is based on the quack science of eugenics.
[01:48:55.979 --> 01:49:03.550]  And to put that in a pop culture context, or something the general public will understand, Hitler was a eugenicist.
[01:49:05.146 --> 01:49:08.487]  And he got his ideas from scientists in England and the United States.
[01:49:08.487 --> 01:49:21.112]  Now, the robber barons, like the Rockefellers, that funded Hitler early on in the Kaiser Wilhelm Institute, still control this nation and much of the world today.
[01:49:21.112 --> 01:49:32.137]  And the entire development of modern sciences, through large tax-free foundations and government funding, and DARPA, that President Eisenhower warned us about,
[01:49:32.970 --> 01:49:38.573]  Has been in the direction of basically creating an artificial habitat.
[01:49:38.573 --> 01:49:48.379]  An artificial system where the scientific dictators, or the technocrats as they call themselves, play God over us and manipulate us.
[01:49:48.379 --> 01:49:51.600]  They see us as lab rats, as guinea pigs.
[01:49:51.600 --> 01:49:59.745]  Now, in the last decade I've talked a lot about eugenics, really for more than 16 years on air, but intensely for 10 years or more.
[01:50:00.678 --> 01:50:21.246]  And in the different documents that we're going to show you here, we found the UN documents, the Planned Parenthood documents, the World Population Organization documents, where they openly discussed breaking up the family, getting rid of the quote, arcane institution, so they could have their international collectivist system.
[01:50:22.086 --> 01:50:25.851]  Shutting down all competition against the ultra-rich.
[01:50:25.851 --> 01:50:29.336]  That is the system that we face as a society.
[01:50:29.336 --> 01:50:31.259]  I'm going to go over some of those documents.
[01:50:31.259 --> 01:50:33.381]  But up front, I want to just say this.
[01:50:33.381 --> 01:50:36.406]  The system is scared to death of this information.
[01:50:37.338 --> 01:50:58.242]  Three years ago, they had a bunch of different George Soros-affiliated and Democratic Party-affiliated groups come out against me and really simplify the straw man that they built, and go after me by saying, Alex Jones says the government is putting chemicals in your food and water to make you gay.
[01:50:58.242 --> 01:51:05.804]  What I had actually said was, this fienale alone that's in thousands of plastic products, printer ink,
[01:51:07.518 --> 01:51:09.780]  You name it.
[01:51:09.780 --> 01:51:23.954]  Is lowering male fertility, is a estrogen mimicker, and is feminizing boys and men, and hyper-feminizing women, and has been linked in major studies to breast cancer and other cancers.
[01:51:23.954 --> 01:51:29.680]  It is devastating our society, and these hormonal disruptors
[01:51:31.397 --> 01:51:47.808]  Are actually running off into the lakes, streams and rivers and confusing the sexual reproduction of nutria rats, rodents, fish, turtles, you name it.
[01:51:47.808 --> 01:51:52.931]  This is a toxic waste and it is added to our water.
[01:51:52.931 --> 01:51:54.352]  It is added to our food.
[01:51:54.352 --> 01:52:00.857]  It is added through the plastics that are in almost everything to our daily lives.
[01:52:01.997 --> 01:52:03.577]  To reduce our fertility.
[01:52:03.577 --> 01:52:08.138]  Now I want to show you first this document.
[01:52:08.138 --> 01:52:16.080]  This is from Planned Parenthood to the President of the Population Council that was tied in with the United Nations.
[01:52:16.080 --> 01:52:22.122]  And in it they break down in 1969 plans to lower population and destroy the family.
[01:52:24.059 --> 01:52:25.761]  Postpone or avoid marriage.
[01:52:25.761 --> 01:52:28.864]  B. Alter image of ideal family size.
[01:52:28.864 --> 01:52:31.266]  Demonize having more than one child.
[01:52:31.266 --> 01:52:32.968]  Compulsory education of children.
[01:52:32.968 --> 01:52:34.489]  They mean brainwashing.
[01:52:34.489 --> 01:52:35.750]  Listen to this one.
[01:52:35.750 --> 01:52:38.033]  Encourage increased homosexuality.
[01:52:39.312 --> 01:52:40.453]  Here's another one.
[01:52:40.453 --> 01:52:42.574]  Educate for Family Limitation.
[01:52:42.574 --> 01:52:45.715]  Fertility Control Agents in Water Supply.
[01:52:45.715 --> 01:52:51.738]  And the current White House science star, John B. Holdren, is on record in multiple books calling for this as well.
[01:52:51.738 --> 01:52:52.959]  And I got news for you.
[01:52:52.959 --> 01:52:54.440]  It's going on now.
[01:52:55.340 --> 01:53:00.602]  You are being forcibly drugged with toxic chemicals.
[01:53:00.602 --> 01:53:08.764]  Hundreds of them are added to the water supply, including radioactive isotopes, not just sodium fluoride, that gives you a seven-fold increase in cancer.
[01:53:08.764 --> 01:53:14.026]  They have gone absolutely ape over the fact that I'm talking about this.
[01:53:14.026 --> 01:53:17.747]  Because it hits at the core of how these scientists are playing God.
[01:53:17.747 --> 01:53:17.987]  Okay?
[01:53:19.861 --> 01:53:24.124]  This is not saying that people in the Roman times, some of them weren't gay or whatever.
[01:53:24.124 --> 01:53:26.245]  This is not about a moral issue.
[01:53:26.245 --> 01:53:36.351]  This is about to reduce population, giving men estrogen mimickers so that they're not attracted to women and so they're less fertile or infertile.
[01:53:36.351 --> 01:53:43.395]  But on the other side, it's making girls go into puberty at 9, 10 years old, many of them now at 5.
[01:53:43.395 --> 01:53:45.437]  I've seen some articles as young as 3.
[01:53:45.437 --> 01:53:47.438]  This is all over the Western world.
[01:53:47.918 --> 01:53:55.423]  The United States has the highest cancer rates, especially in women and breast cancer.
[01:53:55.423 --> 01:53:58.865]  It basically accelerates the aging process to simplify it.
[01:53:58.865 --> 01:54:01.087]  It does a bunch of other horrible things as well.
[01:54:01.087 --> 01:54:09.412]  It causes deformities in utero, causes more abortions, women to have miscarriages, and that's what this document gets into.
[01:54:09.412 --> 01:54:17.358]  It says compulsory abortion, or out-of-wedlock pregnancies, compulsory sterilization of all who have had two children.
[01:54:18.280 --> 01:54:19.581]  What do you see in China?
[01:54:19.581 --> 01:54:23.444]  Our government went over there in the 70s, made a deal with the U.S.
[01:54:23.444 --> 01:54:24.685]  government and the U.N.
[01:54:24.685 --> 01:54:27.788]  to industrialize China and finance them if they do this.
[01:54:27.788 --> 01:54:36.615]  And now I see articles where they have forced abortions, where they're arresting people or taking their property if they have more children than the state says they can have.
[01:54:36.615 --> 01:54:38.036]  China is the model of the world.
[01:54:38.416 --> 01:54:40.277]  Break out of this matrix.
[01:54:40.277 --> 01:54:51.720]  Realize that you live in a controlled society and an artificially constructed civilization that is designed to dehumanize you and strip you of what it is to be a human.
[01:54:51.720 --> 01:54:54.381]  Taking over our very reproductive process.
[01:54:55.001 --> 01:54:55.301]  I think?
[01:55:16.209 --> 01:55:32.762]  CBS News, ABC News, you name it, attacking myself and Ron Paul saying Ron Paul goes on Alex Jones' show and Alex Jones says the government's putting chemicals in your food and water to make you gay.
[01:55:32.762 --> 01:55:39.428]  You see, they know people are reading that and so they take all this research and they just turn it into Alex says they want to make you gay.
[01:55:39.428 --> 01:55:40.749]  Look, Ron Paul goes on their show.
[01:55:42.366 --> 01:55:51.133]  When what I've really shown here is this is being done to reduce fertility, to increase cancer, and to destroy our normal gender roles.
[01:55:51.133 --> 01:55:54.797]  You're taking people's choices to have children away.
[01:55:54.797 --> 01:55:58.860]  You're taking people's choices to choose their sexual preference away.
[01:55:58.860 --> 01:56:03.444]  You know, they spin it to say you're born this way, and certainly there's different variants of it.
[01:56:03.444 --> 01:56:05.005]  Some of it is natural.
[01:56:05.005 --> 01:56:08.368]  But they're artificially adding chemicals that are making rats.
[01:56:09.589 --> 01:56:12.190]  Be confused about their gender, male and female.
[01:56:12.190 --> 01:56:13.670]  You're being chemically altered.
[01:56:13.670 --> 01:56:14.931]  Here are the documents.
[01:56:14.931 --> 01:56:17.772]  Here's the White House Science Center calling for adding stuff to the water.
[01:56:17.772 --> 01:56:20.572]  And their answer is, oh, Alex doesn't like gay people.
[01:56:20.572 --> 01:56:23.173]  That has nothing to do with this.
[01:56:23.173 --> 01:56:28.735]  This is about science and being manipulated by a technocracy that's playing God.
[01:56:28.735 --> 01:56:38.718]  The Centers for Disease Control has come out after public pressure and after scientific pressure and admitted that what's in the printer ink and the receipt ink and on the money
[01:56:39.578 --> 01:57:00.567]  And in thousands of products, TV dinners, you name it, toilet paper that people are touching is an estrogen mimicker and was chosen out of thousands of different varieties to be a chemical in the environment to reduce fertility and to basically turn men into servile creatures.
[01:57:00.567 --> 01:57:06.329]  The globalists just want to subdue the population so they can engage in chemical and biological warfare against us.
[01:57:06.969 --> 01:57:10.192]  Our water, our food, it's all being manipulated.
[01:57:10.192 --> 01:57:14.896]  And it's admitted now that the majority of water supplies in the U.S.
[01:57:14.896 --> 01:57:23.023]  have high levels of Prozac, high levels of female hormones, high levels of hundreds and hundreds of other chemicals that are, quote, runoff.
[01:57:23.023 --> 01:57:25.646]  The problem is, I've seen the major studies.
[01:57:25.646 --> 01:57:30.710]  In some cases, this stuff is 200, 300, 400 times higher than it could be from sewage runoff.
[01:57:30.710 --> 01:57:33.312]  It's being added to the water.
[01:57:34.293 --> 01:57:40.241]  There's a reason the American people and the people of Western Europe will put up with such incredible tyranny.
[01:57:40.241 --> 01:57:44.167]  It's because we've been chemically and biologically manipulated.
[01:57:44.167 --> 01:57:46.410]  And you find out what it's doing to people.
[01:57:46.410 --> 01:57:47.912]  It is mind-boggling.
[01:57:47.912 --> 01:57:49.994]  This is a holocaust that's going on.
