[00:00.000 --> 00:25.000]  I don't want to believe this. I don't want to be right. I want to be wrong. But I'm sorry.
[37:54.000 --> 37:58.000]  Illuminati whatever you want to call it plot.
[37:58.000 --> 38:02.000]  That at its foundation is a population control eugenics program.
[38:02.000 --> 38:13.000]  I mean do they steal the idea from Stephen King or did Stephen King take the idea from them back in the 70s.
[38:13.000 --> 38:20.000]  Maybe a little bit of both here is a public service announcement.
[38:20.000 --> 38:24.000]  This is from 1976.
[38:24.000 --> 38:27.000]  I want you to watch this and listen to this.
[38:27.000 --> 38:32.000]  And if you have the historical knowledge of of this time period.
[38:32.000 --> 38:41.000]  It's even more shocking but I'll tell you that when the clip finishes a public service announcement from 1976.
[38:41.000 --> 38:45.000]  Coercing the American people into getting a vaccine.
[38:45.000 --> 38:51.000]  I don't need another flu shot. I had a flu shot last year. A swine flu epidemic may be coming.
[38:51.000 --> 38:55.000]  Swine flu shot. Well I don't know. I've been thinking about it.
[38:55.000 --> 38:58.000]  It could make you very sick.
[38:58.000 --> 39:02.000]  Swine flu. Man I'm too fast today to catch me.
[39:02.000 --> 39:04.000]  You'll want to be protected.
[39:04.000 --> 39:09.000]  I'm the healthiest 55 year old you've ever seen. Hey I play golf every weekend.
[39:09.000 --> 39:14.000]  Get a shot of protection. The swine flu shot.
[39:14.000 --> 39:23.000]  Now. So there it is the same fear mongering. Oh you better get the shot or you're going to be really sick.
[39:23.000 --> 39:31.000]  And if you know anything about that swine flu shot it was a complete disaster.
[39:31.000 --> 39:35.000]  All kinds of bad side effects. All kinds of injuries.
[39:35.000 --> 39:40.000]  Wasn't effective. It was a disaster.
[39:40.000 --> 39:51.000]  And it's the same thing where the big pharmaceutical companies control the politicians control the media.
[39:51.000 --> 39:57.000]  So they have all of this influence to run the fear campaigns.
[39:57.000 --> 40:02.000]  Get you to take a shot. Now it's beyond fear campaigns. They still run the fear campaigns.
[40:02.000 --> 40:08.000]  Now they have the actual tyranny campaigns and they force you to take a vaccine.
[40:08.000 --> 40:12.000]  Or you can't travel. You can't go to a restaurant. You can't have a job.
[40:12.000 --> 40:18.000]  And this is being introduced all over the planet now. There is pushback but it's happening.
[40:18.000 --> 40:26.000]  But again did we not learn our lesson from the swine flu shot. All kinds of legal settlements.
[40:26.000 --> 40:30.000]  We didn't learn our lesson.
[40:30.000 --> 40:38.000]  Same fear mongering campaign. Same peer pressure. Media pressure to getting the vaccine.
[40:38.000 --> 40:42.000]  Fear pressure to getting the vaccine. And then all the side effects. Total disaster.
[40:42.000 --> 40:45.000]  And we didn't learn anything and now we're doing the exact same thing again.
[40:45.000 --> 40:49.000]  Except it's much worse this time. Much much worse.
[40:49.000 --> 40:58.000]  So it's just the same. It's just the same plot. The same simulation. The same mission.
[40:58.000 --> 41:08.000]  This is from the yeah the crew is just pulling up all these cases of the swine flu vaccines and all the settlements and everything.
[41:08.000 --> 41:14.000]  So I mean at the time the swine flu vaccines were the biggest settlements ever for vaccines.
[41:14.000 --> 41:24.000]  It was such a disaster. Then they had to make the manufacturers of the vaccines legally exempt from lawsuits.
[41:24.000 --> 41:32.000]  So total disaster. And then big pharmaceutical companies that make vaccines had so much power and influence over our government and media.
[41:32.000 --> 41:39.000]  They were able to make it so they can make a vaccine and if you die taking it they cannot be held accountable or have any injury.
[41:39.000 --> 41:45.000]  You cannot sue them. They cannot be held liable.
[41:45.000 --> 41:50.000]  So then they got the secret vaccine courts. They got the legal immunity.
[41:50.000 --> 42:03.000]  And now here they are worse than ever pushing a much more dangerous shot for their fear-mongered fake pandemic.
[42:03.000 --> 42:11.000]  And just like in the 70s the media is controlled by Big Pharma and our politicians are controlled by Big Pharma.
[42:11.000 --> 42:22.000]  And we just have to sit here like guinea pigs in an experiment. Sit here like cattle on a ranch and get branded and get herded and pushed around and told what to do.
[42:22.000 --> 42:29.000]  And then they go on television and they say screw your freedoms. They go on television and say you're not free.
[42:29.000 --> 42:36.000]  They go on television and they say freedom is too costly now.
[42:36.000 --> 42:43.000]  And I hope that we as Americans are not going to be this stupid.
[42:43.000 --> 42:52.000]  I really hope. So I'm going to get into the news with all these developments coming up. But just don't forget this is not the first time they faked a pandemic.
[42:52.000 --> 43:07.000]  And this is not the first time they've tried to force you to take a deadly vaccine because.
[43:07.000 --> 43:22.000]  Now back at stock just came back in yesterday. Very powerful pure tumor extract tincture. Not a sure immune system.
[43:22.000 --> 43:28.000]  But for inflammation and a lot more and then sold off more than six months because of supply chain breakdowns.
[43:28.000 --> 43:39.000]  We finally have the activated charcoal toothpaste with natural peppermint and so much more back in stock from Dr. Jones naturals and the mouthwash with the activated charcoal and essential oils is back in stock.
[43:39.000 --> 43:47.000]  These are great products. They're high quality and they fund the info wars. So thank you all for your support. Check them out today at info wars store dot com.
[43:47.000 --> 43:57.000]  The cell runs for only one week. It is the booster bodies natural defenses super sale and another part of the cell ending is the privacy pouches for your cell phone.
[43:57.000 --> 44:02.000]  So when I first started taking survival skills, basically I was 275 pounds overweight.
[44:02.000 --> 44:09.000]  I had brain fog like you wouldn't believe. I was barely holding on to a job and I heard Dr. Grip on your show and I listened to it.
[44:09.000 --> 44:16.000]  So the first one I got was the original survival shield. The X one and it worked pretty good. And then shortly thereafter you came out with that.
[44:16.000 --> 44:27.000]  You know, with a deeper source, you know, and I got really excited about that. So I took it and then in two weeks I went from brain fog to like literally like my brain was enlightened. You know, I could think again.
