[00:00:04.497 --> 00:00:06.372]  Mechanism, not globalism!
[00:20:02.964 --> 00:20:05.565]  Let me just read a little thing here from agenda 21.
[00:20:05.565 --> 00:20:06.786]  Individual rights.
[00:20:06.786 --> 00:20:09.167]  We'll have to take a back seat to the collected.
[00:20:09.167 --> 00:20:11.128]  Well, you know what the next move's gonna be, don't you?
[00:20:11.128 --> 00:20:12.328]  It's gonna be coming after your gun.
[00:20:12.328 --> 00:20:15.870]  When I was a boy, it was okay to be proud of the flag.
[00:20:15.870 --> 00:20:18.051]  And beef was for supper.
[00:20:18.051 --> 00:20:18.851]  Revelation.
[00:20:18.851 --> 00:20:20.792]  Dawn of global government.
[00:20:20.792 --> 00:20:22.593]  The ethical screening's on demand.
[00:20:22.593 --> 00:20:23.853]  DVD's now available.
[00:20:23.853 --> 00:20:27.275]  Wanna shed some tears over the red, white, and blue?
[00:20:27.275 --> 00:20:28.115]  Revelation.
[00:20:28.115 --> 00:20:28.776]  The movie.
[00:20:28.776 --> 00:20:29.356]  Dot info.
[00:20:29.736 --> 00:20:34.540]  KatiArmor.com is your one-stop shop for the highest quality body armor, period.
[00:20:34.540 --> 00:20:38.623]  With packages starting at $169.99 and free shipping on every order.
[00:20:38.623 --> 00:20:40.344]  Why would you go anywhere else?
[00:20:40.344 --> 00:20:43.247]  Kati offers rifle thread rated armor up to level 4.
[00:20:43.247 --> 00:20:44.988]  And now introducing Trauma Pads.
[00:20:44.988 --> 00:20:49.271]  Go to KatiArmor.com and get your body armor today while you still can.
[00:20:49.271 --> 00:20:53.935]  Mention this ad and receive a free water filter for a limited time with any body armor package.
[00:20:53.935 --> 00:20:55.376]  Go to KatiArmor.com.
[00:20:55.376 --> 00:20:57.478]  That's K-A-T-I-Armor.com.
[00:20:57.478 --> 00:20:58.479]  Come and take it.
[00:20:59.577 --> 00:21:07.664]  There is an affordable alternative to the high cost of health care that offers freedom from insurance while providing compliance with the Obamacare individual mandate.
[00:21:07.664 --> 00:21:13.929]  Imagine having access to quality, affordable health care that allows you the freedom to choose your doctor and hospital.
[00:21:13.929 --> 00:21:19.533]  Members can share up to 100% of necessary medical expenses, including some alternative treatments.
[00:21:19.533 --> 00:21:24.497]  Find out how you and your family can contain health care costs without giving up your freedom.
[00:21:24.497 --> 00:21:26.719]  Go to LibertyOnCall.org.
[00:21:26.719 --> 00:21:28.220]  That's LibertyOnCall.org.
[00:21:29.341 --> 00:21:31.243]  Fully cooked, ready to eat bacon.
[00:21:31.243 --> 00:21:34.466]  I'm talking thick, meaty, center cut, presidential bacon.
[00:21:34.466 --> 00:21:36.067]  Savory and delicious.
[00:21:36.067 --> 00:21:38.910]  I buy some, I use some, I store some.
[00:21:38.910 --> 00:21:39.570]  Awesome.
[00:21:39.570 --> 00:21:42.653]  No refrigeration needed with a 10 year shelf life.
[00:21:42.653 --> 00:21:44.215]  NASA PAC Technology.
[00:21:44.215 --> 00:21:44.595]  Bacon.
[00:21:44.835 --> 00:21:45.376]  Think about this.
[00:22:00.256 --> 00:22:12.849]  Your community's aging water infrastructure systems are very likely to be contaminated with heavy metals like lead, disinfection chemicals like ammonia, chlorine and chloramines, and pharmaceuticals like statins, pain meds and antidepressants.
[00:22:12.849 --> 00:22:16.873]  And no, water treatment plants are not equipped to filter these pharmaceutical toxins out.
[00:22:17.093 --> 00:22:20.937]  Protect your family's water supply with a trusted Big Berkey Water Filter.
[00:22:20.937 --> 00:22:31.830]  New NSF EPA certified lab tests show Big Berkey Water Filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride and much more.
[00:22:32.090 --> 00:22:35.511]  Big Berkey Water Filters are the original and most trusted on the market.
[00:22:35.511 --> 00:22:37.751]  The gold standard in water purification.
[00:22:37.751 --> 00:22:41.252]  And our filters last for years at less than two cents per gallon.
[00:22:41.252 --> 00:22:41.972]  Big Berkey.
[00:22:41.972 --> 00:22:45.073]  The one powerful enough to purify stagnant pond water.
[00:22:45.073 --> 00:22:46.733]  Get your Big Berkey today.
[00:22:46.733 --> 00:22:48.894]  Call 1-877-99-BERKEY or click BigBerkeyWaterFilters.com.
[00:22:48.894 --> 00:22:49.334]  That's 1-877-99-BERKEY.
[00:22:49.334 --> 00:22:50.514]  Big Berkey Water Filters.
[00:22:50.514 --> 00:22:51.395]  For the love of clean water.
[00:22:59.232 --> 00:23:01.733]  Have you ever wanted to quit your job and be your own boss?
[00:23:01.733 --> 00:23:03.634]  Interested in investing in real estate?
[00:23:03.634 --> 00:23:04.374]  Flipping homes?
[00:23:04.374 --> 00:23:06.595]  Paying off your mortgage in 5 to 10 years?
[00:23:06.595 --> 00:23:09.656]  Making up to $10,000 in commissions while you learn?
[00:23:09.656 --> 00:23:12.817]  Go to WealthCreationInstitution.com now.
[00:23:12.817 --> 00:23:19.500]  Find out why we're ranked in the top 2% of the fastest growing companies in the United States according to Inc.
[00:23:19.500 --> 00:23:19.620]  5000.
[00:23:19.620 --> 00:23:21.101]  Limited positions available.
[00:23:21.101 --> 00:23:21.781]  Go now.
[00:23:21.781 --> 00:23:24.002]  WealthCreationInstitution.com.
[00:23:24.002 --> 00:23:25.803]  That's WealthCreationInstitution.com.
[00:23:28.499 --> 00:23:31.860]  Did you know your car can be hacked just like your computer or phone?
[00:23:31.860 --> 00:23:37.102]  Hackers can hijack the signal of your own key fob to burglarize your vehicle in seconds.
[00:23:37.102 --> 00:23:43.345]  The Black Hole Faraday Key Fob Bag is a signal impenetrable shield that stops these hacks in their tracks.
[00:23:43.345 --> 00:23:45.645]  Protect one of your most valuable assets.
[00:23:45.645 --> 00:23:47.526]  Go to HackProofBag.com.
[00:23:47.526 --> 00:23:49.487]  That's HackProofBag.com.
[00:23:49.487 --> 00:23:51.748]  And use promo code RADIO to get 20% off.
[00:23:51.748 --> 00:23:52.228]  Or call 805-222-4584.
[00:23:52.228 --> 00:23:52.268]  805-222-4584.
[00:24:04.568 --> 00:24:07.611]  We're good to go.
[00:24:23.342 --> 00:24:26.925]  Then why did everybody want to move here and why was it such a game changer?
[00:24:26.925 --> 00:24:34.893]  Because the limited developments in freedom were light years ahead of what anybody else had done and became the model of the world.
[00:24:34.893 --> 00:24:43.881]  The good aspects of the republic are what the globalists want to remove and bring in ancient total imperial control.
[00:24:45.250 --> 00:24:47.872]  You look at globalism, it's the return of the kings.
[00:24:47.872 --> 00:24:49.974]  It's the corporate kings.
[00:24:49.974 --> 00:24:54.798]  It's like the 1970s rollerball movie, with James Caan, writ large.
[00:24:54.798 --> 00:24:58.201]  That's what they're establishing, in their own words.
[00:24:58.201 --> 00:25:00.844]  That's why they made movies about it, throwing it in your face.
[00:25:00.844 --> 00:25:05.007]  This is what they're setting up, and it's anti-human, it's anti-freedom.
[00:25:05.007 --> 00:25:10.973]  Now, that said, this is history, this is a huge victory, but the fight is just beginning.
[00:25:11.977 --> 00:25:13.718]  He has to go in and let those Republicans know.
[00:25:13.718 --> 00:25:15.459]  I have the people behind me.
[00:25:15.459 --> 00:25:16.199]  I have a mandate.
[00:25:16.199 --> 00:25:17.700]  You've seen the media collapse.
[00:25:17.700 --> 00:25:19.121]  You've seen the Republican establishment.
[00:25:19.121 --> 00:25:22.042]  You've seen everything they have thrown at Trump.
[00:25:22.042 --> 00:25:29.547]  And if they try to block him, he is going to absolutely, in the next election, remove all of them.
[00:25:29.547 --> 00:25:32.168]  He could start with major moves for recalls.
[00:25:32.168 --> 00:25:40.993]  It's time for the President to use his power with the people to mobilize them, because Paul Ryan and all these people, they want the power structure for themselves.
[00:25:44.622 --> 00:25:48.584]  Trump is not going to sit there and sell favors to them to go along with him.
[00:25:48.584 --> 00:25:51.625]  That's why they're so angry.
[00:25:51.625 --> 00:25:59.889]  And the stock market, you notice, they tried to plunge it to scare everybody, and we've looked at it, and the Open Market Committee of the President's not in there propping it up, but guess what?
[00:25:59.889 --> 00:26:04.431]  It's going up just as small investors, medium-sized, and others are jubilant.
[00:26:04.431 --> 00:26:05.912]  Look at DrugsReport.com.
[00:26:05.912 --> 00:26:07.693]  Trump rocks market.
[00:26:07.693 --> 00:26:09.274]  Investors exuberant.
[00:26:09.274 --> 00:26:11.855]  And then there's all these economists, including liberal ones,
[00:26:13.203 --> 00:26:19.365]  Going, you know what, actually, if he does what he says he's going to do, it's a super good plan.
[00:26:19.365 --> 00:26:25.588]  This is a guy that finishes most of his hotels 50% early and under budget.
[00:26:28.956 --> 00:26:34.121]  I mean, I guess it's the Scott in him, and he admits that, that he's an absolute penny pincher, ball buster.
[00:26:34.121 --> 00:26:37.944]  And just get ready, globalists, because Trump is coming after you.
[00:26:37.944 --> 00:26:41.728]  You have been pissing on this country forever, and it's going to stop.
[00:26:41.728 --> 00:26:51.537]  And that's why there's such this exuberance in Russia, because again, they've been under the very same corporations and banks that are squatting on top of us right now.
[00:26:51.537 --> 00:26:54.540]  Does that mean if we kick the globalists out, everything's going to be fine?
[00:26:54.540 --> 00:26:54.580]  No!
[00:26:55.595 --> 00:27:01.680]  And the globalists own so much and control so much, they're still going to be there, still going to be wealthy, still be owning almost everything.
[00:27:01.680 --> 00:27:10.108]  It's just they're not going to squeeze out the last few factories, the last few jobs, and make us all live in coffin apartments, and not have cars, and not have vacations.
[00:27:10.108 --> 00:27:17.614]  They admit they want to permanently end us, saying we're hurting the earth, then you get rid of your jumbo jets first.
[00:27:17.614 --> 00:27:19.936]  No, you want to conquer us.
[00:27:19.936 --> 00:27:22.538]  You want to rub out people with prosperity.
[00:27:22.538 --> 00:27:23.119]  That ain't happening.
[00:27:24.087 --> 00:27:28.252]  And that's why they're saying, lock her up, chanting in the stock market.
[00:27:28.252 --> 00:27:34.679]  And CNN, MSNBC and others don't know what to do.
[00:27:34.679 --> 00:27:36.100]  MSNBC, you name it, because...
[00:27:37.478 --> 00:27:40.879]  It's dawning on them, we really are hated, we really don't have power.
[00:27:40.879 --> 00:27:47.760]  You see, as they got exposed, and as the media got totally exposed as active shills against the American people, not just well-meaning liberal idiots.
[00:27:47.760 --> 00:27:53.661]  As it came out, they were a lockstep military operation, run by George Soros, run by the White House and Hillary.
[00:27:53.661 --> 00:27:58.562]  They've gone from being reviled to absolutely hated forever.
[00:27:58.562 --> 00:28:00.722]  That means any sponsors associated with you.
[00:28:00.722 --> 00:28:02.542]  It means your families, everybody.
[00:28:02.542 --> 00:28:04.543]  You are anathema.
[00:28:04.543 --> 00:28:05.263]  You are the enemy.
[00:28:07.259 --> 00:28:10.883]  And I've been talking to folks, their husbands, their wives are saying, turn against us.
[00:28:10.883 --> 00:28:11.544]  Don't be part of this.
[00:28:11.544 --> 00:28:12.726]  Everybody hates us now.
[00:28:12.726 --> 00:28:13.907]  The neighbors all hate us.
[00:28:13.907 --> 00:28:15.148]  Everyone's turning against us.
[00:28:15.148 --> 00:28:26.702]  That illusion that was there that they were large and in charge and unstoppable and we had to just accept the will of Harvard and accept the will of the LA Times, the New York Times, and just accept the will.
[00:28:27.463 --> 00:28:41.466]  And use what words they said, and mother and father are bad, and the state runs our kids, and forced inoculations, and GMO's good for you, and we're going to launch all these wars, but it's okay because we're liberals, and we're going to arrest a bunch of reporters for no reason.
[00:28:41.466 --> 00:28:42.746]  People have turned against you.
[00:28:42.746 --> 00:28:48.647]  And it's a lot worse than you even think, delusionals.
[00:28:48.647 --> 00:28:51.468]  So you're saying, oh my gosh, Alex Jones's narrative, it's taken over.
[00:28:52.546 --> 00:28:53.987]  It's not my narrative.
[00:28:53.987 --> 00:28:57.070]  It's the return of Americana.
[00:28:57.070 --> 00:29:03.915]  It's the return of the most successful system the world's ever seen, dumbasses.
[00:29:03.915 --> 00:29:07.858]  You didn't fully extinguish it out.
[00:29:07.858 --> 00:29:10.180]  And now it's going to come roaring back like the phoenix.
[00:29:10.180 --> 00:29:12.362]  Let's go out to break with them chanting, lock her up.
[00:29:14.148 --> 00:29:28.019]  My colleague Carl Quintanilla, and I'm reading this, and on the trading floor of the New York Stock Exchange, according to Carl Quintanilla, people were booing, shouting, lock her up.
[00:29:28.019 --> 00:29:30.240]  These are the Wall Street people.
[00:29:30.240 --> 00:29:31.121]  Some individuals.
[00:29:31.121 --> 00:29:37.666]  I mean, we know it wasn't the entire room, but it was enough that Carl Quintanilla, a responsible journalist, this is what was happening.
[00:29:38.581 --> 00:29:42.244]  And then we're gonna come back, we're actually digging it up, but there it is.
[00:29:42.244 --> 00:29:43.846]  Again, where'd Lock Her Up come from?
