[00:00:04.500 --> 00:00:09.762]  They're live!
[00:26:06.894 --> 00:26:08.215]  Now you're gonna put the last year money in it.
[00:26:08.215 --> 00:26:15.320]  I'm like, yeah, I told everybody I'm all in, but you need to understand this is all in.
[00:26:18.424 --> 00:26:21.885]  They're coming after six-month-old babies with poison shots.
[00:26:21.885 --> 00:26:28.447]  I have stacks of articles of where little babies that take the shots are dying and having all sorts of horrible reactions.
[00:26:28.447 --> 00:26:37.650]  That's a lot bigger issue than me, a 48-year-old man who's had a blessed life and 28 years in the war and has been incredibly successful.
[00:26:37.650 --> 00:26:38.451]  I asked for this.
[00:26:38.451 --> 00:26:38.971]  I'm a man.
[00:26:39.960 --> 00:26:44.563]  But unborn babies and six-month-old babies and year-old babies can't protect themselves.
[00:26:44.563 --> 00:26:45.844]  So let's get this straight.
[00:26:45.844 --> 00:26:51.628]  We're not supporting InfoWars because we care what happens to Alex Jones.
[00:26:51.628 --> 00:26:57.512]  We're supporting InfoWars, and I'm supporting this fight, and I'm all in because this is what I pledged to do.
[00:26:57.512 --> 00:27:03.676]  We're having an incredible effect, and the most important work we've ever done is happening right now.
[00:27:05.612 --> 00:27:14.798]  And I'll be damned to hell before at the most important part of the fight, I turn tail and run or roll over.
[00:27:14.798 --> 00:27:15.899]  You are my strength.
[00:27:15.899 --> 00:27:17.420]  You are my will.
[00:27:17.420 --> 00:27:21.442]  You are my temporal ability to fight these people and I am yours.
[00:27:21.442 --> 00:27:23.484]  We are brothers and sisters together.
[00:27:23.484 --> 00:27:32.750]  God is what gives us the inclination and the spiritual decision, but we have to have the guts then to carry it out.
[00:27:32.750 --> 00:27:34.171]  Should I put my money where my mouth is?
[00:27:35.339 --> 00:27:37.359]  And the federal filings are there.
[00:27:37.359 --> 00:27:45.121]  How much money's there, what's going on, how much money I've been paid, all that stuff, so they can't lie, but they don't care.
[00:27:45.121 --> 00:27:48.961]  CBS, local Connecticut papers, all of that, I can't even keep track of it.
[00:27:48.961 --> 00:27:55.283]  Headlines, Jones made 70, I'll show you, 70 plus million dollars in 2019.
[00:27:55.283 --> 00:28:00.484]  We didn't gross that in 2019, anywhere near it.
[00:28:00.484 --> 00:28:02.764]  We've never had that much gross money coming in a year.
[00:28:05.165 --> 00:28:06.766]  That's gross.
[00:28:06.766 --> 00:28:13.853]  You know, like if you own a restaurant and you're bringing $20,000 over the weekend, but your costs are $19,000, you know?
[00:28:13.853 --> 00:28:15.074]  That's how businesses work.
[00:28:15.074 --> 00:28:18.577]  And I use business to fund this revolution against the New World Order.
[00:28:18.577 --> 00:28:21.039]  So yeah, I fired the bat signal a lot, folks.
[00:28:21.039 --> 00:28:24.763]  And I told you, we've been in trouble for a while with the supply chain breakdowns and
[00:28:25.324 --> 00:28:25.724]  I think so.
[00:28:41.545 --> 00:28:45.766]  To get the other films and books and Alex's War now shipping.
[00:28:45.766 --> 00:28:48.066]  Amazing documentary and 2,000 mules.
[00:28:48.066 --> 00:28:49.467]  Incredible documentary.
[00:28:49.467 --> 00:28:54.948]  And we need you to get the we have the toothpaste at 50% off and you get all three or 40% off individually.
[00:28:54.948 --> 00:28:58.709]  We need you to get these great products and I thank you for keeping us in the fight.
[00:28:58.709 --> 00:29:02.529]  Can pre-order The Great Reset and The War for the World.
[00:29:02.529 --> 00:29:07.750]  It ships next month.
[00:29:07.750 --> 00:29:10.431]  Alex's War is now available and starts shipping technically
[00:29:11.775 --> 00:29:13.517]  Yesterday.
[00:29:13.517 --> 00:29:18.421]  And they are shipping on Saturday, so I guess technically it's shipping out today and then on Monday.
[00:29:18.421 --> 00:29:23.946]  But alexjoneswar and mfulworkstore.com, that's how we're operating.
[00:29:23.946 --> 00:29:25.147]  That's how we're staying on air.
[00:29:25.147 --> 00:29:27.549]  You can also help fund the Tip of the Spear.
[00:29:27.549 --> 00:29:34.055]  If you go to mfulworkstore.com, you see that banner, help fund the Tip of the Spear, make a one-time donation or recurring donation right there.
[00:29:36.681 --> 00:29:38.423]  Because we're not backed by George Soros.
[00:29:38.423 --> 00:29:39.865]  We're not backed by the New World Order.
[00:29:39.865 --> 00:29:43.849]  We're backed by patriots like you.
[00:29:43.849 --> 00:29:46.752]  So I want to get into the worldwide food cutoff.
[00:29:46.752 --> 00:29:53.740]  I want to get into all of this here in just a moment because it's so important and the latest transhumanist developments.
[00:29:53.740 --> 00:29:54.962]  But first, let me just show you.
[00:29:56.408 --> 00:29:57.148]  Some of these headlines.
[00:29:57.148 --> 00:29:59.249]  I mean, just go to Google, type in Alex Jones.
[00:29:59.249 --> 00:30:03.151]  Thousands of articles, thousands of TV stations.
[00:30:03.151 --> 00:30:05.352]  Every TV station in Austin's carrying it.
[00:30:05.352 --> 00:30:11.635]  And you can go to a random town, Albuquerque, New Mexico, or Tampa, Florida.
[00:30:11.635 --> 00:30:14.976]  Local news stations, and I'm at the top of the page.
[00:30:14.976 --> 00:30:16.557]  Alex Jones attacked kids.
[00:30:16.557 --> 00:30:17.977]  Alex Jones stalked families.
[00:30:17.977 --> 00:30:23.480]  Alex Jones, I didn't say the names of Scarlett Lewis,
[00:30:25.700 --> 00:30:28.762]  And hassling until this trial.
[00:30:28.762 --> 00:30:33.325]  Never said their names, just said, I think that shooting might have been staged, because so much has been staged.
[00:30:33.325 --> 00:30:36.267]  A lot of folks think Evaldi staged.
[00:30:36.267 --> 00:30:39.189]  Now it's a crime to question that.
[00:30:39.189 --> 00:30:44.932]  And the judge says I'm guilty, so I'm sitting there in the courtroom while he's guilty, by the way, and he can't talk.
[00:30:44.932 --> 00:30:49.155]  And I'm going to tell you, that man's guilty right there.
[00:30:49.155 --> 00:30:50.256]  You want to live in a world like that?
[00:30:50.256 --> 00:30:51.677]  You think you're safe in a world like that?
[00:30:53.536 --> 00:30:56.658]  InfoWars parent, Free Speech Systems.
[00:30:56.658 --> 00:30:58.079]  I named it right, didn't I?
[00:30:58.079 --> 00:31:01.240]  She banned the word free speech from the trial, but they have to keep saying it.
[00:31:01.240 --> 00:31:04.962]  Free Speech Systems files for bankruptcy.
[00:31:04.962 --> 00:31:10.225]  The company has liabilities of between $50 million and $100 million, and assets of $10 to $50 million.
[00:31:10.225 --> 00:31:12.086]  That's what they came up with the calculation.
[00:31:12.086 --> 00:31:16.309]  See, that's called being in the hole, according to a court filing.
[00:31:16.309 --> 00:31:18.250]  So Bloomberg actually got it right.
[00:31:19.710 --> 00:31:32.138]  And says the plaintiff's ambulance chaser lawyers won $150 million, which is almost 100 times the money I have.
[00:31:32.138 --> 00:31:34.959]  Okay, so you got that ridiculousness.
[00:31:34.959 --> 00:31:37.841]  By the way, it's all capped at a couple million bucks in Texas.
[00:31:37.841 --> 00:31:39.262]  They just want that number to scare people.
[00:31:40.365 --> 00:31:45.286]  Alex Jones' company files for bankruptcy amid Texas trial for damages to Sandy Hook families.
[00:31:45.286 --> 00:31:45.746]  CNN.
[00:31:45.746 --> 00:31:48.527]  And you read it here and it goes, yeah, judges found him guilty.
[00:31:48.527 --> 00:31:50.148]  They just say that like it's no big deal.
[00:31:50.148 --> 00:31:54.269]  Judges found him guilty.
[00:31:54.269 --> 00:31:58.530]  Texas media company files for bankruptcy amid defamation trial.
[00:31:58.530 --> 00:32:02.511]  Courts in Texas and Connecticut have already found Jones liable for defamation.
[00:32:02.511 --> 00:32:04.491]  Not juries, courts.
[00:32:04.491 --> 00:32:06.352]  For his betrayal of Sandy Hook massacres as a hoax.
[00:32:07.745 --> 00:32:09.407]  So CBS actually gets it right.
[00:32:09.407 --> 00:32:14.451]  But thousands of other publications, I've scanned over them, say, oh, he's been already found guilty.
[00:32:14.451 --> 00:32:15.252]  They don't tell you how.
[00:32:15.252 --> 00:32:16.533]  They just hope people skip over that.
[00:32:33.558 --> 00:32:37.500]  Look at this one out of the Connecticut Insider.
[00:32:37.500 --> 00:32:39.161]  This is all over the Connecticut News.
[00:32:39.161 --> 00:32:43.083]  Alex Jones seeks bankruptcy protection for his parent company and sues it.
[00:32:43.083 --> 00:32:54.570]  Well, when a company is your main funding system, it's standard, like taking your car out of park before you drive, to then have the company indemnify you and you have to
[00:32:55.214 --> 00:32:56.495]  Make that claim in court.
[00:32:56.495 --> 00:32:58.057]  But they go, in a bizarre move.
[00:32:58.057 --> 00:33:01.840]  It's like, in a bizarre move, he put his shoes on before going to work.
[00:33:01.840 --> 00:33:05.924]  In a bizarre move, he wiped his ass after he took a crap.
[00:33:05.924 --> 00:33:08.326]  In a bizarre move, they gave the baby milk.
[00:33:08.326 --> 00:33:10.447]  In a bizarre move, they fed the dog.
[00:33:10.447 --> 00:33:12.649]  In a bizarre move, they cut the grass.
[00:33:12.649 --> 00:33:15.352]  In a bizarre move, they looked at the sky.
[00:33:15.352 --> 00:33:18.675]  In a bizarre move, they ate their dinner.
[00:33:18.675 --> 00:33:20.216]  It's all bizarre, what we do.
[00:33:20.216 --> 00:33:21.998]  We're those bad Americans.
[00:33:23.308 --> 00:33:39.194]  And it goes on in here with no evidence and no links and no nothing to say Jones himself made 76 million in 2019.
[00:33:39.194 --> 00:33:42.875]  And that was told to the jury by them this week.
[00:33:42.875 --> 00:33:44.315]  By their lawyers.
[00:33:44.315 --> 00:33:45.936]  We can't talk, basically.
[00:33:45.936 --> 00:33:49.697]  And they just made that number up to make the jury think, I'm Daddy Warbucks.
[00:33:49.697 --> 00:33:51.498]  This is unbelievable.
[00:33:54.710 --> 00:33:57.572]  And it goes on.
[00:33:57.572 --> 00:34:00.693]  It goes on from there.
[00:34:00.693 --> 00:34:03.315]  So I'm done talking about that.
[00:34:03.315 --> 00:34:04.776]  Here's some of the comments.
[00:34:04.776 --> 00:34:07.717]  A juror question from Alex Jones trial today.
[00:34:07.717 --> 00:34:10.939]  Can we use lawsuits like those to stop election deniers?
[00:34:10.939 --> 00:34:13.260]  They're giving questions to the witnesses.
[00:34:13.260 --> 00:34:14.461]  Yeah.
[00:34:14.461 --> 00:34:17.362]  Can we stop denying in elections a fraud?
[00:34:17.362 --> 00:34:23.686]  Whether you're right or wrong about an election, you have a right to do it, but that's where this is all going.
[00:34:25.663 --> 00:34:27.984]  So here's what I'm going to do.
[00:34:27.984 --> 00:34:29.285]  I'm going to air three clips.
[00:34:29.285 --> 00:34:34.969]  I'm going to go to a John Bowne report that tees up the world currency and the collapse of the system to bring it in.
[00:34:34.969 --> 00:34:39.631]  And I'm going to get the really important news here today, but I want to thank you all for joining us.
[00:34:39.631 --> 00:34:45.335]  But I'm going to air clip one, six, and three back to back.
[00:34:45.335 --> 00:34:48.997]  One is the Lincoln Project, the disgraced Lincoln Project.
[00:34:48.997 --> 00:34:50.358]  You know why, right?
[00:34:50.358 --> 00:34:53.060]  Could be called the pedo project.
[00:34:53.060 --> 00:34:55.041]  Democrat Party operation opposing the Republicans.
[00:34:55.965 --> 00:35:00.247]  Attacking me and saying I'm crazy, that I want access to the courts.
[00:35:00.247 --> 00:35:03.389]  Just because I say one court's corrupt, I've got to fight in those courts.
[00:35:03.389 --> 00:35:07.831]  If I then go file things in court, doesn't mean I'm now part of the corrupt court.
[00:35:07.831 --> 00:35:09.132]  I'm fighting in the court.
[00:35:09.132 --> 00:35:10.233]  I've been drug into the court.
[00:35:10.233 --> 00:35:13.834]  All these are logical fallacies.
[00:35:13.834 --> 00:35:18.457]  So here's this disgraced corporate media, with a disgraced organization,
[00:35:19.247 --> 00:35:20.828]  Up there acting like I've done something bad.
[00:35:20.828 --> 00:35:22.810]  He then goes on to say, I'm insane.
